time,Miami,pts.away,score,pts.home,Minnesota
9:35.0,,,26-31,,Offensive rebound by Team
9:32.0,,,26-31,,Turnover by M. Williams (lost ball; steal by N. Cole)
9:28.0,N. Cole makes 2-pt shot at rim,2,28-31,,
9:13.0,,,28-31,,A. Bennett misses 2-pt shot from 20 ft
9:12.0,Defensive rebound by N. Cole,,28-31,,
9:03.0,Shooting foul by Z. LaVine (drawn by C. Andersen),,28-31,,
9:03.0,,,28-31,,Minnesota full timeout
9:03.0,,,28-31,,N. Pekovic enters the game for G. Dieng
9:03.0,,,28-31,,R. Rubio enters the game for M. Williams
9:03.0,C. Andersen makes free throw 1 of 2,1,29-31,,
9:03.0,C. Andersen misses free throw 2 of 2,,29-31,,
9:03.0,,,29-31,,Defensive rebound by R. Rubio
8:52.0,,,29-31,,Turnover by R. Rubio (bad pass; steal by N. Cole)
8:47.0,N. Cole misses 2-pt shot from 5 ft (block by A. Bennett),,29-31,,
8:45.0,Offensive rebound by C. Andersen,,29-31,,
8:41.0,C. Bosh misses 3-pt shot from 24 ft,,29-31,,
8:40.0,,,29-31,,Defensive rebound by R. Rubio
8:25.0,,,29-31,,Shooting foul by D. Granger (drawn by T. Young)
8:25.0,,,29-32,1,T. Young makes free throw 1 of 2
8:25.0,J. Ennis enters the game for D. Granger,,29-32,,
8:25.0,,,29-33,1,T. Young makes free throw 2 of 2
8:11.0,N. Cole makes 2-pt shot from 19 ft,2,31-33,,
7:56.0,,,31-35,2,N. Pekovic makes 2-pt shot at rim (assist by T. Young)
7:56.0,,,31-35,,Shooting foul by C. Andersen (drawn by N. Pekovic)
7:56.0,,,31-36,1,N. Pekovic makes free throw 1 of 1
7:46.0,C. Andersen misses 2-pt shot from 1 ft,,31-36,,
7:45.0,,,31-36,,Defensive rebound by N. Pekovic
7:41.0,,,31-38,2,A. Bennett makes 2-pt shot at rim (assist by R. Rubio)
7:39.0,Miami full timeout,,31-38,,
7:23.0,C. Bosh misses 2-pt shot from 7 ft,,31-38,,
7:22.0,,,31-38,,Defensive rebound by R. Rubio
7:07.0,,,31-40,2,T. Young makes 2-pt shot at rim (assist by R. Rubio)
6:54.0,,,31-40,,Violation by R. Rubio (kicked ball)
6:54.0,L. Deng enters the game for C. Bosh,,31-40,,
6:54.0,H. Whiteside enters the game for C. Andersen,,31-40,,
6:40.0,M. Chalmers enters the game for N. Cole,,31-40,,
6:38.0,T. Johnson makes 3-pt shot from 25 ft (assist by M. Chalmers),3,34-40,,
6:22.0,,,34-40,,T. Young misses 2-pt shot from 3 ft
6:21.0,Defensive rebound by M. Chalmers,,34-40,,
6:14.0,Offensive charge foul by J. Ennis,,34-40,,
6:14.0,Turnover by J. Ennis (offensive foul),,34-40,,
6:14.0,,,34-40,,K. Martin enters the game for Z. LaVine
6:01.0,,,34-40,,Turnover by R. Rubio (lost ball; steal by T. Johnson)
5:55.0,T. Johnson misses 2-pt shot from 1 ft,,34-40,,
5:53.0,,,34-40,,Defensive rebound by A. Bennett
5:43.0,Personal foul by T. Johnson (drawn by R. Rubio),,34-40,,
5:43.0,,,34-40,,A. Wiggins enters the game for A. Bennett
5:43.0,S. Napier enters the game for T. Johnson,,34-40,,
5:33.0,,,34-40,,K. Martin misses 2-pt shot from 15 ft
5:30.0,Defensive rebound by S. Napier,,34-40,,
5:15.0,L. Deng makes 2-pt shot from 20 ft (assist by J. Ennis),2,36-40,,
4:50.0,,,36-42,2,T. Young makes 2-pt shot from 2 ft
4:25.0,S. Napier misses 2-pt shot from 21 ft,,36-42,,
4:24.0,Offensive rebound by H. Whiteside,,36-42,,
4:22.0,H. Whiteside makes 2-pt shot at rim,2,38-42,,
4:03.0,,,38-42,,Turnover by R. Rubio (bad pass; steal by L. Deng)
3:51.0,L. Deng makes 2-pt shot from 6 ft,2,40-42,,
3:35.0,Personal foul by S. Napier (drawn by R. Rubio),,40-42,,
3:35.0,,,40-43,1,R. Rubio makes free throw 1 of 2
3:35.0,,,40-44,1,R. Rubio makes free throw 2 of 2
3:26.0,,,40-44,,Shooting block foul by R. Rubio (drawn by M. Chalmers)
3:26.0,M. Chalmers makes free throw 1 of 2,1,41-44,,
3:26.0,,,41-44,,M. Williams enters the game for R. Rubio
3:26.0,M. Chalmers makes free throw 2 of 2,1,42-44,,
3:13.0,,,42-44,,Turnover by K. Martin (bad pass; steal by S. Napier)
3:08.0,Shooting foul by A. Wiggins (drawn by L. Deng),,42-44,,
3:08.0,L. Deng makes free throw 1 of 2,1,43-44,,
3:08.0,L. Deng makes free throw 2 of 2,1,44-44,,
2:54.0,,,44-44,,T. Young misses 2-pt shot from 15 ft
2:53.0,Defensive rebound by L. Deng,,44-44,,
2:42.0,J. Ennis misses 3-pt shot from 23 ft,,44-44,,
2:41.0,,,44-44,,Defensive rebound by N. Pekovic
2:32.0,,,44-47,3,M. Williams makes 3-pt shot from 25 ft
2:10.0,S. Napier misses 3-pt shot from 23 ft,,44-47,,
2:08.0,Offensive rebound by J. Ennis,,44-47,,
2:06.0,J. Ennis misses 2-pt shot at rim (block by A. Wiggins),,44-47,,
2:06.0,Offensive rebound by Team,,44-47,,
2:06.0,Miami full timeout,,44-47,,
2:06.0,C. Bosh enters the game for J. Ennis,,44-47,,
1:52.0,,,44-47,,Personal foul by A. Wiggins (drawn by L. Deng)
1:52.0,,,44-47,,C. Budinger enters the game for A. Wiggins
1:48.0,,,44-47,,Personal foul by C. Budinger (drawn by L. Deng)
1:48.0,L. Deng makes free throw 1 of 2,1,45-47,,
1:48.0,L. Deng makes free throw 2 of 2,1,46-47,,
1:35.0,,,46-47,,M. Williams misses 2-pt shot from 6 ft
1:34.0,Defensive rebound by H. Whiteside,,46-47,,
1:22.0,,,46-47,,Personal foul by C. Budinger (drawn by L. Deng)
1:22.0,L. Deng makes free throw 1 of 2,1,47-47,,
1:22.0,L. Deng misses free throw 2 of 2,,47-47,,
1:22.0,,,47-47,,Defensive rebound by T. Young
1:05.0,,,47-47,,N. Pekovic misses 2-pt shot from 4 ft
1:03.0,Defensive rebound by C. Bosh,,47-47,,
1:00.0,Turnover by L. Deng (lost ball; steal by T. Young),,47-47,,
0:56.0,,,47-49,2,K. Martin makes 2-pt shot at rim (assist by T. Young)
0:43.0,C. Bosh makes 2-pt shot from 20 ft (assist by S. Napier),2,49-49,,
0:38.0,,,49-49,,Shooting foul by M. Chalmers (drawn by K. Martin)
0:38.0,,,49-50,1,K. Martin makes free throw 1 of 2
0:38.0,,,49-51,1,K. Martin makes free throw 2 of 2
0:24.0,C. Bosh misses 2-pt shot from 13 ft,,49-51,,
0:22.0,Offensive rebound by L. Deng,,49-51,,
0:17.0,C. Bosh misses 3-pt shot from 23 ft,,49-51,,
0:16.0,Offensive rebound by H. Whiteside,,49-51,,
0:15.0,H. Whiteside makes 2-pt shot at rim,2,51-51,,
0:00.0,,,51-53,2,M. Williams makes 2-pt shot from 22 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,S. Napier misses 3-pt shot from 24 ft,,51-53,,
11:40.0,,,51-53,,Defensive rebound by A. Wiggins
11:28.0,,,51-55,2,T. Young makes 2-pt shot from 2 ft
11:11.0,C. Bosh misses 2-pt shot from 12 ft,,51-55,,
11:09.0,Offensive rebound by H. Whiteside,,51-55,,
11:08.0,H. Whiteside makes 2-pt shot from 2 ft,2,53-55,,
10:48.0,,,53-55,,A. Wiggins misses 2-pt shot from 19 ft
10:47.0,Defensive rebound by M. Chalmers,,53-55,,
10:34.0,M. Chalmers makes 2-pt shot from 1 ft,2,55-55,,
10:22.0,Personal foul by S. Napier (drawn by R. Rubio),,55-55,,
10:10.0,,,55-55,,Shooting foul by H. Whiteside (drawn by N. Pekovic)
10:10.0,,,55-56,1,N. Pekovic makes free throw 1 of 2
10:10.0,,,55-57,1,N. Pekovic makes free throw 2 of 2
9:50.0,M. Chalmers makes 2-pt shot at rim,2,57-57,,
9:24.0,,,57-57,,R. Rubio misses 2-pt shot from 17 ft
9:23.0,Defensive rebound by H. Whiteside,,57-57,,
9:13.0,L. Deng makes 2-pt shot from 10 ft,2,59-57,,
8:57.0,,,59-57,,Turnover by T. Young (bad pass; steal by M. Chalmers)
8:53.0,M. Chalmers makes 2-pt shot from 2 ft,2,61-57,,
8:52.0,,,61-57,,Minnesota full timeout
8:36.0,,,61-57,,K. Martin misses 2-pt shot from 19 ft
8:35.0,Defensive rebound by C. Bosh,,61-57,,
8:12.0,S. Napier makes 3-pt shot from 22 ft (assist by M. Chalmers),3,64-57,,
7:58.0,,,64-59,2,N. Pekovic makes 2-pt shot at rim (assist by R. Rubio)
7:58.0,,,64-59,,Shooting foul by H. Whiteside (drawn by N. Pekovic)
7:58.0,,,64-59,,N. Pekovic misses free throw 1 of 1
7:58.0,Defensive rebound by H. Whiteside,,64-59,,
7:38.0,L. Deng misses 2-pt shot from 14 ft,,64-59,,
7:36.0,,,64-59,,Defensive rebound by N. Pekovic
7:31.0,,,64-59,,Shooting foul by M. Chalmers (drawn by R. Rubio)
7:31.0,,,64-60,1,R. Rubio makes free throw 1 of 2
7:31.0,,,64-60,,G. Dieng enters the game for N. Pekovic
7:31.0,,,64-60,,R. Rubio misses free throw 2 of 2
7:31.0,Defensive rebound by H. Whiteside,,64-60,,
7:17.0,Turnover by C. Bosh (lost ball; steal by R. Rubio),,64-60,,
7:12.0,,,64-60,,R. Rubio misses 2-pt shot at rim
7:10.0,Defensive rebound by H. Whiteside,,64-60,,
6:58.0,S. Napier misses 3-pt shot from 25 ft,,64-60,,
6:57.0,Offensive rebound by H. Whiteside,,64-60,,
6:55.0,H. Whiteside makes 2-pt shot from 4 ft,2,66-60,,
6:41.0,Personal foul by M. Chalmers (drawn by K. Martin),,66-60,,
6:41.0,D. Granger enters the game for C. Bosh,,66-60,,
6:41.0,,,66-61,1,K. Martin makes free throw 1 of 2
6:41.0,,,66-61,,M. Williams enters the game for R. Rubio
6:41.0,,,66-62,1,K. Martin makes free throw 2 of 2
6:34.0,,,66-62,,Personal foul by M. Williams (drawn by S. Napier)
6:25.0,Turnover by M. Chalmers (step out of bounds),,66-62,,
6:13.0,,,66-62,,Turnover by M. Williams (bad pass)
6:02.0,Turnover by L. Deng (bad pass; steal by T. Young),,66-62,,
5:53.0,,,66-62,,Shooting foul by D. Granger (drawn by G. Dieng)
5:53.0,,,66-63,1,G. Dieng makes free throw 1 of 2
5:53.0,,,66-63,,A. Bennett enters the game for T. Young
5:53.0,,,66-64,1,G. Dieng makes free throw 2 of 2
5:49.0,Miami full timeout,,66-64,,
5:39.0,S. Napier makes 3-pt shot from 23 ft (assist by M. Chalmers),3,69-64,,
5:17.0,,,69-64,,Turnover by M. Williams (bad pass; steal by L. Deng)
5:04.0,,,69-64,,Personal foul by K. Martin (drawn by M. Chalmers)
4:51.0,M. Chalmers misses 2-pt shot from 7 ft,,69-64,,
4:50.0,Offensive rebound by H. Whiteside,,69-64,,
4:49.0,H. Whiteside makes 2-pt shot at rim,2,71-64,,
4:37.0,,,71-66,2,K. Martin makes 2-pt shot from 19 ft (assist by M. Williams)
4:37.0,,,71-66,,Shooting foul by M. Chalmers (drawn by K. Martin)
4:37.0,N. Cole enters the game for M. Chalmers,,71-66,,
4:37.0,,,71-66,,K. Martin misses free throw 1 of 1
4:37.0,Defensive rebound by H. Whiteside,,71-66,,
4:24.0,H. Whiteside makes 2-pt shot from 15 ft (assist by N. Cole),2,73-66,,
4:06.0,,,73-66,,A. Wiggins misses 2-pt shot from 8 ft
4:04.0,Defensive rebound by H. Whiteside,,73-66,,
3:53.0,L. Deng makes 3-pt shot from 23 ft (assist by S. Napier),3,76-66,,
3:41.0,,,76-69,3,K. Martin makes 3-pt shot from 24 ft (assist by M. Williams)
3:20.0,H. Whiteside makes 2-pt shot at rim (assist by S. Napier),2,78-69,,
3:02.0,,,78-72,3,K. Martin makes 3-pt shot from 25 ft (assist by M. Williams)
2:39.0,D. Granger misses 3-pt shot from 24 ft,,78-72,,
2:38.0,,,78-72,,Defensive rebound by K. Martin
2:27.0,,,78-72,,K. Martin misses 2-pt shot from 16 ft
2:26.0,Defensive rebound by D. Granger,,78-72,,
2:06.0,H. Whiteside misses 2-pt shot from 17 ft,,78-72,,
2:04.0,Offensive rebound by D. Granger,,78-72,,
2:04.0,Shooting foul by G. Dieng (drawn by D. Granger),,78-72,,
2:04.0,D. Granger misses free throw 1 of 2,,78-72,,
2:04.0,Offensive rebound by Team,,78-72,,
2:04.0,C. Bosh enters the game for H. Whiteside,,78-72,,
2:04.0,C. Andersen enters the game for L. Deng,,78-72,,
2:04.0,,,78-72,,T. Young enters the game for A. Wiggins
2:04.0,D. Granger makes free throw 2 of 2,1,79-72,,
1:50.0,,,79-72,,K. Martin misses 2-pt shot from 20 ft
1:49.0,Defensive rebound by C. Andersen,,79-72,,
1:39.0,Turnover by S. Napier (bad pass; steal by M. Williams),,79-72,,
1:35.0,,,79-74,2,K. Martin makes 2-pt shot at rim (assist by M. Williams)
1:16.0,Shooting foul by G. Dieng (drawn by C. Bosh),,79-74,,
1:16.0,C. Bosh makes free throw 1 of 2,1,80-74,,
1:16.0,T. Johnson enters the game for S. Napier,,80-74,,
1:16.0,C. Bosh makes free throw 2 of 2,1,81-74,,
0:55.0,,,81-74,,A. Bennett misses 3-pt shot from 22 ft
0:54.0,Defensive rebound by C. Andersen,,81-74,,
0:41.0,N. Cole misses 2-pt shot from 2 ft,,81-74,,
0:40.0,,,81-74,,Defensive rebound by M. Williams
0:30.0,,,81-76,2,T. Young makes 2-pt shot from 4 ft
0:10.0,N. Cole misses 2-pt shot from 11 ft,,81-76,,
0:10.0,Offensive rebound by C. Andersen,,81-76,,
0:10.0,C. Andersen makes 2-pt shot at rim,2,83-76,,
0:00.0,,,83-76,,K. Martin misses 2-pt shot from 17 ft
0:00.0,,,83-76,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,83-76,,Z. LaVine misses 2-pt shot from 19 ft
11:42.0,Defensive rebound by D. Granger,,83-76,,
11:34.0,,,83-76,,Personal foul by T. Young (drawn by N. Cole)
11:19.0,C. Bosh misses 2-pt shot from 11 ft,,83-76,,
11:18.0,,,83-76,,Defensive rebound by A. Bennett
10:57.0,,,83-78,2,A. Bennett makes 2-pt shot from 3 ft (assist by M. Williams)
10:56.0,Technical foul by N. Cole,,83-78,,
10:56.0,,,83-78,,M. Williams misses technical free throw
10:56.0,Offensive rebound by Team,,83-78,,
10:42.0,Miami full timeout,,83-78,,
10:34.0,C. Bosh makes 2-pt shot from 17 ft,2,85-78,,
10:08.0,,,85-78,,Offensive foul by T. Young
10:08.0,,,85-78,,Turnover by T. Young (offensive foul)
9:47.0,N. Cole makes 3-pt shot from 22 ft (assist by C. Bosh),3,88-78,,
9:46.0,,,88-78,,Minnesota full timeout
9:46.0,,,88-78,,A. Wiggins enters the game for A. Bennett
9:46.0,,,88-78,,K. Martin enters the game for Z. LaVine
9:40.0,,,88-78,,A. Wiggins misses 2-pt shot at rim
9:39.0,Defensive rebound by C. Andersen,,88-78,,
9:16.0,N. Cole misses 2-pt shot from 20 ft,,88-78,,
9:15.0,,,88-78,,Defensive rebound by G. Dieng
9:02.0,,,88-78,,T. Young misses 2-pt shot from 7 ft
9:01.0,Defensive rebound by C. Bosh,,88-78,,
8:46.0,D. Granger misses 2-pt shot from 13 ft,,88-78,,
8:45.0,,,88-78,,Defensive rebound by M. Williams
8:37.0,,,88-80,2,G. Dieng makes 2-pt shot at rim (assist by M. Williams)
8:10.0,D. Granger misses 2-pt shot from 5 ft,,88-80,,
8:09.0,,,88-80,,Defensive rebound by G. Dieng
7:56.0,,,88-80,,Shooting foul by C. Andersen (drawn by G. Dieng)
7:56.0,,,88-81,1,G. Dieng makes free throw 1 of 2
7:56.0,L. Deng enters the game for D. Granger,,88-81,,
7:56.0,,,88-82,1,G. Dieng makes free throw 2 of 2
7:46.0,Turnover by N. Cole (offensive foul),,88-82,,
7:46.0,Offensive foul by N. Cole,,88-82,,
7:36.0,,,88-85,3,M. Williams makes 3-pt shot from 25 ft
7:23.0,Turnover by N. Cole (bad pass; steal by K. Martin),,88-85,,
7:11.0,,,88-85,,K. Martin misses 3-pt shot from 24 ft
7:10.0,,,88-85,,Offensive rebound by A. Wiggins
7:09.0,,,88-85,,Shooting foul by C. Andersen (drawn by A. Wiggins)
7:09.0,,,88-86,1,A. Wiggins makes free throw 1 of 2
7:09.0,H. Whiteside enters the game for C. Andersen,,88-86,,
7:09.0,M. Chalmers enters the game for T. Johnson,,88-86,,
7:09.0,,,88-86,,R. Rubio enters the game for M. Williams
7:09.0,,,88-87,1,A. Wiggins makes free throw 2 of 2
6:46.0,H. Whiteside makes 2-pt shot from 6 ft (assist by N. Cole),2,90-87,,
6:33.0,,,90-90,3,K. Martin makes 3-pt shot from 25 ft (assist by R. Rubio)
6:17.0,Shooting foul by A. Wiggins (drawn by N. Cole),,90-90,,
6:17.0,N. Cole makes free throw 1 of 2,1,91-90,,
6:17.0,N. Cole makes free throw 2 of 2,1,92-90,,
6:02.0,,,92-90,,Shooting foul by N. Cole (drawn by R. Rubio)
6:02.0,,,92-91,1,R. Rubio makes free throw 1 of 2
6:02.0,,,92-92,1,R. Rubio makes free throw 2 of 2
5:49.0,,,92-92,,Personal foul by K. Martin (drawn by M. Chalmers)
5:35.0,L. Deng misses 2-pt shot from 6 ft,,92-92,,
5:33.0,,,92-92,,Defensive rebound by T. Young
5:15.0,,,92-92,,T. Young misses 2-pt shot from 4 ft
5:14.0,Defensive rebound by N. Cole,,92-92,,
5:05.0,L. Deng misses 3-pt shot from 23 ft,,92-92,,
5:04.0,,,92-92,,Defensive rebound by T. Young
4:57.0,,,92-92,,Offensive foul by K. Martin
4:57.0,,,92-92,,Turnover by K. Martin (offensive foul)
4:49.0,,,92-92,,Personal foul by T. Young (drawn by C. Bosh)
4:35.0,M. Chalmers misses 2-pt shot from 1 ft,,92-92,,
4:34.0,,,92-92,,Defensive rebound by G. Dieng
4:18.0,,,92-94,2,G. Dieng makes 2-pt shot from 13 ft (assist by K. Martin)
4:18.0,,,92-94,,Shooting foul by C. Bosh (drawn by G. Dieng)
4:18.0,,,92-95,1,G. Dieng makes free throw 1 of 1
4:05.0,,,92-95,,Personal block foul by T. Young (drawn by C. Bosh)
4:05.0,C. Bosh makes free throw 1 of 2,1,93-95,,
4:05.0,S. Napier enters the game for N. Cole,,93-95,,
4:05.0,C. Bosh makes free throw 2 of 2,1,94-95,,
3:58.0,Personal foul by S. Napier (drawn by R. Rubio),,94-95,,
3:58.0,,,94-95,,R. Rubio misses free throw 1 of 2
3:58.0,,,94-95,,Offensive rebound by Team
3:58.0,,,94-96,1,R. Rubio makes free throw 2 of 2
3:33.0,S. Napier misses 2-pt shot from 21 ft,,94-96,,
3:32.0,Offensive rebound by H. Whiteside,,94-96,,
3:27.0,Turnover by S. Napier (bad pass; steal by T. Young),,94-96,,
3:24.0,,,94-98,2,T. Young makes 2-pt shot at rim
3:10.0,M. Chalmers misses 2-pt shot at rim (block by G. Dieng),,94-98,,
3:08.0,Offensive rebound by H. Whiteside,,94-98,,
3:08.0,Offensive foul by H. Whiteside,,94-98,,
3:08.0,Turnover by H. Whiteside (offensive foul),,94-98,,
3:08.0,N. Cole enters the game for S. Napier,,94-98,,
2:52.0,,,94-98,,T. Young misses 2-pt shot from 1 ft (block by H. Whiteside)
2:50.0,Defensive rebound by M. Chalmers,,94-98,,
2:35.0,N. Cole makes 3-pt shot from 24 ft,3,97-98,,
