time,Chicago,pts.away,score,pts.home,Toronto
9:03.0,,,30-35,2,J. Johnson makes 2-pt shot from 1 ft
8:44.0,N. Mirotic misses 3-pt shot from 24 ft,,30-35,,
8:43.0,,,30-35,,Defensive rebound by J. Johnson
8:37.0,,,30-35,,J. Johnson misses 2-pt shot from 4 ft (block by M. Dunleavy)
8:37.0,Defensive rebound by Team,,30-35,,
8:37.0,Official timeout,,30-35,,
8:37.0,,,30-35,,A. Johnson enters the game for D. DeRozan
8:37.0,,,30-35,,T. Ross enters the game for T. Hansbrough
8:18.0,Turnover by N. Mirotic (bad pass; steal by L. Williams),,30-35,,
8:15.0,,,30-37,2,J. Johnson makes 2-pt shot at rim (assist by L. Williams)
7:56.0,N. Mirotic makes 2-pt shot from 11 ft,2,32-37,,
7:40.0,,,32-37,,Turnover by L. Williams (bad pass; steal by M. Dunleavy)
7:38.0,,,32-37,,Personal foul by P. Patterson (drawn by M. Dunleavy)
7:24.0,Shooting foul by A. Johnson (drawn by J. Noah),,32-37,,
7:24.0,J. Noah misses free throw 1 of 2,,32-37,,
7:24.0,Offensive rebound by Team,,32-37,,
7:24.0,J. Noah makes free throw 2 of 2,1,33-37,,
7:09.0,,,33-39,2,A. Johnson makes 2-pt shot from 3 ft (assist by P. Patterson)
6:52.0,K. Hinrich misses 2-pt shot from 17 ft,,33-39,,
6:51.0,,,33-39,,Defensive rebound by A. Johnson
6:41.0,,,33-41,2,L. Williams makes 2-pt shot at rim
6:32.0,Chicago full timeout,,33-41,,
6:32.0,A. Brooks enters the game for K. Hinrich,,33-41,,
6:21.0,T. Snell misses 3-pt shot from 26 ft,,33-41,,
6:20.0,,,33-41,,Defensive rebound by A. Johnson
6:12.0,,,33-41,,Shooting foul by T. Snell (drawn by J. Johnson)
6:12.0,,,33-42,1,J. Johnson makes free throw 1 of 2
6:12.0,J. Butler enters the game for T. Snell,,33-42,,
6:12.0,,,33-43,1,J. Johnson makes free throw 2 of 2
5:55.0,N. Mirotic makes 2-pt shot from 14 ft,2,35-43,,
5:39.0,,,35-45,2,T. Ross makes 2-pt shot from 17 ft (assist by A. Johnson)
5:24.0,A. Brooks makes 3-pt shot from 27 ft,3,38-45,,
5:13.0,,,38-47,2,L. Williams makes 2-pt shot from 20 ft
4:47.0,N. Mirotic misses 2-pt shot from 22 ft,,38-47,,
4:46.0,,,38-47,,Defensive rebound by A. Johnson
4:30.0,,,38-47,,J. Johnson misses 2-pt shot from 3 ft (block by M. Dunleavy)
4:30.0,Defensive rebound by Team,,38-47,,
4:30.0,,,38-47,,Loose ball foul by J. Johnson (drawn by M. Dunleavy)
4:30.0,,,38-47,,D. DeRozan enters the game for P. Patterson
4:30.0,,,38-47,,J. Valanciunas enters the game for J. Johnson
4:30.0,,,38-47,,G. Vasquez enters the game for L. Williams
4:30.0,P. Gasol enters the game for J. Noah,,38-47,,
4:13.0,J. Butler makes 2-pt shot from 14 ft,2,40-47,,
3:59.0,,,40-47,,Shooting foul by N. Mirotic (drawn by A. Johnson)
3:59.0,,,40-47,,A. Johnson misses free throw 1 of 2
3:59.0,,,40-47,,Offensive rebound by Team
3:59.0,,,40-47,,A. Johnson misses free throw 2 of 2
3:58.0,Defensive rebound by N. Mirotic,,40-47,,
3:50.0,J. Butler makes 2-pt shot at rim (assist by A. Brooks),2,42-47,,
3:41.0,,,42-47,,Toronto full timeout
3:20.0,,,42-50,3,G. Vasquez makes 3-pt shot from 25 ft
2:58.0,A. Brooks makes 3-pt shot from 26 ft,3,45-50,,
2:41.0,,,45-50,,D. DeRozan misses 2-pt shot from 4 ft
2:40.0,Defensive rebound by M. Dunleavy,,45-50,,
2:33.0,A. Brooks misses 3-pt shot from 25 ft,,45-50,,
2:33.0,Offensive rebound by J. Butler,,45-50,,
2:33.0,,,45-50,,Personal foul by G. Vasquez (drawn by J. Butler)
2:19.0,P. Gasol makes 2-pt shot from 6 ft,2,47-50,,
1:52.0,,,47-50,,D. DeRozan misses 2-pt shot at rim
1:51.0,Defensive rebound by A. Brooks,,47-50,,
1:44.0,N. Mirotic misses 3-pt shot from 25 ft,,47-50,,
1:43.0,Offensive rebound by Team,,47-50,,
1:41.0,,,47-50,,L. Williams enters the game for T. Ross
1:41.0,,,47-50,,P. Patterson enters the game for A. Johnson
1:31.0,Turnover by J. Butler (offensive foul),,47-50,,
1:31.0,Offensive charge foul by J. Butler,,47-50,,
1:18.0,,,47-50,,Toronto full timeout
1:13.0,,,47-52,2,D. DeRozan makes 2-pt shot from 13 ft
0:57.0,N. Mirotic misses 3-pt shot from 22 ft,,47-52,,
0:56.0,,,47-52,,Defensive rebound by L. Williams
0:43.0,,,47-52,,Shooting foul by A. Brooks (drawn by G. Vasquez)
0:43.0,,,47-53,1,G. Vasquez makes free throw 1 of 2
0:43.0,,,47-54,1,G. Vasquez makes free throw 2 of 2
0:27.0,N. Mirotic misses 2-pt shot from 3 ft (block by P. Patterson),,47-54,,
0:26.0,,,47-54,,Defensive rebound by P. Patterson
0:15.0,,,47-54,,D. DeRozan misses 2-pt shot from 5 ft
0:14.0,Defensive rebound by A. Brooks,,47-54,,
0:09.0,M. Dunleavy makes 3-pt shot from 25 ft (assist by A. Brooks),3,50-54,,
0:00.0,,,50-54,,L. Williams misses 3-pt shot from 26 ft
0:00.0,,,50-54,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,50-56,2,D. DeRozan makes 2-pt shot from 11 ft
11:30.0,A. Brooks makes 2-pt shot from 14 ft,2,52-56,,
11:11.0,Personal foul by M. Dunleavy (drawn by T. Ross),,52-56,,
11:05.0,,,52-58,2,D. DeRozan makes 2-pt shot from 19 ft (assist by G. Vasquez)
10:48.0,Shooting foul by J. Valanciunas (drawn by J. Butler),,52-58,,
10:48.0,J. Butler makes free throw 1 of 2,1,53-58,,
10:48.0,J. Butler makes free throw 2 of 2,1,54-58,,
10:28.0,,,54-58,,G. Vasquez misses 2-pt shot from 6 ft (block by A. Brooks)
10:25.0,Defensive rebound by J. Noah,,54-58,,
10:19.0,,,54-58,,Personal foul by G. Vasquez (drawn by P. Gasol)
10:02.0,A. Brooks misses 2-pt shot from 5 ft,,54-58,,
10:01.0,,,54-58,,Defensive rebound by J. Valanciunas
9:50.0,,,54-61,3,G. Vasquez makes 3-pt shot from 25 ft (assist by J. Valanciunas)
9:33.0,M. Dunleavy makes 2-pt shot from 17 ft (assist by J. Noah),2,56-61,,
9:18.0,,,56-61,,Shooting foul by J. Noah (drawn by A. Johnson)
9:18.0,,,56-62,1,A. Johnson makes free throw 1 of 2
9:18.0,,,56-63,1,A. Johnson makes free throw 2 of 2
9:09.0,,,56-63,,Violation by G. Vasquez (kicked ball)
8:58.0,M. Dunleavy makes 2-pt shot from 19 ft (assist by P. Gasol),2,58-63,,
8:43.0,,,58-63,,D. DeRozan misses 2-pt shot from 12 ft
8:41.0,,,58-63,,Offensive rebound by A. Johnson
8:38.0,,,58-65,2,A. Johnson makes 2-pt shot from 2 ft
8:21.0,A. Brooks misses 2-pt shot from 16 ft,,58-65,,
8:20.0,,,58-65,,Defensive rebound by A. Johnson
8:07.0,,,58-67,2,D. DeRozan makes 2-pt shot from 9 ft
7:43.0,P. Gasol makes 2-pt shot from 11 ft,2,60-67,,
7:26.0,,,60-69,2,J. Valanciunas makes 2-pt shot from 4 ft (assist by D. DeRozan)
7:09.0,P. Gasol misses 2-pt shot from 20 ft,,60-69,,
7:09.0,,,60-69,,Defensive rebound by J. Valanciunas
6:54.0,,,60-69,,J. Valanciunas misses 2-pt shot from 4 ft
6:53.0,Defensive rebound by P. Gasol,,60-69,,
6:47.0,A. Brooks misses 3-pt shot from 25 ft,,60-69,,
6:46.0,,,60-69,,Defensive rebound by A. Johnson
6:38.0,,,60-69,,G. Vasquez misses 3-pt shot from 24 ft
6:38.0,,,60-69,,Offensive rebound by Team
6:38.0,Personal foul by J. Noah (drawn by J. Valanciunas),,60-69,,
6:38.0,,,60-69,,Toronto full timeout
6:28.0,,,60-69,,D. DeRozan misses 2-pt shot from 19 ft
6:27.0,Defensive rebound by J. Noah,,60-69,,
6:08.0,P. Gasol misses 2-pt shot from 5 ft,,60-69,,
6:08.0,,,60-69,,Defensive rebound by Team
5:54.0,,,60-71,2,T. Ross makes 2-pt shot from 2 ft (assist by D. DeRozan)
5:44.0,,,60-71,,Personal foul by T. Ross (drawn by M. Dunleavy)
5:36.0,M. Dunleavy makes 2-pt shot from 20 ft (assist by A. Brooks),2,62-71,,
5:14.0,,,62-71,,T. Ross misses 2-pt shot from 12 ft
5:13.0,Defensive rebound by M. Dunleavy,,62-71,,
5:04.0,J. Noah makes 2-pt shot from 7 ft (assist by M. Dunleavy),2,64-71,,
4:50.0,,,64-73,2,A. Johnson makes 2-pt shot from 1 ft (assist by G. Vasquez)
4:50.0,,,64-73,,Shooting foul by J. Noah (drawn by A. Johnson)
4:50.0,T. Gibson enters the game for J. Noah,,64-73,,
4:50.0,,,64-73,,L. Williams enters the game for G. Vasquez
4:50.0,,,64-73,,A. Johnson misses free throw 1 of 1
4:49.0,,,64-73,,Offensive rebound by J. Valanciunas
4:48.0,,,64-73,,J. Valanciunas misses 2-pt shot from 2 ft (block by P. Gasol)
4:48.0,Defensive rebound by Team,,64-73,,
4:48.0,,,64-73,,Loose ball foul by J. Valanciunas (drawn by P. Gasol)
4:32.0,J. Butler makes 3-pt shot from 25 ft (assist by A. Brooks),3,67-73,,
4:09.0,,,67-73,,A. Johnson misses 2-pt shot from 2 ft
4:08.0,Defensive rebound by M. Dunleavy,,67-73,,
4:03.0,,,67-73,,Shooting block foul by A. Johnson (drawn by J. Butler)
4:03.0,J. Butler makes free throw 1 of 2,1,68-73,,
4:03.0,,,68-73,,P. Patterson enters the game for A. Johnson
4:03.0,J. Butler makes free throw 2 of 2,1,69-73,,
3:45.0,,,69-73,,D. DeRozan misses 2-pt shot from 17 ft
3:44.0,Defensive rebound by A. Brooks,,69-73,,
3:34.0,T. Gibson makes 2-pt shot at rim (assist by J. Butler),2,71-73,,
3:18.0,,,71-75,2,L. Williams makes 2-pt shot from 15 ft
2:55.0,P. Gasol misses 2-pt shot from 6 ft,,71-75,,
2:54.0,,,71-75,,Defensive rebound by J. Valanciunas
2:52.0,,,71-75,,Turnover by J. Valanciunas (bad pass; steal by A. Brooks)
2:49.0,Turnover by A. Brooks (bad pass; steal by J. Valanciunas),,71-75,,
2:43.0,,,71-77,2,D. DeRozan makes 2-pt shot from 2 ft (assist by J. Valanciunas)
2:22.0,Shooting foul by D. DeRozan (drawn by J. Butler),,71-77,,
2:22.0,Chicago full timeout,,71-77,,
2:22.0,T. Snell enters the game for M. Dunleavy,,71-77,,
2:22.0,K. Hinrich enters the game for A. Brooks,,71-77,,
2:22.0,J. Butler misses free throw 1 of 2,,71-77,,
2:22.0,Offensive rebound by Team,,71-77,,
2:22.0,J. Butler misses free throw 2 of 2,,71-77,,
2:21.0,,,71-77,,Defensive rebound by D. DeRozan
2:04.0,,,71-79,2,J. Valanciunas makes 2-pt shot from 3 ft (assist by P. Patterson)
1:40.0,J. Butler makes 3-pt shot from 23 ft (assist by P. Gasol),3,74-79,,
1:15.0,,,74-82,3,L. Williams makes 3-pt shot from 26 ft
0:47.0,P. Gasol misses 3-pt shot from 23 ft,,74-82,,
0:46.0,,,74-82,,Defensive rebound by L. Williams
0:39.0,,,74-82,,L. Williams misses 3-pt shot from 23 ft
0:38.0,,,74-82,,Offensive rebound by P. Patterson
0:35.0,,,74-82,,T. Ross misses 3-pt shot from 26 ft
0:33.0,Defensive rebound by P. Gasol,,74-82,,
0:23.0,T. Snell makes 3-pt shot from 25 ft (assist by T. Gibson),3,77-82,,
0:00.0,,,77-82,,D. DeRozan misses 2-pt shot from 16 ft
0:00.0,,,77-82,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
12:00.0,,,77-82,,Technical foul by D. DeRozan
12:00.0,J. Butler makes technical free throw,1,78-82,,
11:39.0,J. Noah makes 2-pt shot at rim (assist by K. Hinrich),2,80-82,,
11:13.0,,,80-84,2,G. Vasquez makes 2-pt shot from 10 ft
10:55.0,K. Hinrich misses 2-pt shot from 6 ft,,80-84,,
10:54.0,,,80-84,,Defensive rebound by J. Johnson
10:30.0,,,80-84,,J. Johnson misses 2-pt shot from 4 ft
10:29.0,Defensive rebound by N. Mirotic,,80-84,,
10:15.0,J. Noah makes 2-pt shot from 1 ft (assist by J. Butler),2,82-84,,
9:57.0,,,82-87,3,G. Vasquez makes 3-pt shot from 24 ft
9:30.0,K. Hinrich makes 2-pt shot from 22 ft (assist by T. Gibson),2,84-87,,
9:20.0,,,84-87,,Turnover by G. Vasquez (lost ball)
9:20.0,T. Snell enters the game for J. Butler,,84-87,,
9:07.0,T. Snell makes 2-pt shot from 2 ft (assist by J. Noah),2,86-87,,
8:44.0,,,86-87,,Shooting foul by J. Noah (drawn by J. Johnson)
8:44.0,Official timeout,,86-87,,
8:44.0,,,86-88,1,J. Johnson makes free throw 1 of 2
8:44.0,,,86-89,1,J. Johnson makes free throw 2 of 2
8:32.0,T. Snell misses 3-pt shot from 24 ft,,86-89,,
8:31.0,,,86-89,,Defensive rebound by A. Johnson
8:17.0,,,86-89,,L. Williams misses 3-pt shot from 25 ft
8:16.0,,,86-89,,Offensive rebound by P. Patterson
8:15.0,,,86-91,2,P. Patterson makes 2-pt shot from 2 ft
8:15.0,,,86-91,,Shooting foul by N. Mirotic (drawn by P. Patterson)
8:15.0,A. Brooks enters the game for T. Gibson,,86-91,,
8:15.0,,,86-92,1,P. Patterson makes free throw 1 of 1
8:01.0,T. Snell makes 2-pt shot from 20 ft,2,88-92,,
7:47.0,,,88-92,,G. Vasquez misses 3-pt shot from 25 ft
7:46.0,Defensive rebound by T. Snell,,88-92,,
7:28.0,T. Snell makes 3-pt shot from 25 ft (assist by K. Hinrich),3,91-92,,
7:10.0,,,91-94,2,L. Williams makes 2-pt shot from 11 ft
7:10.0,Shooting block foul by N. Mirotic (drawn by L. Williams),,91-94,,
7:10.0,,,91-94,,D. DeRozan enters the game for J. Johnson
7:10.0,,,91-95,1,L. Williams makes free throw 1 of 1
7:00.0,,,91-95,,Personal foul by A. Johnson (drawn by N. Mirotic)
6:57.0,A. Brooks makes 2-pt shot from 2 ft (assist by T. Snell),2,93-95,,
6:37.0,,,93-95,,P. Patterson misses 2-pt shot from 8 ft
6:36.0,Defensive rebound by J. Noah,,93-95,,
6:30.0,K. Hinrich makes 2-pt shot from 20 ft (assist by N. Mirotic),2,95-95,,
6:26.0,,,95-95,,Toronto full timeout
6:26.0,,,95-95,,T. Ross enters the game for L. Williams
6:14.0,,,95-95,,D. DeRozan misses 2-pt shot from 21 ft
6:13.0,,,95-95,,Offensive rebound by G. Vasquez
6:04.0,J. Butler enters the game for K. Hinrich,,95-95,,
6:04.0,Jump ball: A. Johnson vs. J. Noah (J. Butler gains possession),,,,Jump ball: A. Johnson vs. J. Noah (J. Butler gains possession)
6:04.0,,,95-95,,Turnover by A. Johnson (lost ball; steal by J. Noah)
5:47.0,N. Mirotic makes 2-pt shot from 2 ft,2,97-95,,
5:27.0,,,97-95,,Shooting foul by N. Mirotic (drawn by D. DeRozan)
5:27.0,,,97-96,1,D. DeRozan makes free throw 1 of 2
5:27.0,,,97-97,1,D. DeRozan makes free throw 2 of 2
5:16.0,A. Brooks misses 2-pt shot from 3 ft,,97-97,,
5:15.0,,,97-97,,Defensive rebound by D. DeRozan
5:05.0,,,97-97,,Turnover by D. DeRozan (lost ball; steal by N. Mirotic)
5:05.0,Chicago full timeout,,97-97,,
5:05.0,P. Gasol enters the game for J. Noah,,97-97,,
4:55.0,P. Gasol makes 2-pt shot from 1 ft (assist by N. Mirotic),2,99-97,,
4:41.0,,,99-97,,D. DeRozan misses 2-pt shot from 15 ft
4:40.0,Defensive rebound by J. Butler,,99-97,,
4:18.0,A. Brooks makes 3-pt shot from 27 ft,3,102-97,,
3:57.0,,,102-97,,G. Vasquez misses 3-pt shot from 25 ft
3:56.0,,,102-97,,Offensive rebound by A. Johnson
3:47.0,,,102-97,,G. Vasquez misses 3-pt shot from 22 ft
3:46.0,Defensive rebound by J. Butler,,102-97,,
3:42.0,Shooting foul by P. Patterson (drawn by J. Butler),,102-97,,
3:42.0,J. Butler makes free throw 1 of 2,1,103-97,,
3:42.0,,,103-97,,L. Williams enters the game for G. Vasquez
3:42.0,,,103-97,,J. Valanciunas enters the game for A. Johnson
3:42.0,J. Butler makes free throw 2 of 2,1,104-97,,
3:25.0,,,104-97,,D. DeRozan misses 2-pt shot from 4 ft
3:24.0,,,104-97,,Offensive rebound by J. Valanciunas
3:18.0,,,104-97,,J. Valanciunas misses 2-pt shot from 6 ft
3:18.0,Defensive rebound by J. Butler,,104-97,,
3:01.0,P. Gasol misses 2-pt shot from 19 ft,,104-97,,
3:00.0,,,104-97,,Defensive rebound by J. Valanciunas
2:53.0,,,104-99,2,L. Williams makes 2-pt shot from 4 ft
2:29.0,N. Mirotic makes 3-pt shot from 24 ft (assist by T. Snell),3,107-99,,
2:14.0,,,107-101,2,L. Williams makes 2-pt shot from 10 ft
1:59.0,J. Butler makes 2-pt shot from 18 ft (assist by A. Brooks),2,109-101,,
1:46.0,,,109-101,,Shooting foul by P. Gasol (drawn by D. DeRozan)
1:46.0,Chicago full timeout,,109-101,,
1:46.0,,,109-102,1,D. DeRozan makes free throw 1 of 2
1:46.0,,,109-103,1,D. DeRozan makes free throw 2 of 2
1:32.0,A. Brooks makes 3-pt shot from 24 ft,3,112-103,,
1:21.0,,,112-103,,Turnover by D. DeRozan (bad pass)
0:57.0,A. Brooks misses 3-pt shot from 26 ft,,112-103,,
0:56.0,,,112-103,,Defensive rebound by P. Patterson
0:48.0,,,112-103,,L. Williams misses 3-pt shot from 25 ft
0:47.0,Defensive rebound by A. Brooks,,112-103,,
0:31.0,Shooting foul by L. Williams (drawn by P. Gasol),,112-103,,
0:31.0,P. Gasol makes free throw 1 of 2,1,113-103,,
0:31.0,P. Gasol makes free throw 2 of 2,1,114-103,,
0:31.0,,,114-103,,Toronto full timeout
0:28.0,,,114-103,,D. DeRozan misses 2-pt shot from 2 ft
0:27.0,Defensive rebound by P. Gasol,,114-103,,
0:07.0,T. Snell makes 2-pt shot from 3 ft,2,116-103,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
