time,Boston,pts.away,score,pts.home,Minnesota
8:41.0,Defensive rebound by B. Bass,,52-58,,
8:30.0,B. Bass misses 2-pt shot from 18 ft,,52-58,,
8:28.0,,,52-58,,Defensive rebound by A. Wiggins
8:13.0,,,52-60,2,A. Wiggins makes 2-pt shot from 2 ft
8:05.0,B. Bass misses 2-pt shot at rim (block by G. Dieng),,52-60,,
8:04.0,,,52-60,,Defensive rebound by T. Young
7:57.0,,,52-62,2,N. Pekovic makes 2-pt shot at rim (assist by T. Young)
7:40.0,Turnover by J. Sullinger (traveling),,52-62,,
7:40.0,T. Zeller enters the game for B. Bass,,52-62,,
7:40.0,M. Smart enters the game for J. Crowder,,52-62,,
7:40.0,T. Prince enters the game for E. Turner,,52-62,,
7:25.0,,,52-62,,Shooting foul by J. Sullinger (drawn by N. Pekovic)
7:25.0,,,52-62,,N. Pekovic misses free throw 1 of 2
7:25.0,,,52-62,,Offensive rebound by Team
7:25.0,,,52-63,1,N. Pekovic makes free throw 2 of 2
7:17.0,J. Sullinger makes 3-pt shot from 24 ft (assist by T. Prince),3,55-63,,
6:57.0,,,55-65,2,Z. LaVine makes 2-pt shot from 2 ft
6:43.0,A. Bradley makes 2-pt shot from 2 ft (assist by M. Smart),2,57-65,,
6:22.0,,,57-68,3,Z. LaVine makes 3-pt shot from 23 ft (assist by N. Pekovic)
5:59.0,J. Sullinger misses 2-pt shot from 6 ft,,57-68,,
5:58.0,,,57-68,,Defensive rebound by N. Pekovic
5:46.0,,,57-70,2,G. Dieng makes 2-pt shot from 13 ft (assist by Z. LaVine)
5:28.0,A. Bradley misses 2-pt shot from 14 ft,,57-70,,
5:25.0,,,57-70,,Defensive rebound by G. Dieng
5:25.0,,,57-70,,Minnesota full timeout
5:25.0,,,57-70,,K. Martin enters the game for N. Pekovic
5:16.0,,,57-70,,T. Young misses 2-pt shot from 14 ft
5:11.0,Defensive rebound by J. Sullinger,,57-70,,
5:05.0,M. Smart makes 3-pt shot from 25 ft (assist by A. Bradley),3,60-70,,
4:53.0,Personal foul by T. Zeller (drawn by G. Dieng),,60-70,,
4:44.0,,,60-72,2,G. Dieng makes 2-pt shot from 12 ft (assist by Z. LaVine)
4:27.0,M. Smart makes 3-pt shot from 24 ft (assist by J. Sullinger),3,63-72,,
4:07.0,,,63-74,2,Z. LaVine makes 2-pt shot from 19 ft (assist by T. Young)
3:46.0,J. Sullinger misses 2-pt shot from 1 ft (block by G. Dieng),,63-74,,
3:44.0,,,63-74,,Defensive rebound by Z. LaVine
3:41.0,,,63-74,,Offensive charge foul by Z. LaVine
3:41.0,,,63-74,,Turnover by Z. LaVine (offensive foul)
3:41.0,M. Thornton enters the game for A. Bradley,,63-74,,
3:31.0,Turnover by M. Smart (bad pass; steal by Z. LaVine),,63-74,,
3:21.0,,,63-74,,Shooting foul by T. Zeller (drawn by G. Dieng)
3:21.0,,,63-75,1,G. Dieng makes free throw 1 of 2
3:21.0,,,63-76,1,G. Dieng makes free throw 2 of 2
3:12.0,,,63-76,,Personal foul by K. Martin (drawn by T. Zeller)
3:12.0,P. Pressey enters the game for J. Sullinger,,63-76,,
3:05.0,M. Thornton makes 2-pt shot from 3 ft,2,65-76,,
2:49.0,,,65-76,,K. Martin misses 2-pt shot from 20 ft
2:48.0,Defensive rebound by T. Zeller,,65-76,,
2:36.0,Turnover by T. Zeller (step out of bounds),,65-76,,
2:36.0,,,65-76,,C. Budinger enters the game for A. Wiggins
2:15.0,,,65-76,,G. Dieng misses 2-pt shot from 6 ft
2:13.0,Defensive rebound by T. Zeller,,65-76,,
2:04.0,T. Prince makes 2-pt shot at rim (assist by M. Smart),2,67-76,,
1:46.0,,,67-76,,T. Young misses 2-pt shot at rim
1:45.0,Defensive rebound by T. Zeller,,67-76,,
1:39.0,M. Thornton makes 3-pt shot from 24 ft (assist by M. Smart),3,70-76,,
1:20.0,,,70-76,,Turnover by G. Dieng (lost ball; steal by P. Pressey)
1:14.0,M. Smart misses 3-pt shot from 25 ft,,70-76,,
1:13.0,,,70-76,,Defensive rebound by K. Martin
0:56.0,,,70-78,2,G. Dieng makes 2-pt shot at rim (assist by Z. LaVine)
0:56.0,,,70-78,,Shooting foul by M. Smart (drawn by G. Dieng)
0:56.0,,,70-78,,L. Brown enters the game for Z. LaVine
0:56.0,,,70-78,,A. Bennett enters the game for T. Young
0:56.0,,,70-79,1,G. Dieng makes free throw 1 of 1
0:45.0,M. Thornton makes 2-pt shot from 21 ft (assist by T. Zeller),2,72-79,,
0:31.0,,,72-81,2,K. Martin makes 2-pt shot from 16 ft (assist by G. Dieng)
0:24.0,P. Pressey makes 2-pt shot from 1 ft,2,74-81,,
0:07.0,,,74-81,,Turnover by K. Martin (back court)
0:01.0,P. Pressey misses 2-pt shot from 1 ft,,74-81,,
0:00.0,,,74-81,,Defensive rebound by A. Bennett
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,T. Prince misses 2-pt shot from 20 ft,,74-81,,
11:42.0,,,74-81,,Defensive rebound by C. Budinger
11:34.0,,,74-81,,K. Martin misses 3-pt shot from 24 ft
11:33.0,Defensive rebound by T. Prince,,74-81,,
11:17.0,M. Thornton makes 2-pt shot from 19 ft,2,76-81,,
11:07.0,Violation by P. Pressey (kicked ball),,76-81,,
11:00.0,,,76-81,,K. Martin misses 2-pt shot from 1 ft
10:59.0,Defensive rebound by T. Prince,,76-81,,
10:52.0,M. Thornton misses 3-pt shot from 24 ft,,76-81,,
10:50.0,Offensive rebound by P. Pressey,,76-81,,
10:47.0,A. Bradley misses 3-pt shot from 23 ft,,76-81,,
10:46.0,,,76-81,,Defensive rebound by A. Bennett
10:39.0,,,76-81,,L. Brown misses 2-pt shot at rim
10:38.0,Defensive rebound by T. Zeller,,76-81,,
10:25.0,,,76-81,,Personal foul by L. Brown (drawn by P. Pressey)
10:18.0,M. Thornton makes 2-pt shot from 1 ft (assist by P. Pressey),2,78-81,,
10:01.0,,,78-81,,Turnover by L. Brown (bad pass; steal by P. Pressey)
9:55.0,M. Thornton misses 2-pt shot from 20 ft,,78-81,,
9:54.0,,,78-81,,Defensive rebound by A. Bennett
9:38.0,,,78-84,3,C. Budinger makes 3-pt shot from 24 ft (assist by L. Brown)
9:17.0,T. Prince makes 2-pt shot from 1 ft,2,80-84,,
9:03.0,,,80-84,,N. Pekovic misses 2-pt shot from 4 ft
9:02.0,Defensive rebound by T. Zeller,,80-84,,
8:50.0,P. Pressey misses 2-pt shot from 14 ft,,80-84,,
8:49.0,,,80-84,,Defensive rebound by A. Bennett
8:35.0,,,80-84,,Turnover by A. Bennett (bad pass; steal by T. Prince)
8:30.0,M. Thornton misses 2-pt shot from 21 ft,,80-84,,
8:29.0,,,80-84,,Defensive rebound by Team
8:29.0,,,80-84,,Minnesota full timeout
8:29.0,J. Sullinger enters the game for T. Zeller,,80-84,,
8:29.0,,,80-84,,A. Wiggins enters the game for C. Budinger
8:29.0,,,80-84,,T. Young enters the game for A. Bennett
8:16.0,,,80-84,,Shooting foul by T. Prince (drawn by A. Wiggins)
8:16.0,,,80-85,1,A. Wiggins makes free throw 1 of 2
8:16.0,,,80-86,1,A. Wiggins makes free throw 2 of 2
8:02.0,M. Thornton makes 2-pt shot from 2 ft,2,82-86,,
7:48.0,,,82-89,3,K. Martin makes 3-pt shot from 24 ft (assist by A. Wiggins)
7:36.0,P. Pressey misses 3-pt shot from 25 ft,,82-89,,
7:35.0,,,82-89,,Defensive rebound by K. Martin
7:14.0,,,82-91,2,K. Martin makes 2-pt shot from 20 ft
7:14.0,,,82-91,,Shooting foul by M. Thornton (drawn by K. Martin)
7:14.0,E. Turner enters the game for M. Thornton,,82-91,,
7:14.0,,,82-92,1,K. Martin makes free throw 1 of 1
6:56.0,J. Sullinger misses 2-pt shot from 17 ft,,82-92,,
6:55.0,,,82-92,,Defensive rebound by T. Young
6:41.0,,,82-92,,A. Wiggins misses 2-pt shot from 14 ft
6:40.0,Defensive rebound by A. Bradley,,82-92,,
6:28.0,T. Prince misses 2-pt shot from 6 ft,,82-92,,
6:27.0,,,82-92,,Defensive rebound by L. Brown
6:18.0,Personal foul by J. Sullinger (drawn by N. Pekovic),,82-92,,
6:18.0,M. Smart enters the game for P. Pressey,,82-92,,
6:18.0,B. Bass enters the game for T. Prince,,82-92,,
6:11.0,,,82-95,3,K. Martin makes 3-pt shot from 24 ft
5:54.0,M. Smart misses 2-pt shot from 14 ft,,82-95,,
5:52.0,Offensive rebound by J. Sullinger,,82-95,,
5:45.0,A. Bradley makes 3-pt shot from 23 ft (assist by E. Turner),3,85-95,,
5:33.0,,,85-95,,Shooting foul by E. Turner (drawn by N. Pekovic)
5:33.0,,,85-95,,Minnesota full timeout
5:33.0,,,85-96,1,N. Pekovic makes free throw 1 of 2
5:33.0,,,85-97,1,N. Pekovic makes free throw 2 of 2
5:20.0,E. Turner makes 2-pt shot from 20 ft (assist by J. Sullinger),2,87-97,,
5:11.0,Violation by M. Smart (kicked ball),,87-97,,
5:11.0,,,87-97,,G. Dieng enters the game for N. Pekovic
5:06.0,,,87-97,,K. Martin misses 2-pt shot from 2 ft (block by A. Bradley)
5:04.0,Defensive rebound by J. Sullinger,,87-97,,
4:58.0,Turnover by B. Bass (lost ball),,87-97,,
4:46.0,,,87-97,,L. Brown misses 2-pt shot from 12 ft
4:44.0,,,87-97,,Offensive rebound by A. Wiggins
4:44.0,,,87-99,2,A. Wiggins makes 2-pt shot at rim
4:32.0,J. Sullinger makes 2-pt shot from 1 ft (assist by E. Turner),2,89-99,,
4:32.0,Shooting foul by G. Dieng (drawn by J. Sullinger),,89-99,,
4:32.0,J. Sullinger makes free throw 1 of 1,1,90-99,,
4:17.0,,,90-101,2,A. Wiggins makes 2-pt shot from 9 ft (assist by L. Brown)
3:49.0,A. Bradley misses 3-pt shot from 25 ft,,90-101,,
3:48.0,,,90-101,,Defensive rebound by T. Young
3:25.0,,,90-101,,T. Young misses 2-pt shot from 9 ft
3:24.0,Defensive rebound by E. Turner,,90-101,,
3:14.0,Turnover by M. Smart (lost ball; steal by T. Young),,90-101,,
3:11.0,Personal foul by A. Bradley (drawn by K. Martin),,90-101,,
3:11.0,,,90-101,,K. Martin misses free throw 1 of 2
3:11.0,,,90-101,,Offensive rebound by Team
3:11.0,J. Young enters the game for B. Bass,,90-101,,
3:11.0,,,90-102,1,K. Martin makes free throw 2 of 2
3:00.0,E. Turner makes 2-pt shot at rim,2,92-102,,
2:46.0,,,92-102,,Shooting foul by E. Turner (drawn by G. Dieng)
2:46.0,Boston full timeout,,92-102,,
2:46.0,,,92-102,,G. Dieng misses free throw 1 of 2
2:46.0,,,92-102,,Offensive rebound by Team
2:46.0,,,92-103,1,G. Dieng makes free throw 2 of 2
2:32.0,J. Young misses 2-pt shot from 20 ft,,92-103,,
2:31.0,,,92-103,,Defensive rebound by A. Wiggins
2:08.0,,,92-103,,Turnover by Team (shot clock)
1:56.0,Shooting foul by A. Wiggins (drawn by E. Turner),,92-103,,
1:56.0,E. Turner makes free throw 1 of 2,1,93-103,,
1:56.0,B. Bass enters the game for J. Young,,93-103,,
1:56.0,E. Turner makes free throw 2 of 2,1,94-103,,
1:34.0,,,94-103,,T. Young misses 2-pt shot from 7 ft (block by B. Bass)
1:32.0,Defensive rebound by M. Smart,,94-103,,
1:26.0,J. Sullinger misses 3-pt shot from 25 ft,,94-103,,
1:23.0,,,94-103,,Defensive rebound by G. Dieng
1:19.0,Personal take foul by M. Smart (drawn by K. Martin),,94-103,,
1:19.0,,,94-104,1,K. Martin makes free throw 1 of 2
1:19.0,,,94-105,1,K. Martin makes free throw 2 of 2
1:19.0,Boston full timeout,,94-105,,
1:19.0,J. Young enters the game for B. Bass,,94-105,,
1:19.0,M. Thornton enters the game for E. Turner,,94-105,,
1:11.0,B. Bass enters the game for J. Young,,94-105,,
1:11.0,J. Young enters the game for M. Thornton,,94-105,,
1:11.0,Jump ball: A. Bradley vs. T. Young,,,,Jump ball: A. Bradley vs. T. Young
1:07.0,Turnover by M. Smart (bad pass; steal by T. Young),,94-105,,
0:55.0,Personal foul by J. Sullinger (drawn by L. Brown),,94-105,,
0:55.0,,,94-106,1,L. Brown makes free throw 1 of 2
0:55.0,,,94-106,,L. Brown misses free throw 2 of 2
0:55.0,Defensive rebound by M. Smart,,94-106,,
0:45.0,J. Sullinger makes 2-pt shot from 1 ft,2,96-106,,
