time,Dallas,pts.away,score,pts.home,Orlando
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,J. Barea makes 2-pt shot from 2 ft,2,36-17,,
11:28.0,,,36-19,2,D. Dedmon makes 2-pt shot from 1 ft (assist by B. Gordon)
11:13.0,A. Aminu misses 2-pt shot from 5 ft,,36-19,,
11:12.0,,,36-19,,Defensive rebound by T. Harris
11:03.0,,,36-19,,Shooting foul by C. Villanueva (drawn by M. Harkless)
11:03.0,,,36-20,1,M. Harkless makes free throw 1 of 2
11:03.0,,,36-21,1,M. Harkless makes free throw 2 of 2
10:46.0,A. Aminu makes 2-pt shot from 2 ft,2,38-21,,
10:28.0,,,38-21,,D. Dedmon misses 2-pt shot from 1 ft
10:27.0,Defensive rebound by A. Aminu,,38-21,,
10:12.0,J. Barea misses 3-pt shot from 25 ft,,38-21,,
10:12.0,,,38-21,,Defensive rebound by Team
10:03.0,Personal foul by C. Villanueva (drawn by M. Harkless),,38-21,,
10:00.0,Violation by J. Barea (kicked ball),,38-21,,
9:53.0,,,38-21,,Turnover by B. Gordon (bad pass; steal by R. Felton)
9:48.0,Shooting foul by D. Dedmon (drawn by C. Villanueva),,38-21,,
9:48.0,C. Villanueva misses free throw 1 of 2,,38-21,,
9:48.0,Offensive rebound by Team,,38-21,,
9:48.0,,,38-21,,A. Gordon enters the game for M. Harkless
9:48.0,,,38-21,,N. Vucevic enters the game for D. Dedmon
9:48.0,G. Smith enters the game for A. Aminu,,38-21,,
9:48.0,C. Villanueva misses free throw 2 of 2,,38-21,,
9:48.0,,,38-21,,Defensive rebound by N. Vucevic
9:28.0,,,38-21,,A. Gordon misses 2-pt shot from 1 ft (block by C. Villanueva)
9:26.0,Defensive rebound by G. Smith,,38-21,,
9:18.0,Turnover by D. Nowitzki (bad pass; steal by W. Green),,38-21,,
9:12.0,,,38-21,,Turnover by B. Gordon (bad pass; steal by J. Barea)
9:09.0,Turnover by J. Barea (lost ball; steal by W. Green),,38-21,,
9:01.0,,,38-21,,Shooting foul by G. Smith (drawn by W. Green)
9:01.0,,,38-22,1,W. Green makes free throw 1 of 2
9:01.0,A. Aminu enters the game for C. Villanueva,,38-22,,
9:01.0,,,38-23,1,W. Green makes free throw 2 of 2
8:46.0,Offensive foul by R. Felton,,38-23,,
8:46.0,Turnover by R. Felton (offensive foul),,38-23,,
8:46.0,Official timeout,,38-23,,
8:31.0,,,38-23,,Turnover by B. Gordon (bad pass)
8:14.0,R. Felton misses 3-pt shot from 25 ft,,38-23,,
8:13.0,,,38-23,,Defensive rebound by A. Gordon
8:03.0,,,38-25,2,T. Harris makes 2-pt shot from 2 ft
7:42.0,J. Barea makes 3-pt shot from 25 ft (assist by D. Nowitzki),3,41-25,,
7:12.0,,,41-25,,B. Gordon misses 2-pt shot from 17 ft
7:10.0,,,41-25,,Offensive rebound by N. Vucevic
7:10.0,,,41-27,2,N. Vucevic makes 2-pt shot from 2 ft
6:54.0,G. Smith misses 2-pt shot at rim,,41-27,,
6:53.0,Offensive rebound by D. Nowitzki,,41-27,,
6:34.0,D. Nowitzki makes 2-pt shot from 2 ft,2,43-27,,
6:20.0,,,43-30,3,B. Gordon makes 3-pt shot from 25 ft (assist by T. Harris)
6:17.0,Dallas full timeout,,43-30,,
6:17.0,R. Jefferson enters the game for D. Nowitzki,,43-30,,
6:17.0,T. Chandler enters the game for G. Smith,,43-30,,
6:17.0,D. Harris enters the game for J. Barea,,43-30,,
6:17.0,M. Ellis enters the game for R. Felton,,43-30,,
6:17.0,,,43-30,,E. Payton enters the game for W. Green
6:17.0,,,43-30,,E. Fournier enters the game for B. Gordon
6:05.0,R. Jefferson misses 2-pt shot from 21 ft,,43-30,,
6:03.0,Offensive rebound by A. Aminu,,43-30,,
5:57.0,T. Chandler makes 2-pt shot at rim (assist by M. Ellis),2,45-30,,
5:41.0,,,45-30,,N. Vucevic misses 2-pt shot from 14 ft
5:40.0,Defensive rebound by A. Aminu,,45-30,,
5:31.0,M. Ellis makes 2-pt shot from 17 ft,2,47-30,,
5:08.0,,,47-32,2,N. Vucevic makes 2-pt shot from 7 ft
4:52.0,T. Chandler misses 2-pt shot from 3 ft (block by N. Vucevic),,47-32,,
4:51.0,Offensive rebound by A. Aminu,,47-32,,
4:47.0,Shooting foul by N. Vucevic (drawn by R. Jefferson),,47-32,,
4:47.0,R. Jefferson makes free throw 1 of 2,1,48-32,,
4:47.0,R. Jefferson makes free throw 2 of 2,1,49-32,,
4:35.0,,,49-34,2,E. Fournier makes 2-pt shot from 19 ft
4:15.0,R. Jefferson makes 3-pt shot from 25 ft (assist by M. Ellis),3,52-34,,
4:05.0,Personal foul by A. Aminu (drawn by E. Fournier),,52-34,,
3:57.0,,,52-34,,Turnover by E. Payton (lost ball; steal by A. Aminu)
3:51.0,R. Jefferson makes 2-pt shot from 2 ft (assist by A. Aminu),2,54-34,,
3:46.0,,,54-34,,Offensive foul by A. Gordon
3:46.0,,,54-34,,Turnover by A. Gordon (offensive foul)
3:32.0,T. Chandler makes 2-pt shot at rim (assist by D. Harris),2,56-34,,
3:16.0,,,56-34,,T. Harris misses 2-pt shot from 9 ft
3:14.0,Defensive rebound by T. Chandler,,56-34,,
2:59.0,M. Ellis makes 3-pt shot from 25 ft (assist by T. Chandler),3,59-34,,
2:59.0,,,59-34,,Orlando full timeout
2:59.0,,,59-34,,D. Dedmon enters the game for A. Gordon
2:59.0,,,59-34,,W. Green enters the game for N. Vucevic
2:59.0,,,59-34,,B. Gordon enters the game for E. Payton
2:45.0,,,59-34,,Shooting foul by A. Aminu (drawn by T. Harris)
2:45.0,,,59-34,,T. Harris misses free throw 1 of 2
2:45.0,,,59-34,,Offensive rebound by Team
2:45.0,,,59-35,1,T. Harris makes free throw 2 of 2
2:26.0,Turnover by R. Jefferson (bad pass; steal by D. Dedmon),,59-35,,
2:21.0,,,59-37,2,E. Fournier makes 2-pt shot from 22 ft (assist by T. Harris)
2:04.0,,,59-37,,Personal foul by D. Dedmon (drawn by M. Ellis)
2:00.0,,,59-37,,Personal foul by D. Dedmon (drawn by M. Ellis)
2:00.0,,,59-37,,N. Vucevic enters the game for D. Dedmon
1:49.0,D. Harris makes 3-pt shot from 25 ft (assist by M. Ellis),3,62-37,,
1:35.0,,,62-39,2,N. Vucevic makes 2-pt shot from 17 ft
1:18.0,M. Ellis makes 2-pt shot from 21 ft,2,64-39,,
1:01.0,,,64-39,,W. Green misses 3-pt shot from 25 ft
1:00.0,Defensive rebound by A. Aminu,,64-39,,
0:43.0,D. Harris misses 3-pt shot from 25 ft,,64-39,,
0:42.0,,,64-39,,Defensive rebound by N. Vucevic
0:36.0,,,64-41,2,W. Green makes 2-pt shot at rim (assist by T. Harris)
0:19.0,M. Ellis makes 2-pt shot from 19 ft,2,66-41,,
0:00.0,,,66-41,,B. Gordon misses 2-pt shot from 19 ft (block by T. Chandler)
0:00.0,,,66-41,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,Turnover by D. Nowitzki (lost ball; steal by T. Harris),,66-41,,
11:38.0,,,66-41,,T. Harris misses 2-pt shot from 2 ft
11:36.0,Defensive rebound by M. Ellis,,66-41,,
11:24.0,T. Chandler misses 2-pt shot from 17 ft,,66-41,,
11:23.0,,,66-41,,Defensive rebound by E. Payton
11:19.0,Personal foul by R. Jefferson (drawn by E. Payton),,66-41,,
11:10.0,,,66-41,,T. Harris misses 3-pt shot from 22 ft
11:09.0,Defensive rebound by T. Chandler,,66-41,,
10:49.0,D. Nowitzki makes 2-pt shot from 15 ft (assist by M. Ellis),2,68-41,,
10:35.0,,,68-44,3,A. Gordon makes 3-pt shot from 23 ft (assist by E. Fournier)
10:19.0,Turnover by M. Ellis (lost ball; steal by E. Fournier),,68-44,,
10:10.0,,,68-44,,T. Harris misses 3-pt shot from 23 ft
10:09.0,Defensive rebound by T. Chandler,,68-44,,
9:57.0,D. Nowitzki misses 2-pt shot from 14 ft,,68-44,,
9:54.0,,,68-44,,Defensive rebound by N. Vucevic
9:45.0,,,68-44,,E. Payton misses 2-pt shot from 19 ft
9:43.0,Defensive rebound by T. Chandler,,68-44,,
9:21.0,D. Harris makes 3-pt shot from 22 ft (assist by D. Nowitzki),3,71-44,,
8:55.0,,,71-46,2,A. Gordon makes 2-pt shot at rim (assist by E. Payton)
8:34.0,G. Smith enters the game for T. Chandler,,71-46,,
8:27.0,M. Ellis misses 3-pt shot from 25 ft,,71-46,,
8:26.0,,,71-46,,Defensive rebound by E. Payton
8:17.0,,,71-48,2,N. Vucevic makes 2-pt shot from 2 ft (assist by T. Harris)
8:17.0,,,71-48,,Shooting foul by G. Smith (drawn by N. Vucevic)
8:17.0,,,71-49,1,N. Vucevic makes free throw 1 of 1
8:03.0,R. Jefferson makes 3-pt shot from 23 ft (assist by D. Harris),3,74-49,,
7:46.0,,,74-51,2,N. Vucevic makes 2-pt shot from 12 ft (assist by E. Payton)
7:25.0,D. Harris misses 3-pt shot from 25 ft,,74-51,,
7:22.0,,,74-51,,Defensive rebound by N. Vucevic
7:12.0,,,74-51,,A. Gordon misses 2-pt shot from 1 ft
7:11.0,,,74-51,,Offensive rebound by A. Gordon
7:08.0,,,74-53,2,N. Vucevic makes 2-pt shot from 20 ft (assist by E. Payton)
6:39.0,Shooting foul by N. Vucevic (drawn by D. Harris),,74-53,,
6:39.0,D. Harris makes free throw 1 of 2,1,75-53,,
6:39.0,D. Harris misses free throw 2 of 2,,75-53,,
6:37.0,,,75-53,,Defensive rebound by N. Vucevic
6:25.0,,,75-53,,Shooting foul by D. Harris (drawn by T. Harris)
6:25.0,,,75-54,1,T. Harris makes free throw 1 of 2
6:25.0,,,75-55,1,T. Harris makes free throw 2 of 2
6:13.0,M. Ellis misses 2-pt shot from 19 ft,,75-55,,
6:12.0,,,75-55,,Defensive rebound by N. Vucevic
6:00.0,,,75-58,3,A. Gordon makes 3-pt shot from 23 ft (assist by E. Payton)
5:59.0,Dallas full timeout,,75-58,,
5:59.0,C. Villanueva enters the game for D. Nowitzki,,75-58,,
5:59.0,T. Chandler enters the game for G. Smith,,75-58,,
5:37.0,T. Chandler makes 2-pt shot from 5 ft (assist by M. Ellis),2,77-58,,
5:37.0,Shooting foul by A. Gordon (drawn by T. Chandler),,77-58,,
5:37.0,T. Chandler makes free throw 1 of 1,1,78-58,,
5:22.0,,,78-58,,N. Vucevic misses 2-pt shot from 12 ft
5:21.0,Defensive rebound by C. Villanueva,,78-58,,
5:05.0,Turnover by D. Harris (bad pass; steal by E. Payton),,78-58,,
5:02.0,,,78-58,,Shooting foul by D. Harris (drawn by E. Payton)
5:02.0,,,78-59,1,E. Payton makes free throw 1 of 2
5:02.0,,,78-60,1,E. Payton makes free throw 2 of 2
4:49.0,D. Harris misses 2-pt shot from 21 ft,,78-60,,
4:48.0,,,78-60,,Defensive rebound by N. Vucevic
4:27.0,,,78-60,,T. Harris misses 2-pt shot from 2 ft
4:26.0,Defensive rebound by C. Villanueva,,78-60,,
4:20.0,C. Villanueva makes 3-pt shot from 25 ft (assist by D. Harris),3,81-60,,
4:13.0,,,81-60,,Turnover by E. Payton (offensive foul)
4:13.0,,,81-60,,Offensive charge foul by E. Payton
4:13.0,,,81-60,,M. Harkless enters the game for A. Gordon
4:13.0,J. Barea enters the game for R. Jefferson,,81-60,,
4:13.0,A. Aminu enters the game for D. Harris,,81-60,,
3:57.0,M. Ellis misses 2-pt shot from 10 ft,,81-60,,
3:56.0,,,81-60,,Defensive rebound by T. Harris
3:48.0,,,81-63,3,E. Fournier makes 3-pt shot from 27 ft (assist by T. Harris)
3:33.0,A. Aminu misses 2-pt shot from 2 ft (block by M. Harkless),,81-63,,
3:31.0,,,81-63,,Defensive rebound by N. Vucevic
3:17.0,,,81-63,,T. Harris misses 3-pt shot from 22 ft
3:15.0,Defensive rebound by T. Chandler,,81-63,,
3:08.0,T. Chandler makes 2-pt shot from 1 ft (assist by M. Ellis),2,83-63,,
3:08.0,Shooting foul by E. Fournier (drawn by T. Chandler),,83-63,,
3:08.0,T. Chandler makes free throw 1 of 1,1,84-63,,
3:08.0,,,84-63,,Orlando full timeout
3:08.0,,,84-63,,W. Green enters the game for E. Payton
2:52.0,,,84-63,,Shooting foul by M. Ellis (drawn by M. Harkless)
2:52.0,,,84-63,,M. Harkless misses free throw 1 of 2
2:52.0,,,84-63,,Offensive rebound by Team
2:52.0,,,84-64,1,M. Harkless makes free throw 2 of 2
2:37.0,C. Villanueva makes 3-pt shot from 25 ft (assist by M. Ellis),3,87-64,,
2:17.0,,,87-66,2,W. Green makes 2-pt shot from 10 ft
1:53.0,Turnover by M. Ellis (bad pass; steal by M. Harkless),,87-66,,
1:50.0,Shooting block foul by M. Ellis (drawn by M. Harkless),,87-66,,
1:50.0,,,87-67,1,M. Harkless makes free throw 1 of 2
1:50.0,,,87-68,1,M. Harkless makes free throw 2 of 2
1:33.0,C. Villanueva misses 2-pt shot from 9 ft,,87-68,,
1:32.0,,,87-68,,Defensive rebound by N. Vucevic
1:15.0,,,87-68,,N. Vucevic misses 2-pt shot from 20 ft
1:13.0,Defensive rebound by C. Villanueva,,87-68,,
0:59.0,Turnover by J. Barea (bad pass; steal by E. Fournier),,87-68,,
0:55.0,,,87-68,,Shooting foul by M. Ellis (drawn by E. Fournier)
0:55.0,,,87-69,1,E. Fournier makes free throw 1 of 2
0:55.0,R. Felton enters the game for M. Ellis,,87-69,,
0:55.0,D. Nowitzki enters the game for T. Chandler,,87-69,,
0:55.0,,,87-70,1,E. Fournier makes free throw 2 of 2
0:31.0,C. Villanueva misses 3-pt shot from 23 ft,,87-70,,
0:30.0,,,87-70,,Defensive rebound by E. Fournier
0:10.0,,,87-70,,Turnover by M. Harkless (lost ball; steal by A. Aminu)
0:06.0,J. Barea misses 2-pt shot from 1 ft (block by M. Harkless),,87-70,,
0:06.0,Offensive rebound by Team,,87-70,,
0:06.0,,,87-70,,Loose ball foul by E. Fournier (drawn by A. Aminu)
0:06.0,A. Aminu makes free throw 1 of 2,1,88-70,,
0:06.0,R. Jefferson enters the game for D. Nowitzki,,88-70,,
0:06.0,A. Aminu misses free throw 2 of 2,,88-70,,
0:05.0,,,88-70,,Defensive rebound by N. Vucevic
0:00.0,,,88-70,,W. Green misses 3-pt shot from 33 ft
0:00.0,,,88-70,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,88-73,3,C. Frye makes 3-pt shot from 25 ft (assist by W. Green)
11:21.0,J. Barea makes 2-pt shot from 2 ft,2,90-73,,
10:56.0,,,90-76,3,W. Green makes 3-pt shot from 24 ft (assist by C. Frye)
10:42.0,,,90-76,,Personal foul by C. Frye (drawn by D. Nowitzki)
10:29.0,J. Barea misses 2-pt shot from 21 ft,,90-76,,
10:28.0,,,90-76,,Defensive rebound by B. Gordon
10:14.0,Personal foul by J. Barea (drawn by W. Green),,90-76,,
10:07.0,,,90-78,2,W. Green makes 2-pt shot from 2 ft
10:01.0,Dallas full timeout,,90-78,,
10:01.0,T. Chandler enters the game for C. Villanueva,,90-78,,
10:01.0,M. Ellis enters the game for R. Felton,,90-78,,
9:54.0,,,90-78,,Personal foul by A. Gordon (drawn by D. Nowitzki)
9:47.0,Turnover by M. Ellis (lost ball; steal by B. Gordon),,90-78,,
9:26.0,,,90-78,,W. Green misses 3-pt shot from 25 ft
9:25.0,Defensive rebound by A. Aminu,,90-78,,
9:20.0,Shooting foul by B. Gordon (drawn by M. Ellis),,90-78,,
9:20.0,M. Ellis makes free throw 1 of 2,1,91-78,,
9:20.0,M. Ellis makes free throw 2 of 2,1,92-78,,
9:06.0,,,92-80,2,W. Green makes 2-pt shot from 2 ft (assist by C. Frye)
8:52.0,Turnover by D. Nowitzki (traveling),,92-80,,
8:34.0,,,92-83,3,B. Gordon makes 3-pt shot from 25 ft (assist by W. Green)
8:18.0,D. Nowitzki makes 2-pt shot from 17 ft (assist by M. Ellis),2,94-83,,
7:55.0,,,94-83,,Turnover by B. Gordon (lost ball; steal by M. Ellis)
7:54.0,,,94-83,,Personal take foul by C. Frye (drawn by M. Ellis)
7:54.0,,,94-83,,Technical foul by B. Gordon
7:54.0,,,94-83,,B. Gordon ejected from game
7:54.0,,,94-83,,E. Fournier enters the game for B. Gordon
7:54.0,D. Nowitzki misses technical free throw,,94-83,,
7:54.0,Offensive rebound by Team,,94-83,,
7:54.0,C. Villanueva enters the game for D. Nowitzki,,94-83,,
7:54.0,D. Harris enters the game for J. Barea,,94-83,,
7:43.0,M. Ellis misses 3-pt shot from 25 ft,,94-83,,
7:41.0,,,94-83,,Defensive rebound by A. Gordon
7:28.0,,,94-85,2,W. Green makes 2-pt shot from 2 ft
7:28.0,,,94-85,,Shooting foul by C. Villanueva (drawn by W. Green)
7:28.0,,,94-85,,W. Green misses free throw 1 of 1
7:26.0,Defensive rebound by T. Chandler,,94-85,,
7:07.0,Shooting foul by A. Gordon (drawn by C. Villanueva),,94-85,,
7:07.0,C. Villanueva misses free throw 1 of 2,,94-85,,
7:07.0,Offensive rebound by Team,,94-85,,
7:07.0,C. Villanueva misses free throw 2 of 2,,94-85,,
7:06.0,,,94-85,,Defensive rebound by C. Frye
6:43.0,,,94-85,,W. Green misses 2-pt shot from 19 ft
6:42.0,Defensive rebound by C. Villanueva,,94-85,,
6:26.0,M. Ellis misses 2-pt shot from 17 ft,,94-85,,
6:25.0,,,94-85,,Defensive rebound by M. Harkless
6:16.0,Shooting block foul by D. Harris (drawn by A. Gordon),,94-85,,
6:16.0,,,94-85,,A. Gordon misses free throw 1 of 2
6:16.0,,,94-85,,Offensive rebound by Team
6:16.0,D. Nowitzki enters the game for C. Villanueva,,94-85,,
6:16.0,R. Jefferson enters the game for A. Aminu,,94-85,,
6:16.0,,,94-86,1,A. Gordon makes free throw 2 of 2
6:05.0,Offensive foul by D. Harris,,94-86,,
6:05.0,Turnover by D. Harris (offensive foul),,94-86,,
5:52.0,,,94-89,3,C. Frye makes 3-pt shot from 25 ft (assist by W. Green)
5:50.0,Dallas full timeout,,94-89,,
5:50.0,Official timeout,,94-89,,
5:37.0,T. Chandler makes 2-pt shot at rim (assist by M. Ellis),2,96-89,,
5:12.0,,,96-89,,M. Harkless misses 3-pt shot from 25 ft
5:11.0,,,96-89,,Offensive rebound by A. Gordon
5:11.0,,,96-89,,A. Gordon misses 2-pt shot from 2 ft
5:09.0,Defensive rebound by R. Jefferson,,96-89,,
4:51.0,M. Ellis misses 2-pt shot from 10 ft,,96-89,,
4:49.0,,,96-89,,Defensive rebound by W. Green
4:43.0,,,96-89,,E. Fournier misses 3-pt shot from 25 ft
4:42.0,Defensive rebound by D. Nowitzki,,96-89,,
4:25.0,D. Nowitzki misses 2-pt shot from 12 ft,,96-89,,
4:24.0,,,96-89,,Defensive rebound by A. Gordon
4:05.0,,,96-89,,E. Fournier misses 2-pt shot from 22 ft
4:04.0,Defensive rebound by R. Jefferson,,96-89,,
3:46.0,M. Ellis makes 2-pt shot from 2 ft,2,98-89,,
3:46.0,,,98-89,,Orlando full timeout
3:46.0,,,98-89,,T. Harris enters the game for A. Gordon
3:46.0,,,98-89,,Orlando full timeout
3:23.0,,,98-89,,W. Green misses 2-pt shot from 18 ft
3:22.0,Defensive rebound by M. Ellis,,98-89,,
3:02.0,M. Ellis makes 2-pt shot from 19 ft,2,100-89,,
2:44.0,,,100-89,,C. Frye misses 3-pt shot from 26 ft
2:43.0,,,100-89,,Offensive rebound by T. Harris
