time,Houston,pts.away,score,pts.home,Utah
5:13.0,C. Brewer misses 3-pt shot from 23 ft (block by G. Hayward),,55-69,,
5:09.0,,,55-69,,Defensive rebound by R. Gobert
4:55.0,,,55-69,,R. Hood misses 3-pt shot from 25 ft
4:53.0,,,55-69,,Offensive rebound by D. Exum
4:49.0,,,55-69,,D. Exum misses 3-pt shot from 23 ft
4:48.0,Defensive rebound by T. Jones,,55-69,,
4:32.0,J. Harden misses 2-pt shot from 21 ft,,55-69,,
4:30.0,,,55-69,,Defensive rebound by G. Hayward
4:22.0,Personal foul by P. Beverley (drawn by R. Gobert),,55-69,,
4:22.0,Technical foul by P. Beverley (drawn by R. Gobert),,55-69,,
4:22.0,,,55-69,,G. Hayward misses technical free throw
4:22.0,,,55-69,,Offensive rebound by Team
4:22.0,J. Dorsey enters the game for T. Jones,,55-69,,
4:22.0,J. Terry enters the game for P. Beverley,,55-69,,
4:22.0,,,55-69,,T. Booker enters the game for R. Gobert
4:22.0,,,55-69,,J. Ingles enters the game for R. Hood
4:16.0,Personal foul by J. Dorsey (drawn by G. Hayward),,55-69,,
4:02.0,,,55-72,3,G. Hayward makes 3-pt shot from 24 ft (assist by T. Booker)
3:46.0,J. Harden misses 2-pt shot from 3 ft (block by D. Favors),,55-72,,
3:44.0,,,55-72,,Defensive rebound by D. Exum
3:44.0,Personal foul by J. Dorsey (drawn by G. Hayward),,55-72,,
3:44.0,,,55-73,1,G. Hayward makes free throw 1 of 2
3:44.0,,,55-74,1,G. Hayward makes free throw 2 of 2
3:30.0,J. Harden misses 2-pt shot from 2 ft,,55-74,,
3:29.0,,,55-74,,Defensive rebound by T. Booker
3:23.0,,,55-77,3,J. Ingles makes 3-pt shot from 24 ft (assist by G. Hayward)
3:21.0,Houston full timeout,,55-77,,
3:21.0,,,55-77,,E. Millsap enters the game for G. Hayward
3:21.0,,,55-77,,T. Burke enters the game for D. Exum
3:12.0,C. Brewer misses 2-pt shot from 15 ft,,55-77,,
3:10.0,,,55-77,,Defensive rebound by T. Booker
2:50.0,,,55-77,,D. Favors misses 2-pt shot from 15 ft
2:49.0,Defensive rebound by C. Brewer,,55-77,,
2:40.0,Shooting foul by T. Burke (drawn by J. Harden),,55-77,,
2:40.0,J. Harden makes free throw 1 of 2,1,56-77,,
2:40.0,J. Harden makes free throw 2 of 2,1,57-77,,
2:25.0,,,57-77,,Turnover by D. Favors (bad pass; steal by J. Harden)
2:22.0,C. Brewer makes 2-pt shot from 2 ft,2,59-77,,
2:22.0,Shooting foul by D. Favors (drawn by C. Brewer),,59-77,,
2:22.0,C. Brewer makes free throw 1 of 1,1,60-77,,
2:04.0,,,60-79,2,D. Favors makes 2-pt shot from 1 ft (assist by E. Millsap)
1:52.0,,,60-79,,Personal foul by E. Millsap (drawn by J. Dorsey)
1:45.0,J. Harden misses 3-pt shot from 24 ft,,60-79,,
1:43.0,Offensive rebound by J. Harden,,60-79,,
1:42.0,Shooting foul by T. Booker (drawn by J. Harden),,60-79,,
1:42.0,J. Harden makes free throw 1 of 2,1,61-79,,
1:42.0,J. Harden makes free throw 2 of 2,1,62-79,,
1:23.0,,,62-79,,E. Millsap misses 3-pt shot from 25 ft
1:22.0,,,62-79,,Offensive rebound by T. Burke
1:14.0,,,62-79,,Turnover by T. Burke (bad pass)
1:07.0,,,62-79,,Personal foul by D. Favors (drawn by J. Harden)
1:07.0,J. Harden misses free throw 1 of 2,,62-79,,
1:07.0,Offensive rebound by Team,,62-79,,
1:07.0,,,62-79,,R. Gobert enters the game for D. Favors
1:07.0,,,62-79,,R. Hood enters the game for E. Millsap
1:07.0,,,62-79,,D. Exum enters the game for T. Burke
1:07.0,J. Harden misses free throw 2 of 2,,62-79,,
1:05.0,,,62-79,,Defensive rebound by T. Booker
0:49.0,,,62-79,,R. Hood misses 2-pt shot from 7 ft (block by J. Dorsey)
0:49.0,,,62-79,,Offensive rebound by R. Gobert
0:49.0,,,62-81,2,R. Gobert makes 2-pt shot from 2 ft
0:49.0,,,62-81,,Shooting foul by J. Terry (drawn by R. Gobert)
0:49.0,,,62-82,1,R. Gobert makes free throw 1 of 1
0:43.0,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden),3,65-82,,
0:36.0,,,65-82,,Turnover by D. Exum (bad pass; steal by T. Ariza)
0:30.0,J. Terry misses 3-pt shot from 27 ft,,65-82,,
0:28.0,,,65-82,,Defensive rebound by R. Gobert
0:04.0,,,65-82,,R. Hood misses 2-pt shot from 14 ft
0:04.0,,,65-82,,Offensive rebound by Team
0:04.0,,,65-82,,Turnover by Team (shot clock)
0:00.0,J. Harden misses 3-pt shot from 26 ft,,65-82,,
0:00.0,,,65-82,,Defensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,65-84,2,R. Hood makes 2-pt shot from 14 ft
11:23.0,J. Terry makes 3-pt shot from 24 ft (assist by J. Smith),3,68-84,,
10:58.0,,,68-86,2,T. Booker makes 2-pt shot from 1 ft (assist by R. Hood)
10:50.0,C. Brewer makes 3-pt shot from 25 ft (assist by P. Prigioni),3,71-86,,
10:21.0,,,71-86,,T. Booker misses 3-pt shot from 23 ft
10:19.0,Defensive rebound by C. Brewer,,71-86,,
10:19.0,Offensive foul by T. Ariza,,71-86,,
10:19.0,Turnover by T. Ariza (offensive foul),,71-86,,
10:19.0,,,71-86,,E. Millsap enters the game for T. Booker
10:19.0,,,71-86,,T. Burke enters the game for D. Exum
10:08.0,,,71-88,2,R. Hood makes 2-pt shot from 19 ft (assist by T. Burke)
9:54.0,,,71-88,,Personal foul by E. Millsap (drawn by J. Smith)
9:48.0,Turnover by T. Ariza (lost ball; steal by E. Millsap),,71-88,,
9:33.0,,,71-88,,Turnover by E. Millsap (traveling)
9:24.0,J. Smith misses 2-pt shot from 6 ft (block by R. Gobert),,71-88,,
9:22.0,,,71-88,,Defensive rebound by J. Ingles
9:18.0,,,71-90,2,R. Gobert makes 2-pt shot at rim (assist by E. Millsap)
9:09.0,C. Brewer misses 2-pt shot from 5 ft,,71-90,,
9:08.0,,,71-90,,Defensive rebound by J. Ingles
9:02.0,,,71-90,,E. Millsap misses 2-pt shot from 2 ft
9:02.0,,,71-90,,Offensive rebound by E. Millsap
9:02.0,,,71-92,2,E. Millsap makes 2-pt shot from 2 ft
9:02.0,Houston full timeout,,71-92,,
9:02.0,,,71-92,,G. Hayward enters the game for R. Hood
9:02.0,J. Harden enters the game for T. Ariza,,71-92,,
8:47.0,J. Smith misses 3-pt shot from 24 ft,,71-92,,
8:46.0,,,71-92,,Defensive rebound by Team
8:32.0,,,71-92,,Shooting foul by J. Smith (drawn by G. Hayward)
8:32.0,,,71-92,,G. Hayward misses free throw 1 of 2
8:32.0,,,71-92,,Offensive rebound by Team
8:32.0,,,71-92,,G. Hayward misses free throw 2 of 2
8:31.0,Defensive rebound by J. Harden,,71-92,,
8:28.0,Shooting foul by E. Millsap (drawn by C. Brewer),,71-92,,
8:28.0,C. Brewer makes free throw 1 of 2,1,72-92,,
8:28.0,,,72-92,,R. Hood enters the game for E. Millsap
8:28.0,,,72-92,,D. Favors enters the game for R. Gobert
8:28.0,C. Brewer makes free throw 2 of 2,1,73-92,,
8:10.0,,,73-92,,R. Hood misses 3-pt shot from 24 ft
8:08.0,Defensive rebound by C. Brewer,,73-92,,
8:01.0,J. Terry misses 3-pt shot from 23 ft,,73-92,,
8:00.0,,,73-92,,Defensive rebound by T. Burke
7:49.0,,,73-92,,R. Hood misses 3-pt shot from 23 ft
7:48.0,Defensive rebound by P. Prigioni,,73-92,,
7:38.0,J. Harden makes 2-pt shot from 2 ft,2,75-92,,
7:32.0,Personal foul by C. Brewer (drawn by G. Hayward),,75-92,,
7:15.0,,,75-95,3,R. Hood makes 3-pt shot from 25 ft (assist by G. Hayward)
6:59.0,J. Smith makes 2-pt shot from 2 ft,2,77-95,,
6:47.0,,,77-95,,Offensive charge foul by R. Hood
6:47.0,,,77-95,,Turnover by R. Hood (offensive foul)
6:36.0,J. Smith misses 3-pt shot from 24 ft,,77-95,,
6:35.0,,,77-95,,Defensive rebound by G. Hayward
6:19.0,,,77-98,3,R. Hood makes 3-pt shot from 23 ft (assist by D. Favors)
6:03.0,J. Smith makes 2-pt shot from 3 ft (assist by J. Harden),2,79-98,,
5:38.0,,,79-98,,D. Favors misses 3-pt shot from 25 ft
5:36.0,Defensive rebound by C. Brewer,,79-98,,
5:29.0,J. Harden misses 3-pt shot from 24 ft,,79-98,,
5:28.0,,,79-98,,Defensive rebound by J. Ingles
5:28.0,,,79-98,,Utah full timeout
5:28.0,K. McDaniels enters the game for J. Terry,,79-98,,
5:28.0,N. Johnson enters the game for J. Smith,,79-98,,
5:28.0,J. Dorsey enters the game for J. Harden,,79-98,,
5:28.0,,,79-98,,D. Exum enters the game for R. Hood
5:19.0,,,79-98,,T. Burke misses 3-pt shot from 24 ft
5:17.0,Defensive rebound by K. McDaniels,,79-98,,
5:10.0,C. Brewer misses 3-pt shot from 24 ft,,79-98,,
5:09.0,,,79-98,,Defensive rebound by D. Favors
4:59.0,,,79-101,3,J. Ingles makes 3-pt shot from 25 ft (assist by G. Hayward)
4:40.0,J. Dorsey misses 2-pt shot from 3 ft (block by D. Favors),,79-101,,
4:37.0,,,79-101,,Defensive rebound by D. Favors
4:27.0,,,79-103,2,G. Hayward makes 2-pt shot from 17 ft
