time,LA Lakers,pts.away,score,pts.home,Golden State
2:04.0,,,26-28,1,F. Ezeli makes free throw 2 of 2
2:04.0,,,26-26,,Offensive rebound by F. Ezeli
1:49.0,J. Lin misses 3-pt shot from 26 ft,,26-28,,
1:48.0,Offensive rebound by Team,,26-28,,
1:42.0,J. Lin makes 2-pt shot from 17 ft,2,28-28,,
1:22.0,,,28-28,,D. Green misses 3-pt shot from 25 ft
1:21.0,Defensive rebound by E. Davis,,28-28,,
1:12.0,Turnover by J. Lin (bad pass; steal by A. Iguodala),,28-28,,
1:06.0,,,28-28,,K. Thompson misses 2-pt shot from 1 ft (block by J. Lin)
1:03.0,,,28-28,,Offensive rebound by S. Livingston
0:58.0,,,28-30,2,F. Ezeli makes 2-pt shot at rim (assist by A. Iguodala)
0:42.0,C. Boozer misses 2-pt shot from 1 ft (block by D. Green),,28-30,,
0:40.0,Offensive rebound by C. Boozer,,28-30,,
0:37.0,Turnover by C. Boozer (bad pass; steal by D. Green),,28-30,,
0:30.0,,,28-30,,K. Thompson misses 3-pt shot from 25 ft
0:29.0,Defensive rebound by E. Davis,,28-30,,
0:26.0,J. Brown makes 2-pt shot at rim (assist by W. Johnson),2,30-30,,
0:02.0,,,30-30,,Turnover by Team (shot clock)
11:42.0,J. Lin misses 2-pt shot from 2 ft (block by A. Iguodala),,30-30,,
11:42.0,Offensive rebound by Team,,30-30,,
11:35.0,J. Lin misses 2-pt shot from 7 ft,,30-30,,
11:34.0,Offensive rebound by J. Lin,,30-30,,
11:31.0,Turnover by E. Davis (lost ball; steal by A. Iguodala),,30-30,,
11:24.0,,,30-30,,Turnover by A. Iguodala (bad pass; steal by J. Brown)
11:22.0,,,30-30,,Shooting foul by R. Kelly (drawn by D. Lee)
11:22.0,,,30-31,1,D. Lee makes free throw 2 of 2
11:22.0,,,30-30,,D. Lee misses free throw 1 of 2
11:22.0,,,30-30,,Offensive rebound by Team
11:22.0,Turnover by J. Brown (bad pass; steal by J. Holiday),,30-30,,
11:07.0,Turnover by J. Brown (lost ball; steal by J. Holiday),,30-31,,
11:04.0,Personal foul by C. Boozer (drawn by D. Lee),,30-31,,
10:48.0,,,30-31,,S. Livingston misses 2-pt shot from 11 ft
10:47.0,Defensive rebound by E. Davis,,30-31,,
10:37.0,C. Boozer misses 2-pt shot from 2 ft (block by F. Ezeli),,30-31,,
10:36.0,Offensive rebound by C. Boozer,,30-31,,
10:34.0,C. Boozer misses 2-pt shot from 4 ft,,30-31,,
10:32.0,,,30-31,,Defensive rebound by D. Lee
10:23.0,Personal foul by C. Boozer (drawn by S. Livingston),,30-31,,
10:21.0,,,30-31,,Offensive foul by J. Holiday
10:21.0,,,30-31,,Turnover by J. Holiday (offensive foul)
10:09.0,C. Boozer misses 2-pt shot from 6 ft,,30-31,,
10:08.0,,,30-31,,Defensive rebound by J. Holiday
9:52.0,,,30-31,,A. Iguodala misses 2-pt shot from 17 ft
9:51.0,,,30-33,2,F. Ezeli makes 2-pt shot at rim
9:51.0,,,30-31,,Offensive rebound by F. Ezeli
9:39.0,C. Boozer misses 2-pt shot from 14 ft,,30-33,,
9:38.0,,,30-33,,Defensive rebound by F. Ezeli
9:28.0,,,30-33,,Shooting foul by C. Boozer (drawn by D. Lee)
9:28.0,,,30-34,1,D. Lee makes free throw 1 of 2
9:28.0,,,30-35,1,D. Lee makes free throw 2 of 2
9:28.0,W. Johnson enters the game for C. Boozer,,30-34,,
9:28.0,,,30-34,,H. Barnes enters the game for F. Ezeli
9:18.0,J. Brown misses 3-pt shot from 25 ft,,30-35,,
9:15.0,,,30-35,,Defensive rebound by A. Iguodala
9:12.0,,,30-37,2,D. Lee makes 2-pt shot from 1 ft (assist by A. Iguodala)
9:04.0,Shooting foul by D. Lee (drawn by J. Lin),,30-37,,
9:04.0,J. Lin makes free throw 2 of 2,1,31-37,,
9:04.0,J. Lin misses free throw 1 of 2,,30-37,,
9:04.0,Offensive rebound by Team,,30-37,,
8:48.0,,,31-39,2,J. Holiday makes 2-pt shot from 13 ft (assist by S. Livingston)
8:35.0,Turnover by J. Lin (bad pass; steal by J. Holiday),,31-39,,
8:29.0,,,31-39,,A. Iguodala misses 2-pt shot from 1 ft
8:28.0,Defensive rebound by W. Johnson,,31-39,,
8:25.0,J. Brown makes 2-pt shot at rim (assist by J. Lin),2,33-39,,
8:25.0,Shooting foul by H. Barnes (drawn by J. Brown),,33-39,,
8:25.0,J. Brown makes free throw 1 of 1,1,34-39,,
8:25.0,Official timeout,,33-39,,
8:08.0,,,34-39,,J. Holiday misses 3-pt shot from 24 ft
8:06.0,,,34-39,,Offensive rebound by H. Barnes
8:02.0,,,34-41,2,A. Iguodala makes 2-pt shot from 1 ft (assist by H. Barnes)
7:45.0,W. Johnson makes 3-pt shot from 26 ft (assist by E. Davis),3,37-41,,
7:32.0,,,37-44,3,H. Barnes makes 3-pt shot from 27 ft (assist by S. Livingston)
7:18.0,Shooting foul by D. Lee (drawn by E. Davis),,37-44,,
7:18.0,E. Davis makes free throw 1 of 2,1,38-44,,
7:18.0,E. Davis makes free throw 2 of 2,1,39-44,,
7:04.0,,,39-44,,Shooting foul by R. Kelly (drawn by H. Barnes)
7:04.0,,,39-46,1,H. Barnes makes free throw 2 of 2
7:04.0,,,39-45,1,H. Barnes makes free throw 1 of 2
7:04.0,J. Clarkson enters the game for J. Lin,,39-45,,
7:04.0,J. Hill enters the game for E. Davis,,39-45,,
6:47.0,R. Kelly misses 2-pt shot from 5 ft,,39-46,,
6:46.0,,,39-46,,Defensive rebound by J. Holiday
6:41.0,,,39-48,2,H. Barnes makes 2-pt shot from 1 ft (assist by S. Livingston)
6:21.0,J. Hill makes 2-pt shot from 6 ft,2,41-48,,
6:03.0,,,41-48,,Golden State full timeout
6:03.0,W. Ellington enters the game for R. Kelly,,41-48,,
6:03.0,,,41-48,,S. Curry enters the game for J. Holiday
6:03.0,,,41-48,,A. Bogut enters the game for D. Lee
5:58.0,,,41-48,,H. Barnes misses 3-pt shot from 23 ft
5:56.0,Defensive rebound by W. Johnson,,41-48,,
5:39.0,W. Ellington makes 2-pt shot from 20 ft,2,43-48,,
5:21.0,,,43-48,,H. Barnes misses 2-pt shot from 7 ft
5:20.0,Defensive rebound by J. Hill,,43-48,,
5:11.0,J. Hill misses 2-pt shot from 16 ft,,43-48,,
5:10.0,,,43-48,,Defensive rebound by H. Barnes
5:02.0,,,43-50,2,S. Livingston makes 2-pt shot at rim (assist by A. Iguodala)
4:36.0,J. Hill misses 2-pt shot from 6 ft,,43-50,,
4:35.0,,,43-50,,Defensive rebound by A. Bogut
4:26.0,,,43-52,2,S. Curry makes 2-pt shot from 1 ft
4:06.0,J. Clarkson misses 3-pt shot from 27 ft,,43-52,,
4:05.0,,,43-52,,Defensive rebound by A. Bogut
3:56.0,,,43-52,,A. Iguodala misses 3-pt shot from 25 ft
3:55.0,Defensive rebound by J. Hill,,43-52,,
3:44.0,,,43-52,,Violation by A. Iguodala (kicked ball)
3:44.0,T. Black enters the game for J. Brown,,43-52,,
3:44.0,,,43-52,,D. Green enters the game for S. Livingston
3:44.0,,,43-52,,K. Thompson enters the game for A. Iguodala
3:35.0,Shooting foul by D. Green (drawn by T. Black),,43-52,,
3:35.0,T. Black makes free throw 2 of 2,1,45-52,,
3:35.0,T. Black makes free throw 1 of 2,1,44-52,,
3:15.0,,,45-52,,H. Barnes misses 2-pt shot from 1 ft
3:14.0,Defensive rebound by T. Black,,45-52,,
3:11.0,Offensive charge foul by J. Hill,,45-52,,
3:11.0,Turnover by J. Hill (offensive foul),,45-52,,
2:58.0,,,45-52,,Turnover by S. Curry (bad pass; steal by J. Clarkson)
2:53.0,J. Clarkson makes 2-pt shot from 1 ft,2,47-52,,
2:38.0,,,47-52,,H. Barnes misses 3-pt shot from 23 ft
2:36.0,Defensive rebound by J. Hill,,47-52,,
2:30.0,W. Ellington makes 3-pt shot from 24 ft,3,50-52,,
2:18.0,,,50-52,,Turnover by D. Green (bad pass; steal by J. Hill)
2:17.0,,,50-52,,Personal foul by K. Thompson (drawn by J. Hill)
2:17.0,J. Hill makes free throw 2 of 2,1,52-52,,
2:17.0,J. Hill makes free throw 1 of 2,1,51-52,,
2:17.0,LA Lakers full timeout,,50-52,,
2:01.0,,,52-54,2,A. Bogut makes 2-pt shot from 4 ft (assist by H. Barnes)
1:47.0,J. Clarkson misses 2-pt shot from 18 ft,,52-54,,
1:46.0,,,52-54,,Defensive rebound by D. Green
1:34.0,,,52-56,2,K. Thompson makes 2-pt shot from 17 ft (assist by A. Bogut)
1:15.0,W. Ellington misses 2-pt shot from 17 ft,,52-56,,
1:13.0,,,52-56,,Defensive rebound by D. Green
1:07.0,,,52-58,2,D. Green makes 2-pt shot from 1 ft
0:49.0,J. Hill misses 2-pt shot from 17 ft,,52-58,,
0:48.0,,,52-58,,Defensive rebound by S. Curry
0:41.0,,,52-58,,S. Curry misses 2-pt shot from 21 ft
0:40.0,Defensive rebound by J. Hill,,52-58,,
0:26.0,T. Black makes 2-pt shot from 4 ft (assist by J. Clarkson),2,54-58,,
0:03.0,,,54-58,,K. Thompson misses 2-pt shot from 21 ft
0:01.0,Defensive rebound by J. Hill,,54-58,,
11:40.0,J. Clarkson makes 2-pt shot from 20 ft,2,56-58,,
11:24.0,,,56-58,,Turnover by A. Bogut (bad pass; steal by W. Ellington)
11:15.0,T. Black misses 2-pt shot at rim (block by H. Barnes),,56-58,,
11:12.0,,,56-58,,Defensive rebound by K. Thompson
11:04.0,,,56-58,,D. Green misses 3-pt shot from 25 ft
11:03.0,Defensive rebound by W. Johnson,,56-58,,
10:45.0,J. Clarkson makes 2-pt shot from 10 ft (assist by J. Hill),2,58-58,,
10:25.0,,,58-58,,S. Curry misses 3-pt shot from 26 ft
10:23.0,Defensive rebound by T. Black,,58-58,,
10:14.0,W. Ellington misses 2-pt shot from 15 ft,,58-58,,
10:10.0,Offensive rebound by W. Ellington,,58-58,,
10:05.0,W. Johnson misses 2-pt shot from 15 ft,,58-58,,
10:03.0,,,58-58,,Defensive rebound by S. Curry
9:51.0,,,58-58,,S. Curry misses 3-pt shot from 26 ft
9:50.0,Defensive rebound by T. Black,,58-58,,
9:36.0,J. Hill makes 2-pt shot from 16 ft,2,60-58,,
9:23.0,,,60-61,3,K. Thompson makes 3-pt shot from 26 ft (assist by D. Green)
9:01.0,J. Hill misses 2-pt shot from 2 ft,,60-61,,
9:00.0,,,60-61,,Defensive rebound by Team
8:54.0,,,60-61,,S. Curry misses 2-pt shot from 13 ft
8:52.0,Defensive rebound by J. Hill,,60-61,,
8:41.0,J. Hill misses 2-pt shot from 4 ft,,60-61,,
8:40.0,,,60-61,,Personal foul by K. Thompson (drawn by T. Black)
8:40.0,Offensive rebound by T. Black,,60-61,,
8:24.0,J. Hill misses 2-pt shot from 18 ft,,60-61,,
8:22.0,,,60-61,,Defensive rebound by Team
8:10.0,,,60-61,,K. Thompson misses 3-pt shot from 25 ft
8:08.0,Defensive rebound by J. Hill,,60-61,,
7:43.0,T. Black misses 2-pt shot from 7 ft,,60-61,,
7:42.0,,,60-61,,Defensive rebound by D. Green
7:29.0,,,60-61,,K. Thompson misses 3-pt shot from 25 ft
7:28.0,Defensive rebound by T. Black,,60-61,,
7:06.0,J. Hill makes 2-pt shot from 6 ft,2,62-61,,
6:54.0,,,62-63,2,D. Green makes 2-pt shot at rim (assist by S. Curry)
6:30.0,W. Ellington misses 2-pt shot from 19 ft,,62-63,,
6:29.0,,,62-63,,Defensive rebound by A. Bogut
6:22.0,,,62-65,2,A. Bogut makes 2-pt shot at rim (assist by S. Curry)
6:04.0,,,62-65,,Personal foul by K. Thompson (drawn by W. Ellington)
6:00.0,W. Johnson makes 3-pt shot from 26 ft (assist by T. Black),3,65-65,,
5:51.0,,,65-67,2,S. Curry makes 2-pt shot from 19 ft
5:35.0,J. Clarkson misses 2-pt shot from 13 ft,,65-67,,
5:33.0,Offensive rebound by J. Clarkson,,65-67,,
5:32.0,J. Clarkson makes 2-pt shot from 7 ft,2,67-67,,
5:21.0,,,67-67,,Shooting foul by T. Black (drawn by K. Thompson)
5:21.0,,,67-69,1,K. Thompson makes free throw 2 of 2
5:21.0,,,67-68,1,K. Thompson makes free throw 1 of 2
5:21.0,,,67-67,,Golden State full timeout
5:21.0,,,67-67,,J. McAdoo enters the game for D. Green
5:21.0,,,67-67,,A. Iguodala enters the game for H. Barnes
5:07.0,J. Clarkson misses 2-pt shot from 9 ft (block by J. McAdoo),,67-69,,
5:05.0,,,67-69,,Defensive rebound by S. Curry
4:59.0,,,67-71,2,S. Curry makes 2-pt shot from 2 ft
4:49.0,J. Clarkson misses 2-pt shot from 5 ft,,67-71,,
4:46.0,Offensive rebound by J. Clarkson,,67-71,,
4:26.0,W. Johnson misses 2-pt shot from 17 ft,,67-71,,
4:25.0,,,67-71,,Defensive rebound by A. Bogut
4:14.0,,,67-71,,Personal foul by A. Bogut (drawn by W. Johnson)
4:14.0,,,67-71,,Turnover by S. Curry (lost ball; steal by J. Hill)
4:14.0,E. Davis enters the game for J. Clarkson,,67-71,,
4:14.0,J. Lin enters the game for T. Black,,67-71,,
4:14.0,C. Boozer enters the game for J. Hill,,67-71,,
4:02.0,J. Lin makes 3-pt shot from 25 ft (assist by E. Davis),3,70-71,,
3:48.0,,,70-71,,K. Thompson misses 2-pt shot from 13 ft
3:47.0,Defensive rebound by C. Boozer,,70-71,,
3:35.0,W. Ellington misses 3-pt shot from 26 ft,,70-71,,
3:34.0,,,70-71,,Defensive rebound by J. McAdoo
3:16.0,,,70-73,2,K. Thompson makes 2-pt shot from 12 ft (assist by A. Bogut)
2:59.0,J. Lin makes 2-pt shot from 20 ft (assist by C. Boozer),2,72-73,,
2:43.0,,,72-75,2,A. Bogut makes 2-pt shot at rim (assist by A. Iguodala)
2:30.0,C. Boozer makes 2-pt shot from 2 ft (assist by E. Davis),2,74-75,,
2:10.0,,,74-78,3,S. Curry makes 3-pt shot from 25 ft (assist by A. Bogut)
1:44.0,W. Johnson misses 2-pt shot from 20 ft,,74-78,,
1:42.0,,,74-78,,Defensive rebound by J. McAdoo
1:31.0,,,74-81,3,S. Curry makes 3-pt shot from 26 ft (assist by A. Iguodala)
1:31.0,,,74-81,,Shooting foul by W. Johnson (drawn by S. Curry)
1:31.0,,,74-82,1,S. Curry makes free throw 1 of 1
1:31.0,LA Lakers full timeout,,74-81,,
1:31.0,,,74-81,,J. Holiday enters the game for K. Thompson
1:31.0,,,74-81,,D. Lee enters the game for A. Bogut
1:31.0,J. Brown enters the game for W. Ellington,,74-81,,
1:08.0,W. Johnson makes 2-pt shot from 13 ft (assist by C. Boozer),2,76-82,,
0:48.0,,,76-82,,S. Curry misses 2-pt shot from 16 ft
0:47.0,Defensive rebound by C. Boozer,,76-82,,
0:37.0,C. Boozer makes 2-pt shot from 17 ft (assist by J. Brown),2,78-82,,
0:30.0,Personal foul by J. Lin (drawn by S. Curry),,78-82,,
0:20.0,,,78-82,,Loose ball foul by S. Curry (drawn by J. Lin)
0:20.0,,,78-82,,Turnover by S. Curry (lost ball)
0:20.0,,,78-82,,S. Livingston enters the game for S. Curry
0:01.0,J. Lin misses 2-pt shot from 19 ft,,78-82,,
0:00.0,Offensive rebound by Team,,78-82,,
12:00.0,,,78-84,1,S. Curry makes free throw 2 of 2
12:00.0,,,78-83,1,S. Curry makes free throw 1 of 2
12:00.0,,,78-83,,S. Livingston enters the game for S. Curry
11:46.0,,,78-84,,D. Lee misses 2-pt shot from 3 ft (block by E. Davis)
11:45.0,Defensive rebound by C. Boozer,,78-84,,
11:31.0,R. Kelly misses 3-pt shot from 26 ft,,78-84,,
11:30.0,,,78-84,,Defensive rebound by D. Lee
11:20.0,,,78-86,2,A. Iguodala makes 2-pt shot from 15 ft
11:04.0,,,78-86,,Personal foul by S. Livingston (drawn by J. Lin)
11:01.0,Shooting foul by D. Lee (drawn by J. Lin),,78-86,,
11:01.0,J. Lin makes free throw 1 of 2,1,79-86,,
11:01.0,J. Lin makes free throw 2 of 2,1,80-86,,
10:48.0,,,80-86,,D. Green misses 3-pt shot from 25 ft
10:47.0,Defensive rebound by R. Kelly,,80-86,,
10:25.0,E. Davis makes 2-pt shot from 9 ft,2,82-86,,
10:06.0,,,82-86,,J. Holiday misses 3-pt shot from 25 ft
10:05.0,Defensive rebound by R. Kelly,,82-86,,
9:58.0,J. Lin misses 3-pt shot from 26 ft,,82-86,,
9:56.0,,,82-86,,Defensive rebound by D. Green
9:49.0,,,82-86,,Shooting foul by C. Boozer (drawn by J. Holiday)
9:49.0,,,82-87,1,J. Holiday makes free throw 2 of 2
9:49.0,,,82-86,,J. Holiday misses free throw 1 of 2
9:49.0,,,82-86,,Offensive rebound by Team
9:36.0,R. Kelly makes 2-pt shot from 1 ft,2,84-87,,
9:30.0,Personal foul by J. Lin (drawn by A. Iguodala),,84-87,,
9:14.0,,,84-89,2,S. Livingston makes 2-pt shot from 15 ft
8:57.0,Shooting foul by S. Livingston (drawn by J. Lin),,84-89,,
8:57.0,J. Lin makes free throw 1 of 2,1,85-89,,
8:57.0,J. Lin misses free throw 2 of 2,,85-89,,
8:57.0,Official timeout,,84-89,,
8:55.0,,,85-89,,Defensive rebound by S. Livingston
8:47.0,,,85-89,,Offensive charge foul by D. Green
8:47.0,,,85-89,,Turnover by D. Green (offensive foul)
8:40.0,,,85-89,,Personal foul by A. Iguodala (drawn by R. Kelly)
8:40.0,,,85-89,,K. Thompson enters the game for J. Holiday
8:38.0,Shooting foul by D. Green (drawn by J. Lin),,85-89,,
8:38.0,J. Lin makes free throw 2 of 2,1,87-89,,
8:38.0,J. Lin makes free throw 1 of 2,1,86-89,,
8:17.0,,,87-91,2,S. Livingston makes 2-pt shot from 4 ft (assist by D. Green)
7:56.0,C. Boozer misses 2-pt shot from 4 ft,,87-91,,
7:54.0,,,87-91,,Defensive rebound by A. Iguodala
7:46.0,,,87-93,2,D. Green makes 2-pt shot at rim (assist by A. Iguodala)
7:19.0,E. Davis misses 2-pt shot from 3 ft,,87-93,,
7:18.0,C. Boozer makes 2-pt shot at rim,2,89-93,,
7:18.0,Offensive rebound by C. Boozer,,87-93,,
7:10.0,,,89-93,,A. Bogut enters the game for D. Lee
7:00.0,,,89-93,,Turnover by S. Livingston (lost ball; steal by C. Boozer)
6:43.0,C. Boozer misses 2-pt shot from 2 ft (block by K. Thompson),,89-93,,
6:42.0,Offensive rebound by Team,,89-93,,
6:39.0,J. Brown misses 2-pt shot from 10 ft,,89-93,,
6:38.0,,,89-93,,Defensive rebound by D. Green
6:31.0,,,89-95,2,A. Iguodala makes 2-pt shot at rim (assist by S. Livingston)
6:31.0,LA Lakers full timeout,,89-95,,
6:10.0,R. Kelly misses 2-pt shot from 5 ft,,89-95,,
6:07.0,,,89-95,,Defensive rebound by D. Green
5:48.0,,,89-95,,K. Thompson misses 2-pt shot from 2 ft (block by E. Davis)
5:45.0,Defensive rebound by E. Davis,,89-95,,
5:41.0,C. Boozer makes 2-pt shot from 1 ft (assist by J. Lin),2,91-95,,
5:27.0,Personal foul by J. Lin (drawn by S. Livingston),,91-95,,
5:27.0,,,91-95,,S. Curry enters the game for S. Livingston
5:27.0,W. Johnson enters the game for R. Kelly,,91-95,,
5:27.0,J. Hill enters the game for E. Davis,,91-95,,
5:27.0,W. Ellington enters the game for J. Brown,,91-95,,
5:22.0,,,91-95,,Turnover by S. Curry (bad pass; steal by J. Hill)
5:17.0,,,91-95,,Personal foul by A. Bogut (drawn by J. Lin)
5:17.0,J. Lin makes free throw 2 of 2,1,93-95,,
5:17.0,J. Lin makes free throw 1 of 2,1,92-95,,
5:01.0,,,93-95,,Turnover by D. Green (lost ball; steal by J. Lin)
4:54.0,W. Ellington misses 3-pt shot from 28 ft,,93-95,,
4:52.0,Offensive rebound by C. Boozer,,93-95,,
4:42.0,J. Hill makes 2-pt shot from 9 ft (assist by W. Johnson),2,95-95,,
4:31.0,,,95-98,3,K. Thompson makes 3-pt shot from 24 ft (assist by S. Curry)
4:11.0,Turnover by J. Lin (bad pass; steal by A. Bogut),,95-98,,
4:05.0,,,95-100,2,A. Iguodala makes 2-pt shot at rim (assist by S. Curry)
3:46.0,Turnover by J. Lin (lost ball; steal by S. Curry),,95-100,,
3:38.0,,,95-100,,S. Curry misses 3-pt shot from 26 ft
3:35.0,Defensive rebound by C. Boozer,,95-100,,
3:30.0,LA Lakers full timeout,,95-100,,
3:30.0,J. Clarkson enters the game for J. Lin,,95-100,,
3:13.0,W. Ellington misses 2-pt shot from 22 ft,,95-100,,
3:12.0,Offensive rebound by Team,,95-100,,
3:12.0,Turnover by Team (shot clock),,95-100,,
3:02.0,,,95-100,,K. Thompson misses 2-pt shot from 10 ft
3:01.0,,,95-100,,D. Green misses 2-pt shot at rim
3:01.0,,,95-100,,Offensive rebound by D. Green
2:59.0,Defensive rebound by J. Hill,,95-100,,
2:46.0,Turnover by W. Johnson (bad pass; steal by D. Green),,95-100,,
2:42.0,Personal foul by J. Hill (drawn by K. Thompson),,95-100,,
2:42.0,,,95-100,,Golden State full timeout
2:37.0,,,95-100,,Golden State full timeout
2:29.0,,,95-102,2,K. Thompson makes 2-pt shot from 2 ft (assist by S. Curry)
2:29.0,Violation by J. Hill (def goaltending),,95-102,,
2:08.0,C. Boozer makes 2-pt shot from 4 ft (assist by J. Clarkson),2,97-102,,
1:59.0,,,97-102,,K. Thompson misses 3-pt shot from 25 ft
1:58.0,,,97-102,,A. Bogut misses 2-pt shot at rim
1:58.0,,,97-102,,Offensive rebound by A. Bogut
1:57.0,,,97-104,2,A. Bogut makes 2-pt shot at rim
1:57.0,,,97-102,,Offensive rebound by A. Bogut
1:33.0,W. Johnson makes 2-pt shot from 19 ft (assist by J. Hill),2,99-104,,
1:13.0,,,99-104,,D. Green misses 2-pt shot from 1 ft
