time,Sacramento,pts.away,score,pts.home,Detroit
6:20.0,,,11-8,,Defensive rebound by K. Caldwell-Pope
6:08.0,,,11-8,,G. Monroe misses 2-pt shot from 3 ft
6:07.0,Defensive rebound by R. Gay,,11-8,,
5:56.0,J. Thompson misses 2-pt shot from 17 ft,,11-8,,
5:55.0,,,11-8,,Defensive rebound by A. Drummond
5:45.0,,,11-8,,K. Singler misses 3-pt shot from 26 ft
5:44.0,Defensive rebound by J. Thompson,,11-8,,
5:21.0,R. Gay misses 2-pt shot from 1 ft,,11-8,,
5:19.0,,,11-8,,Defensive rebound by A. Drummond
5:13.0,,,11-11,3,K. Singler makes 3-pt shot from 24 ft (assist by B. Jennings)
5:07.0,Sacramento full timeout,,11-11,,
5:04.0,,,11-11,,Personal foul by A. Drummond (drawn by D. Cousins)
5:04.0,,,11-11,,J. Jerebko enters the game for A. Drummond
5:04.0,D. Williams enters the game for J. Thompson,,11-11,,
4:56.0,R. Gay misses 3-pt shot from 23 ft,,11-11,,
4:55.0,,,11-11,,Defensive rebound by G. Monroe
4:45.0,,,11-13,2,B. Jennings makes 2-pt shot from 20 ft
4:23.0,Turnover by D. Cousins (bad pass; steal by K. Caldwell-Pope),,11-13,,
4:19.0,,,11-15,2,K. Caldwell-Pope makes 2-pt shot at rim
3:54.0,D. Cousins misses 2-pt shot from 1 ft,,11-15,,
3:53.0,,,11-15,,Defensive rebound by J. Jerebko
3:43.0,,,11-15,,J. Jerebko misses 3-pt shot from 26 ft
3:42.0,Defensive rebound by R. Gay,,11-15,,
3:32.0,D. Williams misses 3-pt shot from 26 ft,,11-15,,
3:31.0,,,11-15,,Defensive rebound by K. Caldwell-Pope
3:25.0,,,11-15,,B. Jennings misses 2-pt shot at rim
3:23.0,,,11-15,,Offensive rebound by G. Monroe
3:23.0,,,11-17,2,G. Monroe makes 2-pt shot at rim
3:23.0,,,11-17,,Technical foul by B. Jennings
3:23.0,D. Cousins makes technical free throw,1,12-17,,
3:03.0,R. McCallum makes 2-pt shot at rim,2,14-17,,
2:53.0,,,14-19,2,B. Jennings makes 2-pt shot from 6 ft
2:53.0,,,14-19,,Shooting foul by R. McCallum (drawn by B. Jennings)
2:53.0,,,14-19,,J. Meeks enters the game for K. Caldwell-Pope
2:53.0,,,14-20,1,B. Jennings makes free throw 1 of 1
2:30.0,D. Williams makes 2-pt shot from 1 ft (assist by D. Cousins),2,16-20,,
2:19.0,,,16-20,,B. Jennings misses 3-pt shot from 24 ft
2:18.0,Defensive rebound by R. Gay,,16-20,,
2:13.0,Turnover by R. Gay (bad pass; steal by B. Jennings),,16-20,,
2:05.0,,,16-22,2,G. Monroe makes 2-pt shot at rim (assist by J. Jerebko)
1:53.0,,,16-22,,Personal foul by B. Jennings (drawn by R. McCallum)
1:53.0,N. Stauskas enters the game for R. Gay,,16-22,,
1:53.0,J. Thompson enters the game for D. Cousins,,16-22,,
1:53.0,,,16-22,,D. Augustin enters the game for B. Jennings
1:42.0,J. Thompson makes 2-pt shot from 6 ft (assist by N. Stauskas),2,18-22,,
1:32.0,,,18-22,,J. Meeks misses 2-pt shot from 1 ft
1:29.0,Defensive rebound by J. Thompson,,18-22,,
1:24.0,R. McCallum makes 2-pt shot at rim,2,20-22,,
1:05.0,,,20-22,,K. Singler misses 2-pt shot from 19 ft
1:04.0,Defensive rebound by N. Stauskas,,20-22,,
0:59.0,J. Thompson makes 2-pt shot at rim (assist by N. Stauskas),2,22-22,,
0:50.0,,,22-22,,J. Meeks misses 2-pt shot from 1 ft (block by J. Thompson)
0:48.0,,,22-22,,Offensive rebound by G. Monroe
0:44.0,,,22-22,,G. Monroe misses 2-pt shot from 4 ft
0:42.0,Defensive rebound by J. Thompson,,22-22,,
0:38.0,R. McCallum misses 2-pt shot from 3 ft,,22-22,,
0:37.0,,,22-22,,Defensive rebound by K. Singler
0:26.0,,,22-24,2,D. Augustin makes 2-pt shot from 1 ft
0:01.0,B. McLemore misses 3-pt shot from 23 ft,,22-24,,
0:01.0,,,22-24,,Defensive rebound by D. Augustin
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,N. Stauskas misses 2-pt shot from 6 ft,,22-24,,
11:44.0,,,22-24,,Defensive rebound by C. Butler
11:28.0,,,22-24,,A. Drummond misses 2-pt shot from 4 ft
11:26.0,Defensive rebound by D. Williams,,22-24,,
11:16.0,D. Williams makes 2-pt shot from 17 ft,2,24-24,,
11:02.0,,,24-26,2,A. Drummond makes 2-pt shot at rim (assist by D. Augustin)
10:44.0,Turnover by C. Landry (lost ball; steal by J. Jerebko),,24-26,,
10:41.0,,,24-28,2,J. Meeks makes 2-pt shot from 1 ft (assist by C. Butler)
10:41.0,,,24-28,,Shooting foul by N. Stauskas (drawn by J. Meeks)
10:41.0,D. Cousins enters the game for J. Thompson,,24-28,,
10:41.0,,,24-29,1,J. Meeks makes free throw 1 of 1
10:25.0,Shooting foul by A. Drummond (drawn by C. Landry),,24-29,,
10:25.0,C. Landry makes free throw 1 of 2,1,25-29,,
10:25.0,,,25-29,,J. Anthony enters the game for A. Drummond
10:25.0,C. Landry makes free throw 2 of 2,1,26-29,,
10:11.0,,,26-29,,J. Meeks misses 2-pt shot from 6 ft
10:09.0,Defensive rebound by R. McCallum,,26-29,,
9:55.0,,,26-29,,Personal foul by J. Meeks (drawn by D. Cousins)
9:41.0,D. Williams misses 2-pt shot from 3 ft,,26-29,,
9:41.0,Offensive rebound by C. Landry,,26-29,,
9:41.0,Turnover by Team (shot clock),,26-29,,
9:22.0,,,26-29,,Offensive charge foul by J. Jerebko
9:22.0,,,26-29,,Turnover by J. Jerebko (offensive foul)
9:10.0,Turnover by D. Cousins (lost ball),,26-29,,
9:02.0,,,26-29,,Offensive foul by J. Jerebko
9:02.0,,,26-29,,Turnover by J. Jerebko (offensive foul)
8:42.0,Shooting foul by J. Anthony (drawn by D. Cousins),,26-29,,
8:42.0,Official timeout,,26-29,,
8:42.0,D. Cousins makes free throw 1 of 2,1,27-29,,
8:42.0,D. Cousins misses free throw 2 of 2,,27-29,,
8:41.0,,,27-29,,Defensive rebound by J. Anthony
8:27.0,,,27-32,3,J. Meeks makes 3-pt shot from 25 ft (assist by D. Augustin)
8:11.0,Shooting foul by J. Jerebko (drawn by D. Cousins),,27-32,,
8:11.0,,,27-32,,Technical foul by J. Jerebko (drawn by D. Cousins)
8:11.0,D. Cousins makes technical free throw,1,28-32,,
8:11.0,D. Cousins misses free throw 1 of 2,,28-32,,
8:11.0,Offensive rebound by Team,,28-32,,
8:11.0,,,28-32,,A. Tolliver enters the game for J. Jerebko
8:11.0,D. Cousins makes free throw 2 of 2,1,29-32,,
7:57.0,,,29-34,2,J. Anthony makes 2-pt shot from 9 ft (assist by A. Tolliver)
7:43.0,R. McCallum makes 2-pt shot from 5 ft,2,31-34,,
7:29.0,,,31-36,2,J. Meeks makes 2-pt shot at rim (assist by A. Tolliver)
7:18.0,Turnover by D. Cousins (traveling),,31-36,,
7:18.0,D. Collison enters the game for N. Stauskas,,31-36,,
7:18.0,B. McLemore enters the game for R. McCallum,,31-36,,
7:07.0,,,31-38,2,D. Augustin makes 2-pt shot from 6 ft
6:41.0,D. Williams misses 3-pt shot from 25 ft,,31-38,,
6:40.0,,,31-38,,Defensive rebound by D. Augustin
6:33.0,,,31-38,,C. Butler misses 3-pt shot from 25 ft
6:32.0,Defensive rebound by D. Collison,,31-38,,
6:22.0,D. Cousins misses 2-pt shot from 21 ft,,31-38,,
6:21.0,,,31-38,,Defensive rebound by A. Tolliver
6:12.0,,,31-38,,D. Augustin misses 2-pt shot from 22 ft
6:11.0,Defensive rebound by D. Collison,,31-38,,
6:02.0,Turnover by D. Cousins (bad pass),,31-38,,
6:02.0,R. Gay enters the game for D. Williams,,31-38,,
5:41.0,,,31-41,3,A. Tolliver makes 3-pt shot from 22 ft (assist by C. Butler)
5:22.0,,,31-41,,Personal foul by A. Tolliver (drawn by D. Cousins)
5:22.0,,,31-41,,Detroit full timeout
5:22.0,D. Cousins makes free throw 1 of 2,1,32-41,,
5:22.0,D. Cousins makes free throw 2 of 2,1,33-41,,
4:58.0,,,33-41,,A. Tolliver misses 3-pt shot from 26 ft
4:57.0,Defensive rebound by D. Collison,,33-41,,
4:40.0,D. Cousins misses 2-pt shot from 4 ft,,33-41,,
4:39.0,,,33-41,,Defensive rebound by J. Meeks
4:30.0,,,33-41,,A. Tolliver misses 3-pt shot from 23 ft
4:29.0,Defensive rebound by D. Cousins,,33-41,,
4:13.0,C. Landry misses 2-pt shot from 6 ft,,33-41,,
4:11.0,,,33-41,,Defensive rebound by J. Meeks
4:02.0,,,33-44,3,A. Tolliver makes 3-pt shot from 23 ft (assist by J. Meeks)
3:42.0,B. McLemore makes 2-pt shot at rim (assist by R. Gay),2,35-44,,
3:30.0,,,35-44,,Turnover by D. Augustin (bad pass; steal by D. Cousins)
3:27.0,,,35-44,,Personal foul by J. Meeks (drawn by B. McLemore)
3:27.0,B. McLemore makes free throw 1 of 2,1,36-44,,
3:27.0,,,36-44,,G. Monroe enters the game for J. Meeks
3:27.0,,,36-44,,B. Jennings enters the game for D. Augustin
3:27.0,,,36-44,,K. Caldwell-Pope enters the game for J. Anthony
3:27.0,J. Thompson enters the game for C. Landry,,36-44,,
3:27.0,B. McLemore makes free throw 2 of 2,1,37-44,,
3:20.0,,,37-47,3,K. Caldwell-Pope makes 3-pt shot from 22 ft (assist by B. Jennings)
3:06.0,B. McLemore misses 2-pt shot from 5 ft,,37-47,,
3:04.0,,,37-47,,Defensive rebound by G. Monroe
2:57.0,,,37-47,,C. Butler misses 3-pt shot from 26 ft
2:56.0,,,37-47,,Offensive rebound by G. Monroe
2:53.0,Personal foul by B. McLemore (drawn by C. Butler),,37-47,,
2:53.0,Sacramento full timeout,,37-47,,
2:53.0,,,37-48,1,C. Butler makes free throw 1 of 3
2:53.0,,,37-49,1,C. Butler makes free throw 2 of 3
2:53.0,,,37-50,1,C. Butler makes free throw 3 of 3
2:36.0,R. Gay misses 3-pt shot from 26 ft,,37-50,,
2:35.0,Offensive rebound by D. Cousins,,37-50,,
2:31.0,D. Cousins misses 2-pt shot from 4 ft,,37-50,,
2:30.0,,,37-50,,Defensive rebound by A. Tolliver
2:20.0,,,37-53,3,B. Jennings makes 3-pt shot from 27 ft
2:04.0,D. Cousins makes 2-pt shot from 1 ft (assist by D. Collison),2,39-53,,
2:04.0,Shooting foul by C. Butler (drawn by D. Cousins),,39-53,,
2:04.0,D. Cousins misses free throw 1 of 1,,39-53,,
2:03.0,,,39-53,,Defensive rebound by A. Tolliver
1:44.0,,,39-55,2,B. Jennings makes 2-pt shot from 17 ft
1:29.0,Turnover by D. Collison (lost ball; steal by B. Jennings),,39-55,,
1:23.0,,,39-55,,B. Jennings misses 3-pt shot from 27 ft
1:21.0,,,39-55,,Offensive rebound by A. Tolliver
1:15.0,,,39-55,,Turnover by B. Jennings (bad pass; steal by B. McLemore)
1:11.0,B. McLemore makes 2-pt shot at rim,2,41-55,,
1:11.0,Shooting foul by A. Tolliver (drawn by B. McLemore),,41-55,,
1:11.0,R. McCallum enters the game for D. Collison,,41-55,,
1:11.0,,,41-55,,J. Anthony enters the game for A. Tolliver
1:11.0,B. McLemore makes free throw 1 of 1,1,42-55,,
0:59.0,,,42-55,,Turnover by K. Caldwell-Pope (bad pass; steal by R. McCallum)
0:56.0,R. McCallum makes 2-pt shot from 1 ft,2,44-55,,
0:35.0,,,44-55,,K. Caldwell-Pope misses 3-pt shot from 26 ft
0:34.0,Defensive rebound by D. Cousins,,44-55,,
0:17.0,R. Gay makes 2-pt shot from 8 ft (assist by D. Cousins),2,46-55,,
0:09.0,,,46-55,,Detroit full timeout
0:09.0,D. Williams enters the game for D. Cousins,,46-55,,
0:09.0,,,46-55,,J. Meeks enters the game for G. Monroe
0:06.0,Personal take foul by R. McCallum (drawn by B. Jennings),,46-55,,
0:01.0,,,46-55,,B. Jennings misses 2-pt shot from 11 ft
0:00.0,,,46-55,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,Shooting foul by K. Singler (drawn by D. Collison),,46-55,,
11:43.0,D. Collison makes free throw 1 of 3,1,47-55,,
11:43.0,D. Collison makes free throw 2 of 3,1,48-55,,
11:43.0,D. Collison makes free throw 3 of 3,1,49-55,,
11:30.0,,,49-55,,Shooting foul by J. Thompson (drawn by G. Monroe)
11:30.0,,,49-55,,G. Monroe misses free throw 1 of 2
11:30.0,,,49-55,,Offensive rebound by Team
11:30.0,,,49-55,,G. Monroe misses free throw 2 of 2
11:29.0,Defensive rebound by D. Cousins,,49-55,,
11:12.0,R. Gay misses 2-pt shot from 21 ft,,49-55,,
11:10.0,Offensive rebound by D. Cousins,,49-55,,
11:00.0,B. McLemore misses 2-pt shot from 18 ft,,49-55,,
10:59.0,,,49-55,,Defensive rebound by G. Monroe
10:53.0,,,49-55,,K. Singler misses 2-pt shot from 3 ft (block by D. Cousins)
10:51.0,Defensive rebound by Team,,49-55,,
10:44.0,J. Thompson makes 2-pt shot from 21 ft (assist by B. McLemore),2,51-55,,
10:42.0,Violation by Team (delay of game),,51-55,,
10:19.0,,,51-57,2,A. Drummond makes 2-pt shot from 4 ft (assist by K. Singler)
10:08.0,D. Collison makes 2-pt shot at rim,2,53-57,,
9:52.0,,,53-59,2,K. Caldwell-Pope makes 2-pt shot from 19 ft
9:42.0,Shooting foul by B. Jennings (drawn by D. Collison),,53-59,,
9:42.0,D. Collison misses free throw 1 of 2,,53-59,,
9:42.0,Offensive rebound by Team,,53-59,,
9:42.0,D. Collison makes free throw 2 of 2,1,54-59,,
9:31.0,,,54-62,3,B. Jennings makes 3-pt shot from 27 ft
9:07.0,D. Collison makes 3-pt shot from 23 ft (assist by B. McLemore),3,57-62,,
8:49.0,,,57-62,,A. Drummond misses 2-pt shot from 7 ft
8:48.0,Defensive rebound by D. Cousins,,57-62,,
8:40.0,R. Gay misses 2-pt shot from 5 ft,,57-62,,
8:39.0,,,57-62,,Defensive rebound by A. Drummond
8:27.0,,,57-64,2,B. Jennings makes 2-pt shot from 13 ft
8:07.0,D. Cousins makes 2-pt shot from 1 ft (assist by B. McLemore),2,59-64,,
7:53.0,,,59-64,,B. Jennings misses 2-pt shot from 4 ft
7:52.0,Defensive rebound by D. Collison,,59-64,,
7:47.0,B. McLemore misses 3-pt shot from 23 ft (block by K. Caldwell-Pope),,59-64,,
7:45.0,,,59-64,,Defensive rebound by A. Drummond
7:34.0,,,59-64,,K. Singler misses 3-pt shot from 23 ft
7:32.0,Defensive rebound by D. Cousins,,59-64,,
7:26.0,D. Collison misses 2-pt shot from 5 ft,,59-64,,
7:25.0,,,59-64,,Defensive rebound by A. Drummond
7:16.0,,,59-66,2,G. Monroe makes 2-pt shot from 18 ft (assist by B. Jennings)
6:49.0,D. Cousins misses 3-pt shot from 24 ft,,59-66,,
6:48.0,,,59-66,,Defensive rebound by K. Caldwell-Pope
6:40.0,,,59-68,2,A. Drummond makes 2-pt shot from 1 ft (assist by B. Jennings)
6:40.0,Sacramento full timeout,,59-68,,
6:21.0,D. Cousins misses 2-pt shot from 19 ft,,59-68,,
6:20.0,,,59-68,,Defensive rebound by A. Drummond
6:14.0,,,59-70,2,B. Jennings makes 2-pt shot at rim (assist by A. Drummond)
6:05.0,R. Gay makes 2-pt shot from 1 ft (assist by B. McLemore),2,61-70,,
5:47.0,,,61-72,2,G. Monroe makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope)
5:30.0,Turnover by R. Gay (bad pass; steal by G. Monroe),,61-72,,
5:25.0,,,61-72,,Turnover by B. Jennings (bad pass; steal by D. Collison)
5:14.0,B. McLemore misses 3-pt shot from 22 ft,,61-72,,
5:13.0,Offensive rebound by D. Cousins,,61-72,,
5:08.0,D. Cousins misses 2-pt shot from 1 ft (block by A. Drummond),,61-72,,
5:07.0,,,61-72,,Defensive rebound by B. Jennings
5:03.0,,,61-72,,Turnover by K. Singler (bad pass; steal by D. Collison)
4:58.0,D. Cousins makes 2-pt shot at rim (assist by D. Collison),2,63-72,,
4:33.0,,,63-72,,K. Singler misses 2-pt shot from 16 ft
4:33.0,,,63-72,,Offensive rebound by Team
4:33.0,,,63-72,,J. Jerebko enters the game for A. Drummond
4:24.0,,,63-72,,K. Caldwell-Pope misses 3-pt shot from 23 ft
4:23.0,Defensive rebound by J. Thompson,,63-72,,
4:18.0,Shooting foul by K. Caldwell-Pope (drawn by D. Collison),,63-72,,
4:18.0,D. Collison makes free throw 1 of 2,1,64-72,,
4:18.0,D. Williams enters the game for D. Cousins,,64-72,,
4:18.0,,,64-72,,C. Butler enters the game for K. Singler
4:18.0,D. Collison misses free throw 2 of 2,,64-72,,
4:17.0,,,64-72,,Defensive rebound by G. Monroe
4:05.0,,,64-72,,B. Jennings misses 3-pt shot from 25 ft
4:04.0,Defensive rebound by J. Thompson,,64-72,,
3:58.0,Turnover by B. McLemore (traveling),,64-72,,
3:41.0,,,64-74,2,G. Monroe makes 2-pt shot from 7 ft
3:27.0,D. Williams makes 2-pt shot at rim,2,66-74,,
3:27.0,Shooting foul by K. Caldwell-Pope (drawn by D. Williams),,66-74,,
3:27.0,D. Williams misses free throw 1 of 1,,66-74,,
3:26.0,,,66-74,,Defensive rebound by G. Monroe
3:06.0,,,66-74,,Turnover by J. Jerebko (bad pass; steal by D. Collison)
2:59.0,D. Williams makes 2-pt shot at rim (assist by R. Gay),2,68-74,,
2:59.0,,,68-74,,Detroit full timeout
2:59.0,,,68-74,,J. Meeks enters the game for K. Caldwell-Pope
2:59.0,C. Landry enters the game for J. Thompson,,68-74,,
2:37.0,,,68-76,2,B. Jennings makes 2-pt shot from 20 ft
2:21.0,R. Gay makes 2-pt shot from 10 ft,2,70-76,,
2:03.0,,,70-78,2,G. Monroe makes 2-pt shot from 4 ft
1:48.0,R. Gay makes 2-pt shot from 15 ft,2,72-78,,
1:26.0,,,72-78,,C. Butler misses 3-pt shot from 27 ft
1:23.0,Defensive rebound by C. Landry,,72-78,,
1:23.0,Turnover by D. Collison (traveling),,72-78,,
1:04.0,,,72-78,,Turnover by G. Monroe (bad pass; steal by R. Gay)
1:04.0,,,72-78,,Personal foul by C. Butler (drawn by R. Gay)
1:04.0,R. Gay makes free throw 1 of 2,1,73-78,,
1:04.0,R. Gay makes free throw 2 of 2,1,74-78,,
0:52.0,,,74-78,,J. Meeks misses 2-pt shot from 17 ft
0:51.0,Defensive rebound by D. Williams,,74-78,,
0:43.0,D. Williams makes 2-pt shot at rim (assist by D. Collison),2,76-78,,
0:43.0,Shooting foul by G. Monroe (drawn by D. Williams),,76-78,,
0:43.0,D. Williams makes free throw 1 of 1,1,77-78,,
0:32.0,,,77-80,2,B. Jennings makes 2-pt shot at rim
0:32.0,,,77-80,,Shooting foul by D. Collison (drawn by B. Jennings)
0:32.0,,,77-81,1,B. Jennings makes free throw 1 of 1
0:20.0,D. Williams misses 2-pt shot at rim,,77-81,,
0:18.0,Offensive rebound by C. Landry,,77-81,,
0:18.0,,,77-81,,Personal foul by C. Butler (drawn by C. Landry)
0:18.0,C. Landry misses free throw 1 of 2,,77-81,,
0:18.0,Offensive rebound by Team,,77-81,,
0:18.0,R. McCallum enters the game for D. Collison,,77-81,,
0:18.0,,,77-81,,A. Drummond enters the game for G. Monroe
0:18.0,C. Landry makes free throw 2 of 2,1,78-81,,
0:01.0,,,78-84,3,B. Jennings makes 3-pt shot from 25 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,78-84,,Turnover by D. Augustin (bad pass; steal by D. Cousins)
11:20.0,R. McCallum makes 2-pt shot from 19 ft,2,80-84,,
11:06.0,,,80-84,,J. Jerebko misses 2-pt shot from 19 ft
11:05.0,,,80-84,,Offensive rebound by A. Drummond
11:02.0,,,80-86,2,A. Drummond makes 2-pt shot at rim
10:41.0,B. McLemore misses 2-pt shot from 19 ft,,80-86,,
10:40.0,,,80-86,,Defensive rebound by J. Jerebko
10:22.0,,,80-86,,J. Meeks misses 2-pt shot from 1 ft
10:20.0,Defensive rebound by D. Cousins,,80-86,,
10:13.0,B. McLemore misses 3-pt shot from 23 ft,,80-86,,
10:12.0,,,80-86,,Defensive rebound by C. Butler
9:54.0,,,80-88,2,D. Augustin makes 2-pt shot from 6 ft
9:34.0,,,80-88,,Personal foul by A. Drummond (drawn by D. Cousins)
9:34.0,N. Stauskas enters the game for C. Landry,,80-88,,
9:25.0,D. Cousins makes 2-pt shot at rim (assist by R. McCallum),2,82-88,,
9:12.0,Personal foul by D. Cousins (drawn by A. Drummond),,82-88,,
9:03.0,,,82-88,,D. Augustin misses 2-pt shot from 16 ft
9:02.0,Defensive rebound by D. Cousins,,82-88,,
8:52.0,D. Cousins misses 2-pt shot from 19 ft,,82-88,,
8:51.0,,,82-88,,Defensive rebound by D. Augustin
8:44.0,,,82-88,,J. Meeks misses 3-pt shot from 23 ft
8:42.0,,,82-88,,Offensive rebound by A. Drummond
8:41.0,,,82-88,,Shooting foul by B. McLemore (drawn by A. Drummond)
8:41.0,Official timeout,,82-88,,
8:41.0,,,82-89,1,A. Drummond makes free throw 1 of 2
8:41.0,,,82-89,,A. Drummond misses free throw 2 of 2
8:40.0,Defensive rebound by D. Cousins,,82-89,,
8:27.0,D. Cousins misses 2-pt shot from 20 ft,,82-89,,
8:26.0,,,82-89,,Defensive rebound by J. Meeks
8:03.0,,,82-89,,J. Meeks misses 3-pt shot from 26 ft
8:02.0,Defensive rebound by N. Stauskas,,82-89,,
7:50.0,Shooting foul by J. Meeks (drawn by D. Williams),,82-89,,
7:50.0,D. Williams makes free throw 1 of 2,1,83-89,,
7:50.0,D. Collison enters the game for R. McCallum,,83-89,,
7:50.0,D. Williams misses free throw 2 of 2,,83-89,,
7:49.0,,,83-89,,Defensive rebound by Team
7:47.0,Loose ball foul by D. Cousins (drawn by A. Drummond),,83-89,,
7:47.0,R. Gay enters the game for B. McLemore,,83-89,,
7:31.0,,,83-92,3,J. Jerebko makes 3-pt shot from 26 ft (assist by D. Augustin)
7:15.0,D. Collison makes 2-pt shot at rim,2,85-92,,
6:59.0,,,85-92,,D. Augustin misses 3-pt shot from 26 ft
6:58.0,,,85-92,,Offensive rebound by Team
6:43.0,,,85-94,2,C. Butler makes 2-pt shot from 18 ft (assist by D. Augustin)
6:23.0,R. Gay misses 2-pt shot from 12 ft,,85-94,,
6:22.0,,,85-94,,Defensive rebound by A. Drummond
6:16.0,,,85-97,3,C. Butler makes 3-pt shot from 25 ft (assist by D. Augustin)
6:14.0,Sacramento full timeout,,85-97,,
5:56.0,D. Collison makes 3-pt shot from 22 ft (assist by D. Williams),3,88-97,,
5:37.0,,,88-97,,J. Jerebko misses 2-pt shot from 18 ft
5:36.0,Defensive rebound by D. Collison,,88-97,,
5:29.0,R. Gay misses 3-pt shot from 26 ft,,88-97,,
5:28.0,,,88-97,,Defensive rebound by A. Drummond
5:08.0,,,88-97,,C. Butler misses 3-pt shot from 25 ft
5:07.0,Defensive rebound by D. Cousins,,88-97,,
5:00.0,Turnover by D. Cousins (lost ball; steal by C. Butler),,88-97,,
4:59.0,,,88-99,2,A. Drummond makes 2-pt shot at rim
4:59.0,,,88-99,,Shooting foul by R. Gay (drawn by A. Drummond)
4:59.0,,,88-99,,K. Caldwell-Pope enters the game for J. Meeks
4:59.0,,,88-99,,B. Jennings enters the game for D. Augustin
4:59.0,,,88-100,1,A. Drummond makes free throw 1 of 1
4:41.0,Turnover by D. Collison (lost ball; steal by C. Butler),,88-100,,
4:37.0,,,88-100,,Turnover by C. Butler (bad pass; steal by N. Stauskas)
4:37.0,,,88-100,,Personal foul by B. Jennings (drawn by N. Stauskas)
4:16.0,N. Stauskas makes 3-pt shot from 22 ft (assist by D. Cousins),3,91-100,,
4:01.0,B. McLemore enters the game for D. Williams,,91-100,,
4:01.0,,,91-100,,J. Meeks enters the game for C. Butler
3:50.0,,,91-100,,K. Caldwell-Pope misses 3-pt shot from 25 ft
