time,Chicago,pts.away,score,pts.home,Atlanta
2:01.0,,,16-26,3,K. Korver makes 3-pt shot from 24 ft (assist by D. Schroder)
1:40.0,J. Butler makes 2-pt shot from 21 ft,2,18-26,,
1:23.0,,,18-26,,P. Millsap misses 2-pt shot from 2 ft
1:22.0,Defensive rebound by N. Mirotic,,18-26,,
1:21.0,,,18-26,,D. Carroll enters the game for K. Korver
1:00.0,A. Brooks makes 2-pt shot from 22 ft,2,20-26,,
0:47.0,,,20-26,,E. Brand misses 2-pt shot from 17 ft
0:46.0,Defensive rebound by N. Mirotic,,20-26,,
0:34.0,P. Gasol makes 2-pt shot at rim (assist by N. Mirotic),2,22-26,,
0:11.0,,,22-28,2,D. Carroll makes 2-pt shot from 21 ft (assist by T. Sefolosha)
0:02.0,,,22-28,,Personal take foul by D. Schroder (drawn by A. Brooks)
0:01.0,N. Mirotic misses 3-pt shot from 24 ft (block by D. Carroll),,22-28,,
0:00.0,Offensive rebound by Team,,22-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Chicago full timeout,,22-28,,
11:48.0,T. Gibson enters the game for J. Butler,,22-28,,
11:38.0,A. Brooks makes 2-pt shot from 1 ft,2,24-28,,
11:15.0,,,24-28,,M. Scott misses 3-pt shot from 25 ft
11:14.0,Defensive rebound by A. Brooks,,24-28,,
11:00.0,T. Gibson makes 2-pt shot at rim (assist by K. Hinrich),2,26-28,,
10:42.0,,,26-28,,D. Schroder misses 2-pt shot from 1 ft
10:41.0,Defensive rebound by N. Mirotic,,26-28,,
10:27.0,,,26-28,,Personal foul by D. Carroll (drawn by M. Dunleavy)
10:27.0,,,26-28,,K. Bazemore enters the game for D. Carroll
10:27.0,,,26-28,,Technical foul by D. Carroll (drawn by M. Dunleavy)
10:27.0,A. Brooks makes technical free throw,1,27-28,,
10:19.0,N. Mirotic misses 3-pt shot from 25 ft,,27-28,,
10:18.0,,,27-28,,Defensive rebound by A. Horford
10:03.0,,,27-31,3,M. Scott makes 3-pt shot from 25 ft (assist by D. Schroder)
9:42.0,Turnover by A. Brooks (bad pass; steal by A. Horford),,27-31,,
9:29.0,,,27-31,,Shooting foul by N. Mirotic (drawn by T. Sefolosha)
9:29.0,,,27-32,1,T. Sefolosha makes free throw 1 of 2
9:29.0,,,27-33,1,T. Sefolosha makes free throw 2 of 2
9:04.0,N. Mirotic misses 2-pt shot from 1 ft,,27-33,,
9:02.0,Offensive rebound by T. Gibson,,27-33,,
9:02.0,T. Gibson makes 2-pt shot at rim,2,29-33,,
8:41.0,,,29-35,2,D. Schroder makes 2-pt shot from 1 ft
8:22.0,K. Hinrich misses 3-pt shot from 23 ft,,29-35,,
8:21.0,,,29-35,,Defensive rebound by M. Scott
8:12.0,,,29-35,,D. Schroder misses 2-pt shot from 13 ft
8:09.0,Defensive rebound by T. Gibson,,29-35,,
8:02.0,Turnover by K. Hinrich (lost ball; steal by T. Sefolosha),,29-35,,
8:01.0,Personal foul by N. Mirotic (drawn by T. Sefolosha),,29-35,,
8:01.0,Official timeout,,29-35,,
8:01.0,D. Rose enters the game for K. Hinrich,,29-35,,
8:01.0,J. Butler enters the game for A. Brooks,,29-35,,
8:01.0,,,29-35,,K. Korver enters the game for T. Sefolosha
7:50.0,,,29-35,,K. Korver misses 2-pt shot from 18 ft
7:48.0,Defensive rebound by T. Gibson,,29-35,,
7:30.0,T. Gibson misses 2-pt shot from 20 ft,,29-35,,
7:29.0,,,29-35,,Defensive rebound by K. Korver
7:18.0,,,29-35,,A. Horford misses 3-pt shot from 23 ft
7:17.0,Defensive rebound by N. Mirotic,,29-35,,
7:10.0,D. Rose makes 2-pt shot at rim,2,31-35,,
6:55.0,,,31-35,,A. Horford misses 2-pt shot from 20 ft
6:53.0,Defensive rebound by J. Butler,,31-35,,
6:45.0,J. Butler misses 2-pt shot at rim (block by K. Bazemore),,31-35,,
6:42.0,Offensive rebound by T. Gibson,,31-35,,
6:41.0,T. Gibson misses 2-pt shot from 2 ft,,31-35,,
6:39.0,Offensive rebound by D. Rose,,31-35,,
6:37.0,D. Rose misses 3-pt shot from 24 ft,,31-35,,
6:36.0,,,31-35,,Defensive rebound by M. Scott
6:27.0,,,31-37,2,A. Horford makes 2-pt shot from 2 ft (assist by K. Bazemore)
6:27.0,,,31-37,,Shooting foul by N. Mirotic (drawn by A. Horford)
6:27.0,P. Gasol enters the game for N. Mirotic,,31-37,,
6:27.0,,,31-38,1,A. Horford makes free throw 1 of 1
6:09.0,D. Rose makes 2-pt shot from 11 ft,2,33-38,,
5:56.0,,,33-38,,M. Scott misses 3-pt shot from 24 ft
5:55.0,Defensive rebound by M. Dunleavy,,33-38,,
5:46.0,T. Gibson makes 2-pt shot at rim (assist by P. Gasol),2,35-38,,
5:45.0,,,35-38,,Atlanta full timeout
5:45.0,,,35-38,,J. Teague enters the game for A. Horford
5:45.0,,,35-38,,E. Brand enters the game for D. Schroder
5:45.0,,,35-38,,P. Millsap enters the game for M. Scott
5:31.0,,,35-38,,Shooting foul by P. Gasol (drawn by P. Millsap)
5:31.0,,,35-39,1,P. Millsap makes free throw 1 of 2
5:31.0,,,35-40,1,P. Millsap makes free throw 2 of 2
5:20.0,Turnover by T. Gibson (3 sec),,35-40,,
5:05.0,,,35-40,,K. Bazemore misses 3-pt shot from 23 ft
5:04.0,Defensive rebound by D. Rose,,35-40,,
4:59.0,D. Rose misses 2-pt shot from 2 ft (block by K. Bazemore),,35-40,,
4:56.0,Offensive rebound by T. Gibson,,35-40,,
4:52.0,D. Rose misses 2-pt shot from 14 ft,,35-40,,
4:50.0,Offensive rebound by D. Rose,,35-40,,
4:42.0,D. Rose makes 2-pt shot from 10 ft,2,37-40,,
4:42.0,Shooting foul by K. Bazemore (drawn by D. Rose),,37-40,,
4:42.0,D. Rose makes free throw 1 of 1,1,38-40,,
4:28.0,,,38-40,,Shooting foul by T. Gibson (drawn by K. Bazemore)
4:28.0,,,38-42,2,K. Bazemore makes 2-pt shot from 2 ft
4:28.0,,,38-43,1,K. Bazemore makes free throw 1 of 1
4:10.0,J. Butler makes 3-pt shot from 25 ft (assist by D. Rose),3,41-43,,
3:43.0,,,41-43,,P. Millsap misses 2-pt shot at rim
3:40.0,Defensive rebound by J. Butler,,41-43,,
3:38.0,,,41-43,,D. Carroll enters the game for K. Korver
3:38.0,Jump ball: J. Butler vs. P. Millsap (D. Carroll gains possession),,,,Jump ball: J. Butler vs. P. Millsap (D. Carroll gains possession)
3:38.0,Turnover by J. Butler (lost ball; steal by P. Millsap),,41-43,,
3:17.0,,,41-43,,K. Bazemore misses 2-pt shot from 13 ft
3:16.0,Defensive rebound by P. Gasol,,41-43,,
3:16.0,,,41-43,,Personal foul by E. Brand (drawn by P. Gasol)
3:05.0,Turnover by D. Rose (bad pass; steal by D. Carroll),,41-43,,
3:01.0,,,41-43,,Offensive charge foul by D. Carroll
3:01.0,,,41-43,,Turnover by D. Carroll (offensive foul)
3:01.0,,,41-43,,K. Korver enters the game for D. Carroll
2:46.0,T. Gibson misses 2-pt shot from 1 ft (block by K. Korver),,41-43,,
2:42.0,,,41-43,,Defensive rebound by J. Teague
2:40.0,,,41-43,,J. Teague misses 2-pt shot from 1 ft (block by D. Rose)
2:36.0,,,41-43,,Offensive rebound by E. Brand
2:35.0,,,41-43,,Atlanta full timeout
2:35.0,Chicago full timeout,,41-43,,
2:25.0,,,41-43,,K. Bazemore misses 2-pt shot at rim
2:23.0,,,41-43,,Offensive rebound by K. Korver
2:14.0,,,41-45,2,J. Teague makes 2-pt shot from 11 ft
1:58.0,T. Gibson misses 2-pt shot from 10 ft,,41-45,,
1:58.0,Offensive rebound by Team,,41-45,,
1:58.0,,,41-45,,Loose ball foul by E. Brand (drawn by T. Gibson)
1:42.0,D. Rose misses 2-pt shot from 12 ft,,41-45,,
1:40.0,,,41-45,,Defensive rebound by K. Korver
1:34.0,,,41-45,,Turnover by J. Teague (lost ball)
1:23.0,J. Butler makes 2-pt shot from 16 ft (assist by D. Rose),2,43-45,,
1:11.0,,,43-45,,J. Teague misses 2-pt shot from 11 ft
1:09.0,Defensive rebound by M. Dunleavy,,43-45,,
1:07.0,,,43-45,,Personal foul by J. Teague (drawn by D. Rose)
1:07.0,D. Rose misses free throw 1 of 2,,43-45,,
1:07.0,Offensive rebound by Team,,43-45,,
1:07.0,,,43-45,,A. Horford enters the game for E. Brand
1:07.0,D. Rose makes free throw 2 of 2,1,44-45,,
0:45.0,,,44-47,2,A. Horford makes 2-pt shot at rim (assist by P. Millsap)
0:38.0,D. Rose misses 3-pt shot from 24 ft,,44-47,,
0:36.0,Offensive rebound by J. Butler,,44-47,,
0:34.0,Turnover by J. Butler (lost ball; steal by P. Millsap),,44-47,,
0:22.0,,,44-50,3,K. Korver makes 3-pt shot from 26 ft (assist by A. Horford)
0:03.0,J. Butler misses 2-pt shot from 1 ft,,44-50,,
0:02.0,,,44-50,,Defensive rebound by K. Bazemore
0:00.0,,,44-50,,K. Bazemore misses 3-pt shot from 25 ft
0:00.0,,,44-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,T. Gibson makes 2-pt shot from 2 ft (assist by J. Butler),2,46-50,,
11:32.0,Personal foul by J. Butler (drawn by P. Millsap),,46-50,,
11:22.0,,,46-50,,P. Millsap misses 2-pt shot from 5 ft
11:21.0,Defensive rebound by P. Gasol,,46-50,,
11:05.0,P. Gasol misses 2-pt shot from 5 ft,,46-50,,
11:04.0,,,46-50,,Defensive rebound by A. Horford
10:47.0,,,46-50,,Turnover by A. Horford (3 sec)
10:31.0,M. Dunleavy misses 3-pt shot from 25 ft,,46-50,,
10:30.0,,,46-50,,Defensive rebound by A. Horford
10:19.0,,,46-50,,A. Horford misses 2-pt shot from 21 ft
10:18.0,Defensive rebound by P. Gasol,,46-50,,
10:06.0,Shooting foul by P. Millsap (drawn by M. Dunleavy),,46-50,,
10:06.0,M. Dunleavy misses free throw 1 of 2,,46-50,,
10:06.0,Offensive rebound by Team,,46-50,,
10:06.0,M. Dunleavy makes free throw 2 of 2,1,47-50,,
9:52.0,,,47-52,2,A. Horford makes 2-pt shot from 19 ft
9:41.0,Turnover by M. Dunleavy (bad pass; steal by D. Carroll),,47-52,,
9:33.0,,,47-54,2,P. Millsap makes 2-pt shot at rim (assist by A. Horford)
9:32.0,Chicago full timeout,,47-54,,
9:20.0,D. Rose makes 2-pt shot from 20 ft,2,49-54,,
8:58.0,,,49-56,2,A. Horford makes 2-pt shot from 11 ft
8:36.0,D. Rose misses 2-pt shot from 4 ft,,49-56,,
8:35.0,Offensive rebound by J. Butler,,49-56,,
8:33.0,J. Butler misses 2-pt shot from 1 ft,,49-56,,
8:32.0,,,49-56,,Defensive rebound by P. Millsap
8:26.0,,,49-56,,K. Korver misses 3-pt shot from 24 ft
8:25.0,,,49-56,,Offensive rebound by P. Millsap
8:25.0,Personal foul by M. Dunleavy (drawn by P. Millsap),,49-56,,
8:14.0,,,49-56,,P. Millsap misses 2-pt shot from 4 ft (block by P. Gasol)
8:11.0,Defensive rebound by D. Rose,,49-56,,
8:08.0,P. Gasol misses 2-pt shot at rim,,49-56,,
8:07.0,Offensive rebound by P. Gasol,,49-56,,
8:07.0,P. Gasol makes 2-pt shot at rim,2,51-56,,
7:46.0,,,51-56,,Turnover by J. Teague (bad pass)
7:36.0,J. Butler misses 2-pt shot from 20 ft,,51-56,,
7:35.0,,,51-56,,Defensive rebound by P. Millsap
7:25.0,,,51-56,,J. Teague misses 2-pt shot from 19 ft
7:23.0,Defensive rebound by M. Dunleavy,,51-56,,
7:16.0,J. Butler makes 2-pt shot from 1 ft (assist by D. Rose),2,53-56,,
7:16.0,Shooting foul by D. Carroll (drawn by J. Butler),,53-56,,
7:16.0,,,53-56,,T. Sefolosha enters the game for D. Carroll
7:16.0,J. Butler makes free throw 1 of 1,1,54-56,,
7:02.0,,,54-56,,Turnover by A. Horford (bad pass)
6:48.0,P. Gasol misses 2-pt shot from 1 ft,,54-56,,
6:47.0,,,54-56,,Defensive rebound by P. Millsap
6:40.0,,,54-58,2,A. Horford makes 2-pt shot from 3 ft (assist by K. Korver)
6:40.0,,,54-58,,Shooting foul by T. Gibson (drawn by A. Horford)
6:40.0,,,54-58,,A. Horford misses free throw 1 of 1
6:38.0,Defensive rebound by T. Gibson,,54-58,,
6:26.0,M. Dunleavy misses 2-pt shot from 21 ft,,54-58,,
6:25.0,,,54-58,,Defensive rebound by T. Sefolosha
6:17.0,,,54-61,3,K. Korver makes 3-pt shot from 25 ft (assist by A. Horford)
5:53.0,J. Butler makes 2-pt shot from 2 ft (assist by P. Gasol),2,56-61,,
5:42.0,,,56-61,,P. Millsap misses 3-pt shot from 25 ft
5:40.0,Defensive rebound by P. Gasol,,56-61,,
5:30.0,D. Rose makes 2-pt shot from 8 ft (assist by T. Gibson),2,58-61,,
5:08.0,,,58-63,2,P. Millsap makes 2-pt shot from 1 ft (assist by J. Teague)
4:42.0,,,58-63,,E. Brand enters the game for A. Horford
4:39.0,J. Butler misses 2-pt shot from 15 ft,,58-63,,
4:39.0,Offensive rebound by Team,,58-63,,
4:38.0,Turnover by Team (shot clock),,58-63,,
4:16.0,,,58-65,2,P. Millsap makes 2-pt shot from 11 ft (assist by T. Sefolosha)
4:02.0,Turnover by D. Rose (bad pass),,58-65,,
4:02.0,K. Hinrich enters the game for D. Rose,,58-65,,
3:49.0,,,58-65,,T. Sefolosha misses 2-pt shot from 17 ft
3:48.0,Defensive rebound by P. Gasol,,58-65,,
3:39.0,P. Gasol misses 2-pt shot from 2 ft,,58-65,,
3:39.0,Offensive rebound by T. Gibson,,58-65,,
3:39.0,T. Gibson makes 2-pt shot from 1 ft,2,60-65,,
3:39.0,Shooting foul by T. Sefolosha (drawn by T. Gibson),,60-65,,
3:39.0,,,60-65,,Atlanta full timeout
3:39.0,T. Gibson makes free throw 1 of 1,1,61-65,,
3:21.0,Personal foul by T. Gibson (drawn by P. Millsap),,61-65,,
3:16.0,,,61-67,2,E. Brand makes 2-pt shot from 16 ft (assist by J. Teague)
2:57.0,Turnover by P. Gasol (bad pass; steal by P. Millsap),,61-67,,
2:51.0,,,61-69,2,E. Brand makes 2-pt shot from 16 ft (assist by P. Millsap)
2:24.0,J. Butler misses 2-pt shot from 19 ft,,61-69,,
2:23.0,Offensive rebound by Team,,61-69,,
2:23.0,Turnover by Team (shot clock),,61-69,,
2:23.0,,,61-69,,D. Schroder enters the game for J. Teague
2:23.0,N. Mirotic enters the game for T. Gibson,,61-69,,
2:17.0,,,61-69,,K. Korver misses 3-pt shot from 23 ft
2:15.0,Defensive rebound by M. Dunleavy,,61-69,,
1:51.0,P. Gasol misses 2-pt shot from 1 ft,,61-69,,
1:50.0,Offensive rebound by P. Gasol,,61-69,,
1:50.0,P. Gasol makes 2-pt shot from 1 ft,2,63-69,,
1:34.0,Personal foul by P. Gasol (drawn by E. Brand),,63-69,,
1:34.0,,,63-70,1,E. Brand makes free throw 1 of 2
1:34.0,A. Brooks enters the game for M. Dunleavy,,63-70,,
1:34.0,,,63-71,1,E. Brand makes free throw 2 of 2
1:25.0,K. Hinrich misses 3-pt shot from 25 ft,,63-71,,
1:23.0,,,63-71,,Defensive rebound by T. Sefolosha
1:00.0,,,63-71,,E. Brand misses 2-pt shot from 20 ft
1:00.0,Defensive rebound by J. Butler,,63-71,,
0:58.0,,,63-71,,Personal foul by T. Sefolosha (drawn by J. Butler)
0:58.0,,,63-71,,K. Bazemore enters the game for K. Korver
0:44.0,,,63-71,,Personal foul by K. Bazemore (drawn by N. Mirotic)
0:44.0,N. Mirotic misses free throw 1 of 2,,63-71,,
0:44.0,Offensive rebound by Team,,63-71,,
0:44.0,N. Mirotic makes free throw 2 of 2,1,64-71,,
0:27.0,,,64-71,,P. Millsap misses 2-pt shot from 3 ft
0:26.0,,,64-71,,Offensive rebound by P. Millsap
0:24.0,,,64-71,,Turnover by P. Millsap (bad pass; steal by K. Hinrich)
0:18.0,K. Hinrich misses 2-pt shot from 19 ft,,64-71,,
0:18.0,,,64-71,,Defensive rebound by Team
0:18.0,,,64-71,,K. Korver enters the game for T. Sefolosha
0:03.0,,,64-73,2,D. Schroder makes 2-pt shot from 9 ft
0:00.0,J. Butler misses 3-pt shot from 24 ft,,64-73,,
0:00.0,Offensive rebound by Team,,64-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,64-73,,M. Scott misses 2-pt shot from 12 ft
11:37.0,Defensive rebound by N. Mirotic,,64-73,,
11:26.0,A. Brooks misses 3-pt shot from 26 ft,,64-73,,
11:24.0,,,64-73,,Defensive rebound by K. Bazemore
11:09.0,,,64-73,,D. Schroder misses 2-pt shot from 19 ft
11:07.0,Defensive rebound by T. Gibson,,64-73,,
10:51.0,N. Mirotic makes 2-pt shot from 1 ft,2,66-73,,
10:29.0,,,66-73,,A. Horford misses 2-pt shot from 1 ft
10:28.0,Defensive rebound by T. Gibson,,66-73,,
10:08.0,K. Hinrich misses 2-pt shot from 16 ft,,66-73,,
10:07.0,,,66-73,,Defensive rebound by D. Schroder
9:58.0,,,66-73,,D. Schroder misses 3-pt shot from 24 ft
9:57.0,Defensive rebound by N. Mirotic,,66-73,,
9:45.0,M. Dunleavy makes 2-pt shot at rim,2,68-73,,
9:29.0,Personal foul by T. Gibson (drawn by A. Horford),,68-73,,
9:29.0,,,68-73,,J. Teague enters the game for D. Schroder
9:29.0,P. Gasol enters the game for T. Gibson,,68-73,,
9:22.0,,,68-73,,A. Horford misses 2-pt shot from 19 ft
9:21.0,Defensive rebound by M. Dunleavy,,68-73,,
9:13.0,A. Brooks makes 3-pt shot from 26 ft (assist by K. Hinrich),3,71-73,,
9:04.0,,,71-73,,Offensive foul by A. Horford
9:04.0,,,71-73,,Turnover by A. Horford (offensive foul)
8:47.0,M. Dunleavy misses 3-pt shot from 22 ft,,71-73,,
8:45.0,,,71-73,,Defensive rebound by A. Horford
8:35.0,Personal foul by A. Brooks (drawn by J. Teague),,71-73,,
8:35.0,Official timeout,,71-73,,
8:20.0,,,71-75,2,M. Scott makes 2-pt shot from 7 ft (assist by A. Horford)
8:02.0,N. Mirotic misses 2-pt shot from 18 ft,,71-75,,
8:00.0,,,71-75,,Defensive rebound by J. Teague
7:46.0,,,71-75,,A. Horford misses 2-pt shot from 13 ft
7:44.0,Defensive rebound by P. Gasol,,71-75,,
7:35.0,,,71-75,,Personal foul by K. Bazemore (drawn by P. Gasol)
7:35.0,D. Rose enters the game for K. Hinrich,,71-75,,
7:24.0,M. Dunleavy makes 3-pt shot from 23 ft (assist by A. Brooks),3,74-75,,
7:03.0,,,74-77,2,A. Horford makes 2-pt shot from 18 ft (assist by M. Scott)
6:45.0,N. Mirotic misses 3-pt shot from 22 ft,,74-77,,
6:44.0,Offensive rebound by M. Dunleavy,,74-77,,
6:43.0,M. Dunleavy misses 2-pt shot from 2 ft,,74-77,,
6:41.0,,,74-77,,Defensive rebound by A. Horford
6:27.0,,,74-77,,Shooting foul by N. Mirotic (drawn by K. Bazemore)
6:27.0,,,74-78,1,K. Bazemore makes free throw 1 of 2
6:27.0,T. Gibson enters the game for N. Mirotic,,74-78,,
6:27.0,,,74-78,,P. Millsap enters the game for A. Horford
6:27.0,,,74-79,1,K. Bazemore makes free throw 2 of 2
6:14.0,D. Rose misses 2-pt shot from 2 ft,,74-79,,
6:13.0,,,74-79,,Defensive rebound by K. Bazemore
6:09.0,,,74-79,,J. Teague misses 3-pt shot from 25 ft
6:05.0,Defensive rebound by P. Gasol,,74-79,,
6:01.0,A. Brooks misses 3-pt shot from 25 ft,,74-79,,
5:59.0,,,74-79,,Defensive rebound by D. Carroll
5:52.0,,,74-79,,D. Carroll misses 3-pt shot from 24 ft
5:51.0,Defensive rebound by T. Gibson,,74-79,,
5:34.0,A. Brooks misses 3-pt shot from 25 ft,,74-79,,
5:33.0,,,74-79,,Defensive rebound by K. Bazemore
5:25.0,,,74-79,,Atlanta full timeout
5:25.0,K. Hinrich enters the game for M. Dunleavy,,74-79,,
5:25.0,J. Butler enters the game for A. Brooks,,74-79,,
5:25.0,,,74-79,,A. Horford enters the game for M. Scott
5:25.0,,,74-79,,K. Korver enters the game for K. Bazemore
5:10.0,,,74-79,,P. Millsap misses 2-pt shot at rim
5:08.0,Defensive rebound by T. Gibson,,74-79,,
4:59.0,P. Gasol makes 2-pt shot from 17 ft (assist by D. Rose),2,76-79,,
4:43.0,,,76-81,2,J. Teague makes 2-pt shot from 14 ft
4:29.0,Turnover by D. Rose (bad pass; steal by J. Teague),,76-81,,
4:23.0,,,76-83,2,D. Carroll makes 2-pt shot from 1 ft (assist by A. Horford)
3:57.0,D. Rose makes 2-pt shot from 8 ft,2,78-83,,
3:36.0,,,78-85,2,J. Teague makes 2-pt shot from 1 ft (assist by A. Horford)
3:11.0,J. Butler makes 3-pt shot from 25 ft (assist by P. Gasol),3,81-85,,
2:51.0,,,81-85,,A. Horford misses 2-pt shot from 18 ft
2:50.0,Defensive rebound by T. Gibson,,81-85,,
2:44.0,Turnover by D. Rose (kicked ball),,81-85,,
2:44.0,Official timeout,,81-85,,
2:21.0,,,81-85,,A. Horford misses 2-pt shot from 6 ft (block by P. Gasol)
2:17.0,Defensive rebound by J. Butler,,81-85,,
2:11.0,K. Hinrich misses 3-pt shot from 22 ft (block by K. Korver),,81-85,,
2:06.0,,,81-85,,Defensive rebound by D. Carroll
1:56.0,,,81-87,2,P. Millsap makes 2-pt shot from 1 ft (assist by J. Teague)
1:44.0,D. Rose misses 3-pt shot from 24 ft,,81-87,,
1:42.0,,,81-87,,Defensive rebound by A. Horford
1:39.0,,,81-87,,Turnover by A. Horford (lost ball; steal by J. Butler)
1:37.0,Shooting foul by P. Millsap (drawn by P. Gasol),,81-87,,
1:37.0,P. Gasol misses free throw 1 of 2,,81-87,,
1:37.0,Offensive rebound by Team,,81-87,,
1:37.0,P. Gasol makes free throw 2 of 2,1,82-87,,
