time,San Antonio,pts.away,score,pts.home,Miami
6:53.0,,,58-52,,D. Wade misses 2-pt shot from 6 ft (block by K. Leonard)
6:52.0,Defensive rebound by K. Leonard,,58-52,,
6:44.0,D. Green makes 3-pt shot from 24 ft (assist by M. Bonner),3,61-52,,
6:43.0,,,61-52,,Miami full timeout
6:28.0,,,61-52,,Offensive charge foul by M. Chalmers
6:28.0,,,61-52,,Turnover by M. Chalmers (offensive foul)
6:14.0,T. Duncan makes 2-pt shot from 11 ft (assist by T. Parker),2,63-52,,
5:52.0,,,63-52,,D. Wade misses 2-pt shot from 13 ft
5:51.0,Defensive rebound by K. Leonard,,63-52,,
5:43.0,T. Parker misses 2-pt shot from 15 ft,,63-52,,
5:42.0,,,63-52,,Defensive rebound by H. Whiteside
5:33.0,,,63-52,,M. Chalmers misses 2-pt shot from 16 ft
5:32.0,Defensive rebound by K. Leonard,,63-52,,
5:19.0,K. Leonard misses 3-pt shot from 23 ft,,63-52,,
5:18.0,Offensive rebound by Team,,63-52,,
5:18.0,,,63-52,,Loose ball foul by H. Whiteside (drawn by T. Duncan)
5:18.0,,,63-52,,M. Beasley enters the game for J. Ennis
5:18.0,,,63-52,,T. Johnson enters the game for H. Walker
5:18.0,C. Joseph enters the game for T. Parker,,63-52,,
5:07.0,T. Duncan misses 2-pt shot from 16 ft,,63-52,,
5:06.0,,,63-52,,Defensive rebound by H. Whiteside
4:54.0,,,63-52,,D. Wade misses 2-pt shot from 14 ft
4:53.0,,,63-52,,Offensive rebound by T. Johnson
4:42.0,,,63-54,2,M. Beasley makes 2-pt shot from 11 ft
4:29.0,Shooting foul by M. Chalmers (drawn by K. Leonard),,63-54,,
4:29.0,K. Leonard makes free throw 1 of 2,1,64-54,,
4:29.0,M. Ginobili enters the game for T. Duncan,,64-54,,
4:29.0,B. Diaw enters the game for D. Green,,64-54,,
4:29.0,T. Splitter enters the game for M. Bonner,,64-54,,
4:29.0,,,64-54,,G. Dragic enters the game for D. Wade
4:29.0,K. Leonard makes free throw 2 of 2,1,65-54,,
4:11.0,,,65-54,,M. Chalmers misses 2-pt shot from 8 ft
4:10.0,Defensive rebound by K. Leonard,,65-54,,
3:58.0,,,65-54,,Personal foul by M. Chalmers (drawn by K. Leonard)
3:58.0,K. Leonard makes free throw 1 of 2,1,66-54,,
3:58.0,T. Parker enters the game for C. Joseph,,66-54,,
3:58.0,K. Leonard makes free throw 2 of 2,1,67-54,,
3:44.0,,,67-54,,M. Beasley misses 2-pt shot from 9 ft
3:43.0,Defensive rebound by T. Splitter,,67-54,,
3:29.0,Turnover by B. Diaw (lost ball; steal by H. Whiteside),,67-54,,
3:23.0,,,67-54,,H. Whiteside misses 2-pt shot at rim
3:22.0,Defensive rebound by K. Leonard,,67-54,,
3:17.0,T. Parker makes 2-pt shot at rim,2,69-54,,
3:01.0,Personal foul by M. Ginobili (drawn by H. Whiteside),,69-54,,
3:01.0,M. Belinelli enters the game for K. Leonard,,69-54,,
2:54.0,,,69-54,,G. Dragic misses 3-pt shot from 24 ft
2:53.0,,,69-54,,Offensive rebound by Team
2:53.0,Loose ball foul by B. Diaw (drawn by H. Whiteside),,69-54,,
2:42.0,,,69-56,2,H. Whiteside makes 2-pt shot from 1 ft (assist by T. Johnson)
2:15.0,M. Ginobili misses 3-pt shot from 24 ft,,69-56,,
2:14.0,,,69-56,,Defensive rebound by T. Johnson
2:03.0,,,69-56,,M. Beasley misses 2-pt shot from 10 ft
2:02.0,Defensive rebound by T. Parker,,69-56,,
1:52.0,T. Parker makes 2-pt shot from 16 ft,2,71-56,,
1:33.0,,,71-58,2,G. Dragic makes 2-pt shot from 4 ft
1:13.0,B. Diaw misses 3-pt shot from 23 ft,,71-58,,
1:12.0,,,71-58,,Defensive rebound by T. Johnson
1:07.0,,,71-58,,T. Johnson misses 2-pt shot from 2 ft
1:06.0,,,71-58,,Offensive rebound by Team
0:53.0,,,71-60,2,H. Whiteside makes 2-pt shot at rim (assist by T. Johnson)
0:36.0,Turnover by T. Parker (step out of bounds),,71-60,,
0:36.0,C. Joseph enters the game for T. Parker,,71-60,,
0:16.0,,,71-60,,M. Chalmers misses 2-pt shot from 10 ft
0:15.0,Defensive rebound by T. Splitter,,71-60,,
0:06.0,Offensive foul by T. Splitter,,71-60,,
0:06.0,Turnover by T. Splitter (offensive foul),,71-60,,
0:03.0,Personal foul by M. Ginobili (drawn by M. Chalmers),,71-60,,
0:00.0,,,71-60,,G. Dragic misses 2-pt shot from 3 ft
0:00.0,,,71-60,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,71-60,,Turnover by G. Dragic (bad pass; steal by C. Joseph)
11:23.0,M. Belinelli misses 3-pt shot from 23 ft,,71-60,,
11:22.0,Offensive rebound by M. Ginobili,,71-60,,
10:56.0,B. Diaw misses 2-pt shot from 8 ft,,71-60,,
10:55.0,,,71-60,,Defensive rebound by M. Beasley
10:43.0,,,71-60,,Offensive foul by M. Beasley
10:43.0,,,71-60,,Turnover by M. Beasley (offensive foul)
10:43.0,D. Green enters the game for M. Belinelli,,71-60,,
10:43.0,,,71-60,,Technical foul by M. Beasley
10:43.0,D. Green misses technical free throw,,71-60,,
10:43.0,Offensive rebound by Team,,71-60,,
10:43.0,,,71-60,,H. Walker enters the game for M. Beasley
10:43.0,,,71-60,,D. Wade enters the game for M. Chalmers
10:43.0,K. Leonard enters the game for M. Ginobili,,71-60,,
10:30.0,B. Diaw makes 2-pt shot from 8 ft,2,73-60,,
10:17.0,,,73-60,,D. Wade misses 2-pt shot from 16 ft
10:16.0,Defensive rebound by T. Splitter,,73-60,,
10:01.0,B. Diaw makes 2-pt shot from 3 ft,2,75-60,,
9:57.0,,,75-60,,Miami full timeout
9:39.0,,,75-60,,D. Wade misses 2-pt shot from 7 ft
9:38.0,Defensive rebound by C. Joseph,,75-60,,
9:27.0,K. Leonard makes 2-pt shot from 17 ft (assist by B. Diaw),2,77-60,,
9:03.0,,,77-62,2,T. Johnson makes 2-pt shot from 1 ft
8:47.0,Turnover by B. Diaw (lost ball),,77-62,,
8:47.0,M. Ginobili enters the game for D. Green,,77-62,,
8:30.0,,,77-62,,Turnover by H. Walker (bad pass; steal by C. Joseph)
8:26.0,K. Leonard makes 2-pt shot at rim (assist by C. Joseph),2,79-62,,
8:14.0,,,79-62,,G. Dragic misses 2-pt shot from 12 ft
8:13.0,Defensive rebound by Team,,79-62,,
8:13.0,,,79-62,,Loose ball foul by H. Whiteside (drawn by B. Diaw)
7:53.0,T. Splitter misses 2-pt shot from 5 ft,,79-62,,
7:52.0,,,79-62,,Defensive rebound by H. Walker
7:44.0,,,79-62,,H. Walker misses 3-pt shot from 24 ft
7:43.0,,,79-62,,Offensive rebound by Team
7:43.0,Loose ball foul by T. Splitter (drawn by H. Whiteside),,79-62,,
7:43.0,T. Duncan enters the game for T. Splitter,,79-62,,
7:35.0,,,79-62,,Turnover by G. Dragic (bad pass; steal by K. Leonard)
7:32.0,C. Joseph makes 2-pt shot from 2 ft (assist by K. Leonard),2,81-62,,
7:12.0,,,81-62,,C. Andersen enters the game for H. Whiteside
7:10.0,Personal foul by B. Diaw (drawn by T. Johnson),,81-62,,
7:07.0,Personal foul by C. Joseph (drawn by H. Walker),,81-62,,
7:03.0,,,81-62,,Turnover by D. Wade (bad pass; steal by C. Joseph)
6:58.0,Shooting foul by H. Walker (drawn by T. Duncan),,81-62,,
6:58.0,T. Duncan makes free throw 1 of 2,1,82-62,,
6:58.0,M. Belinelli enters the game for M. Ginobili,,82-62,,
6:58.0,T. Duncan makes free throw 2 of 2,1,83-62,,
6:44.0,,,83-62,,H. Walker misses 3-pt shot from 24 ft
6:43.0,Defensive rebound by T. Duncan,,83-62,,
6:32.0,B. Diaw misses 2-pt shot from 8 ft,,83-62,,
6:31.0,,,83-62,,Defensive rebound by Team
6:31.0,Loose ball foul by T. Duncan (drawn by C. Andersen),,83-62,,
6:25.0,Personal foul by C. Joseph (drawn by G. Dragic),,83-62,,
6:25.0,,,83-63,1,G. Dragic makes free throw 1 of 2
6:25.0,A. Baynes enters the game for T. Duncan,,83-63,,
6:25.0,,,83-64,1,G. Dragic makes free throw 2 of 2
5:56.0,C. Joseph misses 2-pt shot from 20 ft,,83-64,,
5:55.0,Offensive rebound by A. Baynes,,83-64,,
5:48.0,K. Leonard misses 3-pt shot from 24 ft,,83-64,,
5:47.0,,,83-64,,Defensive rebound by H. Walker
5:41.0,,,83-67,3,D. Wade makes 3-pt shot from 24 ft
5:13.0,,,83-67,,Personal foul by H. Walker (drawn by K. Leonard)
5:13.0,Official timeout,,83-67,,
5:13.0,M. Ginobili enters the game for B. Diaw,,83-67,,
5:13.0,C. Joseph makes free throw 1 of 2,1,84-67,,
5:13.0,,,84-67,,J. Ennis enters the game for H. Walker
5:13.0,C. Joseph makes free throw 2 of 2,1,85-67,,
5:04.0,,,85-67,,T. Johnson misses 2-pt shot from 6 ft
5:03.0,,,85-67,,Offensive rebound by C. Andersen
5:01.0,,,85-69,2,C. Andersen makes 2-pt shot at rim
4:49.0,Turnover by M. Ginobili (traveling),,85-69,,
4:39.0,Personal foul by K. Leonard (drawn by T. Johnson),,85-69,,
4:39.0,,,85-70,1,T. Johnson makes free throw 1 of 2
4:39.0,,,85-71,1,T. Johnson makes free throw 2 of 2
4:31.0,,,85-71,,Personal foul by D. Wade (drawn by M. Belinelli)
4:27.0,Offensive foul by A. Baynes,,85-71,,
4:27.0,Turnover by A. Baynes (offensive foul),,85-71,,
4:06.0,Personal foul by C. Joseph (drawn by D. Wade),,85-71,,
4:06.0,,,85-72,1,D. Wade makes free throw 1 of 2
4:06.0,,,85-73,1,D. Wade makes free throw 2 of 2
3:42.0,K. Leonard misses 2-pt shot from 16 ft,,85-73,,
3:41.0,,,85-73,,Defensive rebound by C. Andersen
3:34.0,,,85-73,,D. Wade misses 2-pt shot from 7 ft
3:33.0,,,85-73,,Offensive rebound by C. Andersen
3:32.0,,,85-75,2,C. Andersen makes 2-pt shot from 1 ft
3:32.0,San Antonio full timeout,,85-75,,
3:32.0,T. Splitter enters the game for M. Ginobili,,85-75,,
3:32.0,T. Parker enters the game for A. Baynes,,85-75,,
3:32.0,B. Diaw enters the game for M. Belinelli,,85-75,,
3:06.0,T. Parker makes 2-pt shot from 7 ft,2,87-75,,
2:54.0,,,87-75,,D. Wade misses 2-pt shot from 2 ft
2:53.0,,,87-75,,Offensive rebound by C. Andersen
2:50.0,,,87-75,,Turnover by C. Andersen (lost ball; steal by K. Leonard)
2:29.0,T. Splitter misses 2-pt shot from 2 ft,,87-75,,
2:28.0,Offensive rebound by C. Joseph,,87-75,,
2:27.0,C. Joseph misses 2-pt shot at rim,,87-75,,
2:26.0,Offensive rebound by C. Joseph,,87-75,,
2:25.0,T. Splitter makes 2-pt shot at rim (assist by C. Joseph),2,89-75,,
2:06.0,,,89-75,,T. Johnson misses 2-pt shot from 16 ft
2:05.0,Defensive rebound by B. Diaw,,89-75,,
2:00.0,San Antonio full timeout,,89-75,,
2:00.0,A. Baynes enters the game for T. Splitter,,89-75,,
2:00.0,D. Green enters the game for T. Parker,,89-75,,
1:48.0,K. Leonard makes 2-pt shot from 7 ft,2,91-75,,
1:32.0,,,91-77,2,G. Dragic makes 2-pt shot from 13 ft
1:14.0,B. Diaw misses 2-pt shot from 4 ft,,91-77,,
1:13.0,Offensive rebound by Team,,91-77,,
