time,Memphis,pts.away,score,pts.home,Toronto
10:56.0,J. Adams misses 3-pt shot from 23 ft,,20-25,,
10:55.0,Offensive rebound by Team,,20-25,,
10:38.0,V. Carter misses 3-pt shot from 25 ft,,20-25,,
10:37.0,,,20-25,,Defensive rebound by T. Hansbrough
10:37.0,Jump ball: T. Hansbrough vs. J. Stokes (G. Vasquez gains possession),,,,Jump ball: T. Hansbrough vs. J. Stokes (G. Vasquez gains possession)
10:22.0,,,20-28,3,L. Williams makes 3-pt shot from 24 ft
10:05.0,J. Stokes makes 2-pt shot from 2 ft (assist by M. Conley),2,22-28,,
9:43.0,,,22-28,,T. Hansbrough misses 2-pt shot from 6 ft
9:42.0,Defensive rebound by M. Gasol,,22-28,,
9:29.0,Turnover by M. Gasol (lost ball; steal by T. Hansbrough),,22-28,,
9:17.0,,,22-28,,Shooting foul by J. Stokes (drawn by P. Patterson)
9:17.0,,,22-29,1,P. Patterson makes free throw 1 of 2
9:17.0,,,22-30,1,P. Patterson makes free throw 2 of 2
9:09.0,V. Carter makes 2-pt shot from 16 ft (assist by J. Adams),2,24-30,,
8:55.0,,,24-30,,Turnover by L. Fields (lost ball; steal by J. Adams)
8:48.0,V. Carter makes 2-pt shot from 19 ft (assist by J. Adams),2,26-30,,
8:29.0,,,26-30,,Turnover by G. Vasquez (lost ball; steal by M. Gasol)
8:29.0,,,26-30,,Personal foul by G. Vasquez (drawn by J. Stokes)
8:29.0,Official timeout,,26-30,,
8:08.0,M. Gasol makes 2-pt shot from 1 ft,2,28-30,,
7:49.0,,,28-30,,G. Vasquez misses 3-pt shot from 26 ft
7:47.0,Defensive rebound by M. Gasol,,28-30,,
7:34.0,Turnover by M. Gasol (lost ball; steal by T. Hansbrough),,28-30,,
7:28.0,,,28-32,2,L. Williams makes 2-pt shot from 2 ft (assist by G. Vasquez)
7:21.0,Shooting foul by P. Patterson (drawn by J. Stokes),,28-32,,
7:21.0,J. Stokes makes free throw 1 of 2,1,29-32,,
7:21.0,,,29-32,,T. Ross enters the game for L. Fields
7:21.0,,,29-32,,J. Valanciunas enters the game for T. Hansbrough
7:21.0,Z. Randolph enters the game for M. Gasol,,29-32,,
7:21.0,J. Stokes misses free throw 2 of 2,,29-32,,
7:20.0,,,29-32,,Defensive rebound by P. Patterson
7:02.0,,,29-32,,T. Ross misses 3-pt shot from 25 ft
7:01.0,Defensive rebound by J. Stokes,,29-32,,
6:49.0,M. Conley misses 2-pt shot from 2 ft,,29-32,,
6:48.0,,,29-32,,Defensive rebound by G. Vasquez
6:41.0,,,29-32,,L. Williams misses 2-pt shot from 18 ft
6:40.0,Defensive rebound by M. Conley,,29-32,,
6:32.0,M. Conley makes 2-pt shot from 2 ft,2,31-32,,
6:11.0,,,31-34,2,P. Patterson makes 2-pt shot from 8 ft (assist by G. Vasquez)
5:53.0,V. Carter misses 2-pt shot from 3 ft,,31-34,,
5:52.0,Offensive rebound by Z. Randolph,,31-34,,
5:48.0,Z. Randolph makes 2-pt shot from 1 ft,2,33-34,,
5:39.0,,,33-34,,Turnover by L. Williams (bad pass; steal by J. Adams)
5:32.0,M. Conley misses 2-pt shot from 20 ft,,33-34,,
5:31.0,,,33-34,,Defensive rebound by J. Valanciunas
5:24.0,,,33-34,,Toronto full timeout
5:24.0,,,33-34,,D. DeRozan enters the game for P. Patterson
5:24.0,,,33-34,,K. Lowry enters the game for G. Vasquez
5:24.0,,,33-34,,A. Johnson enters the game for L. Williams
5:24.0,T. Prince enters the game for J. Stokes,,33-34,,
5:14.0,,,33-34,,J. Valanciunas misses 2-pt shot from 5 ft
5:13.0,Defensive rebound by Z. Randolph,,33-34,,
4:55.0,Z. Randolph misses 2-pt shot from 4 ft,,33-34,,
4:53.0,Offensive rebound by Z. Randolph,,33-34,,
4:51.0,Z. Randolph makes 2-pt shot at rim,2,35-34,,
4:43.0,Personal foul by J. Adams (drawn by D. DeRozan),,35-34,,
4:31.0,,,35-34,,D. DeRozan misses 2-pt shot from 14 ft
4:30.0,Defensive rebound by M. Conley,,35-34,,
4:20.0,J. Adams makes 3-pt shot from 22 ft (assist by V. Carter),3,38-34,,
3:57.0,,,38-36,2,T. Ross makes 2-pt shot from 5 ft
3:39.0,Turnover by T. Prince (lost ball; steal by K. Lowry),,38-36,,
3:32.0,,,38-36,,K. Lowry misses 3-pt shot from 27 ft
3:31.0,Defensive rebound by M. Conley,,38-36,,
3:23.0,M. Conley misses 2-pt shot from 4 ft,,38-36,,
3:22.0,Offensive rebound by Z. Randolph,,38-36,,
3:19.0,Z. Randolph makes 2-pt shot at rim,2,40-36,,
3:11.0,,,40-38,2,K. Lowry makes 2-pt shot from 2 ft
3:11.0,Memphis full timeout,,40-38,,
3:02.0,Shooting foul by J. Valanciunas (drawn by T. Prince),,40-38,,
3:02.0,T. Prince misses free throw 1 of 2,,40-38,,
3:02.0,Offensive rebound by Team,,40-38,,
3:02.0,T. Prince makes free throw 2 of 2,1,41-38,,
2:54.0,,,41-38,,Turnover by K. Lowry (bad pass; steal by Z. Randolph)
2:45.0,M. Gasol enters the game for J. Adams,,41-38,,
2:35.0,T. Prince makes 2-pt shot from 10 ft,2,43-38,,
2:21.0,,,43-40,2,D. DeRozan makes 2-pt shot from 2 ft
2:01.0,V. Carter misses 3-pt shot from 24 ft,,43-40,,
2:00.0,,,43-40,,Defensive rebound by A. Johnson
1:51.0,,,43-40,,D. DeRozan misses 2-pt shot from 12 ft
1:50.0,Defensive rebound by Z. Randolph,,43-40,,
1:39.0,M. Conley makes 2-pt shot from 1 ft,2,45-40,,
1:15.0,,,45-40,,T. Ross misses 2-pt shot from 19 ft
1:14.0,,,45-40,,Offensive rebound by J. Valanciunas
1:10.0,,,45-40,,Turnover by J. Valanciunas (bad pass; steal by M. Conley)
1:04.0,V. Carter makes 3-pt shot from 25 ft (assist by M. Gasol),3,48-40,,
0:52.0,,,48-42,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by K. Lowry)
0:38.0,Shooting foul by A. Johnson (drawn by M. Gasol),,48-42,,
0:38.0,M. Gasol misses free throw 1 of 2,,48-42,,
0:38.0,Offensive rebound by Team,,48-42,,
0:38.0,K. Lucas enters the game for M. Conley,,48-42,,
0:38.0,Q. Pondexter enters the game for V. Carter,,48-42,,
0:38.0,M. Gasol misses free throw 2 of 2,,48-42,,
0:38.0,Offensive rebound by T. Prince,,48-42,,
0:35.0,Turnover by T. Prince (bad pass; steal by T. Ross),,48-42,,
0:31.0,,,48-42,,Turnover by T. Ross (lost ball; steal by K. Lucas)
0:26.0,Z. Randolph misses 2-pt shot from 3 ft,,48-42,,
0:25.0,Offensive rebound by M. Gasol,,48-42,,
0:22.0,M. Gasol misses 2-pt shot from 2 ft (block by A. Johnson),,48-42,,
0:22.0,,,48-42,,Defensive rebound by Team
0:00.0,,,48-42,,K. Lowry misses 2-pt shot from 21 ft
0:00.0,,,48-42,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,48-44,2,D. DeRozan makes 2-pt shot from 17 ft (assist by K. Lowry)
11:31.0,Turnover by M. Gasol (lost ball; steal by K. Lowry),,48-44,,
11:19.0,,,48-44,,D. DeRozan misses 2-pt shot from 19 ft
11:18.0,,,48-44,,Offensive rebound by Team
11:14.0,,,48-44,,T. Ross misses 2-pt shot from 4 ft
11:11.0,Defensive rebound by M. Gasol,,48-44,,
10:56.0,Offensive charge foul by Z. Randolph,,48-44,,
10:56.0,Turnover by Z. Randolph (offensive foul),,48-44,,
10:49.0,,,48-46,2,D. DeRozan makes 2-pt shot from 19 ft (assist by A. Johnson)
10:32.0,,,48-46,,Personal foul by A. Johnson (drawn by M. Conley)
10:29.0,M. Gasol makes 2-pt shot at rim (assist by M. Conley),2,50-46,,
10:08.0,,,50-46,,K. Lowry misses 3-pt shot from 27 ft
10:07.0,Defensive rebound by Team,,50-46,,
10:07.0,,,50-46,,Loose ball foul by J. Valanciunas (drawn by M. Gasol)
9:52.0,M. Gasol misses 2-pt shot from 5 ft,,50-46,,
9:51.0,,,50-46,,Defensive rebound by J. Valanciunas
9:33.0,,,50-48,2,J. Valanciunas makes 2-pt shot from 2 ft
9:19.0,T. Prince makes 2-pt shot from 8 ft (assist by M. Conley),2,52-48,,
8:51.0,,,52-48,,D. DeRozan misses 2-pt shot from 20 ft
8:51.0,Defensive rebound by Z. Randolph,,52-48,,
8:40.0,M. Conley makes 2-pt shot from 2 ft,2,54-48,,
8:22.0,,,54-48,,Shooting foul by M. Conley (drawn by A. Johnson)
8:22.0,,,54-50,2,A. Johnson makes 2-pt shot from 4 ft (assist by T. Ross)
8:22.0,,,54-50,,A. Johnson misses free throw 1 of 1
8:21.0,Defensive rebound by T. Prince,,54-50,,
8:03.0,M. Gasol makes 2-pt shot from 15 ft,2,56-50,,
7:46.0,,,56-52,2,J. Valanciunas makes 2-pt shot at rim (assist by A. Johnson)
7:24.0,T. Prince makes 2-pt shot from 4 ft,2,58-52,,
7:16.0,,,58-52,,D. DeRozan misses 2-pt shot from 5 ft
7:16.0,Defensive rebound by M. Gasol,,58-52,,
7:12.0,,,58-52,,Personal foul by K. Lowry (drawn by M. Conley)
6:56.0,Shooting foul by J. Valanciunas (drawn by M. Gasol),,58-52,,
6:56.0,M. Gasol makes free throw 1 of 2,1,59-52,,
6:56.0,K. Lucas enters the game for M. Conley,,59-52,,
6:56.0,,,59-52,,L. Williams enters the game for T. Ross
6:56.0,,,59-52,,P. Patterson enters the game for J. Valanciunas
6:56.0,V. Carter enters the game for T. Prince,,59-52,,
6:56.0,M. Gasol makes free throw 2 of 2,1,60-52,,
6:46.0,,,60-54,2,D. DeRozan makes 2-pt shot at rim
6:28.0,Z. Randolph misses 2-pt shot from 4 ft (block by A. Johnson),,60-54,,
6:27.0,,,60-54,,Defensive rebound by P. Patterson
6:20.0,,,60-54,,K. Lowry misses 3-pt shot from 23 ft
6:19.0,Defensive rebound by Z. Randolph,,60-54,,
5:58.0,V. Carter misses 3-pt shot from 25 ft,,60-54,,
5:57.0,Offensive rebound by Q. Pondexter,,60-54,,
5:55.0,Q. Pondexter makes 2-pt shot from 2 ft,2,62-54,,
5:48.0,Personal foul by K. Lucas (drawn by K. Lowry),,62-54,,
5:48.0,,,62-54,,Toronto full timeout
5:39.0,,,62-54,,D. DeRozan misses 2-pt shot from 15 ft
5:38.0,,,62-54,,Offensive rebound by P. Patterson
5:35.0,,,62-54,,P. Patterson misses 2-pt shot from 3 ft (block by M. Gasol)
5:33.0,Defensive rebound by M. Gasol,,62-54,,
5:19.0,Shooting foul by A. Johnson (drawn by M. Gasol),,62-54,,
5:19.0,M. Gasol makes free throw 1 of 2,1,63-54,,
5:19.0,M. Gasol makes free throw 2 of 2,1,64-54,,
5:06.0,,,64-54,,L. Williams misses 3-pt shot from 28 ft
5:05.0,Defensive rebound by Z. Randolph,,64-54,,
4:58.0,Q. Pondexter misses 2-pt shot from 4 ft,,64-54,,
4:57.0,Offensive rebound by V. Carter,,64-54,,
4:55.0,V. Carter misses 2-pt shot from 1 ft,,64-54,,
4:54.0,,,64-54,,Defensive rebound by D. DeRozan
4:49.0,,,64-54,,K. Lowry misses 3-pt shot from 22 ft
4:48.0,,,64-54,,Offensive rebound by A. Johnson
4:45.0,,,64-57,3,K. Lowry makes 3-pt shot from 23 ft (assist by A. Johnson)
4:25.0,Turnover by Z. Randolph (lost ball; steal by L. Williams),,64-57,,
4:17.0,,,64-59,2,L. Williams makes 2-pt shot from 17 ft (assist by P. Patterson)
4:17.0,Shooting block foul by Z. Randolph (drawn by L. Williams),,64-59,,
4:17.0,,,64-60,1,L. Williams makes free throw 1 of 1
4:04.0,Z. Randolph misses 2-pt shot from 7 ft,,64-60,,
4:03.0,Offensive rebound by Z. Randolph,,64-60,,
4:02.0,Z. Randolph misses 2-pt shot from 2 ft,,64-60,,
4:00.0,,,64-60,,Defensive rebound by K. Lowry
3:55.0,,,64-63,3,L. Williams makes 3-pt shot from 23 ft (assist by D. DeRozan)
3:45.0,Memphis full timeout,,64-63,,
3:45.0,J. Adams enters the game for Q. Pondexter,,64-63,,
3:45.0,M. Conley enters the game for K. Lucas,,64-63,,
3:29.0,M. Conley makes 3-pt shot from 26 ft (assist by M. Gasol),3,67-63,,
3:11.0,,,67-63,,L. Williams misses 3-pt shot from 25 ft
3:10.0,,,67-63,,Offensive rebound by A. Johnson
3:04.0,,,67-63,,P. Patterson misses 3-pt shot from 24 ft
3:02.0,Defensive rebound by Team,,67-63,,
2:42.0,M. Conley misses 2-pt shot from 5 ft,,67-63,,
2:40.0,Offensive rebound by Z. Randolph,,67-63,,
2:37.0,Z. Randolph makes 2-pt shot from 1 ft,2,69-63,,
2:23.0,Personal foul by J. Adams (drawn by D. DeRozan),,69-63,,
2:14.0,,,69-63,,D. DeRozan misses 2-pt shot from 22 ft
2:14.0,Defensive rebound by Team,,69-63,,
2:01.0,Turnover by Z. Randolph (bad pass),,69-63,,
1:54.0,,,69-63,,Turnover by D. DeRozan (lost ball; steal by M. Gasol)
1:42.0,M. Conley misses 2-pt shot at rim,,69-63,,
1:41.0,Offensive rebound by Z. Randolph,,69-63,,
1:37.0,Z. Randolph misses 2-pt shot from 2 ft,,69-63,,
1:36.0,,,69-63,,Defensive rebound by A. Johnson
1:26.0,,,69-63,,Shooting foul by M. Conley (drawn by K. Lowry)
1:26.0,,,69-64,1,K. Lowry makes free throw 1 of 2
1:26.0,,,69-64,,T. Hansbrough enters the game for A. Johnson
1:26.0,,,69-65,1,K. Lowry makes free throw 2 of 2
1:11.0,M. Gasol misses 2-pt shot from 2 ft (block by P. Patterson),,69-65,,
1:09.0,Offensive rebound by Z. Randolph,,69-65,,
1:08.0,Z. Randolph makes 2-pt shot at rim,2,71-65,,
0:59.0,,,71-65,,K. Lowry misses 3-pt shot from 26 ft
0:58.0,Defensive rebound by V. Carter,,71-65,,
0:43.0,M. Gasol misses 2-pt shot from 14 ft,,71-65,,
0:42.0,Offensive rebound by Team,,71-65,,
0:42.0,,,71-65,,Loose ball foul by T. Hansbrough (drawn by Z. Randolph)
0:42.0,Z. Randolph makes free throw 1 of 2,1,72-65,,
0:42.0,Z. Randolph makes free throw 2 of 2,1,73-65,,
0:34.0,,,73-67,2,K. Lowry makes 2-pt shot from 2 ft
0:21.0,Shooting foul by K. Lowry (drawn by M. Conley),,73-67,,
0:21.0,M. Conley makes free throw 1 of 2,1,74-67,,
0:21.0,J. Stokes enters the game for Z. Randolph,,74-67,,
0:21.0,T. Prince enters the game for M. Gasol,,74-67,,
0:21.0,M. Conley makes free throw 2 of 2,1,75-67,,
0:04.0,,,75-69,2,D. DeRozan makes 2-pt shot from 6 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,Turnover by J. Adams (bad pass; steal by D. DeRozan),,75-69,,
11:37.0,,,75-69,,Shooting foul by J. Stokes (drawn by D. DeRozan)
11:37.0,,,75-70,1,D. DeRozan makes free throw 1 of 2
11:37.0,,,75-70,,T. Ross enters the game for T. Hansbrough
11:37.0,,,75-70,,D. DeRozan misses free throw 2 of 2
11:37.0,Defensive rebound by J. Stokes,,75-70,,
11:24.0,Turnover by V. Carter (lost ball; steal by L. Williams),,75-70,,
11:16.0,,,75-70,,G. Vasquez misses 3-pt shot from 23 ft
11:15.0,Defensive rebound by M. Conley,,75-70,,
11:03.0,,,75-70,,Personal foul by G. Vasquez (drawn by M. Conley)
10:56.0,,,75-70,,Personal foul by T. Ross (drawn by T. Prince)
10:45.0,V. Carter misses 2-pt shot from 7 ft,,75-70,,
10:44.0,,,75-70,,Defensive rebound by G. Vasquez
10:24.0,,,75-70,,D. DeRozan misses 3-pt shot from 24 ft
10:23.0,Defensive rebound by J. Adams,,75-70,,
10:14.0,M. Conley misses 2-pt shot from 4 ft,,75-70,,
10:13.0,Offensive rebound by J. Stokes,,75-70,,
10:12.0,Shooting foul by D. DeRozan (drawn by J. Stokes),,75-70,,
10:12.0,J. Stokes misses free throw 1 of 2,,75-70,,
10:12.0,Offensive rebound by Team,,75-70,,
10:12.0,J. Stokes makes free throw 2 of 2,1,76-70,,
10:02.0,,,76-70,,Shooting foul by J. Stokes (drawn by L. Williams)
10:02.0,,,76-71,1,L. Williams makes free throw 1 of 2
10:02.0,M. Gasol enters the game for J. Stokes,,76-71,,
10:02.0,,,76-71,,C. Hayes enters the game for D. DeRozan
10:02.0,,,76-72,1,L. Williams makes free throw 2 of 2
9:40.0,V. Carter misses 2-pt shot from 18 ft,,76-72,,
9:39.0,,,76-72,,Defensive rebound by P. Patterson
9:24.0,,,76-72,,L. Williams misses 2-pt shot from 8 ft
9:23.0,Defensive rebound by M. Gasol,,76-72,,
9:15.0,M. Conley misses 2-pt shot from 20 ft,,76-72,,
9:14.0,,,76-72,,Defensive rebound by G. Vasquez
8:57.0,,,76-74,2,T. Ross makes 2-pt shot from 2 ft
8:34.0,T. Prince misses 2-pt shot from 22 ft,,76-74,,
8:32.0,,,76-74,,Defensive rebound by C. Hayes
8:18.0,,,76-74,,Shooting foul by V. Carter (drawn by T. Ross)
8:18.0,,,76-76,2,T. Ross makes 2-pt shot from 7 ft
8:18.0,Official timeout,,76-76,,
8:18.0,,,76-76,,K. Lowry enters the game for L. Williams
8:18.0,Q. Pondexter enters the game for J. Adams,,76-76,,
8:18.0,,,76-77,1,T. Ross makes free throw 1 of 1
7:57.0,M. Gasol makes 2-pt shot from 10 ft,2,78-77,,
7:42.0,,,78-80,3,T. Ross makes 3-pt shot from 26 ft (assist by C. Hayes)
7:14.0,M. Gasol makes 2-pt shot from 18 ft,2,80-80,,
7:02.0,Personal foul by Q. Pondexter (drawn by K. Lowry),,80-80,,
7:02.0,,,80-80,,A. Johnson enters the game for P. Patterson
7:02.0,Z. Randolph enters the game for V. Carter,,80-80,,
6:54.0,,,80-80,,T. Ross misses 2-pt shot from 21 ft
6:53.0,Defensive rebound by M. Conley,,80-80,,
6:34.0,Shooting foul by G. Vasquez (drawn by M. Gasol),,80-80,,
6:34.0,M. Gasol makes free throw 1 of 2,1,81-80,,
6:34.0,,,81-80,,D. DeRozan enters the game for G. Vasquez
6:34.0,M. Gasol makes free throw 2 of 2,1,82-80,,
6:19.0,,,82-80,,K. Lowry misses 2-pt shot from 18 ft
6:19.0,,,82-80,,Offensive rebound by A. Johnson
6:12.0,,,82-83,3,T. Ross makes 3-pt shot from 25 ft (assist by C. Hayes)
5:51.0,M. Conley makes 2-pt shot from 5 ft (assist by M. Gasol),2,84-83,,
5:36.0,,,84-83,,D. DeRozan misses 2-pt shot from 18 ft
5:34.0,Defensive rebound by Z. Randolph,,84-83,,
5:17.0,,,84-83,,Personal block foul by C. Hayes (drawn by M. Conley)
5:17.0,,,84-83,,Toronto full timeout
5:17.0,M. Conley makes free throw 1 of 2,1,85-83,,
5:17.0,M. Conley makes free throw 2 of 2,1,86-83,,
4:58.0,,,86-83,,T. Ross misses 2-pt shot from 15 ft
4:57.0,Defensive rebound by Z. Randolph,,86-83,,
4:35.0,M. Gasol misses 2-pt shot from 15 ft,,86-83,,
4:34.0,Offensive rebound by Team,,86-83,,
4:34.0,,,86-83,,Loose ball foul by T. Ross (drawn by T. Prince)
4:34.0,T. Prince makes free throw 1 of 2,1,87-83,,
4:34.0,T. Prince makes free throw 2 of 2,1,88-83,,
4:17.0,,,88-85,2,A. Johnson makes 2-pt shot from 2 ft (assist by D. DeRozan)
3:58.0,Shooting foul by K. Lowry (drawn by Z. Randolph),,88-85,,
3:58.0,Z. Randolph makes free throw 1 of 2,1,89-85,,
3:58.0,Z. Randolph makes free throw 2 of 2,1,90-85,,
3:45.0,,,90-85,,D. DeRozan misses 2-pt shot from 5 ft (block by Q. Pondexter)
3:43.0,,,90-85,,Offensive rebound by D. DeRozan
3:38.0,,,90-88,3,T. Ross makes 3-pt shot from 24 ft (assist by D. DeRozan)
3:19.0,Z. Randolph misses 2-pt shot from 6 ft,,90-88,,
3:18.0,Offensive rebound by M. Gasol,,90-88,,
3:16.0,M. Gasol misses 2-pt shot at rim (block by T. Ross),,90-88,,
3:14.0,,,90-88,,Defensive rebound by T. Ross
2:58.0,,,90-90,2,K. Lowry makes 2-pt shot at rim (assist by A. Johnson)
2:49.0,Memphis full timeout,,90-90,,
2:29.0,M. Conley makes 2-pt shot from 15 ft,2,92-90,,
2:12.0,,,92-92,2,D. DeRozan makes 2-pt shot from 15 ft
1:53.0,,,92-92,,Personal foul by A. Johnson (drawn by M. Gasol)
1:53.0,M. Gasol misses free throw 1 of 2,,92-92,,
1:53.0,Offensive rebound by Team,,92-92,,
1:53.0,M. Gasol misses free throw 2 of 2,,92-92,,
1:52.0,,,92-92,,Defensive rebound by A. Johnson
1:38.0,,,92-94,2,K. Lowry makes 2-pt shot from 2 ft (assist by D. DeRozan)
1:25.0,Offensive charge foul by M. Conley,,92-94,,
1:25.0,Turnover by M. Conley (offensive foul),,92-94,,
1:25.0,,,92-94,,Toronto full timeout
1:12.0,,,92-94,,A. Johnson misses 2-pt shot from 3 ft
1:11.0,,,92-94,,Offensive rebound by A. Johnson
0:50.0,,,92-94,,D. DeRozan misses 2-pt shot from 15 ft
