time,Minnesota,pts.away,score,pts.home,Detroit
1:39.0,,,30-22,,Turnover by G. Monroe (bad pass)
1:29.0,A. Wiggins misses 2-pt shot from 6 ft,,30-22,,
1:27.0,,,30-22,,Defensive rebound by K. Singler
1:17.0,,,30-22,,G. Monroe misses 2-pt shot from 5 ft
1:14.0,Defensive rebound by A. Wiggins,,30-22,,
1:09.0,M. Williams misses 2-pt shot from 4 ft (block by K. Singler),,30-22,,
1:09.0,Offensive rebound by Team,,30-22,,
1:05.0,Turnover by Z. LaVine (bad pass),,30-22,,
0:53.0,,,30-22,,A. Tolliver misses 3-pt shot from 23 ft
0:52.0,Defensive rebound by M. Williams,,30-22,,
0:38.0,A. Bennett makes 2-pt shot at rim (assist by M. Williams),2,32-22,,
0:22.0,,,32-24,2,G. Monroe makes 2-pt shot at rim (assist by D. Augustin)
0:02.0,Z. LaVine misses 2-pt shot from 19 ft,,32-24,,
0:01.0,,,32-24,,Defensive rebound by G. Monroe
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,K. Martin misses 2-pt shot from 18 ft,,32-24,,
11:44.0,,,32-24,,Defensive rebound by Team
11:33.0,,,32-24,,J. Lucas III misses 2-pt shot from 20 ft
11:32.0,Defensive rebound by A. Bennett,,32-24,,
11:14.0,A. Bennett misses 2-pt shot from 22 ft,,32-24,,
11:11.0,,,32-24,,Defensive rebound by A. Drummond
11:01.0,,,32-24,,Turnover by C. Butler (bad pass; steal by K. Martin)
10:57.0,K. Martin makes 2-pt shot at rim,2,34-24,,
10:46.0,Personal foul by K. Martin (drawn by J. Meeks),,34-24,,
10:31.0,,,34-26,2,A. Drummond makes 2-pt shot from 8 ft (assist by C. Butler)
10:10.0,G. Dieng misses 2-pt shot from 16 ft,,34-26,,
10:09.0,,,34-26,,Defensive rebound by C. Butler
9:51.0,,,34-26,,A. Tolliver misses 3-pt shot from 23 ft
9:50.0,Defensive rebound by Team,,34-26,,
9:37.0,K. Martin makes 2-pt shot from 19 ft (assist by Z. LaVine),2,36-26,,
9:13.0,,,36-28,2,A. Drummond makes 2-pt shot from 7 ft (assist by J. Lucas III)
8:54.0,K. Martin misses 2-pt shot from 5 ft,,36-28,,
8:54.0,Offensive rebound by Team,,36-28,,
8:54.0,Official timeout,,36-28,,
8:47.0,K. Martin makes 2-pt shot from 15 ft,2,38-28,,
8:35.0,,,38-31,3,J. Meeks makes 3-pt shot from 24 ft (assist by J. Lucas III)
8:16.0,G. Dieng misses 2-pt shot at rim (block by A. Drummond),,38-31,,
8:15.0,Offensive rebound by A. Bennett,,38-31,,
8:10.0,K. Martin misses 3-pt shot from 26 ft,,38-31,,
