time,New Orleans,pts.away,score,pts.home,San Antonio
3:31.0,Defensive rebound by A. Davis,,45-43,,
3:23.0,A. Davis makes 2-pt shot from 7 ft (assist by J. Holiday),2,47-43,,
3:14.0,,,47-43,,Turnover by B. Diaw (bad pass; steal by A. Davis)
3:09.0,T. Evans misses 2-pt shot from 2 ft,,47-43,,
3:08.0,Offensive rebound by A. Davis,,47-43,,
3:08.0,A. Davis makes 2-pt shot from 2 ft,2,49-43,,
2:53.0,,,49-43,,T. Parker misses 2-pt shot from 9 ft
2:51.0,Defensive rebound by A. Davis,,49-43,,
2:44.0,E. Gordon misses 3-pt shot from 25 ft,,49-43,,
2:43.0,,,49-43,,Defensive rebound by B. Diaw
2:36.0,Personal foul by J. Holiday (drawn by T. Parker),,49-43,,
2:36.0,Official timeout,,49-43,,
2:36.0,,,49-44,1,T. Parker makes free throw 1 of 2
2:36.0,,,49-45,1,T. Parker makes free throw 2 of 2
2:17.0,J. Holiday misses 2-pt shot from 19 ft,,49-45,,
2:16.0,,,49-45,,Defensive rebound by T. Duncan
2:08.0,,,49-47,2,T. Parker makes 2-pt shot from 18 ft
1:51.0,E. Gordon misses 2-pt shot from 17 ft,,49-47,,
1:50.0,,,49-47,,Defensive rebound by T. Duncan
1:43.0,,,49-49,2,T. Parker makes 2-pt shot from 18 ft
1:25.0,T. Evans misses 2-pt shot from 7 ft,,49-49,,
1:23.0,Offensive rebound by O. Asik,,49-49,,
1:23.0,O. Asik makes 2-pt shot from 1 ft,2,51-49,,
1:04.0,,,51-49,,Turnover by T. Duncan (lost ball; steal by J. Holiday)
1:02.0,,,51-49,,Personal block foul by M. Ginobili (drawn by T. Evans)
1:02.0,R. Anderson enters the game for O. Asik,,51-49,,
1:02.0,,,51-49,,K. Leonard enters the game for B. Diaw
0:55.0,J. Holiday makes 2-pt shot from 6 ft,2,53-49,,
0:41.0,Shooting block foul by J. Holiday (drawn by T. Parker),,53-49,,
0:41.0,,,53-50,1,T. Parker makes free throw 1 of 2
0:41.0,A. Rivers enters the game for J. Holiday,,53-50,,
0:41.0,,,53-51,1,T. Parker makes free throw 2 of 2
0:27.0,A. Davis misses 2-pt shot from 10 ft,,53-51,,
0:26.0,,,53-51,,Defensive rebound by K. Leonard
0:07.0,,,53-53,2,T. Parker makes 2-pt shot from 2 ft
0:00.0,T. Evans makes 2-pt shot from 7 ft,2,55-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,A. Davis misses 2-pt shot at rim,,55-53,,
11:43.0,,,55-53,,Defensive rebound by K. Leonard
11:35.0,,,55-53,,T. Parker misses 2-pt shot from 16 ft
11:34.0,Defensive rebound by A. Davis,,55-53,,
11:22.0,E. Gordon misses 3-pt shot from 24 ft,,55-53,,
11:21.0,,,55-53,,Defensive rebound by T. Duncan
11:14.0,Shooting block foul by J. Holiday (drawn by T. Parker),,55-53,,
11:14.0,,,55-54,1,T. Parker makes free throw 1 of 2
11:14.0,,,55-55,1,T. Parker makes free throw 2 of 2
10:55.0,J. Holiday makes 3-pt shot from 23 ft,3,58-55,,
10:36.0,,,58-55,,T. Duncan misses 2-pt shot from 4 ft (block by A. Davis)
10:35.0,,,58-55,,Offensive rebound by Team
10:30.0,,,58-55,,T. Parker misses 3-pt shot from 25 ft
10:29.0,Defensive rebound by T. Evans,,58-55,,
10:23.0,J. Holiday misses 3-pt shot from 22 ft,,58-55,,
10:22.0,,,58-55,,Defensive rebound by Team
10:10.0,,,58-55,,Shooting foul by O. Asik (drawn by T. Duncan)
10:10.0,,,58-56,1,T. Duncan makes free throw 1 of 2
10:10.0,,,58-56,,T. Duncan misses free throw 2 of 2
10:09.0,Defensive rebound by A. Davis,,58-56,,
9:51.0,J. Holiday makes 2-pt shot at rim (assist by T. Evans),2,60-56,,
9:44.0,Personal foul by O. Asik (drawn by T. Duncan),,60-56,,
9:36.0,,,60-56,,Shooting foul by E. Gordon (drawn by T. Duncan)
9:36.0,,,60-57,1,T. Duncan makes free throw 1 of 2
9:36.0,,,60-58,1,T. Duncan makes free throw 2 of 2
9:26.0,,,60-58,,Personal foul by T. Parker (drawn by J. Holiday)
9:15.0,E. Gordon misses 2-pt shot from 2 ft,,60-58,,
9:13.0,,,60-58,,Defensive rebound by B. Diaw
8:58.0,,,60-58,,T. Parker misses 2-pt shot from 4 ft
8:57.0,Defensive rebound by O. Asik,,60-58,,
8:50.0,J. Holiday misses 2-pt shot from 3 ft (block by B. Diaw),,60-58,,
8:50.0,,,60-58,,Defensive rebound by Team
8:35.0,,,60-60,2,B. Diaw makes 2-pt shot from 2 ft (assist by K. Leonard)
8:23.0,,,60-60,,Personal foul by K. Leonard (drawn by T. Evans)
8:12.0,A. Davis makes 2-pt shot from 4 ft (assist by J. Holiday),2,62-60,,
7:46.0,,,62-62,2,T. Parker makes 2-pt shot from 1 ft
7:33.0,J. Holiday misses 2-pt shot from 8 ft,,62-62,,
7:30.0,,,62-62,,Defensive rebound by T. Duncan
7:29.0,,,62-62,,Turnover by T. Duncan (lost ball; steal by J. Holiday)
7:18.0,O. Asik makes 2-pt shot at rim (assist by T. Evans),2,64-62,,
7:18.0,Shooting foul by T. Duncan (drawn by O. Asik),,64-62,,
7:18.0,,,64-62,,Violation by D. Green (lane)
7:18.0,O. Asik misses free throw 1 of 1,,64-62,,
7:18.0,,,64-62,,Defensive rebound by B. Diaw
6:59.0,,,64-62,,Turnover by T. Duncan (traveling)
6:42.0,A. Davis misses 2-pt shot from 15 ft,,64-62,,
6:41.0,,,64-62,,Defensive rebound by D. Green
6:28.0,,,64-64,2,K. Leonard makes 2-pt shot from 22 ft (assist by D. Green)
6:05.0,A. Davis makes 2-pt shot from 1 ft,2,66-64,,
6:04.0,,,66-64,,San Antonio full timeout
6:04.0,,,66-64,,M. Ginobili enters the game for D. Green
5:42.0,,,66-66,2,T. Duncan makes 2-pt shot from 8 ft
5:30.0,J. Holiday misses 2-pt shot from 1 ft (block by T. Duncan),,66-66,,
5:29.0,,,66-66,,Defensive rebound by T. Parker
5:17.0,,,66-66,,K. Leonard misses 2-pt shot from 2 ft
5:16.0,Defensive rebound by A. Davis,,66-66,,
5:15.0,Turnover by A. Davis (lost ball; steal by K. Leonard),,66-66,,
5:05.0,,,66-66,,K. Leonard misses 2-pt shot from 5 ft (block by A. Davis)
5:04.0,,,66-66,,Offensive rebound by K. Leonard
5:01.0,,,66-66,,K. Leonard misses 2-pt shot from 1 ft
5:00.0,Defensive rebound by J. Holiday,,66-66,,
4:55.0,T. Evans makes 2-pt shot at rim (assist by J. Holiday),2,68-66,,
4:30.0,,,68-66,,T. Parker misses 3-pt shot from 24 ft
4:29.0,,,68-66,,Offensive rebound by T. Duncan
4:29.0,,,68-66,,T. Duncan misses 2-pt shot from 1 ft
4:29.0,Defensive rebound by Team,,68-66,,
4:29.0,,,68-66,,C. Joseph enters the game for T. Parker
4:29.0,,,68-66,,A. Baynes enters the game for B. Diaw
4:29.0,R. Anderson enters the game for O. Asik,,68-66,,
4:29.0,A. Rivers enters the game for T. Evans,,68-66,,
4:19.0,,,68-66,,Personal foul by K. Leonard (drawn by A. Rivers)
4:19.0,,,68-66,,A. Daye enters the game for T. Duncan
4:06.0,E. Gordon makes 3-pt shot from 23 ft (assist by J. Holiday),3,71-66,,
3:47.0,,,71-66,,M. Ginobili misses 3-pt shot from 25 ft
3:46.0,Defensive rebound by J. Holiday,,71-66,,
3:42.0,A. Davis misses 2-pt shot from 3 ft,,71-66,,
3:41.0,,,71-66,,Defensive rebound by A. Daye
3:30.0,,,71-66,,Shooting foul by A. Rivers (drawn by K. Leonard)
3:30.0,,,71-67,1,K. Leonard makes free throw 1 of 2
3:30.0,,,71-68,1,K. Leonard makes free throw 2 of 2
3:21.0,,,71-68,,Personal foul by A. Daye (drawn by J. Holiday)
3:21.0,J. Holiday makes free throw 1 of 2,1,72-68,,
3:21.0,,,72-68,,D. Green enters the game for K. Leonard
3:21.0,J. Holiday makes free throw 2 of 2,1,73-68,,
3:08.0,,,73-68,,A. Baynes misses 2-pt shot from 1 ft (block by A. Rivers)
3:06.0,,,73-68,,Offensive rebound by D. Green
3:03.0,,,73-68,,Turnover by A. Baynes (bad pass; steal by A. Davis)
2:59.0,A. Rivers misses 2-pt shot from 1 ft,,73-68,,
2:59.0,Offensive rebound by Team,,73-68,,
2:59.0,New Orleans full timeout,,73-68,,
2:59.0,J. Fredette enters the game for J. Holiday,,73-68,,
2:44.0,J. Fredette misses 2-pt shot from 4 ft,,73-68,,
2:43.0,,,73-68,,Defensive rebound by A. Daye
2:29.0,,,73-68,,M. Ginobili misses 3-pt shot from 25 ft (block by A. Davis)
2:28.0,,,73-68,,Offensive rebound by M. Ginobili
2:24.0,,,73-68,,A. Daye misses 3-pt shot from 22 ft
2:23.0,Defensive rebound by J. Fredette,,73-68,,
2:17.0,,,73-68,,Personal foul by D. Green (drawn by A. Davis)
2:17.0,A. Davis misses free throw 1 of 2,,73-68,,
2:17.0,Offensive rebound by Team,,73-68,,
2:17.0,A. Davis makes free throw 2 of 2,1,74-68,,
2:06.0,,,74-68,,M. Ginobili misses 2-pt shot from 2 ft
2:05.0,Defensive rebound by A. Davis,,74-68,,
1:47.0,E. Gordon misses 3-pt shot from 26 ft,,74-68,,
1:46.0,Offensive rebound by A. Davis,,74-68,,
1:46.0,Shooting foul by D. Green (drawn by A. Davis),,74-68,,
1:46.0,A. Davis makes free throw 1 of 2,1,75-68,,
1:46.0,T. Evans enters the game for E. Gordon,,75-68,,
1:46.0,A. Davis makes free throw 2 of 2,1,76-68,,
1:30.0,,,76-68,,C. Joseph misses 2-pt shot from 2 ft
1:30.0,,,76-68,,Offensive rebound by Team
1:30.0,Loose ball foul by T. Evans (drawn by A. Baynes),,76-68,,
1:30.0,,,76-68,,A. Baynes misses free throw 1 of 2
1:30.0,,,76-68,,Offensive rebound by Team
1:30.0,A. Ajinca enters the game for A. Davis,,76-68,,
1:30.0,,,76-68,,A. Baynes misses free throw 2 of 2
1:28.0,,,76-68,,Offensive rebound by D. Green
1:28.0,,,76-68,,D. Green misses 2-pt shot from 1 ft
1:27.0,Defensive rebound by T. Evans,,76-68,,
1:12.0,R. Anderson misses 3-pt shot from 24 ft,,76-68,,
1:11.0,,,76-68,,Defensive rebound by A. Baynes
1:02.0,,,76-68,,Turnover by A. Baynes (lost ball; steal by T. Evans)
1:02.0,,,76-68,,Personal foul by A. Baynes (drawn by T. Evans)
1:02.0,T. Evans makes free throw 1 of 2,1,77-68,,
1:02.0,T. Evans makes free throw 2 of 2,1,78-68,,
0:44.0,,,78-68,,Shooting foul by A. Ajinca (drawn by C. Joseph)
0:44.0,,,78-68,,C. Joseph misses free throw 1 of 2
0:44.0,,,78-68,,Offensive rebound by Team
0:44.0,,,78-69,1,C. Joseph makes free throw 2 of 2
0:29.0,T. Evans misses 2-pt shot from 7 ft,,78-69,,
0:27.0,,,78-69,,Defensive rebound by Team
0:04.0,,,78-71,2,M. Ginobili makes 2-pt shot at rim
0:00.0,T. Evans makes 3-pt shot from 26 ft,3,81-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,81-73,2,M. Ginobili makes 2-pt shot at rim
11:17.0,J. Fredette makes 2-pt shot from 14 ft,2,83-73,,
11:03.0,,,83-73,,K. Leonard misses 3-pt shot from 25 ft
11:03.0,Defensive rebound by A. Ajinca,,83-73,,
10:48.0,Turnover by A. Rivers (bad pass; steal by M. Ginobili),,83-73,,
10:45.0,,,83-73,,Turnover by M. Ginobili (bad pass)
10:45.0,J. Holiday enters the game for J. Fredette,,83-73,,
10:32.0,Turnover by T. Evans (discontinued dribble),,83-73,,
10:20.0,,,83-73,,T. Duncan misses 2-pt shot from 1 ft
10:19.0,,,83-73,,Offensive rebound by T. Duncan
10:19.0,,,83-75,2,T. Duncan makes 2-pt shot from 1 ft
10:03.0,Turnover by R. Anderson (lost ball; steal by M. Ginobili),,83-75,,
9:58.0,,,83-75,,M. Ginobili misses 2-pt shot at rim
9:56.0,Defensive rebound by R. Anderson,,83-75,,
9:38.0,T. Evans makes 2-pt shot from 22 ft,2,85-75,,
9:17.0,Personal foul by A. Rivers (drawn by M. Ginobili),,85-75,,
9:17.0,A. Davis enters the game for A. Ajinca,,85-75,,
9:17.0,E. Gordon enters the game for A. Rivers,,85-75,,
9:11.0,,,85-77,2,T. Parker makes 2-pt shot from 1 ft
8:51.0,T. Evans misses 2-pt shot from 1 ft,,85-77,,
8:51.0,,,85-77,,Defensive rebound by M. Ginobili
8:43.0,,,85-77,,Shooting foul by E. Gordon (drawn by M. Ginobili)
8:43.0,Official timeout,,85-77,,
8:43.0,,,85-78,1,M. Ginobili makes free throw 1 of 2
8:43.0,,,85-79,1,M. Ginobili makes free throw 2 of 2
8:27.0,R. Anderson makes 3-pt shot from 25 ft (assist by J. Holiday),3,88-79,,
8:09.0,,,88-79,,K. Leonard misses 2-pt shot from 2 ft (block by J. Holiday)
8:08.0,Defensive rebound by Team,,88-79,,
8:08.0,,,88-79,,Loose ball foul by K. Leonard (drawn by R. Anderson)
7:53.0,J. Holiday misses 2-pt shot from 11 ft,,88-79,,
7:52.0,,,88-79,,Defensive rebound by K. Leonard
7:45.0,,,88-79,,Turnover by T. Parker (bad pass; steal by A. Davis)
7:28.0,R. Anderson misses 3-pt shot from 25 ft,,88-79,,
7:27.0,,,88-79,,Defensive rebound by K. Leonard
7:12.0,,,88-81,2,T. Duncan makes 2-pt shot from 9 ft
6:47.0,A. Davis makes 2-pt shot at rim (assist by T. Evans),2,90-81,,
6:38.0,,,90-81,,Shooting foul by R. Anderson (drawn by K. Leonard)
6:38.0,,,90-81,,K. Leonard misses free throw 1 of 2
6:38.0,,,90-81,,Offensive rebound by Team
6:38.0,O. Asik enters the game for R. Anderson,,90-81,,
6:38.0,,,90-82,1,K. Leonard makes free throw 2 of 2
6:28.0,T. Evans makes 2-pt shot from 2 ft (assist by J. Holiday),2,92-82,,
6:09.0,,,92-84,2,M. Ginobili makes 2-pt shot from 10 ft (assist by K. Leonard)
5:59.0,,,92-84,,Personal foul by B. Diaw (drawn by A. Davis)
5:59.0,,,92-84,,San Antonio full timeout
5:44.0,T. Evans misses 2-pt shot from 2 ft,,92-84,,
5:43.0,Offensive rebound by O. Asik,,92-84,,
5:28.0,O. Asik misses 2-pt shot from 1 ft,,92-84,,
5:27.0,,,92-84,,Defensive rebound by T. Duncan
5:20.0,,,92-84,,Turnover by M. Ginobili (lost ball; steal by E. Gordon)
5:15.0,T. Evans makes 2-pt shot at rim (assist by E. Gordon),2,94-84,,
4:55.0,,,94-84,,T. Duncan misses 2-pt shot at rim (block by A. Davis)
4:53.0,Defensive rebound by J. Holiday,,94-84,,
4:49.0,Turnover by T. Evans (traveling),,94-84,,
4:42.0,,,94-84,,San Antonio full timeout
4:42.0,,,94-84,,D. Green enters the game for M. Ginobili
4:42.0,,,94-84,,C. Joseph enters the game for T. Parker
4:42.0,,,94-84,,A. Baynes enters the game for T. Duncan
4:33.0,,,94-86,2,K. Leonard makes 2-pt shot from 16 ft (assist by C. Joseph)
4:20.0,E. Gordon misses 3-pt shot from 26 ft,,94-86,,
4:19.0,,,94-86,,Defensive rebound by A. Baynes
4:02.0,,,94-88,2,C. Joseph makes 2-pt shot from 2 ft (assist by B. Diaw)
4:02.0,New Orleans full timeout,,94-88,,
4:02.0,R. Anderson enters the game for O. Asik,,94-88,,
3:44.0,Offensive charge foul by A. Davis,,94-88,,
3:44.0,Turnover by A. Davis (offensive foul),,94-88,,
3:29.0,,,94-90,2,B. Diaw makes 2-pt shot from 4 ft (assist by C. Joseph)
3:11.0,A. Davis makes 2-pt shot from 2 ft (assist by E. Gordon),2,96-90,,
2:55.0,,,96-90,,C. Joseph misses 2-pt shot from 16 ft
2:54.0,,,96-90,,Offensive rebound by K. Leonard
2:54.0,,,96-92,2,K. Leonard makes 2-pt shot from 3 ft
2:24.0,E. Gordon makes 2-pt shot from 12 ft (assist by J. Holiday),2,98-92,,
2:08.0,,,98-94,2,B. Diaw makes 2-pt shot at rim (assist by D. Green)
