time,Washington,pts.away,score,pts.home,Portland
3:54.0,,,24-14,,Defensive rebound by W. Barton
3:44.0,,,24-14,,W. Barton misses 3-pt shot from 23 ft
3:43.0,,,24-14,,Offensive rebound by T. Robinson
3:38.0,,,24-14,,Turnover by W. Barton (lost ball; steal by N. Hilario)
3:26.0,N. Hilario makes 2-pt shot from 1 ft (assist by J. Wall),2,26-14,,
3:10.0,,,26-14,,L. Aldridge misses 2-pt shot from 21 ft
3:09.0,Defensive rebound by M. Gortat,,26-14,,
2:59.0,N. Hilario makes 2-pt shot from 16 ft (assist by J. Wall),2,28-14,,
2:39.0,Personal foul by N. Hilario (drawn by L. Aldridge),,28-14,,
2:39.0,Washington full timeout,,28-14,,
2:39.0,,,28-14,,D. Wright enters the game for D. Lillard
2:39.0,K. Humphries enters the game for P. Pierce,,28-14,,
2:39.0,M. Webster enters the game for N. Hilario,,28-14,,
2:27.0,,,28-16,2,W. Barton makes 2-pt shot at rim (assist by D. Wright)
2:10.0,M. Gortat misses 2-pt shot from 1 ft,,28-16,,
2:09.0,,,28-16,,Defensive rebound by L. Aldridge
2:04.0,,,28-18,2,S. Blake makes 2-pt shot from 2 ft
1:49.0,J. Wall makes 2-pt shot from 10 ft,2,30-18,,
1:38.0,,,30-18,,L. Aldridge misses 3-pt shot from 26 ft
1:37.0,Defensive rebound by R. Butler,,30-18,,
1:21.0,R. Butler misses 2-pt shot from 17 ft,,30-18,,
1:20.0,,,30-18,,Defensive rebound by T. Robinson
1:18.0,Personal foul by J. Wall (drawn by S. Blake),,30-18,,
1:18.0,A. Miller enters the game for J. Wall,,30-18,,
1:03.0,,,30-18,,Turnover by T. Robinson (lost ball; steal by K. Humphries)
0:58.0,R. Butler misses 3-pt shot from 26 ft,,30-18,,
0:56.0,,,30-18,,Defensive rebound by L. Aldridge
0:45.0,,,30-20,2,T. Robinson makes 2-pt shot at rim (assist by S. Blake)
0:33.0,A. Miller misses 2-pt shot from 1 ft,,30-20,,
0:31.0,,,30-20,,Defensive rebound by L. Aldridge
0:22.0,,,30-20,,W. Barton misses 2-pt shot from 1 ft
0:21.0,Defensive rebound by M. Webster,,30-20,,
0:04.0,,,30-20,,Personal take foul by S. Blake (drawn by A. Miller)
0:04.0,J. Wall enters the game for K. Humphries,,30-20,,
0:04.0,,,30-20,,C. Kaman enters the game for L. Aldridge
0:00.0,J. Wall makes 2-pt shot from 10 ft,2,32-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,32-23,3,M. Leonard makes 3-pt shot from 23 ft (assist by D. Wright)
11:24.0,M. Webster misses 2-pt shot from 19 ft,,32-23,,
11:23.0,Offensive rebound by K. Seraphin,,32-23,,
11:20.0,Turnover by K. Seraphin (lost ball; steal by S. Blake),,32-23,,
11:15.0,,,32-23,,W. Barton misses 2-pt shot from 1 ft
11:14.0,Defensive rebound by K. Humphries,,32-23,,
11:01.0,,,32-23,,Personal foul by M. Leonard (drawn by M. Webster)
11:01.0,M. Webster makes free throw 1 of 2,1,33-23,,
11:01.0,M. Webster makes free throw 2 of 2,1,34-23,,
10:42.0,,,34-23,,S. Blake misses 3-pt shot from 26 ft
10:40.0,Defensive rebound by A. Miller,,34-23,,
10:34.0,K. Humphries misses 2-pt shot from 21 ft,,34-23,,
10:32.0,,,34-23,,Defensive rebound by C. Kaman
10:22.0,,,34-23,,C. Kaman misses 2-pt shot from 16 ft
10:21.0,,,34-23,,Offensive rebound by M. Leonard
10:11.0,,,34-23,,S. Blake misses 3-pt shot from 26 ft
10:10.0,Defensive rebound by K. Seraphin,,34-23,,
9:59.0,K. Seraphin misses 2-pt shot from 21 ft,,34-23,,
9:58.0,,,34-23,,Defensive rebound by S. Blake
9:51.0,,,34-23,,D. Wright misses 3-pt shot from 26 ft
9:50.0,Defensive rebound by K. Seraphin,,34-23,,
9:39.0,Turnover by R. Butler (bad pass),,34-23,,
9:39.0,,,34-23,,W. Matthews enters the game for W. Barton
9:23.0,,,34-23,,C. Kaman misses 2-pt shot from 1 ft (block by K. Seraphin)
9:22.0,Defensive rebound by A. Miller,,34-23,,
9:16.0,A. Miller makes 2-pt shot from 3 ft,2,36-23,,
9:16.0,,,36-23,,Portland full timeout
9:16.0,,,36-23,,D. Lillard enters the game for S. Blake
9:16.0,B. Beal enters the game for R. Butler,,36-23,,
9:02.0,,,36-23,,W. Matthews misses 2-pt shot from 9 ft
9:01.0,Defensive rebound by K. Humphries,,36-23,,
8:48.0,Turnover by B. Beal (lost ball; steal by D. Lillard),,36-23,,
8:43.0,,,36-26,3,D. Wright makes 3-pt shot from 26 ft
8:18.0,B. Beal misses 2-pt shot from 10 ft,,36-26,,
8:16.0,Offensive rebound by Team,,36-26,,
8:02.0,B. Beal misses 2-pt shot from 18 ft,,36-26,,
8:01.0,,,36-26,,Defensive rebound by D. Wright
7:57.0,,,36-28,2,W. Matthews makes 2-pt shot from 1 ft (assist by D. Wright)
7:36.0,K. Humphries makes 2-pt shot from 17 ft (assist by B. Beal),2,38-28,,
7:26.0,,,38-28,,Turnover by D. Lillard (lost ball; steal by A. Miller)
7:22.0,,,38-28,,Shooting block foul by W. Matthews (drawn by B. Beal)
7:22.0,B. Beal misses free throw 1 of 2,,38-28,,
7:22.0,Offensive rebound by Team,,38-28,,
7:22.0,B. Beal makes free throw 2 of 2,1,39-28,,
7:03.0,,,39-31,3,D. Lillard makes 3-pt shot from 28 ft
6:51.0,B. Beal makes 2-pt shot from 22 ft (assist by A. Miller),2,41-31,,
6:46.0,,,41-31,,Turnover by D. Lillard (bad pass; steal by K. Seraphin)
6:36.0,B. Beal misses 2-pt shot from 18 ft,,41-31,,
6:35.0,,,41-31,,Defensive rebound by D. Wright
6:23.0,,,41-34,3,W. Matthews makes 3-pt shot from 27 ft (assist by D. Lillard)
6:03.0,K. Seraphin misses 2-pt shot from 4 ft,,41-34,,
6:02.0,,,41-34,,Defensive rebound by C. Kaman
5:53.0,,,41-36,2,C. Kaman makes 2-pt shot from 2 ft (assist by D. Lillard)
5:46.0,Washington full timeout,,41-36,,
5:46.0,J. Wall enters the game for A. Miller,,41-36,,
5:46.0,M. Gortat enters the game for K. Seraphin,,41-36,,
5:46.0,,,41-36,,C. McCollum enters the game for D. Wright
5:46.0,,,41-36,,L. Aldridge enters the game for C. Kaman
5:34.0,K. Humphries makes 2-pt shot from 20 ft (assist by B. Beal),2,43-36,,
5:13.0,,,43-36,,L. Aldridge misses 2-pt shot from 19 ft
5:12.0,Defensive rebound by Team,,43-36,,
5:12.0,N. Hilario enters the game for K. Humphries,,43-36,,
4:56.0,Offensive foul by M. Gortat,,43-36,,
4:56.0,Turnover by M. Gortat (offensive foul),,43-36,,
4:56.0,P. Pierce enters the game for M. Webster,,43-36,,
4:44.0,,,43-39,3,C. McCollum makes 3-pt shot from 26 ft (assist by L. Aldridge)
4:32.0,B. Beal misses 2-pt shot from 12 ft,,43-39,,
4:31.0,,,43-39,,Defensive rebound by M. Leonard
4:22.0,,,43-39,,W. Matthews misses 2-pt shot from 2 ft
4:21.0,Defensive rebound by B. Beal,,43-39,,
4:14.0,Turnover by B. Beal (bad pass; steal by W. Matthews),,43-39,,
4:07.0,,,43-39,,D. Lillard misses 3-pt shot from 24 ft
4:05.0,Defensive rebound by B. Beal,,43-39,,
3:56.0,J. Wall makes 2-pt shot from 16 ft,2,45-39,,
3:32.0,,,45-39,,L. Aldridge misses 2-pt shot from 19 ft
3:31.0,Defensive rebound by B. Beal,,45-39,,
3:15.0,M. Gortat makes 2-pt shot from 14 ft (assist by J. Wall),2,47-39,,
2:56.0,,,47-41,2,D. Lillard makes 2-pt shot from 1 ft
2:43.0,,,47-41,,Personal block foul by M. Leonard (drawn by N. Hilario)
2:43.0,Official timeout,,47-41,,
2:43.0,,,47-41,,T. Robinson enters the game for M. Leonard
2:32.0,N. Hilario makes 2-pt shot from 20 ft (assist by B. Beal),2,49-41,,
2:07.0,,,49-41,,C. McCollum misses 2-pt shot from 18 ft
2:06.0,Defensive rebound by M. Gortat,,49-41,,
1:49.0,M. Gortat misses 2-pt shot from 12 ft,,49-41,,
1:48.0,,,49-41,,Defensive rebound by T. Robinson
1:40.0,,,49-43,2,W. Matthews makes 2-pt shot at rim (assist by D. Lillard)
1:26.0,B. Beal makes 3-pt shot from 23 ft (assist by N. Hilario),3,52-43,,
1:01.0,,,52-45,2,D. Lillard makes 2-pt shot from 1 ft
0:47.0,P. Pierce makes 3-pt shot from 26 ft (assist by J. Wall),3,55-45,,
0:30.0,,,55-45,,W. Matthews misses 3-pt shot from 23 ft
0:27.0,,,55-45,,Offensive rebound by L. Aldridge
0:27.0,,,55-45,,L. Aldridge misses 2-pt shot at rim
0:26.0,Defensive rebound by N. Hilario,,55-45,,
0:03.0,Turnover by Team (shot clock),,55-45,,
0:03.0,,,55-45,,Portland full timeout
0:03.0,G. Temple enters the game for P. Pierce,,55-45,,
0:03.0,,,55-45,,C. Kaman enters the game for T. Robinson
0:03.0,R. Butler enters the game for N. Hilario,,55-45,,
0:03.0,,,55-45,,Turnover by L. Aldridge (bad pass; steal by J. Wall)
0:00.0,J. Wall misses 3-pt shot from 25 ft,,55-45,,
0:00.0,Offensive rebound by Team,,55-45,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,55-47,2,L. Aldridge makes 2-pt shot from 6 ft
11:23.0,Turnover by N. Hilario (lost ball; steal by L. Aldridge),,55-47,,
11:17.0,,,55-49,2,W. Barton makes 2-pt shot from 1 ft (assist by D. Lillard)
10:52.0,J. Wall makes 2-pt shot from 16 ft (assist by N. Hilario),2,57-49,,
10:36.0,Personal foul by B. Beal (drawn by W. Barton),,57-49,,
10:31.0,,,57-51,2,L. Aldridge makes 2-pt shot from 17 ft
10:10.0,P. Pierce makes 2-pt shot from 1 ft,2,59-51,,
9:52.0,,,59-51,,W. Matthews misses 3-pt shot from 26 ft
9:51.0,Defensive rebound by B. Beal,,59-51,,
9:36.0,P. Pierce misses 3-pt shot from 23 ft,,59-51,,
9:35.0,,,59-51,,Defensive rebound by D. Lillard
9:27.0,,,59-51,,C. Kaman misses 2-pt shot from 1 ft
9:26.0,Defensive rebound by J. Wall,,59-51,,
9:19.0,J. Wall misses 2-pt shot from 12 ft,,59-51,,
9:18.0,,,59-51,,Defensive rebound by C. Kaman
9:09.0,,,59-51,,L. Aldridge misses 2-pt shot from 19 ft
9:08.0,,,59-51,,Offensive rebound by Team
8:58.0,,,59-53,2,C. Kaman makes 2-pt shot from 13 ft (assist by W. Matthews)
8:30.0,J. Wall misses 2-pt shot from 14 ft,,59-53,,
8:28.0,Offensive rebound by J. Wall,,59-53,,
8:26.0,J. Wall makes 2-pt shot from 4 ft,2,61-53,,
8:09.0,,,61-53,,C. Kaman misses 2-pt shot from 17 ft
8:08.0,Defensive rebound by B. Beal,,61-53,,
8:04.0,Turnover by J. Wall (bad pass),,61-53,,
7:45.0,,,61-53,,L. Aldridge misses 2-pt shot from 5 ft
7:42.0,Defensive rebound by M. Gortat,,61-53,,
7:27.0,Shooting foul by D. Lillard (drawn by P. Pierce),,61-53,,
7:27.0,P. Pierce makes free throw 1 of 2,1,62-53,,
7:27.0,P. Pierce makes free throw 2 of 2,1,63-53,,
7:13.0,,,63-55,2,C. Kaman makes 2-pt shot from 17 ft (assist by W. Barton)
6:54.0,B. Beal misses 2-pt shot from 5 ft,,63-55,,
6:54.0,,,63-55,,Defensive rebound by Team
6:31.0,,,63-58,3,W. Matthews makes 3-pt shot from 26 ft
6:16.0,P. Pierce makes 3-pt shot from 25 ft (assist by J. Wall),3,66-58,,
5:56.0,,,66-61,3,W. Matthews makes 3-pt shot from 25 ft (assist by L. Aldridge)
5:27.0,M. Gortat misses 3-pt shot from 27 ft,,66-61,,
5:26.0,,,66-61,,Defensive rebound by W. Barton
5:20.0,,,66-61,,W. Barton misses 2-pt shot from 3 ft (block by M. Gortat)
5:20.0,,,66-61,,Offensive rebound by Team
5:20.0,,,66-61,,Portland full timeout
5:20.0,,,66-61,,D. Wright enters the game for W. Matthews
5:20.0,,,66-61,,T. Robinson enters the game for C. Kaman
5:12.0,,,66-61,,D. Lillard misses 3-pt shot from 27 ft
5:11.0,Defensive rebound by P. Pierce,,66-61,,
4:59.0,N. Hilario misses 2-pt shot from 19 ft,,66-61,,
4:58.0,,,66-61,,Defensive rebound by D. Wright
4:42.0,,,66-61,,Shooting foul by N. Hilario (drawn by L. Aldridge)
4:42.0,,,66-62,1,L. Aldridge makes free throw 1 of 2
4:42.0,R. Butler enters the game for B. Beal,,66-62,,
4:42.0,,,66-63,1,L. Aldridge makes free throw 2 of 2
4:27.0,J. Wall misses 2-pt shot from 19 ft,,66-63,,
4:26.0,,,66-63,,Defensive rebound by D. Wright
4:03.0,,,66-63,,L. Aldridge misses 2-pt shot from 14 ft
4:02.0,Defensive rebound by N. Hilario,,66-63,,
3:54.0,P. Pierce misses 2-pt shot from 9 ft,,66-63,,
3:53.0,,,66-63,,Defensive rebound by W. Barton
3:45.0,,,66-63,,Turnover by T. Robinson (3 sec)
3:45.0,K. Humphries enters the game for N. Hilario,,66-63,,
3:33.0,K. Humphries misses 2-pt shot from 20 ft,,66-63,,
3:32.0,,,66-63,,Defensive rebound by L. Aldridge
3:20.0,,,66-63,,L. Aldridge misses 2-pt shot from 2 ft
3:19.0,Defensive rebound by M. Gortat,,66-63,,
3:12.0,P. Pierce makes 2-pt shot from 2 ft (assist by J. Wall),2,68-63,,
2:49.0,,,68-66,3,D. Wright makes 3-pt shot from 26 ft (assist by W. Barton)
2:49.0,,,68-66,,Shooting foul by J. Wall (drawn by D. Wright)
2:49.0,Washington full timeout,,68-66,,
2:49.0,,,68-66,,S. Blake enters the game for D. Lillard
2:49.0,,,68-66,,W. Matthews enters the game for W. Barton
2:49.0,,,68-67,1,D. Wright makes free throw 1 of 1
2:34.0,Turnover by M. Gortat (lost ball; steal by T. Robinson),,68-67,,
2:32.0,,,68-67,,Turnover by T. Robinson (bad pass)
2:19.0,M. Gortat misses 2-pt shot from 5 ft,,68-67,,
2:18.0,,,68-67,,Defensive rebound by L. Aldridge
2:07.0,,,68-67,,W. Matthews misses 3-pt shot from 25 ft
2:06.0,Defensive rebound by R. Butler,,68-67,,
2:01.0,,,68-67,,Personal foul by T. Robinson (drawn by K. Humphries)
2:01.0,K. Seraphin enters the game for M. Gortat,,68-67,,
2:01.0,M. Webster enters the game for P. Pierce,,68-67,,
1:55.0,J. Wall misses 2-pt shot from 20 ft,,68-67,,
1:54.0,,,68-67,,Defensive rebound by T. Robinson
1:42.0,,,68-69,2,L. Aldridge makes 2-pt shot from 20 ft (assist by W. Matthews)
1:17.0,Offensive charge foul by J. Wall,,68-69,,
1:17.0,Turnover by J. Wall (offensive foul),,68-69,,
1:17.0,A. Miller enters the game for J. Wall,,68-69,,
1:03.0,,,68-69,,W. Matthews misses 2-pt shot from 7 ft
1:00.0,Defensive rebound by R. Butler,,68-69,,
0:55.0,M. Webster misses 3-pt shot from 24 ft,,68-69,,
0:54.0,,,68-69,,Defensive rebound by Team
0:54.0,Loose ball foul by K. Seraphin (drawn by W. Matthews),,68-69,,
0:34.0,,,68-69,,Turnover by T. Robinson (offensive goaltending)
0:24.0,A. Miller makes 2-pt shot from 13 ft,2,70-69,,
0:00.0,,,70-69,,S. Blake misses 2-pt shot from 20 ft
0:00.0,,,70-69,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,Turnover by A. Miller (bad pass; steal by C. Kaman),,70-69,,
11:39.0,,,70-69,,Turnover by C. Kaman (lost ball; steal by K. Seraphin)
11:34.0,K. Seraphin misses 2-pt shot from 8 ft,,70-69,,
11:31.0,,,70-69,,Defensive rebound by C. Kaman
11:16.0,,,70-69,,W. Matthews misses 2-pt shot from 12 ft
11:15.0,Defensive rebound by M. Webster,,70-69,,
11:05.0,K. Seraphin makes 2-pt shot from 13 ft (assist by M. Webster),2,72-69,,
10:46.0,,,72-71,2,S. Blake makes 2-pt shot from 2 ft (assist by W. Matthews)
10:34.0,,,72-71,,Personal foul by W. Matthews (drawn by M. Webster)
10:23.0,A. Miller misses 2-pt shot from 2 ft,,72-71,,
10:22.0,,,72-71,,Defensive rebound by C. Kaman
10:22.0,Loose ball foul by K. Seraphin (drawn by C. Kaman),,72-71,,
10:12.0,,,72-74,3,M. Leonard makes 3-pt shot from 23 ft (assist by S. Blake)
10:00.0,,,72-74,,Personal foul by M. Leonard (drawn by K. Humphries)
9:48.0,K. Seraphin makes 2-pt shot from 19 ft (assist by A. Miller),2,74-74,,
9:28.0,,,74-74,,Turnover by C. Kaman (bad pass; steal by A. Miller)
9:18.0,K. Humphries misses 2-pt shot from 16 ft,,74-74,,
9:17.0,,,74-74,,Defensive rebound by Team
8:57.0,,,74-74,,D. Wright misses 3-pt shot from 22 ft
8:56.0,Defensive rebound by A. Miller,,74-74,,
8:49.0,Turnover by A. Miller (bad pass; steal by M. Leonard),,74-74,,
8:42.0,,,74-74,,W. Matthews misses 3-pt shot from 25 ft
8:41.0,Defensive rebound by K. Humphries,,74-74,,
8:26.0,K. Humphries misses 2-pt shot from 19 ft,,74-74,,
8:25.0,,,74-74,,Defensive rebound by D. Wright
8:09.0,,,74-77,3,D. Wright makes 3-pt shot from 25 ft (assist by M. Leonard)
8:08.0,Washington full timeout,,74-77,,
8:08.0,J. Wall enters the game for R. Butler,,74-77,,
8:08.0,B. Beal enters the game for A. Miller,,74-77,,
8:08.0,,,74-77,,D. Lillard enters the game for W. Matthews
7:56.0,M. Webster makes 3-pt shot from 26 ft (assist by B. Beal),3,77-77,,
7:43.0,,,77-77,,Turnover by S. Blake (bad pass; steal by M. Webster)
7:37.0,M. Webster misses 3-pt shot from 25 ft,,77-77,,
7:36.0,,,77-77,,Defensive rebound by S. Blake
7:23.0,,,77-77,,M. Leonard misses 3-pt shot from 26 ft
7:22.0,Defensive rebound by J. Wall,,77-77,,
7:07.0,B. Beal makes 2-pt shot from 18 ft (assist by K. Seraphin),2,79-77,,
6:41.0,,,79-77,,S. Blake misses 3-pt shot from 24 ft
6:40.0,,,79-77,,Offensive rebound by S. Blake
6:27.0,,,79-77,,D. Lillard misses 3-pt shot from 23 ft
6:26.0,Defensive rebound by K. Humphries,,79-77,,
6:12.0,M. Webster misses 3-pt shot from 23 ft,,79-77,,
6:11.0,,,79-77,,Defensive rebound by D. Lillard
6:05.0,,,79-77,,Shooting foul by K. Seraphin (drawn by D. Lillard)
6:05.0,,,79-78,1,D. Lillard makes free throw 1 of 2
6:05.0,N. Hilario enters the game for K. Humphries,,79-78,,
6:05.0,,,79-78,,L. Aldridge enters the game for C. Kaman
6:05.0,,,79-79,1,D. Lillard makes free throw 2 of 2
5:58.0,,,79-79,,Personal foul by S. Blake (drawn by B. Beal)
5:58.0,Official timeout,,79-79,,
5:58.0,,,79-79,,W. Barton enters the game for D. Wright
5:58.0,,,79-79,,W. Matthews enters the game for S. Blake
5:46.0,B. Beal makes 2-pt shot from 17 ft,2,81-79,,
5:28.0,,,81-79,,Offensive charge foul by L. Aldridge
5:28.0,,,81-79,,Turnover by L. Aldridge (offensive foul)
5:28.0,P. Pierce enters the game for M. Webster,,81-79,,
5:14.0,J. Wall makes 2-pt shot from 16 ft,2,83-79,,
4:54.0,Personal foul by N. Hilario (drawn by L. Aldridge),,83-79,,
4:45.0,Personal foul by N. Hilario,,83-79,,
4:45.0,Personal foul by N. Hilario,,83-79,,
4:45.0,,,83-80,1,L. Aldridge makes free throw 1 of 2
4:45.0,,,83-81,1,L. Aldridge makes free throw 2 of 2
4:29.0,J. Wall makes 2-pt shot from 17 ft,2,85-81,,
4:09.0,,,85-84,3,W. Matthews makes 3-pt shot from 26 ft (assist by D. Lillard)
3:41.0,N. Hilario misses 2-pt shot from 4 ft,,85-84,,
3:39.0,,,85-84,,Defensive rebound by W. Matthews
3:29.0,,,85-87,3,W. Matthews makes 3-pt shot from 25 ft (assist by D. Lillard)
3:28.0,Washington full timeout,,85-87,,
3:28.0,M. Gortat enters the game for K. Seraphin,,85-87,,
3:17.0,B. Beal misses 3-pt shot from 26 ft,,85-87,,
3:16.0,,,85-87,,Defensive rebound by L. Aldridge
3:09.0,,,85-87,,Shooting foul by M. Gortat (drawn by D. Lillard)
3:09.0,,,85-88,1,D. Lillard makes free throw 1 of 2
3:09.0,,,85-89,1,D. Lillard makes free throw 2 of 2
3:00.0,J. Wall misses 2-pt shot from 10 ft,,85-89,,
2:59.0,,,85-89,,Defensive rebound by W. Matthews
2:54.0,,,85-89,,D. Lillard misses 2-pt shot from 1 ft
2:54.0,,,85-89,,Offensive rebound by Team
2:54.0,,,85-89,,Portland full timeout
2:49.0,,,85-92,3,D. Lillard makes 3-pt shot from 26 ft (assist by L. Aldridge)
2:25.0,B. Beal makes 2-pt shot from 1 ft,2,87-92,,
2:04.0,,,87-92,,L. Aldridge misses 2-pt shot from 17 ft
2:03.0,Defensive rebound by J. Wall,,87-92,,
2:00.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,89-92,,
1:40.0,,,89-92,,D. Lillard misses 2-pt shot from 1 ft
1:40.0,,,89-92,,Offensive rebound by L. Aldridge
1:40.0,,,89-94,2,L. Aldridge makes 2-pt shot at rim
1:32.0,N. Hilario makes 2-pt shot from 1 ft,2,91-94,,
1:32.0,Shooting foul by M. Leonard (drawn by N. Hilario),,91-94,,
1:32.0,N. Hilario misses free throw 1 of 1,,91-94,,
1:30.0,,,91-94,,Defensive rebound by W. Barton
1:08.0,,,91-94,,Shooting foul by N. Hilario (drawn by M. Leonard)
1:08.0,M. Webster enters the game for N. Hilario,,91-94,,
1:08.0,,,91-95,1,M. Leonard makes free throw 1 of 3
1:08.0,,,91-96,1,M. Leonard makes free throw 2 of 3
1:08.0,,,91-97,1,M. Leonard makes free throw 3 of 3
1:02.0,Shooting foul by D. Lillard (drawn by J. Wall),,91-97,,
1:02.0,J. Wall makes free throw 1 of 3,1,92-97,,
1:02.0,J. Wall makes free throw 2 of 3,1,93-97,,
1:02.0,J. Wall makes free throw 3 of 3,1,94-97,,
0:46.0,,,94-97,,Shooting foul by M. Gortat (drawn by L. Aldridge)
0:46.0,,,94-98,1,L. Aldridge makes free throw 1 of 2
0:46.0,,,94-99,1,L. Aldridge makes free throw 2 of 2
0:46.0,Washington full timeout,,94-99,,
0:46.0,,,94-99,,D. Wright enters the game for M. Leonard
0:39.0,J. Wall makes 2-pt shot from 1 ft,2,96-99,,
0:18.0,,,96-99,,W. Matthews misses 3-pt shot from 25 ft
0:17.0,,,96-99,,Offensive rebound by D. Wright
0:08.0,Personal take foul by J. Wall (drawn by D. Lillard),,96-99,,
0:08.0,,,96-100,1,D. Lillard makes free throw 1 of 2
0:08.0,,,96-101,1,D. Lillard makes free throw 2 of 2
