time,Utah,pts.away,score,pts.home,Dallas
5:29.0,Defensive rebound by D. Favors,,13-24,,
5:26.0,Shooting foul by J. Nelson (drawn by G. Hayward),,13-24,,
5:26.0,G. Hayward makes free throw 1 of 2,1,14-24,,
5:26.0,T. Booker enters the game for E. Kanter,,14-24,,
5:26.0,G. Hayward makes free throw 2 of 2,1,15-24,,
5:10.0,,,15-24,,M. Ellis misses 2-pt shot from 2 ft
5:10.0,,,15-24,,Offensive rebound by Team
5:10.0,,,15-24,,D. Harris enters the game for J. Nelson
5:10.0,,,15-24,,B. Wright enters the game for T. Chandler
4:51.0,,,15-26,2,C. Parsons makes 2-pt shot at rim
4:35.0,G. Hayward makes 3-pt shot from 23 ft (assist by R. Hood),3,18-26,,
4:19.0,,,18-28,2,B. Wright makes 2-pt shot at rim (assist by M. Ellis)
4:08.0,T. Burke misses 3-pt shot from 24 ft,,18-28,,
4:07.0,,,18-28,,Defensive rebound by A. Aminu
3:55.0,,,18-28,,M. Ellis misses 2-pt shot from 21 ft
3:54.0,,,18-28,,Offensive rebound by B. Wright
3:43.0,,,18-28,,M. Ellis misses 3-pt shot from 23 ft
3:42.0,Defensive rebound by T. Booker,,18-28,,
3:28.0,Shooting foul by M. Ellis (drawn by G. Hayward),,18-28,,
3:28.0,G. Hayward makes free throw 1 of 2,1,19-28,,
3:28.0,G. Hayward makes free throw 2 of 2,1,20-28,,
3:10.0,,,20-28,,C. Parsons misses 2-pt shot from 1 ft
3:10.0,,,20-28,,Offensive rebound by C. Parsons
3:09.0,,,20-28,,C. Parsons misses 2-pt shot from 1 ft
3:07.0,Defensive rebound by T. Booker,,20-28,,
3:03.0,Offensive foul by T. Booker,,20-28,,
3:03.0,Turnover by T. Booker (offensive foul),,20-28,,
3:03.0,,,20-28,,Dallas full timeout
3:03.0,R. Gobert enters the game for D. Favors,,20-28,,
2:54.0,,,20-28,,C. Parsons misses 2-pt shot at rim
2:52.0,Defensive rebound by R. Gobert,,20-28,,
2:37.0,R. Hood misses 3-pt shot from 25 ft,,20-28,,
2:36.0,,,20-28,,Defensive rebound by A. Aminu
2:12.0,,,20-30,2,C. Parsons makes 2-pt shot from 1 ft
1:57.0,R. Hood misses 3-pt shot from 22 ft,,20-30,,
1:56.0,,,20-30,,Defensive rebound by A. Aminu
1:47.0,,,20-32,2,B. Wright makes 2-pt shot from 1 ft (assist by M. Ellis)
1:33.0,Turnover by R. Gobert (lost ball),,20-32,,
1:33.0,,,20-32,,J. Barea enters the game for C. Parsons
1:33.0,,,20-32,,D. Nowitzki enters the game for M. Ellis
1:33.0,,,20-32,,R. Jefferson enters the game for A. Aminu
1:33.0,D. Exum enters the game for T. Burke,,20-32,,
1:11.0,,,20-34,2,B. Wright makes 2-pt shot from 1 ft (assist by D. Harris)
0:50.0,R. Hood misses 2-pt shot from 20 ft,,20-34,,
0:49.0,Offensive rebound by R. Gobert,,20-34,,
0:38.0,G. Hayward misses 3-pt shot from 26 ft,,20-34,,
0:37.0,Offensive rebound by R. Gobert,,20-34,,
0:22.0,,,20-34,,Personal foul by D. Nowitzki (drawn by R. Gobert)
0:22.0,,,20-34,,A. Aminu enters the game for D. Nowitzki
0:15.0,Turnover by G. Hayward (bad pass),,20-34,,
0:01.0,,,20-36,2,A. Aminu makes 2-pt shot at rim (assist by D. Harris)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,T. Booker misses 3-pt shot from 24 ft,,20-36,,
11:48.0,,,20-36,,Defensive rebound by J. Barea
11:45.0,,,20-36,,Turnover by J. Barea (bad pass)
11:24.0,J. Ingles enters the game for R. Hood,,20-36,,
11:19.0,A. Burks misses 2-pt shot from 21 ft,,20-36,,
11:19.0,Offensive rebound by T. Booker,,20-36,,
11:19.0,,,20-36,,Loose ball foul by R. Jefferson (drawn by T. Booker)
11:13.0,Offensive foul by R. Gobert,,20-36,,
11:13.0,Turnover by R. Gobert (offensive foul),,20-36,,
10:58.0,,,20-36,,D. Nowitzki misses 3-pt shot from 22 ft
10:57.0,Defensive rebound by R. Gobert,,20-36,,
10:42.0,A. Burks misses 2-pt shot from 2 ft (block by B. Wright),,20-36,,
10:40.0,,,20-36,,Defensive rebound by J. Barea
10:36.0,,,20-36,,J. Barea misses 2-pt shot from 14 ft
10:34.0,Defensive rebound by T. Booker,,20-36,,
10:31.0,Turnover by D. Exum (palming),,20-36,,
10:15.0,,,20-38,2,D. Nowitzki makes 2-pt shot from 12 ft
9:54.0,A. Burks makes 2-pt shot from 18 ft,2,22-38,,
9:46.0,,,22-41,3,D. Harris makes 3-pt shot from 25 ft
9:28.0,Turnover by A. Burks (offensive foul),,22-41,,
9:28.0,Offensive foul by A. Burks,,22-41,,
9:28.0,G. Hayward enters the game for A. Burks,,22-41,,
9:10.0,,,22-41,,Shooting foul by G. Hayward (drawn by D. Harris)
9:10.0,,,22-42,1,D. Harris makes free throw 1 of 2
9:10.0,D. Favors enters the game for R. Gobert,,22-42,,
9:10.0,,,22-43,1,D. Harris makes free throw 2 of 2
8:57.0,D. Favors makes 2-pt shot at rim (assist by J. Ingles),2,24-43,,
8:49.0,Personal foul by T. Booker (drawn by J. Barea),,24-43,,
8:49.0,Official timeout,,24-43,,
8:41.0,,,24-45,2,J. Barea makes 2-pt shot from 5 ft
8:21.0,E. Kanter enters the game for T. Booker,,24-45,,
8:19.0,D. Exum makes 2-pt shot at rim (assist by G. Hayward),2,26-45,,
8:07.0,,,26-45,,J. Barea misses 2-pt shot from 7 ft
8:04.0,,,26-45,,Offensive rebound by B. Wright
8:04.0,,,26-47,2,B. Wright makes 2-pt shot at rim
7:40.0,D. Favors makes 2-pt shot from 12 ft,2,28-47,,
7:22.0,,,28-47,,Turnover by R. Jefferson (bad pass; steal by D. Favors)
7:16.0,D. Exum misses 3-pt shot from 24 ft,,28-47,,
7:14.0,,,28-47,,Defensive rebound by J. Barea
7:03.0,,,28-49,2,D. Nowitzki makes 2-pt shot from 15 ft
6:42.0,,,28-49,,Personal foul by R. Jefferson (drawn by G. Hayward)
6:42.0,,,28-49,,C. Parsons enters the game for D. Nowitzki
6:42.0,,,28-49,,T. Chandler enters the game for D. Harris
6:42.0,,,28-49,,M. Ellis enters the game for B. Wright
6:42.0,,,28-49,,J. Nelson enters the game for J. Barea
6:42.0,T. Burke enters the game for E. Kanter,,28-49,,
6:29.0,G. Hayward misses 3-pt shot from 25 ft,,28-49,,
6:28.0,,,28-49,,Defensive rebound by M. Ellis
6:20.0,,,28-52,3,C. Parsons makes 3-pt shot from 24 ft
6:05.0,Shooting foul by T. Chandler (drawn by G. Hayward),,28-52,,
6:05.0,G. Hayward makes free throw 1 of 2,1,29-52,,
6:05.0,,,29-52,,J. Crowder enters the game for R. Jefferson
6:05.0,I. Clark enters the game for D. Exum,,29-52,,
6:05.0,G. Hayward makes free throw 2 of 2,1,30-52,,
5:50.0,,,30-54,2,C. Parsons makes 2-pt shot from 9 ft
5:29.0,J. Ingles misses 3-pt shot from 24 ft,,30-54,,
5:28.0,Offensive rebound by G. Hayward,,30-54,,
5:24.0,I. Clark makes 3-pt shot from 23 ft (assist by T. Burke),3,33-54,,
5:15.0,,,33-54,,Shooting foul by J. Ingles (drawn by T. Chandler)
5:15.0,,,33-54,,Dallas full timeout
5:15.0,,,33-55,1,T. Chandler makes free throw 1 of 2
5:15.0,,,33-56,1,T. Chandler makes free throw 2 of 2
5:01.0,T. Burke misses 2-pt shot from 9 ft,,33-56,,
5:00.0,,,33-56,,Defensive rebound by C. Parsons
4:53.0,,,33-56,,C. Parsons misses 2-pt shot from 2 ft
4:50.0,,,33-56,,Offensive rebound by C. Parsons
4:50.0,,,33-58,2,C. Parsons makes 2-pt shot from 2 ft
4:34.0,D. Favors misses 2-pt shot from 1 ft (block by J. Crowder),,33-58,,
4:32.0,,,33-58,,Defensive rebound by C. Parsons
4:21.0,,,33-58,,J. Nelson misses 3-pt shot from 26 ft
4:20.0,Defensive rebound by D. Favors,,33-58,,
4:08.0,Shooting foul by J. Nelson (drawn by T. Burke),,33-58,,
4:08.0,T. Burke makes free throw 1 of 2,1,34-58,,
4:08.0,,,34-58,,D. Harris enters the game for J. Nelson
4:08.0,R. Hood enters the game for J. Ingles,,34-58,,
4:08.0,S. Novak enters the game for I. Clark,,34-58,,
4:08.0,T. Burke makes free throw 2 of 2,1,35-58,,
3:56.0,Personal foul by R. Hood (drawn by M. Ellis),,35-58,,
3:52.0,,,35-58,,M. Ellis misses 2-pt shot from 2 ft
3:48.0,,,35-58,,Offensive rebound by T. Chandler
3:48.0,,,35-60,2,T. Chandler makes 2-pt shot at rim
3:42.0,Turnover by T. Burke (bad pass; steal by T. Chandler),,35-60,,
3:29.0,,,35-62,2,M. Ellis makes 2-pt shot at rim
3:15.0,S. Novak misses 3-pt shot from 22 ft,,35-62,,
3:14.0,Offensive rebound by T. Burke,,35-62,,
3:10.0,R. Hood misses 3-pt shot from 25 ft,,35-62,,
3:09.0,,,35-62,,Defensive rebound by C. Parsons
2:58.0,,,35-65,3,D. Harris makes 3-pt shot from 23 ft (assist by C. Parsons)
2:49.0,Utah full timeout,,35-65,,
2:31.0,T. Burke misses 3-pt shot from 25 ft,,35-65,,
2:30.0,,,35-65,,Defensive rebound by T. Chandler
2:13.0,,,35-65,,J. Crowder misses 3-pt shot from 24 ft
2:12.0,Defensive rebound by G. Hayward,,35-65,,
2:00.0,S. Novak makes 3-pt shot from 24 ft (assist by T. Burke),3,38-65,,
1:43.0,,,38-65,,Shooting foul by D. Favors (drawn by T. Chandler)
1:43.0,,,38-65,,T. Chandler misses free throw 1 of 2
1:43.0,,,38-65,,Offensive rebound by Team
1:43.0,D. Exum enters the game for G. Hayward,,38-65,,
1:43.0,R. Gobert enters the game for D. Favors,,38-65,,
1:43.0,,,38-65,,A. Aminu enters the game for C. Parsons
1:43.0,,,38-66,1,T. Chandler makes free throw 2 of 2
1:32.0,D. Exum misses 3-pt shot from 24 ft,,38-66,,
1:31.0,,,38-66,,Defensive rebound by A. Aminu
1:24.0,Personal foul by R. Hood (drawn by A. Aminu),,38-66,,
1:24.0,,,38-66,,A. Aminu misses free throw 1 of 2
1:24.0,,,38-66,,Offensive rebound by Team
1:24.0,,,38-67,1,A. Aminu makes free throw 2 of 2
1:08.0,R. Hood misses 2-pt shot from 17 ft,,38-67,,
1:07.0,Offensive rebound by R. Gobert,,38-67,,
1:05.0,R. Gobert makes 2-pt shot from 2 ft,2,40-67,,
1:05.0,Shooting foul by A. Aminu (drawn by R. Gobert),,40-67,,
1:05.0,R. Gobert makes free throw 1 of 1,1,41-67,,
0:54.0,,,41-67,,D. Harris misses 3-pt shot from 24 ft
0:53.0,,,41-67,,Offensive rebound by A. Aminu
0:35.0,,,41-69,2,M. Ellis makes 2-pt shot from 1 ft
0:29.0,S. Novak makes 3-pt shot from 22 ft (assist by T. Burke),3,44-69,,
0:07.0,,,44-69,,D. Harris misses 2-pt shot from 14 ft
0:06.0,,,44-69,,Offensive rebound by T. Chandler
0:02.0,,,44-69,,J. Crowder misses 3-pt shot from 24 ft
0:00.0,,,44-69,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,T. Burke makes 2-pt shot from 17 ft (assist by D. Favors),2,46-69,,
11:15.0,,,46-71,2,D. Nowitzki makes 2-pt shot from 14 ft
10:49.0,T. Burke misses 3-pt shot from 27 ft,,46-71,,
10:48.0,Offensive rebound by E. Kanter,,46-71,,
10:46.0,E. Kanter misses 2-pt shot at rim (block by D. Nowitzki),,46-71,,
10:45.0,,,46-71,,Defensive rebound by Team
10:34.0,,,46-73,2,J. Nelson makes 2-pt shot from 1 ft
10:20.0,E. Kanter misses 2-pt shot from 1 ft,,46-73,,
10:19.0,,,46-73,,Defensive rebound by D. Nowitzki
9:59.0,,,46-73,,D. Nowitzki misses 2-pt shot from 11 ft
9:57.0,Defensive rebound by E. Kanter,,46-73,,
9:51.0,Turnover by A. Burks (lost ball; steal by J. Nelson),,46-73,,
9:39.0,,,46-73,,Turnover by D. Nowitzki (lost ball; steal by T. Burke)
9:34.0,T. Burke makes 2-pt shot from 6 ft,2,48-73,,
9:15.0,,,48-73,,M. Ellis misses 2-pt shot from 8 ft
9:13.0,Defensive rebound by D. Favors,,48-73,,
9:00.0,E. Kanter misses 3-pt shot from 23 ft,,48-73,,
8:59.0,Offensive rebound by D. Favors,,48-73,,
8:57.0,D. Favors makes 2-pt shot at rim,2,50-73,,
8:38.0,,,50-73,,J. Nelson misses 2-pt shot from 23 ft
8:37.0,Defensive rebound by G. Hayward,,50-73,,
8:22.0,A. Burks makes 3-pt shot from 24 ft (assist by G. Hayward),3,53-73,,
7:59.0,,,53-73,,Shooting foul by D. Favors (drawn by D. Nowitzki)
7:59.0,,,53-73,,D. Nowitzki misses free throw 1 of 2
7:59.0,,,53-73,,Offensive rebound by Team
7:59.0,,,53-74,1,D. Nowitzki makes free throw 2 of 2
7:43.0,T. Burke misses 2-pt shot from 19 ft,,53-74,,
7:42.0,,,53-74,,Defensive rebound by D. Nowitzki
7:38.0,,,53-74,,Shooting foul by G. Hayward (drawn by C. Parsons)
7:38.0,,,53-75,1,C. Parsons makes free throw 1 of 2
7:38.0,,,53-76,1,C. Parsons makes free throw 2 of 2
7:17.0,G. Hayward misses 3-pt shot from 24 ft,,53-76,,
7:16.0,Offensive rebound by E. Kanter,,53-76,,
7:14.0,E. Kanter makes 2-pt shot from 2 ft,2,55-76,,
7:00.0,,,55-78,2,M. Ellis makes 2-pt shot from 5 ft
7:00.0,,,55-78,,Shooting foul by A. Burks (drawn by M. Ellis)
7:00.0,,,55-78,,M. Ellis misses free throw 1 of 1
6:58.0,Defensive rebound by D. Favors,,55-78,,
6:51.0,E. Kanter misses 2-pt shot from 1 ft (block by T. Chandler),,55-78,,
6:47.0,Offensive rebound by T. Burke,,55-78,,
6:43.0,G. Hayward makes 3-pt shot from 24 ft (assist by T. Burke),3,58-78,,
6:39.0,,,58-78,,Dallas full timeout
6:39.0,,,58-78,,A. Aminu enters the game for D. Nowitzki
6:39.0,T. Booker enters the game for E. Kanter,,58-78,,
6:30.0,,,58-78,,M. Ellis misses 2-pt shot from 1 ft
6:28.0,Defensive rebound by A. Burks,,58-78,,
6:12.0,T. Booker misses 2-pt shot from 2 ft,,58-78,,
6:10.0,Offensive rebound by D. Favors,,58-78,,
6:10.0,D. Favors misses 2-pt shot from 1 ft,,58-78,,
6:09.0,,,58-78,,Defensive rebound by A. Aminu
6:01.0,,,58-78,,C. Parsons misses 3-pt shot from 24 ft
6:00.0,Defensive rebound by T. Booker,,58-78,,
5:46.0,A. Burks makes 3-pt shot from 24 ft,3,61-78,,
5:31.0,,,61-78,,Turnover by C. Parsons (lost ball; steal by G. Hayward)
5:26.0,D. Favors makes 2-pt shot at rim (assist by T. Burke),2,63-78,,
5:10.0,,,63-80,2,A. Aminu makes 2-pt shot from 17 ft (assist by J. Nelson)
4:52.0,T. Booker makes 3-pt shot from 24 ft (assist by G. Hayward),3,66-80,,
4:39.0,,,66-82,2,T. Chandler makes 2-pt shot at rim (assist by J. Nelson)
4:28.0,G. Hayward misses 3-pt shot from 24 ft,,66-82,,
4:27.0,,,66-82,,Defensive rebound by M. Ellis
4:17.0,,,66-82,,Turnover by A. Aminu (bad pass; steal by A. Burks)
4:15.0,Shooting foul by J. Nelson (drawn by A. Burks),,66-82,,
4:15.0,A. Burks makes free throw 1 of 2,1,67-82,,
4:15.0,,,67-82,,D. Harris enters the game for J. Nelson
4:15.0,,,67-82,,R. Jefferson enters the game for C. Parsons
4:15.0,,,67-82,,B. Wright enters the game for T. Chandler
4:15.0,R. Hood enters the game for G. Hayward,,67-82,,
4:15.0,A. Burks makes free throw 2 of 2,1,68-82,,
3:54.0,Personal block foul by R. Hood (drawn by R. Jefferson),,68-82,,
3:47.0,,,68-82,,D. Harris misses 2-pt shot from 19 ft
3:46.0,Defensive rebound by R. Hood,,68-82,,
3:39.0,Turnover by T. Burke (bad pass; steal by B. Wright),,68-82,,
3:32.0,,,68-82,,Shooting foul by R. Hood (drawn by A. Aminu)
3:32.0,,,68-83,1,A. Aminu makes free throw 1 of 2
3:32.0,,,68-83,,J. Barea enters the game for M. Ellis
3:32.0,S. Novak enters the game for D. Favors,,68-83,,
3:32.0,D. Exum enters the game for R. Hood,,68-83,,
3:32.0,,,68-84,1,A. Aminu makes free throw 2 of 2
3:21.0,A. Burks misses 2-pt shot from 1 ft,,68-84,,
3:19.0,,,68-84,,Defensive rebound by D. Harris
3:12.0,,,68-84,,Shooting foul by S. Novak (drawn by B. Wright)
3:12.0,,,68-85,1,B. Wright makes free throw 1 of 2
3:12.0,,,68-86,1,B. Wright makes free throw 2 of 2
3:05.0,T. Burke misses 2-pt shot at rim (block by B. Wright),,68-86,,
3:04.0,,,68-86,,Defensive rebound by J. Barea
2:47.0,Utah full timeout,,68-86,,
2:47.0,R. Gobert enters the game for T. Booker,,68-86,,
2:42.0,,,68-88,2,J. Barea makes 2-pt shot from 18 ft
2:17.0,A. Burks makes 3-pt shot from 24 ft (assist by T. Burke),3,71-88,,
2:02.0,,,71-88,,B. Wright misses 2-pt shot from 4 ft
2:00.0,,,71-88,,Offensive rebound by A. Aminu
1:58.0,,,71-90,2,A. Aminu makes 2-pt shot from 4 ft
1:49.0,,,71-90,,Violation by B. Wright (kicked ball)
1:43.0,T. Burke makes 2-pt shot from 19 ft (assist by R. Gobert),2,73-90,,
1:29.0,Personal foul by D. Exum (drawn by D. Harris),,73-90,,
1:29.0,,,73-91,1,D. Harris makes free throw 1 of 2
1:29.0,,,73-91,,D. Harris misses free throw 2 of 2
1:28.0,Defensive rebound by S. Novak,,73-91,,
1:10.0,Turnover by D. Exum (bad pass; steal by R. Jefferson),,73-91,,
1:04.0,,,73-93,2,A. Aminu makes 2-pt shot from 12 ft (assist by R. Jefferson)
0:45.0,D. Favors enters the game for R. Gobert,,73-93,,
0:39.0,A. Burks misses 2-pt shot from 5 ft,,73-93,,
0:38.0,,,73-93,,Defensive rebound by A. Aminu
0:32.0,,,73-93,,D. Harris misses 3-pt shot from 26 ft
0:30.0,Defensive rebound by D. Favors,,73-93,,
0:09.0,D. Exum misses 3-pt shot from 24 ft,,73-93,,
0:08.0,,,73-93,,Defensive rebound by A. Aminu
0:04.0,,,73-93,,Turnover by D. Harris (bad pass)
0:01.0,A. Burks misses 3-pt shot from 24 ft,,73-93,,
0:00.0,,,73-93,,Defensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,73-93,,J. Barea misses 2-pt shot from 12 ft
11:45.0,Defensive rebound by D. Favors,,73-93,,
11:26.0,J. Ingles makes 2-pt shot from 20 ft (assist by G. Hayward),2,75-93,,
11:07.0,,,75-95,2,B. Wright makes 2-pt shot from 5 ft (assist by J. Barea)
10:48.0,T. Booker misses 2-pt shot from 13 ft,,75-95,,
10:47.0,,,75-95,,Defensive rebound by R. Jefferson
10:26.0,,,75-95,,D. Nowitzki misses 2-pt shot from 3 ft
10:24.0,Defensive rebound by D. Favors,,75-95,,
10:17.0,,,75-95,,Shooting block foul by D. Nowitzki (drawn by D. Favors)
10:17.0,D. Favors makes free throw 1 of 2,1,76-95,,
10:17.0,D. Favors misses free throw 2 of 2,,76-95,,
10:16.0,,,76-95,,Defensive rebound by R. Jefferson
10:02.0,,,76-97,2,B. Wright makes 2-pt shot at rim (assist by D. Harris)
9:45.0,T. Booker makes 3-pt shot from 24 ft (assist by J. Ingles),3,79-97,,
9:21.0,,,79-97,,R. Jefferson misses 3-pt shot from 23 ft
9:20.0,Defensive rebound by J. Ingles,,79-97,,
9:17.0,Turnover by G. Hayward (traveling),,79-97,,
8:57.0,,,79-99,2,D. Nowitzki makes 2-pt shot from 11 ft
8:55.0,,,79-99,,Violation by Team (delay of game)
8:41.0,Turnover by J. Ingles (bad pass; steal by D. Harris),,79-99,,
8:30.0,,,79-99,,D. Harris misses 3-pt shot from 24 ft
8:29.0,,,79-99,,Offensive rebound by B. Wright
8:25.0,,,79-102,3,D. Nowitzki makes 3-pt shot from 25 ft (assist by B. Wright)
8:10.0,Official timeout,,79-102,,
8:10.0,,,79-102,,C. Parsons enters the game for R. Jefferson
8:10.0,A. Burks enters the game for D. Exum,,79-102,,
8:10.0,T. Burke enters the game for J. Ingles,,79-102,,
7:59.0,D. Favors makes 2-pt shot from 5 ft (assist by A. Burks),2,81-102,,
7:34.0,,,81-105,3,D. Harris makes 3-pt shot from 26 ft (assist by D. Nowitzki)
7:21.0,T. Booker makes 3-pt shot from 23 ft (assist by G. Hayward),3,84-105,,
7:05.0,,,84-105,,D. Harris misses 3-pt shot from 25 ft
7:04.0,,,84-105,,Offensive rebound by C. Parsons
7:01.0,,,84-105,,D. Nowitzki misses 3-pt shot from 24 ft
7:00.0,Defensive rebound by G. Hayward,,84-105,,
6:44.0,G. Hayward makes 2-pt shot from 20 ft,2,86-105,,
6:37.0,,,86-105,,Dallas full timeout
6:37.0,,,86-105,,T. Chandler enters the game for D. Nowitzki
6:37.0,,,86-105,,A. Aminu enters the game for D. Harris
6:37.0,,,86-105,,M. Ellis enters the game for B. Wright
6:37.0,,,86-105,,J. Nelson enters the game for J. Barea
6:37.0,E. Kanter enters the game for T. Booker,,86-105,,
6:23.0,,,86-105,,Turnover by C. Parsons (traveling)
6:15.0,Turnover by T. Burke (bad pass; steal by J. Nelson),,86-105,,
6:11.0,Violation by A. Burks (def goaltending),,86-105,,
6:11.0,,,86-107,2,M. Ellis makes 2-pt shot at rim
5:57.0,D. Favors misses 2-pt shot from 7 ft,,86-107,,
5:55.0,,,86-107,,Defensive rebound by M. Ellis
5:47.0,,,86-107,,M. Ellis misses 2-pt shot from 17 ft
5:45.0,Defensive rebound by D. Favors,,86-107,,
5:29.0,D. Favors misses 2-pt shot from 13 ft,,86-107,,
5:28.0,Offensive rebound by Team,,86-107,,
5:20.0,A. Burks misses 3-pt shot from 25 ft,,86-107,,
5:19.0,,,86-107,,Defensive rebound by A. Aminu
4:57.0,,,86-109,2,C. Parsons makes 2-pt shot from 14 ft
4:45.0,E. Kanter makes 2-pt shot from 2 ft (assist by G. Hayward),2,88-109,,
4:31.0,Personal block foul by G. Hayward (drawn by J. Nelson),,88-109,,
4:26.0,,,88-111,2,C. Parsons makes 2-pt shot at rim (assist by M. Ellis)
4:11.0,T. Burke misses 2-pt shot from 9 ft,,88-111,,
4:09.0,Offensive rebound by T. Burke,,88-111,,
4:00.0,Shooting foul by T. Chandler (drawn by D. Favors),,88-111,,
4:00.0,D. Favors makes free throw 1 of 2,1,89-111,,
4:00.0,R. Hood enters the game for G. Hayward,,89-111,,
4:00.0,D. Favors makes free throw 2 of 2,1,90-111,,
3:52.0,,,90-111,,Turnover by M. Ellis (bad pass; steal by A. Burks)
3:32.0,T. Burke makes 3-pt shot from 24 ft (assist by R. Hood),3,93-111,,
3:18.0,,,93-113,2,C. Parsons makes 2-pt shot at rim (assist by A. Aminu)
3:02.0,E. Kanter makes 3-pt shot from 22 ft (assist by T. Burke),3,96-113,,
2:52.0,,,96-113,,Dallas full timeout
2:52.0,Utah full timeout,,96-113,,
2:52.0,,,96-113,,G. Smith enters the game for T. Chandler
2:52.0,,,96-113,,J. Barea enters the game for M. Ellis
2:52.0,,,96-113,,J. Crowder enters the game for J. Nelson
2:52.0,R. Gobert enters the game for D. Favors,,96-113,,
2:52.0,D. Exum enters the game for T. Burke,,96-113,,
2:40.0,,,96-113,,A. Aminu misses 2-pt shot from 16 ft
2:39.0,,,96-113,,Offensive rebound by G. Smith
2:24.0,,,96-113,,Shooting foul by R. Gobert (drawn by C. Parsons)
2:24.0,,,96-114,1,C. Parsons makes free throw 1 of 2
2:24.0,,,96-115,1,C. Parsons makes free throw 2 of 2
2:15.0,,,96-115,,Personal foul by A. Aminu (drawn by E. Kanter)
2:15.0,,,96-115,,C. Villanueva enters the game for C. Parsons
2:05.0,Shooting foul by C. Villanueva (drawn by E. Kanter),,96-115,,
