time,Atlanta,pts.away,score,pts.home,Charlotte
8:07.0,,,61-67,,Technical foul by M. Williams
8:07.0,Technical foul by D. Schroder,,61-67,,
8:07.0,,,61-67,,B. Biyombo enters the game for A. Jefferson
7:53.0,M. Muscala misses 2-pt shot from 2 ft,,61-67,,
7:52.0,,,61-67,,Defensive rebound by G. Henderson
7:41.0,,,61-69,2,K. Walker makes 2-pt shot from 2 ft
7:33.0,K. Bazemore misses 3-pt shot from 23 ft,,61-69,,
7:32.0,,,61-69,,Defensive rebound by G. Henderson
7:21.0,,,61-71,2,G. Henderson makes 2-pt shot from 18 ft
6:59.0,J. Jenkins makes 2-pt shot from 18 ft (assist by D. Schroder),2,63-71,,
6:35.0,,,63-73,2,K. Walker makes 2-pt shot from 16 ft (assist by J. Taylor)
6:15.0,E. Brand misses 2-pt shot from 2 ft (block by B. Biyombo),,63-73,,
6:15.0,Offensive rebound by Team,,63-73,,
6:15.0,S. Mack enters the game for J. Jenkins,,63-73,,
6:12.0,D. Schroder misses 2-pt shot from 17 ft,,63-73,,
6:11.0,,,63-73,,Defensive rebound by B. Biyombo
5:59.0,,,63-75,2,K. Walker makes 2-pt shot from 21 ft
5:42.0,D. Schroder makes 3-pt shot from 26 ft (assist by S. Mack),3,66-75,,
5:28.0,,,66-77,2,K. Walker makes 2-pt shot from 16 ft
5:15.0,Shooting foul by B. Biyombo (drawn by E. Brand),,66-77,,
5:15.0,,,66-77,,Charlotte full timeout
5:15.0,T. Sefolosha enters the game for M. Muscala,,66-77,,
5:15.0,P. Antic enters the game for D. Schroder,,66-77,,
5:15.0,,,66-77,,P. Hairston enters the game for J. Taylor
5:15.0,E. Brand misses free throw 1 of 2,,66-77,,
5:15.0,Offensive rebound by Team,,66-77,,
5:15.0,E. Brand makes free throw 2 of 2,1,67-77,,
4:54.0,,,67-77,,K. Walker misses 2-pt shot from 2 ft (block by E. Brand)
4:53.0,Defensive rebound by T. Sefolosha,,67-77,,
4:48.0,S. Mack misses 2-pt shot from 10 ft,,67-77,,
4:46.0,,,67-77,,Defensive rebound by B. Biyombo
4:40.0,,,67-77,,Shooting foul by E. Brand (drawn by B. Biyombo)
4:40.0,,,67-78,1,B. Biyombo makes free throw 1 of 2
4:40.0,,,67-79,1,B. Biyombo makes free throw 2 of 2
4:27.0,P. Antic misses 2-pt shot from 21 ft,,67-79,,
4:25.0,,,67-79,,Defensive rebound by G. Henderson
4:12.0,,,67-79,,K. Walker misses 3-pt shot from 26 ft
4:11.0,Defensive rebound by T. Sefolosha,,67-79,,
4:02.0,E. Brand makes 2-pt shot from 1 ft (assist by S. Mack),2,69-79,,
3:38.0,,,69-81,2,B. Biyombo makes 2-pt shot at rim (assist by M. Williams)
3:20.0,T. Sefolosha misses 2-pt shot from 7 ft,,69-81,,
3:20.0,Offensive rebound by Team,,69-81,,
3:20.0,Atlanta full timeout,,69-81,,
3:20.0,,,69-81,,M. Williams enters the game for K. Walker
3:20.0,M. Muscala enters the game for E. Brand,,69-81,,
3:17.0,S. Mack misses 3-pt shot from 26 ft,,69-81,,
3:15.0,,,69-81,,Defensive rebound by B. Biyombo
3:00.0,,,69-83,2,M. Williams makes 2-pt shot from 17 ft (assist by G. Henderson)
2:43.0,S. Mack misses 3-pt shot from 25 ft,,69-83,,
2:41.0,,,69-83,,Defensive rebound by B. Biyombo
2:31.0,,,69-83,,Turnover by G. Henderson (bad pass; steal by P. Antic)
2:24.0,K. Bazemore makes 2-pt shot from 21 ft (assist by S. Mack),2,71-83,,
1:57.0,,,71-83,,M. Williams misses 2-pt shot from 7 ft
1:56.0,,,71-83,,Offensive rebound by M. Williams
1:54.0,,,71-85,2,M. Williams makes 2-pt shot from 6 ft
1:33.0,S. Mack misses 2-pt shot from 7 ft,,71-85,,
1:30.0,Offensive rebound by M. Muscala,,71-85,,
1:28.0,M. Muscala makes 2-pt shot from 14 ft,2,73-85,,
1:10.0,,,73-87,2,B. Biyombo makes 2-pt shot from 6 ft (assist by M. Williams)
1:03.0,Turnover by S. Mack (bad pass; steal by P. Hairston),,73-87,,
0:58.0,,,73-87,,M. Williams misses 3-pt shot from 23 ft
0:56.0,Defensive rebound by T. Sefolosha,,73-87,,
0:45.0,M. Muscala makes 3-pt shot from 25 ft (assist by T. Sefolosha),3,76-87,,
0:35.0,,,76-90,3,M. Williams makes 3-pt shot from 25 ft (assist by M. Williams)
0:25.0,T. Sefolosha misses 3-pt shot from 25 ft,,76-90,,
0:24.0,,,76-90,,Defensive rebound by P. Hairston
0:02.0,,,76-90,,Turnover by M. Williams (bad pass; steal by P. Antic)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,76-90,,Turnover by B. Biyombo (lost ball; steal by J. Jenkins)
11:38.0,A. Daye makes 3-pt shot from 23 ft (assist by J. Jenkins),3,79-90,,
11:24.0,,,79-90,,Shooting foul by A. Daye (drawn by P. Hairston)
11:24.0,,,79-91,1,P. Hairston makes free throw 1 of 2
11:24.0,,,79-92,1,P. Hairston makes free throw 2 of 2
11:03.0,M. Muscala makes 3-pt shot from 22 ft (assist by D. Schroder),3,82-92,,
11:03.0,,,82-92,,Charlotte full timeout
10:47.0,,,82-92,,M. Williams misses 2-pt shot from 20 ft
10:44.0,,,82-92,,Offensive rebound by J. Maxiell
10:39.0,,,82-92,,Turnover by J. Maxiell (lost ball; steal by M. Muscala)
10:31.0,,,82-92,,Personal foul by J. Maxiell (drawn by M. Muscala)
10:31.0,,,82-92,,Inbound foul by J. Maxiell (drawn by M. Muscala)
10:31.0,D. Schroder makes free throw 1 of 2,1,83-92,,
10:31.0,D. Schroder makes free throw 2 of 2,1,84-92,,
10:14.0,,,84-95,3,M. Williams makes 3-pt shot from 26 ft (assist by J. Taylor)
9:55.0,P. Antic makes 3-pt shot from 25 ft (assist by J. Jenkins),3,87-95,,
9:42.0,Personal foul by D. Schroder (drawn by M. Williams),,87-95,,
9:42.0,E. Brand enters the game for P. Antic,,87-95,,
9:31.0,,,87-98,3,M. Williams makes 3-pt shot from 25 ft (assist by J. Maxiell)
9:04.0,A. Daye makes 2-pt shot at rim (assist by E. Brand),2,89-98,,
8:52.0,Personal foul by D. Schroder (drawn by M. Williams),,89-98,,
8:52.0,Official timeout,,89-98,,
8:52.0,T. Sefolosha enters the game for M. Muscala,,89-98,,
8:52.0,,,89-98,,Turnover by M. Williams (offensive foul)
8:52.0,,,89-98,,Offensive foul by M. Williams
8:44.0,Offensive foul by T. Sefolosha,,89-98,,
8:44.0,Turnover by T. Sefolosha (offensive foul),,89-98,,
8:39.0,,,89-98,,M. Williams misses 2-pt shot from 9 ft
8:38.0,Defensive rebound by E. Brand,,89-98,,
8:29.0,T. Sefolosha misses 2-pt shot from 19 ft,,89-98,,
8:28.0,,,89-98,,Defensive rebound by J. Taylor
8:15.0,,,89-98,,Shooting foul by A. Daye (drawn by J. Taylor)
8:15.0,,,89-98,,J. Taylor misses free throw 1 of 2
8:15.0,,,89-98,,Offensive rebound by Team
8:15.0,,,89-98,,M. Williams enters the game for J. Maxiell
8:15.0,,,89-98,,K. Walker enters the game for P. Hairston
8:15.0,,,89-99,1,J. Taylor makes free throw 2 of 2
8:01.0,A. Daye misses 3-pt shot from 25 ft,,89-99,,
7:59.0,,,89-99,,Defensive rebound by M. Williams
7:45.0,,,89-101,2,K. Walker makes 2-pt shot from 18 ft (assist by M. Williams)
7:24.0,J. Jenkins makes 2-pt shot from 18 ft (assist by D. Schroder),2,91-101,,
7:02.0,,,91-103,2,M. Williams makes 2-pt shot from 19 ft
6:57.0,,,91-103,,Personal foul by J. Taylor (drawn by J. Jenkins)
6:57.0,S. Mack enters the game for J. Jenkins,,91-103,,
6:57.0,K. Bazemore enters the game for D. Schroder,,91-103,,
6:50.0,A. Daye makes 2-pt shot from 10 ft,2,93-103,,
6:33.0,,,93-103,,Turnover by K. Walker (bad pass; steal by K. Bazemore)
6:31.0,Turnover by K. Bazemore (lost ball),,93-103,,
6:22.0,,,93-103,,Turnover by M. Williams (lost ball)
6:08.0,K. Bazemore misses 2-pt shot from 3 ft (block by B. Biyombo),,93-103,,
6:06.0,,,93-103,,Defensive rebound by B. Biyombo
6:00.0,,,93-103,,M. Williams misses 3-pt shot from 25 ft
5:58.0,,,93-103,,Offensive rebound by B. Biyombo
5:54.0,,,93-106,3,M. Williams makes 3-pt shot from 24 ft (assist by B. Biyombo)
5:38.0,A. Daye misses 2-pt shot from 16 ft,,93-106,,
5:36.0,,,93-106,,Defensive rebound by B. Biyombo
5:26.0,,,93-106,,M. Williams misses 3-pt shot from 26 ft
5:24.0,Defensive rebound by E. Brand,,93-106,,
5:09.0,Turnover by T. Sefolosha (bad pass; steal by M. Williams),,93-106,,
5:07.0,Personal foul by A. Daye (drawn by M. Williams),,93-106,,
5:07.0,,,93-106,,Charlotte full timeout
5:07.0,M. Muscala enters the game for A. Daye,,93-106,,
5:07.0,,,93-106,,G. Henderson enters the game for J. Taylor
5:07.0,,,93-107,1,M. Williams makes free throw 1 of 2
5:07.0,,,93-108,1,M. Williams makes free throw 2 of 2
4:46.0,M. Muscala misses 2-pt shot from 8 ft,,93-108,,
4:45.0,,,93-108,,Defensive rebound by B. Biyombo
4:22.0,,,93-108,,B. Biyombo misses 2-pt shot from 7 ft
4:21.0,Defensive rebound by M. Muscala,,93-108,,
4:08.0,K. Bazemore makes 2-pt shot from 6 ft,2,95-108,,
3:50.0,,,95-108,,K. Walker misses 2-pt shot from 5 ft (block by M. Muscala)
3:48.0,Defensive rebound by M. Muscala,,95-108,,
3:33.0,T. Sefolosha misses 2-pt shot from 18 ft,,95-108,,
3:32.0,,,95-108,,Defensive rebound by M. Williams
3:11.0,,,95-110,2,G. Henderson makes 2-pt shot from 19 ft (assist by M. Williams)
3:05.0,Atlanta full timeout,,95-110,,
3:05.0,A. Daye enters the game for E. Brand,,95-110,,
3:05.0,J. Jenkins enters the game for T. Sefolosha,,95-110,,
2:54.0,,,95-110,,Personal foul by K. Walker (drawn by J. Jenkins)
2:51.0,,,95-110,,Personal foul by M. Williams (drawn by J. Jenkins)
2:51.0,J. Jenkins misses free throw 1 of 2,,95-110,,
2:51.0,Offensive rebound by Team,,95-110,,
2:51.0,J. Jenkins makes free throw 2 of 2,1,96-110,,
2:32.0,,,96-110,,Turnover by M. Williams (bad pass; steal by J. Jenkins)
2:18.0,A. Daye misses 3-pt shot from 27 ft,,96-110,,
2:17.0,,,96-110,,Defensive rebound by M. Williams
1:55.0,,,96-110,,K. Walker misses 2-pt shot from 9 ft
1:55.0,Defensive rebound by Team,,96-110,,
1:55.0,,,96-110,,Loose ball foul by B. Biyombo (drawn by M. Muscala)
1:55.0,M. Muscala makes free throw 1 of 2,1,97-110,,
1:55.0,M. Muscala makes free throw 2 of 2,1,98-110,,
1:40.0,,,98-113,3,M. Williams makes 3-pt shot from 26 ft (assist by M. Williams)
1:25.0,A. Daye makes 2-pt shot from 20 ft (assist by M. Muscala),2,100-113,,
1:09.0,,,100-113,,M. Williams misses 3-pt shot from 24 ft
1:08.0,Defensive rebound by K. Bazemore,,100-113,,
0:58.0,K. Bazemore misses 3-pt shot from 23 ft,,100-113,,
0:57.0,,,100-113,,Defensive rebound by K. Walker
0:38.0,Personal foul by J. Jenkins (drawn by K. Walker),,100-113,,
