time,Milwaukee,pts.away,score,pts.home,Dallas
3:40.0,,,13-24,,Turnover by C. Parsons (lost ball; steal by L. Sanders)
3:36.0,B. Knight makes 2-pt shot from 1 ft (assist by O. Mayo),2,15-24,,
3:17.0,,,15-24,,C. Parsons misses 3-pt shot from 24 ft
3:16.0,Defensive rebound by L. Sanders,,15-24,,
2:58.0,L. Sanders makes 2-pt shot from 2 ft (assist by G. Antetokounmpo),2,17-24,,
2:50.0,,,17-24,,Dallas full timeout
2:50.0,Milwaukee full timeout,,17-24,,
2:50.0,Z. Pachulia enters the game for L. Sanders,,17-24,,
2:37.0,,,17-26,2,J. Crowder makes 2-pt shot from 17 ft
2:23.0,G. Antetokounmpo misses 2-pt shot from 4 ft (block by C. Parsons),,17-26,,
2:23.0,Offensive rebound by Team,,17-26,,
2:21.0,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Dudley),2,19-26,,
2:11.0,Personal foul by G. Antetokounmpo (drawn by C. Parsons),,19-26,,
2:11.0,K. Middleton enters the game for G. Antetokounmpo,,19-26,,
1:58.0,,,19-26,,M. Ellis misses 3-pt shot from 24 ft
1:57.0,,,19-26,,Offensive rebound by B. Wright
1:57.0,Loose ball foul by Z. Pachulia (drawn by B. Wright),,19-26,,
1:57.0,,,19-26,,D. Nowitzki enters the game for C. Parsons
1:57.0,,,19-26,,J. Barea enters the game for M. Ellis
1:46.0,,,19-28,2,J. Crowder makes 2-pt shot from 21 ft (assist by J. Barea)
1:23.0,J. Dudley misses 2-pt shot from 2 ft,,19-28,,
1:21.0,Offensive rebound by J. Dudley,,19-28,,
1:15.0,Z. Pachulia makes 2-pt shot from 19 ft,2,21-28,,
0:59.0,,,21-28,,D. Nowitzki misses 2-pt shot from 18 ft
0:58.0,Defensive rebound by K. Middleton,,21-28,,
0:53.0,Turnover by K. Middleton (bad pass; steal by B. Wright),,21-28,,
0:45.0,,,21-30,2,B. Wright makes 2-pt shot at rim (assist by J. Barea)
0:37.0,,,21-30,,Personal foul by J. Barea (drawn by B. Knight)
0:37.0,K. Marshall enters the game for O. Mayo,,21-30,,
0:37.0,J. Bayless enters the game for B. Knight,,21-30,,
0:26.0,Turnover by K. Middleton (lost ball; steal by B. Wright),,21-30,,
0:01.0,,,21-32,2,D. Nowitzki makes 2-pt shot from 18 ft (assist by J. Crowder)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,21-32,,J. Crowder misses 2-pt shot from 16 ft
11:47.0,Defensive rebound by J. Bayless,,21-32,,
11:27.0,Z. Pachulia misses 2-pt shot from 4 ft,,21-32,,
11:26.0,,,21-32,,Defensive rebound by D. Nowitzki
11:19.0,,,21-32,,D. Harris misses 2-pt shot from 2 ft
11:18.0,Defensive rebound by Z. Pachulia,,21-32,,
11:05.0,Z. Pachulia misses 2-pt shot from 14 ft,,21-32,,
11:04.0,,,21-32,,Defensive rebound by D. Harris
10:48.0,,,21-32,,Turnover by D. Nowitzki (bad pass)
10:48.0,,,21-32,,J. Nelson enters the game for D. Harris
10:37.0,J. Dudley misses 2-pt shot from 22 ft,,21-32,,
10:36.0,,,21-32,,Defensive rebound by J. Nelson
10:18.0,,,21-32,,J. Barea misses 2-pt shot from 16 ft
10:17.0,Defensive rebound by Z. Pachulia,,21-32,,
10:07.0,K. Marshall misses 2-pt shot from 2 ft (block by B. Wright),,21-32,,
10:04.0,,,21-32,,Defensive rebound by B. Wright
10:03.0,,,21-32,,Turnover by B. Wright (bad pass; steal by Z. Pachulia)
9:58.0,K. Middleton misses 3-pt shot from 24 ft,,21-32,,
9:57.0,Offensive rebound by Z. Pachulia,,21-32,,
9:57.0,Shooting foul by B. Wright (drawn by Z. Pachulia),,21-32,,
9:57.0,Z. Pachulia makes free throw 1 of 2,1,22-32,,
9:57.0,,,22-32,,A. Aminu enters the game for J. Crowder
9:57.0,Z. Pachulia makes free throw 2 of 2,1,23-32,,
9:41.0,,,23-34,2,D. Nowitzki makes 2-pt shot from 16 ft (assist by J. Nelson)
9:22.0,J. Bayless misses 2-pt shot from 8 ft,,23-34,,
9:21.0,,,23-34,,Defensive rebound by B. Wright
9:08.0,,,23-34,,B. Wright misses 2-pt shot from 6 ft
9:07.0,Defensive rebound by Z. Pachulia,,23-34,,
8:53.0,Z. Pachulia misses 2-pt shot from 16 ft,,23-34,,
8:52.0,,,23-34,,Defensive rebound by A. Aminu
8:52.0,Loose ball foul by K. Marshall (drawn by A. Aminu),,23-34,,
8:52.0,Official timeout,,23-34,,
8:52.0,,,23-34,,T. Chandler enters the game for D. Nowitzki
8:52.0,,,23-34,,C. Parsons enters the game for B. Wright
8:35.0,,,23-34,,A. Aminu misses 2-pt shot from 4 ft
8:34.0,Defensive rebound by Z. Pachulia,,23-34,,
8:16.0,K. Middleton misses 2-pt shot from 11 ft,,23-34,,
8:16.0,Offensive rebound by Z. Pachulia,,23-34,,
8:13.0,Z. Pachulia makes 2-pt shot from 1 ft,2,25-34,,
7:55.0,,,25-36,2,J. Barea makes 2-pt shot from 7 ft
7:29.0,J. Bayless makes 3-pt shot from 24 ft (assist by K. Middleton),3,28-36,,
7:10.0,,,28-38,2,J. Barea makes 2-pt shot from 9 ft
6:57.0,K. Middleton makes 2-pt shot from 15 ft,2,30-38,,
6:42.0,,,30-38,,A. Aminu misses 2-pt shot from 17 ft
6:41.0,Defensive rebound by Z. Pachulia,,30-38,,
6:34.0,J. Bayless makes 2-pt shot from 1 ft,2,32-38,,
6:34.0,,,32-38,,Dallas full timeout
6:34.0,,,32-38,,J. Crowder enters the game for J. Barea
6:34.0,,,32-38,,M. Ellis enters the game for A. Aminu
6:20.0,,,32-38,,Shooting foul by Z. Pachulia (drawn by M. Ellis)
6:20.0,,,32-38,,M. Ellis misses free throw 1 of 2
6:20.0,,,32-38,,Offensive rebound by Team
6:20.0,L. Sanders enters the game for Z. Pachulia,,32-38,,
6:20.0,,,32-38,,M. Ellis misses free throw 2 of 2
6:19.0,Defensive rebound by K. Marshall,,32-38,,
6:15.0,Offensive charge foul by K. Middleton,,32-38,,
6:15.0,Turnover by K. Middleton (offensive foul),,32-38,,
6:03.0,,,32-40,2,C. Parsons makes 2-pt shot from 8 ft
5:46.0,J. Bayless misses 2-pt shot from 17 ft,,32-40,,
5:45.0,Offensive rebound by L. Sanders,,32-40,,
5:40.0,J. Dudley misses 3-pt shot from 22 ft,,32-40,,
5:39.0,,,32-40,,Defensive rebound by T. Chandler
5:27.0,,,32-42,2,M. Ellis makes 2-pt shot from 19 ft
5:24.0,Milwaukee full timeout,,32-42,,
5:24.0,J. Parker enters the game for J. Dudley,,32-42,,
5:24.0,B. Knight enters the game for K. Marshall,,32-42,,
5:24.0,O. Mayo enters the game for J. Bayless,,32-42,,
5:13.0,B. Knight makes 2-pt shot from 7 ft,2,34-42,,
4:45.0,,,34-42,,J. Crowder misses 3-pt shot from 24 ft
4:44.0,Defensive rebound by B. Knight,,34-42,,
4:39.0,B. Knight makes 2-pt shot from 12 ft,2,36-42,,
4:18.0,,,36-44,2,T. Chandler makes 2-pt shot at rim (assist by C. Parsons)
3:59.0,O. Mayo misses 2-pt shot from 7 ft,,36-44,,
3:58.0,Offensive rebound by O. Mayo,,36-44,,
3:45.0,K. Middleton misses 2-pt shot from 6 ft,,36-44,,
3:44.0,Offensive rebound by J. Parker,,36-44,,
3:44.0,J. Parker makes 2-pt shot at rim,2,38-44,,
3:31.0,,,38-46,2,C. Parsons makes 2-pt shot from 2 ft (assist by J. Nelson)
3:22.0,O. Mayo misses 3-pt shot from 24 ft,,38-46,,
3:21.0,,,38-46,,Defensive rebound by T. Chandler
3:10.0,Personal foul by K. Middleton (drawn by T. Chandler),,38-46,,
3:10.0,,,38-46,,D. Nowitzki enters the game for J. Crowder
3:10.0,,,38-46,,J. Barea enters the game for J. Nelson
3:06.0,,,38-46,,D. Nowitzki misses 3-pt shot from 24 ft
3:05.0,Defensive rebound by O. Mayo,,38-46,,
3:03.0,Turnover by O. Mayo (bad pass; steal by M. Ellis),,38-46,,
2:56.0,,,38-46,,Turnover by M. Ellis (bad pass; steal by K. Middleton)
2:52.0,L. Sanders makes 2-pt shot from 1 ft (assist by K. Middleton),2,40-46,,
2:39.0,,,40-49,3,C. Parsons makes 3-pt shot from 24 ft (assist by J. Barea)
2:22.0,O. Mayo makes 2-pt shot from 4 ft,2,42-49,,
2:08.0,Shooting block foul by L. Sanders (drawn by C. Parsons),,42-49,,
2:08.0,,,42-50,1,C. Parsons makes free throw 1 of 2
2:08.0,J. Bayless enters the game for K. Middleton,,42-50,,
2:08.0,,,42-51,1,C. Parsons makes free throw 2 of 2
1:50.0,L. Sanders misses 2-pt shot from 5 ft (block by T. Chandler),,42-51,,
1:48.0,,,42-51,,Defensive rebound by D. Nowitzki
1:34.0,Shooting block foul by O. Mayo (drawn by M. Ellis),,42-51,,
1:34.0,,,42-52,1,M. Ellis makes free throw 1 of 2
1:34.0,,,42-53,1,M. Ellis makes free throw 2 of 2
1:24.0,J. Bayless makes 2-pt shot at rim (assist by B. Knight),2,44-53,,
1:12.0,,,44-55,2,D. Nowitzki makes 2-pt shot from 21 ft (assist by J. Barea)
0:59.0,O. Mayo makes 2-pt shot from 14 ft,2,46-55,,
0:50.0,,,46-55,,J. Barea misses 3-pt shot from 24 ft
0:49.0,,,46-55,,Offensive rebound by M. Ellis
0:37.0,Personal foul by J. Parker (drawn by D. Nowitzki),,46-55,,
0:37.0,,,46-56,1,D. Nowitzki makes free throw 1 of 2
0:37.0,,,46-57,1,D. Nowitzki makes free throw 2 of 2
0:19.0,Turnover by B. Knight (lost ball; steal by J. Barea),,46-57,,
0:17.0,Personal foul by O. Mayo (drawn by M. Ellis),,46-57,,
0:17.0,,,46-58,1,M. Ellis makes free throw 1 of 2
0:17.0,,,46-58,,A. Aminu enters the game for D. Nowitzki
0:17.0,,,46-59,1,M. Ellis makes free throw 2 of 2
0:03.0,Turnover by J. Parker (bad pass; steal by T. Chandler),,46-59,,
0:00.0,,,46-59,,J. Barea misses 3-pt shot from 37 ft
0:00.0,,,46-59,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,46-61,2,M. Ellis makes 2-pt shot from 18 ft
11:27.0,B. Knight makes 3-pt shot from 25 ft (assist by O. Mayo),3,49-61,,
11:09.0,,,49-64,3,C. Parsons makes 3-pt shot from 24 ft (assist by J. Nelson)
10:55.0,O. Mayo misses 3-pt shot from 23 ft,,49-64,,
10:54.0,,,49-64,,Defensive rebound by C. Parsons
10:49.0,,,49-64,,Turnover by C. Parsons (lost ball)
10:35.0,Turnover by O. Mayo (bad pass; steal by T. Chandler),,49-64,,
10:26.0,,,49-66,2,T. Chandler makes 2-pt shot from 2 ft (assist by J. Nelson)
10:26.0,,,49-66,,Shooting foul by L. Sanders (drawn by T. Chandler)
10:26.0,,,49-67,1,T. Chandler makes free throw 1 of 1
10:15.0,Turnover by L. Sanders (traveling),,49-67,,
10:04.0,,,49-69,2,M. Ellis makes 2-pt shot from 5 ft
9:48.0,O. Mayo misses 2-pt shot from 15 ft,,49-69,,
9:48.0,Offensive rebound by J. Parker,,49-69,,
9:46.0,J. Parker makes 2-pt shot at rim,2,51-69,,
9:30.0,,,51-69,,Turnover by T. Chandler (lost ball; steal by B. Knight)
9:26.0,J. Parker makes 2-pt shot at rim (assist by O. Mayo),2,53-69,,
9:04.0,,,53-69,,C. Parsons misses 2-pt shot from 2 ft (block by L. Sanders)
9:02.0,Defensive rebound by L. Sanders,,53-69,,
8:54.0,O. Mayo makes 2-pt shot from 7 ft,2,55-69,,
8:29.0,Personal foul by O. Mayo (drawn by M. Ellis),,55-69,,
8:21.0,,,55-69,,M. Ellis misses 2-pt shot from 6 ft
8:20.0,,,55-69,,Offensive rebound by M. Ellis
8:06.0,,,55-71,2,C. Parsons makes 2-pt shot from 1 ft
7:50.0,O. Mayo makes 3-pt shot from 24 ft (assist by B. Knight),3,58-71,,
7:41.0,,,58-71,,M. Ellis misses 3-pt shot from 24 ft
7:40.0,Defensive rebound by J. Parker,,58-71,,
7:33.0,G. Antetokounmpo makes 2-pt shot at rim (assist by B. Knight),2,60-71,,
7:32.0,,,60-71,,Dallas full timeout
7:20.0,,,60-71,,T. Chandler misses 2-pt shot from 19 ft
7:19.0,Defensive rebound by B. Knight,,60-71,,
7:00.0,O. Mayo makes 3-pt shot from 24 ft,3,63-71,,
6:46.0,,,63-71,,Turnover by J. Nelson (bad pass; steal by J. Parker)
6:43.0,J. Parker makes 2-pt shot at rim,2,65-71,,
6:27.0,Personal foul by J. Parker (drawn by D. Nowitzki),,65-71,,
6:27.0,,,65-71,,J. Crowder enters the game for D. Nowitzki
6:16.0,,,65-73,2,M. Ellis makes 2-pt shot from 16 ft
5:56.0,B. Knight misses 3-pt shot from 25 ft,,65-73,,
5:55.0,Offensive rebound by L. Sanders,,65-73,,
5:55.0,L. Sanders makes 2-pt shot at rim,2,67-73,,
5:35.0,,,67-73,,J. Nelson misses 3-pt shot from 25 ft
5:34.0,Defensive rebound by L. Sanders,,67-73,,
5:30.0,,,67-73,,Personal foul by J. Nelson (drawn by G. Antetokounmpo)
5:30.0,,,67-73,,D. Harris enters the game for J. Nelson
5:19.0,O. Mayo misses 3-pt shot from 24 ft,,67-73,,
5:18.0,,,67-73,,Defensive rebound by C. Parsons
5:11.0,Shooting block foul by J. Parker (drawn by T. Chandler),,67-73,,
5:11.0,,,67-74,1,T. Chandler makes free throw 1 of 2
5:11.0,,,67-75,1,T. Chandler makes free throw 2 of 2
4:56.0,Shooting foul by C. Parsons (drawn by B. Knight),,67-75,,
4:56.0,B. Knight makes free throw 1 of 2,1,68-75,,
4:56.0,B. Knight makes free throw 2 of 2,1,69-75,,
4:34.0,,,69-75,,D. Harris misses 3-pt shot from 23 ft
4:32.0,,,69-75,,Offensive rebound by J. Crowder
4:26.0,,,69-78,3,C. Parsons makes 3-pt shot from 25 ft (assist by T. Chandler)
4:09.0,B. Knight misses 2-pt shot from 18 ft,,69-78,,
4:07.0,,,69-78,,Defensive rebound by T. Chandler
3:59.0,,,69-81,3,D. Harris makes 3-pt shot from 22 ft (assist by M. Ellis)
3:59.0,Milwaukee full timeout,,69-81,,
3:59.0,,,69-81,,B. Wright enters the game for T. Chandler
3:59.0,,,69-81,,D. Nowitzki enters the game for J. Crowder
3:59.0,J. Dudley enters the game for G. Antetokounmpo,,69-81,,
3:59.0,J. Bayless enters the game for O. Mayo,,69-81,,
3:45.0,J. Parker misses 2-pt shot from 4 ft,,69-81,,
3:44.0,,,69-81,,Defensive rebound by B. Wright
3:28.0,,,69-81,,M. Ellis misses 2-pt shot from 5 ft
3:26.0,Defensive rebound by L. Sanders,,69-81,,
3:14.0,Turnover by B. Knight (bad pass; steal by B. Wright),,69-81,,
3:08.0,,,69-83,2,C. Parsons makes 2-pt shot from 2 ft (assist by B. Wright)
2:41.0,J. Bayless misses 2-pt shot from 3 ft,,69-83,,
2:41.0,Offensive rebound by Team,,69-83,,
2:35.0,J. Parker misses 2-pt shot from 8 ft,,69-83,,
2:35.0,,,69-83,,Defensive rebound by C. Parsons
2:21.0,,,69-85,2,D. Nowitzki makes 2-pt shot from 11 ft
2:06.0,J. Bayless makes 2-pt shot from 5 ft (assist by B. Knight),2,71-85,,
1:48.0,,,71-85,,M. Ellis misses 3-pt shot from 24 ft
1:46.0,Defensive rebound by J. Parker,,71-85,,
1:38.0,J. Dudley misses 3-pt shot from 22 ft,,71-85,,
1:37.0,,,71-85,,Defensive rebound by B. Wright
1:29.0,,,71-85,,D. Nowitzki misses 3-pt shot from 25 ft
1:27.0,,,71-85,,Offensive rebound by C. Parsons
1:18.0,,,71-88,3,D. Nowitzki makes 3-pt shot from 25 ft (assist by M. Ellis)
0:52.0,J. Bayless misses 2-pt shot from 21 ft (block by B. Wright),,71-88,,
0:51.0,,,71-88,,Defensive rebound by M. Ellis
0:30.0,,,71-90,2,M. Ellis makes 2-pt shot from 17 ft
0:07.0,B. Knight misses 3-pt shot from 25 ft,,71-90,,
0:05.0,Offensive rebound by Team,,71-90,,
0:05.0,Turnover by Team (shot clock),,71-90,,
0:00.0,,,71-90,,M. Ellis misses 3-pt shot from 27 ft
0:00.0,,,71-90,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,71-90,,Personal foul by J. Barea (drawn by J. Parker)
11:37.0,Z. Pachulia makes 2-pt shot from 1 ft,2,73-90,,
11:16.0,,,73-92,2,D. Nowitzki makes 2-pt shot from 17 ft (assist by J. Barea)
11:00.0,G. Antetokounmpo makes 2-pt shot at rim (assist by Z. Pachulia),2,75-92,,
10:43.0,,,75-92,,B. Wright misses 2-pt shot from 4 ft
10:42.0,Defensive rebound by J. Parker,,75-92,,
10:37.0,Turnover by J. Parker (lost ball; steal by D. Nowitzki),,75-92,,
10:33.0,,,75-92,,D. Nowitzki misses 3-pt shot from 24 ft
10:32.0,Defensive rebound by G. Antetokounmpo,,75-92,,
10:19.0,Shooting foul by D. Nowitzki (drawn by J. Parker),,75-92,,
10:19.0,J. Parker makes free throw 1 of 2,1,76-92,,
10:19.0,J. Parker misses free throw 2 of 2,,76-92,,
10:18.0,,,76-92,,Defensive rebound by B. Wright
9:54.0,,,76-94,2,J. Barea makes 2-pt shot from 10 ft
9:44.0,J. Parker makes 2-pt shot at rim,2,78-94,,
9:23.0,,,78-96,2,B. Wright makes 2-pt shot at rim (assist by J. Barea)
9:12.0,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Marshall),2,80-96,,
9:12.0,Shooting foul by J. Crowder (drawn by G. Antetokounmpo),,80-96,,
9:12.0,,,80-96,,A. Aminu enters the game for D. Nowitzki
9:12.0,G. Antetokounmpo makes free throw 1 of 1,1,81-96,,
8:46.0,,,81-96,,J. Crowder misses 3-pt shot from 23 ft
8:45.0,,,81-96,,Offensive rebound by B. Wright
8:41.0,,,81-99,3,J. Crowder makes 3-pt shot from 23 ft (assist by B. Wright)
8:23.0,Z. Pachulia misses 2-pt shot from 10 ft,,81-99,,
8:21.0,Offensive rebound by G. Antetokounmpo,,81-99,,
8:21.0,G. Antetokounmpo makes 2-pt shot at rim,2,83-99,,
8:03.0,,,83-99,,J. Barea misses 3-pt shot from 24 ft
8:03.0,Defensive rebound by Team,,83-99,,
8:03.0,Official timeout,,83-99,,
7:43.0,Turnover by K. Marshall (bad pass; steal by J. Crowder),,83-99,,
7:25.0,,,83-101,2,B. Wright makes 2-pt shot at rim (assist by D. Harris)
7:13.0,Turnover by K. Marshall (bad pass; steal by J. Crowder),,83-101,,
7:08.0,,,83-101,,J. Crowder misses 2-pt shot at rim (block by J. Bayless)
7:06.0,,,83-101,,Offensive rebound by A. Aminu
7:06.0,,,83-103,2,A. Aminu makes 2-pt shot from 1 ft
6:57.0,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Parker),2,85-103,,
6:35.0,,,85-103,,J. Crowder misses 2-pt shot from 21 ft
6:35.0,Defensive rebound by Team,,85-103,,
6:18.0,J. Parker makes 2-pt shot from 8 ft,2,87-103,,
5:54.0,,,87-106,3,D. Harris makes 3-pt shot from 22 ft (assist by A. Aminu)
5:42.0,,,87-106,,Dallas full timeout
5:42.0,K. Middleton enters the game for K. Marshall,,87-106,,
5:42.0,N. Wolters enters the game for J. Bayless,,87-106,,
5:30.0,J. Parker makes 2-pt shot from 4 ft,2,89-106,,
5:15.0,,,89-106,,Shooting foul by Z. Pachulia (drawn by A. Aminu)
5:15.0,,,89-107,1,A. Aminu makes free throw 1 of 2
5:15.0,,,89-107,,R. Jefferson enters the game for D. Harris
5:15.0,,,89-108,1,A. Aminu makes free throw 2 of 2
5:05.0,,,89-108,,Personal foul by J. Barea (drawn by N. Wolters)
5:00.0,Z. Pachulia makes 2-pt shot from 2 ft,2,91-108,,
4:37.0,,,91-111,3,J. Barea makes 3-pt shot from 23 ft (assist by J. Crowder)
4:15.0,Z. Pachulia makes 2-pt shot from 1 ft,2,93-111,,
3:52.0,,,93-113,2,R. Jefferson makes 2-pt shot from 6 ft
3:39.0,Turnover by Z. Pachulia (lost ball; steal by B. Wright),,93-113,,
3:34.0,,,93-115,2,B. Wright makes 2-pt shot at rim (assist by J. Barea)
3:17.0,G. Antetokounmpo makes 2-pt shot from 20 ft,2,95-115,,
3:16.0,,,95-115,,Dallas full timeout
3:16.0,,,95-115,,G. Smith enters the game for B. Wright
3:04.0,,,95-117,2,R. Jefferson makes 2-pt shot from 1 ft
2:51.0,Turnover by J. Parker (lost ball; steal by J. Crowder),,95-117,,
2:49.0,,,95-117,,Turnover by J. Crowder (bad pass)
2:40.0,N. Wolters makes 2-pt shot from 3 ft,2,97-117,,
2:40.0,Shooting foul by J. Barea (drawn by N. Wolters),,97-117,,
2:40.0,N. Wolters misses free throw 1 of 1,,97-117,,
2:39.0,,,97-117,,Defensive rebound by A. Aminu
2:23.0,,,97-119,2,G. Smith makes 2-pt shot from 6 ft (assist by J. Barea)
2:09.0,K. Middleton misses 3-pt shot from 24 ft,,97-119,,
2:09.0,,,97-119,,Defensive rebound by A. Aminu
2:09.0,Loose ball foul by J. Parker (drawn by A. Aminu),,97-119,,
1:44.0,,,97-119,,J. Barea misses 3-pt shot from 27 ft
1:43.0,Defensive rebound by K. Middleton,,97-119,,
1:37.0,Turnover by K. Middleton (lost ball),,97-119,,
1:26.0,,,97-122,3,R. Jefferson makes 3-pt shot from 24 ft (assist by J. Barea)
1:20.0,N. Wolters makes 2-pt shot from 11 ft,2,99-122,,
1:07.0,,,99-122,,Turnover by J. Crowder (bad pass; steal by G. Antetokounmpo)
1:05.0,Shooting foul by A. Aminu (drawn by G. Antetokounmpo),,99-122,,
1:05.0,G. Antetokounmpo makes free throw 1 of 2,1,100-122,,
1:05.0,G. Antetokounmpo misses free throw 2 of 2,,100-122,,
1:04.0,,,100-122,,Defensive rebound by A. Aminu
0:49.0,,,100-122,,A. Aminu misses 3-pt shot from 23 ft
0:48.0,Defensive rebound by G. Antetokounmpo,,100-122,,
0:34.0,G. Antetokounmpo misses 2-pt shot from 19 ft,,100-122,,
0:34.0,Offensive rebound by Z. Pachulia,,100-122,,
0:34.0,,,100-122,,Loose ball foul by G. Smith (drawn by Z. Pachulia)
0:34.0,Z. Pachulia makes free throw 1 of 2,1,101-122,,
0:34.0,Z. Pachulia makes free throw 2 of 2,1,102-122,,
