time,Philadelphia,pts.away,score,pts.home,Cleveland
3:19.0,,,18-16,,Turnover by K. Love (lost ball; steal by R. Covington)
3:11.0,I. Smith makes 2-pt shot from 2 ft (assist by R. Covington),2,20-16,,
2:43.0,,,20-16,,I. Shumpert misses 2-pt shot from 4 ft
2:41.0,,,20-16,,Offensive rebound by T. Mozgov
2:41.0,,,20-18,2,T. Mozgov makes 2-pt shot at rim
2:38.0,Turnover by I. Smith (bad pass),,20-18,,
2:38.0,,,20-18,,Cleveland full timeout
2:38.0,J. Sampson enters the game for N. Noel,,20-18,,
2:38.0,H. Thompson enters the game for F. Aldemir,,20-18,,
2:38.0,I. Canaan enters the game for R. Covington,,20-18,,
2:38.0,H. Sims enters the game for I. Smith,,20-18,,
2:38.0,,,20-18,,T. Thompson enters the game for T. Mozgov
2:19.0,,,20-18,,Turnover by K. Love (lost ball; steal by L. Mbah a Moute)
2:11.0,L. Mbah a Moute misses 3-pt shot from 25 ft,,20-18,,
2:10.0,,,20-18,,Defensive rebound by T. Thompson
2:04.0,,,20-21,3,I. Shumpert makes 3-pt shot from 28 ft (assist by K. Irving)
1:46.0,L. Mbah a Moute misses 2-pt shot from 1 ft,,20-21,,
1:45.0,,,20-21,,Defensive rebound by K. Love
1:37.0,,,20-21,,J. Smith misses 2-pt shot from 19 ft
1:35.0,,,20-21,,Offensive rebound by T. Thompson
1:35.0,,,20-21,,T. Thompson misses 2-pt shot at rim
1:33.0,Defensive rebound by L. Mbah a Moute,,20-21,,
1:21.0,L. Mbah a Moute misses 3-pt shot from 25 ft,,20-21,,
1:20.0,,,20-21,,Defensive rebound by Team
1:19.0,,,20-21,,M. Dellavedova enters the game for K. Irving
1:19.0,,,20-21,,L. James enters the game for J. Smith
1:00.0,,,20-21,,K. Love misses 2-pt shot at rim
1:00.0,,,20-21,,Offensive rebound by K. Love
1:00.0,,,20-23,2,K. Love makes 2-pt shot at rim
0:45.0,L. Mbah a Moute misses 2-pt shot from 17 ft,,20-23,,
0:44.0,,,20-23,,Defensive rebound by M. Dellavedova
0:37.0,,,20-26,3,I. Shumpert makes 3-pt shot from 26 ft (assist by L. James)
0:22.0,I. Canaan misses 2-pt shot from 18 ft,,20-26,,
0:21.0,,,20-26,,Defensive rebound by T. Thompson
0:00.0,,,20-26,,I. Shumpert misses 2-pt shot from 19 ft
0:00.0,,,20-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,20-26,,L. James misses 2-pt shot from 14 ft
11:43.0,Defensive rebound by J. Sampson,,20-26,,
11:32.0,J. Sampson makes 2-pt shot at rim (assist by I. Canaan),2,22-26,,
11:15.0,,,22-26,,I. Shumpert misses 2-pt shot from 3 ft
11:13.0,Defensive rebound by L. Mbah a Moute,,22-26,,
11:09.0,Turnover by I. Canaan (lost ball; steal by I. Shumpert),,22-26,,
11:04.0,,,22-26,,Turnover by T. Thompson (bad pass; steal by L. Mbah a Moute)
10:59.0,I. Canaan misses 3-pt shot from 28 ft,,22-26,,
10:58.0,,,22-26,,Defensive rebound by L. James
10:40.0,,,22-26,,Shooting foul by I. Canaan (drawn by L. James)
10:40.0,,,22-26,,L. James misses free throw 1 of 2
10:40.0,,,22-26,,Offensive rebound by Team
10:40.0,,,22-27,1,L. James makes free throw 2 of 2
10:26.0,J. Sampson misses 2-pt shot from 4 ft,,22-27,,
10:26.0,,,22-27,,Defensive rebound by Team
10:13.0,,,22-29,2,T. Thompson makes 2-pt shot at rim (assist by M. Dellavedova)
9:56.0,Shooting foul by J. Jones (drawn by L. Mbah a Moute),,22-29,,
9:56.0,L. Mbah a Moute makes free throw 1 of 2,1,23-29,,
9:56.0,L. Mbah a Moute makes free throw 2 of 2,1,24-29,,
9:37.0,,,24-29,,J. Jones misses 3-pt shot from 25 ft
9:35.0,Defensive rebound by L. Mbah a Moute,,24-29,,
9:27.0,J. Sampson misses 2-pt shot from 5 ft,,24-29,,
9:26.0,,,24-29,,Defensive rebound by T. Thompson
9:21.0,,,24-31,2,T. Thompson makes 2-pt shot at rim (assist by M. Dellavedova)
9:21.0,Philadelphia full timeout,,24-31,,
9:21.0,F. Aldemir enters the game for H. Sims,,24-31,,
9:08.0,I. Canaan makes 2-pt shot at rim,2,26-31,,
8:54.0,,,26-31,,Shooting foul by H. Thompson (drawn by L. James)
8:54.0,,,26-32,1,L. James makes free throw 1 of 2
8:54.0,N. Noel enters the game for L. Mbah a Moute,,26-32,,
8:54.0,,,26-32,,L. James misses free throw 2 of 2
8:53.0,Defensive rebound by H. Thompson,,26-32,,
8:33.0,H. Thompson makes 3-pt shot from 23 ft (assist by I. Canaan),3,29-32,,
8:09.0,,,29-35,3,L. James makes 3-pt shot from 22 ft
7:52.0,H. Thompson makes 2-pt shot from 6 ft (assist by N. Noel),2,31-35,,
7:46.0,Personal foul by J. Sampson (drawn by J. Jones),,31-35,,
7:46.0,,,31-35,,K. Irving enters the game for M. Dellavedova
7:46.0,,,31-35,,J. Smith enters the game for I. Shumpert
7:39.0,,,31-37,2,L. James makes 2-pt shot from 11 ft (assist by J. Smith)
7:15.0,I. Canaan makes 3-pt shot from 25 ft,3,34-37,,
6:55.0,,,34-39,2,K. Irving makes 2-pt shot from 13 ft
6:42.0,N. Noel misses 2-pt shot from 4 ft,,34-39,,
6:38.0,,,34-39,,Defensive rebound by T. Thompson
6:30.0,,,34-39,,L. James misses 2-pt shot from 2 ft
6:28.0,,,34-39,,Offensive rebound by T. Thompson
6:28.0,,,34-39,,T. Thompson misses 2-pt shot from 1 ft
6:26.0,Defensive rebound by N. Noel,,34-39,,
6:22.0,J. Sampson makes 3-pt shot from 25 ft (assist by I. Canaan),3,37-39,,
6:08.0,Personal foul by H. Thompson (drawn by L. James),,37-39,,
6:08.0,R. Covington enters the game for J. Sampson,,37-39,,
6:08.0,,,37-39,,K. Love enters the game for J. Jones
5:53.0,,,37-39,,K. Irving misses 2-pt shot from 3 ft
5:51.0,Defensive rebound by F. Aldemir,,37-39,,
5:47.0,Turnover by I. Canaan (bad pass),,37-39,,
5:47.0,Official timeout,,37-39,,
5:47.0,,,37-39,,I. Shumpert enters the game for L. James
5:47.0,,,37-39,,T. Mozgov enters the game for T. Thompson
5:47.0,I. Smith enters the game for I. Canaan,,37-39,,
5:47.0,J. Grant enters the game for H. Thompson,,37-39,,
5:35.0,,,37-42,3,K. Love makes 3-pt shot from 25 ft (assist by T. Mozgov)
5:20.0,J. Grant misses 2-pt shot from 20 ft,,37-42,,
5:18.0,,,37-42,,Defensive rebound by I. Shumpert
5:04.0,Personal foul by J. Grant (drawn by I. Shumpert),,37-42,,
5:04.0,,,37-42,,I. Shumpert misses free throw 1 of 2
5:04.0,,,37-42,,Offensive rebound by Team
5:04.0,,,37-43,1,I. Shumpert makes free throw 2 of 2
4:52.0,Turnover by I. Smith (lost ball; steal by K. Irving),,37-43,,
4:49.0,,,37-43,,Shooting foul by R. Covington (drawn by I. Shumpert)
4:49.0,,,37-44,1,I. Shumpert makes free throw 1 of 2
4:49.0,,,37-45,1,I. Shumpert makes free throw 2 of 2
4:36.0,Turnover by J. Grant (bad pass; steal by I. Shumpert),,37-45,,
4:30.0,,,37-45,,I. Shumpert misses 2-pt shot at rim
4:29.0,Defensive rebound by R. Covington,,37-45,,
4:24.0,R. Covington misses 3-pt shot from 24 ft,,37-45,,
4:23.0,Offensive rebound by F. Aldemir,,37-45,,
4:23.0,Shooting foul by K. Love (drawn by F. Aldemir),,37-45,,
4:23.0,F. Aldemir misses free throw 1 of 2,,37-45,,
4:23.0,Offensive rebound by Team,,37-45,,
4:23.0,,,37-45,,M. Dellavedova enters the game for I. Shumpert
4:23.0,F. Aldemir makes free throw 2 of 2,1,38-45,,
4:12.0,,,38-47,2,T. Mozgov makes 2-pt shot at rim (assist by K. Irving)
3:44.0,Turnover by R. Covington (bad pass),,38-47,,
3:37.0,,,38-47,,K. Irving misses 2-pt shot from 10 ft
3:36.0,Defensive rebound by N. Noel,,38-47,,
3:23.0,J. Grant misses 2-pt shot from 16 ft,,38-47,,
3:22.0,Offensive rebound by F. Aldemir,,38-47,,
3:18.0,F. Aldemir makes 2-pt shot at rim,2,40-47,,
2:59.0,,,40-47,,K. Irving misses 2-pt shot from 17 ft
2:58.0,Defensive rebound by I. Smith,,40-47,,
2:56.0,,,40-47,,Personal foul by M. Dellavedova (drawn by I. Smith)
2:56.0,,,40-47,,Cleveland full timeout
2:56.0,,,40-47,,L. James enters the game for M. Dellavedova
2:44.0,N. Noel misses 2-pt shot from 5 ft,,40-47,,
2:44.0,,,40-47,,Defensive rebound by Team
2:29.0,,,40-49,2,T. Mozgov makes 2-pt shot from 9 ft (assist by L. James)
2:07.0,N. Noel misses 2-pt shot from 15 ft,,40-49,,
2:05.0,,,40-49,,Defensive rebound by L. James
1:59.0,,,40-51,2,T. Mozgov makes 2-pt shot at rim (assist by L. James)
1:54.0,I. Smith makes 2-pt shot at rim,2,42-51,,
1:54.0,Shooting foul by T. Mozgov (drawn by I. Smith),,42-51,,
1:54.0,I. Smith makes free throw 1 of 1,1,43-51,,
1:42.0,,,43-51,,Shooting foul by N. Noel (drawn by T. Mozgov)
1:42.0,,,43-52,1,T. Mozgov makes free throw 1 of 2
1:42.0,L. Mbah a Moute enters the game for N. Noel,,43-52,,
1:42.0,,,43-53,1,T. Mozgov makes free throw 2 of 2
1:30.0,I. Smith misses 2-pt shot from 6 ft,,43-53,,
1:29.0,Offensive rebound by F. Aldemir,,43-53,,
1:11.0,I. Smith makes 2-pt shot at rim (assist by L. Mbah a Moute),2,45-53,,
0:58.0,,,45-53,,Offensive foul by T. Mozgov
0:58.0,,,45-53,,Turnover by T. Mozgov (offensive foul)
0:58.0,Philadelphia full timeout,,45-53,,
0:58.0,,,45-53,,T. Thompson enters the game for T. Mozgov
0:58.0,H. Thompson enters the game for J. Grant,,45-53,,
0:46.0,R. Covington misses 3-pt shot from 23 ft,,45-53,,
0:44.0,,,45-53,,Defensive rebound by K. Love
0:38.0,,,45-53,,L. James misses 3-pt shot from 26 ft
0:37.0,Defensive rebound by I. Smith,,45-53,,
0:30.0,R. Covington misses 2-pt shot from 1 ft,,45-53,,
0:28.0,,,45-53,,Defensive rebound by K. Irving
0:25.0,,,45-53,,Turnover by K. Irving (bad pass; steal by L. Mbah a Moute)
0:05.0,L. Mbah a Moute misses 2-pt shot from 18 ft,,45-53,,
0:04.0,,,45-53,,Defensive rebound by L. James
0:00.0,,,45-53,,L. James misses 3-pt shot from 25 ft
0:00.0,,,45-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,45-53,,T. Mozgov misses 2-pt shot from 17 ft
11:39.0,Defensive rebound by N. Noel,,45-53,,
11:31.0,F. Aldemir makes 2-pt shot at rim (assist by N. Noel),2,47-53,,
11:07.0,,,47-55,2,L. James makes 2-pt shot at rim (assist by K. Irving)
10:48.0,I. Smith makes 2-pt shot at rim,2,49-55,,
10:33.0,,,49-55,,K. Love misses 3-pt shot from 25 ft
10:32.0,Defensive rebound by J. Grant,,49-55,,
10:22.0,N. Noel misses 2-pt shot from 6 ft,,49-55,,
10:20.0,Offensive rebound by F. Aldemir,,49-55,,
10:17.0,F. Aldemir makes 2-pt shot at rim,2,51-55,,
9:56.0,,,51-55,,Shooting foul by R. Covington (drawn by L. James)
9:56.0,,,51-55,,L. James misses free throw 1 of 2
9:56.0,,,51-55,,Offensive rebound by Team
9:56.0,,,51-56,1,L. James makes free throw 2 of 2
9:40.0,N. Noel misses 2-pt shot from 1 ft,,51-56,,
9:38.0,Offensive rebound by F. Aldemir,,51-56,,
9:38.0,F. Aldemir makes 2-pt shot from 1 ft,2,53-56,,
9:25.0,,,53-56,,K. Irving misses 2-pt shot from 19 ft
9:24.0,Defensive rebound by I. Smith,,53-56,,
9:15.0,R. Covington makes 3-pt shot from 23 ft (assist by I. Smith),3,56-56,,
9:15.0,,,56-56,,Cleveland full timeout
8:51.0,,,56-56,,K. Love misses 2-pt shot from 6 ft
8:50.0,Defensive rebound by N. Noel,,56-56,,
8:36.0,I. Smith misses 2-pt shot from 8 ft,,56-56,,
8:35.0,,,56-56,,Defensive rebound by Team
8:12.0,,,56-56,,L. James misses 2-pt shot from 17 ft
8:10.0,,,56-56,,Offensive rebound by J. Smith
8:02.0,,,56-59,3,K. Irving makes 3-pt shot from 25 ft (assist by K. Love)
7:50.0,R. Covington misses 3-pt shot from 25 ft,,56-59,,
7:49.0,,,56-59,,Defensive rebound by L. James
7:43.0,,,56-59,,Turnover by L. James (traveling)
7:25.0,J. Grant misses 3-pt shot from 23 ft,,56-59,,
7:23.0,,,56-59,,Defensive rebound by L. James
7:15.0,,,56-59,,K. Love misses 3-pt shot from 25 ft
7:14.0,Defensive rebound by R. Covington,,56-59,,
6:50.0,F. Aldemir misses 3-pt shot from 24 ft,,56-59,,
6:49.0,,,56-59,,Defensive rebound by L. James
6:26.0,,,56-62,3,K. Love makes 3-pt shot from 24 ft (assist by J. Smith)
6:26.0,Philadelphia full timeout,,56-62,,
6:05.0,J. Grant misses 3-pt shot from 25 ft,,56-62,,
6:04.0,,,56-62,,Defensive rebound by Team
6:04.0,Loose ball foul by R. Covington (drawn by K. Irving),,56-62,,
6:04.0,H. Thompson enters the game for J. Grant,,56-62,,
5:57.0,,,56-62,,Turnover by K. Irving (bad pass; steal by N. Noel)
5:51.0,N. Noel makes 2-pt shot at rim (assist by I. Smith),2,58-62,,
5:35.0,,,58-62,,Turnover by K. Irving (bad pass)
5:20.0,,,58-62,,T. Thompson enters the game for T. Mozgov
5:12.0,Turnover by I. Smith (lost ball; steal by K. Irving),,58-62,,
4:53.0,,,58-62,,Turnover by L. James (bad pass; steal by N. Noel)
4:51.0,Turnover by N. Noel (bad pass),,58-62,,
4:45.0,Personal foul by F. Aldemir (drawn by T. Thompson),,58-62,,
4:38.0,,,58-64,2,L. James makes 2-pt shot from 20 ft
4:18.0,R. Covington makes 2-pt shot from 1 ft,2,60-64,,
4:10.0,,,60-64,,Turnover by L. James (lost ball)
4:10.0,H. Sims enters the game for F. Aldemir,,60-64,,
4:10.0,I. Canaan enters the game for I. Smith,,60-64,,
4:00.0,R. Covington makes 3-pt shot from 25 ft (assist by I. Canaan),3,63-64,,
3:45.0,,,63-64,,K. Irving misses 2-pt shot from 19 ft
3:44.0,Defensive rebound by N. Noel,,63-64,,
3:25.0,I. Canaan misses 3-pt shot from 27 ft,,63-64,,
3:24.0,,,63-64,,Defensive rebound by K. Love
3:15.0,Personal foul by R. Covington (drawn by L. James),,63-64,,
3:15.0,L. Mbah a Moute enters the game for N. Noel,,63-64,,
3:15.0,,,63-64,,S. Marion enters the game for L. James
3:15.0,J. Sampson enters the game for R. Covington,,63-64,,
3:04.0,,,63-64,,J. Smith misses 3-pt shot from 24 ft
3:03.0,,,63-64,,Offensive rebound by T. Thompson
2:53.0,,,63-64,,Shooting foul by H. Sims (drawn by K. Irving)
2:53.0,,,63-65,1,K. Irving makes free throw 1 of 2
2:53.0,,,63-65,,K. Irving misses free throw 2 of 2
2:53.0,Defensive rebound by J. Sampson,,63-65,,
2:39.0,,,63-65,,Personal foul by S. Marion (drawn by I. Canaan)
2:39.0,I. Smith enters the game for I. Canaan,,63-65,,
2:30.0,H. Thompson misses 2-pt shot from 19 ft,,63-65,,
2:29.0,Offensive rebound by H. Sims,,63-65,,
2:29.0,Turnover by H. Sims (lost ball; steal by K. Love),,63-65,,
2:17.0,,,63-65,,J. Smith misses 3-pt shot from 28 ft
2:16.0,,,63-65,,Offensive rebound by S. Marion
2:09.0,,,63-67,2,K. Irving makes 2-pt shot at rim (assist by S. Marion)
2:09.0,,,63-67,,Shooting foul by H. Sims (drawn by K. Irving)
2:09.0,,,63-68,1,K. Irving makes free throw 1 of 1
1:52.0,H. Thompson makes 2-pt shot from 10 ft (assist by I. Smith),2,65-68,,
1:38.0,,,65-70,2,K. Irving makes 2-pt shot at rim
1:24.0,J. Sampson makes 2-pt shot from 9 ft,2,67-70,,
1:09.0,,,67-70,,K. Irving misses 2-pt shot from 1 ft
1:09.0,,,67-70,,Offensive rebound by T. Thompson
1:09.0,,,67-70,,Shooting foul by H. Sims (drawn by T. Thompson)
1:09.0,,,67-71,1,T. Thompson makes free throw 1 of 2
1:09.0,,,67-71,,T. Mozgov enters the game for K. Love
1:09.0,I. Canaan enters the game for I. Smith,,67-71,,
1:09.0,,,67-71,,M. Dellavedova enters the game for K. Irving
1:09.0,,,67-72,1,T. Thompson makes free throw 2 of 2
0:59.0,J. Sampson makes 2-pt shot from 7 ft,2,69-72,,
0:46.0,,,69-72,,Turnover by S. Marion (lost ball; steal by H. Thompson)
0:31.0,H. Sims misses 2-pt shot from 8 ft,,69-72,,
0:30.0,,,69-72,,Defensive rebound by S. Marion
0:10.0,,,69-72,,T. Mozgov misses 2-pt shot from 17 ft
0:09.0,,,69-72,,Offensive rebound by M. Dellavedova
0:03.0,,,69-72,,Turnover by S. Marion (bad pass; steal by H. Thompson)
0:00.0,I. Canaan misses 3-pt shot from 38 ft,,69-72,,
0:00.0,Offensive rebound by Team,,69-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,I. Canaan makes 3-pt shot from 25 ft (assist by J. Sampson),3,72-72,,
11:27.0,,,72-74,2,T. Mozgov makes 2-pt shot at rim (assist by L. James)
11:04.0,I. Canaan misses 2-pt shot from 1 ft,,72-74,,
11:03.0,,,72-74,,Defensive rebound by T. Mozgov
11:03.0,Personal foul by I. Canaan (drawn by T. Mozgov),,72-74,,
10:54.0,,,72-74,,L. James misses 2-pt shot from 5 ft
10:50.0,,,72-74,,Offensive rebound by T. Mozgov
10:45.0,,,72-74,,L. James misses 3-pt shot from 26 ft
10:44.0,,,72-74,,Offensive rebound by S. Marion
10:43.0,,,72-76,2,S. Marion makes 2-pt shot at rim
10:36.0,L. Mbah a Moute makes 3-pt shot from 25 ft (assist by I. Canaan),3,75-76,,
10:23.0,,,75-78,2,L. James makes 2-pt shot at rim
10:11.0,Shooting foul by T. Mozgov (drawn by H. Sims),,75-78,,
10:11.0,H. Sims makes free throw 1 of 2,1,76-78,,
10:11.0,H. Sims misses free throw 2 of 2,,76-78,,
10:09.0,,,76-78,,Defensive rebound by T. Mozgov
9:53.0,,,76-78,,Turnover by L. James (bad pass; steal by I. Canaan)
9:45.0,H. Thompson misses 3-pt shot from 24 ft,,76-78,,
9:44.0,Offensive rebound by H. Sims,,76-78,,
9:40.0,H. Sims makes 2-pt shot from 4 ft,2,78-78,,
9:21.0,,,78-78,,M. Dellavedova misses 3-pt shot from 28 ft
9:19.0,Defensive rebound by J. Sampson,,78-78,,
9:08.0,I. Canaan misses 2-pt shot from 4 ft,,78-78,,
9:07.0,,,78-78,,Defensive rebound by T. Mozgov
8:58.0,,,78-78,,T. Thompson misses 2-pt shot from 7 ft
8:57.0,Defensive rebound by I. Canaan,,78-78,,
8:57.0,,,78-78,,Personal foul by M. Dellavedova (drawn by I. Canaan)
8:57.0,Official timeout,,78-78,,
8:57.0,N. Noel enters the game for H. Sims,,78-78,,
8:57.0,,,78-78,,K. Irving enters the game for T. Thompson
8:57.0,,,78-78,,K. Love enters the game for S. Marion
8:40.0,I. Canaan misses 3-pt shot from 25 ft,,78-78,,
8:39.0,,,78-78,,Defensive rebound by K. Love
8:22.0,,,78-78,,K. Irving misses 3-pt shot from 24 ft
8:21.0,Defensive rebound by N. Noel,,78-78,,
8:11.0,Turnover by I. Canaan (bad pass; steal by K. Love),,78-78,,
8:05.0,,,78-78,,L. James misses 2-pt shot from 3 ft
8:03.0,,,78-78,,Offensive rebound by L. James
8:03.0,,,78-78,,L. James misses 2-pt shot from 1 ft
8:01.0,,,78-78,,Offensive rebound by L. James
8:01.0,,,78-80,2,L. James makes 2-pt shot at rim
7:34.0,I. Canaan misses 3-pt shot from 29 ft,,78-80,,
7:33.0,,,78-80,,Defensive rebound by K. Love
7:16.0,,,78-80,,K. Love misses 2-pt shot from 1 ft
7:15.0,Defensive rebound by N. Noel,,78-80,,
7:05.0,J. Sampson misses 3-pt shot from 24 ft,,78-80,,
7:04.0,,,78-80,,Defensive rebound by M. Dellavedova
6:58.0,,,78-80,,Cleveland full timeout
6:58.0,,,78-80,,J. Smith enters the game for K. Love
6:58.0,J. Grant enters the game for J. Sampson,,78-80,,
6:58.0,R. Covington enters the game for H. Thompson,,78-80,,
6:48.0,,,78-80,,K. Irving misses 2-pt shot from 6 ft
6:44.0,,,78-80,,Offensive rebound by T. Mozgov
6:40.0,,,78-80,,M. Dellavedova misses 3-pt shot from 26 ft
6:39.0,Defensive rebound by J. Grant,,78-80,,
6:18.0,Shooting foul by J. Smith (drawn by L. Mbah a Moute),,78-80,,
6:18.0,L. Mbah a Moute makes free throw 1 of 2,1,79-80,,
6:18.0,L. Mbah a Moute misses free throw 2 of 2,,79-80,,
6:17.0,,,79-80,,Defensive rebound by L. James
6:02.0,Personal foul by R. Covington (drawn by L. James),,79-80,,
6:02.0,I. Smith enters the game for I. Canaan,,79-80,,
5:47.0,,,79-80,,L. James misses 2-pt shot from 20 ft
5:44.0,Defensive rebound by N. Noel,,79-80,,
5:39.0,L. Mbah a Moute misses 2-pt shot from 2 ft (block by L. James),,79-80,,
5:38.0,,,79-80,,Defensive rebound by T. Mozgov
5:31.0,,,79-83,3,J. Smith makes 3-pt shot from 25 ft (assist by L. James)
5:09.0,I. Smith misses 3-pt shot from 26 ft,,79-83,,
5:08.0,Offensive rebound by N. Noel,,79-83,,
4:59.0,R. Covington makes 2-pt shot at rim (assist by N. Noel),2,81-83,,
4:43.0,,,81-85,2,K. Irving makes 2-pt shot from 17 ft
4:29.0,Shooting foul by T. Mozgov (drawn by J. Grant),,81-85,,
4:29.0,J. Grant makes free throw 1 of 2,1,82-85,,
4:29.0,J. Grant makes free throw 2 of 2,1,83-85,,
4:07.0,,,83-85,,L. James misses 2-pt shot from 1 ft
4:04.0,,,83-85,,Offensive rebound by T. Mozgov
4:04.0,,,83-87,2,T. Mozgov makes 2-pt shot at rim
3:57.0,R. Covington makes 3-pt shot from 24 ft (assist by I. Smith),3,86-87,,
3:38.0,Personal foul by J. Grant (drawn by K. Irving),,86-87,,
3:26.0,,,86-87,,J. Smith misses 3-pt shot from 26 ft
3:25.0,Defensive rebound by L. Mbah a Moute,,86-87,,
3:18.0,Philadelphia full timeout,,86-87,,
3:05.0,Shooting foul by K. Irving (drawn by J. Grant),,86-87,,
3:05.0,J. Grant misses free throw 1 of 2,,86-87,,
3:05.0,Offensive rebound by Team,,86-87,,
3:05.0,J. Grant misses free throw 2 of 2,,86-87,,
3:03.0,,,86-87,,Defensive rebound by L. James
2:49.0,,,86-87,,Turnover by K. Irving (bad pass)
2:49.0,H. Thompson enters the game for J. Grant,,86-87,,
2:36.0,I. Smith misses 2-pt shot from 4 ft,,86-87,,
2:33.0,,,86-87,,Defensive rebound by L. James
2:19.0,,,86-87,,L. James misses 2-pt shot from 8 ft
2:16.0,Defensive rebound by N. Noel,,86-87,,
2:11.0,I. Smith misses 2-pt shot from 1 ft,,86-87,,
2:09.0,,,86-87,,Defensive rebound by T. Mozgov
1:50.0,,,86-87,,L. James misses 2-pt shot from 2 ft
1:48.0,Defensive rebound by H. Thompson,,86-87,,
1:30.0,Philadelphia full timeout,,86-87,,
1:30.0,,,86-87,,T. Thompson enters the game for T. Mozgov
