time,Sacramento,pts.away,score,pts.home,New Orleans
5:28.0,,,11-8,,Shooting foul by R. McCallum (drawn by T. Evans)
5:28.0,,,11-8,,New Orleans full timeout
5:28.0,,,11-9,1,T. Evans makes free throw 1 of 1
5:06.0,R. Gay misses 2-pt shot from 5 ft,,11-9,,
5:05.0,Offensive rebound by D. Cousins,,11-9,,
4:48.0,R. Gay makes 2-pt shot from 2 ft (assist by O. Casspi),2,13-9,,
4:30.0,,,13-11,2,D. Cunningham makes 2-pt shot from 21 ft (assist by T. Evans)
4:07.0,D. Cousins makes 2-pt shot from 16 ft (assist by O. Casspi),2,15-11,,
3:52.0,,,15-11,,T. Evans misses 2-pt shot from 7 ft
3:51.0,,,15-11,,Offensive rebound by T. Evans
3:47.0,,,15-11,,D. Cunningham misses 2-pt shot from 18 ft
3:46.0,Defensive rebound by D. Cousins,,15-11,,
3:36.0,B. McLemore misses 2-pt shot from 2 ft (block by D. Cunningham),,15-11,,
3:33.0,,,15-11,,Defensive rebound by Q. Pondexter
3:27.0,,,15-13,2,Q. Pondexter makes 2-pt shot at rim
3:10.0,D. Cousins makes 2-pt shot from 21 ft (assist by R. McCallum),2,17-13,,
2:49.0,,,17-13,,T. Evans misses 2-pt shot from 3 ft
2:48.0,Defensive rebound by B. McLemore,,17-13,,
2:42.0,O. Casspi misses 2-pt shot from 4 ft (block by A. Davis),,17-13,,
2:41.0,,,17-13,,Defensive rebound by D. Cunningham
2:30.0,,,17-15,2,A. Davis makes 2-pt shot from 1 ft (assist by T. Evans)
2:18.0,Turnover by R. McCallum (bad pass),,17-15,,
2:18.0,Sacramento full timeout,,17-15,,
2:18.0,J. Thompson enters the game for O. Casspi,,17-15,,
2:18.0,D. Williams enters the game for R. Gay,,17-15,,
2:18.0,N. Stauskas enters the game for B. McLemore,,17-15,,
2:18.0,,,17-15,,N. Cole enters the game for Q. Pondexter
2:18.0,,,17-15,,A. Ajinca enters the game for O. Asik
2:03.0,,,17-15,,A. Davis misses 2-pt shot from 4 ft
2:02.0,Defensive rebound by N. Stauskas,,17-15,,
1:51.0,D. Cousins makes 2-pt shot from 16 ft,2,19-15,,
1:23.0,,,19-15,,A. Davis misses 2-pt shot from 17 ft
1:22.0,,,19-15,,Offensive rebound by A. Ajinca
1:09.0,,,19-17,2,T. Evans makes 2-pt shot from 20 ft
0:50.0,Shooting foul by A. Ajinca (drawn by D. Cousins),,19-17,,
0:50.0,D. Cousins misses free throw 1 of 2,,19-17,,
0:50.0,Offensive rebound by Team,,19-17,,
0:50.0,A. Miller enters the game for R. McCallum,,19-17,,
0:50.0,D. Cousins makes free throw 2 of 2,1,20-17,,
0:44.0,,,20-17,,A. Davis misses 2-pt shot from 15 ft
0:35.0,,,20-17,,Offensive rebound by A. Ajinca
0:35.0,,,20-17,,A. Davis misses 2-pt shot from 9 ft
0:22.0,Defensive rebound by J. Thompson,,20-17,,
0:14.0,Turnover by A. Miller (bad pass),,20-17,,
0:10.0,Personal foul by A. Miller (drawn by T. Evans),,20-17,,
0:00.0,Personal foul by N. Stauskas (drawn by T. Evans),,20-17,,
0:00.0,,,20-18,1,T. Evans makes free throw 1 of 2
0:00.0,,,20-18,,T. Evans misses free throw 2 of 2
0:00.0,,,20-18,,Offensive rebound by A. Davis
0:00.0,,,20-18,,A. Davis misses 2-pt shot from 1 ft
0:00.0,,,20-18,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,D. Cousins misses 2-pt shot from 5 ft,,20-18,,
11:37.0,,,20-18,,Defensive rebound by T. Douglas
11:16.0,,,20-20,2,A. Davis makes 2-pt shot from 4 ft (assist by N. Cole)
10:55.0,N. Stauskas makes 3-pt shot from 24 ft,3,23-20,,
10:36.0,,,23-23,3,N. Cole makes 3-pt shot from 26 ft (assist by D. Cunningham)
10:18.0,N. Stauskas misses 2-pt shot from 9 ft,,23-23,,
10:18.0,Offensive rebound by Team,,23-23,,
10:18.0,,,23-23,,Personal foul by A. Ajinca (drawn by D. Cousins)
10:18.0,R. Evans enters the game for D. Cousins,,23-23,,
10:05.0,A. Miller misses 2-pt shot from 4 ft,,23-23,,
10:04.0,,,23-23,,Defensive rebound by A. Davis
9:57.0,,,23-23,,N. Cole misses 2-pt shot from 2 ft
9:56.0,,,23-23,,Offensive rebound by A. Ajinca
9:56.0,,,23-25,2,A. Ajinca makes 2-pt shot at rim
9:35.0,D. Williams makes 3-pt shot from 25 ft (assist by N. Stauskas),3,26-25,,
9:17.0,,,26-25,,A. Davis misses 2-pt shot from 4 ft
9:16.0,,,26-25,,Offensive rebound by A. Ajinca
9:16.0,,,26-27,2,A. Ajinca makes 2-pt shot from 2 ft
8:59.0,N. Stauskas misses 2-pt shot from 13 ft,,26-27,,
8:57.0,,,26-27,,Defensive rebound by A. Ajinca
8:39.0,,,26-29,2,N. Cole makes 2-pt shot from 19 ft
8:19.0,Turnover by A. Miller (bad pass; steal by A. Ajinca),,26-29,,
8:13.0,,,26-31,2,D. Cunningham makes 2-pt shot from 1 ft (assist by T. Douglas)
8:06.0,Sacramento full timeout,,26-31,,
8:06.0,R. Gay enters the game for N. Stauskas,,26-31,,
8:06.0,,,26-31,,O. Asik enters the game for A. Davis
8:06.0,,,26-31,,Q. Pondexter enters the game for A. Ajinca
7:57.0,D. Williams misses 2-pt shot from 3 ft,,26-31,,
7:56.0,,,26-31,,Defensive rebound by O. Asik
7:51.0,,,26-31,,T. Douglas misses 2-pt shot from 3 ft
7:47.0,Defensive rebound by J. Thompson,,26-31,,
7:44.0,A. Miller makes 2-pt shot from 1 ft (assist by D. Williams),2,28-31,,
7:17.0,,,28-31,,T. Douglas misses 3-pt shot from 25 ft
7:15.0,,,28-31,,Offensive rebound by O. Asik
6:51.0,,,28-34,3,Q. Pondexter makes 3-pt shot from 25 ft (assist by T. Douglas)
6:33.0,R. Gay makes 2-pt shot from 18 ft,2,30-34,,
6:11.0,,,30-36,2,Q. Pondexter makes 2-pt shot from 3 ft
5:55.0,D. Williams misses 2-pt shot from 1 ft,,30-36,,
5:53.0,,,30-36,,Defensive rebound by O. Asik
5:42.0,,,30-36,,Turnover by O. Asik (bad pass)
5:42.0,Official timeout,,30-36,,
5:42.0,,,30-36,,L. Babbitt enters the game for T. Douglas
5:40.0,B. McLemore enters the game for R. Evans,,30-36,,
5:21.0,B. McLemore misses 2-pt shot from 17 ft,,30-36,,
5:19.0,,,30-36,,Defensive rebound by N. Cole
5:04.0,,,30-36,,Q. Pondexter misses 2-pt shot from 9 ft (block by R. Gay)
5:04.0,,,30-36,,Offensive rebound by Team
5:04.0,R. McCallum enters the game for A. Miller,,30-36,,
5:04.0,D. Cousins enters the game for J. Thompson,,30-36,,
4:58.0,,,30-36,,L. Babbitt misses 2-pt shot from 13 ft
4:56.0,,,30-36,,Offensive rebound by L. Babbitt
4:42.0,,,30-38,2,O. Asik makes 2-pt shot at rim (assist by Q. Pondexter)
4:19.0,D. Cousins makes 2-pt shot from 15 ft,2,32-38,,
4:00.0,,,32-38,,L. Babbitt misses 2-pt shot from 4 ft
3:59.0,,,32-38,,Offensive rebound by O. Asik
3:59.0,,,32-38,,Shooting foul by D. Cousins (drawn by O. Asik)
3:59.0,,,32-39,1,O. Asik makes free throw 1 of 2
3:59.0,O. Casspi enters the game for D. Williams,,32-39,,
3:59.0,,,32-40,1,O. Asik makes free throw 2 of 2
3:34.0,R. McCallum misses 2-pt shot from 16 ft,,32-40,,
3:33.0,,,32-40,,Defensive rebound by O. Asik
3:21.0,,,32-40,,Q. Pondexter misses 3-pt shot from 25 ft
3:21.0,Defensive rebound by D. Cousins,,32-40,,
3:13.0,,,32-40,,Personal foul by Q. Pondexter (drawn by R. Gay)
3:13.0,,,32-40,,A. Davis enters the game for L. Babbitt
3:13.0,,,32-40,,T. Evans enters the game for N. Cole
3:08.0,R. Gay misses 3-pt shot from 25 ft,,32-40,,
3:07.0,,,32-40,,Defensive rebound by O. Asik
2:51.0,,,32-40,,A. Davis misses 2-pt shot from 6 ft
2:50.0,Defensive rebound by D. Cousins,,32-40,,
2:40.0,R. Gay misses 2-pt shot from 2 ft (block by A. Davis),,32-40,,
2:40.0,Offensive rebound by Team,,32-40,,
2:40.0,Shooting foul by T. Evans (drawn by D. Cousins),,32-40,,
2:40.0,,,32-40,,New Orleans full timeout
2:40.0,,,32-40,,E. Gordon enters the game for D. Cunningham
2:40.0,D. Cousins makes free throw 1 of 2,1,33-40,,
2:40.0,D. Cousins makes free throw 2 of 2,1,34-40,,
2:25.0,,,34-43,3,Q. Pondexter makes 3-pt shot from 23 ft (assist by T. Evans)
2:17.0,D. Cousins makes 2-pt shot from 2 ft,2,36-43,,
2:02.0,,,36-46,3,T. Evans makes 3-pt shot from 24 ft (assist by A. Davis)
1:42.0,D. Cousins misses 2-pt shot from 17 ft,,36-46,,
1:41.0,,,36-46,,Defensive rebound by T. Evans
1:31.0,,,36-46,,Turnover by T. Evans (back court)
1:11.0,R. Gay makes 2-pt shot from 19 ft,2,38-46,,
0:51.0,,,38-46,,A. Davis misses 2-pt shot from 3 ft
0:49.0,,,38-46,,Offensive rebound by O. Asik
0:45.0,,,38-46,,T. Evans misses 3-pt shot from 26 ft
0:44.0,Defensive rebound by B. McLemore,,38-46,,
0:35.0,O. Casspi misses 2-pt shot from 1 ft,,38-46,,
0:34.0,Offensive rebound by D. Cousins,,38-46,,
0:34.0,D. Cousins makes 2-pt shot at rim,2,40-46,,
0:20.0,,,40-46,,E. Gordon misses 3-pt shot from 22 ft
0:19.0,Defensive rebound by R. McCallum,,40-46,,
0:06.0,,,40-46,,Personal foul by T. Evans (drawn by R. McCallum)
0:06.0,,,40-46,,N. Cole enters the game for E. Gordon
0:06.0,Sacramento full timeout,,40-46,,
0:06.0,,,40-46,,T. Douglas enters the game for T. Evans
0:01.0,D. Cousins makes 2-pt shot at rim,2,42-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,Offensive foul by D. Cousins,,42-46,,
11:50.0,Turnover by D. Cousins (offensive foul),,42-46,,
11:37.0,,,42-46,,Shooting foul by O. Casspi (drawn by A. Davis)
11:37.0,,,42-46,,A. Davis misses free throw 1 of 2
11:37.0,,,42-46,,Offensive rebound by Team
11:37.0,,,42-47,1,A. Davis makes free throw 2 of 2
11:23.0,O. Casspi makes 3-pt shot from 23 ft (assist by R. Gay),3,45-47,,
11:22.0,Technical foul by D. Cousins,,45-47,,
11:22.0,,,45-48,1,A. Davis makes technical free throw
11:04.0,,,45-48,,Turnover by E. Gordon (lost ball; steal by B. McLemore)
10:59.0,R. McCallum makes 2-pt shot from 1 ft (assist by B. McLemore),2,47-48,,
10:42.0,,,47-48,,Turnover by Q. Pondexter (bad pass; steal by R. Gay)
10:35.0,B. McLemore makes 3-pt shot from 24 ft (assist by D. Cousins),3,50-48,,
10:35.0,,,50-48,,New Orleans full timeout
10:18.0,,,50-48,,Turnover by Q. Pondexter (bad pass; steal by D. Cousins)
10:06.0,R. Gay makes 2-pt shot from 3 ft,2,52-48,,
9:42.0,,,52-50,2,T. Evans makes 2-pt shot from 1 ft
9:30.0,,,52-50,,Personal foul by E. Gordon (drawn by B. McLemore)
9:16.0,D. Cousins misses 2-pt shot from 3 ft (block by A. Davis),,52-50,,
9:14.0,Offensive rebound by R. Gay,,52-50,,
9:04.0,R. Gay makes 3-pt shot from 25 ft,3,55-50,,
8:44.0,,,55-52,2,T. Evans makes 2-pt shot from 21 ft
8:31.0,Shooting foul by T. Evans (drawn by R. Gay),,55-52,,
8:31.0,R. Gay makes free throw 1 of 2,1,56-52,,
8:31.0,R. Gay makes free throw 2 of 2,1,57-52,,
8:18.0,,,57-52,,Turnover by A. Davis (bad pass)
8:13.0,D. Cousins misses 2-pt shot from 6 ft,,57-52,,
8:11.0,,,57-52,,Defensive rebound by Q. Pondexter
8:10.0,Personal foul by O. Casspi (drawn by Q. Pondexter),,57-52,,
7:57.0,,,57-54,2,A. Davis makes 2-pt shot from 13 ft (assist by E. Gordon)
7:40.0,R. Gay misses 3-pt shot from 24 ft,,57-54,,
7:39.0,,,57-54,,Defensive rebound by Q. Pondexter
7:28.0,,,57-54,,E. Gordon misses 3-pt shot from 24 ft
7:27.0,,,57-54,,Offensive rebound by A. Davis
7:25.0,,,57-54,,A. Davis misses 2-pt shot from 2 ft (block by D. Cousins)
7:24.0,Defensive rebound by O. Casspi,,57-54,,
7:11.0,R. Gay misses 2-pt shot from 10 ft,,57-54,,
7:10.0,,,57-54,,Defensive rebound by A. Davis
7:02.0,,,57-57,3,Q. Pondexter makes 3-pt shot from 23 ft (assist by T. Evans)
6:37.0,O. Casspi misses 2-pt shot from 1 ft (block by O. Asik),,57-57,,
6:36.0,,,57-57,,Defensive rebound by O. Asik
6:30.0,,,57-60,3,Q. Pondexter makes 3-pt shot from 24 ft (assist by E. Gordon)
6:30.0,Sacramento full timeout,,57-60,,
6:08.0,O. Casspi makes 3-pt shot from 25 ft (assist by D. Cousins),3,60-60,,
5:52.0,,,60-60,,Q. Pondexter misses 3-pt shot from 24 ft
5:51.0,,,60-60,,Offensive rebound by Team
5:34.0,,,60-62,2,T. Evans makes 2-pt shot from 20 ft
5:16.0,D. Cousins misses 2-pt shot from 10 ft,,60-62,,
5:15.0,,,60-62,,Defensive rebound by O. Asik
5:09.0,,,60-64,2,A. Davis makes 2-pt shot at rim (assist by E. Gordon)
4:49.0,D. Cousins makes 2-pt shot at rim (assist by R. Gay),2,62-64,,
4:21.0,,,62-66,2,A. Davis makes 2-pt shot from 4 ft (assist by T. Evans)
4:08.0,R. McCallum misses 2-pt shot from 2 ft,,62-66,,
4:07.0,,,62-66,,Defensive rebound by A. Davis
3:58.0,N. Stauskas enters the game for B. McLemore,,62-66,,
3:50.0,,,62-66,,A. Davis misses 2-pt shot from 12 ft
3:50.0,Defensive rebound by Team,,62-66,,
3:50.0,,,62-66,,Loose ball foul by O. Asik (drawn by D. Cousins)
3:50.0,,,62-66,,N. Cole enters the game for E. Gordon
3:40.0,Shooting foul by A. Davis (drawn by R. Gay),,62-66,,
3:40.0,R. Gay makes free throw 1 of 2,1,63-66,,
3:40.0,,,63-66,,D. Cunningham enters the game for Q. Pondexter
3:40.0,R. Gay misses free throw 2 of 2,,63-66,,
3:39.0,,,63-66,,Defensive rebound by A. Davis
3:24.0,,,63-68,2,T. Evans makes 2-pt shot from 2 ft
3:08.0,Offensive foul by R. Gay,,63-68,,
3:08.0,Turnover by R. Gay (offensive foul),,63-68,,
2:55.0,,,63-70,2,T. Evans makes 2-pt shot from 20 ft
2:35.0,Turnover by D. Cousins (lost ball),,63-70,,
2:35.0,J. Thompson enters the game for R. Gay,,63-70,,
2:25.0,,,63-72,2,N. Cole makes 2-pt shot from 13 ft
2:09.0,D. Cousins misses 2-pt shot from 2 ft,,63-72,,
2:08.0,,,63-72,,Defensive rebound by D. Cunningham
1:54.0,A. Miller enters the game for R. McCallum,,63-72,,
1:54.0,D. Williams enters the game for O. Casspi,,63-72,,
1:44.0,,,63-74,2,A. Davis makes 2-pt shot from 19 ft (assist by N. Cole)
1:24.0,Turnover by N. Stauskas (bad pass; steal by T. Evans),,63-74,,
1:11.0,,,63-74,,T. Evans misses 2-pt shot from 21 ft
1:10.0,Defensive rebound by D. Cousins,,63-74,,
1:02.0,D. Williams misses 2-pt shot from 4 ft (block by A. Davis),,63-74,,
1:01.0,,,63-74,,Defensive rebound by D. Cunningham
0:54.0,Personal foul by A. Miller (drawn by O. Asik),,63-74,,
0:47.0,,,63-74,,N. Cole misses 2-pt shot from 17 ft
0:46.0,Defensive rebound by J. Thompson,,63-74,,
0:42.0,,,63-74,,Personal foul by A. Davis (drawn by D. Cousins)
0:42.0,D. Cousins misses free throw 1 of 2,,63-74,,
0:42.0,Offensive rebound by Team,,63-74,,
0:42.0,,,63-74,,T. Douglas enters the game for T. Evans
0:42.0,D. Cousins makes free throw 2 of 2,1,64-74,,
0:30.0,,,64-74,,Turnover by A. Davis (traveling)
0:30.0,,,64-74,,Violation by Team (delay of game)
0:11.0,D. Cousins makes 2-pt shot from 2 ft,2,66-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,66-74,,A. Davis misses 2-pt shot from 7 ft
11:38.0,Defensive rebound by D. Cousins,,66-74,,
11:14.0,A. Miller makes 2-pt shot from 2 ft,2,68-74,,
10:50.0,,,68-77,3,N. Cole makes 3-pt shot from 29 ft (assist by T. Douglas)
10:31.0,D. Cousins misses 2-pt shot from 3 ft (block by A. Ajinca),,68-77,,
10:29.0,,,68-77,,Defensive rebound by D. Cunningham
10:19.0,,,68-77,,A. Ajinca misses 2-pt shot from 6 ft
10:18.0,Defensive rebound by J. Thompson,,68-77,,
10:15.0,Shooting foul by D. Cunningham (drawn by D. Cousins),,68-77,,
10:15.0,D. Cousins misses free throw 1 of 2,,68-77,,
10:15.0,Offensive rebound by Team,,68-77,,
10:15.0,D. Cousins misses free throw 2 of 2,,68-77,,
10:14.0,,,68-77,,Defensive rebound by A. Ajinca
9:50.0,,,68-79,2,N. Cole makes 2-pt shot from 18 ft (assist by T. Douglas)
9:33.0,,,68-79,,Personal foul by A. Ajinca (drawn by D. Cousins)
9:33.0,R. Gay enters the game for D. Cousins,,68-79,,
9:26.0,N. Stauskas makes 2-pt shot from 1 ft,2,70-79,,
9:09.0,,,70-82,3,T. Douglas makes 3-pt shot from 24 ft (assist by A. Davis)
8:57.0,Official timeout,,70-82,,
8:57.0,,,70-82,,Q. Pondexter enters the game for A. Davis
8:52.0,Turnover by A. Miller (bad pass; steal by Q. Pondexter),,70-82,,
8:48.0,,,70-84,2,D. Cunningham makes 2-pt shot at rim (assist by T. Douglas)
8:31.0,R. Gay misses 2-pt shot from 21 ft,,70-84,,
8:30.0,,,70-84,,Defensive rebound by D. Cunningham
8:10.0,,,70-86,2,A. Ajinca makes 2-pt shot from 2 ft
7:54.0,A. Miller misses 3-pt shot from 25 ft,,70-86,,
7:53.0,,,70-86,,Defensive rebound by D. Cunningham
7:47.0,,,70-88,2,T. Douglas makes 2-pt shot from 1 ft
7:47.0,Sacramento full timeout,,70-88,,
7:47.0,D. Cousins enters the game for D. Williams,,70-88,,
7:47.0,R. McCallum enters the game for A. Miller,,70-88,,
7:26.0,D. Cousins misses 2-pt shot at rim,,70-88,,
7:25.0,Offensive rebound by D. Cousins,,70-88,,
7:25.0,D. Cousins makes 2-pt shot at rim,2,72-88,,
7:07.0,B. McLemore enters the game for N. Stauskas,,72-88,,
7:05.0,,,72-88,,Turnover by A. Ajinca (lost ball; steal by R. McCallum)
7:05.0,Jump ball: A. Ajinca vs. R. McCallum (J. Thompson gains possession),,,,Jump ball: A. Ajinca vs. R. McCallum (J. Thompson gains possession)
6:53.0,D. Cousins makes 2-pt shot from 3 ft,2,74-88,,
6:37.0,,,74-88,,D. Cunningham misses 2-pt shot from 16 ft
6:36.0,Defensive rebound by J. Thompson,,74-88,,
6:27.0,R. Gay misses 3-pt shot from 25 ft,,74-88,,
6:26.0,Offensive rebound by D. Cousins,,74-88,,
6:26.0,Shooting foul by A. Ajinca (drawn by D. Cousins),,74-88,,
6:26.0,D. Cousins misses free throw 1 of 2,,74-88,,
6:26.0,Offensive rebound by Team,,74-88,,
6:26.0,,,74-88,,A. Davis enters the game for D. Cunningham
6:26.0,,,74-88,,T. Evans enters the game for T. Douglas
6:26.0,D. Cousins makes free throw 2 of 2,1,75-88,,
6:14.0,,,75-88,,A. Davis misses 2-pt shot from 1 ft
6:13.0,,,75-88,,Offensive rebound by A. Ajinca
6:13.0,,,75-88,,A. Ajinca misses 2-pt shot from 1 ft
6:08.0,Defensive rebound by D. Cousins,,75-88,,
6:04.0,B. McLemore misses 3-pt shot from 26 ft,,75-88,,
6:03.0,Offensive rebound by R. Gay,,75-88,,
6:01.0,R. Gay makes 2-pt shot from 10 ft,2,77-88,,
6:01.0,,,77-88,,New Orleans full timeout
6:01.0,,,77-88,,O. Asik enters the game for A. Ajinca
5:46.0,,,77-90,2,A. Davis makes 2-pt shot from 13 ft (assist by T. Evans)
5:29.0,R. Gay makes 2-pt shot from 14 ft,2,79-90,,
5:08.0,,,79-92,2,A. Davis makes 2-pt shot from 6 ft (assist by T. Evans)
4:52.0,R. Gay misses 2-pt shot from 6 ft,,79-92,,
4:50.0,Offensive rebound by D. Cousins,,79-92,,
4:50.0,D. Cousins misses 2-pt shot from 2 ft,,79-92,,
4:49.0,Offensive rebound by D. Cousins,,79-92,,
4:41.0,B. McLemore misses 2-pt shot from 16 ft,,79-92,,
4:40.0,Offensive rebound by D. Cousins,,79-92,,
4:34.0,B. McLemore makes 3-pt shot from 27 ft,3,82-92,,
4:13.0,,,82-92,,N. Cole misses 3-pt shot from 25 ft
4:13.0,,,82-92,,Offensive rebound by Team
4:13.0,Personal foul by J. Thompson (drawn by N. Cole),,82-92,,
4:13.0,N. Stauskas enters the game for J. Thompson,,82-92,,
4:13.0,,,82-92,,E. Gordon enters the game for N. Cole
4:02.0,,,82-95,3,T. Evans makes 3-pt shot from 25 ft
3:42.0,D. Cousins makes 2-pt shot from 2 ft,2,84-95,,
3:27.0,,,84-95,,Shooting foul by B. McLemore (drawn by T. Evans)
3:27.0,,,84-96,1,T. Evans makes free throw 1 of 2
3:27.0,,,84-96,,T. Evans misses free throw 2 of 2
3:26.0,Defensive rebound by D. Cousins,,84-96,,
3:15.0,Turnover by R. Gay (bad pass),,84-96,,
2:55.0,,,84-98,2,E. Gordon makes 2-pt shot from 11 ft (assist by T. Evans)
2:33.0,R. Gay misses 2-pt shot from 12 ft (block by A. Davis),,84-98,,
2:32.0,,,84-98,,Defensive rebound by Q. Pondexter
2:32.0,Personal foul by R. Gay (drawn by A. Davis),,84-98,,
2:10.0,,,84-98,,Turnover by T. Evans (lost ball; steal by N. Stauskas)
2:08.0,Shooting foul by A. Davis (drawn by D. Cousins),,84-98,,
2:08.0,D. Cousins makes free throw 1 of 2,1,85-98,,
2:08.0,D. Cousins makes free throw 2 of 2,1,86-98,,
1:54.0,,,86-98,,O. Asik misses 2-pt shot from 2 ft
1:53.0,Defensive rebound by D. Cousins,,86-98,,
1:45.0,D. Cousins makes 2-pt shot from 2 ft (assist by R. McCallum),2,88-98,,
1:31.0,,,88-100,2,A. Davis makes 2-pt shot from 1 ft (assist by E. Gordon)
1:20.0,B. McLemore misses 2-pt shot from 3 ft,,88-100,,
1:19.0,,,88-100,,Defensive rebound by O. Asik
1:02.0,,,88-102,2,A. Davis makes 2-pt shot at rim (assist by T. Evans)
0:50.0,D. Cousins misses 2-pt shot from 18 ft,,88-102,,
0:49.0,,,88-102,,Defensive rebound by A. Davis
0:26.0,,,88-102,,Q. Pondexter misses 3-pt shot from 30 ft
0:25.0,Defensive rebound by D. Cousins,,88-102,,
0:24.0,Turnover by D. Cousins (lost ball; steal by A. Davis),,88-102,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
