time,Phoenix,pts.away,score,pts.home,LA Lakers
4:33.0,,,15-10,,Shooting foul by M. Morris (drawn by C. Boozer)
4:33.0,,,15-10,,C. Boozer misses free throw 1 of 2
4:33.0,,,15-10,,Offensive rebound by Team
4:33.0,,,15-10,,E. Davis enters the game for J. Hill
4:33.0,P. Tucker enters the game for M. Morris,,15-10,,
4:33.0,,,15-11,1,C. Boozer makes free throw 2 of 2
4:18.0,G. Dragic misses 2-pt shot from 10 ft,,15-11,,
4:14.0,Offensive rebound by G. Dragic,,15-11,,
4:07.0,I. Thomas misses 3-pt shot from 22 ft,,15-11,,
4:04.0,,,15-11,,Defensive rebound by C. Boozer
3:57.0,,,15-13,2,J. Lin makes 2-pt shot at rim
3:50.0,I. Thomas makes 2-pt shot from 1 ft,2,17-13,,
3:36.0,,,17-15,2,K. Bryant makes 2-pt shot from 6 ft (assist by C. Boozer)
3:13.0,M. Morris makes 2-pt shot from 13 ft (assist by P. Tucker),2,19-15,,
2:50.0,,,19-17,2,K. Bryant makes 2-pt shot from 18 ft (assist by C. Boozer)
2:40.0,G. Dragic makes 2-pt shot from 2 ft,2,21-17,,
2:40.0,Shooting foul by E. Davis (drawn by G. Dragic),,21-17,,
2:40.0,Phoenix full timeout,,21-17,,
2:40.0,,,21-17,,Violation by Team (delay of game)
2:40.0,,,21-17,,R. Price enters the game for W. Johnson
2:40.0,,,21-17,,W. Ellington enters the game for J. Lin
2:40.0,G. Dragic makes free throw 1 of 1,1,22-17,,
2:26.0,,,22-20,3,K. Bryant makes 3-pt shot from 25 ft (assist by C. Boozer)
2:09.0,I. Thomas makes 2-pt shot from 1 ft (assist by A. Len),2,24-20,,
1:56.0,,,24-20,,C. Boozer misses 2-pt shot from 9 ft
1:56.0,Defensive rebound by Team,,24-20,,
1:56.0,,,24-20,,R. Kelly enters the game for C. Boozer
1:41.0,M. Morris misses 3-pt shot from 25 ft,,24-20,,
1:39.0,,,24-20,,Defensive rebound by E. Davis
1:22.0,,,24-20,,K. Bryant misses 3-pt shot from 25 ft
1:20.0,Defensive rebound by A. Len,,24-20,,
1:14.0,I. Thomas misses 2-pt shot from 11 ft,,24-20,,
1:08.0,Offensive rebound by G. Dragic,,24-20,,
0:59.0,P. Tucker misses 3-pt shot from 22 ft,,24-20,,
0:57.0,,,24-20,,Defensive rebound by W. Ellington
0:47.0,,,24-22,2,W. Ellington makes 2-pt shot at rim
0:39.0,I. Thomas misses 2-pt shot from 2 ft (block by K. Bryant),,24-22,,
0:37.0,,,24-22,,Defensive rebound by E. Davis
0:26.0,,,24-22,,K. Bryant misses 2-pt shot from 7 ft (block by A. Len)
0:18.0,Defensive rebound by G. Dragic,,24-22,,
0:12.0,G. Dragic misses 2-pt shot from 4 ft (block by E. Davis),,24-22,,
0:12.0,Offensive rebound by Team,,24-22,,
0:11.0,Shooting foul by E. Davis (drawn by M. Morris),,24-22,,
0:11.0,M. Morris makes free throw 1 of 2,1,25-22,,
0:11.0,M. Morris makes free throw 2 of 2,1,26-22,,
0:11.0,Inbound foul by P. Tucker,,26-22,,
0:11.0,,,26-23,1,K. Bryant makes free throw 1 of 2
0:11.0,,,26-24,1,K. Bryant makes free throw 2 of 2
0:02.0,I. Thomas misses 2-pt shot from 14 ft,,26-24,,
0:00.0,Offensive rebound by Team,,26-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,26-24,,W. Ellington misses 2-pt shot from 16 ft
11:40.0,Defensive rebound by P. Tucker,,26-24,,
11:20.0,G. Green makes 2-pt shot from 12 ft,2,28-24,,
11:03.0,,,28-24,,E. Davis misses 2-pt shot from 1 ft
11:01.0,Defensive rebound by I. Thomas,,28-24,,
10:54.0,G. Green misses 3-pt shot from 24 ft,,28-24,,
10:53.0,,,28-24,,Defensive rebound by E. Davis
10:47.0,,,28-24,,R. Price misses 3-pt shot from 24 ft
10:45.0,Defensive rebound by A. Len,,28-24,,
10:35.0,A. Tolliver misses 2-pt shot from 2 ft (block by E. Davis),,28-24,,
10:35.0,Offensive rebound by Team,,28-24,,
10:23.0,G. Green misses 2-pt shot from 15 ft,,28-24,,
10:22.0,,,28-24,,Defensive rebound by W. Ellington
10:15.0,,,28-26,2,W. Ellington makes 2-pt shot from 16 ft
10:00.0,Shooting foul by R. Price (drawn by A. Len),,28-26,,
10:00.0,A. Len makes free throw 1 of 2,1,29-26,,
10:00.0,A. Len makes free throw 2 of 2,1,30-26,,
9:40.0,,,30-26,,R. Kelly misses 2-pt shot from 1 ft
9:39.0,,,30-26,,Offensive rebound by E. Davis
9:39.0,,,30-26,,E. Davis misses 2-pt shot from 1 ft
9:39.0,,,30-26,,Offensive rebound by E. Davis
9:39.0,,,30-26,,Shooting foul by G. Green (drawn by E. Davis)
9:39.0,,,30-26,,E. Davis misses free throw 1 of 2
9:39.0,,,30-26,,Offensive rebound by Team
9:39.0,,,30-26,,E. Davis misses free throw 2 of 2
9:37.0,Defensive rebound by A. Tolliver,,30-26,,
9:24.0,Turnover by A. Len (lost ball; steal by E. Davis),,30-26,,
9:17.0,,,30-26,,Turnover by W. Ellington (lost ball; steal by I. Thomas)
9:10.0,Shooting foul by R. Kelly (drawn by I. Thomas),,30-26,,
9:10.0,I. Thomas makes free throw 1 of 2,1,31-26,,
9:10.0,I. Thomas misses free throw 2 of 2,,31-26,,
9:09.0,,,31-26,,Defensive rebound by E. Davis
8:56.0,,,31-28,2,R. Kelly makes 2-pt shot from 11 ft (assist by W. Ellington)
8:35.0,I. Thomas misses 2-pt shot from 6 ft,,31-28,,
8:29.0,,,31-28,,Defensive rebound by W. Ellington
8:23.0,,,31-28,,W. Ellington misses 2-pt shot from 12 ft
8:19.0,Defensive rebound by A. Tolliver,,31-28,,
8:15.0,,,31-28,,Violation by E. Davis (kicked ball)
8:15.0,Official timeout,,31-28,,
8:15.0,,,31-28,,K. Bryant enters the game for E. Davis
8:15.0,,,31-28,,W. Johnson enters the game for W. Ellington
8:15.0,,,31-28,,J. Hill enters the game for J. Clarkson
8:01.0,A. Tolliver misses 3-pt shot from 25 ft,,31-28,,
7:59.0,Offensive rebound by A. Len,,31-28,,
7:54.0,Turnover by A. Len (bad pass; steal by W. Johnson),,31-28,,
7:39.0,Personal foul by A. Len (drawn by J. Hill),,31-28,,
7:26.0,,,31-28,,R. Price misses 3-pt shot from 24 ft
7:25.0,,,31-28,,Offensive rebound by J. Hill
7:19.0,,,31-28,,J. Hill misses 2-pt shot from 12 ft
7:18.0,Defensive rebound by P. Tucker,,31-28,,
7:11.0,P. Tucker misses 2-pt shot from 19 ft,,31-28,,
7:09.0,,,31-28,,Defensive rebound by K. Bryant
6:51.0,,,31-28,,Shooting foul by A. Len (drawn by J. Hill)
6:51.0,,,31-29,1,J. Hill makes free throw 1 of 2
6:51.0,,,31-29,,C. Boozer enters the game for R. Kelly
6:51.0,M. Plumlee enters the game for A. Len,,31-29,,
6:51.0,M. Morris enters the game for P. Tucker,,31-29,,
6:51.0,,,31-30,1,J. Hill makes free throw 2 of 2
6:41.0,A. Tolliver misses 2-pt shot from 2 ft (block by J. Hill),,31-30,,
6:40.0,Offensive rebound by Team,,31-30,,
6:40.0,,,31-30,,J. Lin enters the game for R. Price
6:35.0,G. Green misses 2-pt shot from 10 ft,,31-30,,
6:31.0,,,31-30,,Defensive rebound by K. Bryant
6:27.0,,,31-32,2,K. Bryant makes 2-pt shot from 12 ft
6:17.0,,,31-32,,Personal foul by C. Boozer (drawn by A. Tolliver)
6:06.0,M. Morris makes 2-pt shot at rim (assist by A. Tolliver),2,33-32,,
5:53.0,,,33-32,,K. Bryant misses 2-pt shot from 15 ft
5:51.0,Defensive rebound by M. Plumlee,,33-32,,
5:44.0,G. Green makes 3-pt shot from 25 ft (assist by I. Thomas),3,36-32,,
5:28.0,,,36-32,,Offensive charge foul by J. Lin
5:28.0,,,36-32,,Turnover by J. Lin (offensive foul)
5:28.0,,,36-32,,LA Lakers full timeout
5:07.0,M. Morris misses 2-pt shot from 16 ft,,36-32,,
5:04.0,,,36-32,,Defensive rebound by J. Hill
4:44.0,,,36-32,,C. Boozer misses 2-pt shot from 1 ft
4:40.0,Defensive rebound by M. Plumlee,,36-32,,
4:34.0,I. Thomas makes 2-pt shot at rim,2,38-32,,
4:21.0,,,38-32,,C. Boozer misses 2-pt shot from 1 ft (block by A. Tolliver)
4:21.0,,,38-32,,Offensive rebound by J. Hill
4:21.0,,,38-32,,Shooting foul by G. Green (drawn by J. Hill)
4:21.0,,,38-33,1,J. Hill makes free throw 1 of 2
4:21.0,,,38-34,1,J. Hill makes free throw 2 of 2
4:10.0,G. Green makes 2-pt shot at rim (assist by I. Thomas),2,40-34,,
3:58.0,,,40-34,,Turnover by J. Hill (lost ball; steal by M. Plumlee)
3:51.0,M. Plumlee makes 2-pt shot at rim,2,42-34,,
3:40.0,,,42-36,2,C. Boozer makes 2-pt shot at rim (assist by J. Lin)
3:31.0,,,42-36,,Personal foul by J. Lin (drawn by I. Thomas)
3:26.0,,,42-36,,Personal foul by J. Lin (drawn by I. Thomas)
3:26.0,I. Thomas makes free throw 1 of 2,1,43-36,,
3:26.0,M. Morris enters the game for A. Tolliver,,43-36,,
3:26.0,,,43-36,,R. Price enters the game for J. Lin
3:26.0,I. Thomas makes free throw 2 of 2,1,44-36,,
3:12.0,,,44-39,3,R. Price makes 3-pt shot from 23 ft (assist by J. Hill)
2:57.0,I. Thomas makes 2-pt shot from 1 ft (assist by M. Morris),2,46-39,,
2:47.0,,,46-42,3,K. Bryant makes 3-pt shot from 24 ft (assist by W. Johnson)
2:27.0,M. Morris misses 2-pt shot from 5 ft,,46-42,,
2:24.0,Offensive rebound by M. Morris,,46-42,,
2:18.0,M. Morris misses 2-pt shot from 13 ft,,46-42,,
2:17.0,Offensive rebound by G. Green,,46-42,,
2:14.0,G. Green makes 2-pt shot from 12 ft,2,48-42,,
1:58.0,,,48-42,,K. Bryant misses 2-pt shot from 3 ft (block by M. Plumlee)
1:58.0,,,48-42,,Offensive rebound by Team
1:58.0,Phoenix full timeout,,48-42,,
1:52.0,,,48-42,,Turnover by C. Boozer (lost ball; steal by I. Thomas)
1:48.0,I. Thomas makes 2-pt shot at rim,2,50-42,,
1:34.0,,,50-42,,Shooting foul by M. Morris (drawn by K. Bryant)
1:34.0,,,50-42,,K. Bryant misses free throw 1 of 2
1:34.0,,,50-42,,Offensive rebound by Team
1:34.0,G. Dragic enters the game for M. Morris,,50-42,,
1:34.0,,,50-43,1,K. Bryant makes free throw 2 of 2
1:19.0,G. Green makes 2-pt shot from 2 ft (assist by M. Morris),2,52-43,,
1:05.0,,,52-45,2,K. Bryant makes 2-pt shot at rim
0:51.0,G. Green makes 2-pt shot from 9 ft,2,54-45,,
0:41.0,Personal foul by I. Thomas (drawn by K. Bryant),,54-45,,
0:41.0,,,54-46,1,K. Bryant makes free throw 1 of 2
0:41.0,,,54-46,,K. Bryant misses free throw 2 of 2
0:40.0,Defensive rebound by G. Green,,54-46,,
0:32.0,Shooting foul by W. Johnson (drawn by G. Dragic),,54-46,,
0:32.0,G. Dragic makes free throw 1 of 2,1,55-46,,
0:32.0,G. Dragic makes free throw 2 of 2,1,56-46,,
0:22.0,,,56-46,,K. Bryant misses 2-pt shot from 14 ft
0:20.0,Defensive rebound by M. Morris,,56-46,,
0:18.0,I. Thomas makes 2-pt shot at rim (assist by G. Green),2,58-46,,
0:03.0,,,58-46,,C. Boozer misses 2-pt shot from 3 ft
0:02.0,Defensive rebound by M. Morris,,58-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,58-48,2,C. Boozer makes 2-pt shot from 6 ft
11:20.0,M. Morris makes 3-pt shot from 25 ft (assist by G. Dragic),3,61-48,,
11:07.0,,,61-48,,W. Johnson misses 3-pt shot from 24 ft
11:05.0,Defensive rebound by M. Morris,,61-48,,
11:03.0,Turnover by M. Morris (bad pass),,61-48,,
10:53.0,,,61-48,,K. Bryant misses 2-pt shot from 11 ft
10:51.0,,,61-48,,Offensive rebound by J. Hill
10:48.0,,,61-48,,J. Hill misses 2-pt shot from 4 ft (block by M. Plumlee)
10:46.0,,,61-48,,Offensive rebound by C. Boozer
10:42.0,,,61-50,2,C. Boozer makes 2-pt shot from 12 ft
10:29.0,G. Dragic makes 2-pt shot from 13 ft (assist by E. Bledsoe),2,63-50,,
10:21.0,,,63-50,,Turnover by J. Lin (lost ball; steal by M. Morris)
10:15.0,G. Dragic makes 2-pt shot from 1 ft (assist by M. Morris),2,65-50,,
9:55.0,,,65-52,2,J. Lin makes 2-pt shot from 19 ft (assist by C. Boozer)
9:39.0,M. Morris misses 2-pt shot from 12 ft,,65-52,,
9:35.0,,,65-52,,Defensive rebound by J. Hill
9:30.0,,,65-52,,K. Bryant misses 2-pt shot from 1 ft
9:27.0,,,65-52,,Offensive rebound by J. Hill
9:27.0,,,65-52,,J. Hill misses 2-pt shot at rim
9:24.0,,,65-52,,Offensive rebound by J. Hill
9:24.0,,,65-54,2,J. Hill makes 2-pt shot from 1 ft
9:13.0,Turnover by G. Dragic (bad pass; steal by K. Bryant),,65-54,,
9:10.0,,,65-56,2,K. Bryant makes 2-pt shot from 1 ft
9:10.0,,,65-56,,Shooting foul by M. Morris (drawn by K. Bryant)
9:10.0,,,65-56,,K. Bryant misses free throw 1 of 1
9:09.0,Defensive rebound by M. Morris,,65-56,,
9:03.0,G. Dragic misses 2-pt shot from 2 ft (block by W. Johnson),,65-56,,
9:03.0,,,65-56,,Defensive rebound by Team
8:50.0,,,65-56,,J. Lin misses 3-pt shot from 23 ft
8:46.0,,,65-56,,Offensive rebound by W. Johnson
8:46.0,,,65-58,2,W. Johnson makes 2-pt shot at rim
8:28.0,G. Dragic misses 2-pt shot from 2 ft,,65-58,,
8:25.0,Offensive rebound by G. Dragic,,65-58,,
8:25.0,G. Dragic misses 2-pt shot at rim,,65-58,,
8:25.0,,,65-58,,Defensive rebound by Team
8:16.0,,,65-58,,Offensive foul by J. Hill
8:16.0,,,65-58,,Turnover by J. Hill (offensive foul)
8:01.0,Turnover by M. Morris (traveling),,65-58,,
7:52.0,,,65-60,2,C. Boozer makes 2-pt shot from 13 ft (assist by J. Lin)
7:35.0,Shooting foul by C. Boozer (drawn by M. Morris),,65-60,,
7:35.0,M. Morris makes free throw 1 of 2,1,66-60,,
7:35.0,M. Morris makes free throw 2 of 2,1,67-60,,
7:24.0,,,67-60,,K. Bryant misses 2-pt shot at rim
7:21.0,,,67-60,,Offensive rebound by J. Hill
7:18.0,,,67-62,2,J. Hill makes 2-pt shot at rim
7:06.0,G. Dragic makes 2-pt shot from 10 ft (assist by M. Morris),2,69-62,,
6:46.0,,,69-62,,K. Bryant misses 2-pt shot from 6 ft
6:44.0,,,69-62,,Offensive rebound by K. Bryant
6:43.0,,,69-62,,Shooting foul by M. Morris (drawn by K. Bryant)
6:43.0,,,69-62,,K. Bryant misses free throw 1 of 2
6:43.0,,,69-62,,Offensive rebound by Team
6:43.0,,,69-63,1,K. Bryant makes free throw 2 of 2
6:24.0,M. Plumlee misses 2-pt shot from 3 ft,,69-63,,
6:22.0,,,69-63,,Defensive rebound by C. Boozer
6:05.0,,,69-63,,J. Hill misses 2-pt shot from 18 ft
6:03.0,Defensive rebound by G. Dragic,,69-63,,
5:56.0,M. Morris makes 2-pt shot at rim (assist by M. Morris),2,71-63,,
5:56.0,,,71-63,,LA Lakers full timeout
5:43.0,,,71-63,,W. Johnson misses 2-pt shot from 17 ft
5:41.0,,,71-63,,Offensive rebound by J. Hill
5:37.0,,,71-65,2,C. Boozer makes 2-pt shot at rim (assist by J. Hill)
5:21.0,E. Bledsoe misses 2-pt shot from 3 ft (block by J. Hill),,71-65,,
5:19.0,,,71-65,,Defensive rebound by C. Boozer
5:15.0,,,71-65,,K. Bryant misses 2-pt shot from 1 ft
5:13.0,Defensive rebound by M. Morris,,71-65,,
5:13.0,,,71-65,,E. Davis enters the game for J. Hill
5:02.0,Turnover by M. Morris (traveling),,71-65,,
4:49.0,,,71-65,,Turnover by E. Davis (lost ball; steal by M. Plumlee)
4:25.0,M. Morris misses 2-pt shot from 11 ft,,71-65,,
4:24.0,Offensive rebound by Team,,71-65,,
4:24.0,I. Thomas enters the game for G. Dragic,,71-65,,
4:24.0,A. Len enters the game for M. Plumlee,,71-65,,
4:16.0,M. Morris makes 2-pt shot from 10 ft (assist by I. Thomas),2,73-65,,
4:01.0,,,73-65,,K. Bryant misses 2-pt shot from 21 ft
3:59.0,,,73-65,,Offensive rebound by K. Bryant
3:57.0,,,73-65,,Turnover by K. Bryant (bad pass; steal by I. Thomas)
3:52.0,I. Thomas makes 2-pt shot from 1 ft,2,75-65,,
3:45.0,,,75-65,,Shooting foul by I. Thomas (drawn by J. Lin)
3:45.0,,,75-66,1,J. Lin makes free throw 1 of 2
3:45.0,,,75-67,1,J. Lin makes free throw 2 of 2
3:30.0,I. Thomas misses 3-pt shot from 24 ft,,75-67,,
3:26.0,Offensive rebound by M. Morris,,75-67,,
3:26.0,M. Morris misses 2-pt shot at rim,,75-67,,
3:25.0,,,75-67,,Defensive rebound by C. Boozer
3:17.0,,,75-67,,K. Bryant misses 2-pt shot from 3 ft (block by A. Len)
3:15.0,Defensive rebound by A. Len,,75-67,,
3:05.0,Turnover by M. Morris (bad pass; steal by E. Davis),,75-67,,
3:02.0,,,75-67,,Shooting foul by I. Thomas (drawn by K. Bryant)
3:02.0,,,75-68,1,K. Bryant makes free throw 1 of 2
3:02.0,P. Tucker enters the game for M. Morris,,75-68,,
3:02.0,,,75-68,,R. Price enters the game for J. Lin
3:02.0,,,75-68,,W. Ellington enters the game for W. Johnson
3:02.0,,,75-69,1,K. Bryant makes free throw 2 of 2
2:42.0,Turnover by M. Morris (bad pass; steal by R. Price),,75-69,,
2:19.0,,,75-69,,C. Boozer misses 2-pt shot from 12 ft
2:15.0,,,75-69,,Offensive rebound by K. Bryant
2:11.0,,,75-69,,K. Bryant misses 2-pt shot from 7 ft
2:11.0,Defensive rebound by I. Thomas,,75-69,,
2:11.0,,,75-69,,Personal foul by R. Price (drawn by I. Thomas)
2:11.0,Phoenix full timeout,,75-69,,
2:01.0,,,75-69,,Personal foul by R. Price (drawn by I. Thomas)
2:01.0,G. Green enters the game for E. Bledsoe,,75-69,,
1:54.0,M. Morris misses 3-pt shot from 25 ft,,75-69,,
1:52.0,,,75-69,,Defensive rebound by K. Bryant
1:43.0,,,75-72,3,W. Ellington makes 3-pt shot from 25 ft (assist by R. Price)
1:31.0,Shooting foul by E. Davis (drawn by I. Thomas),,75-72,,
1:31.0,I. Thomas makes free throw 1 of 2,1,76-72,,
1:31.0,I. Thomas misses free throw 2 of 2,,76-72,,
1:28.0,,,76-72,,Defensive rebound by E. Davis
1:13.0,,,76-72,,C. Boozer misses 2-pt shot from 2 ft (block by A. Len)
1:10.0,Defensive rebound by M. Morris,,76-72,,
1:05.0,I. Thomas misses 2-pt shot from 2 ft,,76-72,,
1:03.0,,,76-72,,Defensive rebound by K. Bryant
1:02.0,,,76-72,,Shooting foul by M. Morris (drawn by W. Ellington)
1:02.0,,,76-73,1,W. Ellington makes free throw 1 of 2
1:02.0,,,76-73,,W. Ellington misses free throw 2 of 2
1:00.0,Defensive rebound by P. Tucker,,76-73,,
0:46.0,Shooting foul by W. Ellington (drawn by G. Green),,76-73,,
0:46.0,G. Green makes free throw 1 of 3,1,77-73,,
0:46.0,G. Green misses free throw 2 of 3,,77-73,,
0:46.0,Offensive rebound by Team,,77-73,,
0:46.0,G. Green makes free throw 3 of 3,1,78-73,,
0:29.0,,,78-75,2,K. Bryant makes 2-pt shot from 4 ft
0:13.0,,,78-75,,Personal foul by C. Boozer (drawn by I. Thomas)
0:13.0,I. Thomas misses free throw 1 of 2,,78-75,,
0:13.0,Offensive rebound by Team,,78-75,,
0:13.0,,,78-75,,W. Johnson enters the game for C. Boozer
0:13.0,I. Thomas makes free throw 2 of 2,1,79-75,,
0:05.0,,,79-75,,Offensive foul by E. Davis
0:05.0,,,79-75,,Turnover by E. Davis (offensive foul)
0:02.0,M. Morris misses 3-pt shot from 26 ft,,79-75,,
0:00.0,Offensive rebound by Team,,79-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,G. Green makes 2-pt shot at rim (assist by I. Thomas),2,81-75,,
11:31.0,,,81-75,,W. Ellington misses 3-pt shot from 25 ft
11:31.0,,,81-75,,Offensive rebound by E. Davis
11:31.0,,,81-75,,Shooting foul by G. Green (drawn by E. Davis)
11:31.0,,,81-76,1,E. Davis makes free throw 1 of 2
11:31.0,,,81-77,1,E. Davis makes free throw 2 of 2
11:18.0,G. Green misses 2-pt shot from 11 ft,,81-77,,
11:16.0,Offensive rebound by A. Len,,81-77,,
11:10.0,G. Green misses 2-pt shot from 6 ft,,81-77,,
11:08.0,Offensive rebound by P. Tucker,,81-77,,
11:06.0,P. Tucker misses 2-pt shot from 2 ft (block by E. Davis),,81-77,,
11:05.0,,,81-77,,Defensive rebound by K. Bryant
11:01.0,,,81-79,2,K. Bryant makes 2-pt shot at rim
10:53.0,I. Thomas makes 3-pt shot from 25 ft (assist by P. Tucker),3,84-79,,
10:40.0,,,84-79,,K. Bryant misses 3-pt shot from 25 ft
10:39.0,,,84-79,,Offensive rebound by E. Davis
10:34.0,,,84-79,,W. Ellington misses 2-pt shot from 15 ft
10:31.0,Defensive rebound by A. Len,,84-79,,
10:22.0,G. Green makes 2-pt shot from 14 ft (assist by I. Thomas),2,86-79,,
10:01.0,,,86-81,2,E. Davis makes 2-pt shot from 1 ft (assist by R. Price)
9:47.0,,,86-81,,Personal foul by R. Price (drawn by I. Thomas)
9:37.0,P. Tucker misses 3-pt shot from 22 ft,,86-81,,
9:36.0,,,86-81,,Defensive rebound by W. Ellington
9:31.0,Personal foul by M. Morris (drawn by K. Bryant),,86-81,,
9:22.0,,,86-81,,K. Bryant misses 2-pt shot from 3 ft
9:20.0,Defensive rebound by I. Thomas,,86-81,,
9:08.0,G. Green misses 2-pt shot from 15 ft,,86-81,,
9:06.0,Offensive rebound by Team,,86-81,,
8:59.0,Turnover by P. Tucker (bad pass; steal by W. Ellington),,86-81,,
8:36.0,,,86-81,,R. Price misses 3-pt shot from 26 ft
8:35.0,Defensive rebound by A. Len,,86-81,,
8:19.0,G. Green makes 3-pt shot from 23 ft (assist by I. Thomas),3,89-81,,
8:19.0,,,89-81,,LA Lakers full timeout
8:19.0,G. Dragic enters the game for M. Morris,,89-81,,
8:12.0,,,89-83,2,K. Bryant makes 2-pt shot from 19 ft
7:55.0,G. Green makes 2-pt shot from 11 ft (assist by I. Thomas),2,91-83,,
7:39.0,,,91-85,2,K. Bryant makes 2-pt shot from 19 ft (assist by R. Price)
7:15.0,I. Thomas misses 2-pt shot from 9 ft,,91-85,,
