time,Portland,pts.away,score,pts.home,Dallas
8:55.0,R. Lopez makes 2-pt shot at rim (assist by S. Blake),2,29-31,,
8:35.0,,,29-34,3,D. Harris makes 3-pt shot from 23 ft (assist by J. Barea)
8:24.0,M. Leonard makes 3-pt shot from 22 ft (assist by S. Blake),3,32-34,,
8:16.0,,,32-34,,D. Harris misses 3-pt shot from 24 ft
8:14.0,Defensive rebound by W. Matthews,,32-34,,
8:04.0,W. Matthews misses 3-pt shot from 26 ft,,32-34,,
8:03.0,Offensive rebound by R. Lopez,,32-34,,
7:54.0,Shooting foul by A. Aminu (drawn by R. Lopez),,32-34,,
7:54.0,Official timeout,,32-34,,
7:54.0,,,32-34,,T. Chandler enters the game for D. Nowitzki
7:54.0,,,32-34,,M. Ellis enters the game for A. Aminu
7:54.0,,,32-34,,C. Parsons enters the game for D. Harris
7:54.0,D. Lillard enters the game for W. Matthews,,32-34,,
7:54.0,N. Batum enters the game for S. Blake,,32-34,,
7:54.0,R. Lopez misses free throw 1 of 2,,32-34,,
7:54.0,Offensive rebound by Team,,32-34,,
7:54.0,R. Lopez makes free throw 2 of 2,1,33-34,,
7:44.0,Personal foul by N. Batum (drawn by C. Parsons),,33-34,,
7:34.0,,,33-34,,C. Villanueva misses 3-pt shot from 24 ft
7:32.0,Defensive rebound by N. Batum,,33-34,,
7:24.0,R. Lopez makes 2-pt shot from 9 ft (assist by D. Lillard),2,35-34,,
7:11.0,,,35-34,,M. Ellis misses 2-pt shot from 4 ft
7:09.0,Defensive rebound by M. Leonard,,35-34,,
7:04.0,C. McCollum misses 3-pt shot from 22 ft,,35-34,,
7:02.0,,,35-34,,Defensive rebound by C. Villanueva
6:57.0,,,35-34,,Turnover by T. Chandler (bad pass; steal by C. McCollum)
6:53.0,Shooting foul by C. Villanueva (drawn by C. McCollum),,35-34,,
6:53.0,C. McCollum makes free throw 1 of 2,1,36-34,,
6:53.0,C. McCollum makes free throw 2 of 2,1,37-34,,
6:39.0,,,37-34,,C. Parsons misses 2-pt shot at rim
6:38.0,Defensive rebound by N. Batum,,37-34,,
6:34.0,C. McCollum misses 2-pt shot at rim,,37-34,,
6:31.0,Offensive rebound by D. Lillard,,37-34,,
6:31.0,D. Lillard misses 2-pt shot at rim,,37-34,,
6:28.0,,,37-34,,Defensive rebound by J. Barea
6:13.0,,,37-34,,J. Barea misses 2-pt shot from 3 ft
6:11.0,Defensive rebound by D. Lillard,,37-34,,
6:08.0,M. Leonard makes 2-pt shot at rim (assist by N. Batum),2,39-34,,
6:05.0,,,39-34,,Dallas full timeout
6:05.0,,,39-34,,A. Aminu enters the game for J. Barea
6:05.0,,,39-34,,D. Harris enters the game for C. Villanueva
5:50.0,,,39-34,,M. Ellis misses 2-pt shot from 15 ft
5:49.0,Defensive rebound by M. Leonard,,39-34,,
5:37.0,D. Lillard makes 3-pt shot from 25 ft (assist by M. Leonard),3,42-34,,
5:20.0,,,42-34,,A. Aminu misses 3-pt shot from 23 ft
5:19.0,Defensive rebound by N. Batum,,42-34,,
5:09.0,Turnover by C. McCollum (bad pass; steal by M. Ellis),,42-34,,
5:05.0,,,42-36,2,M. Ellis makes 2-pt shot from 2 ft
5:02.0,Portland full timeout,,42-36,,
5:02.0,,,42-36,,D. Nowitzki enters the game for T. Chandler
5:02.0,L. Aldridge enters the game for M. Leonard,,42-36,,
4:51.0,Shooting foul by D. Nowitzki (drawn by N. Batum),,42-36,,
4:51.0,N. Batum makes free throw 1 of 2,1,43-36,,
4:51.0,N. Batum makes free throw 2 of 2,1,44-36,,
4:31.0,,,44-38,2,M. Ellis makes 2-pt shot at rim
4:05.0,N. Batum misses 3-pt shot from 22 ft,,44-38,,
4:04.0,,,44-38,,Defensive rebound by C. Parsons
4:00.0,,,44-40,2,A. Aminu makes 2-pt shot at rim (assist by C. Parsons)
3:41.0,Turnover by R. Lopez (offensive foul),,44-40,,
3:41.0,Offensive foul by R. Lopez,,44-40,,
3:41.0,W. Matthews enters the game for C. McCollum,,44-40,,
3:31.0,,,44-43,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by M. Ellis)
3:14.0,W. Matthews misses 2-pt shot from 4 ft (block by A. Aminu),,44-43,,
3:12.0,,,44-43,,Defensive rebound by D. Harris
3:08.0,Shooting block foul by N. Batum (drawn by D. Harris),,44-43,,
3:08.0,,,44-44,1,D. Harris makes free throw 1 of 2
3:08.0,,,44-45,1,D. Harris makes free throw 2 of 2
2:50.0,W. Matthews makes 3-pt shot from 24 ft (assist by N. Batum),3,47-45,,
2:35.0,,,47-47,2,M. Ellis makes 2-pt shot from 1 ft
2:20.0,D. Lillard makes 3-pt shot from 25 ft (assist by W. Matthews),3,50-47,,
2:08.0,,,50-47,,C. Parsons misses 3-pt shot from 23 ft
2:07.0,,,50-47,,Offensive rebound by A. Aminu
1:59.0,,,50-49,2,D. Nowitzki makes 2-pt shot from 1 ft (assist by M. Ellis)
1:58.0,Portland full timeout,,50-49,,
1:58.0,,,50-49,,T. Chandler enters the game for A. Aminu
1:48.0,Shooting foul by C. Parsons (drawn by D. Lillard),,50-49,,
1:48.0,D. Lillard makes free throw 1 of 2,1,51-49,,
1:48.0,D. Lillard makes free throw 2 of 2,1,52-49,,
1:24.0,,,52-49,,M. Ellis misses 2-pt shot from 3 ft
1:22.0,,,52-49,,Offensive rebound by T. Chandler
1:22.0,,,52-49,,T. Chandler misses 2-pt shot from 2 ft
1:20.0,,,52-49,,Offensive rebound by T. Chandler
1:20.0,,,52-49,,T. Chandler misses 2-pt shot from 2 ft
1:19.0,Defensive rebound by L. Aldridge,,52-49,,
1:10.0,D. Lillard misses 2-pt shot from 21 ft,,52-49,,
1:06.0,,,52-49,,Defensive rebound by D. Harris
1:01.0,,,52-49,,D. Harris misses 2-pt shot from 16 ft
0:59.0,Defensive rebound by L. Aldridge,,52-49,,
0:41.0,L. Aldridge makes 2-pt shot from 6 ft,2,54-49,,
0:33.0,Shooting block foul by R. Lopez (drawn by T. Chandler),,54-49,,
0:33.0,,,54-49,,T. Chandler misses free throw 1 of 2
0:33.0,,,54-49,,Offensive rebound by Team
0:33.0,,,54-49,,A. Aminu enters the game for D. Nowitzki
0:33.0,M. Leonard enters the game for R. Lopez,,54-49,,
0:33.0,,,54-50,1,T. Chandler makes free throw 2 of 2
0:19.0,Shooting foul by D. Harris (drawn by L. Aldridge),,54-50,,
0:19.0,L. Aldridge misses free throw 1 of 2,,54-50,,
0:19.0,Offensive rebound by Team,,54-50,,
0:19.0,,,54-50,,D. Nowitzki enters the game for A. Aminu
0:19.0,L. Aldridge makes free throw 2 of 2,1,55-50,,
0:01.0,,,55-50,,M. Ellis misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by N. Batum,,55-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,L. Aldridge makes 2-pt shot from 18 ft (assist by N. Batum),2,57-50,,
11:29.0,,,57-52,2,D. Nowitzki makes 2-pt shot from 17 ft (assist by J. Barea)
11:09.0,L. Aldridge makes 2-pt shot from 14 ft (assist by D. Lillard),2,59-52,,
10:53.0,,,59-54,2,D. Nowitzki makes 2-pt shot from 15 ft (assist by J. Barea)
10:35.0,L. Aldridge makes 2-pt shot from 14 ft,2,61-54,,
10:19.0,,,61-54,,D. Nowitzki misses 2-pt shot from 21 ft
10:18.0,Defensive rebound by D. Lillard,,61-54,,
10:14.0,R. Lopez makes 2-pt shot at rim (assist by D. Lillard),2,63-54,,
10:07.0,,,63-54,,Dallas full timeout
9:54.0,,,63-54,,Turnover by M. Ellis (lost ball; steal by W. Matthews)
9:53.0,,,63-54,,Loose ball foul by M. Ellis (drawn by W. Matthews)
9:29.0,D. Lillard misses 2-pt shot from 14 ft,,63-54,,
9:26.0,,,63-54,,Defensive rebound by C. Parsons
9:18.0,,,63-54,,J. Barea misses 2-pt shot from 7 ft
9:16.0,,,63-54,,Offensive rebound by T. Chandler
9:16.0,,,63-56,2,T. Chandler makes 2-pt shot at rim
8:57.0,L. Aldridge misses 2-pt shot from 19 ft,,63-56,,
8:56.0,,,63-56,,Defensive rebound by T. Chandler
8:38.0,,,63-56,,Turnover by D. Nowitzki (bad pass; steal by W. Matthews)
8:33.0,Turnover by L. Aldridge (lost ball; steal by M. Ellis),,63-56,,
8:21.0,,,63-56,,C. Parsons misses 2-pt shot from 1 ft (block by R. Lopez)
8:19.0,Defensive rebound by L. Aldridge,,63-56,,
8:09.0,R. Lopez misses 2-pt shot from 12 ft,,63-56,,
8:09.0,,,63-56,,Defensive rebound by C. Parsons
7:57.0,,,63-59,3,M. Ellis makes 3-pt shot from 22 ft (assist by D. Nowitzki)
7:39.0,D. Lillard makes 3-pt shot from 26 ft,3,66-59,,
7:27.0,,,66-59,,Offensive foul by T. Chandler
7:27.0,,,66-59,,Turnover by T. Chandler (offensive foul)
7:27.0,,,66-59,,A. Aminu enters the game for D. Nowitzki
7:27.0,,,66-59,,R. Jefferson enters the game for C. Parsons
7:14.0,L. Aldridge misses 2-pt shot from 3 ft,,66-59,,
7:12.0,Offensive rebound by L. Aldridge,,66-59,,
7:12.0,L. Aldridge makes 2-pt shot from 1 ft,2,68-59,,
6:54.0,,,68-59,,A. Aminu misses 3-pt shot from 26 ft
6:54.0,,,68-59,,Offensive rebound by T. Chandler
6:43.0,,,68-59,,M. Ellis misses 2-pt shot from 14 ft
6:42.0,Defensive rebound by L. Aldridge,,68-59,,
6:29.0,Turnover by R. Lopez (lost ball; steal by A. Aminu),,68-59,,
6:25.0,,,68-59,,Shooting foul by D. Lillard (drawn by A. Aminu)
6:25.0,,,68-59,,A. Aminu misses free throw 1 of 2
6:25.0,,,68-59,,Offensive rebound by Team
6:25.0,,,68-60,1,A. Aminu makes free throw 2 of 2
6:05.0,W. Matthews misses 3-pt shot from 23 ft,,68-60,,
6:04.0,,,68-60,,Defensive rebound by A. Aminu
5:56.0,,,68-60,,Turnover by J. Barea (bad pass; steal by W. Matthews)
5:52.0,Offensive charge foul by D. Lillard,,68-60,,
5:52.0,Turnover by D. Lillard (offensive foul),,68-60,,
5:52.0,S. Blake enters the game for W. Matthews,,68-60,,
5:52.0,C. Kaman enters the game for R. Lopez,,68-60,,
5:36.0,,,68-62,2,M. Ellis makes 2-pt shot from 11 ft
5:20.0,D. Lillard makes 3-pt shot from 27 ft (assist by N. Batum),3,71-62,,
5:05.0,,,71-62,,J. Barea misses 3-pt shot from 25 ft (block by D. Lillard)
5:02.0,Defensive rebound by C. Kaman,,71-62,,
4:58.0,D. Lillard misses 3-pt shot from 26 ft,,71-62,,
4:56.0,,,71-62,,Defensive rebound by T. Chandler
4:48.0,,,71-62,,M. Ellis misses 2-pt shot from 21 ft
4:47.0,Defensive rebound by N. Batum,,71-62,,
4:32.0,L. Aldridge misses 2-pt shot from 14 ft,,71-62,,
4:31.0,,,71-62,,Defensive rebound by J. Barea
4:16.0,,,71-62,,Turnover by J. Barea (lost ball; steal by D. Lillard)
4:10.0,N. Batum misses 2-pt shot from 4 ft (block by R. Jefferson),,71-62,,
4:08.0,,,71-62,,Defensive rebound by A. Aminu
4:01.0,,,71-65,3,A. Aminu makes 3-pt shot from 24 ft (assist by J. Barea)
3:37.0,Turnover by D. Lillard (lost ball; steal by T. Chandler),,71-65,,
3:29.0,,,71-65,,M. Ellis misses 3-pt shot from 24 ft
3:28.0,Defensive rebound by N. Batum,,71-65,,
3:28.0,Portland full timeout,,71-65,,
3:28.0,,,71-65,,D. Harris enters the game for J. Barea
3:14.0,C. Kaman misses 2-pt shot from 1 ft (block by T. Chandler),,71-65,,
3:12.0,,,71-65,,Defensive rebound by D. Harris
3:09.0,,,71-65,,Turnover by A. Aminu (lost ball; steal by S. Blake)
2:54.0,N. Batum misses 3-pt shot from 23 ft,,71-65,,
2:53.0,,,71-65,,Defensive rebound by R. Jefferson
2:36.0,,,71-65,,D. Harris misses 3-pt shot from 26 ft
2:35.0,Defensive rebound by C. Kaman,,71-65,,
2:28.0,D. Lillard makes 2-pt shot at rim (assist by S. Blake),2,73-65,,
2:14.0,,,73-67,2,M. Ellis makes 2-pt shot from 1 ft
1:55.0,S. Blake makes 2-pt shot from 23 ft (assist by L. Aldridge),2,75-67,,
1:40.0,,,75-67,,Turnover by M. Ellis (bad pass; steal by D. Lillard)
1:37.0,D. Lillard misses 2-pt shot from 3 ft,,75-67,,
1:34.0,Offensive rebound by N. Batum,,75-67,,
1:34.0,N. Batum misses 2-pt shot from 1 ft,,75-67,,
1:33.0,Offensive rebound by N. Batum,,75-67,,
1:33.0,N. Batum misses 2-pt shot from 1 ft,,75-67,,
1:32.0,Offensive rebound by D. Lillard,,75-67,,
1:30.0,L. Aldridge makes 2-pt shot from 4 ft,2,77-67,,
1:30.0,Shooting foul by A. Aminu (drawn by L. Aldridge),,77-67,,
1:30.0,C. McCollum enters the game for N. Batum,,77-67,,
1:30.0,W. Matthews enters the game for D. Lillard,,77-67,,
1:30.0,,,77-67,,D. Nowitzki enters the game for T. Chandler
1:30.0,L. Aldridge makes free throw 1 of 1,1,78-67,,
1:18.0,,,78-67,,Turnover by A. Aminu (offensive goaltending)
1:03.0,L. Aldridge makes 2-pt shot from 9 ft,2,80-67,,
0:57.0,,,80-67,,Dallas full timeout
0:43.0,,,80-67,,M. Ellis misses 2-pt shot from 18 ft
0:42.0,Defensive rebound by L. Aldridge,,80-67,,
0:34.0,S. Blake misses 3-pt shot from 23 ft,,80-67,,
0:33.0,Offensive rebound by W. Matthews,,80-67,,
0:33.0,W. Matthews makes 2-pt shot from 2 ft,2,82-67,,
0:14.0,,,82-67,,Turnover by M. Ellis (lost ball; steal by S. Blake)
0:08.0,Shooting foul by A. Aminu (drawn by C. McCollum),,82-67,,
0:08.0,C. McCollum misses free throw 1 of 2,,82-67,,
0:08.0,Offensive rebound by Team,,82-67,,
0:08.0,N. Batum enters the game for L. Aldridge,,82-67,,
0:08.0,C. McCollum makes free throw 2 of 2,1,83-67,,
0:05.0,Personal take foul by S. Blake (drawn by D. Harris),,83-67,,
0:00.0,,,83-70,3,D. Harris makes 3-pt shot from 24 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:52.0,,,83-70,,D. Harris misses 2-pt shot from 7 ft
11:49.0,,,83-70,,Offensive rebound by A. Aminu
11:49.0,,,83-70,,A. Aminu misses 2-pt shot from 1 ft
11:47.0,Defensive rebound by M. Leonard,,83-70,,
11:29.0,W. Matthews makes 3-pt shot from 24 ft (assist by C. McCollum),3,86-70,,
11:15.0,,,86-70,,C. Parsons misses 2-pt shot at rim
11:13.0,Defensive rebound by W. Matthews,,86-70,,
11:07.0,W. Matthews misses 3-pt shot from 24 ft,,86-70,,
11:06.0,Offensive rebound by C. Kaman,,86-70,,
11:03.0,Turnover by S. Blake (bad pass; steal by C. Parsons),,86-70,,
10:53.0,,,86-70,,Turnover by D. Harris (bad pass)
10:43.0,Turnover by S. Blake (bad pass; steal by C. Parsons),,86-70,,
10:30.0,Personal foul by S. Blake (drawn by D. Nowitzki),,86-70,,
10:21.0,,,86-72,2,D. Nowitzki makes 2-pt shot from 14 ft
10:04.0,Turnover by C. Kaman (bad pass),,86-72,,
9:52.0,,,86-74,2,D. Nowitzki makes 2-pt shot from 12 ft
9:38.0,Turnover by W. Matthews (lost ball; steal by D. Harris),,86-74,,
9:33.0,,,86-74,,D. Harris misses 2-pt shot from 2 ft
9:30.0,,,86-74,,Offensive rebound by A. Aminu
9:30.0,,,86-74,,A. Aminu misses 2-pt shot at rim (block by C. Kaman)
9:30.0,,,86-74,,Offensive rebound by J. Barea
9:30.0,,,86-76,2,J. Barea makes 2-pt shot from 2 ft
9:30.0,Portland full timeout,,86-76,,
9:30.0,R. Lopez enters the game for W. Matthews,,86-76,,
9:30.0,N. Batum enters the game for C. Kaman,,86-76,,
9:30.0,D. Lillard enters the game for C. McCollum,,86-76,,
9:07.0,Turnover by M. Leonard (lost ball),,86-76,,
8:56.0,,,86-76,,D. Harris misses 3-pt shot from 23 ft
8:55.0,Defensive rebound by D. Lillard,,86-76,,
8:47.0,D. Lillard misses 3-pt shot from 25 ft,,86-76,,
8:46.0,,,86-76,,Defensive rebound by C. Parsons
8:38.0,,,86-79,3,J. Barea makes 3-pt shot from 22 ft (assist by C. Parsons)
8:19.0,Offensive foul by M. Leonard,,86-79,,
8:19.0,Turnover by M. Leonard (offensive foul),,86-79,,
8:07.0,,,86-79,,D. Nowitzki misses 2-pt shot from 12 ft
8:05.0,Defensive rebound by M. Leonard,,86-79,,
7:53.0,S. Blake misses 3-pt shot from 22 ft,,86-79,,
7:52.0,,,86-79,,Defensive rebound by A. Aminu
7:46.0,,,86-79,,D. Harris misses 3-pt shot from 25 ft
7:45.0,Defensive rebound by R. Lopez,,86-79,,
7:37.0,,,86-79,,Personal foul by D. Harris (drawn by D. Lillard)
7:37.0,L. Aldridge enters the game for M. Leonard,,86-79,,
7:37.0,W. Matthews enters the game for S. Blake,,86-79,,
7:37.0,,,86-79,,M. Ellis enters the game for D. Harris
7:37.0,,,86-79,,T. Chandler enters the game for D. Nowitzki
7:28.0,D. Lillard misses 2-pt shot from 22 ft,,86-79,,
7:26.0,,,86-79,,Defensive rebound by A. Aminu
7:22.0,,,86-79,,J. Barea misses 2-pt shot from 2 ft
7:20.0,Defensive rebound by W. Matthews,,86-79,,
7:06.0,L. Aldridge makes 2-pt shot from 12 ft,2,88-79,,
7:02.0,,,88-79,,Dallas full timeout
6:45.0,,,88-79,,C. Parsons misses 2-pt shot from 6 ft
6:41.0,,,88-79,,Offensive rebound by T. Chandler
6:41.0,,,88-81,2,T. Chandler makes 2-pt shot at rim
6:31.0,L. Aldridge misses 2-pt shot from 7 ft,,88-81,,
6:30.0,,,88-81,,Defensive rebound by A. Aminu
6:18.0,,,88-81,,Turnover by M. Ellis (traveling)
5:57.0,L. Aldridge misses 2-pt shot from 15 ft,,88-81,,
5:56.0,,,88-81,,Defensive rebound by M. Ellis
5:44.0,,,88-81,,C. Parsons misses 3-pt shot from 23 ft
5:44.0,Defensive rebound by L. Aldridge,,88-81,,
5:33.0,D. Lillard makes 2-pt shot at rim,2,90-81,,
5:09.0,,,90-81,,J. Barea misses 2-pt shot from 17 ft
5:06.0,Defensive rebound by R. Lopez,,90-81,,
4:57.0,D. Lillard misses 3-pt shot from 24 ft,,90-81,,
4:56.0,,,90-81,,Defensive rebound by J. Barea
4:50.0,,,90-81,,C. Parsons misses 3-pt shot from 24 ft
