time,Toronto,pts.away,score,pts.home,Charlotte
5:52.0,,,8-16,,Defensive rebound by A. Jefferson
5:37.0,,,8-18,2,A. Jefferson makes 2-pt shot from 2 ft (assist by M. Williams)
5:33.0,Toronto full timeout,,8-18,,
5:26.0,K. Lowry makes 2-pt shot from 19 ft (assist by A. Johnson),2,10-18,,
5:05.0,,,10-18,,A. Jefferson misses 2-pt shot from 6 ft
5:04.0,Defensive rebound by A. Johnson,,10-18,,
4:56.0,D. DeRozan misses 2-pt shot from 8 ft,,10-18,,
4:55.0,,,10-18,,Defensive rebound by A. Jefferson
4:45.0,,,10-21,3,G. Henderson makes 3-pt shot from 23 ft (assist by C. Zeller)
4:24.0,T. Ross makes 3-pt shot from 25 ft (assist by D. DeRozan),3,13-21,,
4:06.0,,,13-21,,Turnover by G. Henderson (bad pass; steal by T. Ross)
3:59.0,K. Lowry makes 2-pt shot from 1 ft (assist by T. Ross),2,15-21,,
3:39.0,,,15-23,2,A. Jefferson makes 2-pt shot from 14 ft
3:13.0,K. Lowry makes 2-pt shot from 1 ft (assist by T. Ross),2,17-23,,
2:54.0,,,17-23,,A. Jefferson misses 2-pt shot from 3 ft (block by D. DeRozan)
2:52.0,Defensive rebound by J. Valanciunas,,17-23,,
2:44.0,Shooting foul by A. Jefferson (drawn by J. Valanciunas),,17-23,,
2:44.0,,,17-23,,Charlotte full timeout
2:44.0,,,17-23,,M. Williams enters the game for C. Zeller
2:44.0,,,17-23,,B. Biyombo enters the game for A. Jefferson
2:44.0,J. Valanciunas makes free throw 1 of 2,1,18-23,,
2:44.0,J. Valanciunas makes free throw 2 of 2,1,19-23,,
2:25.0,,,19-23,,M. Williams misses 2-pt shot from 18 ft
2:23.0,Defensive rebound by A. Johnson,,19-23,,
2:13.0,D. DeRozan misses 2-pt shot from 17 ft,,19-23,,
2:11.0,,,19-23,,Defensive rebound by B. Biyombo
2:01.0,G. Vasquez enters the game for K. Lowry,,19-23,,
2:00.0,Jump ball: B. Biyombo vs. A. Johnson (M. Kidd-Gilchrist gains possession),,,,Jump ball: B. Biyombo vs. A. Johnson (M. Kidd-Gilchrist gains possession)
1:50.0,,,19-23,,M. Williams misses 2-pt shot from 1 ft
1:49.0,,,19-23,,Offensive rebound by M. Williams
1:45.0,,,19-23,,G. Henderson misses 3-pt shot from 24 ft
1:44.0,Defensive rebound by G. Vasquez,,19-23,,
1:28.0,J. Valanciunas makes 2-pt shot from 4 ft,2,21-23,,
1:28.0,Shooting foul by M. Williams (drawn by J. Valanciunas),,21-23,,
1:28.0,P. Patterson enters the game for A. Johnson,,21-23,,
1:28.0,L. Williams enters the game for D. DeRozan,,21-23,,
1:28.0,,,21-23,,B. Roberts enters the game for G. Henderson
1:28.0,J. Valanciunas makes free throw 1 of 1,1,22-23,,
1:11.0,,,22-23,,M. Williams misses 2-pt shot from 19 ft
1:08.0,Defensive rebound by J. Valanciunas,,22-23,,
0:54.0,Turnover by L. Williams (bad pass; steal by M. Williams),,22-23,,
0:45.0,,,22-25,2,M. Kidd-Gilchrist makes 2-pt shot from 6 ft (assist by M. Williams)
0:22.0,G. Vasquez makes 2-pt shot from 10 ft,2,24-25,,
0:01.0,,,24-25,,M. Williams misses 2-pt shot from 9 ft
0:00.0,,,24-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,L. Williams misses 2-pt shot from 13 ft,,24-25,,
11:47.0,Offensive rebound by L. Williams,,24-25,,
11:41.0,G. Vasquez misses 2-pt shot from 19 ft,,24-25,,
11:39.0,,,24-25,,Defensive rebound by B. Roberts
11:27.0,,,24-27,2,M. Williams makes 2-pt shot from 20 ft (assist by L. Stephenson)
11:20.0,Shooting foul by B. Roberts (drawn by L. Williams),,24-27,,
11:20.0,L. Williams makes free throw 1 of 2,1,25-27,,
11:20.0,L. Williams makes free throw 2 of 2,1,26-27,,
11:06.0,,,26-27,,B. Roberts misses 3-pt shot from 25 ft
11:05.0,Defensive rebound by P. Patterson,,26-27,,
10:50.0,J. Johnson misses 2-pt shot from 17 ft,,26-27,,
10:50.0,,,26-27,,Defensive rebound by Team
10:37.0,,,26-27,,L. Stephenson misses 2-pt shot at rim
10:36.0,,,26-27,,Offensive rebound by L. Stephenson
10:36.0,,,26-29,2,L. Stephenson makes 2-pt shot at rim
10:21.0,L. Williams misses 3-pt shot from 25 ft,,26-29,,
10:20.0,,,26-29,,Defensive rebound by B. Biyombo
10:06.0,,,26-31,2,B. Biyombo makes 2-pt shot from 1 ft (assist by L. Stephenson)
9:44.0,T. Hansbrough makes 2-pt shot from 1 ft (assist by J. Johnson),2,28-31,,
9:28.0,,,28-33,2,B. Roberts makes 2-pt shot from 15 ft (assist by M. Williams)
9:07.0,T. Hansbrough makes 2-pt shot at rim (assist by P. Patterson),2,30-33,,
8:45.0,,,30-33,,M. Kidd-Gilchrist misses 2-pt shot from 19 ft
8:45.0,,,30-33,,Offensive rebound by Team
8:45.0,Official timeout,,30-33,,
8:45.0,,,30-33,,G. Henderson enters the game for M. Kidd-Gilchrist
8:45.0,Jump ball: B. Biyombo vs. J. Johnson (B. Roberts gains possession),,,,Jump ball: B. Biyombo vs. J. Johnson (B. Roberts gains possession)
8:29.0,,,30-33,,B. Biyombo misses 2-pt shot from 3 ft (block by P. Patterson)
8:27.0,Defensive rebound by P. Patterson,,30-33,,
8:07.0,L. Williams misses 2-pt shot from 16 ft,,30-33,,
8:04.0,Offensive rebound by J. Johnson,,30-33,,
8:00.0,G. Vasquez misses 3-pt shot from 25 ft,,30-33,,
7:59.0,,,30-33,,Defensive rebound by L. Stephenson
7:50.0,,,30-33,,B. Biyombo misses 2-pt shot from 5 ft
7:49.0,Defensive rebound by G. Vasquez,,30-33,,
7:33.0,G. Vasquez misses 2-pt shot from 3 ft,,30-33,,
7:31.0,,,30-33,,Defensive rebound by G. Henderson
7:25.0,,,30-33,,M. Williams misses 3-pt shot from 24 ft
7:22.0,Defensive rebound by T. Hansbrough,,30-33,,
7:16.0,J. Johnson makes 2-pt shot from 1 ft,2,32-33,,
7:03.0,,,32-35,2,B. Roberts makes 2-pt shot from 2 ft
6:47.0,Shooting foul by L. Stephenson (drawn by J. Johnson),,32-35,,
6:47.0,J. Johnson misses free throw 1 of 2,,32-35,,
6:47.0,Offensive rebound by Team,,32-35,,
6:47.0,,,32-35,,A. Jefferson enters the game for B. Biyombo
6:47.0,K. Lowry enters the game for G. Vasquez,,32-35,,
6:47.0,D. DeRozan enters the game for T. Hansbrough,,32-35,,
6:47.0,J. Johnson misses free throw 2 of 2,,32-35,,
6:46.0,,,32-35,,Defensive rebound by A. Jefferson
6:35.0,,,32-37,2,G. Henderson makes 2-pt shot from 11 ft (assist by A. Jefferson)
6:31.0,,,32-37,,Personal foul by L. Stephenson (drawn by K. Lowry)
6:13.0,D. DeRozan makes 2-pt shot from 20 ft (assist by L. Williams),2,34-37,,
5:56.0,,,34-37,,Turnover by M. Williams (lost ball)
5:56.0,,,34-37,,Charlotte full timeout
5:41.0,K. Lowry misses 2-pt shot from 11 ft,,34-37,,
5:40.0,,,34-37,,Defensive rebound by A. Jefferson
5:25.0,,,34-39,2,G. Henderson makes 2-pt shot from 14 ft
5:13.0,L. Williams misses 3-pt shot from 23 ft,,34-39,,
5:12.0,,,34-39,,Defensive rebound by B. Roberts
5:01.0,,,34-39,,G. Henderson misses 3-pt shot from 25 ft
5:00.0,Defensive rebound by K. Lowry,,34-39,,
4:56.0,,,34-39,,Personal foul by G. Henderson (drawn by D. DeRozan)
4:56.0,,,34-39,,M. Williams enters the game for B. Roberts
4:56.0,,,34-39,,M. Kidd-Gilchrist enters the game for G. Henderson
4:50.0,J. Johnson makes 2-pt shot from 1 ft,2,36-39,,
4:27.0,,,36-39,,A. Jefferson misses 2-pt shot from 12 ft
4:26.0,Defensive rebound by P. Patterson,,36-39,,
4:13.0,K. Lowry misses 2-pt shot from 4 ft (block by A. Jefferson),,36-39,,
4:12.0,,,36-39,,Defensive rebound by M. Williams
4:04.0,Loose ball foul by D. DeRozan (drawn by M. Williams),,36-39,,
4:04.0,T. Ross enters the game for L. Williams,,36-39,,
3:55.0,,,36-41,2,L. Stephenson makes 2-pt shot from 1 ft (assist by A. Jefferson)
3:39.0,J. Johnson misses 2-pt shot from 11 ft,,36-41,,
3:38.0,,,36-41,,Defensive rebound by L. Stephenson
3:28.0,,,36-41,,M. Williams misses 3-pt shot from 24 ft
3:27.0,,,36-41,,Offensive rebound by A. Jefferson
3:23.0,,,36-43,2,M. Williams makes 2-pt shot from 14 ft (assist by A. Jefferson)
3:15.0,Toronto full timeout,,36-43,,
3:15.0,C. Hayes enters the game for J. Johnson,,36-43,,
3:15.0,,,36-43,,C. Zeller enters the game for M. Williams
3:00.0,D. DeRozan misses 2-pt shot from 11 ft,,36-43,,
2:59.0,,,36-43,,Defensive rebound by M. Kidd-Gilchrist
2:45.0,,,36-43,,A. Jefferson misses 2-pt shot from 15 ft
2:44.0,Defensive rebound by P. Patterson,,36-43,,
2:35.0,P. Patterson misses 2-pt shot from 7 ft,,36-43,,
2:32.0,,,36-43,,Defensive rebound by A. Jefferson
2:23.0,,,36-45,2,L. Stephenson makes 2-pt shot from 1 ft (assist by M. Williams)
2:14.0,T. Ross misses 3-pt shot from 25 ft,,36-45,,
2:13.0,,,36-45,,Defensive rebound by M. Kidd-Gilchrist
1:59.0,,,36-47,2,A. Jefferson makes 2-pt shot from 9 ft (assist by M. Kidd-Gilchrist)
1:44.0,D. DeRozan makes 2-pt shot from 7 ft (assist by T. Ross),2,38-47,,
1:30.0,Personal foul by P. Patterson (drawn by C. Zeller),,38-47,,
1:30.0,A. Johnson enters the game for P. Patterson,,38-47,,
1:20.0,,,38-49,2,A. Jefferson makes 2-pt shot from 14 ft (assist by L. Stephenson)
1:05.0,D. DeRozan makes 2-pt shot from 17 ft (assist by C. Hayes),2,40-49,,
0:46.0,,,40-51,2,C. Zeller makes 2-pt shot from 19 ft (assist by M. Williams)
0:27.0,K. Lowry misses 2-pt shot from 5 ft,,40-51,,
0:25.0,,,40-51,,Defensive rebound by M. Kidd-Gilchrist
0:22.0,,,40-53,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft
0:01.0,A. Johnson makes 2-pt shot at rim (assist by K. Lowry),2,42-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,D. DeRozan misses 2-pt shot from 16 ft,,42-53,,
11:45.0,,,42-53,,Defensive rebound by M. Kidd-Gilchrist
11:31.0,,,42-55,2,A. Jefferson makes 2-pt shot from 1 ft (assist by G. Henderson)
11:13.0,K. Lowry misses 3-pt shot from 25 ft,,42-55,,
11:12.0,,,42-55,,Defensive rebound by G. Henderson
10:59.0,,,42-55,,A. Jefferson misses 2-pt shot from 17 ft
10:58.0,Defensive rebound by K. Lowry,,42-55,,
10:44.0,D. DeRozan makes 2-pt shot at rim,2,44-55,,
10:27.0,,,44-57,2,A. Jefferson makes 2-pt shot from 2 ft (assist by M. Williams)
10:20.0,Shooting foul by M. Williams (drawn by K. Lowry),,44-57,,
10:20.0,K. Lowry makes free throw 1 of 2,1,45-57,,
10:20.0,K. Lowry makes free throw 2 of 2,1,46-57,,
10:08.0,,,46-57,,C. Zeller misses 2-pt shot at rim
10:07.0,Defensive rebound by A. Johnson,,46-57,,
9:52.0,T. Ross misses 3-pt shot from 26 ft,,46-57,,
9:51.0,,,46-57,,Defensive rebound by M. Kidd-Gilchrist
9:32.0,,,46-57,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft (block by J. Valanciunas)
9:31.0,Defensive rebound by A. Johnson,,46-57,,
9:29.0,D. DeRozan makes 2-pt shot from 3 ft,2,48-57,,
9:29.0,Shooting foul by M. Williams (drawn by D. DeRozan),,48-57,,
9:29.0,D. DeRozan makes free throw 1 of 1,1,49-57,,
9:21.0,,,49-57,,Offensive foul by M. Kidd-Gilchrist
9:21.0,,,49-57,,Turnover by M. Kidd-Gilchrist (offensive foul)
9:21.0,,,49-57,,Technical foul by M. Kidd-Gilchrist
9:21.0,Technical foul by J. Valanciunas,,49-57,,
9:07.0,D. DeRozan makes 2-pt shot from 16 ft,2,51-57,,
8:53.0,,,51-57,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft
8:52.0,Defensive rebound by T. Ross,,51-57,,
8:48.0,K. Lowry makes 2-pt shot from 1 ft (assist by D. DeRozan),2,53-57,,
8:48.0,,,53-57,,Charlotte full timeout
8:37.0,Personal foul by A. Johnson (drawn by G. Henderson),,53-57,,
8:31.0,,,53-59,2,G. Henderson makes 2-pt shot from 17 ft
8:12.0,T. Ross misses 3-pt shot from 23 ft,,53-59,,
8:11.0,,,53-59,,Defensive rebound by G. Henderson
8:02.0,,,53-62,3,M. Williams makes 3-pt shot from 25 ft (assist by A. Jefferson)
7:38.0,D. DeRozan makes 2-pt shot from 15 ft,2,55-62,,
7:27.0,,,55-62,,M. Williams misses 3-pt shot from 28 ft
7:26.0,Defensive rebound by T. Ross,,55-62,,
7:18.0,K. Lowry misses 3-pt shot from 25 ft,,55-62,,
7:16.0,,,55-62,,Defensive rebound by C. Zeller
7:00.0,,,55-64,2,M. Williams makes 2-pt shot from 8 ft (assist by M. Kidd-Gilchrist)
6:39.0,J. Valanciunas misses 2-pt shot from 9 ft (block by A. Jefferson),,55-64,,
6:39.0,Offensive rebound by Team,,55-64,,
6:33.0,D. DeRozan makes 2-pt shot from 19 ft (assist by K. Lowry),2,57-64,,
6:12.0,,,57-64,,Turnover by M. Williams (bad pass; steal by T. Ross)
6:07.0,T. Ross makes 2-pt shot at rim,2,59-64,,
5:49.0,,,59-66,2,A. Jefferson makes 2-pt shot from 6 ft
5:33.0,D. DeRozan makes 2-pt shot from 19 ft (assist by T. Ross),2,61-66,,
5:21.0,Personal foul by T. Ross (drawn by G. Henderson),,61-66,,
5:21.0,,,61-66,,Technical foul by G. Henderson
5:21.0,Technical foul by T. Ross (drawn by G. Henderson),,61-66,,
5:10.0,,,61-68,2,C. Zeller makes 2-pt shot at rim (assist by M. Williams)
5:10.0,,,61-68,,Violation by Team (delay of game)
4:53.0,K. Lowry makes 3-pt shot from 28 ft (assist by T. Ross),3,64-68,,
4:29.0,,,64-68,,Offensive foul by G. Henderson
4:29.0,,,64-68,,Turnover by G. Henderson (offensive foul)
4:10.0,T. Ross makes 3-pt shot from 26 ft (assist by D. DeRozan),3,67-68,,
3:56.0,,,67-71,3,M. Williams makes 3-pt shot from 27 ft (assist by A. Jefferson)
3:35.0,Turnover by D. DeRozan (bad pass; steal by G. Henderson),,67-71,,
3:25.0,,,67-71,,G. Henderson misses 2-pt shot from 15 ft
3:24.0,Defensive rebound by J. Valanciunas,,67-71,,
3:13.0,Turnover by K. Lowry (bad pass; steal by A. Jefferson),,67-71,,
3:09.0,,,67-71,,Shooting foul by A. Johnson (drawn by M. Kidd-Gilchrist)
3:09.0,,,67-72,1,M. Kidd-Gilchrist makes free throw 1 of 2
3:09.0,,,67-72,,M. Williams enters the game for C. Zeller
3:09.0,Toronto full timeout,,67-72,,
3:09.0,,,67-72,,B. Roberts enters the game for G. Henderson
3:09.0,P. Patterson enters the game for A. Johnson,,67-72,,
3:09.0,,,67-73,1,M. Kidd-Gilchrist makes free throw 2 of 2
2:45.0,K. Lowry misses 2-pt shot from 10 ft,,67-73,,
2:43.0,Offensive rebound by J. Valanciunas,,67-73,,
2:43.0,J. Valanciunas makes 2-pt shot from 2 ft,2,69-73,,
2:20.0,,,69-73,,M. Williams misses 3-pt shot from 25 ft
2:19.0,,,69-73,,Offensive rebound by A. Jefferson
2:15.0,,,69-73,,M. Williams misses 3-pt shot from 26 ft
2:13.0,,,69-73,,Offensive rebound by M. Kidd-Gilchrist
2:10.0,,,69-73,,Turnover by B. Roberts (bad pass; steal by D. DeRozan)
2:06.0,D. DeRozan makes 2-pt shot at rim,2,71-73,,
1:50.0,,,71-75,2,A. Jefferson makes 2-pt shot from 2 ft
1:44.0,T. Ross misses 2-pt shot from 1 ft,,71-75,,
1:42.0,,,71-75,,Defensive rebound by A. Jefferson
1:31.0,,,71-75,,M. Williams misses 3-pt shot from 27 ft
1:30.0,Defensive rebound by Team,,71-75,,
1:30.0,J. Johnson enters the game for T. Ross,,71-75,,
1:30.0,L. Williams enters the game for J. Valanciunas,,71-75,,
1:30.0,,,71-75,,B. Biyombo enters the game for A. Jefferson
1:15.0,D. DeRozan misses 2-pt shot from 19 ft,,71-75,,
1:14.0,,,71-75,,Defensive rebound by B. Roberts
1:02.0,,,71-75,,Turnover by M. Kidd-Gilchrist (lost ball)
0:49.0,L. Williams misses 2-pt shot from 15 ft,,71-75,,
0:48.0,,,71-75,,Defensive rebound by M. Kidd-Gilchrist
0:39.0,,,71-75,,Turnover by M. Williams (traveling)
0:33.0,P. Patterson misses 2-pt shot from 1 ft (block by B. Biyombo),,71-75,,
0:31.0,,,71-75,,Defensive rebound by M. Williams
0:15.0,,,71-77,2,B. Roberts makes 2-pt shot from 16 ft (assist by M. Williams)
0:01.0,K. Lowry misses 2-pt shot from 18 ft,,71-77,,
0:00.0,Offensive rebound by Team,,71-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,71-77,,Shooting foul by L. Williams (drawn by B. Roberts)
11:41.0,,,71-78,1,B. Roberts makes free throw 1 of 3
11:41.0,,,71-79,1,B. Roberts makes free throw 2 of 3
11:41.0,,,71-80,1,B. Roberts makes free throw 3 of 3
11:31.0,L. Williams misses 3-pt shot from 23 ft,,71-80,,
11:30.0,,,71-80,,Defensive rebound by M. Kidd-Gilchrist
11:10.0,,,71-80,,B. Roberts misses 3-pt shot from 27 ft
11:10.0,Defensive rebound by Team,,71-80,,
11:01.0,Turnover by J. Johnson (lost ball),,71-80,,
10:46.0,,,71-80,,L. Stephenson misses 3-pt shot from 23 ft
10:46.0,,,71-80,,Offensive rebound by Team
10:46.0,Loose ball foul by D. DeRozan (drawn by B. Biyombo),,71-80,,
10:32.0,,,71-80,,B. Roberts misses 2-pt shot from 21 ft
10:31.0,Defensive rebound by D. DeRozan,,71-80,,
10:31.0,,,71-80,,Personal foul by L. Stephenson (drawn by D. DeRozan)
10:11.0,L. Williams makes 2-pt shot from 8 ft,2,73-80,,
10:03.0,,,73-80,,Offensive foul by M. Williams
10:03.0,,,73-80,,Turnover by M. Williams (offensive foul)
9:47.0,P. Patterson misses 2-pt shot from 11 ft,,73-80,,
9:46.0,,,73-80,,Defensive rebound by M. Kidd-Gilchrist
9:43.0,Personal foul by L. Williams (drawn by M. Kidd-Gilchrist),,73-80,,
9:33.0,,,73-80,,M. Kidd-Gilchrist misses 2-pt shot from 19 ft
9:31.0,Defensive rebound by G. Vasquez,,73-80,,
9:27.0,Shooting foul by M. Williams (drawn by J. Johnson),,73-80,,
9:27.0,J. Johnson makes free throw 1 of 2,1,74-80,,
9:27.0,K. Lowry enters the game for D. DeRozan,,74-80,,
9:27.0,,,74-80,,G. Henderson enters the game for M. Kidd-Gilchrist
9:27.0,J. Johnson makes free throw 2 of 2,1,75-80,,
9:13.0,,,75-82,2,L. Stephenson makes 2-pt shot from 14 ft (assist by B. Roberts)
8:56.0,G. Vasquez misses 3-pt shot from 26 ft,,75-82,,
8:55.0,,,75-82,,Defensive rebound by B. Roberts
8:43.0,,,75-82,,Turnover by B. Biyombo (traveling)
8:43.0,Official timeout,,75-82,,
8:32.0,L. Williams misses 3-pt shot from 25 ft,,75-82,,
8:31.0,,,75-82,,Defensive rebound by L. Stephenson
8:24.0,Personal foul by K. Lowry (drawn by G. Henderson),,75-82,,
8:09.0,,,75-82,,M. Williams misses 3-pt shot from 23 ft
8:07.0,Defensive rebound by K. Lowry,,75-82,,
8:01.0,L. Williams misses 2-pt shot from 1 ft,,75-82,,
8:01.0,,,75-82,,Defensive rebound by Team
7:36.0,,,75-82,,L. Stephenson misses 3-pt shot from 26 ft
7:34.0,Defensive rebound by Team,,75-82,,
7:34.0,,,75-82,,A. Jefferson enters the game for B. Biyombo
7:24.0,K. Lowry misses 2-pt shot from 2 ft,,75-82,,
7:23.0,,,75-82,,Defensive rebound by A. Jefferson
7:13.0,,,75-82,,Shooting foul by P. Patterson (drawn by A. Jefferson)
7:13.0,,,75-82,,A. Jefferson misses free throw 1 of 2
7:13.0,,,75-82,,Offensive rebound by Team
7:13.0,D. DeRozan enters the game for L. Williams,,75-82,,
7:13.0,,,75-82,,M. Williams enters the game for B. Roberts
7:13.0,,,75-83,1,A. Jefferson makes free throw 2 of 2
6:57.0,J. Johnson misses 2-pt shot from 1 ft,,75-83,,
6:56.0,,,75-83,,Defensive rebound by A. Jefferson
6:38.0,,,75-83,,Turnover by M. Williams (traveling)
6:23.0,D. DeRozan misses 2-pt shot from 17 ft,,75-83,,
6:22.0,,,75-83,,Defensive rebound by M. Williams
6:01.0,Personal foul by K. Lowry (drawn by M. Williams),,75-83,,
6:01.0,,,75-84,1,M. Williams makes free throw 1 of 2
6:01.0,,,75-84,,C. Zeller enters the game for M. Williams
6:01.0,,,75-85,1,M. Williams makes free throw 2 of 2
5:49.0,K. Lowry misses 2-pt shot from 17 ft,,75-85,,
5:48.0,,,75-85,,Defensive rebound by L. Stephenson
5:45.0,Technical foul by J. Johnson,,75-85,,
5:45.0,,,75-86,1,M. Williams makes technical free throw
5:45.0,,,75-86,,L. Stephenson misses flagrant free throw 1 of 2
5:45.0,,,75-86,,Offensive rebound by Team
5:45.0,,,75-87,1,L. Stephenson makes flagrant free throw 2 of 2
5:45.0,,,75-87,,Charlotte full timeout
5:39.0,Personal foul by J. Johnson (drawn by C. Zeller),,75-87,,
5:39.0,,,75-88,1,C. Zeller makes free throw 1 of 2
5:39.0,T. Ross enters the game for G. Vasquez,,75-88,,
5:39.0,,,75-89,1,C. Zeller makes free throw 2 of 2
5:28.0,J. Johnson misses 2-pt shot from 17 ft,,75-89,,
5:27.0,,,75-89,,Defensive rebound by A. Jefferson
5:13.0,,,75-89,,Turnover by C. Zeller (bad pass; steal by J. Johnson)
5:07.0,T. Ross misses 3-pt shot from 25 ft,,75-89,,
5:05.0,,,75-89,,Defensive rebound by L. Stephenson
4:51.0,,,75-89,,A. Jefferson misses 2-pt shot at rim (block by J. Johnson)
4:49.0,,,75-89,,Offensive rebound by G. Henderson
4:49.0,,,75-89,,G. Henderson misses 2-pt shot from 18 ft
4:49.0,,,75-89,,Offensive rebound by L. Stephenson
4:49.0,,,75-91,2,L. Stephenson makes 2-pt shot at rim
4:49.0,,,75-91,,Technical foul by L. Stephenson
4:49.0,D. DeRozan makes technical free throw,1,76-91,,
4:49.0,A. Johnson enters the game for J. Johnson,,76-91,,
4:38.0,D. DeRozan makes 2-pt shot at rim,2,78-91,,
4:18.0,,,78-93,2,A. Jefferson makes 2-pt shot from 6 ft (assist by M. Williams)
4:02.0,K. Lowry misses 3-pt shot from 23 ft,,78-93,,
4:01.0,,,78-93,,Defensive rebound by C. Zeller
3:47.0,,,78-95,2,C. Zeller makes 2-pt shot at rim (assist by L. Stephenson)
3:47.0,Toronto full timeout,,78-95,,
3:36.0,Offensive foul by A. Johnson,,78-95,,
3:36.0,Turnover by A. Johnson (offensive foul),,78-95,,
3:12.0,,,78-95,,A. Jefferson misses 2-pt shot from 12 ft
3:11.0,Defensive rebound by P. Patterson,,78-95,,
2:56.0,A. Johnson misses 2-pt shot from 18 ft,,78-95,,
2:55.0,,,78-95,,Defensive rebound by C. Zeller
2:41.0,,,78-97,2,A. Jefferson makes 2-pt shot from 8 ft (assist by M. Williams)
2:26.0,D. DeRozan misses 2-pt shot from 17 ft,,78-97,,
2:24.0,Offensive rebound by T. Ross,,78-97,,
2:20.0,K. Lowry makes 3-pt shot from 25 ft (assist by T. Ross),3,81-97,,
1:58.0,,,81-97,,C. Zeller misses 2-pt shot from 14 ft
