time,Indiana,pts.away,score,pts.home,Milwaukee
3:48.0,,,14-14,2,G. Antetokounmpo makes 2-pt shot from 17 ft (assist by B. Knight)
3:32.0,L. Allen misses 2-pt shot from 15 ft,,14-14,,
3:30.0,,,14-14,,Defensive rebound by K. Middleton
3:22.0,,,14-14,,Z. Pachulia misses 2-pt shot at rim
3:20.0,Defensive rebound by D. Sloan,,14-14,,
3:12.0,,,14-14,,Personal foul by K. Middleton (drawn by C. Miles)
3:12.0,,,14-14,,J. Henson enters the game for Z. Pachulia
3:12.0,,,14-14,,O. Mayo enters the game for G. Antetokounmpo
2:58.0,D. West misses 2-pt shot from 9 ft,,14-14,,
2:57.0,,,14-14,,Defensive rebound by K. Middleton
2:47.0,Indiana full timeout,,14-14,,
2:34.0,,,14-16,2,B. Knight makes 2-pt shot from 18 ft
2:10.0,,,14-16,,Shooting block foul by O. Mayo (drawn by S. Hill)
2:10.0,S. Hill makes free throw 1 of 2,1,15-16,,
2:10.0,S. Hill makes free throw 2 of 2,1,16-16,,
2:02.0,,,16-16,,Turnover by O. Mayo (step out of bounds)
1:44.0,Turnover by C. Miles (bad pass; steal by J. Dudley),,16-16,,
1:41.0,,,16-18,2,K. Middleton makes 2-pt shot at rim (assist by J. Dudley)
1:39.0,,,16-18,,Violation by Team (delay of game)
1:24.0,C. Miles makes 3-pt shot from 26 ft (assist by D. Sloan),3,19-18,,
1:08.0,,,19-18,,O. Mayo misses 3-pt shot from 25 ft
1:06.0,Defensive rebound by D. West,,19-18,,
0:56.0,,,19-18,,Personal foul by J. Henson (drawn by L. Allen)
0:56.0,R. Stuckey enters the game for S. Hill,,19-18,,
0:56.0,C. Copeland enters the game for D. West,,19-18,,
0:56.0,L. Scola enters the game for D. Sloan,,19-18,,
0:48.0,C. Miles makes 2-pt shot from 17 ft (assist by R. Stuckey),2,21-18,,
0:38.0,,,21-18,,J. Dudley misses 3-pt shot from 25 ft
0:36.0,Defensive rebound by L. Allen,,21-18,,
0:28.0,L. Scola makes 2-pt shot at rim (assist by L. Allen),2,23-18,,
0:15.0,,,23-21,3,O. Mayo makes 3-pt shot from 23 ft (assist by B. Knight)
0:03.0,Turnover by R. Stuckey (lost ball; steal by B. Knight),,23-21,,
0:00.0,,,23-21,,K. Middleton misses 3-pt shot from 40 ft
0:00.0,,,23-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,C. Copeland misses 3-pt shot from 23 ft,,23-21,,
11:46.0,,,23-21,,Defensive rebound by J. Henson
11:35.0,,,23-23,2,O. Mayo makes 2-pt shot from 16 ft (assist by J. Bayless)
11:20.0,L. Scola makes 2-pt shot at rim (assist by L. Allen),2,25-23,,
11:10.0,,,25-23,,Turnover by O. Mayo (bad pass)
10:52.0,L. Allen makes 2-pt shot from 14 ft (assist by R. Stuckey),2,27-23,,
10:39.0,,,27-23,,O. Mayo misses 3-pt shot from 23 ft
10:38.0,,,27-23,,Offensive rebound by K. Marshall
10:32.0,,,27-25,2,J. Henson makes 2-pt shot at rim (assist by K. Marshall)
10:15.0,C. Miles misses 3-pt shot from 25 ft,,27-25,,
10:14.0,,,27-25,,Defensive rebound by J. Dudley
10:03.0,,,27-27,2,J. Henson makes 2-pt shot at rim (assist by J. Dudley)
9:43.0,L. Allen misses 2-pt shot from 8 ft,,27-27,,
9:42.0,,,27-27,,Defensive rebound by J. Henson
9:32.0,,,27-27,,Turnover by J. Bayless (bad pass; steal by C. Copeland)
9:26.0,C. Miles misses 2-pt shot from 3 ft,,27-27,,
9:26.0,Offensive rebound by Team,,27-27,,
9:26.0,,,27-27,,Loose ball foul by O. Mayo (drawn by C. Copeland)
9:10.0,Offensive charge foul by C. Copeland,,27-27,,
9:10.0,Turnover by C. Copeland (offensive foul),,27-27,,
8:59.0,,,27-29,2,J. Henson makes 2-pt shot from 5 ft (assist by K. Marshall)
8:46.0,C. Copeland misses 3-pt shot from 23 ft,,27-29,,
8:45.0,,,27-29,,Defensive rebound by K. Marshall
8:30.0,,,27-32,3,J. Dudley makes 3-pt shot from 23 ft (assist by J. Henson)
8:30.0,Indiana full timeout,,27-32,,
8:30.0,S. Hill enters the game for C. Copeland,,27-32,,
8:03.0,L. Scola makes 2-pt shot from 5 ft,2,29-32,,
7:50.0,,,29-32,,Turnover by K. Marshall (bad pass; steal by S. Hill)
7:40.0,L. Scola makes 2-pt shot at rim (assist by L. Allen),2,31-32,,
7:21.0,,,31-34,2,O. Mayo makes 2-pt shot from 2 ft
7:00.0,L. Scola misses 2-pt shot from 2 ft,,31-34,,
6:59.0,,,31-34,,Defensive rebound by J. Henson
6:48.0,,,31-34,,K. Marshall misses 3-pt shot from 23 ft
6:47.0,Defensive rebound by L. Scola,,31-34,,
6:38.0,C. Miles makes 3-pt shot from 28 ft (assist by S. Hill),3,34-34,,
6:24.0,,,34-34,,O. Mayo misses 2-pt shot from 17 ft
6:23.0,Defensive rebound by C. Miles,,34-34,,
6:14.0,R. Stuckey makes 2-pt shot from 7 ft,2,36-34,,
6:01.0,,,36-36,2,K. Marshall makes 2-pt shot at rim
5:42.0,L. Allen misses 2-pt shot from 5 ft (block by J. Henson),,36-36,,
5:42.0,Offensive rebound by Team,,36-36,,
5:42.0,Official timeout,,36-36,,
5:42.0,R. Hibbert enters the game for L. Allen,,36-36,,
5:42.0,,,36-36,,B. Knight enters the game for J. Dudley
5:42.0,,,36-36,,K. Middleton enters the game for J. Henson
5:42.0,,,36-36,,Z. Pachulia enters the game for O. Mayo
5:42.0,,,36-36,,G. Antetokounmpo enters the game for K. Marshall
5:41.0,Turnover by S. Hill (bad pass; steal by B. Knight),,36-36,,
5:35.0,,,36-36,,Shooting foul by R. Hibbert (drawn by Z. Pachulia)
5:35.0,,,36-37,1,Z. Pachulia makes free throw 1 of 2
5:35.0,D. Sloan enters the game for C. Miles,,36-37,,
5:35.0,,,36-38,1,Z. Pachulia makes free throw 2 of 2
5:20.0,R. Hibbert misses 2-pt shot from 6 ft (block by Z. Pachulia),,36-38,,
5:18.0,,,36-38,,Defensive rebound by K. Middleton
5:04.0,,,36-38,,Offensive charge foul by B. Knight
5:04.0,,,36-38,,Turnover by B. Knight (offensive foul)
4:54.0,Turnover by L. Scola (bad pass; steal by J. Bayless),,36-38,,
4:51.0,,,36-40,2,J. Bayless makes 2-pt shot at rim
4:33.0,,,36-40,,Violation by G. Antetokounmpo (def goaltending)
4:33.0,L. Scola makes 2-pt shot at rim (assist by R. Stuckey),2,38-40,,
4:20.0,,,38-43,3,B. Knight makes 3-pt shot from 23 ft (assist by J. Bayless)
4:00.0,S. Hill makes 2-pt shot from 2 ft (assist by D. Sloan),2,40-43,,
3:49.0,Personal foul by R. Stuckey (drawn by B. Knight),,40-43,,
3:43.0,,,40-43,,Shooting foul by R. Stuckey (drawn by Z. Pachulia)
3:43.0,,,40-44,1,Z. Pachulia makes free throw 1 of 2
3:43.0,D. West enters the game for L. Scola,,40-44,,
3:43.0,,,40-45,1,Z. Pachulia makes free throw 2 of 2
3:23.0,R. Hibbert makes 2-pt shot from 8 ft,2,42-45,,
2:54.0,,,42-45,,Z. Pachulia misses 2-pt shot from 16 ft
2:54.0,,,42-45,,Offensive rebound by Team
2:54.0,,,42-45,,Turnover by Team (shot clock)
2:54.0,,,42-45,,Milwaukee full timeout
2:54.0,C. Miles enters the game for R. Stuckey,,42-45,,
2:36.0,C. Miles misses 3-pt shot from 23 ft,,42-45,,
2:35.0,,,42-45,,Defensive rebound by G. Antetokounmpo
2:14.0,,,42-45,,K. Middleton misses 3-pt shot from 26 ft
2:13.0,Defensive rebound by D. Sloan,,42-45,,
1:58.0,C. Miles makes 2-pt shot from 10 ft (assist by D. Sloan),2,44-45,,
1:42.0,,,44-47,2,Z. Pachulia makes 2-pt shot from 5 ft (assist by J. Bayless)
1:24.0,Turnover by R. Hibbert (lost ball; steal by Z. Pachulia),,44-47,,
1:19.0,,,44-49,2,J. Bayless makes 2-pt shot from 1 ft (assist by B. Knight)
1:01.0,R. Hibbert makes 2-pt shot from 18 ft (assist by S. Hill),2,46-49,,
0:51.0,,,46-51,2,B. Knight makes 2-pt shot from 14 ft (assist by J. Bayless)
0:40.0,D. Sloan misses 2-pt shot at rim,,46-51,,
0:38.0,,,46-51,,Defensive rebound by Z. Pachulia
0:32.0,,,46-51,,J. Bayless misses 3-pt shot from 27 ft
0:31.0,,,46-51,,Offensive rebound by G. Antetokounmpo
0:08.0,,,46-51,,J. Bayless misses 2-pt shot from 6 ft
0:07.0,,,46-51,,Offensive rebound by Z. Pachulia
0:06.0,,,46-53,2,Z. Pachulia makes 2-pt shot at rim
0:02.0,D. Sloan misses 2-pt shot from 18 ft,,46-53,,
0:01.0,,,46-53,,Defensive rebound by Z. Pachulia
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,Offensive foul by R. Hibbert,,46-53,,
11:48.0,Turnover by R. Hibbert (offensive foul),,46-53,,
11:38.0,,,46-53,,J. O'Bryant misses 2-pt shot from 14 ft
11:36.0,Defensive rebound by R. Stuckey,,46-53,,
11:26.0,R. Hibbert misses 2-pt shot from 10 ft,,46-53,,
11:25.0,Offensive rebound by D. West,,46-53,,
11:23.0,D. West makes 2-pt shot at rim,2,48-53,,
10:58.0,,,48-53,,G. Antetokounmpo misses 2-pt shot from 20 ft
10:57.0,,,48-53,,Offensive rebound by Z. Pachulia
10:41.0,,,48-53,,Z. Pachulia misses 2-pt shot from 15 ft
10:41.0,,,48-53,,Offensive rebound by Team
10:27.0,,,48-53,,Turnover by K. Middleton (bad pass; steal by S. Hill)
10:26.0,Turnover by S. Hill (bad pass),,48-53,,
10:11.0,,,48-53,,Turnover by J. O'Bryant (lost ball; steal by D. Sloan)
9:55.0,R. Hibbert makes 2-pt shot at rim (assist by D. West),2,50-53,,
9:43.0,,,50-55,2,B. Knight makes 2-pt shot from 2 ft
9:14.0,S. Hill misses 2-pt shot from 5 ft (block by G. Antetokounmpo),,50-55,,
9:12.0,,,50-55,,Defensive rebound by K. Middleton
9:03.0,,,50-55,,K. Middleton misses 3-pt shot from 23 ft
9:02.0,Defensive rebound by R. Hibbert,,50-55,,
8:47.0,D. Sloan misses 3-pt shot from 26 ft,,50-55,,
8:46.0,Offensive rebound by R. Hibbert,,50-55,,
8:45.0,,,50-55,,Personal foul by G. Antetokounmpo (drawn by R. Hibbert)
8:31.0,S. Hill misses 2-pt shot at rim,,50-55,,
8:30.0,Offensive rebound by R. Hibbert,,50-55,,
8:29.0,R. Hibbert makes 2-pt shot from 1 ft,2,52-55,,
8:18.0,Personal foul by R. Stuckey (drawn by Z. Pachulia),,52-55,,
8:14.0,,,52-57,2,K. Middleton makes 2-pt shot at rim (assist by Z. Pachulia)
7:48.0,R. Hibbert misses 2-pt shot from 11 ft,,52-57,,
7:46.0,,,52-57,,Defensive rebound by Z. Pachulia
7:35.0,,,52-59,2,B. Knight makes 2-pt shot from 18 ft
7:08.0,D. Sloan makes 2-pt shot at rim,2,54-59,,
6:57.0,,,54-59,,B. Knight misses 2-pt shot from 15 ft
6:56.0,Defensive rebound by D. West,,54-59,,
6:41.0,Shooting foul by K. Middleton (drawn by R. Hibbert),,54-59,,
6:41.0,R. Hibbert makes free throw 1 of 2,1,55-59,,
6:41.0,C. Miles enters the game for D. Sloan,,55-59,,
6:41.0,R. Hibbert makes free throw 2 of 2,1,56-59,,
6:28.0,,,56-61,2,K. Middleton makes 2-pt shot from 1 ft (assist by J. O'Bryant)
6:16.0,Offensive foul by R. Hibbert,,56-61,,
6:16.0,Turnover by R. Hibbert (offensive foul),,56-61,,
6:00.0,,,56-61,,J. O'Bryant misses 2-pt shot from 15 ft
5:59.0,Defensive rebound by C. Miles,,56-61,,
5:50.0,,,56-61,,Def 3 sec tech foul by Z. Pachulia
5:50.0,,,56-61,,Milwaukee full timeout
5:50.0,,,56-61,,J. Dudley enters the game for J. O'Bryant
5:50.0,,,56-61,,J. Henson enters the game for Z. Pachulia
5:50.0,C. Miles misses technical free throw,,56-61,,
5:50.0,Offensive rebound by Team,,56-61,,
5:38.0,R. Stuckey misses 2-pt shot from 19 ft,,56-61,,
5:37.0,Offensive rebound by D. West,,56-61,,
5:32.0,R. Stuckey makes 2-pt shot from 8 ft (assist by D. West),2,58-61,,
5:19.0,,,58-63,2,J. Henson makes 2-pt shot at rim (assist by B. Knight)
4:56.0,Turnover by D. West (bad pass; steal by B. Knight),,58-63,,
4:52.0,,,58-63,,B. Knight misses 2-pt shot from 1 ft
4:49.0,Defensive rebound by S. Hill,,58-63,,
4:39.0,C. Miles makes 3-pt shot from 24 ft (assist by R. Stuckey),3,61-63,,
4:22.0,,,61-63,,Turnover by B. Knight (bad pass; steal by S. Hill)
4:15.0,C. Miles misses 2-pt shot from 1 ft,,61-63,,
4:15.0,Offensive rebound by Team,,61-63,,
4:15.0,L. Allen enters the game for R. Hibbert,,61-63,,
4:12.0,S. Hill misses 2-pt shot from 16 ft,,61-63,,
4:11.0,,,61-63,,Defensive rebound by K. Middleton
4:07.0,,,61-65,2,B. Knight makes 2-pt shot at rim (assist by K. Middleton)
3:47.0,R. Stuckey misses 3-pt shot from 24 ft,,61-65,,
3:46.0,,,61-65,,Defensive rebound by K. Middleton
3:38.0,,,61-65,,G. Antetokounmpo misses 2-pt shot from 7 ft
3:37.0,Defensive rebound by L. Allen,,61-65,,
3:28.0,R. Stuckey misses 2-pt shot from 1 ft (block by J. Henson),,61-65,,
3:26.0,,,61-65,,Defensive rebound by K. Middleton
3:07.0,,,61-65,,J. Henson misses 2-pt shot from 6 ft
3:06.0,Defensive rebound by R. Stuckey,,61-65,,
2:56.0,D. West misses 2-pt shot from 15 ft,,61-65,,
2:55.0,Offensive rebound by L. Allen,,61-65,,
2:52.0,L. Allen misses 2-pt shot from 4 ft,,61-65,,
2:52.0,,,61-65,,Defensive rebound by Team
2:52.0,Indiana full timeout,,61-65,,
2:52.0,C. Copeland enters the game for S. Hill,,61-65,,
2:52.0,,,61-65,,J. Bayless enters the game for K. Middleton
2:52.0,,,61-65,,O. Mayo enters the game for B. Knight
2:37.0,,,61-65,,Turnover by G. Antetokounmpo (lost ball; steal by D. West)
2:35.0,,,61-65,,Personal foul by G. Antetokounmpo (drawn by R. Stuckey)
2:26.0,C. Miles misses 3-pt shot from 27 ft,,61-65,,
2:25.0,,,61-65,,Defensive rebound by J. Dudley
2:19.0,,,61-65,,Offensive foul by J. Henson
2:19.0,,,61-65,,Turnover by J. Henson (offensive foul)
2:04.0,D. West makes 2-pt shot from 4 ft (assist by L. Allen),2,63-65,,
1:49.0,,,63-65,,J. Henson misses 2-pt shot from 5 ft
1:48.0,Defensive rebound by L. Allen,,63-65,,
1:35.0,D. West misses 2-pt shot from 6 ft,,63-65,,
1:34.0,,,63-65,,Defensive rebound by J. Henson
1:19.0,,,63-65,,O. Mayo misses 2-pt shot from 14 ft
1:17.0,,,63-65,,Offensive rebound by J. Henson
1:15.0,,,63-65,,Turnover by J. Henson (lost ball; steal by R. Stuckey)
1:04.0,L. Allen misses 2-pt shot from 17 ft,,63-65,,
1:02.0,Offensive rebound by D. West,,63-65,,
0:52.0,L. Allen misses 2-pt shot from 3 ft,,63-65,,
0:51.0,,,63-65,,Defensive rebound by J. Henson
0:45.0,,,63-68,3,J. Dudley makes 3-pt shot from 24 ft (assist by J. Bayless)
0:28.0,R. Stuckey makes 2-pt shot from 9 ft,2,65-68,,
0:27.0,,,65-68,,Technical foul by J. Dudley
0:27.0,R. Stuckey makes technical free throw,1,66-68,,
0:02.0,,,66-68,,J. Bayless misses 2-pt shot at rim
0:01.0,,,66-68,,Offensive rebound by J. Henson
0:00.0,,,66-68,,J. Henson misses 2-pt shot at rim
0:00.0,Defensive rebound by L. Allen,,66-68,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,Personal block foul by C. Miles (drawn by J. Bayless),,66-68,,
11:33.0,,,66-68,,J. Bayless misses 2-pt shot from 16 ft
11:32.0,Defensive rebound by D. Sloan,,66-68,,
11:18.0,Turnover by L. Allen (lost ball; steal by J. Bayless),,66-68,,
11:11.0,,,66-68,,O. Mayo misses 3-pt shot from 25 ft
11:10.0,Defensive rebound by L. Scola,,66-68,,
10:48.0,L. Allen makes 2-pt shot at rim (assist by L. Scola),2,68-68,,
10:28.0,,,68-70,2,J. Henson makes 2-pt shot at rim (assist by K. Marshall)
10:07.0,,,68-70,,Violation by J. Henson (def goaltending)
10:07.0,L. Scola makes 2-pt shot from 5 ft (assist by L. Allen),2,70-70,,
9:52.0,,,70-72,2,J. Bayless makes 2-pt shot from 18 ft
9:38.0,D. Sloan makes 3-pt shot from 26 ft,3,73-72,,
9:10.0,,,73-72,,J. Dudley misses 2-pt shot from 19 ft
9:09.0,Defensive rebound by D. Sloan,,73-72,,
8:55.0,C. Miles misses 2-pt shot from 18 ft,,73-72,,
8:54.0,,,73-72,,Defensive rebound by O. Mayo
8:49.0,,,73-72,,O. Mayo misses 2-pt shot from 1 ft (block by C. Miles)
8:46.0,Defensive rebound by D. Sloan,,73-72,,
8:38.0,C. Miles makes 3-pt shot from 25 ft (assist by D. Sloan),3,76-72,,
8:34.0,,,76-74,2,O. Mayo makes 2-pt shot at rim (assist by J. Dudley)
8:07.0,D. Sloan misses 3-pt shot from 26 ft,,76-74,,
8:05.0,Offensive rebound by L. Scola,,76-74,,
8:04.0,L. Scola makes 2-pt shot at rim,2,78-74,,
7:44.0,,,78-76,2,J. Henson makes 2-pt shot at rim (assist by K. Marshall)
7:17.0,C. Miles makes 3-pt shot from 26 ft,3,81-76,,
7:01.0,,,81-76,,Shooting foul by L. Allen (drawn by J. Henson)
7:01.0,Official timeout,,81-76,,
7:01.0,,,81-76,,G. Antetokounmpo enters the game for J. Dudley
7:01.0,S. Hill enters the game for C. Miles,,81-76,,
7:01.0,,,81-76,,J. Henson misses free throw 1 of 2
7:01.0,,,81-76,,Offensive rebound by Team
7:01.0,,,81-77,1,J. Henson makes free throw 2 of 2
6:37.0,L. Scola misses 2-pt shot at rim (block by G. Antetokounmpo),,81-77,,
6:34.0,,,81-77,,Defensive rebound by J. Henson
6:27.0,,,81-77,,Shooting foul by L. Allen (drawn by J. Henson)
6:27.0,,,81-78,1,J. Henson makes free throw 1 of 2
6:27.0,,,81-78,,J. Henson misses free throw 2 of 2
6:26.0,Defensive rebound by L. Scola,,81-78,,
6:11.0,L. Allen makes 2-pt shot from 3 ft (assist by D. Sloan),2,83-78,,
5:51.0,,,83-78,,J. Bayless misses 2-pt shot from 3 ft (block by L. Allen)
5:51.0,,,83-78,,Offensive rebound by J. Henson
5:51.0,Loose ball foul by L. Allen (drawn by J. Henson),,83-78,,
5:51.0,,,83-78,,Milwaukee full timeout
5:51.0,,,83-78,,B. Knight enters the game for K. Marshall
5:42.0,,,83-78,,G. Antetokounmpo misses 3-pt shot from 25 ft
5:41.0,Defensive rebound by D. Sloan,,83-78,,
5:24.0,,,83-78,,Personal foul by J. Henson (drawn by L. Allen)
5:14.0,C. Copeland misses 3-pt shot from 26 ft,,83-78,,
5:12.0,,,83-78,,Defensive rebound by B. Knight
4:53.0,,,83-78,,B. Knight misses 2-pt shot from 16 ft
4:52.0,Defensive rebound by L. Scola,,83-78,,
4:40.0,D. Sloan misses 2-pt shot from 17 ft,,83-78,,
4:39.0,,,83-78,,Defensive rebound by J. Henson
4:29.0,,,83-78,,J. Bayless misses 3-pt shot from 26 ft
4:28.0,Defensive rebound by D. Sloan,,83-78,,
4:12.0,Shooting foul by G. Antetokounmpo (drawn by L. Scola),,83-78,,
4:12.0,L. Scola misses free throw 1 of 2,,83-78,,
4:12.0,Offensive rebound by Team,,83-78,,
4:12.0,R. Hibbert enters the game for L. Allen,,83-78,,
4:12.0,C. Miles enters the game for C. Copeland,,83-78,,
4:12.0,,,83-78,,Z. Pachulia enters the game for J. Henson
4:12.0,,,83-78,,K. Middleton enters the game for J. Bayless
4:12.0,L. Scola misses free throw 2 of 2,,83-78,,
4:11.0,,,83-78,,Defensive rebound by Z. Pachulia
4:05.0,,,83-78,,O. Mayo misses 2-pt shot at rim
4:03.0,Defensive rebound by S. Hill,,83-78,,
3:51.0,,,83-78,,Personal foul by G. Antetokounmpo (drawn by R. Hibbert)
3:51.0,D. West enters the game for L. Scola,,83-78,,
3:39.0,D. Sloan misses 2-pt shot at rim,,83-78,,
3:38.0,Offensive rebound by R. Hibbert,,83-78,,
3:26.0,Turnover by D. West (bad pass),,83-78,,
3:12.0,,,83-78,,B. Knight misses 2-pt shot from 5 ft
3:11.0,Defensive rebound by C. Miles,,83-78,,
3:06.0,Indiana full timeout,,83-78,,
2:49.0,R. Hibbert misses 2-pt shot from 10 ft,,83-78,,
2:48.0,Offensive rebound by S. Hill,,83-78,,
2:32.0,Shooting foul by K. Middleton (drawn by R. Hibbert),,83-78,,
2:32.0,R. Hibbert makes free throw 1 of 2,1,84-78,,
2:32.0,R. Hibbert makes free throw 2 of 2,1,85-78,,
2:18.0,Shooting block foul by R. Hibbert (drawn by G. Antetokounmpo),,85-78,,
2:18.0,,,85-79,1,G. Antetokounmpo makes free throw 1 of 2
2:18.0,,,85-80,1,G. Antetokounmpo makes free throw 2 of 2
2:00.0,D. Sloan makes 2-pt shot at rim,2,87-80,,
1:45.0,,,87-80,,G. Antetokounmpo misses 2-pt shot at rim
1:42.0,Defensive rebound by D. Sloan,,87-80,,
1:28.0,R. Hibbert misses 2-pt shot from 9 ft,,87-80,,
1:26.0,,,87-80,,Defensive rebound by Z. Pachulia
1:19.0,,,87-80,,Z. Pachulia misses 2-pt shot at rim (block by C. Miles)
1:16.0,Defensive rebound by C. Miles,,87-80,,
0:57.0,D. Sloan misses 3-pt shot from 25 ft,,87-80,,
0:56.0,,,87-80,,Defensive rebound by G. Antetokounmpo
0:50.0,,,87-80,,B. Knight misses 3-pt shot from 25 ft
0:50.0,,,87-80,,Offensive rebound by K. Middleton
0:50.0,,,87-82,2,K. Middleton makes 2-pt shot at rim
0:50.0,Indiana full timeout,,87-82,,
0:50.0,,,87-82,,J. Dudley enters the game for Z. Pachulia
0:50.0,R. Stuckey enters the game for D. Sloan,,87-82,,
0:47.0,,,87-82,,Personal foul by O. Mayo (drawn by R. Stuckey)
0:47.0,R. Stuckey makes free throw 1 of 2,1,88-82,,
0:47.0,,,88-82,,Z. Pachulia enters the game for J. Dudley
0:47.0,R. Stuckey makes free throw 2 of 2,1,89-82,,
0:47.0,,,89-82,,Milwaukee full timeout
0:47.0,,,89-82,,J. Dudley enters the game for G. Antetokounmpo
0:39.0,,,89-82,,B. Knight misses 3-pt shot from 25 ft
0:37.0,,,89-82,,Offensive rebound by Z. Pachulia
0:35.0,,,89-85,3,J. Dudley makes 3-pt shot from 25 ft (assist by O. Mayo)
0:35.0,Indiana full timeout,,89-85,,
0:35.0,L. Scola enters the game for R. Hibbert,,89-85,,
0:28.0,,,89-85,,Personal foul by K. Middleton (drawn by R. Stuckey)
0:28.0,R. Stuckey makes free throw 1 of 2,1,90-85,,
0:28.0,R. Hibbert enters the game for L. Scola,,90-85,,
0:28.0,R. Stuckey makes free throw 2 of 2,1,91-85,,
