time,Memphis,pts.away,score,pts.home,Oklahoma City
5:19.0,,,12-20,,Defensive rebound by R. Westbrook
5:14.0,,,12-20,,R. Westbrook misses 2-pt shot at rim
5:13.0,Defensive rebound by Z. Randolph,,12-20,,
5:08.0,C. Lee misses 3-pt shot from 22 ft,,12-20,,
5:07.0,Offensive rebound by N. Calathes,,12-20,,
5:05.0,,,12-20,,Personal foul by D. Waiters (drawn by N. Calathes)
4:55.0,J. Green misses 2-pt shot from 8 ft,,12-20,,
4:54.0,Offensive rebound by Z. Randolph,,12-20,,
4:53.0,Z. Randolph misses 2-pt shot from 1 ft,,12-20,,
4:52.0,Offensive rebound by Z. Randolph,,12-20,,
4:50.0,Z. Randolph makes 2-pt shot from 1 ft,2,14-20,,
4:41.0,,,14-20,,Oklahoma City full timeout
4:41.0,T. Allen enters the game for C. Lee,,14-20,,
4:41.0,,,14-20,,N. Collison enters the game for S. Ibaka
4:29.0,,,14-20,,N. Collison misses 3-pt shot from 22 ft
4:26.0,,,14-20,,Offensive rebound by R. Westbrook
4:26.0,,,14-20,,R. Westbrook misses 2-pt shot from 1 ft
4:25.0,Defensive rebound by T. Allen,,14-20,,
4:10.0,Shooting foul by N. Collison (drawn by Z. Randolph),,14-20,,
4:10.0,Z. Randolph makes free throw 1 of 2,1,15-20,,
4:10.0,Z. Randolph makes free throw 2 of 2,1,16-20,,
3:55.0,,,16-20,,R. Westbrook misses 2-pt shot from 8 ft
3:54.0,Defensive rebound by M. Gasol,,16-20,,
3:52.0,,,16-20,,Personal foul by D. Waiters (drawn by N. Calathes)
3:52.0,,,16-20,,M. McGary enters the game for K. Perkins
3:52.0,,,16-20,,A. Morrow enters the game for D. Waiters
3:40.0,M. Gasol misses 2-pt shot from 12 ft,,16-20,,
3:39.0,Offensive rebound by Team,,16-20,,
3:39.0,,,16-20,,Personal foul by N. Collison (drawn by Z. Randolph)
3:39.0,Z. Randolph makes free throw 1 of 2,1,17-20,,
3:39.0,B. Udrih enters the game for J. Green,,17-20,,
3:39.0,Z. Randolph makes free throw 2 of 2,1,18-20,,
3:28.0,,,18-20,,Shooting foul by Z. Randolph (drawn by R. Westbrook)
3:28.0,,,18-21,1,R. Westbrook makes free throw 1 of 2
3:28.0,,,18-22,1,R. Westbrook makes free throw 2 of 2
3:09.0,M. Gasol misses 2-pt shot from 11 ft,,18-22,,
3:08.0,,,18-22,,Defensive rebound by N. Collison
3:00.0,,,18-24,2,N. Collison makes 2-pt shot from 8 ft (assist by R. Westbrook)
2:46.0,N. Calathes misses 2-pt shot at rim,,18-24,,
2:45.0,Offensive rebound by Z. Randolph,,18-24,,
2:45.0,Z. Randolph makes 2-pt shot from 1 ft,2,20-24,,
2:32.0,,,20-26,2,N. Collison makes 2-pt shot from 3 ft (assist by R. Westbrook)
2:10.0,Shooting foul by M. McGary (drawn by M. Gasol),,20-26,,
2:10.0,M. Gasol makes free throw 1 of 2,1,21-26,,
2:10.0,K. Koufos enters the game for Z. Randolph,,21-26,,
2:10.0,,,21-26,,R. Jackson enters the game for R. Westbrook
2:10.0,M. Gasol makes free throw 2 of 2,1,22-26,,
1:59.0,Personal foul by T. Allen (drawn by K. Durant),,22-26,,
1:59.0,,,22-27,1,K. Durant makes free throw 1 of 2
1:59.0,,,22-28,1,K. Durant makes free throw 2 of 2
1:47.0,,,22-28,,Personal foul by M. McGary (drawn by M. Gasol)
1:47.0,M. Gasol makes free throw 1 of 2,1,23-28,,
1:47.0,,,23-28,,K. Perkins enters the game for M. McGary
1:47.0,M. Gasol makes free throw 2 of 2,1,24-28,,
1:31.0,,,24-30,2,K. Durant makes 2-pt shot from 1 ft (assist by N. Collison)
1:16.0,N. Calathes makes 2-pt shot from 8 ft,2,26-30,,
0:58.0,,,26-30,,N. Collison misses 2-pt shot from 18 ft
0:57.0,Defensive rebound by B. Udrih,,26-30,,
0:50.0,B. Udrih misses 2-pt shot from 1 ft,,26-30,,
0:49.0,,,26-30,,Defensive rebound by K. Perkins
0:40.0,,,26-32,2,R. Jackson makes 2-pt shot from 15 ft
0:30.0,B. Udrih misses 2-pt shot from 19 ft,,26-32,,
0:29.0,,,26-32,,Defensive rebound by R. Jackson
0:07.0,,,26-35,3,N. Collison makes 3-pt shot from 22 ft (assist by R. Jackson)
0:00.0,M. Gasol misses 3-pt shot from 24 ft,,26-35,,
0:00.0,,,26-35,,Defensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,K. Koufos makes 2-pt shot from 4 ft (assist by T. Allen),2,28-35,,
11:28.0,,,28-37,2,D. Waiters makes 2-pt shot from 18 ft
11:15.0,K. Koufos misses 2-pt shot from 5 ft,,28-37,,
11:14.0,,,28-37,,Defensive rebound by N. Collison
11:05.0,,,28-37,,R. Jackson misses 2-pt shot from 11 ft
11:04.0,Defensive rebound by K. Koufos,,28-37,,
10:54.0,J. Leuer misses 2-pt shot from 17 ft,,28-37,,
10:53.0,,,28-37,,Defensive rebound by N. Collison
10:46.0,,,28-37,,Turnover by R. Jackson (bad pass; steal by J. Leuer)
10:34.0,Turnover by B. Udrih (bad pass; steal by A. Morrow),,28-37,,
10:27.0,,,28-39,2,P. Jones makes 2-pt shot at rim (assist by R. Jackson)
10:03.0,T. Allen makes 2-pt shot from 15 ft,2,30-39,,
9:45.0,,,30-39,,A. Morrow misses 3-pt shot from 24 ft
9:45.0,Defensive rebound by J. Leuer,,30-39,,
9:29.0,B. Udrih makes 2-pt shot from 17 ft,2,32-39,,
9:04.0,,,32-39,,D. Waiters misses 2-pt shot from 7 ft
9:03.0,Defensive rebound by K. Koufos,,32-39,,
8:57.0,B. Udrih makes 2-pt shot at rim (assist by N. Calathes),2,34-39,,
8:55.0,,,34-39,,Oklahoma City full timeout
8:55.0,,,34-39,,R. Westbrook enters the game for R. Jackson
8:55.0,,,34-39,,Technical foul by D. Waiters
8:55.0,B. Udrih makes technical free throw,1,35-39,,
8:39.0,,,35-39,,P. Jones misses 2-pt shot from 6 ft
8:38.0,Defensive rebound by K. Koufos,,35-39,,
8:22.0,T. Allen misses 2-pt shot from 6 ft,,35-39,,
8:21.0,Offensive rebound by K. Koufos,,35-39,,
8:18.0,K. Koufos makes 2-pt shot from 3 ft,2,37-39,,
7:58.0,,,37-39,,R. Westbrook misses 2-pt shot from 17 ft
7:57.0,,,37-39,,Offensive rebound by N. Collison
7:57.0,,,37-41,2,N. Collison makes 2-pt shot from 1 ft
7:42.0,Turnover by N. Calathes (bad pass; steal by P. Jones),,37-41,,
7:39.0,,,37-41,,Turnover by P. Jones (bad pass; steal by K. Koufos)
7:31.0,Shooting foul by D. Waiters (drawn by T. Allen),,37-41,,
7:31.0,T. Allen misses free throw 1 of 2,,37-41,,
7:31.0,Offensive rebound by Team,,37-41,,
7:31.0,J. Green enters the game for N. Calathes,,37-41,,
7:31.0,,,37-41,,K. Durant enters the game for P. Jones
7:31.0,,,37-41,,K. Perkins enters the game for N. Collison
7:31.0,,,37-41,,R. Jackson enters the game for D. Waiters
7:31.0,T. Allen makes free throw 2 of 2,1,38-41,,
7:20.0,,,38-43,2,R. Westbrook makes 2-pt shot from 2 ft (assist by K. Durant)
7:05.0,Memphis full timeout,,38-43,,
7:05.0,Z. Randolph enters the game for J. Leuer,,38-43,,
7:00.0,,,38-43,,Personal foul by K. Perkins (drawn by Z. Randolph)
6:49.0,T. Allen misses 2-pt shot from 2 ft,,38-43,,
6:48.0,Offensive rebound by K. Koufos,,38-43,,
6:43.0,T. Allen makes 2-pt shot at rim (assist by J. Green),2,40-43,,
6:30.0,,,40-43,,Turnover by R. Westbrook (bad pass)
6:30.0,,,40-43,,S. Ibaka enters the game for A. Morrow
6:12.0,B. Udrih misses 2-pt shot from 18 ft,,40-43,,
6:11.0,,,40-43,,Defensive rebound by S. Ibaka
6:07.0,,,40-43,,Shooting foul by B. Udrih (drawn by R. Westbrook)
6:07.0,,,40-44,1,R. Westbrook makes free throw 1 of 2
6:07.0,,,40-45,1,R. Westbrook makes free throw 2 of 2
5:55.0,B. Udrih makes 2-pt shot from 13 ft (assist by T. Allen),2,42-45,,
5:44.0,,,42-45,,Turnover by R. Westbrook (lost ball; steal by T. Allen)
5:34.0,B. Udrih misses 2-pt shot from 7 ft,,42-45,,
5:33.0,,,42-45,,Defensive rebound by S. Ibaka
5:22.0,,,42-47,2,R. Jackson makes 2-pt shot from 18 ft
5:04.0,J. Green misses 2-pt shot from 4 ft (block by S. Ibaka),,42-47,,
5:03.0,,,42-47,,Defensive rebound by R. Jackson
5:00.0,Personal take foul by K. Koufos (drawn by R. Jackson),,42-47,,
5:00.0,M. Conley enters the game for B. Udrih,,42-47,,
4:54.0,,,42-50,3,R. Westbrook makes 3-pt shot from 24 ft (assist by K. Perkins)
4:32.0,Z. Randolph misses 2-pt shot from 2 ft (block by S. Ibaka),,42-50,,
4:31.0,,,42-50,,Defensive rebound by K. Perkins
4:25.0,,,42-52,2,R. Jackson makes 2-pt shot from 1 ft (assist by R. Westbrook)
4:15.0,Memphis full timeout,,42-52,,
4:15.0,C. Lee enters the game for T. Allen,,42-52,,
4:15.0,M. Gasol enters the game for K. Koufos,,42-52,,
4:08.0,J. Green misses 2-pt shot from 1 ft (block by K. Durant),,42-52,,
4:07.0,,,42-52,,Defensive rebound by K. Durant
4:03.0,,,42-55,3,K. Durant makes 3-pt shot from 24 ft
3:38.0,C. Lee misses 3-pt shot from 24 ft,,42-55,,
3:37.0,,,42-55,,Defensive rebound by R. Westbrook
3:31.0,,,42-58,3,K. Durant makes 3-pt shot from 25 ft (assist by R. Westbrook)
3:15.0,,,42-58,,Personal foul by S. Ibaka (drawn by Z. Randolph)
3:05.0,M. Gasol misses 2-pt shot from 5 ft,,42-58,,
3:04.0,,,42-58,,Defensive rebound by Team
3:04.0,Loose ball foul by Z. Randolph (drawn by K. Durant),,42-58,,
2:46.0,,,42-60,2,S. Ibaka makes 2-pt shot from 8 ft (assist by R. Westbrook)
2:31.0,,,42-60,,Violation by K. Perkins (def goaltending)
2:31.0,Z. Randolph makes 2-pt shot from 5 ft (assist by J. Green),2,44-60,,
2:19.0,,,44-60,,Shooting foul by M. Gasol (drawn by R. Westbrook)
2:19.0,,,44-61,1,R. Westbrook makes free throw 1 of 3
2:19.0,,,44-62,1,R. Westbrook makes free throw 2 of 3
2:19.0,,,44-62,,A. Roberson enters the game for R. Jackson
2:19.0,,,44-63,1,R. Westbrook makes free throw 3 of 3
1:57.0,J. Green misses 2-pt shot from 17 ft,,44-63,,
1:55.0,Offensive rebound by Z. Randolph,,44-63,,
1:53.0,Turnover by Z. Randolph (bad pass; steal by K. Durant),,44-63,,
1:44.0,,,44-63,,K. Durant misses 3-pt shot from 25 ft
1:44.0,Defensive rebound by Z. Randolph,,44-63,,
1:34.0,M. Conley misses 2-pt shot from 11 ft,,44-63,,
1:34.0,Offensive rebound by Team,,44-63,,
1:34.0,,,44-63,,N. Collison enters the game for K. Perkins
1:25.0,J. Green misses 2-pt shot from 12 ft (block by K. Durant),,44-63,,
1:23.0,Offensive rebound by Z. Randolph,,44-63,,
1:22.0,Z. Randolph misses 2-pt shot at rim,,44-63,,
1:20.0,,,44-63,,Defensive rebound by S. Ibaka
1:11.0,,,44-63,,Turnover by S. Ibaka (lost ball)
0:58.0,J. Green misses 2-pt shot from 20 ft,,44-63,,
0:57.0,,,44-63,,Defensive rebound by K. Durant
0:50.0,,,44-63,,Shooting foul by C. Lee (drawn by R. Westbrook)
0:50.0,,,44-64,1,R. Westbrook makes free throw 1 of 2
0:50.0,,,44-65,1,R. Westbrook makes free throw 2 of 2
0:41.0,M. Conley makes 2-pt shot from 3 ft,2,46-65,,
0:29.0,,,46-65,,N. Collison misses 2-pt shot from 3 ft
0:27.0,,,46-65,,Offensive rebound by S. Ibaka
0:26.0,,,46-65,,S. Ibaka misses 2-pt shot from 2 ft (block by M. Gasol)
0:24.0,,,46-65,,Offensive rebound by S. Ibaka
0:24.0,,,46-65,,Shooting foul by J. Green (drawn by S. Ibaka)
0:24.0,,,46-65,,S. Ibaka misses free throw 1 of 2
0:24.0,,,46-65,,Offensive rebound by Team
0:24.0,,,46-65,,P. Jones enters the game for N. Collison
0:24.0,,,46-66,1,S. Ibaka makes free throw 2 of 2
0:03.0,Shooting foul by S. Ibaka (drawn by M. Conley),,46-66,,
0:03.0,M. Conley makes free throw 1 of 2,1,47-66,,
0:03.0,,,47-66,,Oklahoma City full timeout
0:03.0,N. Calathes enters the game for Z. Randolph,,47-66,,
0:03.0,T. Allen enters the game for M. Gasol,,47-66,,
0:03.0,,,47-66,,A. Morrow enters the game for A. Roberson
0:03.0,,,47-66,,N. Collison enters the game for P. Jones
0:03.0,M. Conley makes free throw 2 of 2,1,48-66,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,Z. Randolph misses 2-pt shot from 13 ft,,48-66,,
11:36.0,,,48-66,,Defensive rebound by K. Durant
11:22.0,,,48-69,3,K. Durant makes 3-pt shot from 24 ft
11:10.0,Shooting foul by A. Roberson (drawn by J. Green),,48-69,,
11:10.0,J. Green makes free throw 1 of 2,1,49-69,,
11:10.0,J. Green makes free throw 2 of 2,1,50-69,,
10:56.0,,,50-69,,S. Ibaka misses 2-pt shot from 5 ft
10:55.0,Defensive rebound by M. Conley,,50-69,,
10:36.0,Z. Randolph misses 2-pt shot from 6 ft,,50-69,,
10:35.0,,,50-69,,Defensive rebound by K. Perkins
10:28.0,,,50-69,,R. Westbrook misses 2-pt shot from 14 ft
10:27.0,Defensive rebound by M. Gasol,,50-69,,
10:11.0,Jump ball: Z. Randolph vs. R. Westbrook (K. Perkins gains possession),,,,Jump ball: Z. Randolph vs. R. Westbrook (K. Perkins gains possession)
10:11.0,Turnover by Z. Randolph (lost ball; steal by R. Westbrook),,50-69,,
10:03.0,,,50-69,,Turnover by S. Ibaka (lost ball)
9:56.0,M. Conley misses 3-pt shot from 24 ft (block by K. Durant),,50-69,,
9:54.0,,,50-69,,Defensive rebound by S. Ibaka
9:51.0,,,50-71,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
9:32.0,Shooting foul by S. Ibaka (drawn by Z. Randolph),,50-71,,
9:32.0,Z. Randolph makes free throw 1 of 2,1,51-71,,
9:32.0,Z. Randolph makes free throw 2 of 2,1,52-71,,
9:09.0,,,52-71,,K. Durant misses 3-pt shot from 24 ft
9:08.0,,,52-71,,Offensive rebound by Team
9:08.0,,,52-71,,Turnover by Team (shot clock)
8:51.0,M. Gasol misses 2-pt shot from 17 ft,,52-71,,
8:50.0,,,52-71,,Defensive rebound by R. Westbrook
8:40.0,,,52-71,,A. Roberson misses 3-pt shot from 22 ft
8:38.0,Defensive rebound by Z. Randolph,,52-71,,
8:29.0,J. Green makes 2-pt shot from 1 ft,2,54-71,,
8:16.0,,,54-71,,Turnover by R. Westbrook (lost ball; steal by Z. Randolph)
8:16.0,,,54-71,,Personal take foul by R. Westbrook (drawn by J. Green)
8:03.0,Z. Randolph misses 2-pt shot from 2 ft (block by S. Ibaka),,54-71,,
8:03.0,Offensive rebound by Team,,54-71,,
7:53.0,C. Lee misses 2-pt shot from 16 ft,,54-71,,
7:52.0,,,54-71,,Defensive rebound by K. Durant
7:46.0,,,54-73,2,R. Westbrook makes 2-pt shot from 14 ft
7:22.0,,,54-73,,Personal foul by S. Ibaka (drawn by M. Gasol)
7:22.0,,,54-73,,N. Collison enters the game for S. Ibaka
7:13.0,Z. Randolph misses 2-pt shot from 15 ft,,54-73,,
7:12.0,,,54-73,,Defensive rebound by K. Durant
6:56.0,,,54-73,,N. Collison misses 2-pt shot from 18 ft
6:55.0,Defensive rebound by M. Gasol,,54-73,,
6:39.0,,,54-73,,Personal foul by A. Roberson (drawn by M. Conley)
6:39.0,M. Conley makes free throw 1 of 2,1,55-73,,
6:39.0,M. Conley makes free throw 2 of 2,1,56-73,,
6:25.0,,,56-73,,K. Durant misses 2-pt shot from 17 ft
6:24.0,Defensive rebound by J. Green,,56-73,,
6:20.0,Offensive charge foul by J. Green,,56-73,,
6:20.0,Turnover by J. Green (offensive foul),,56-73,,
6:20.0,,,56-73,,D. Waiters enters the game for A. Roberson
6:07.0,,,56-73,,Shooting foul by M. Gasol (drawn by N. Collison)
6:07.0,,,56-74,1,N. Collison makes free throw 1 of 2
6:07.0,,,56-75,1,N. Collison makes free throw 2 of 2
5:53.0,M. Conley misses 2-pt shot from 6 ft,,56-75,,
5:50.0,,,56-75,,Defensive rebound by K. Durant
5:44.0,,,56-77,2,R. Westbrook makes 2-pt shot from 13 ft (assist by K. Durant)
5:44.0,Memphis full timeout,,56-77,,
5:44.0,T. Allen enters the game for C. Lee,,56-77,,
5:44.0,N. Calathes enters the game for M. Conley,,56-77,,
5:34.0,J. Green makes 3-pt shot from 24 ft (assist by N. Calathes),3,59-77,,
5:21.0,Personal foul by Z. Randolph (drawn by R. Westbrook),,59-77,,
5:18.0,,,59-79,2,K. Durant makes 2-pt shot at rim (assist by N. Collison)
4:52.0,N. Calathes misses 3-pt shot from 23 ft,,59-79,,
4:51.0,,,59-79,,Defensive rebound by R. Westbrook
4:46.0,,,59-79,,Shooting foul by T. Allen (drawn by R. Westbrook)
4:46.0,,,59-80,1,R. Westbrook makes free throw 1 of 2
4:46.0,K. Koufos enters the game for M. Gasol,,59-80,,
4:46.0,,,59-80,,M. McGary enters the game for K. Perkins
4:46.0,,,59-81,1,R. Westbrook makes free throw 2 of 2
4:36.0,T. Allen makes 2-pt shot from 2 ft (assist by Z. Randolph),2,61-81,,
4:36.0,Shooting foul by D. Waiters (drawn by T. Allen),,61-81,,
4:36.0,T. Allen misses free throw 1 of 1,,61-81,,
4:34.0,,,61-81,,Defensive rebound by D. Waiters
4:23.0,,,61-81,,R. Westbrook misses 3-pt shot from 24 ft
4:22.0,Defensive rebound by J. Green,,61-81,,
4:08.0,N. Calathes makes 2-pt shot from 1 ft (assist by Z. Randolph),2,63-81,,
3:51.0,,,63-81,,R. Westbrook misses 2-pt shot from 20 ft
3:49.0,Defensive rebound by T. Allen,,63-81,,
3:46.0,T. Allen makes 2-pt shot at rim,2,65-81,,
3:45.0,,,65-81,,Oklahoma City full timeout
3:25.0,,,65-81,,R. Westbrook misses 2-pt shot from 3 ft
3:24.0,Defensive rebound by Team,,65-81,,
3:10.0,J. Green misses 2-pt shot from 19 ft,,65-81,,
3:09.0,,,65-81,,Defensive rebound by M. McGary
3:02.0,Personal foul by T. Allen (drawn by D. Waiters),,65-81,,
2:46.0,,,65-83,2,D. Waiters makes 2-pt shot at rim
2:25.0,Z. Randolph misses 2-pt shot from 4 ft,,65-83,,
2:24.0,Offensive rebound by Z. Randolph,,65-83,,
2:23.0,Z. Randolph misses 2-pt shot from 2 ft,,65-83,,
2:22.0,,,65-83,,Defensive rebound by K. Durant
2:11.0,,,65-83,,M. McGary misses 2-pt shot at rim (block by K. Koufos)
2:10.0,,,65-83,,Offensive rebound by M. McGary
2:08.0,,,65-83,,M. McGary misses 2-pt shot from 1 ft
2:07.0,Defensive rebound by T. Allen,,65-83,,
2:01.0,J. Green misses 3-pt shot from 24 ft,,65-83,,
1:59.0,,,65-83,,Defensive rebound by K. Durant
1:43.0,,,65-83,,K. Durant misses 2-pt shot from 7 ft
1:41.0,Defensive rebound by Team,,65-83,,
1:41.0,J. Adams enters the game for Z. Randolph,,65-83,,
1:41.0,,,65-83,,R. Jackson enters the game for R. Westbrook
1:31.0,N. Calathes makes 2-pt shot from 1 ft,2,67-83,,
1:21.0,,,67-83,,D. Waiters misses 3-pt shot from 24 ft
1:19.0,Defensive rebound by N. Calathes,,67-83,,
1:05.0,J. Green makes 2-pt shot from 3 ft,2,69-83,,
0:37.0,,,69-85,2,D. Waiters makes 2-pt shot from 22 ft
0:28.0,Turnover by J. Adams (lost ball),,69-85,,
0:06.0,,,69-85,,K. Durant misses 2-pt shot from 15 ft
0:05.0,Defensive rebound by J. Adams,,69-85,,
0:00.0,N. Calathes misses 2-pt shot from 4 ft,,69-85,,
0:00.0,,,69-85,,Defensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,69-85,,D. Waiters misses 2-pt shot from 19 ft
11:46.0,,,69-85,,Offensive rebound by N. Collison
11:39.0,,,69-85,,N. Collison misses 3-pt shot from 22 ft
11:39.0,Defensive rebound by T. Allen,,69-85,,
11:16.0,Turnover by T. Allen (bad pass; steal by R. Jackson),,69-85,,
11:12.0,,,69-87,2,D. Waiters makes 2-pt shot at rim (assist by R. Jackson)
10:49.0,Shooting foul by M. McGary (drawn by K. Koufos),,69-87,,
10:49.0,K. Koufos misses free throw 1 of 2,,69-87,,
10:49.0,Offensive rebound by Team,,69-87,,
10:49.0,K. Koufos misses free throw 2 of 2,,69-87,,
10:48.0,,,69-87,,Defensive rebound by R. Jackson
10:31.0,,,69-87,,R. Jackson misses 2-pt shot from 23 ft
10:31.0,,,69-87,,Offensive rebound by Team
10:28.0,,,69-89,2,A. Morrow makes 2-pt shot from 4 ft (assist by D. Waiters)
10:13.0,N. Calathes makes 2-pt shot from 1 ft,2,71-89,,
9:55.0,Personal foul by N. Calathes (drawn by R. Jackson),,71-89,,
9:49.0,,,71-89,,A. Morrow misses 3-pt shot from 22 ft
9:48.0,Defensive rebound by T. Allen,,71-89,,
9:43.0,B. Udrih misses 2-pt shot from 3 ft (block by N. Collison),,71-89,,
9:42.0,Offensive rebound by Team,,71-89,,
9:31.0,Turnover by N. Calathes (bad pass; steal by A. Morrow),,71-89,,
9:26.0,,,71-89,,Turnover by R. Jackson (bad pass)
9:15.0,Shooting foul by M. McGary (drawn by B. Udrih),,71-89,,
9:15.0,B. Udrih misses free throw 1 of 2,,71-89,,
9:15.0,Offensive rebound by Team,,71-89,,
9:15.0,B. Udrih makes free throw 2 of 2,1,72-89,,
8:57.0,,,72-91,2,N. Collison makes 2-pt shot from 1 ft (assist by A. Morrow)
8:48.0,N. Calathes makes 2-pt shot from 7 ft,2,74-91,,
8:34.0,,,74-91,,A. Morrow misses 2-pt shot from 4 ft
8:33.0,Defensive rebound by J. Leuer,,74-91,,
8:23.0,B. Udrih misses 2-pt shot from 16 ft,,74-91,,
8:22.0,,,74-91,,Defensive rebound by A. Morrow
8:09.0,Personal foul by N. Calathes (drawn by D. Waiters),,74-91,,
8:09.0,Official timeout,,74-91,,
7:56.0,,,74-91,,A. Morrow misses 3-pt shot from 24 ft
7:55.0,Defensive rebound by K. Koufos,,74-91,,
7:40.0,J. Leuer makes 2-pt shot from 2 ft,2,76-91,,
7:25.0,,,76-93,2,R. Jackson makes 2-pt shot from 2 ft
7:11.0,J. Leuer makes 2-pt shot from 17 ft (assist by N. Calathes),2,78-93,,
6:57.0,,,78-93,,M. McGary misses 2-pt shot from 3 ft
6:56.0,Defensive rebound by N. Calathes,,78-93,,
6:48.0,Shooting foul by R. Jackson (drawn by J. Leuer),,78-93,,
6:48.0,J. Leuer misses free throw 1 of 2,,78-93,,
6:48.0,Offensive rebound by Team,,78-93,,
6:48.0,,,78-93,,R. Westbrook enters the game for R. Jackson
6:48.0,,,78-93,,S. Ibaka enters the game for M. McGary
6:48.0,J. Leuer makes free throw 2 of 2,1,79-93,,
6:29.0,,,79-93,,R. Westbrook misses 3-pt shot from 25 ft
6:27.0,,,79-93,,Offensive rebound by N. Collison
6:25.0,,,79-93,,A. Morrow misses 3-pt shot from 24 ft
6:24.0,Defensive rebound by J. Leuer,,79-93,,
6:14.0,B. Udrih makes 3-pt shot from 22 ft (assist by N. Calathes),3,82-93,,
6:13.0,,,82-93,,Oklahoma City full timeout
6:13.0,,,82-93,,K. Durant enters the game for A. Morrow
6:13.0,Z. Randolph enters the game for K. Koufos,,82-93,,
6:13.0,M. Gasol enters the game for J. Leuer,,82-93,,
6:01.0,,,82-95,2,K. Durant makes 2-pt shot from 15 ft (assist by R. Westbrook)
5:40.0,B. Udrih misses 2-pt shot from 13 ft,,82-95,,
5:40.0,,,82-95,,Defensive rebound by N. Collison
5:39.0,Personal foul by T. Allen (drawn by N. Collison),,82-95,,
5:27.0,,,82-95,,S. Ibaka misses 3-pt shot from 24 ft
5:26.0,Defensive rebound by T. Allen,,82-95,,
