time,Miami,pts.away,score,pts.home,Milwaukee
3:55.0,M. Chalmers enters the game for J. McRoberts,,20-18,,
3:42.0,D. Granger makes 3-pt shot from 25 ft (assist by S. Napier),3,23-18,,
3:19.0,Shooting block foul by J. Hamilton (drawn by G. Antetokounmpo),,23-18,,
3:19.0,,,23-19,1,G. Antetokounmpo makes free throw 1 of 2
3:19.0,,,23-20,1,G. Antetokounmpo makes free throw 2 of 2
3:09.0,C. Bosh misses 3-pt shot from 26 ft,,23-20,,
3:08.0,,,23-20,,Defensive rebound by K. Marshall
3:03.0,,,23-20,,Turnover by J. Bayless (bad pass; steal by S. Napier)
2:48.0,M. Chalmers misses 2-pt shot from 16 ft,,23-20,,
2:46.0,,,23-20,,Defensive rebound by K. Marshall
2:42.0,,,23-22,2,J. Parker makes 2-pt shot at rim (assist by J. Bayless)
2:32.0,,,23-22,,Personal foul by L. Sanders (drawn by C. Bosh)
2:32.0,C. Bosh misses free throw 1 of 2,,23-22,,
2:32.0,Offensive rebound by Team,,23-22,,
2:32.0,J. Ennis enters the game for D. Granger,,23-22,,
2:32.0,,,23-22,,Z. Pachulia enters the game for L. Sanders
2:32.0,,,23-22,,J. Dudley enters the game for J. Parker
2:32.0,C. Bosh makes free throw 2 of 2,1,24-22,,
2:20.0,,,24-22,,G. Antetokounmpo misses 2-pt shot from 17 ft
2:18.0,Defensive rebound by S. Napier,,24-22,,
2:00.0,J. Ennis makes 2-pt shot from 15 ft (assist by S. Napier),2,26-22,,
1:46.0,,,26-22,,Turnover by Z. Pachulia (bad pass; steal by M. Chalmers)
1:46.0,,,26-22,,Personal foul by Z. Pachulia (drawn by M. Chalmers)
1:46.0,M. Chalmers makes free throw 1 of 2,1,27-22,,
1:46.0,M. Chalmers makes free throw 2 of 2,1,28-22,,
1:26.0,,,28-22,,J. Bayless misses 2-pt shot from 15 ft
1:25.0,Defensive rebound by C. Bosh,,28-22,,
1:15.0,M. Chalmers misses 2-pt shot from 2 ft (block by G. Antetokounmpo),,28-22,,
1:13.0,,,28-22,,Defensive rebound by J. Dudley
1:04.0,Personal foul by S. Napier (drawn by K. Marshall),,28-22,,
0:59.0,,,28-24,2,K. Marshall makes 2-pt shot from 3 ft
0:43.0,C. Bosh misses 2-pt shot at rim,,28-24,,
0:41.0,,,28-24,,Defensive rebound by Z. Pachulia
0:19.0,Shooting block foul by J. Ennis (drawn by J. Dudley),,28-24,,
0:19.0,,,28-24,,J. Dudley misses free throw 1 of 2
0:19.0,,,28-24,,Offensive rebound by Team
0:19.0,,,28-25,1,J. Dudley makes free throw 2 of 2
0:01.0,C. Bosh makes 2-pt shot at rim (assist by M. Chalmers),2,30-25,,
0:00.0,,,30-25,,K. Marshall misses 3-pt shot from 37 ft
0:00.0,,,30-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,C. Bosh makes 2-pt shot at rim,2,32-25,,
11:42.0,Shooting foul by Z. Pachulia (drawn by C. Bosh),,32-25,,
11:42.0,C. Bosh makes free throw 1 of 1,1,33-25,,
11:17.0,,,33-25,,J. Dudley misses 2-pt shot from 4 ft
11:15.0,Defensive rebound by M. Chalmers,,33-25,,
11:05.0,C. Bosh makes 3-pt shot from 25 ft (assist by S. Napier),3,36-25,,
10:46.0,,,36-25,,Turnover by Z. Pachulia (lost ball; steal by M. Chalmers)
10:39.0,M. Chalmers misses 2-pt shot at rim,,36-25,,
10:37.0,,,36-25,,Defensive rebound by K. Middleton
10:33.0,,,36-27,2,J. Dudley makes 2-pt shot at rim (assist by K. Marshall)
10:14.0,,,36-27,,Personal foul by J. Dudley (drawn by J. Hamilton)
10:14.0,S. Williams enters the game for J. Hamilton,,36-27,,
10:14.0,,,36-27,,L. Sanders enters the game for Z. Pachulia
10:03.0,Turnover by S. Williams (bad pass),,36-27,,
9:52.0,,,36-29,2,K. Middleton makes 2-pt shot from 19 ft (assist by K. Marshall)
9:28.0,M. Chalmers misses 2-pt shot at rim,,36-29,,
9:26.0,,,36-29,,Defensive rebound by L. Sanders
9:09.0,,,36-31,2,J. Dudley makes 2-pt shot from 5 ft (assist by K. Marshall)
9:00.0,,,36-31,,Personal foul by N. Wolters (drawn by M. Chalmers)
9:00.0,D. Wade enters the game for M. Chalmers,,36-31,,
8:45.0,D. Wade misses 2-pt shot from 15 ft,,36-31,,
8:43.0,,,36-31,,Defensive rebound by J. Dudley
8:37.0,,,36-31,,K. Middleton misses 2-pt shot from 19 ft
8:36.0,,,36-31,,Offensive rebound by L. Sanders
8:36.0,Personal foul by J. Ennis (drawn by L. Sanders),,36-31,,
8:36.0,Official timeout,,36-31,,
8:33.0,,,36-31,,L. Sanders misses 2-pt shot at rim
8:31.0,Defensive rebound by D. Wade,,36-31,,
8:22.0,Turnover by C. Bosh (lost ball; steal by K. Middleton),,36-31,,
8:18.0,,,36-31,,Turnover by K. Marshall (lost ball; steal by J. Ennis)
7:56.0,Turnover by D. Wade (bad pass; steal by J. Dudley),,36-31,,
7:36.0,,,36-34,3,K. Marshall makes 3-pt shot from 27 ft (assist by J. Dudley)
7:16.0,D. Wade makes 2-pt shot from 18 ft (assist by C. Bosh),2,38-34,,
6:49.0,,,38-34,,Turnover by Team (shot clock)
6:37.0,,,38-34,,Shooting block foul by L. Sanders (drawn by D. Wade)
6:37.0,D. Wade makes free throw 1 of 2,1,39-34,,
6:37.0,M. Chalmers enters the game for S. Napier,,39-34,,
6:37.0,,,39-34,,J. Parker enters the game for L. Sanders
6:37.0,,,39-34,,J. Bayless enters the game for K. Marshall
6:37.0,,,39-34,,B. Knight enters the game for N. Wolters
6:37.0,D. Wade makes free throw 2 of 2,1,40-34,,
6:23.0,,,40-36,2,K. Middleton makes 2-pt shot from 14 ft
6:02.0,J. Ennis makes 3-pt shot from 27 ft (assist by M. Chalmers),3,43-36,,
5:38.0,,,43-39,3,J. Dudley makes 3-pt shot from 26 ft (assist by J. Bayless)
5:30.0,Shooting foul by J. Dudley (drawn by J. Ennis),,43-39,,
5:30.0,,,43-39,,Milwaukee full timeout
5:30.0,J. McRoberts enters the game for S. Williams,,43-39,,
5:30.0,J. Ennis makes free throw 1 of 2,1,44-39,,
5:30.0,J. Ennis misses free throw 2 of 2,,44-39,,
5:29.0,,,44-39,,Defensive rebound by K. Middleton
5:13.0,,,44-39,,J. Parker misses 2-pt shot from 16 ft
5:11.0,Defensive rebound by M. Chalmers,,44-39,,
4:55.0,Turnover by C. Bosh (lost ball; steal by K. Middleton),,44-39,,
4:50.0,,,44-41,2,B. Knight makes 2-pt shot at rim (assist by J. Bayless)
4:27.0,M. Chalmers misses 3-pt shot from 22 ft,,44-41,,
4:26.0,,,44-41,,Defensive rebound by K. Middleton
4:22.0,,,44-43,2,B. Knight makes 2-pt shot at rim (assist by J. Bayless)
4:20.0,Miami full timeout,,44-43,,
4:20.0,D. Granger enters the game for J. Ennis,,44-43,,
4:20.0,,,44-43,,G. Antetokounmpo enters the game for J. Dudley
4:05.0,D. Wade misses 2-pt shot from 17 ft,,44-43,,
4:04.0,,,44-43,,Defensive rebound by J. Bayless
3:43.0,,,44-43,,B. Knight misses 3-pt shot from 26 ft
3:42.0,,,44-43,,Offensive rebound by G. Antetokounmpo
3:31.0,,,44-45,2,J. Parker makes 2-pt shot from 18 ft (assist by B. Knight)
3:20.0,,,44-45,,Violation by J. Parker (def goaltending)
3:20.0,D. Wade makes 2-pt shot at rim (assist by M. Chalmers),2,46-45,,
3:10.0,,,46-45,,Turnover by B. Knight (bad pass; steal by M. Chalmers)
3:01.0,D. Granger misses 2-pt shot at rim,,46-45,,
2:57.0,,,46-45,,Defensive rebound by B. Knight
2:52.0,,,46-48,3,K. Middleton makes 3-pt shot from 23 ft (assist by B. Knight)
2:29.0,C. Bosh misses 2-pt shot from 18 ft,,46-48,,
2:28.0,,,46-48,,Defensive rebound by J. Bayless
2:14.0,,,46-50,2,K. Middleton makes 2-pt shot from 20 ft
1:53.0,Turnover by C. Bosh (lost ball; steal by J. Bayless),,46-50,,
1:50.0,,,46-50,,Turnover by J. Bayless (bad pass)
1:50.0,J. Ennis enters the game for C. Bosh,,46-50,,
1:31.0,D. Wade makes 2-pt shot at rim (assist by D. Granger),2,48-50,,
1:15.0,,,48-50,,B. Knight misses 2-pt shot from 19 ft
1:13.0,Defensive rebound by J. Ennis,,48-50,,
1:05.0,D. Wade misses 2-pt shot from 13 ft,,48-50,,
1:04.0,,,48-50,,Defensive rebound by B. Knight
0:57.0,,,48-50,,G. Antetokounmpo misses 2-pt shot at rim (block by D. Granger)
0:56.0,,,48-50,,Offensive rebound by G. Antetokounmpo
0:56.0,Shooting block foul by J. McRoberts (drawn by G. Antetokounmpo),,48-50,,
0:56.0,,,48-51,1,G. Antetokounmpo makes free throw 1 of 2
0:56.0,,,48-52,1,G. Antetokounmpo makes free throw 2 of 2
0:42.0,Turnover by J. McRoberts (bad pass; steal by B. Knight),,48-52,,
0:38.0,Shooting block foul by D. Granger (drawn by B. Knight),,48-52,,
0:38.0,,,48-53,1,B. Knight makes free throw 1 of 2
0:38.0,,,48-54,1,B. Knight makes free throw 2 of 2
0:25.0,,,48-54,,Shooting block foul by B. Knight (drawn by D. Wade)
0:25.0,D. Wade makes free throw 1 of 2,1,49-54,,
0:25.0,C. Bosh enters the game for J. Ennis,,49-54,,
0:25.0,,,49-54,,K. Marshall enters the game for B. Knight
0:25.0,D. Wade makes free throw 2 of 2,1,50-54,,
0:02.0,,,50-54,,Turnover by J. Parker (lost ball)
0:00.0,Turnover by M. Chalmers (lost ball; steal by K. Middleton),,50-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,D. Wade makes 2-pt shot at rim (assist by M. Chalmers),2,52-54,,
11:23.0,,,52-54,,Turnover by J. Parker (bad pass; steal by J. McRoberts)
11:07.0,C. Bosh misses 2-pt shot from 2 ft (block by Z. Pachulia),,52-54,,
11:07.0,Offensive rebound by Team,,52-54,,
11:01.0,C. Bosh misses 2-pt shot from 14 ft,,52-54,,
10:59.0,Offensive rebound by Team,,52-54,,
10:45.0,C. Bosh misses 2-pt shot from 6 ft,,52-54,,
10:44.0,,,52-54,,Defensive rebound by B. Knight
10:39.0,,,52-54,,O. Mayo misses 2-pt shot from 17 ft
10:39.0,,,52-54,,Offensive rebound by Team
10:39.0,Loose ball foul by M. Chalmers (drawn by Z. Pachulia),,52-54,,
10:34.0,,,52-54,,Offensive foul by B. Knight
10:34.0,,,52-54,,Turnover by B. Knight (offensive foul)
10:34.0,,,52-54,,J. Bayless enters the game for B. Knight
10:09.0,D. Granger makes 3-pt shot from 23 ft (assist by D. Wade),3,55-54,,
9:54.0,,,55-54,,Turnover by O. Mayo (lost ball; steal by J. McRoberts)
9:49.0,C. Bosh misses 2-pt shot at rim,,55-54,,
9:48.0,,,55-54,,Defensive rebound by G. Antetokounmpo
9:43.0,,,55-56,2,G. Antetokounmpo makes 2-pt shot at rim
9:17.0,C. Bosh makes 2-pt shot from 19 ft (assist by D. Wade),2,57-56,,
9:01.0,,,57-58,2,O. Mayo makes 2-pt shot at rim (assist by Z. Pachulia)
8:43.0,Turnover by C. Bosh (bad pass),,57-58,,
8:26.0,,,57-58,,O. Mayo misses 2-pt shot from 18 ft
8:25.0,,,57-58,,Offensive rebound by J. Bayless
8:03.0,,,57-58,,Turnover by Z. Pachulia (bad pass; steal by C. Bosh)
7:51.0,,,57-58,,Personal foul by O. Mayo (drawn by C. Bosh)
7:47.0,Turnover by D. Wade (bad pass),,57-58,,
7:36.0,Personal foul by D. Granger (drawn by J. Parker),,57-58,,
7:36.0,S. Napier enters the game for M. Chalmers,,57-58,,
7:28.0,,,57-60,2,J. Bayless makes 2-pt shot from 18 ft
7:08.0,D. Wade misses 2-pt shot from 15 ft,,57-60,,
7:08.0,,,57-60,,Defensive rebound by Team
7:08.0,Loose ball foul by J. McRoberts (drawn by J. Parker),,57-60,,
7:08.0,J. Hamilton enters the game for C. Bosh,,57-60,,
6:54.0,Personal foul by J. Hamilton (drawn by O. Mayo),,57-60,,
6:46.0,,,57-62,2,O. Mayo makes 2-pt shot from 9 ft
6:20.0,S. Napier misses 2-pt shot from 2 ft,,57-62,,
6:19.0,Offensive rebound by J. Hamilton,,57-62,,
6:19.0,J. Hamilton makes 2-pt shot at rim,2,59-62,,
6:19.0,Shooting foul by Z. Pachulia (drawn by J. Hamilton),,59-62,,
6:19.0,J. Hamilton makes free throw 1 of 1,1,60-62,,
6:10.0,Personal foul by D. Granger (drawn by J. Parker),,60-62,,
6:10.0,,,60-63,1,J. Parker makes free throw 1 of 2
6:10.0,J. Ennis enters the game for D. Granger,,60-63,,
6:10.0,,,60-64,1,J. Parker makes free throw 2 of 2
5:59.0,S. Napier misses 3-pt shot from 24 ft,,60-64,,
5:58.0,,,60-64,,Defensive rebound by G. Antetokounmpo
5:40.0,,,60-64,,Turnover by J. Parker (bad pass; steal by J. Ennis)
5:31.0,,,60-64,,Personal foul by J. Bayless (drawn by D. Wade)
5:31.0,,,60-64,,Milwaukee full timeout
5:16.0,D. Wade makes 2-pt shot from 14 ft,2,62-64,,
4:53.0,,,62-64,,Shooting foul by J. Hamilton (drawn by G. Antetokounmpo)
4:53.0,,,62-64,,G. Antetokounmpo misses free throw 1 of 2
4:53.0,,,62-64,,Offensive rebound by Team
4:53.0,,,62-64,,K. Marshall enters the game for O. Mayo
4:53.0,,,62-64,,L. Sanders enters the game for Z. Pachulia
4:53.0,,,62-64,,G. Antetokounmpo misses free throw 2 of 2
4:52.0,Defensive rebound by J. Ennis,,62-64,,
4:32.0,J. McRoberts makes 2-pt shot from 4 ft (assist by D. Wade),2,64-64,,
4:10.0,,,64-67,3,J. Bayless makes 3-pt shot from 24 ft (assist by J. Parker)
3:58.0,S. Napier makes 3-pt shot from 23 ft (assist by D. Wade),3,67-67,,
3:46.0,C. Bosh enters the game for D. Wade,,67-67,,
3:46.0,M. Chalmers enters the game for J. McRoberts,,67-67,,
3:39.0,,,67-67,,J. Bayless misses 3-pt shot from 25 ft
3:38.0,Defensive rebound by C. Bosh,,67-67,,
3:19.0,C. Bosh makes 2-pt shot at rim,2,69-67,,
2:57.0,,,69-67,,Turnover by G. Antetokounmpo (lost ball; steal by S. Napier)
2:52.0,Turnover by S. Napier (bad pass; steal by J. Bayless),,69-67,,
2:48.0,,,69-69,2,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Parker)
2:48.0,,,69-69,,Shooting foul by C. Bosh (drawn by G. Antetokounmpo)
2:48.0,Miami full timeout,,69-69,,
2:48.0,,,69-69,,J. Dudley enters the game for J. Parker
2:48.0,,,69-70,1,G. Antetokounmpo makes free throw 1 of 1
2:23.0,S. Napier misses 2-pt shot from 9 ft,,69-70,,
2:22.0,,,69-70,,Defensive rebound by Team
2:04.0,,,69-70,,Shooting foul by M. Chalmers (drawn by J. Bayless)
2:04.0,,,69-71,1,J. Bayless makes free throw 1 of 2
2:04.0,,,69-72,1,J. Bayless makes free throw 2 of 2
1:47.0,C. Bosh makes 2-pt shot from 14 ft,2,71-72,,
1:38.0,Personal block foul by S. Napier (drawn by K. Marshall),,71-72,,
1:38.0,,,71-73,1,K. Marshall makes free throw 1 of 2
1:38.0,,,71-74,1,K. Marshall makes free throw 2 of 2
1:18.0,C. Bosh misses 3-pt shot from 26 ft,,71-74,,
1:17.0,,,71-74,,Defensive rebound by J. Bayless
1:11.0,Personal foul by J. Ennis (drawn by J. Bayless),,71-74,,
1:11.0,,,71-75,1,J. Bayless makes free throw 1 of 2
1:11.0,,,71-76,1,J. Bayless makes free throw 2 of 2
1:03.0,Turnover by M. Chalmers (lost ball),,71-76,,
0:45.0,Shooting block foul by M. Chalmers (drawn by J. Bayless),,71-76,,
0:45.0,,,71-77,1,J. Bayless makes free throw 1 of 2
0:45.0,,,71-78,1,J. Bayless makes free throw 2 of 2
0:38.0,,,71-78,,Personal block foul by K. Marshall (drawn by S. Napier)
0:26.0,C. Bosh misses 3-pt shot from 27 ft,,71-78,,
0:26.0,,,71-78,,Defensive rebound by Team
0:04.0,,,71-78,,L. Sanders misses 2-pt shot from 1 ft
0:02.0,,,71-78,,Offensive rebound by G. Antetokounmpo
0:02.0,,,71-78,,G. Antetokounmpo misses 2-pt shot at rim
0:00.0,,,71-78,,Offensive rebound by L. Sanders
0:00.0,,,71-78,,L. Sanders misses 2-pt shot from 1 ft
0:00.0,,,71-78,,Offensive rebound by L. Sanders
0:00.0,,,71-80,2,L. Sanders makes 2-pt shot from 1 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,71-80,,Turnover by K. Marshall (bad pass; steal by C. Bosh)
11:41.0,,,71-80,,Personal take foul by J. Dudley (drawn by J. Ennis)
11:41.0,,,71-80,,K. Middleton enters the game for G. Antetokounmpo
11:22.0,C. Bosh misses 2-pt shot from 17 ft,,71-80,,
11:21.0,,,71-80,,Defensive rebound by K. Middleton
11:00.0,,,71-80,,J. Bayless misses 2-pt shot from 17 ft
10:59.0,Defensive rebound by J. Ennis,,71-80,,
10:51.0,C. Bosh misses 3-pt shot from 25 ft,,71-80,,
10:50.0,,,71-80,,Defensive rebound by K. Middleton
10:39.0,,,71-82,2,K. Middleton makes 2-pt shot from 14 ft
10:18.0,Shooting foul by K. Marshall (drawn by J. Ennis),,71-82,,
10:18.0,J. Ennis misses free throw 1 of 2,,71-82,,
10:18.0,Offensive rebound by Team,,71-82,,
10:18.0,D. Wade enters the game for M. Chalmers,,71-82,,
10:18.0,J. Ennis makes free throw 2 of 2,1,72-82,,
10:01.0,,,72-84,2,L. Sanders makes 2-pt shot from 1 ft (assist by K. Middleton)
9:46.0,Turnover by D. Wade (step out of bounds),,72-84,,
9:39.0,Violation by Team (delay of game),,72-84,,
9:34.0,,,72-84,,L. Sanders misses 2-pt shot at rim (block by J. Hamilton)
9:31.0,Defensive rebound by C. Bosh,,72-84,,
9:19.0,J. Ennis misses 2-pt shot from 4 ft,,72-84,,
9:18.0,,,72-84,,Defensive rebound by L. Sanders
9:04.0,,,72-86,2,L. Sanders makes 2-pt shot at rim (assist by K. Marshall)
9:04.0,Miami full timeout,,72-86,,
9:04.0,S. Williams enters the game for J. Hamilton,,72-86,,
8:44.0,D. Wade misses 2-pt shot from 18 ft,,72-86,,
8:43.0,,,72-86,,Defensive rebound by L. Sanders
8:25.0,,,72-86,,K. Middleton misses 3-pt shot from 25 ft
8:24.0,Defensive rebound by C. Bosh,,72-86,,
8:15.0,J. Ennis misses 3-pt shot from 24 ft,,72-86,,
8:14.0,,,72-86,,Defensive rebound by K. Middleton
8:03.0,,,72-88,2,K. Marshall makes 2-pt shot from 17 ft
7:40.0,,,72-88,,Personal foul by K. Middleton (drawn by S. Napier)
7:40.0,M. Chalmers enters the game for S. Napier,,72-88,,
7:40.0,D. Granger enters the game for J. Ennis,,72-88,,
7:26.0,M. Chalmers makes 3-pt shot from 23 ft (assist by D. Wade),3,75-88,,
7:12.0,,,75-91,3,K. Marshall makes 3-pt shot from 26 ft
6:56.0,D. Wade makes 2-pt shot from 14 ft,2,77-91,,
6:44.0,,,77-91,,Turnover by K. Marshall (bad pass)
6:44.0,,,77-91,,Z. Pachulia enters the game for L. Sanders
6:30.0,C. Bosh makes 2-pt shot from 17 ft (assist by D. Wade),2,79-91,,
6:02.0,,,79-94,3,K. Marshall makes 3-pt shot from 27 ft
6:02.0,Miami full timeout,,79-94,,
6:02.0,,,79-94,,B. Knight enters the game for J. Bayless
5:51.0,Turnover by D. Wade (lost ball; steal by Z. Pachulia),,79-94,,
5:32.0,,,79-94,,B. Knight misses 2-pt shot from 16 ft
5:31.0,Defensive rebound by S. Williams,,79-94,,
5:21.0,,,79-94,,Shooting block foul by K. Middleton (drawn by D. Wade)
5:21.0,D. Wade makes free throw 1 of 2,1,80-94,,
5:21.0,D. Wade misses free throw 2 of 2,,80-94,,
5:20.0,,,80-94,,Defensive rebound by Z. Pachulia
5:02.0,,,80-94,,Turnover by K. Marshall (lost ball)
4:44.0,,,80-94,,Personal block foul by K. Marshall (drawn by M. Chalmers)
4:44.0,M. Chalmers makes free throw 1 of 2,1,81-94,,
4:44.0,M. Chalmers makes free throw 2 of 2,1,82-94,,
4:31.0,,,82-94,,J. Dudley misses 3-pt shot from 25 ft
4:30.0,Defensive rebound by D. Wade,,82-94,,
4:19.0,D. Wade misses 2-pt shot from 16 ft,,82-94,,
4:18.0,,,82-94,,Defensive rebound by J. Dudley
4:03.0,,,82-97,3,B. Knight makes 3-pt shot from 25 ft (assist by K. Middleton)
3:43.0,S. Williams misses 3-pt shot from 23 ft,,82-97,,
3:42.0,,,82-97,,Defensive rebound by K. Marshall
3:35.0,,,82-97,,Turnover by K. Middleton (bad pass)
3:35.0,,,82-97,,J. Parker enters the game for J. Dudley
3:26.0,C. Bosh misses 2-pt shot at rim,,82-97,,
3:24.0,,,82-97,,Defensive rebound by Z. Pachulia
3:18.0,,,82-97,,K. Middleton misses 2-pt shot at rim
3:16.0,,,82-97,,Offensive rebound by Z. Pachulia
3:16.0,,,82-99,2,Z. Pachulia makes 2-pt shot at rim
3:00.0,Turnover by M. Chalmers (bad pass; steal by J. Parker),,82-99,,
2:56.0,,,82-101,2,K. Marshall makes 2-pt shot at rim (assist by J. Parker)
2:56.0,Miami full timeout,,82-101,,
2:56.0,,,82-101,,G. Antetokounmpo enters the game for K. Marshall
2:49.0,,,82-101,,Shooting block foul by G. Antetokounmpo (drawn by D. Granger)
2:49.0,D. Granger misses free throw 1 of 3,,82-101,,
2:49.0,Offensive rebound by Team,,82-101,,
2:49.0,D. Granger misses free throw 2 of 3,,82-101,,
2:49.0,Offensive rebound by Team,,82-101,,
2:49.0,D. Granger misses free throw 3 of 3,,82-101,,
2:48.0,,,82-101,,Defensive rebound by Z. Pachulia
2:46.0,Personal foul by S. Williams (drawn by Z. Pachulia),,82-101,,
2:34.0,,,82-101,,Turnover by K. Middleton (lost ball; steal by S. Williams)
2:30.0,S. Williams makes 2-pt shot at rim,2,84-101,,
2:20.0,,,84-101,,Offensive foul by Z. Pachulia
2:20.0,,,84-101,,Turnover by Z. Pachulia (offensive foul)
2:12.0,S. Williams misses 3-pt shot from 26 ft,,84-101,,
2:11.0,,,84-101,,Defensive rebound by Z. Pachulia
