time,Charlotte,pts.away,score,pts.home,Sacramento
10:06.0,,,52-59,1,R. Gay makes free throw 2 of 2
9:41.0,K. Walker makes 3-pt shot from 26 ft,3,55-59,,
9:28.0,,,55-61,2,J. Thompson makes 2-pt shot from 3 ft (assist by R. Gay)
9:28.0,,,55-61,,Shooting foul by A. Jefferson (drawn by J. Thompson)
9:28.0,,,55-61,,J. Thompson misses free throw 1 of 1
9:27.0,Defensive rebound by A. Jefferson,,55-61,,
9:09.0,Turnover by M. Kidd-Gilchrist (lost ball),,55-61,,
8:58.0,,,55-61,,J. Thompson misses 2-pt shot from 14 ft
8:56.0,Defensive rebound by G. Henderson,,55-61,,
8:53.0,Shooting foul by B. McLemore (drawn by G. Henderson),,55-61,,
8:53.0,G. Henderson makes 2-pt shot from 3 ft,2,57-61,,
8:53.0,,,57-61,,Sacramento full timeout
8:53.0,G. Henderson makes free throw 1 of 1,1,58-61,,
8:32.0,,,58-63,2,R. Gay makes 2-pt shot from 13 ft
8:14.0,Turnover by A. Jefferson (traveling),,58-63,,
8:02.0,Def 3 sec tech foul by A. Jefferson,,58-63,,
8:02.0,,,58-64,1,R. Gay makes technical free throw
7:54.0,,,58-64,,J. Thompson misses 2-pt shot from 9 ft
7:54.0,Defensive rebound by G. Henderson,,58-64,,
7:45.0,M. Williams misses 2-pt shot from 21 ft,,58-64,,
7:44.0,,,58-64,,Defensive rebound by J. Thompson
7:33.0,,,58-64,,Shooting foul by A. Jefferson (drawn by B. McLemore)
7:33.0,,,58-66,2,B. McLemore makes 2-pt shot from 5 ft (assist by R. Gay)
7:33.0,,,58-67,1,B. McLemore makes free throw 1 of 1
7:13.0,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by K. Walker),2,60-67,,
6:57.0,,,60-67,,Turnover by O. Casspi (lost ball; steal by K. Walker)
6:56.0,,,60-67,,Personal foul by O. Casspi (drawn by K. Walker)
6:33.0,A. Jefferson misses 2-pt shot from 20 ft,,60-67,,
6:33.0,,,60-67,,Defensive rebound by O. Casspi
6:22.0,,,60-67,,R. McCallum misses 2-pt shot from 3 ft (block by A. Jefferson)
6:21.0,,,60-67,,Offensive rebound by R. McCallum
6:18.0,,,60-70,3,B. McLemore makes 3-pt shot from 25 ft (assist by R. McCallum)
5:54.0,M. Williams misses 2-pt shot from 3 ft,,60-70,,
5:53.0,Offensive rebound by M. Williams,,60-70,,
5:53.0,M. Williams misses 2-pt shot from 3 ft,,60-70,,
5:52.0,,,60-70,,Defensive rebound by R. Gay
5:46.0,,,60-70,,Turnover by R. Gay (bad pass; steal by K. Walker)
5:39.0,Turnover by M. Kidd-Gilchrist (lost ball; steal by R. Gay),,60-70,,
5:33.0,,,60-70,,O. Casspi misses 3-pt shot from 24 ft
5:32.0,Defensive rebound by K. Walker,,60-70,,
5:28.0,K. Walker misses 2-pt shot from 2 ft (block by R. McCallum),,60-70,,
5:28.0,Offensive rebound by Team,,60-70,,
5:28.0,Technical foul by K. Walker,,60-70,,
5:28.0,,,60-71,1,R. Gay makes technical free throw
5:28.0,,,60-71,,R. Evans enters the game for J. Thompson
5:28.0,M. Williams enters the game for G. Henderson,,60-71,,
5:16.0,K. Walker misses 3-pt shot from 25 ft,,60-71,,
5:13.0,Offensive rebound by Team,,60-71,,
5:06.0,M. Williams makes 3-pt shot from 25 ft (assist by M. Williams),3,63-71,,
4:55.0,,,63-71,,Offensive foul by R. McCallum
4:55.0,,,63-71,,Turnover by R. McCallum (offensive foul)
4:55.0,,,63-71,,A. Miller enters the game for R. McCallum
4:32.0,K. Walker misses 2-pt shot from 2 ft,,63-71,,
4:31.0,,,63-71,,Defensive rebound by R. Evans
4:23.0,,,63-73,2,R. Gay makes 2-pt shot from 2 ft (assist by B. McLemore)
4:22.0,Charlotte full timeout,,63-73,,
4:22.0,,,63-73,,D. Williams enters the game for O. Casspi
4:22.0,C. Zeller enters the game for M. Williams,,63-73,,
4:05.0,A. Jefferson makes 2-pt shot from 9 ft,2,65-73,,
3:50.0,,,65-73,,R. Gay misses 3-pt shot from 26 ft
3:50.0,Defensive rebound by C. Zeller,,65-73,,
3:42.0,Turnover by K. Walker (dbl dribble),,65-73,,
3:42.0,,,65-73,,N. Stauskas enters the game for B. McLemore
3:27.0,Personal foul by M. Williams (drawn by N. Stauskas),,65-73,,
3:27.0,Technical foul by M. Williams (drawn by N. Stauskas),,65-73,,
3:27.0,,,65-74,1,R. Gay makes technical free throw
3:18.0,,,65-74,,A. Miller misses 2-pt shot from 16 ft
3:18.0,,,65-74,,Offensive rebound by R. Evans
3:05.0,,,65-74,,Turnover by R. Evans (lost ball)
2:50.0,M. Kidd-Gilchrist misses 2-pt shot from 19 ft,,65-74,,
2:50.0,,,65-74,,Defensive rebound by R. Evans
2:33.0,,,65-76,2,A. Miller makes 2-pt shot from 5 ft
2:18.0,C. Zeller misses 2-pt shot from 11 ft,,65-76,,
2:18.0,,,65-76,,Defensive rebound by R. Gay
2:08.0,,,65-76,,R. Gay misses 2-pt shot from 11 ft
2:07.0,Defensive rebound by C. Zeller,,65-76,,
1:56.0,Shooting foul by R. Gay (drawn by M. Kidd-Gilchrist),,65-76,,
1:56.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,66-76,,
1:56.0,L. Stephenson enters the game for A. Jefferson,,66-76,,
1:56.0,B. Biyombo enters the game for K. Walker,,66-76,,
1:56.0,,,66-76,,O. Casspi enters the game for R. Gay
1:56.0,M. Kidd-Gilchrist misses free throw 2 of 2,,66-76,,
1:55.0,,,66-76,,Defensive rebound by R. Evans
1:40.0,,,66-76,,N. Stauskas misses 2-pt shot from 15 ft
1:40.0,,,66-76,,Offensive rebound by Team
1:24.0,,,66-76,,D. Williams misses 3-pt shot from 25 ft
1:23.0,,,66-76,,Offensive rebound by R. Evans
1:23.0,,,66-76,,Turnover by R. Evans (lost ball)
1:22.0,Jump ball: R. Evans vs. M. Kidd-Gilchrist (C. Zeller gains possession),,,,Jump ball: R. Evans vs. M. Kidd-Gilchrist (C. Zeller gains possession)
1:06.0,M. Kidd-Gilchrist misses 2-pt shot from 20 ft,,66-76,,
1:06.0,Offensive rebound by Team,,66-76,,
1:06.0,,,66-76,,Loose ball foul by R. Evans (drawn by C. Zeller)
1:06.0,C. Zeller makes free throw 1 of 2,1,67-76,,
1:06.0,C. Zeller misses free throw 2 of 2,,67-76,,
1:05.0,,,67-76,,Defensive rebound by Team
0:56.0,,,67-78,2,D. Williams makes 2-pt shot at rim (assist by A. Miller)
0:46.0,M. Williams misses 2-pt shot from 16 ft,,67-78,,
0:46.0,Offensive rebound by L. Stephenson,,67-78,,
0:46.0,L. Stephenson makes 2-pt shot from 1 ft,2,69-78,,
0:38.0,,,69-80,2,R. Evans makes 2-pt shot from 4 ft (assist by A. Miller)
0:19.0,M. Williams misses 3-pt shot from 26 ft,,69-80,,
0:18.0,Offensive rebound by M. Kidd-Gilchrist,,69-80,,
0:00.0,M. Kidd-Gilchrist misses 2-pt shot from 21 ft,,69-80,,
0:00.0,Offensive rebound by Team,,69-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,69-80,,N. Stauskas misses 2-pt shot from 17 ft
11:47.0,Defensive rebound by Team,,69-80,,
11:38.0,L. Stephenson misses 2-pt shot from 17 ft,,69-80,,
11:37.0,,,69-80,,Defensive rebound by D. Williams
11:35.0,Personal foul by L. Stephenson (drawn by A. Miller),,69-80,,
11:25.0,,,69-80,,N. Stauskas misses 3-pt shot from 22 ft
11:25.0,,,69-80,,Offensive rebound by R. Evans
11:11.0,,,69-82,2,D. Williams makes 2-pt shot from 4 ft (assist by A. Miller)
11:11.0,,,69-82,,Shooting foul by B. Biyombo (drawn by D. Williams)
11:11.0,,,69-82,,D. Williams misses free throw 1 of 1
11:10.0,Defensive rebound by C. Zeller,,69-82,,
11:00.0,,,69-82,,Def 3 sec tech foul by A. Miller
11:00.0,M. Williams makes technical free throw,1,70-82,,
10:54.0,M. Williams misses 2-pt shot from 19 ft,,70-82,,
10:53.0,,,70-82,,Defensive rebound by R. Evans
10:32.0,,,70-82,,O. Casspi misses 2-pt shot from 7 ft
10:31.0,Defensive rebound by B. Biyombo,,70-82,,
10:24.0,Shooting foul by O. Casspi (drawn by G. Henderson),,70-82,,
10:24.0,G. Henderson makes free throw 1 of 2,1,71-82,,
10:24.0,G. Henderson makes free throw 2 of 2,1,72-82,,
10:10.0,,,72-82,,N. Stauskas misses 3-pt shot from 24 ft
10:10.0,Defensive rebound by C. Zeller,,72-82,,
10:02.0,G. Henderson makes 2-pt shot from 20 ft (assist by M. Williams),2,74-82,,
9:48.0,,,74-82,,D. Williams misses 2-pt shot from 3 ft
9:45.0,,,74-82,,Offensive rebound by R. Evans
9:44.0,,,74-82,,Turnover by R. Evans (lost ball; steal by B. Biyombo)
9:38.0,G. Henderson misses 2-pt shot from 17 ft,,74-82,,
9:38.0,,,74-82,,Defensive rebound by O. Casspi
9:34.0,,,74-84,2,D. Williams makes 2-pt shot at rim (assist by A. Miller)
9:34.0,,,74-84,,Shooting foul by B. Biyombo (drawn by D. Williams)
9:34.0,,,74-84,,R. Gay enters the game for O. Casspi
9:34.0,,,74-84,,B. McLemore enters the game for N. Stauskas
9:34.0,,,74-84,,D. Williams misses free throw 1 of 1
9:33.0,Defensive rebound by G. Henderson,,74-84,,
9:16.0,Turnover by L. Stephenson (bad pass; steal by R. Gay),,74-84,,
9:10.0,,,74-84,,R. Gay misses 3-pt shot from 25 ft
9:09.0,Defensive rebound by C. Zeller,,74-84,,
8:46.0,M. Williams misses 3-pt shot from 24 ft,,74-84,,
8:45.0,,,74-84,,Defensive rebound by R. Gay
8:45.0,Personal foul by M. Williams (drawn by R. Gay),,74-84,,
8:45.0,Official timeout,,74-84,,
8:45.0,A. Jefferson enters the game for B. Biyombo,,74-84,,
8:36.0,,,74-84,,B. McLemore misses 3-pt shot from 24 ft
8:35.0,Defensive rebound by A. Jefferson,,74-84,,
8:18.0,M. Williams makes 3-pt shot from 25 ft (assist by C. Zeller),3,77-84,,
7:56.0,,,77-84,,Turnover by B. McLemore (bad pass)
7:50.0,G. Henderson misses 2-pt shot from 20 ft,,77-84,,
7:50.0,,,77-84,,Defensive rebound by R. Evans
7:26.0,,,77-84,,Turnover by Team (shot clock)
7:06.0,Turnover by L. Stephenson (step out of bounds),,77-84,,
7:06.0,M. Williams enters the game for C. Zeller,,77-84,,
6:50.0,,,77-84,,R. Gay misses 2-pt shot from 3 ft
6:50.0,,,77-84,,Offensive rebound by R. Gay
6:49.0,,,77-86,2,R. Gay makes 2-pt shot from 3 ft
6:49.0,,,77-86,,Shooting foul by M. Williams (drawn by R. Gay)
6:49.0,,,77-86,,J. Thompson enters the game for R. Evans
6:49.0,M. Kidd-Gilchrist enters the game for G. Henderson,,77-86,,
6:49.0,,,77-87,1,R. Gay makes free throw 1 of 1
6:31.0,A. Jefferson misses 2-pt shot from 10 ft,,77-87,,
6:30.0,,,77-87,,Defensive rebound by J. Thompson
6:24.0,,,77-87,,A. Miller misses 2-pt shot from 2 ft
6:23.0,Defensive rebound by M. Kidd-Gilchrist,,77-87,,
6:19.0,M. Kidd-Gilchrist makes 2-pt shot from 3 ft,2,79-87,,
6:19.0,,,79-87,,Violation by D. Williams (def goaltending)
5:56.0,,,79-87,,D. Williams misses 3-pt shot from 23 ft
5:56.0,Defensive rebound by M. Williams,,79-87,,
5:34.0,M. Williams misses 3-pt shot from 24 ft,,79-87,,
5:33.0,,,79-87,,Defensive rebound by J. Thompson
5:15.0,,,79-87,,Turnover by R. Gay (lost ball; steal by A. Jefferson)
5:11.0,Turnover by M. Kidd-Gilchrist (lost ball),,79-87,,
5:11.0,,,79-87,,Sacramento full timeout
5:11.0,,,79-87,,O. Casspi enters the game for B. McLemore
5:11.0,K. Walker enters the game for L. Stephenson,,79-87,,
5:00.0,,,79-87,,Turnover by A. Miller (bad pass; steal by M. Kidd-Gilchrist)
4:57.0,,,79-87,,Violation by R. Gay (def goaltending)
4:57.0,M. Kidd-Gilchrist makes 2-pt shot from 2 ft,2,81-87,,
4:36.0,,,81-89,2,J. Thompson makes 2-pt shot from 7 ft (assist by O. Casspi)
4:12.0,A. Jefferson misses 2-pt shot from 19 ft,,81-89,,
4:11.0,,,81-89,,Defensive rebound by Team
4:11.0,Loose ball foul by M. Williams (drawn by R. Gay),,81-89,,
4:11.0,,,81-89,,R. Gay misses free throw 1 of 2
4:11.0,,,81-89,,Offensive rebound by Team
4:11.0,,,81-90,1,R. Gay makes free throw 2 of 2
3:54.0,A. Jefferson misses 2-pt shot from 12 ft,,81-90,,
3:54.0,,,81-90,,Defensive rebound by O. Casspi
3:37.0,,,81-90,,Shooting foul by M. Williams (drawn by D. Williams)
3:37.0,,,81-91,1,D. Williams makes free throw 1 of 2
3:37.0,,,81-92,1,D. Williams makes free throw 2 of 2
3:19.0,M. Williams misses 3-pt shot from 24 ft,,81-92,,
3:18.0,Offensive rebound by M. Kidd-Gilchrist,,81-92,,
3:13.0,K. Walker misses 3-pt shot from 24 ft,,81-92,,
3:12.0,,,81-92,,Defensive rebound by A. Miller
