time,Minnesota,pts.away,score,pts.home,Golden State
3:41.0,S. Muhammad misses 2-pt shot from 17 ft,,19-23,,
3:40.0,Offensive rebound by A. Wiggins,,19-23,,
3:39.0,A. Wiggins misses 2-pt shot from 2 ft (block by D. Lee),,19-23,,
3:37.0,,,19-23,,Defensive rebound by D. Green
3:31.0,,,19-23,,Turnover by A. Iguodala (bad pass; steal by M. Williams)
3:24.0,Shooting foul by D. Green (drawn by A. Wiggins),,19-23,,
3:24.0,A. Wiggins misses free throw 1 of 2,,19-23,,
3:24.0,Offensive rebound by Team,,19-23,,
3:24.0,C. Budinger enters the game for S. Muhammad,,19-23,,
3:24.0,A. Wiggins makes free throw 2 of 2,1,20-23,,
3:13.0,,,20-25,2,S. Curry makes 2-pt shot from 17 ft (assist by A. Iguodala)
2:55.0,,,20-25,,Violation by S. Curry (kicked ball)
2:55.0,,,20-25,,Golden State full timeout
2:49.0,M. Williams misses 2-pt shot from 18 ft,,20-25,,
2:48.0,,,20-25,,Defensive rebound by D. Green
2:39.0,,,20-27,2,D. Lee makes 2-pt shot at rim (assist by S. Livingston)
2:10.0,,,20-27,,Shooting foul by A. Wiggins (drawn by S. Livingston)
2:10.0,,,20-27,,S. Livingston misses free throw 1 of 2
2:10.0,,,20-27,,Offensive rebound by Team
2:10.0,,,20-28,1,S. Livingston makes free throw 2 of 2
2:01.0,Turnover by T. Young (lost ball; steal by D. Green),,20-28,,
1:52.0,,,20-28,,Turnover by S. Curry (back court)
1:52.0,R. Hummel enters the game for T. Young,,20-28,,
1:52.0,,,20-28,,H. Barnes enters the game for D. Green
1:42.0,C. Budinger makes 3-pt shot from 23 ft (assist by R. Hummel),3,23-28,,
1:28.0,,,23-28,,H. Barnes misses 2-pt shot from 16 ft
1:27.0,Defensive rebound by G. Dieng,,23-28,,
1:14.0,C. Budinger misses 2-pt shot from 16 ft,,23-28,,
1:13.0,,,23-28,,Defensive rebound by H. Barnes
1:04.0,,,23-28,,D. Lee misses 2-pt shot from 2 ft (block by C. Budinger)
1:03.0,,,23-28,,Offensive rebound by D. Lee
1:03.0,,,23-28,,D. Lee misses 2-pt shot from 2 ft
1:03.0,Defensive rebound by Team,,23-28,,
0:52.0,M. Williams misses 3-pt shot from 26 ft,,23-28,,
0:51.0,,,23-28,,Defensive rebound by A. Iguodala
0:47.0,,,23-31,3,S. Curry makes 3-pt shot from 26 ft (assist by A. Iguodala)
0:33.0,G. Dieng misses 2-pt shot from 9 ft,,23-31,,
0:32.0,,,23-31,,Defensive rebound by S. Livingston
0:27.0,,,23-31,,Turnover by S. Livingston (lost ball; steal by M. Williams)
0:04.0,M. Williams misses 3-pt shot from 25 ft,,23-31,,
0:03.0,,,23-31,,Defensive rebound by D. Lee
0:01.0,,,23-31,,S. Curry misses 3-pt shot from 45 ft
0:00.0,,,23-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,C. Budinger misses 2-pt shot from 2 ft,,23-31,,
11:43.0,,,23-31,,Defensive rebound by Team
11:29.0,,,23-31,,A. Iguodala misses 2-pt shot from 15 ft
11:26.0,Defensive rebound by J. Adrien,,23-31,,
11:18.0,M. Williams makes 2-pt shot from 17 ft (assist by C. Budinger),2,25-31,,
10:58.0,,,25-31,,M. Speights misses 2-pt shot from 1 ft
10:57.0,,,25-31,,Offensive rebound by M. Speights
10:57.0,,,25-31,,M. Speights misses 2-pt shot from 1 ft
10:54.0,Defensive rebound by R. Hummel,,25-31,,
10:39.0,J. Adrien makes 2-pt shot from 14 ft (assist by R. Hummel),2,27-31,,
10:21.0,,,27-34,3,A. Iguodala makes 3-pt shot from 25 ft (assist by M. Speights)
10:04.0,S. Muhammad misses 2-pt shot from 13 ft,,27-34,,
10:03.0,,,27-34,,Defensive rebound by A. Iguodala
9:56.0,,,27-34,,J. Holiday misses 3-pt shot from 26 ft
9:55.0,Defensive rebound by S. Muhammad,,27-34,,
9:42.0,M. Williams misses 2-pt shot from 10 ft,,27-34,,
9:41.0,,,27-34,,Defensive rebound by A. Iguodala
9:37.0,Personal foul by R. Hummel (drawn by A. Iguodala),,27-34,,
9:23.0,,,27-34,,Golden State full timeout
9:18.0,,,27-36,2,S. Livingston makes 2-pt shot at rim (assist by M. Speights)
9:04.0,Turnover by C. Budinger (bad pass; steal by A. Iguodala),,27-36,,
8:59.0,,,27-36,,Turnover by A. Iguodala (bad pass)
8:59.0,Official timeout,,27-36,,
8:48.0,S. Muhammad misses 2-pt shot from 12 ft,,27-36,,
8:46.0,,,27-36,,Defensive rebound by M. Speights
8:39.0,,,27-36,,Turnover by M. Speights (bad pass)
8:39.0,Z. LaVine enters the game for M. Williams,,27-36,,
8:24.0,S. Muhammad makes 2-pt shot from 2 ft (assist by J. Adrien),2,29-36,,
8:04.0,,,29-36,,H. Barnes misses 2-pt shot from 11 ft
8:03.0,Defensive rebound by R. Hummel,,29-36,,
7:55.0,Offensive charge foul by J. Adrien,,29-36,,
7:55.0,Turnover by J. Adrien (offensive foul),,29-36,,
7:55.0,,,29-36,,K. Thompson enters the game for J. Holiday
7:55.0,A. Wiggins enters the game for C. Budinger,,29-36,,
7:44.0,,,29-36,,Shooting foul by A. Wiggins (drawn by M. Speights)
7:44.0,,,29-37,1,M. Speights makes free throw 1 of 2
7:44.0,,,29-38,1,M. Speights makes free throw 2 of 2
7:33.0,Z. LaVine makes 2-pt shot from 2 ft,2,31-38,,
7:33.0,Shooting foul by H. Barnes (drawn by Z. LaVine),,31-38,,
7:33.0,Z. LaVine makes free throw 1 of 1,1,32-38,,
7:24.0,,,32-38,,Turnover by A. Iguodala (bad pass; steal by A. Wiggins)
7:21.0,Turnover by A. Wiggins (bad pass),,32-38,,
7:06.0,,,32-41,3,K. Thompson makes 3-pt shot from 25 ft (assist by S. Livingston)
6:49.0,S. Muhammad misses 2-pt shot from 17 ft,,32-41,,
6:47.0,,,32-41,,Defensive rebound by K. Thompson
6:38.0,,,32-43,2,H. Barnes makes 2-pt shot at rim (assist by S. Livingston)
6:32.0,Minnesota full timeout,,32-43,,
6:32.0,,,32-43,,D. Green enters the game for H. Barnes
6:32.0,,,32-43,,S. Curry enters the game for S. Livingston
6:32.0,T. Young enters the game for R. Hummel,,32-43,,
6:32.0,G. Dieng enters the game for J. Adrien,,32-43,,
6:13.0,T. Young misses 2-pt shot from 5 ft,,32-43,,
6:12.0,Offensive rebound by G. Dieng,,32-43,,
6:12.0,Turnover by Team (shot clock),,32-43,,
6:00.0,,,32-43,,Shooting foul by A. Wiggins (drawn by K. Thompson)
6:00.0,,,32-43,,K. Thompson misses free throw 1 of 2
6:00.0,,,32-43,,Offensive rebound by Team
6:00.0,C. Budinger enters the game for A. Wiggins,,32-43,,
6:00.0,,,32-44,1,K. Thompson makes free throw 2 of 2
5:43.0,Z. LaVine makes 2-pt shot at rim (assist by G. Dieng),2,34-44,,
5:29.0,,,34-44,,A. Iguodala misses 3-pt shot from 25 ft
5:28.0,Defensive rebound by Z. LaVine,,34-44,,
5:22.0,T. Young misses 3-pt shot from 25 ft,,34-44,,
5:21.0,Offensive rebound by S. Muhammad,,34-44,,
5:20.0,S. Muhammad makes 2-pt shot at rim,2,36-44,,
4:59.0,,,36-47,3,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry)
4:42.0,S. Muhammad misses 2-pt shot from 12 ft,,36-47,,
4:41.0,,,36-47,,Defensive rebound by M. Speights
4:32.0,,,36-49,2,K. Thompson makes 2-pt shot from 9 ft
4:09.0,T. Young misses 2-pt shot from 19 ft,,36-49,,
4:09.0,,,36-49,,Defensive rebound by S. Curry
4:03.0,,,36-49,,S. Curry misses 2-pt shot from 1 ft
4:00.0,Defensive rebound by S. Muhammad,,36-49,,
3:53.0,T. Young makes 2-pt shot from 4 ft (assist by Z. LaVine),2,38-49,,
3:39.0,,,38-49,,K. Thompson misses 2-pt shot from 2 ft
3:38.0,Defensive rebound by T. Young,,38-49,,
3:35.0,Shooting foul by S. Curry (drawn by Z. LaVine),,38-49,,
3:35.0,Z. LaVine makes free throw 1 of 2,1,39-49,,
3:35.0,,,39-49,,D. Lee enters the game for M. Speights
3:35.0,,,39-49,,Golden State full timeout
3:35.0,,,39-49,,H. Barnes enters the game for A. Iguodala
3:35.0,Z. LaVine misses free throw 2 of 2,,39-49,,
3:33.0,,,39-49,,Defensive rebound by D. Green
3:17.0,,,39-49,,K. Thompson misses 3-pt shot from 26 ft
3:16.0,Defensive rebound by S. Muhammad,,39-49,,
3:01.0,S. Muhammad makes 2-pt shot from 1 ft (assist by Z. LaVine),2,41-49,,
2:50.0,,,41-49,,D. Lee misses 2-pt shot from 3 ft (block by G. Dieng)
2:50.0,,,41-49,,Offensive rebound by D. Lee
2:50.0,,,41-49,,Shooting foul by T. Young (drawn by D. Lee)
2:50.0,,,41-50,1,D. Lee makes free throw 1 of 2
2:50.0,,,41-51,1,D. Lee makes free throw 2 of 2
2:30.0,Turnover by T. Young (lost ball; steal by D. Green),,41-51,,
2:24.0,,,41-53,2,S. Curry makes 2-pt shot from 1 ft (assist by K. Thompson)
2:08.0,Turnover by Z. LaVine (bad pass; steal by D. Green),,41-53,,
2:02.0,,,41-53,,Turnover by S. Curry (bad pass; steal by T. Young)
1:49.0,G. Dieng misses 2-pt shot from 4 ft,,41-53,,
1:48.0,,,41-53,,Defensive rebound by H. Barnes
1:45.0,,,41-53,,Turnover by S. Curry (bad pass; steal by C. Budinger)
1:41.0,Z. LaVine makes 2-pt shot at rim (assist by C. Budinger),2,43-53,,
1:31.0,,,43-56,3,K. Thompson makes 3-pt shot from 26 ft (assist by D. Lee)
1:30.0,Minnesota full timeout,,43-56,,
1:30.0,J. Adrien enters the game for G. Dieng,,43-56,,
1:17.0,Z. LaVine misses 2-pt shot from 6 ft (block by D. Green),,43-56,,
1:15.0,,,43-56,,Defensive rebound by D. Green
1:11.0,,,43-56,,S. Curry misses 3-pt shot from 26 ft
1:10.0,Defensive rebound by T. Young,,43-56,,
1:05.0,Shooting foul by D. Green (drawn by T. Young),,43-56,,
1:05.0,T. Young misses free throw 1 of 2,,43-56,,
1:05.0,Offensive rebound by Team,,43-56,,
1:05.0,,,43-56,,J. Holiday enters the game for D. Green
1:05.0,T. Young makes free throw 2 of 2,1,44-56,,
0:51.0,,,44-56,,S. Curry misses 3-pt shot from 26 ft
0:50.0,Defensive rebound by T. Young,,44-56,,
0:50.0,,,44-56,,Loose ball foul by H. Barnes (drawn by T. Young)
0:50.0,T. Young makes free throw 1 of 2,1,45-56,,
0:50.0,,,45-56,,A. Iguodala enters the game for H. Barnes
0:50.0,T. Young misses free throw 2 of 2,,45-56,,
0:49.0,,,45-56,,Defensive rebound by K. Thompson
0:35.0,,,45-56,,Shooting foul by J. Adrien (drawn by S. Curry)
0:35.0,,,45-57,1,S. Curry makes free throw 1 of 2
0:35.0,,,45-58,1,S. Curry makes free throw 2 of 2
0:30.0,Shooting foul by J. Holiday (drawn by J. Adrien),,45-58,,
0:30.0,J. Adrien makes free throw 1 of 2,1,46-58,,
0:30.0,J. Adrien makes free throw 2 of 2,1,47-58,,
0:08.0,,,47-58,,S. Curry misses 2-pt shot from 18 ft
0:07.0,Defensive rebound by T. Young,,47-58,,
0:02.0,Shooting foul by J. Holiday (drawn by C. Budinger),,47-58,,
0:02.0,C. Budinger misses free throw 1 of 3,,47-58,,
0:02.0,Offensive rebound by Team,,47-58,,
0:02.0,C. Budinger misses free throw 2 of 3,,47-58,,
0:02.0,Offensive rebound by Team,,47-58,,
0:02.0,C. Budinger makes free throw 3 of 3,1,48-58,,
0:01.0,,,48-58,,D. Lee misses 3-pt shot from 68 ft
0:00.0,,,48-58,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,Turnover by Z. LaVine (bad pass; steal by S. Curry),,48-58,,
11:42.0,,,48-60,2,D. Green makes 2-pt shot at rim (assist by S. Curry)
11:23.0,T. Young makes 2-pt shot from 17 ft (assist by Z. LaVine),2,50-60,,
11:00.0,,,50-62,2,K. Thompson makes 2-pt shot from 8 ft
10:37.0,T. Young makes 2-pt shot from 10 ft (assist by S. Muhammad),2,52-62,,
10:24.0,,,52-65,3,H. Barnes makes 3-pt shot from 23 ft (assist by D. Green)
10:07.0,Z. LaVine misses 2-pt shot from 13 ft,,52-65,,
10:06.0,,,52-65,,Defensive rebound by M. Speights
9:56.0,,,52-65,,K. Thompson misses 3-pt shot from 25 ft
9:55.0,,,52-65,,Offensive rebound by M. Speights
9:52.0,,,52-68,3,S. Curry makes 3-pt shot from 23 ft (assist by M. Speights)
9:22.0,G. Dieng misses 2-pt shot from 20 ft,,52-68,,
9:21.0,,,52-68,,Defensive rebound by K. Thompson
9:17.0,,,52-70,2,H. Barnes makes 2-pt shot at rim (assist by K. Thompson)
9:17.0,Minnesota full timeout,,52-70,,
9:01.0,Shooting foul by K. Thompson (drawn by A. Wiggins),,52-70,,
9:01.0,A. Wiggins misses free throw 1 of 2,,52-70,,
9:01.0,Offensive rebound by Team,,52-70,,
9:01.0,A. Wiggins makes free throw 2 of 2,1,53-70,,
8:50.0,,,53-70,,H. Barnes misses 2-pt shot from 4 ft (block by S. Muhammad)
8:47.0,Defensive rebound by Z. LaVine,,53-70,,
8:45.0,Z. LaVine misses 2-pt shot from 2 ft (block by D. Green),,53-70,,
8:45.0,Offensive rebound by Team,,53-70,,
8:38.0,Turnover by G. Dieng (lost ball; steal by H. Barnes),,53-70,,
8:23.0,,,53-72,2,S. Curry makes 2-pt shot from 2 ft
8:23.0,Minnesota full timeout,,53-72,,
8:02.0,T. Young makes 2-pt shot from 16 ft,2,55-72,,
7:42.0,,,55-72,,D. Green misses 2-pt shot from 15 ft
7:41.0,Defensive rebound by S. Muhammad,,55-72,,
7:36.0,Offensive charge foul by Z. LaVine,,55-72,,
7:36.0,Turnover by Z. LaVine (offensive foul),,55-72,,
7:30.0,,,55-72,,Shooting foul by G. Dieng (drawn by S. Curry)
7:30.0,,,55-72,,S. Curry misses free throw 1 of 2
7:30.0,,,55-72,,Offensive rebound by Team
7:30.0,,,55-73,1,S. Curry makes free throw 2 of 2
7:14.0,Z. LaVine misses 3-pt shot from 25 ft,,55-73,,
7:13.0,,,55-73,,Defensive rebound by K. Thompson
7:06.0,,,55-73,,H. Barnes misses 2-pt shot from 14 ft
7:04.0,Defensive rebound by Z. LaVine,,55-73,,
6:54.0,Z. LaVine makes 2-pt shot from 6 ft (assist by T. Young),2,57-73,,
6:44.0,Personal foul by A. Wiggins (drawn by K. Thompson),,57-73,,
6:44.0,,,57-73,,D. Lee enters the game for M. Speights
6:44.0,C. Budinger enters the game for A. Wiggins,,57-73,,
6:36.0,,,57-75,2,S. Curry makes 2-pt shot from 21 ft (assist by D. Green)
6:06.0,Turnover by Z. LaVine (bad pass; steal by S. Curry),,57-75,,
6:00.0,,,57-75,,S. Curry misses 3-pt shot from 26 ft
5:59.0,,,57-75,,Offensive rebound by D. Green
5:55.0,,,57-78,3,K. Thompson makes 3-pt shot from 23 ft (assist by S. Curry)
5:54.0,Minnesota full timeout,,57-78,,
5:54.0,M. Williams enters the game for Z. LaVine,,57-78,,
5:54.0,,,57-78,,A. Iguodala enters the game for H. Barnes
5:39.0,S. Muhammad misses 2-pt shot from 3 ft,,57-78,,
5:38.0,Offensive rebound by S. Muhammad,,57-78,,
5:36.0,S. Muhammad misses 2-pt shot from 3 ft,,57-78,,
5:36.0,Offensive rebound by G. Dieng,,57-78,,
5:36.0,Shooting foul by S. Curry (drawn by G. Dieng),,57-78,,
5:36.0,G. Dieng makes free throw 1 of 2,1,58-78,,
5:36.0,G. Dieng makes free throw 2 of 2,1,59-78,,
5:18.0,,,59-78,,D. Lee misses 2-pt shot from 12 ft
5:17.0,Defensive rebound by G. Dieng,,59-78,,
5:09.0,C. Budinger misses 3-pt shot from 26 ft,,59-78,,
5:08.0,,,59-78,,Defensive rebound by A. Iguodala
5:00.0,,,59-81,3,S. Curry makes 3-pt shot from 24 ft (assist by A. Iguodala)
4:34.0,Shooting foul by A. Iguodala (drawn by G. Dieng),,59-81,,
4:34.0,G. Dieng makes free throw 1 of 2,1,60-81,,
4:34.0,G. Dieng misses free throw 2 of 2,,60-81,,
4:33.0,,,60-81,,Defensive rebound by D. Lee
4:21.0,,,60-81,,Turnover by K. Thompson (bad pass; steal by C. Budinger)
4:10.0,T. Young makes 3-pt shot from 23 ft (assist by G. Dieng),3,63-81,,
3:53.0,,,63-81,,Turnover by D. Green (bad pass)
3:41.0,Turnover by T. Young (lost ball; steal by D. Green),,63-81,,
3:36.0,,,63-83,2,D. Green makes 2-pt shot at rim
3:13.0,G. Dieng misses 2-pt shot from 5 ft (block by D. Lee),,63-83,,
3:13.0,,,63-83,,Defensive rebound by Team
3:13.0,T. Daniels enters the game for S. Muhammad,,63-83,,
3:13.0,,,63-83,,J. Holiday enters the game for K. Thompson
3:02.0,,,63-83,,D. Green misses 3-pt shot from 24 ft
3:00.0,Defensive rebound by C. Budinger,,63-83,,
2:56.0,M. Williams misses 2-pt shot from 18 ft,,63-83,,
2:55.0,,,63-83,,Defensive rebound by D. Lee
2:46.0,,,63-83,,Shooting foul by G. Dieng (drawn by A. Iguodala)
2:46.0,,,63-84,1,A. Iguodala makes free throw 1 of 2
2:46.0,J. Adrien enters the game for G. Dieng,,63-84,,
2:46.0,,,63-85,1,A. Iguodala makes free throw 2 of 2
2:22.0,M. Williams misses 2-pt shot from 17 ft,,63-85,,
2:22.0,Offensive rebound by J. Adrien,,63-85,,
2:22.0,,,63-85,,Personal foul by D. Lee (drawn by J. Adrien)
2:06.0,T. Young misses 2-pt shot from 16 ft,,63-85,,
2:05.0,Offensive rebound by T. Daniels,,63-85,,
1:45.0,Offensive foul by M. Williams,,63-85,,
1:45.0,Turnover by M. Williams (offensive foul),,63-85,,
1:30.0,,,63-85,,D. Lee misses 2-pt shot from 8 ft
1:29.0,Defensive rebound by J. Adrien,,63-85,,
1:16.0,Turnover by M. Williams (bad pass; steal by J. Holiday),,63-85,,
1:12.0,,,63-87,2,A. Iguodala makes 2-pt shot from 2 ft (assist by D. Green)
1:12.0,,,63-87,,Shooting foul by T. Daniels (drawn by A. Iguodala)
1:12.0,R. Hummel enters the game for T. Young,,63-87,,
1:12.0,,,63-88,1,A. Iguodala makes free throw 1 of 1
0:47.0,T. Daniels misses 2-pt shot from 4 ft,,63-88,,
0:46.0,,,63-88,,Defensive rebound by D. Lee
0:41.0,,,63-88,,J. Holiday misses 3-pt shot from 26 ft
0:40.0,,,63-88,,Offensive rebound by S. Curry
0:39.0,,,63-88,,S. Curry misses 2-pt shot from 2 ft
0:37.0,Defensive rebound by C. Budinger,,63-88,,
0:31.0,C. Budinger makes 2-pt shot from 1 ft (assist by M. Williams),2,65-88,,
0:10.0,,,65-88,,D. Lee misses 2-pt shot from 4 ft
0:09.0,Defensive rebound by T. Daniels,,65-88,,
0:01.0,,,65-88,,Personal foul by S. Curry (drawn by M. Williams)
0:01.0,M. Williams makes free throw 1 of 2,1,66-88,,
0:01.0,M. Williams makes free throw 2 of 2,1,67-88,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,67-88,,A. Iguodala misses 2-pt shot from 18 ft
11:41.0,Defensive rebound by C. Budinger,,67-88,,
11:19.0,Turnover by R. Hummel (bad pass; steal by S. Livingston),,67-88,,
11:04.0,,,67-90,2,O. Kuzmic makes 2-pt shot from 16 ft (assist by S. Livingston)
10:41.0,Turnover by R. Hummel (bad pass; steal by D. Green),,67-90,,
10:29.0,,,67-90,,J. Holiday misses 3-pt shot from 25 ft
10:28.0,Defensive rebound by Team,,67-90,,
10:13.0,M. Williams misses 3-pt shot from 26 ft,,67-90,,
10:11.0,,,67-90,,Defensive rebound by S. Livingston
10:09.0,Z. LaVine enters the game for M. Williams,,67-90,,
10:01.0,,,67-92,2,A. Iguodala makes 2-pt shot from 1 ft (assist by O. Kuzmic)
9:41.0,J. Adrien misses 2-pt shot from 7 ft (block by D. Green),,67-92,,
9:39.0,Offensive rebound by J. Adrien,,67-92,,
9:38.0,Turnover by J. Adrien (bad pass; steal by A. Iguodala),,67-92,,
9:30.0,,,67-92,,S. Livingston misses 2-pt shot from 10 ft
9:30.0,Defensive rebound by J. Adrien,,67-92,,
9:21.0,A. Wiggins misses 3-pt shot from 25 ft,,67-92,,
9:19.0,Offensive rebound by J. Adrien,,67-92,,
9:19.0,,,67-92,,Personal foul by O. Kuzmic (drawn by J. Adrien)
9:12.0,C. Budinger misses 2-pt shot from 17 ft (block by J. Holiday),,67-92,,
9:11.0,,,67-92,,Defensive rebound by D. Green
9:00.0,,,67-94,2,J. Holiday makes 2-pt shot from 18 ft
8:35.0,J. Adrien misses 2-pt shot from 10 ft,,67-94,,
8:34.0,,,67-94,,Defensive rebound by D. Green
8:26.0,,,67-94,,J. Holiday misses 3-pt shot from 25 ft
8:26.0,Defensive rebound by C. Budinger,,67-94,,
8:07.0,Z. LaVine misses 2-pt shot from 19 ft,,67-94,,
8:06.0,Offensive rebound by R. Hummel,,67-94,,
7:55.0,,,67-94,,Personal foul by D. Green (drawn by A. Wiggins)
7:55.0,Official timeout,,67-94,,
7:55.0,,,67-94,,H. Barnes enters the game for D. Green
7:55.0,A. Wiggins misses free throw 1 of 2,,67-94,,
7:55.0,Offensive rebound by Team,,67-94,,
7:55.0,A. Wiggins makes free throw 2 of 2,1,68-94,,
7:30.0,,,68-94,,H. Barnes misses 2-pt shot from 17 ft
7:29.0,Defensive rebound by Z. LaVine,,68-94,,
7:15.0,A. Wiggins makes 2-pt shot from 4 ft (assist by Z. LaVine),2,70-94,,
6:50.0,,,70-94,,Shooting foul by Z. LaVine (drawn by S. Livingston)
6:50.0,,,70-95,1,S. Livingston makes free throw 1 of 2
6:50.0,G. Robinson enters the game for A. Wiggins,,70-95,,
6:50.0,A. Bennett enters the game for C. Budinger,,70-95,,
6:50.0,,,70-96,1,S. Livingston makes free throw 2 of 2
6:38.0,Z. LaVine misses 2-pt shot from 2 ft,,70-96,,
6:37.0,,,70-96,,Defensive rebound by H. Barnes
6:30.0,,,70-96,,J. Holiday misses 2-pt shot from 19 ft
6:30.0,Defensive rebound by G. Robinson,,70-96,,
6:15.0,Shooting foul by O. Kuzmic (drawn by J. Adrien),,70-96,,
6:15.0,J. Adrien makes free throw 1 of 2,1,71-96,,
6:15.0,,,71-96,,L. Barbosa enters the game for A. Iguodala
6:15.0,J. Adrien misses free throw 2 of 2,,71-96,,
