time,Chicago,pts.away,score,pts.home,Denver
9:34.0,N. Mirotic makes 2-pt shot from 2 ft,2,27-35,,
9:34.0,Shooting foul by D. Arthur (drawn by N. Mirotic),,27-35,,
9:34.0,N. Mirotic misses free throw 1 of 1,,27-35,,
9:33.0,,,27-35,,Defensive rebound by D. Gallinari
9:28.0,,,27-35,,N. Robinson misses 3-pt shot from 25 ft
9:26.0,,,27-35,,Offensive rebound by Team
9:14.0,,,27-35,,Turnover by D. Arthur (bad pass; steal by N. Mohammed)
9:06.0,Shooting foul by N. Robinson (drawn by A. Brooks),,27-35,,
9:06.0,A. Brooks makes free throw 1 of 3,1,28-35,,
9:06.0,A. Brooks makes free throw 2 of 3,1,29-35,,
9:06.0,A. Brooks makes free throw 3 of 3,1,30-35,,
8:52.0,,,30-37,2,J. Hickson makes 2-pt shot at rim (assist by N. Robinson)
8:46.0,Turnover by K. Hinrich (lost ball),,30-37,,
8:46.0,Official timeout,,30-37,,
8:33.0,,,30-39,2,N. Robinson makes 2-pt shot from 3 ft (assist by D. Arthur)
8:06.0,K. Hinrich misses 2-pt shot from 2 ft,,30-39,,
8:05.0,,,30-39,,Defensive rebound by J. Hickson
7:57.0,,,30-39,,Turnover by N. Robinson (bad pass; steal by N. Mirotic)
7:54.0,,,30-39,,Personal foul by D. Gallinari (drawn by K. Hinrich)
7:42.0,A. Brooks makes 3-pt shot from 27 ft,3,33-39,,
7:29.0,,,33-42,3,D. Arthur makes 3-pt shot from 24 ft (assist by N. Robinson)
7:15.0,Shooting foul by D. Arthur (drawn by N. Mirotic),,33-42,,
7:15.0,,,33-42,,Technical foul by D. Arthur (drawn by N. Mirotic)
7:15.0,A. Brooks makes technical free throw,1,34-42,,
7:15.0,N. Mirotic makes free throw 1 of 2,1,35-42,,
7:15.0,,,35-42,,W. Chandler enters the game for D. Arthur
7:15.0,N. Mirotic makes free throw 2 of 2,1,36-42,,
7:04.0,Personal foul by N. Mirotic (drawn by D. Gallinari),,36-42,,
7:04.0,J. Butler enters the game for K. Hinrich,,36-42,,
7:01.0,,,36-42,,N. Robinson misses 2-pt shot from 5 ft
7:01.0,Defensive rebound by Team,,36-42,,
6:43.0,D. McDermott misses 2-pt shot at rim,,36-42,,
6:42.0,,,36-42,,Defensive rebound by N. Robinson
6:36.0,,,36-45,3,W. Chandler makes 3-pt shot from 24 ft (assist by N. Robinson)
6:11.0,Shooting foul by G. Harris (drawn by J. Butler),,36-45,,
6:11.0,J. Butler makes free throw 1 of 2,1,37-45,,
6:11.0,,,37-45,,T. Mozgov enters the game for D. Gallinari
6:11.0,,,37-45,,K. Faried enters the game for J. Hickson
6:11.0,,,37-45,,A. Afflalo enters the game for N. Robinson
6:11.0,,,37-45,,T. Lawson enters the game for G. Harris
6:11.0,M. Dunleavy enters the game for N. Mohammed,,37-45,,
6:11.0,P. Gasol enters the game for D. McDermott,,37-45,,
6:11.0,D. Rose enters the game for A. Brooks,,37-45,,
6:11.0,J. Butler makes free throw 2 of 2,1,38-45,,
5:56.0,,,38-47,2,A. Afflalo makes 2-pt shot from 1 ft (assist by T. Lawson)
5:45.0,,,38-47,,Def 3 sec tech foul by W. Chandler
5:45.0,,,38-47,,Denver full timeout
5:45.0,J. Butler makes technical free throw,1,39-47,,
5:38.0,Shooting foul by T. Mozgov (drawn by J. Butler),,39-47,,
5:38.0,J. Butler makes free throw 1 of 2,1,40-47,,
5:38.0,J. Butler makes free throw 2 of 2,1,41-47,,
5:19.0,,,41-47,,A. Afflalo misses 3-pt shot from 23 ft
5:18.0,,,41-47,,Offensive rebound by T. Mozgov
5:15.0,,,41-49,2,T. Mozgov makes 2-pt shot from 2 ft
4:51.0,P. Gasol misses 2-pt shot from 14 ft,,41-49,,
4:50.0,,,41-49,,Defensive rebound by W. Chandler
4:43.0,,,41-51,2,W. Chandler makes 2-pt shot from 3 ft
4:31.0,P. Gasol misses 2-pt shot from 20 ft,,41-51,,
4:29.0,,,41-51,,Defensive rebound by T. Mozgov
4:20.0,,,41-51,,T. Lawson misses 2-pt shot from 1 ft
4:19.0,Defensive rebound by P. Gasol,,41-51,,
4:13.0,Turnover by D. Rose (bad pass; steal by K. Faried),,41-51,,
4:04.0,,,41-51,,W. Chandler misses 2-pt shot from 17 ft
4:03.0,Defensive rebound by P. Gasol,,41-51,,
3:45.0,D. Rose misses 3-pt shot from 25 ft,,41-51,,
3:44.0,,,41-51,,Defensive rebound by W. Chandler
3:33.0,,,41-51,,W. Chandler misses 2-pt shot from 3 ft
3:31.0,,,41-51,,Offensive rebound by W. Chandler
3:31.0,,,41-53,2,W. Chandler makes 2-pt shot from 1 ft
3:24.0,Chicago full timeout,,41-53,,
3:09.0,J. Butler makes 2-pt shot at rim (assist by P. Gasol),2,43-53,,
2:58.0,Personal foul by M. Dunleavy (drawn by T. Lawson),,43-53,,
2:49.0,,,43-53,,T. Lawson misses 2-pt shot from 1 ft (block by N. Mirotic)
2:45.0,,,43-53,,Offensive rebound by K. Faried
2:45.0,,,43-53,,K. Faried misses 2-pt shot from 1 ft
2:43.0,Defensive rebound by P. Gasol,,43-53,,
2:39.0,M. Dunleavy misses 3-pt shot from 25 ft,,43-53,,
2:38.0,,,43-53,,Defensive rebound by K. Faried
2:33.0,,,43-53,,Turnover by K. Faried (lost ball; steal by M. Dunleavy)
2:32.0,Shooting foul by W. Chandler (drawn by J. Butler),,43-53,,
2:32.0,J. Butler misses free throw 1 of 2,,43-53,,
2:32.0,Offensive rebound by Team,,43-53,,
2:32.0,A. Brooks enters the game for D. Rose,,43-53,,
2:32.0,,,43-53,,J. Hickson enters the game for T. Mozgov
2:32.0,J. Butler misses free throw 2 of 2,,43-53,,
2:29.0,Offensive rebound by P. Gasol,,43-53,,
2:27.0,Turnover by P. Gasol (bad pass),,43-53,,
2:21.0,,,43-53,,K. Faried misses 2-pt shot at rim
2:20.0,Defensive rebound by J. Butler,,43-53,,
2:08.0,M. Dunleavy makes 3-pt shot from 22 ft (assist by N. Mirotic),3,46-53,,
1:54.0,,,46-53,,Shooting foul by N. Mirotic (drawn by K. Faried)
1:54.0,,,46-53,,K. Faried misses free throw 1 of 2
1:54.0,,,46-53,,Offensive rebound by Team
1:54.0,,,46-54,1,K. Faried makes free throw 2 of 2
1:32.0,P. Gasol makes 2-pt shot from 4 ft,2,48-54,,
1:10.0,,,48-54,,T. Lawson misses 2-pt shot from 18 ft
1:07.0,Defensive rebound by N. Mirotic,,48-54,,
1:00.0,Offensive foul by P. Gasol,,48-54,,
1:00.0,Turnover by P. Gasol (offensive foul),,48-54,,
0:50.0,,,48-54,,Turnover by T. Lawson (bad pass; steal by N. Mirotic)
0:39.0,P. Gasol misses 2-pt shot from 1 ft,,48-54,,
0:38.0,Offensive rebound by P. Gasol,,48-54,,
0:37.0,Shooting foul by K. Faried (drawn by P. Gasol),,48-54,,
0:37.0,P. Gasol misses free throw 1 of 2,,48-54,,
0:37.0,Offensive rebound by Team,,48-54,,
0:37.0,,,48-54,,D. Gallinari enters the game for K. Faried
0:37.0,C. Bairstow enters the game for N. Mirotic,,48-54,,
0:37.0,P. Gasol makes free throw 2 of 2,1,49-54,,
0:21.0,,,49-56,2,W. Chandler makes 2-pt shot from 5 ft
0:01.0,A. Brooks misses 2-pt shot from 16 ft,,49-56,,
0:00.0,Offensive rebound by Team,,49-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,P. Gasol misses 2-pt shot from 13 ft,,49-56,,
11:40.0,,,49-56,,Defensive rebound by Team
11:40.0,Loose ball foul by C. Bairstow (drawn by K. Faried),,49-56,,
11:20.0,,,49-56,,T. Lawson misses 2-pt shot from 14 ft
11:19.0,,,49-56,,Offensive rebound by T. Lawson
11:17.0,,,49-56,,Shooting foul by C. Bairstow (drawn by T. Mozgov)
11:17.0,,,49-56,,T. Mozgov misses free throw 1 of 2
11:17.0,,,49-56,,Offensive rebound by Team
11:17.0,,,49-57,1,T. Mozgov makes free throw 2 of 2
10:55.0,K. Hinrich makes 2-pt shot from 19 ft,2,51-57,,
10:42.0,Shooting block foul by C. Bairstow (drawn by K. Faried),,51-57,,
10:42.0,,,51-57,,K. Faried misses free throw 1 of 2
10:42.0,,,51-57,,Offensive rebound by Team
10:42.0,,,51-57,,K. Faried misses free throw 2 of 2
10:39.0,Defensive rebound by P. Gasol,,51-57,,
10:19.0,K. Hinrich misses 2-pt shot from 20 ft,,51-57,,
10:18.0,Offensive rebound by C. Bairstow,,51-57,,
10:11.0,C. Bairstow misses 2-pt shot from 2 ft (block by T. Mozgov),,51-57,,
10:10.0,Offensive rebound by Team,,51-57,,
9:55.0,K. Hinrich misses 2-pt shot from 1 ft,,51-57,,
9:53.0,,,51-57,,Defensive rebound by K. Faried
9:52.0,,,51-57,,Turnover by W. Chandler (traveling)
9:34.0,C. Bairstow makes 2-pt shot from 19 ft (assist by K. Hinrich),2,53-57,,
9:24.0,,,53-57,,T. Lawson misses 2-pt shot from 15 ft
9:23.0,Defensive rebound by J. Butler,,53-57,,
9:18.0,Turnover by C. Bairstow (3 sec),,53-57,,
9:04.0,,,53-57,,W. Chandler misses 3-pt shot from 25 ft
9:01.0,,,53-57,,Offensive rebound by K. Faried
8:53.0,,,53-57,,K. Faried misses 2-pt shot at rim (block by C. Bairstow)
8:52.0,,,53-57,,Offensive rebound by K. Faried
8:49.0,,,53-59,2,K. Faried makes 2-pt shot at rim
8:33.0,M. Dunleavy misses 3-pt shot from 26 ft,,53-59,,
8:31.0,,,53-59,,Defensive rebound by K. Faried
8:23.0,,,53-61,2,A. Afflalo makes 2-pt shot from 18 ft
8:04.0,M. Dunleavy makes 3-pt shot from 25 ft (assist by P. Gasol),3,56-61,,
7:45.0,,,56-64,3,A. Afflalo makes 3-pt shot from 24 ft (assist by T. Lawson)
7:21.0,K. Hinrich makes 3-pt shot from 24 ft (assist by J. Butler),3,59-64,,
7:05.0,,,59-64,,Turnover by T. Lawson (bad pass; steal by M. Dunleavy)
7:00.0,M. Dunleavy makes 2-pt shot at rim,2,61-64,,
7:00.0,,,61-64,,Denver full timeout
6:43.0,,,61-66,2,A. Afflalo makes 2-pt shot from 20 ft (assist by T. Lawson)
6:29.0,,,61-66,,Personal foul by A. Afflalo (drawn by J. Butler)
6:19.0,Turnover by C. Bairstow (3 sec),,61-66,,
6:07.0,,,61-68,2,T. Lawson makes 2-pt shot from 19 ft
5:52.0,P. Gasol makes 2-pt shot from 1 ft (assist by K. Hinrich),2,63-68,,
5:38.0,,,63-68,,T. Mozgov misses 2-pt shot at rim
5:36.0,Defensive rebound by P. Gasol,,63-68,,
5:30.0,J. Butler misses 2-pt shot from 20 ft,,63-68,,
5:28.0,,,63-68,,Defensive rebound by T. Mozgov
5:22.0,,,63-71,3,T. Lawson makes 3-pt shot from 24 ft
5:00.0,C. Bairstow misses 2-pt shot from 16 ft,,63-71,,
4:59.0,Offensive rebound by C. Bairstow,,63-71,,
4:54.0,K. Hinrich makes 2-pt shot from 21 ft (assist by C. Bairstow),2,65-71,,
4:39.0,,,65-73,2,T. Mozgov makes 2-pt shot from 1 ft (assist by T. Lawson)
4:19.0,P. Gasol makes 2-pt shot from 18 ft (assist by K. Hinrich),2,67-73,,
4:11.0,,,67-73,,Shooting foul by J. Butler (drawn by A. Afflalo)
4:11.0,,,67-74,1,A. Afflalo makes free throw 1 of 2
4:11.0,,,67-74,,D. Gallinari enters the game for W. Chandler
4:11.0,,,67-74,,D. Arthur enters the game for K. Faried
4:11.0,,,67-75,1,A. Afflalo makes free throw 2 of 2
3:51.0,M. Dunleavy makes 3-pt shot from 24 ft (assist by K. Hinrich),3,70-75,,
3:42.0,,,70-77,2,T. Lawson makes 2-pt shot from 3 ft
3:42.0,,,70-77,,Shooting foul by K. Hinrich (drawn by T. Lawson)
3:42.0,,,70-78,1,T. Lawson makes free throw 1 of 1
3:27.0,J. Butler misses 2-pt shot from 11 ft,,70-78,,
3:26.0,,,70-78,,Defensive rebound by T. Mozgov
3:19.0,,,70-78,,Shooting foul by K. Hinrich (drawn by T. Lawson)
3:19.0,,,70-78,,T. Lawson misses free throw 1 of 2
3:19.0,,,70-78,,Offensive rebound by Team
3:19.0,A. Brooks enters the game for K. Hinrich,,70-78,,
3:19.0,N. Mirotic enters the game for C. Bairstow,,70-78,,
3:19.0,,,70-79,1,T. Lawson makes free throw 2 of 2
3:05.0,,,70-79,,Personal foul by T. Mozgov (drawn by P. Gasol)
2:51.0,P. Gasol makes 2-pt shot from 1 ft,2,72-79,,
2:35.0,,,72-79,,D. Arthur misses 3-pt shot from 26 ft
2:34.0,Defensive rebound by N. Mirotic,,72-79,,
2:19.0,Shooting foul by A. Afflalo (drawn by J. Butler),,72-79,,
2:19.0,Chicago full timeout,,72-79,,
2:19.0,J. Butler makes free throw 1 of 2,1,73-79,,
2:19.0,J. Butler makes free throw 2 of 2,1,74-79,,
2:08.0,Personal foul by A. Brooks (drawn by T. Lawson),,74-79,,
2:08.0,,,74-80,1,T. Lawson makes free throw 1 of 2
2:08.0,,,74-81,1,T. Lawson makes free throw 2 of 2
1:44.0,Turnover by J. Butler (bad pass; steal by T. Lawson),,74-81,,
1:39.0,,,74-83,2,T. Lawson makes 2-pt shot from 9 ft
1:20.0,A. Brooks misses 2-pt shot from 1 ft,,74-83,,
1:19.0,,,74-83,,Defensive rebound by T. Mozgov
1:12.0,,,74-83,,T. Lawson misses 2-pt shot from 17 ft
1:11.0,Defensive rebound by P. Gasol,,74-83,,
1:01.0,J. Butler misses 3-pt shot from 25 ft,,74-83,,
0:59.0,,,74-83,,Defensive rebound by T. Mozgov
0:51.0,,,74-85,2,D. Gallinari makes 2-pt shot from 2 ft
0:51.0,,,74-85,,Shooting foul by N. Mirotic (drawn by D. Gallinari)
0:51.0,,,74-86,1,D. Gallinari makes free throw 1 of 1
0:38.0,A. Brooks misses 2-pt shot from 2 ft,,74-86,,
0:36.0,,,74-86,,Defensive rebound by D. Gallinari
0:29.0,,,74-86,,Turnover by T. Lawson (bad pass; steal by P. Gasol)
0:26.0,Shooting foul by D. Gallinari (drawn by J. Butler),,74-86,,
0:26.0,J. Butler makes free throw 1 of 2,1,75-86,,
0:26.0,,,75-86,,N. Robinson enters the game for T. Mozgov
0:26.0,N. Mohammed enters the game for P. Gasol,,75-86,,
0:26.0,J. Butler makes free throw 2 of 2,1,76-86,,
0:03.0,,,76-86,,A. Afflalo misses 2-pt shot from 1 ft
0:02.0,Defensive rebound by N. Mohammed,,76-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,76-86,,J. Hickson misses 2-pt shot at rim (block by N. Mohammed)
11:39.0,,,76-86,,Offensive rebound by Team
11:34.0,,,76-86,,D. Arthur misses 2-pt shot from 19 ft
11:32.0,Defensive rebound by N. Mohammed,,76-86,,
11:15.0,N. Mohammed misses 2-pt shot from 15 ft,,76-86,,
11:12.0,,,76-86,,Defensive rebound by D. Gallinari
11:00.0,,,76-86,,J. Hickson misses 2-pt shot at rim (block by N. Mohammed)
10:54.0,,,76-86,,Offensive rebound by N. Robinson
10:51.0,,,76-88,2,N. Robinson makes 2-pt shot from 12 ft
10:43.0,A. Brooks makes 2-pt shot from 1 ft,2,78-88,,
10:25.0,,,78-88,,D. Gallinari misses 2-pt shot from 20 ft
10:24.0,Defensive rebound by D. McDermott,,78-88,,
10:06.0,A. Brooks misses 2-pt shot from 18 ft,,78-88,,
10:04.0,Offensive rebound by K. Hinrich,,78-88,,
10:03.0,N. Mohammed misses 2-pt shot at rim (block by D. Gallinari),,78-88,,
10:02.0,Offensive rebound by N. Mirotic,,78-88,,
10:01.0,,,78-88,,Personal foul by N. Robinson (drawn by N. Mirotic)
9:51.0,N. Mohammed makes 2-pt shot from 9 ft (assist by N. Mirotic),2,80-88,,
9:35.0,,,80-88,,D. Arthur misses 3-pt shot from 25 ft
9:33.0,,,80-88,,Offensive rebound by J. Hickson
9:26.0,,,80-90,2,A. Gee makes 2-pt shot at rim
9:15.0,N. Mirotic misses 3-pt shot from 26 ft,,80-90,,
9:13.0,,,80-90,,Defensive rebound by J. Hickson
9:07.0,Personal foul by N. Mohammed (drawn by N. Robinson),,80-90,,
9:07.0,,,80-90,,W. Chandler enters the game for D. Arthur
8:59.0,Shooting block foul by N. Mohammed (drawn by J. Hickson),,80-90,,
8:59.0,Official timeout,,80-90,,
8:59.0,J. Butler enters the game for N. Mohammed,,80-90,,
8:59.0,P. Gasol enters the game for D. McDermott,,80-90,,
8:59.0,,,80-91,1,J. Hickson makes free throw 1 of 2
8:59.0,,,80-92,1,J. Hickson makes free throw 2 of 2
8:36.0,N. Mirotic misses 2-pt shot from 2 ft,,80-92,,
8:35.0,Offensive rebound by N. Mirotic,,80-92,,
8:32.0,N. Mirotic misses 2-pt shot from 2 ft (block by J. Hickson),,80-92,,
8:31.0,,,80-92,,Defensive rebound by D. Gallinari
8:25.0,,,80-94,2,A. Gee makes 2-pt shot at rim (assist by D. Gallinari)
8:25.0,Chicago full timeout,,80-94,,
8:25.0,M. Dunleavy enters the game for N. Mirotic,,80-94,,
8:02.0,P. Gasol misses 2-pt shot from 17 ft,,80-94,,
8:01.0,Offensive rebound by J. Butler,,80-94,,
8:00.0,Shooting foul by W. Chandler (drawn by J. Butler),,80-94,,
8:00.0,J. Butler makes free throw 1 of 2,1,81-94,,
8:00.0,J. Butler makes free throw 2 of 2,1,82-94,,
7:48.0,,,82-94,,D. Gallinari misses 3-pt shot from 26 ft
7:46.0,,,82-94,,Offensive rebound by A. Gee
7:44.0,,,82-94,,Turnover by A. Gee (bad pass; steal by M. Dunleavy)
7:38.0,K. Hinrich makes 3-pt shot from 23 ft (assist by A. Brooks),3,85-94,,
7:16.0,,,85-94,,Shooting foul by J. Butler (drawn by D. Gallinari)
7:16.0,,,85-95,1,D. Gallinari makes free throw 1 of 2
7:16.0,,,85-96,1,D. Gallinari makes free throw 2 of 2
7:04.0,A. Brooks misses 3-pt shot from 27 ft,,85-96,,
7:02.0,,,85-96,,Defensive rebound by J. Hickson
6:56.0,,,85-99,3,N. Robinson makes 3-pt shot from 24 ft (assist by D. Gallinari)
6:36.0,M. Dunleavy misses 3-pt shot from 25 ft,,85-99,,
6:34.0,,,85-99,,Defensive rebound by W. Chandler
6:20.0,,,85-99,,N. Robinson misses 2-pt shot from 18 ft
6:20.0,Defensive rebound by Team,,85-99,,
6:20.0,,,85-99,,Loose ball foul by N. Robinson (drawn by A. Brooks)
6:03.0,P. Gasol misses 2-pt shot from 4 ft (block by J. Hickson),,85-99,,
6:01.0,,,85-99,,Defensive rebound by W. Chandler
5:55.0,,,85-99,,Shooting foul by M. Dunleavy (drawn by A. Gee)
5:55.0,,,85-100,1,A. Gee makes free throw 1 of 2
5:55.0,,,85-101,1,A. Gee makes free throw 2 of 2
5:40.0,P. Gasol misses 2-pt shot from 1 ft (block by A. Gee),,85-101,,
5:39.0,Offensive rebound by J. Butler,,85-101,,
5:38.0,Shooting foul by W. Chandler (drawn by J. Butler),,85-101,,
5:38.0,J. Butler makes free throw 1 of 2,1,86-101,,
5:38.0,J. Butler makes free throw 2 of 2,1,87-101,,
5:20.0,,,87-101,,Turnover by J. Hickson (bad pass; steal by K. Hinrich)
5:09.0,Shooting foul by N. Robinson (drawn by A. Brooks),,87-101,,
5:09.0,A. Brooks makes free throw 1 of 2,1,88-101,,
5:09.0,,,88-101,,T. Lawson enters the game for N. Robinson
5:09.0,A. Brooks makes free throw 2 of 2,1,89-101,,
4:56.0,,,89-101,,J. Hickson misses 2-pt shot from 2 ft
4:51.0,Defensive rebound by J. Butler,,89-101,,
