time,Washington,pts.away,score,pts.home,Chicago
7:08.0,,,7-11,1,P. Gasol makes free throw 2 of 2
6:59.0,P. Pierce misses 2-pt shot from 18 ft,,7-11,,
6:57.0,,,7-11,,Defensive rebound by J. Noah
6:41.0,,,7-11,,Turnover by A. Brooks (lost ball; steal by N. Hilario)
6:38.0,Shooting foul by M. Dunleavy (drawn by J. Wall),,7-11,,
6:38.0,J. Wall makes free throw 1 of 2,1,8-11,,
6:38.0,J. Wall misses free throw 2 of 2,,8-11,,
6:36.0,,,8-11,,Defensive rebound by P. Gasol
6:23.0,,,8-11,,A. Brooks misses 3-pt shot from 24 ft (block by P. Pierce)
6:21.0,Defensive rebound by B. Beal,,8-11,,
6:20.0,Offensive charge foul by J. Wall,,8-11,,
6:20.0,Turnover by J. Wall (offensive foul),,8-11,,
6:08.0,,,8-11,,M. Dunleavy misses 2-pt shot from 3 ft (block by M. Gortat)
6:08.0,,,8-11,,Offensive rebound by Team
6:00.0,,,8-11,,Turnover by J. Noah (bad pass; steal by B. Beal)
5:57.0,,,8-11,,Personal foul by J. Noah (drawn by B. Beal)
5:46.0,B. Beal makes 2-pt shot from 4 ft,2,10-11,,
5:24.0,Personal foul by N. Hilario (drawn by P. Gasol),,10-11,,
5:24.0,G. Temple enters the game for B. Beal,,10-11,,
5:24.0,D. Gooden enters the game for N. Hilario,,10-11,,
5:10.0,,,10-13,2,J. Noah makes 2-pt shot at rim (assist by T. Snell)
4:53.0,P. Pierce misses 3-pt shot from 24 ft,,10-13,,
4:53.0,,,10-13,,Defensive rebound by J. Noah
4:53.0,Personal foul by D. Gooden (drawn by J. Noah),,10-13,,
4:53.0,,,10-13,,N. Mirotic enters the game for J. Noah
4:38.0,O. Porter enters the game for P. Pierce,,10-13,,
4:38.0,,,10-13,,D. McDermott enters the game for M. Dunleavy
4:34.0,,,10-15,2,P. Gasol makes 2-pt shot from 14 ft (assist by T. Snell)
4:11.0,M. Gortat misses 2-pt shot from 11 ft,,10-15,,
4:09.0,Offensive rebound by D. Gooden,,10-15,,
4:02.0,M. Gortat makes 2-pt shot at rim (assist by G. Temple),2,12-15,,
3:46.0,,,12-17,2,P. Gasol makes 2-pt shot from 17 ft (assist by A. Brooks)
3:33.0,Turnover by M. Gortat (lost ball; steal by A. Brooks),,12-17,,
3:30.0,,,12-17,,Shooting foul by G. Temple (drawn by N. Mirotic)
3:30.0,,,12-17,,N. Mirotic misses free throw 1 of 2
3:30.0,,,12-17,,Offensive rebound by Team
3:30.0,,,12-18,1,N. Mirotic makes free throw 2 of 2
3:17.0,O. Porter makes 3-pt shot from 23 ft (assist by J. Wall),3,15-18,,
2:59.0,,,15-18,,T. Snell misses 2-pt shot from 7 ft
2:58.0,Defensive rebound by M. Gortat,,15-18,,
2:54.0,Turnover by J. Wall (bad pass; steal by T. Snell),,15-18,,
2:46.0,Personal foul by D. Gooden (drawn by N. Mirotic),,15-18,,
2:46.0,,,15-18,,Chicago full timeout
2:46.0,,,15-18,,K. Hinrich enters the game for A. Brooks
2:46.0,,,15-19,1,N. Mirotic makes free throw 1 of 2
2:46.0,,,15-19,,N. Mirotic misses free throw 2 of 2
2:45.0,Defensive rebound by D. Gooden,,15-19,,
2:30.0,D. Gooden misses 2-pt shot from 13 ft,,15-19,,
2:29.0,,,15-19,,Defensive rebound by K. Hinrich
2:14.0,,,15-19,,Turnover by K. Hinrich (bad pass; steal by J. Wall)
2:10.0,J. Wall makes 2-pt shot at rim,2,17-19,,
1:47.0,,,17-21,2,P. Gasol makes 2-pt shot from 14 ft
1:33.0,J. Wall makes 2-pt shot from 1 ft,2,19-21,,
1:25.0,,,19-24,3,T. Snell makes 3-pt shot from 25 ft (assist by K. Hinrich)
1:17.0,Turnover by J. Wall (lost ball),,19-24,,
1:17.0,R. Sessions enters the game for J. Wall,,19-24,,
1:03.0,,,19-24,,N. Mirotic misses 3-pt shot from 24 ft
1:01.0,Defensive rebound by M. Gortat,,19-24,,
0:41.0,Shooting foul by K. Hinrich (drawn by R. Sessions),,19-24,,
0:41.0,R. Sessions misses free throw 1 of 2,,19-24,,
0:41.0,Offensive rebound by Team,,19-24,,
0:41.0,R. Sessions makes free throw 2 of 2,1,20-24,,
0:25.0,,,20-24,,Turnover by P. Gasol (bad pass)
0:25.0,J. Wall enters the game for M. Gortat,,20-24,,
0:04.0,D. Gooden makes 2-pt shot from 2 ft (assist by J. Wall),2,22-24,,
0:00.0,,,22-24,,K. Hinrich misses 3-pt shot from 25 ft (block by G. Temple)
0:00.0,,,22-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,O. Porter makes 3-pt shot from 25 ft (assist by B. Beal),3,25-24,,
11:16.0,,,25-24,,N. Mirotic misses 3-pt shot from 25 ft
11:15.0,Defensive rebound by O. Porter,,25-24,,
11:07.0,K. Seraphin misses 2-pt shot from 9 ft,,25-24,,
11:06.0,,,25-24,,Defensive rebound by N. Mirotic
10:56.0,,,25-24,,T. Snell misses 3-pt shot from 25 ft
10:53.0,,,25-24,,Offensive rebound by J. Noah
10:53.0,Violation by K. Seraphin (kicked ball),,25-24,,
10:46.0,,,25-24,,D. McDermott misses 2-pt shot from 1 ft (block by K. Seraphin)
10:44.0,,,25-24,,Offensive rebound by D. McDermott
10:44.0,,,25-26,2,J. Noah makes 2-pt shot from 2 ft (assist by D. McDermott)
10:26.0,D. Gooden misses 3-pt shot from 26 ft,,25-26,,
10:25.0,,,25-26,,Defensive rebound by K. Hinrich
10:16.0,,,25-26,,Turnover by K. Hinrich (bad pass; steal by D. Gooden)
10:01.0,R. Sessions makes 2-pt shot from 2 ft,2,27-26,,
10:01.0,Shooting foul by K. Hinrich (drawn by R. Sessions),,27-26,,
10:01.0,P. Pierce enters the game for D. Gooden,,27-26,,
10:01.0,R. Sessions makes free throw 1 of 1,1,28-26,,
9:52.0,,,28-26,,Shooting foul by P. Pierce (drawn by J. Noah)
9:52.0,,,28-27,1,J. Noah makes free throw 1 of 2
9:52.0,,,28-28,1,J. Noah makes free throw 2 of 2
9:27.0,R. Sessions misses 3-pt shot from 24 ft,,28-28,,
9:27.0,,,28-28,,Defensive rebound by Team
9:12.0,,,28-28,,D. McDermott misses 3-pt shot from 25 ft
9:10.0,Defensive rebound by K. Seraphin,,28-28,,
8:59.0,Turnover by R. Sessions (traveling),,28-28,,
8:59.0,,,28-28,,Chicago full timeout
8:36.0,,,28-28,,Turnover by T. Snell (bad pass)
8:26.0,Turnover by O. Porter (traveling),,28-28,,
8:15.0,,,28-28,,Shooting foul by K. Seraphin (drawn by N. Mirotic)
8:15.0,,,28-29,1,N. Mirotic makes free throw 1 of 3
8:15.0,,,28-30,1,N. Mirotic makes free throw 2 of 3
8:15.0,,,28-30,,M. Dunleavy enters the game for T. Snell
8:15.0,,,28-31,1,N. Mirotic makes free throw 3 of 3
8:07.0,K. Seraphin makes 2-pt shot from 3 ft (assist by R. Sessions),2,30-31,,
7:44.0,,,30-31,,E. Moore enters the game for D. McDermott
7:41.0,,,30-31,,Turnover by J. Noah (bad pass; steal by R. Sessions)
7:38.0,R. Sessions misses 2-pt shot from 3 ft (block by K. Hinrich),,30-31,,
7:38.0,Offensive rebound by Team,,30-31,,
7:20.0,K. Seraphin makes 2-pt shot from 6 ft (assist by P. Pierce),2,32-31,,
6:55.0,,,32-31,,Turnover by N. Mirotic (bad pass)
6:55.0,,,32-31,,A. Brooks enters the game for K. Hinrich
6:39.0,B. Beal makes 2-pt shot from 20 ft,2,34-31,,
6:28.0,,,34-31,,N. Mirotic misses 2-pt shot from 2 ft (block by K. Seraphin)
6:28.0,,,34-31,,Offensive rebound by Team
6:19.0,,,34-31,,N. Mirotic misses 3-pt shot from 24 ft
6:18.0,,,34-31,,Offensive rebound by J. Noah
6:18.0,,,34-33,2,J. Noah makes 2-pt shot from 2 ft
6:05.0,Offensive foul by K. Seraphin,,34-33,,
6:05.0,Turnover by K. Seraphin (offensive foul),,34-33,,
6:05.0,N. Hilario enters the game for K. Seraphin,,34-33,,
5:52.0,,,34-35,2,A. Brooks makes 2-pt shot from 1 ft
5:27.0,B. Beal misses 2-pt shot from 13 ft,,34-35,,
5:26.0,,,34-35,,Defensive rebound by N. Mirotic
5:17.0,,,34-37,2,A. Brooks makes 2-pt shot from 1 ft
5:09.0,Washington full timeout,,34-37,,
5:09.0,M. Gortat enters the game for O. Porter,,34-37,,
5:09.0,J. Wall enters the game for R. Sessions,,34-37,,
4:50.0,J. Wall misses 2-pt shot from 2 ft,,34-37,,
4:49.0,,,34-37,,Defensive rebound by J. Noah
4:43.0,,,34-40,3,A. Brooks makes 3-pt shot from 25 ft (assist by J. Noah)
4:26.0,,,34-40,,Violation by N. Mirotic (kicked ball)
4:26.0,,,34-40,,P. Gasol enters the game for J. Noah
4:16.0,P. Pierce makes 2-pt shot from 1 ft (assist by N. Hilario),2,36-40,,
3:55.0,,,36-40,,P. Gasol misses 2-pt shot from 10 ft
3:54.0,Defensive rebound by N. Hilario,,36-40,,
3:47.0,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall),2,38-40,,
3:34.0,,,38-40,,Shooting foul by P. Pierce (drawn by A. Brooks)
3:34.0,,,38-41,1,A. Brooks makes free throw 1 of 2
3:34.0,,,38-42,1,A. Brooks makes free throw 2 of 2
3:17.0,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall),2,40-42,,
2:55.0,,,40-45,3,N. Mirotic makes 3-pt shot from 23 ft
2:43.0,P. Pierce misses 2-pt shot from 16 ft,,40-45,,
2:42.0,Offensive rebound by N. Hilario,,40-45,,
2:38.0,J. Wall misses 2-pt shot from 1 ft (block by N. Mirotic),,40-45,,
2:36.0,,,40-45,,Defensive rebound by M. Dunleavy
2:32.0,,,40-47,2,N. Mirotic makes 2-pt shot at rim (assist by M. Dunleavy)
2:12.0,B. Beal misses 2-pt shot from 2 ft (block by P. Gasol),,40-47,,
2:08.0,,,40-47,,Defensive rebound by M. Dunleavy
1:57.0,,,40-47,,Chicago full timeout
1:57.0,O. Porter enters the game for B. Beal,,40-47,,
1:48.0,,,40-47,,A. Brooks misses 3-pt shot from 24 ft
1:47.0,,,40-47,,Offensive rebound by N. Mirotic
1:31.0,Personal foul by N. Hilario (drawn by E. Moore),,40-47,,
1:31.0,D. Gooden enters the game for N. Hilario,,40-47,,
1:23.0,,,40-49,2,E. Moore makes 2-pt shot from 15 ft (assist by A. Brooks)
1:07.0,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall),2,42-49,,
0:46.0,,,42-49,,N. Mirotic misses 3-pt shot from 24 ft
0:45.0,Defensive rebound by D. Gooden,,42-49,,
0:36.0,O. Porter misses 3-pt shot from 24 ft,,42-49,,
0:35.0,,,42-49,,Defensive rebound by M. Dunleavy
0:26.0,,,42-51,2,P. Gasol makes 2-pt shot at rim (assist by A. Brooks)
0:08.0,,,42-51,,Personal take foul by E. Moore (drawn by J. Wall)
0:08.0,,,42-51,,J. Noah enters the game for P. Gasol
0:08.0,,,42-51,,T. Snell enters the game for A. Brooks
0:04.0,Shooting foul by J. Noah (drawn by J. Wall),,42-51,,
0:04.0,J. Wall makes free throw 1 of 2,1,43-51,,
0:04.0,,,43-51,,A. Brooks enters the game for E. Moore
0:04.0,G. Temple enters the game for P. Pierce,,43-51,,
0:04.0,R. Butler enters the game for D. Gooden,,43-51,,
0:04.0,J. Wall makes free throw 2 of 2,1,44-51,,
0:01.0,,,44-51,,Turnover by J. Noah (bad pass; steal by R. Butler)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,B. Beal misses 2-pt shot from 19 ft,,44-51,,
11:43.0,,,44-51,,Defensive rebound by M. Dunleavy
11:27.0,,,44-53,2,P. Gasol makes 2-pt shot from 21 ft (assist by A. Brooks)
11:17.0,P. Pierce makes 3-pt shot from 24 ft (assist by J. Wall),3,47-53,,
10:51.0,,,47-53,,A. Brooks misses 3-pt shot from 25 ft
10:49.0,,,47-53,,Offensive rebound by J. Noah
10:34.0,,,47-55,2,T. Snell makes 2-pt shot from 2 ft
10:17.0,N. Hilario misses 2-pt shot from 19 ft,,47-55,,
10:16.0,,,47-55,,Defensive rebound by P. Gasol
9:55.0,,,47-55,,T. Snell misses 2-pt shot from 19 ft
9:54.0,Defensive rebound by N. Hilario,,47-55,,
9:47.0,P. Pierce makes 3-pt shot from 25 ft (assist by J. Wall),3,50-55,,
9:27.0,,,50-55,,Shooting foul by N. Hilario (drawn by A. Brooks)
9:27.0,,,50-56,1,A. Brooks makes free throw 1 of 2
9:27.0,K. Seraphin enters the game for N. Hilario,,50-56,,
9:27.0,,,50-57,1,A. Brooks makes free throw 2 of 2
9:10.0,B. Beal makes 2-pt shot from 21 ft,2,52-57,,
8:50.0,,,52-57,,Turnover by P. Gasol (lost ball; steal by J. Wall)
8:44.0,J. Wall misses 2-pt shot from 1 ft,,52-57,,
8:43.0,,,52-57,,Defensive rebound by T. Snell
8:33.0,,,52-57,,Shooting foul by K. Seraphin (drawn by J. Noah)
8:33.0,,,52-57,,J. Noah misses free throw 1 of 2
8:33.0,,,52-57,,Offensive rebound by Team
8:33.0,,,52-57,,J. Noah misses free throw 2 of 2
8:31.0,Defensive rebound by M. Gortat,,52-57,,
8:15.0,P. Pierce misses 3-pt shot from 23 ft,,52-57,,
8:14.0,,,52-57,,Defensive rebound by A. Brooks
8:14.0,Personal foul by P. Pierce (drawn by A. Brooks),,52-57,,
7:59.0,,,52-57,,P. Gasol misses 3-pt shot from 23 ft
7:58.0,Defensive rebound by B. Beal,,52-57,,
7:52.0,J. Wall makes 2-pt shot from 20 ft,2,54-57,,
7:26.0,,,54-57,,A. Brooks misses 3-pt shot from 25 ft
7:25.0,Defensive rebound by J. Wall,,54-57,,
7:18.0,B. Beal misses 3-pt shot from 25 ft,,54-57,,
7:16.0,,,54-57,,Defensive rebound by T. Snell
7:05.0,,,54-59,2,P. Gasol makes 2-pt shot from 20 ft (assist by A. Brooks)
6:43.0,B. Beal makes 2-pt shot from 19 ft,2,56-59,,
6:27.0,,,56-61,2,A. Brooks makes 2-pt shot from 1 ft
6:03.0,K. Seraphin makes 2-pt shot from 12 ft,2,58-61,,
5:47.0,,,58-63,2,P. Gasol makes 2-pt shot from 20 ft (assist by A. Brooks)
5:21.0,J. Wall makes 2-pt shot from 17 ft (assist by B. Beal),2,60-63,,
5:09.0,,,60-65,2,A. Brooks makes 2-pt shot from 2 ft
4:53.0,J. Wall makes 2-pt shot from 12 ft,2,62-65,,
4:38.0,,,62-65,,Shooting foul by K. Seraphin (drawn by J. Noah)
4:38.0,O. Porter enters the game for P. Pierce,,62-65,,
4:38.0,,,62-65,,J. Noah misses free throw 1 of 2
4:38.0,,,62-65,,Offensive rebound by Team
4:38.0,,,62-66,1,J. Noah makes free throw 2 of 2
4:17.0,J. Wall misses 3-pt shot from 23 ft,,62-66,,
4:16.0,Offensive rebound by K. Seraphin,,62-66,,
4:16.0,K. Seraphin misses 2-pt shot from 1 ft,,62-66,,
4:15.0,Offensive rebound by K. Seraphin,,62-66,,
4:15.0,K. Seraphin misses 2-pt shot from 1 ft (block by J. Noah),,62-66,,
4:14.0,,,62-66,,Defensive rebound by P. Gasol
4:00.0,,,62-69,3,M. Dunleavy makes 3-pt shot from 24 ft (assist by J. Noah)
3:40.0,J. Wall misses 2-pt shot from 17 ft,,62-69,,
3:39.0,,,62-69,,Defensive rebound by P. Gasol
3:31.0,,,62-69,,A. Brooks misses 2-pt shot from 1 ft (block by B. Beal)
3:29.0,Defensive rebound by M. Gortat,,62-69,,
3:26.0,Turnover by J. Wall (lost ball; steal by P. Gasol),,62-69,,
3:20.0,,,62-69,,T. Snell misses 2-pt shot from 2 ft (block by J. Wall)
3:18.0,,,62-69,,Offensive rebound by P. Gasol
3:13.0,,,62-69,,M. Dunleavy misses 3-pt shot from 23 ft
3:12.0,Defensive rebound by B. Beal,,62-69,,
2:53.0,K. Seraphin misses 2-pt shot from 9 ft (block by P. Gasol),,62-69,,
2:51.0,,,62-69,,Defensive rebound by J. Noah
2:50.0,Washington full timeout,,62-69,,
2:50.0,R. Sessions enters the game for B. Beal,,62-69,,
2:50.0,,,62-69,,N. Mirotic enters the game for M. Dunleavy
2:50.0,,,62-69,,D. McDermott enters the game for J. Noah
2:41.0,,,62-72,3,N. Mirotic makes 3-pt shot from 22 ft (assist by A. Brooks)
2:21.0,O. Porter misses 2-pt shot from 19 ft,,62-72,,
2:20.0,Offensive rebound by R. Sessions,,62-72,,
2:11.0,K. Seraphin misses 2-pt shot from 14 ft,,62-72,,
2:10.0,Offensive rebound by M. Gortat,,62-72,,
2:02.0,M. Gortat misses 2-pt shot from 16 ft,,62-72,,
2:00.0,,,62-72,,Defensive rebound by N. Mirotic
1:39.0,,,62-72,,A. Brooks misses 2-pt shot from 19 ft
1:38.0,Defensive rebound by M. Gortat,,62-72,,
1:27.0,J. Wall misses 2-pt shot from 11 ft,,62-72,,
1:26.0,,,62-72,,Defensive rebound by P. Gasol
1:02.0,,,62-72,,T. Snell misses 2-pt shot from 1 ft
1:02.0,Defensive rebound by Team,,62-72,,
1:02.0,,,62-72,,Loose ball foul by T. Snell (drawn by M. Gortat)
1:02.0,D. Gooden enters the game for M. Gortat,,62-72,,
1:02.0,,,62-72,,K. Hinrich enters the game for A. Brooks
0:52.0,Shooting foul by K. Hinrich (drawn by R. Sessions),,62-72,,
0:52.0,R. Sessions makes free throw 1 of 2,1,63-72,,
0:52.0,R. Sessions makes free throw 2 of 2,1,64-72,,
0:40.0,,,64-72,,Shooting foul by D. Gooden (drawn by N. Mirotic)
0:40.0,,,64-73,1,N. Mirotic makes free throw 1 of 2
0:40.0,,,64-74,1,N. Mirotic makes free throw 2 of 2
0:32.0,,,64-74,,Personal foul by D. McDermott (drawn by J. Wall)
0:32.0,J. Wall misses free throw 1 of 2,,64-74,,
0:32.0,Offensive rebound by Team,,64-74,,
0:32.0,J. Wall misses free throw 2 of 2,,64-74,,
0:31.0,,,64-74,,Defensive rebound by N. Mirotic
0:18.0,,,64-74,,Turnover by K. Hinrich (bad pass; steal by K. Seraphin)
0:00.0,J. Wall makes 3-pt shot from 25 ft (assist by R. Sessions),3,67-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,67-77,3,N. Mirotic makes 3-pt shot from 24 ft (assist by K. Hinrich)
11:20.0,R. Sessions misses 2-pt shot from 2 ft,,67-77,,
11:19.0,,,67-77,,Defensive rebound by K. Hinrich
11:14.0,,,67-77,,D. McDermott misses 2-pt shot from 1 ft
11:13.0,Defensive rebound by N. Hilario,,67-77,,
11:03.0,Turnover by R. Sessions (bad pass; steal by J. Noah),,67-77,,
10:59.0,,,67-77,,D. McDermott misses 2-pt shot from 1 ft (block by O. Porter)
10:54.0,Jump ball: B. Beal vs. N. Mirotic (D. Gooden gains possession),,,,Jump ball: B. Beal vs. N. Mirotic (D. Gooden gains possession)
10:54.0,Defensive rebound by Team,,67-77,,
10:34.0,B. Beal misses 2-pt shot from 2 ft,,67-77,,
10:33.0,,,67-77,,Defensive rebound by J. Noah
10:14.0,,,67-79,2,N. Mirotic makes 2-pt shot from 2 ft (assist by J. Noah)
10:13.0,Washington full timeout,,67-79,,
10:13.0,J. Wall enters the game for D. Gooden,,67-79,,
10:13.0,P. Pierce enters the game for R. Sessions,,67-79,,
9:56.0,N. Hilario misses 2-pt shot from 12 ft (block by J. Noah),,67-79,,
9:54.0,,,67-79,,Defensive rebound by N. Mirotic
9:50.0,,,67-79,,D. McDermott misses 2-pt shot from 2 ft (block by O. Porter)
9:49.0,Defensive rebound by B. Beal,,67-79,,
9:44.0,B. Beal misses 3-pt shot from 26 ft,,67-79,,
9:43.0,Offensive rebound by J. Wall,,67-79,,
9:31.0,B. Beal misses 2-pt shot from 18 ft,,67-79,,
9:30.0,,,67-79,,Defensive rebound by N. Mirotic
9:11.0,,,67-79,,K. Hinrich misses 2-pt shot from 20 ft
9:10.0,Defensive rebound by J. Wall,,67-79,,
9:03.0,P. Pierce makes 3-pt shot from 25 ft (assist by J. Wall),3,70-79,,
8:48.0,Personal foul by P. Pierce (drawn by N. Mirotic),,70-79,,
8:41.0,,,70-79,,T. Snell misses 3-pt shot from 24 ft
8:39.0,Defensive rebound by O. Porter,,70-79,,
8:26.0,B. Beal misses 3-pt shot from 24 ft,,70-79,,
8:26.0,Offensive rebound by O. Porter,,70-79,,
8:26.0,Shooting foul by D. McDermott (drawn by O. Porter),,70-79,,
8:26.0,O. Porter makes free throw 1 of 2,1,71-79,,
8:26.0,,,71-79,,A. Brooks enters the game for K. Hinrich
8:26.0,,,71-79,,M. Dunleavy enters the game for D. McDermott
8:26.0,O. Porter makes free throw 2 of 2,1,72-79,,
8:13.0,,,72-79,,J. Noah misses flagrant free throw 1 of 2
8:13.0,,,72-79,,Offensive rebound by Team
8:13.0,Technical foul by P. Pierce,,72-79,,
8:13.0,,,72-79,,T. Snell misses technical free throw
8:13.0,,,72-79,,Offensive rebound by Team
8:13.0,,,72-80,1,J. Noah makes flagrant free throw 2 of 2
8:13.0,,,72-80,,Chicago full timeout
8:03.0,,,72-80,,A. Brooks misses 2-pt shot from 2 ft
8:02.0,,,72-80,,Offensive rebound by J. Noah
7:56.0,,,72-80,,Turnover by N. Mirotic (lost ball; steal by N. Hilario)
7:52.0,J. Wall makes 2-pt shot from 2 ft (assist by N. Hilario),2,74-80,,
7:38.0,,,74-80,,A. Brooks misses 2-pt shot from 2 ft
7:38.0,Defensive rebound by Team,,74-80,,
7:21.0,J. Wall misses 2-pt shot from 19 ft,,74-80,,
7:20.0,,,74-80,,Defensive rebound by J. Noah
7:08.0,,,74-82,2,N. Mirotic makes 2-pt shot from 1 ft (assist by J. Noah)
7:00.0,,,74-82,,Personal foul by J. Noah (drawn by J. Wall)
7:00.0,R. Butler enters the game for B. Beal,,74-82,,
6:53.0,J. Wall misses 2-pt shot from 3 ft (block by J. Noah),,74-82,,
6:51.0,,,74-82,,Defensive rebound by J. Noah
6:45.0,Personal foul by P. Pierce (drawn by N. Mirotic),,74-82,,
6:45.0,R. Sessions enters the game for P. Pierce,,74-82,,
6:39.0,,,74-84,2,A. Brooks makes 2-pt shot from 2 ft
6:13.0,R. Butler makes 3-pt shot from 24 ft (assist by R. Sessions),3,77-84,,
6:04.0,,,77-84,,Offensive foul by J. Noah
6:04.0,,,77-84,,Turnover by J. Noah (offensive foul)
5:49.0,R. Sessions misses 2-pt shot from 10 ft,,77-84,,
5:48.0,,,77-84,,Defensive rebound by M. Dunleavy
5:43.0,Personal foul by R. Butler (drawn by N. Mirotic),,77-84,,
5:28.0,,,77-84,,M. Dunleavy misses 3-pt shot from 22 ft
5:28.0,,,77-84,,Offensive rebound by Team
5:28.0,Personal foul by N. Hilario (drawn by J. Noah),,77-84,,
5:28.0,M. Gortat enters the game for N. Hilario,,77-84,,
5:28.0,,,77-85,1,J. Noah makes free throw 1 of 2
5:28.0,,,77-86,1,J. Noah makes free throw 2 of 2
5:15.0,R. Sessions misses 3-pt shot from 24 ft,,77-86,,
5:14.0,,,77-86,,Defensive rebound by M. Dunleavy
4:56.0,,,77-86,,M. Dunleavy misses 3-pt shot from 23 ft
4:55.0,Defensive rebound by O. Porter,,77-86,,
4:52.0,Shooting foul by A. Brooks (drawn by R. Sessions),,77-86,,
4:52.0,R. Sessions makes free throw 1 of 2,1,78-86,,
4:52.0,R. Sessions makes free throw 2 of 2,1,79-86,,
4:45.0,,,79-86,,Turnover by J. Noah (bad pass)
4:33.0,Turnover by J. Wall (lost ball; steal by J. Noah),,79-86,,
4:23.0,,,79-89,3,T. Snell makes 3-pt shot from 24 ft (assist by A. Brooks)
4:22.0,Washington full timeout,,79-89,,
4:22.0,,,79-89,,P. Gasol enters the game for J. Noah
4:22.0,B. Beal enters the game for R. Sessions,,79-89,,
4:22.0,P. Pierce enters the game for R. Butler,,79-89,,
4:08.0,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall),2,81-89,,
3:48.0,,,81-89,,N. Mirotic misses 2-pt shot from 14 ft
3:46.0,Defensive rebound by M. Gortat,,81-89,,
3:35.0,M. Gortat makes 2-pt shot from 1 ft (assist by P. Pierce),2,83-89,,
3:21.0,,,83-92,3,A. Brooks makes 3-pt shot from 26 ft
3:07.0,P. Pierce makes 3-pt shot from 25 ft (assist by J. Wall),3,86-92,,
2:52.0,,,86-92,,A. Brooks misses 2-pt shot from 4 ft
2:52.0,,,86-92,,Offensive rebound by Team
2:42.0,,,86-94,2,A. Brooks makes 2-pt shot from 11 ft
