time,Boston,pts.away,score,pts.home,Chicago
7:22.0,,,9-5,,K. Hinrich misses 3-pt shot from 22 ft
7:21.0,Defensive rebound by Team,,9-5,,
7:10.0,E. Turner makes 2-pt shot from 19 ft (assist by B. Wright),2,11-5,,
6:54.0,,,11-5,,Turnover by J. Noah (offensive goaltending)
6:35.0,Turnover by B. Wright (bad pass),,11-5,,
6:32.0,,,11-5,,K. Hinrich misses 3-pt shot from 22 ft
6:31.0,Defensive rebound by J. Green,,11-5,,
6:22.0,Turnover by A. Bradley (lost ball),,11-5,,
6:10.0,,,11-5,,D. Rose misses 2-pt shot from 18 ft
6:09.0,,,11-5,,Offensive rebound by J. Noah
6:03.0,,,11-7,2,K. Hinrich makes 2-pt shot from 20 ft
5:46.0,J. Sullinger misses 2-pt shot from 10 ft,,11-7,,
5:45.0,,,11-7,,Defensive rebound by P. Gasol
5:35.0,,,11-7,,N. Mirotic misses 2-pt shot from 4 ft (block by J. Green)
5:33.0,Defensive rebound by J. Sullinger,,11-7,,
5:32.0,Turnover by J. Sullinger (bad pass),,11-7,,
5:32.0,,,11-7,,Chicago full timeout
5:19.0,,,11-7,,D. Rose misses 2-pt shot from 18 ft
5:18.0,,,11-7,,Offensive rebound by J. Noah
5:18.0,,,11-7,,Shooting foul by B. Wright (drawn by J. Noah)
5:18.0,,,11-8,1,J. Noah makes free throw 1 of 2
5:18.0,,,11-8,,J. Noah misses free throw 2 of 2
5:18.0,Defensive rebound by B. Wright,,11-8,,
4:59.0,J. Green misses 3-pt shot from 25 ft,,11-8,,
4:58.0,,,11-8,,Defensive rebound by P. Gasol
4:47.0,,,11-10,2,J. Noah makes 2-pt shot from 2 ft (assist by P. Gasol)
4:24.0,E. Turner misses 2-pt shot from 13 ft,,11-10,,
4:23.0,Offensive rebound by B. Wright,,11-10,,
4:20.0,E. Turner makes 3-pt shot from 25 ft (assist by B. Wright),3,14-10,,
4:05.0,,,14-12,2,K. Hinrich makes 2-pt shot from 19 ft (assist by N. Mirotic)
3:46.0,A. Bradley makes 2-pt shot from 1 ft,2,16-12,,
3:32.0,,,16-12,,N. Mirotic misses 3-pt shot from 23 ft
3:31.0,Defensive rebound by A. Bradley,,16-12,,
3:20.0,J. Sullinger makes 2-pt shot from 3 ft (assist by E. Turner),2,18-12,,
3:06.0,,,18-12,,D. Rose misses 2-pt shot from 2 ft
3:04.0,,,18-12,,Offensive rebound by J. Noah
3:04.0,,,18-14,2,J. Noah makes 2-pt shot at rim
2:48.0,A. Bradley misses 2-pt shot from 21 ft,,18-14,,
2:47.0,Offensive rebound by J. Sullinger,,18-14,,
2:46.0,J. Sullinger misses 2-pt shot from 2 ft (block by P. Gasol),,18-14,,
2:44.0,Offensive rebound by Team,,18-14,,
2:44.0,Boston full timeout,,18-14,,
2:44.0,,,18-14,,T. Gibson enters the game for J. Noah
2:44.0,,,18-14,,E. Moore enters the game for D. Rose
2:44.0,,,18-14,,A. Brooks enters the game for K. Hinrich
2:44.0,M. Smart enters the game for J. Sullinger,,18-14,,
2:44.0,K. Olynyk enters the game for A. Bradley,,18-14,,
2:30.0,J. Green misses 2-pt shot from 22 ft,,18-14,,
2:29.0,,,18-14,,Defensive rebound by P. Gasol
2:17.0,Personal foul by J. Green (drawn by T. Gibson),,18-14,,
2:17.0,P. Pressey enters the game for E. Turner,,18-14,,
2:04.0,,,18-14,,A. Brooks misses 3-pt shot from 29 ft
2:03.0,,,18-14,,Offensive rebound by Team
2:03.0,,,18-14,,Turnover by Team (shot clock)
1:51.0,J. Green misses 2-pt shot from 1 ft,,18-14,,
1:51.0,Offensive rebound by Team,,18-14,,
1:51.0,J. Crowder enters the game for J. Green,,18-14,,
1:51.0,,,18-14,,T. Snell enters the game for N. Mirotic
1:49.0,B. Wright makes 2-pt shot at rim (assist by P. Pressey),2,20-14,,
1:30.0,,,20-14,,P. Gasol misses 2-pt shot from 1 ft
1:30.0,,,20-14,,Offensive rebound by P. Gasol
1:30.0,,,20-14,,A. Brooks misses 2-pt shot from 1 ft
1:29.0,,,20-14,,Offensive rebound by P. Gasol
1:29.0,,,20-16,2,P. Gasol makes 2-pt shot from 1 ft
1:14.0,P. Pressey makes 3-pt shot from 25 ft,3,23-16,,
0:57.0,,,23-16,,T. Snell misses 3-pt shot from 23 ft
0:55.0,Defensive rebound by P. Pressey,,23-16,,
0:43.0,B. Wright misses 2-pt shot from 3 ft,,23-16,,
0:42.0,,,23-16,,Defensive rebound by P. Gasol
0:34.0,,,23-16,,A. Brooks misses 2-pt shot at rim (block by P. Pressey)
0:32.0,,,23-16,,Offensive rebound by T. Gibson
0:32.0,,,23-16,,T. Gibson misses 2-pt shot from 2 ft (block by K. Olynyk)
0:30.0,,,23-16,,Offensive rebound by T. Gibson
0:30.0,,,23-16,,T. Gibson misses 2-pt shot from 2 ft
0:29.0,,,23-16,,Offensive rebound by A. Brooks
0:25.0,,,23-16,,T. Snell misses 3-pt shot from 23 ft
0:23.0,,,23-16,,Offensive rebound by A. Brooks
0:20.0,,,23-16,,A. Brooks misses 3-pt shot from 25 ft
0:18.0,Defensive rebound by P. Pressey,,23-16,,
0:13.0,Turnover by P. Pressey (bad pass; steal by A. Brooks),,23-16,,
0:10.0,,,23-16,,Shooting foul by M. Smart (drawn by E. Moore)
0:10.0,,,23-17,1,E. Moore makes free throw 1 of 2
0:10.0,,,23-17,,E. Moore misses free throw 2 of 2
0:10.0,Defensive rebound by B. Wright,,23-17,,
0:00.0,K. Olynyk misses 3-pt shot from 25 ft,,23-17,,
0:00.0,Offensive rebound by Team,,23-17,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,M. Smart makes 2-pt shot from 21 ft,2,25-17,,
11:18.0,,,25-17,,T. Gibson misses 2-pt shot from 4 ft
11:16.0,,,25-17,,Offensive rebound by J. Noah
11:12.0,,,25-17,,E. Moore misses 3-pt shot from 24 ft
11:11.0,Defensive rebound by J. Crowder,,25-17,,
11:04.0,P. Pressey misses 3-pt shot from 25 ft,,25-17,,
11:03.0,,,25-17,,Defensive rebound by T. Gibson
10:52.0,Personal foul by P. Pressey (drawn by E. Moore),,25-17,,
10:52.0,,,25-18,1,E. Moore makes free throw 1 of 2
10:52.0,,,25-18,,E. Moore misses free throw 2 of 2
10:50.0,Defensive rebound by K. Olynyk,,25-18,,
10:30.0,J. Crowder misses 3-pt shot from 24 ft,,25-18,,
10:29.0,,,25-18,,Defensive rebound by A. Brooks
10:25.0,,,25-20,2,T. Gibson makes 2-pt shot at rim (assist by A. Brooks)
10:15.0,K. Olynyk misses 3-pt shot from 24 ft,,25-20,,
10:15.0,Offensive rebound by Team,,25-20,,
10:02.0,M. Smart makes 2-pt shot from 5 ft (assist by J. Crowder),2,27-20,,
9:44.0,,,27-20,,J. Noah misses 2-pt shot from 2 ft
9:42.0,,,27-20,,Offensive rebound by T. Snell
9:37.0,,,27-23,3,A. Brooks makes 3-pt shot from 22 ft (assist by J. Noah)
9:29.0,J. Crowder makes 2-pt shot from 2 ft (assist by P. Pressey),2,29-23,,
9:12.0,,,29-23,,E. Moore misses 2-pt shot from 2 ft
9:11.0,,,29-23,,Offensive rebound by E. Moore
9:11.0,,,29-25,2,E. Moore makes 2-pt shot from 2 ft
8:57.0,M. Smart misses 2-pt shot from 21 ft,,29-25,,
8:55.0,,,29-25,,Defensive rebound by T. Snell
8:52.0,Personal foul by K. Olynyk (drawn by T. Gibson),,29-25,,
8:52.0,,,29-25,,Chicago full timeout
8:52.0,J. Sullinger enters the game for K. Olynyk,,29-25,,
8:35.0,,,29-27,2,A. Brooks makes 2-pt shot from 15 ft
8:17.0,J. Sullinger makes 2-pt shot from 12 ft (assist by B. Bass),2,31-27,,
7:52.0,,,31-27,,Turnover by A. Brooks (lost ball; steal by P. Pressey)
7:47.0,Turnover by P. Pressey (bad pass; steal by E. Moore),,31-27,,
7:34.0,,,31-29,2,T. Gibson makes 2-pt shot from 2 ft (assist by T. Snell)
7:23.0,Turnover by M. Smart (bad pass; steal by T. Snell),,31-29,,
7:20.0,,,31-29,,Shooting foul by M. Smart (drawn by T. Snell)
7:20.0,,,31-30,1,T. Snell makes free throw 1 of 2
7:20.0,,,31-30,,T. Snell misses free throw 2 of 2
7:19.0,Defensive rebound by J. Sullinger,,31-30,,
7:01.0,P. Pressey misses 2-pt shot from 15 ft,,31-30,,
7:00.0,,,31-30,,Defensive rebound by J. Noah
6:48.0,,,31-30,,A. Brooks misses 3-pt shot from 22 ft
6:47.0,Defensive rebound by B. Bass,,31-30,,
6:35.0,J. Crowder makes 2-pt shot from 19 ft,2,33-30,,
6:12.0,Personal foul by B. Bass (drawn by T. Gibson),,33-30,,
6:12.0,A. Bradley enters the game for M. Smart,,33-30,,
6:12.0,,,33-30,,D. Rose enters the game for A. Brooks
6:09.0,,,33-30,,T. Snell misses 2-pt shot from 3 ft (block by J. Crowder)
6:09.0,,,33-30,,Offensive rebound by Team
6:04.0,,,33-30,,D. Rose misses 2-pt shot from 17 ft
6:03.0,,,33-30,,Offensive rebound by J. Noah
6:03.0,,,33-30,,J. Noah misses 2-pt shot from 2 ft
6:02.0,,,33-30,,Offensive rebound by E. Moore
6:02.0,,,33-30,,E. Moore misses 2-pt shot from 1 ft
6:01.0,Defensive rebound by J. Crowder,,33-30,,
5:55.0,J. Crowder misses 2-pt shot from 1 ft,,33-30,,
5:54.0,Offensive rebound by J. Sullinger,,33-30,,
5:54.0,J. Sullinger makes 2-pt shot from 1 ft,2,35-30,,
5:44.0,Personal foul by B. Bass (drawn by T. Gibson),,35-30,,
5:44.0,,,35-30,,Chicago full timeout
5:44.0,,,35-30,,K. Hinrich enters the game for J. Noah
5:44.0,,,35-30,,P. Gasol enters the game for E. Moore
5:44.0,,,35-31,1,T. Gibson makes free throw 1 of 2
5:44.0,,,35-32,1,T. Gibson makes free throw 2 of 2
5:32.0,J. Crowder misses 2-pt shot from 2 ft,,35-32,,
5:30.0,,,35-32,,Defensive rebound by P. Gasol
5:27.0,,,35-32,,Turnover by D. Rose (lost ball; steal by J. Crowder)
5:22.0,Shooting foul by D. Rose (drawn by A. Bradley),,35-32,,
5:22.0,A. Bradley makes free throw 1 of 2,1,36-32,,
5:22.0,J. Green enters the game for P. Pressey,,36-32,,
5:22.0,E. Turner enters the game for J. Crowder,,36-32,,
5:22.0,A. Bradley misses free throw 2 of 2,,36-32,,
5:20.0,,,36-32,,Defensive rebound by P. Gasol
5:00.0,,,36-34,2,P. Gasol makes 2-pt shot from 3 ft (assist by T. Snell)
4:43.0,A. Bradley misses 3-pt shot from 22 ft,,36-34,,
4:41.0,,,36-34,,Defensive rebound by P. Gasol
4:36.0,,,36-34,,D. Rose misses 2-pt shot from 1 ft
4:35.0,Defensive rebound by E. Turner,,36-34,,
4:26.0,Turnover by E. Turner (bad pass),,36-34,,
4:26.0,,,36-34,,N. Mirotic enters the game for T. Snell
4:10.0,,,36-36,2,P. Gasol makes 2-pt shot from 5 ft
4:10.0,,,36-36,,Shooting foul by J. Sullinger (drawn by P. Gasol)
4:10.0,,,36-37,1,P. Gasol makes free throw 1 of 1
3:53.0,B. Bass misses 2-pt shot from 3 ft (block by P. Gasol),,36-37,,
3:52.0,Offensive rebound by Team,,36-37,,
3:52.0,T. Zeller enters the game for B. Bass,,36-37,,
3:45.0,E. Turner misses 2-pt shot from 17 ft,,36-37,,
3:45.0,Offensive rebound by Team,,36-37,,
3:35.0,J. Green misses 2-pt shot from 21 ft,,36-37,,
3:35.0,Offensive rebound by J. Sullinger,,36-37,,
3:35.0,,,36-37,,Personal foul by K. Hinrich (drawn by J. Sullinger)
3:30.0,E. Turner misses 2-pt shot from 3 ft (block by P. Gasol),,36-37,,
3:28.0,,,36-37,,Defensive rebound by K. Hinrich
3:16.0,,,36-37,,Turnover by D. Rose (traveling)
2:55.0,J. Green makes 2-pt shot from 13 ft,2,38-37,,
2:30.0,,,38-39,2,P. Gasol makes 2-pt shot from 12 ft (assist by D. Rose)
2:09.0,J. Sullinger makes 2-pt shot from 15 ft,2,40-39,,
1:51.0,,,40-39,,K. Hinrich misses 3-pt shot from 23 ft
1:50.0,,,40-39,,Offensive rebound by P. Gasol
1:47.0,,,40-42,3,D. Rose makes 3-pt shot from 25 ft (assist by P. Gasol)
1:47.0,Boston full timeout,,40-42,,
1:47.0,K. Olynyk enters the game for J. Sullinger,,40-42,,
1:28.0,J. Green misses 2-pt shot from 17 ft (block by K. Hinrich),,40-42,,
1:27.0,,,40-42,,Defensive rebound by Team
1:10.0,,,40-42,,D. Rose misses 3-pt shot from 26 ft
1:09.0,Defensive rebound by Team,,40-42,,
0:57.0,,,40-42,,Personal foul by K. Hinrich (drawn by E. Turner)
0:44.0,A. Bradley misses 2-pt shot from 22 ft,,40-42,,
0:43.0,,,40-42,,Defensive rebound by N. Mirotic
0:32.0,,,40-42,,Shooting foul by K. Olynyk (drawn by N. Mirotic)
0:32.0,,,40-43,1,N. Mirotic makes free throw 1 of 2
0:32.0,,,40-43,,E. Moore enters the game for K. Hinrich
0:32.0,J. Sullinger enters the game for T. Zeller,,40-43,,
0:32.0,,,40-43,,J. Noah enters the game for P. Gasol
0:32.0,,,40-44,1,N. Mirotic makes free throw 2 of 2
0:19.0,Turnover by E. Turner (lost ball; steal by J. Noah),,40-44,,
0:08.0,,,40-46,2,T. Gibson makes 2-pt shot from 1 ft (assist by J. Noah)
0:07.0,Boston full timeout,,40-46,,
0:00.0,J. Sullinger misses 2-pt shot from 15 ft,,40-46,,
0:00.0,,,40-46,,Defensive rebound by D. Rose
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,Turnover by J. Green (lost ball),,40-46,,
11:28.0,,,40-46,,Shooting foul by J. Green (drawn by N. Mirotic)
11:28.0,,,40-47,1,N. Mirotic makes free throw 1 of 2
11:28.0,,,40-47,,N. Mirotic misses free throw 2 of 2
11:25.0,,,40-47,,Offensive rebound by J. Noah
11:25.0,,,40-47,,J. Noah misses 2-pt shot from 1 ft
11:24.0,Defensive rebound by J. Green,,40-47,,
11:11.0,Shooting foul by P. Gasol (drawn by T. Zeller),,40-47,,
11:11.0,T. Zeller makes free throw 1 of 2,1,41-47,,
11:11.0,T. Zeller makes free throw 2 of 2,1,42-47,,
10:55.0,,,42-49,2,K. Hinrich makes 2-pt shot from 20 ft (assist by N. Mirotic)
10:44.0,A. Bradley misses 2-pt shot from 17 ft,,42-49,,
10:43.0,,,42-49,,Defensive rebound by N. Mirotic
10:35.0,Personal foul by A. Bradley (drawn by D. Rose),,42-49,,
10:29.0,,,42-52,3,P. Gasol makes 3-pt shot from 23 ft (assist by J. Noah)
10:17.0,E. Turner makes 2-pt shot from 17 ft,2,44-52,,
9:55.0,,,44-52,,Turnover by P. Gasol (bad pass)
9:37.0,E. Turner makes 2-pt shot from 16 ft (assist by T. Zeller),2,46-52,,
9:24.0,,,46-52,,D. Rose misses 2-pt shot from 19 ft
9:23.0,Defensive rebound by T. Zeller,,46-52,,
9:16.0,E. Turner makes 2-pt shot at rim,2,48-52,,
9:07.0,,,48-52,,Turnover by P. Gasol (bad pass)
8:50.0,A. Bradley misses 2-pt shot from 17 ft,,48-52,,
8:49.0,,,48-52,,Defensive rebound by N. Mirotic
8:34.0,,,48-52,,P. Gasol misses 2-pt shot from 18 ft
8:33.0,Defensive rebound by E. Turner,,48-52,,
8:22.0,Turnover by E. Turner (bad pass; steal by P. Gasol),,48-52,,
8:18.0,,,48-52,,Turnover by D. Rose (bad pass; steal by J. Green)
8:10.0,J. Green misses 2-pt shot from 2 ft,,48-52,,
8:09.0,Offensive rebound by J. Sullinger,,48-52,,
8:09.0,J. Sullinger makes 2-pt shot from 1 ft,2,50-52,,
8:02.0,,,50-52,,Chicago full timeout
7:56.0,,,50-55,3,N. Mirotic makes 3-pt shot from 24 ft (assist by J. Noah)
7:39.0,E. Turner makes 3-pt shot from 22 ft (assist by T. Zeller),3,53-55,,
7:19.0,,,53-57,2,P. Gasol makes 2-pt shot from 4 ft
7:04.0,J. Green makes 2-pt shot from 3 ft (assist by T. Zeller),2,55-57,,
6:45.0,,,55-57,,Turnover by J. Noah (traveling)
6:31.0,J. Green misses 2-pt shot from 21 ft,,55-57,,
6:30.0,Offensive rebound by A. Bradley,,55-57,,
6:20.0,J. Sullinger misses 2-pt shot from 1 ft,,55-57,,
6:19.0,Offensive rebound by J. Sullinger,,55-57,,
6:19.0,J. Sullinger makes 2-pt shot from 1 ft,2,57-57,,
6:00.0,,,57-57,,N. Mirotic misses 3-pt shot from 23 ft
5:59.0,Defensive rebound by E. Turner,,57-57,,
5:57.0,T. Zeller makes 2-pt shot at rim (assist by E. Turner),2,59-57,,
5:39.0,Personal foul by E. Turner (drawn by N. Mirotic),,59-57,,
5:39.0,B. Bass enters the game for J. Sullinger,,59-57,,
5:32.0,,,59-57,,D. Rose misses 2-pt shot from 9 ft
5:31.0,Defensive rebound by E. Turner,,59-57,,
5:31.0,Turnover by E. Turner (lost ball),,59-57,,
5:26.0,,,59-57,,Shooting foul by T. Zeller (drawn by P. Gasol)
5:26.0,,,59-58,1,P. Gasol makes free throw 1 of 2
5:26.0,,,59-59,1,P. Gasol makes free throw 2 of 2
5:09.0,E. Turner makes 2-pt shot from 5 ft,2,61-59,,
4:54.0,,,61-59,,Turnover by J. Noah (bad pass; steal by E. Turner)
4:50.0,A. Bradley makes 2-pt shot from 2 ft (assist by E. Turner),2,63-59,,
4:30.0,,,63-59,,P. Gasol misses 2-pt shot from 6 ft
4:29.0,Defensive rebound by J. Green,,63-59,,
4:27.0,,,63-59,,Personal foul by N. Mirotic (drawn by J. Green)
4:27.0,,,63-59,,T. Gibson enters the game for J. Noah
4:27.0,,,63-59,,A. Brooks enters the game for D. Rose
4:22.0,J. Green misses 2-pt shot from 11 ft,,63-59,,
4:21.0,,,63-59,,Defensive rebound by P. Gasol
4:11.0,,,63-59,,P. Gasol misses 2-pt shot from 18 ft
4:09.0,Defensive rebound by J. Green,,63-59,,
4:02.0,E. Turner makes 2-pt shot from 14 ft,2,65-59,,
3:41.0,,,65-59,,T. Gibson misses 2-pt shot from 13 ft
3:40.0,Defensive rebound by E. Turner,,65-59,,
3:29.0,T. Zeller makes 2-pt shot from 6 ft (assist by E. Turner),2,67-59,,
3:14.0,,,67-62,3,A. Brooks makes 3-pt shot from 25 ft (assist by N. Mirotic)
2:44.0,E. Turner misses 3-pt shot from 24 ft,,67-62,,
2:44.0,Offensive rebound by Team,,67-62,,
2:44.0,Turnover by Team (shot clock),,67-62,,
2:44.0,Boston full timeout,,67-62,,
2:44.0,M. Smart enters the game for A. Bradley,,67-62,,
2:44.0,,,67-62,,E. Moore enters the game for K. Hinrich
2:20.0,,,67-62,,Turnover by Team (shot clock)
2:03.0,J. Green misses 3-pt shot from 24 ft,,67-62,,
2:02.0,,,67-62,,Defensive rebound by E. Moore
1:54.0,,,67-64,2,A. Brooks makes 2-pt shot from 20 ft
1:39.0,T. Zeller makes 2-pt shot from 20 ft (assist by M. Smart),2,69-64,,
1:09.0,,,69-66,2,E. Moore makes 2-pt shot from 17 ft
0:54.0,Turnover by T. Zeller (bad pass; steal by N. Mirotic),,69-66,,
0:50.0,,,69-66,,A. Brooks misses 3-pt shot from 24 ft
0:48.0,Defensive rebound by B. Bass,,69-66,,
0:39.0,J. Green misses 2-pt shot from 2 ft,,69-66,,
0:36.0,,,69-66,,Defensive rebound by N. Mirotic
0:27.0,,,69-68,2,N. Mirotic makes 2-pt shot from 1 ft
0:27.0,,,69-68,,Shooting foul by J. Green (drawn by N. Mirotic)
0:27.0,Violation by Team (jump ball),,69-68,,
0:27.0,B. Wright enters the game for E. Turner,,69-68,,
0:27.0,K. Olynyk enters the game for T. Zeller,,69-68,,
0:27.0,P. Pressey enters the game for B. Bass,,69-68,,
0:27.0,,,69-68,,J. Noah enters the game for P. Gasol
0:27.0,,,69-69,1,N. Mirotic makes free throw 1 of 1
0:02.0,Turnover by Team (shot clock),,69-69,,
0:00.0,,,69-69,,N. Mirotic misses 3-pt shot from 24 ft
0:00.0,,,69-69,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,69-71,2,J. Noah makes 2-pt shot from 2 ft (assist by N. Mirotic)
11:24.0,J. Crowder makes 2-pt shot from 10 ft (assist by K. Olynyk),2,71-71,,
11:09.0,,,71-71,,Shooting foul by K. Olynyk (drawn by N. Mirotic)
11:09.0,,,71-72,1,N. Mirotic makes free throw 1 of 2
11:09.0,,,71-72,,N. Mirotic misses free throw 2 of 2
11:08.0,Defensive rebound by K. Olynyk,,71-72,,
11:00.0,P. Pressey makes 2-pt shot from 1 ft (assist by K. Olynyk),2,73-72,,
10:39.0,,,73-72,,E. Moore misses 2-pt shot from 7 ft
10:39.0,Defensive rebound by Team,,73-72,,
10:39.0,,,73-72,,T. Snell enters the game for N. Mirotic
10:20.0,B. Wright misses 2-pt shot from 1 ft (block by J. Noah),,73-72,,
10:20.0,Offensive rebound by Team,,73-72,,
10:16.0,Shooting foul by T. Snell (drawn by J. Crowder),,73-72,,
10:16.0,J. Crowder makes free throw 1 of 2,1,74-72,,
10:16.0,J. Crowder makes free throw 2 of 2,1,75-72,,
9:59.0,,,75-74,2,A. Brooks makes 2-pt shot from 6 ft
9:45.0,P. Pressey misses 2-pt shot from 1 ft,,75-74,,
9:44.0,Offensive rebound by Team,,75-74,,
9:34.0,P. Pressey misses 2-pt shot from 15 ft,,75-74,,
9:33.0,,,75-74,,Defensive rebound by J. Noah
9:19.0,,,75-76,2,T. Snell makes 2-pt shot from 2 ft (assist by T. Gibson)
9:07.0,P. Pressey misses 2-pt shot from 20 ft,,75-76,,
9:06.0,,,75-76,,Defensive rebound by T. Snell
8:57.0,,,75-78,2,E. Moore makes 2-pt shot from 19 ft (assist by J. Noah)
8:47.0,Boston full timeout,,75-78,,
8:39.0,J. Crowder makes 2-pt shot from 16 ft (assist by P. Pressey),2,77-78,,
8:23.0,E. Turner enters the game for P. Pressey,,77-78,,
8:18.0,,,77-78,,A. Brooks misses 2-pt shot from 2 ft (block by B. Wright)
8:18.0,,,77-78,,Offensive rebound by Team
8:13.0,,,77-81,3,A. Brooks makes 3-pt shot from 23 ft (assist by E. Moore)
7:53.0,E. Turner misses 2-pt shot from 20 ft,,77-81,,
7:52.0,,,77-81,,Defensive rebound by A. Brooks
7:52.0,Personal foul by K. Olynyk (drawn by A. Brooks),,77-81,,
7:52.0,J. Sullinger enters the game for K. Olynyk,,77-81,,
7:52.0,,,77-81,,K. Hinrich enters the game for E. Moore
7:35.0,,,77-81,,Turnover by A. Brooks (bad pass; steal by M. Smart)
7:32.0,,,77-81,,Personal foul by K. Hinrich (drawn by E. Turner)
7:23.0,J. Sullinger makes 2-pt shot from 3 ft (assist by E. Turner),2,79-81,,
7:12.0,,,79-81,,Shooting foul by M. Smart (drawn by A. Brooks)
7:12.0,,,79-82,1,A. Brooks makes free throw 1 of 3
7:12.0,,,79-83,1,A. Brooks makes free throw 2 of 3
7:12.0,,,79-84,1,A. Brooks makes free throw 3 of 3
7:01.0,E. Turner makes 3-pt shot from 25 ft,3,82-84,,
6:41.0,,,82-84,,J. Noah misses 2-pt shot from 17 ft
6:40.0,,,82-84,,Offensive rebound by T. Gibson
6:40.0,,,82-84,,Shooting foul by J. Crowder (drawn by T. Gibson)
6:40.0,,,82-86,2,T. Gibson makes 2-pt shot from 2 ft
6:40.0,,,82-86,,D. Rose enters the game for T. Snell
6:40.0,A. Bradley enters the game for M. Smart,,82-86,,
6:40.0,T. Zeller enters the game for B. Wright,,82-86,,
6:40.0,,,82-87,1,T. Gibson makes free throw 1 of 1
6:27.0,A. Bradley misses 2-pt shot from 20 ft,,82-87,,
6:26.0,,,82-87,,Defensive rebound by J. Noah
6:11.0,,,82-87,,J. Noah misses 2-pt shot from 2 ft
6:10.0,,,82-87,,Offensive rebound by T. Gibson
6:10.0,,,82-87,,T. Gibson misses 2-pt shot from 1 ft
6:09.0,Defensive rebound by J. Crowder,,82-87,,
6:03.0,E. Turner makes 2-pt shot from 11 ft,2,84-87,,
5:37.0,,,84-87,,Turnover by K. Hinrich (lost ball; steal by J. Crowder)
5:34.0,A. Bradley makes 2-pt shot at rim (assist by J. Crowder),2,86-87,,
5:27.0,,,86-87,,Chicago full timeout
5:27.0,,,86-87,,P. Gasol enters the game for J. Noah
5:27.0,J. Green enters the game for J. Crowder,,86-87,,
5:20.0,,,86-87,,A. Brooks misses 2-pt shot from 2 ft
5:20.0,Defensive rebound by J. Sullinger,,86-87,,
