time,New Orleans,pts.away,score,pts.home,Houston
0:20.0,,,25-21,1,J. Dorsey makes free throw 1 of 2
0:20.0,,,25-21,,T. Ariza enters the game for P. Prigioni
0:20.0,,,25-22,1,J. Dorsey makes free throw 2 of 2
0:05.0,,,25-22,,Personal foul by T. Ariza (drawn by A. Davis)
0:01.0,J. Holiday makes 3-pt shot from 24 ft,3,28-22,,
0:00.0,,,28-22,,C. Brewer misses 3-pt shot from 48 ft
0:00.0,,,28-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,J. Holiday misses 2-pt shot from 1 ft,,28-22,,
11:43.0,,,28-22,,Defensive rebound by T. Ariza
11:23.0,,,28-24,2,J. Smith makes 2-pt shot from 8 ft (assist by C. Brewer)
10:57.0,N. Cole misses 2-pt shot from 9 ft,,28-24,,
10:56.0,Offensive rebound by Team,,28-24,,
10:56.0,Turnover by Team (shot clock),,28-24,,
10:44.0,,,28-24,,C. Brewer misses 3-pt shot from 23 ft
10:43.0,Defensive rebound by N. Cole,,28-24,,
10:33.0,O. Asik misses 2-pt shot from 2 ft,,28-24,,
10:31.0,,,28-24,,Defensive rebound by D. Howard
10:27.0,,,28-24,,Turnover by J. Smith (bad pass; steal by J. Holiday)
10:24.0,,,28-24,,Personal foul by P. Prigioni (drawn by J. Holiday)
10:15.0,Shooting foul by P. Prigioni (drawn by O. Asik),,28-24,,
10:15.0,O. Asik misses free throw 1 of 2,,28-24,,
10:15.0,Offensive rebound by Team,,28-24,,
10:15.0,O. Asik makes free throw 2 of 2,1,29-24,,
9:56.0,,,29-24,,J. Smith misses 2-pt shot from 18 ft
9:55.0,,,29-24,,Offensive rebound by D. Howard
9:55.0,,,29-24,,D. Howard misses 2-pt shot at rim
9:53.0,,,29-24,,Offensive rebound by C. Brewer
9:50.0,,,29-24,,Turnover by D. Howard (traveling)
9:34.0,R. Anderson misses 2-pt shot from 14 ft,,29-24,,
9:32.0,Offensive rebound by Team,,29-24,,
9:22.0,D. Cunningham makes 2-pt shot from 21 ft (assist by J. Holiday),2,31-24,,
9:08.0,,,31-24,,P. Prigioni misses 2-pt shot from 3 ft (block by N. Cole)
9:07.0,Defensive rebound by N. Cole,,31-24,,
9:00.0,R. Anderson misses 3-pt shot from 25 ft,,31-24,,
8:58.0,,,31-24,,Defensive rebound by P. Prigioni
8:50.0,,,31-24,,C. Brewer misses 2-pt shot from 5 ft
8:49.0,,,31-24,,Offensive rebound by D. Howard
8:48.0,,,31-24,,Shooting foul by O. Asik (drawn by D. Howard)
8:48.0,Official timeout,,31-24,,
8:48.0,A. Ajinca enters the game for O. Asik,,31-24,,
8:48.0,,,31-24,,D. Howard misses free throw 1 of 2
8:48.0,,,31-24,,Offensive rebound by Team
8:48.0,,,31-24,,D. Howard misses free throw 2 of 2
8:47.0,Defensive rebound by Team,,31-24,,
8:31.0,J. Holiday makes 2-pt shot from 15 ft,2,33-24,,
8:20.0,Personal foul by A. Ajinca (drawn by D. Howard),,33-24,,
8:20.0,T. Evans enters the game for J. Holiday,,33-24,,
8:09.0,,,33-26,2,J. Smith makes 2-pt shot from 4 ft
7:51.0,A. Ajinca misses 2-pt shot from 7 ft,,33-26,,
7:50.0,,,33-26,,Defensive rebound by D. Howard
7:44.0,,,33-28,2,C. Brewer makes 2-pt shot from 1 ft
7:17.0,R. Anderson makes 2-pt shot from 22 ft,2,35-28,,
7:08.0,,,35-28,,Shooting foul by A. Ajinca (drawn by C. Brewer)
7:08.0,,,35-29,1,C. Brewer makes free throw 1 of 2
7:08.0,,,35-29,,T. Jones enters the game for D. Howard
7:08.0,,,35-29,,J. Harden enters the game for T. Ariza
7:08.0,A. Davis enters the game for A. Ajinca,,35-29,,
7:08.0,,,35-30,1,C. Brewer makes free throw 2 of 2
6:49.0,N. Cole misses 2-pt shot from 2 ft,,35-30,,
6:48.0,Offensive rebound by A. Davis,,35-30,,
6:47.0,A. Davis makes 2-pt shot from 1 ft,2,37-30,,
6:35.0,,,37-32,2,J. Harden makes 2-pt shot from 19 ft
6:15.0,R. Anderson makes 3-pt shot from 26 ft (assist by D. Cunningham),3,40-32,,
5:49.0,,,40-32,,Shooting foul by T. Evans (drawn by C. Brewer)
5:49.0,,,40-32,,Houston full timeout
5:49.0,,,40-32,,J. Terry enters the game for P. Prigioni
5:49.0,,,40-32,,C. Brewer misses free throw 1 of 3
5:49.0,,,40-32,,Offensive rebound by Team
5:49.0,,,40-33,1,C. Brewer makes free throw 2 of 3
5:49.0,,,40-33,,C. Brewer misses free throw 3 of 3
5:49.0,Defensive rebound by A. Davis,,40-33,,
5:42.0,,,40-33,,Personal foul by J. Harden (drawn by R. Anderson)
5:32.0,N. Cole makes 2-pt shot from 21 ft (assist by A. Davis),2,42-33,,
5:20.0,,,42-35,2,J. Harden makes 2-pt shot from 1 ft
5:20.0,,,42-35,,Shooting foul by D. Cunningham (drawn by J. Harden)
5:20.0,E. Gordon enters the game for N. Cole,,42-35,,
5:20.0,Q. Pondexter enters the game for D. Cunningham,,42-35,,
5:20.0,,,42-36,1,J. Harden makes free throw 1 of 1
5:06.0,R. Anderson makes 2-pt shot from 7 ft,2,44-36,,
5:06.0,Shooting foul by J. Smith (drawn by R. Anderson),,44-36,,
5:06.0,R. Anderson makes free throw 1 of 1,1,45-36,,
4:55.0,,,45-38,2,J. Smith makes 2-pt shot at rim (assist by J. Harden)
4:39.0,Q. Pondexter makes 3-pt shot from 25 ft (assist by T. Evans),3,48-38,,
4:28.0,,,48-41,3,J. Terry makes 3-pt shot from 25 ft (assist by J. Harden)
4:04.0,Turnover by R. Anderson (dbl dribble),,48-41,,
3:55.0,,,48-43,2,J. Harden makes 2-pt shot from 1 ft
3:36.0,E. Gordon misses 3-pt shot from 25 ft,,48-43,,
3:35.0,Offensive rebound by Q. Pondexter,,48-43,,
3:32.0,Turnover by Q. Pondexter (lost ball; steal by T. Jones),,48-43,,
3:27.0,,,48-43,,J. Terry misses 3-pt shot from 26 ft
3:25.0,,,48-43,,Offensive rebound by T. Jones
3:21.0,,,48-46,3,J. Harden makes 3-pt shot from 25 ft (assist by T. Jones)
3:21.0,New Orleans full timeout,,48-46,,
2:59.0,R. Anderson misses 3-pt shot from 27 ft,,48-46,,
2:58.0,,,48-46,,Defensive rebound by J. Terry
2:52.0,,,48-46,,J. Harden misses 2-pt shot from 1 ft
2:51.0,,,48-46,,Offensive rebound by T. Jones
2:51.0,,,48-48,2,T. Jones makes 2-pt shot at rim
2:34.0,A. Davis makes 2-pt shot from 12 ft,2,50-48,,
2:20.0,,,50-48,,Turnover by J. Harden (bad pass; steal by A. Davis)
2:12.0,T. Evans makes 2-pt shot at rim,2,52-48,,
1:56.0,,,52-48,,Turnover by J. Smith (bad pass)
1:56.0,,,52-48,,T. Ariza enters the game for C. Brewer
1:56.0,,,52-48,,D. Howard enters the game for J. Smith
1:41.0,A. Davis misses 2-pt shot from 8 ft,,52-48,,
1:40.0,Offensive rebound by R. Anderson,,52-48,,
1:40.0,R. Anderson makes 2-pt shot from 1 ft,2,54-48,,
1:21.0,,,54-48,,J. Harden misses 2-pt shot from 17 ft
1:18.0,,,54-48,,Offensive rebound by T. Jones
1:06.0,,,54-50,2,D. Howard makes 2-pt shot from 6 ft
0:49.0,R. Anderson misses 3-pt shot from 26 ft,,54-50,,
0:48.0,,,54-50,,Defensive rebound by T. Ariza
0:36.0,,,54-52,2,J. Harden makes 2-pt shot from 1 ft
0:20.0,Shooting foul by T. Jones (drawn by A. Davis),,54-52,,
0:20.0,A. Davis makes free throw 1 of 2,1,55-52,,
0:20.0,A. Ajinca enters the game for Q. Pondexter,,55-52,,
0:20.0,D. Cunningham enters the game for E. Gordon,,55-52,,
0:20.0,N. Cole enters the game for R. Anderson,,55-52,,
0:20.0,,,55-52,,C. Brewer enters the game for T. Jones
0:20.0,A. Davis misses free throw 2 of 2,,55-52,,
0:20.0,,,55-52,,Defensive rebound by D. Howard
0:00.0,,,55-52,,J. Harden misses 3-pt shot from 25 ft
0:00.0,,,55-52,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,A. Davis makes 2-pt shot at rim (assist by E. Gordon),2,57-52,,
11:18.0,,,57-52,,T. Jones misses 2-pt shot from 8 ft
11:17.0,Defensive rebound by O. Asik,,57-52,,
11:06.0,T. Evans makes 2-pt shot from 1 ft,2,59-52,,
10:57.0,,,59-54,2,D. Howard makes 2-pt shot from 2 ft (assist by J. Terry)
10:57.0,,,59-54,,Shooting foul by O. Asik (drawn by D. Howard)
10:57.0,,,59-54,,D. Howard misses free throw 1 of 1
10:57.0,Defensive rebound by A. Davis,,59-54,,
10:38.0,O. Asik makes 2-pt shot at rim (assist by T. Evans),2,61-54,,
10:17.0,,,61-56,2,D. Howard makes 2-pt shot from 6 ft (assist by T. Jones)
10:03.0,Q. Pondexter makes 3-pt shot from 23 ft (assist by T. Evans),3,64-56,,
9:53.0,,,64-58,2,D. Howard makes 2-pt shot from 1 ft (assist by J. Terry)
9:36.0,A. Davis misses 2-pt shot from 5 ft,,64-58,,
9:34.0,,,64-58,,Defensive rebound by D. Howard
9:28.0,,,64-61,3,J. Terry makes 3-pt shot from 23 ft (assist by J. Harden)
9:02.0,Turnover by T. Evans (bad pass; steal by T. Ariza),,64-61,,
8:59.0,,,64-61,,Shooting foul by E. Gordon (drawn by J. Harden)
8:59.0,,,64-62,1,J. Harden makes free throw 1 of 2
8:59.0,,,64-63,1,J. Harden makes free throw 2 of 2
8:47.0,E. Gordon makes 2-pt shot from 2 ft,2,66-63,,
8:27.0,,,66-66,3,J. Terry makes 3-pt shot from 23 ft
8:09.0,O. Asik makes 2-pt shot at rim (assist by E. Gordon),2,68-66,,
7:46.0,,,68-66,,J. Harden misses 3-pt shot from 25 ft
7:45.0,Defensive rebound by O. Asik,,68-66,,
7:25.0,Shooting foul by J. Terry (drawn by Q. Pondexter),,68-66,,
7:25.0,Q. Pondexter misses free throw 1 of 3,,68-66,,
7:25.0,Offensive rebound by Team,,68-66,,
7:25.0,Q. Pondexter makes free throw 2 of 3,1,69-66,,
7:25.0,Q. Pondexter makes free throw 3 of 3,1,70-66,,
7:09.0,,,70-66,,T. Ariza misses 3-pt shot from 22 ft
7:08.0,Defensive rebound by E. Gordon,,70-66,,
6:52.0,E. Gordon misses 3-pt shot from 24 ft,,70-66,,
6:50.0,Offensive rebound by O. Asik,,70-66,,
6:49.0,O. Asik misses 2-pt shot from 1 ft (block by J. Harden),,70-66,,
6:49.0,,,70-66,,Defensive rebound by Team
6:35.0,,,70-69,3,J. Terry makes 3-pt shot from 24 ft (assist by J. Harden)
6:20.0,E. Gordon makes 3-pt shot from 25 ft (assist by T. Evans),3,73-69,,
5:57.0,,,73-69,,Turnover by J. Terry (back court)
5:57.0,,,73-69,,Houston full timeout
5:47.0,E. Gordon makes 3-pt shot from 26 ft (assist by T. Evans),3,76-69,,
5:28.0,,,76-69,,D. Howard misses 2-pt shot from 3 ft
5:26.0,Defensive rebound by O. Asik,,76-69,,
5:08.0,A. Davis makes 2-pt shot from 18 ft (assist by T. Evans),2,78-69,,
4:48.0,,,78-71,2,J. Harden makes 2-pt shot from 14 ft
4:28.0,A. Davis misses 2-pt shot from 15 ft,,78-71,,
4:25.0,Offensive rebound by Q. Pondexter,,78-71,,
4:20.0,A. Davis makes 2-pt shot from 4 ft (assist by E. Gordon),2,80-71,,
4:00.0,,,80-71,,Shooting foul by Q. Pondexter (drawn by J. Harden)
4:00.0,,,80-72,1,J. Harden makes free throw 1 of 2
4:00.0,,,80-72,,J. Smith enters the game for D. Howard
4:00.0,,,80-72,,C. Brewer enters the game for T. Ariza
4:00.0,,,80-73,1,J. Harden makes free throw 2 of 2
3:49.0,E. Gordon misses 3-pt shot from 25 ft,,80-73,,
3:48.0,,,80-73,,Defensive rebound by C. Brewer
3:43.0,,,80-75,2,C. Brewer makes 2-pt shot at rim
3:25.0,Shooting foul by T. Jones (drawn by A. Davis),,80-75,,
3:25.0,A. Davis misses free throw 1 of 2,,80-75,,
3:25.0,Offensive rebound by Team,,80-75,,
3:25.0,R. Anderson enters the game for O. Asik,,80-75,,
3:25.0,J. Holiday enters the game for E. Gordon,,80-75,,
3:25.0,,,80-75,,P. Prigioni enters the game for J. Terry
3:25.0,A. Davis misses free throw 2 of 2,,80-75,,
3:25.0,,,80-75,,Defensive rebound by J. Smith
3:16.0,,,80-75,,J. Smith misses 2-pt shot from 6 ft
3:15.0,Defensive rebound by A. Davis,,80-75,,
2:55.0,Shooting foul by C. Brewer (drawn by A. Davis),,80-75,,
2:55.0,New Orleans full timeout,,80-75,,
2:55.0,A. Davis makes free throw 1 of 2,1,81-75,,
2:55.0,A. Davis makes free throw 2 of 2,1,82-75,,
2:47.0,,,82-77,2,J. Harden makes 2-pt shot from 2 ft
2:23.0,Shooting foul by T. Jones (drawn by A. Davis),,82-77,,
2:23.0,A. Davis makes free throw 1 of 2,1,83-77,,
2:23.0,A. Davis makes free throw 2 of 2,1,84-77,,
2:13.0,,,84-79,2,J. Harden makes 2-pt shot at rim
1:48.0,T. Evans misses 2-pt shot from 2 ft,,84-79,,
1:47.0,,,84-79,,Defensive rebound by Team
1:47.0,,,84-79,,T. Ariza enters the game for T. Jones
1:36.0,,,84-82,3,P. Prigioni makes 3-pt shot from 24 ft (assist by J. Harden)
1:26.0,A. Davis makes 2-pt shot at rim (assist by Q. Pondexter),2,86-82,,
1:09.0,,,86-84,2,J. Harden makes 2-pt shot from 2 ft
0:46.0,Turnover by A. Davis (lost ball; steal by C. Brewer),,86-84,,
0:40.0,,,86-84,,J. Smith misses 2-pt shot from 2 ft (block by A. Davis)
0:38.0,,,86-84,,Offensive rebound by J. Smith
0:35.0,,,86-84,,T. Ariza misses 3-pt shot from 24 ft
0:33.0,Defensive rebound by Q. Pondexter,,86-84,,
0:14.0,T. Evans misses 2-pt shot from 3 ft,,86-84,,
0:13.0,Offensive rebound by R. Anderson,,86-84,,
0:13.0,R. Anderson misses 2-pt shot from 1 ft,,86-84,,
0:11.0,,,86-84,,Defensive rebound by J. Smith
0:06.0,,,86-86,2,J. Harden makes 2-pt shot from 2 ft
0:01.0,Q. Pondexter misses 3-pt shot from 27 ft,,86-86,,
0:01.0,,,86-86,,Defensive rebound by J. Smith
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,86-86,,C. Brewer misses 2-pt shot from 1 ft
11:43.0,,,86-86,,Offensive rebound by D. Howard
11:42.0,,,86-88,2,D. Howard makes 2-pt shot from 2 ft
11:27.0,J. Holiday misses 2-pt shot from 10 ft (block by D. Howard),,86-88,,
11:25.0,,,86-88,,Defensive rebound by C. Brewer
11:21.0,,,86-88,,Shooting foul by J. Holiday (drawn by C. Brewer)
11:21.0,,,86-89,1,C. Brewer makes free throw 1 of 2
11:21.0,,,86-90,1,C. Brewer makes free throw 2 of 2
11:08.0,Turnover by Q. Pondexter (lost ball),,86-90,,
11:08.0,D. Cunningham enters the game for Q. Pondexter,,86-90,,
10:55.0,,,86-92,2,C. Brewer makes 2-pt shot from 4 ft
10:34.0,J. Holiday makes 3-pt shot from 23 ft (assist by A. Davis),3,89-92,,
10:22.0,,,89-92,,J. Smith misses 3-pt shot from 25 ft
10:21.0,Defensive rebound by O. Asik,,89-92,,
10:09.0,A. Davis misses 2-pt shot from 7 ft,,89-92,,
10:08.0,,,89-92,,Defensive rebound by J. Smith
10:01.0,,,89-92,,J. Smith misses 3-pt shot from 24 ft
9:59.0,,,89-92,,Offensive rebound by Team
9:59.0,R. Anderson enters the game for A. Davis,,89-92,,
9:56.0,,,89-94,2,C. Brewer makes 2-pt shot from 16 ft (assist by T. Ariza)
9:38.0,,,89-94,,Personal foul by T. Ariza (drawn by R. Anderson)
9:27.0,N. Cole misses 2-pt shot from 21 ft,,89-94,,
9:25.0,,,89-94,,Defensive rebound by P. Prigioni
9:18.0,E. Gordon enters the game for N. Cole,,89-94,,
9:08.0,,,89-96,2,D. Howard makes 2-pt shot from 7 ft
8:51.0,J. Holiday makes 2-pt shot from 8 ft,2,91-96,,
8:34.0,,,91-98,2,D. Howard makes 2-pt shot from 2 ft (assist by J. Smith)
8:16.0,E. Gordon misses 2-pt shot from 6 ft (block by D. Howard),,91-98,,
8:15.0,,,91-98,,Defensive rebound by D. Howard
8:12.0,,,91-100,2,C. Brewer makes 2-pt shot from 2 ft
8:11.0,New Orleans full timeout,,91-100,,
8:11.0,T. Evans enters the game for D. Cunningham,,91-100,,
7:58.0,E. Gordon makes 3-pt shot from 25 ft (assist by T. Evans),3,94-100,,
7:39.0,,,94-100,,T. Ariza misses 2-pt shot from 19 ft
7:37.0,Defensive rebound by J. Holiday,,94-100,,
7:26.0,T. Evans misses 3-pt shot from 25 ft,,94-100,,
7:24.0,,,94-100,,Defensive rebound by J. Smith
7:19.0,,,94-102,2,C. Brewer makes 2-pt shot from 1 ft (assist by P. Prigioni)
6:55.0,J. Holiday makes 3-pt shot from 26 ft,3,97-102,,
6:39.0,Personal foul by O. Asik (drawn by D. Howard),,97-102,,
6:39.0,A. Davis enters the game for R. Anderson,,97-102,,
6:39.0,,,97-102,,J. Harden enters the game for D. Howard
6:35.0,,,97-105,3,J. Smith makes 3-pt shot from 25 ft (assist by T. Ariza)
6:12.0,A. Davis misses 2-pt shot from 6 ft,,97-105,,
6:11.0,Offensive rebound by O. Asik,,97-105,,
6:10.0,O. Asik misses 2-pt shot from 3 ft (block by T. Ariza),,97-105,,
6:08.0,,,97-105,,Defensive rebound by T. Ariza
6:02.0,,,97-105,,Shooting foul by A. Davis (drawn by J. Smith)
6:02.0,,,97-105,,J. Smith misses free throw 1 of 2
6:02.0,,,97-105,,Offensive rebound by Team
6:02.0,R. Anderson enters the game for O. Asik,,97-105,,
6:02.0,Q. Pondexter enters the game for J. Holiday,,97-105,,
6:02.0,,,97-105,,J. Smith misses free throw 2 of 2
5:58.0,,,97-105,,Offensive rebound by T. Ariza
5:57.0,,,97-105,,Houston full timeout
5:51.0,Personal foul by Q. Pondexter (drawn by J. Harden),,97-105,,
5:36.0,,,97-105,,P. Prigioni misses 3-pt shot from 27 ft
5:35.0,Defensive rebound by T. Evans,,97-105,,
5:23.0,E. Gordon misses 2-pt shot from 3 ft,,97-105,,
5:22.0,,,97-105,,Defensive rebound by C. Brewer
5:19.0,,,97-105,,Shooting foul by T. Evans (drawn by C. Brewer)
5:19.0,,,97-105,,C. Brewer misses free throw 1 of 2
5:19.0,,,97-105,,Offensive rebound by Team
5:19.0,,,97-106,1,C. Brewer makes free throw 2 of 2
5:04.0,Shooting foul by J. Harden (drawn by T. Evans),,97-106,,
5:04.0,T. Evans misses free throw 1 of 2,,97-106,,
5:04.0,Offensive rebound by Team,,97-106,,
5:04.0,T. Evans makes free throw 2 of 2,1,98-106,,
5:04.0,Personal take foul by A. Davis (drawn by J. Smith),,98-106,,
5:04.0,,,98-106,,J. Smith misses free throw 1 of 2
5:04.0,,,98-106,,Offensive rebound by Team
5:04.0,,,98-107,1,J. Smith makes free throw 2 of 2
4:45.0,T. Evans misses 2-pt shot from 3 ft (block by T. Ariza),,98-107,,
4:43.0,,,98-107,,Defensive rebound by P. Prigioni
4:35.0,,,98-109,2,J. Smith makes 2-pt shot from 8 ft
4:35.0,,,98-109,,Shooting foul by R. Anderson (drawn by J. Smith)
4:35.0,,,98-109,,J. Smith misses free throw 1 of 1
4:35.0,Defensive rebound by Q. Pondexter,,98-109,,
4:26.0,R. Anderson misses 3-pt shot from 26 ft,,98-109,,
4:25.0,,,98-109,,Defensive rebound by J. Smith
4:03.0,,,98-109,,P. Prigioni misses 2-pt shot from 3 ft
4:01.0,Defensive rebound by Q. Pondexter,,98-109,,
3:54.0,T. Evans makes 2-pt shot from 1 ft,2,100-109,,
3:49.0,Personal take foul by A. Davis (drawn by J. Smith),,100-109,,
3:49.0,,,100-110,1,J. Smith makes free throw 1 of 2
3:49.0,D. Cunningham enters the game for R. Anderson,,100-110,,
3:49.0,,,100-111,1,J. Smith makes free throw 2 of 2
3:42.0,Turnover by T. Evans (bad pass; steal by P. Prigioni),,100-111,,
3:31.0,Personal take foul by D. Cunningham (drawn by J. Smith),,100-111,,
3:31.0,,,100-112,1,J. Smith makes free throw 1 of 2
3:31.0,,,100-112,,J. Smith misses free throw 2 of 2
3:29.0,Defensive rebound by D. Cunningham,,100-112,,
3:21.0,T. Evans misses 2-pt shot from 1 ft,,100-112,,
3:20.0,Offensive rebound by Team,,100-112,,
3:20.0,,,100-112,,D. Howard enters the game for J. Smith
3:20.0,O. Asik enters the game for D. Cunningham,,100-112,,
3:19.0,O. Asik makes 2-pt shot at rim (assist by Q. Pondexter),2,102-112,,
3:10.0,Personal take foul by T. Evans (drawn by D. Howard),,102-112,,
