time,Philadelphia,pts.away,score,pts.home,Utah
8:31.0,M. Carter-Williams misses 2-pt shot from 2 ft (block by D. Favors),,3-6,,
8:29.0,Offensive rebound by N. Noel,,3-6,,
8:26.0,N. Noel misses 2-pt shot at rim,,3-6,,
8:25.0,,,3-6,,Defensive rebound by D. Favors
8:19.0,,,3-6,,Turnover by G. Hayward (lost ball; steal by H. Sims)
8:02.0,M. Carter-Williams misses 2-pt shot from 3 ft,,3-6,,
8:01.0,,,3-6,,Defensive rebound by D. Favors
7:56.0,,,3-8,2,T. Burke makes 2-pt shot from 1 ft
7:39.0,M. Carter-Williams makes 2-pt shot from 3 ft,2,5-8,,
7:22.0,,,5-8,,T. Burke misses 3-pt shot from 24 ft
7:21.0,Defensive rebound by J. Sampson,,5-8,,
7:08.0,N. Noel misses 2-pt shot from 3 ft (block by D. Favors),,5-8,,
7:06.0,,,5-8,,Defensive rebound by D. Favors
7:04.0,Personal foul by R. Covington (drawn by E. Kanter),,5-8,,
6:47.0,,,5-8,,E. Kanter misses 3-pt shot from 22 ft
6:46.0,Defensive rebound by N. Noel,,5-8,,
6:28.0,M. Carter-Williams misses 2-pt shot from 6 ft,,5-8,,
6:27.0,,,5-8,,Defensive rebound by R. Hood
6:24.0,,,5-8,,Shooting foul by J. Sampson (drawn by T. Burke)
6:24.0,,,5-9,1,T. Burke makes free throw 1 of 2
6:24.0,,,5-10,1,T. Burke makes free throw 2 of 2
6:07.0,N. Noel misses 2-pt shot from 19 ft,,5-10,,
6:06.0,,,5-10,,Defensive rebound by E. Kanter
5:58.0,,,5-12,2,D. Favors makes 2-pt shot at rim (assist by T. Burke)
5:57.0,Philadelphia full timeout,,5-12,,
5:57.0,,,5-12,,T. Booker enters the game for E. Kanter
5:57.0,,,5-12,,D. Exum enters the game for T. Burke
5:35.0,M. Carter-Williams misses 3-pt shot from 26 ft,,5-12,,
5:34.0,,,5-12,,Defensive rebound by T. Booker
5:17.0,,,5-12,,D. Exum misses 3-pt shot from 25 ft
5:15.0,,,5-12,,Offensive rebound by T. Booker
5:15.0,,,5-14,2,T. Booker makes 2-pt shot from 1 ft
4:51.0,M. Carter-Williams misses 2-pt shot from 3 ft,,5-14,,
4:50.0,,,5-14,,Defensive rebound by D. Favors
4:46.0,,,5-14,,T. Booker misses 2-pt shot from 3 ft
4:42.0,Defensive rebound by N. Noel,,5-14,,
4:34.0,R. Covington misses 3-pt shot from 24 ft,,5-14,,
4:34.0,,,5-14,,Defensive rebound by D. Exum
4:34.0,Personal foul by M. Carter-Williams (drawn by D. Exum),,5-14,,
4:34.0,,,5-15,1,D. Exum makes free throw 1 of 2
4:34.0,,,5-15,,J. Ingles enters the game for R. Hood
4:34.0,T. Wroten enters the game for J. Sampson,,5-15,,
4:34.0,K. McDaniels enters the game for R. Covington,,5-15,,
4:34.0,F. Aldemir enters the game for H. Sims,,5-15,,
4:34.0,,,5-16,1,D. Exum makes free throw 2 of 2
4:19.0,T. Wroten makes 3-pt shot from 24 ft (assist by K. McDaniels),3,8-16,,
4:03.0,,,8-16,,T. Booker misses 2-pt shot from 3 ft
4:01.0,Defensive rebound by M. Carter-Williams,,8-16,,
3:53.0,,,8-16,,Personal foul by D. Exum (drawn by M. Carter-Williams)
3:53.0,J. Grant enters the game for N. Noel,,8-16,,
3:41.0,T. Wroten misses 3-pt shot from 24 ft,,8-16,,
3:40.0,,,8-16,,Defensive rebound by D. Favors
3:24.0,,,8-16,,D. Exum misses 3-pt shot from 25 ft
3:23.0,Defensive rebound by T. Wroten,,8-16,,
3:17.0,T. Wroten makes 2-pt shot from 3 ft,2,10-16,,
3:17.0,Shooting foul by D. Favors (drawn by T. Wroten),,10-16,,
3:17.0,T. Wroten misses free throw 1 of 1,,10-16,,
3:16.0,,,10-16,,Defensive rebound by G. Hayward
3:11.0,,,10-16,,Utah full timeout
3:11.0,R. Covington enters the game for M. Carter-Williams,,10-16,,
2:58.0,,,10-16,,Turnover by D. Favors (bad pass; steal by K. McDaniels)
2:49.0,Turnover by K. McDaniels (lost ball; steal by J. Ingles),,10-16,,
2:43.0,,,10-16,,D. Exum misses 2-pt shot from 1 ft (block by K. McDaniels)
2:43.0,,,10-16,,Offensive rebound by Team
2:43.0,,,10-16,,R. Gobert enters the game for D. Favors
2:30.0,,,10-18,2,G. Hayward makes 2-pt shot at rim
2:25.0,Turnover by T. Wroten (bad pass),,10-18,,
2:09.0,Personal foul by F. Aldemir (drawn by G. Hayward),,10-18,,
2:09.0,,,10-19,1,G. Hayward makes free throw 1 of 2
2:09.0,,,10-20,1,G. Hayward makes free throw 2 of 2
1:57.0,K. McDaniels misses 2-pt shot from 18 ft,,10-20,,
1:55.0,Offensive rebound by F. Aldemir,,10-20,,
1:53.0,F. Aldemir misses 2-pt shot from 3 ft,,10-20,,
1:51.0,,,10-20,,Defensive rebound by T. Booker
1:42.0,,,10-20,,G. Hayward misses 3-pt shot from 25 ft
1:38.0,,,10-20,,Offensive rebound by J. Ingles
1:16.0,,,10-23,3,G. Hayward makes 3-pt shot from 25 ft
0:53.0,Shooting foul by T. Booker (drawn by R. Covington),,10-23,,
0:53.0,R. Covington misses free throw 1 of 2,,10-23,,
0:53.0,Offensive rebound by Team,,10-23,,
0:53.0,R. Covington misses free throw 2 of 2,,10-23,,
0:52.0,Offensive rebound by J. Grant,,10-23,,
0:40.0,T. Wroten makes 2-pt shot from 2 ft,2,12-23,,
0:33.0,,,12-23,,G. Hayward misses 2-pt shot from 10 ft
0:31.0,,,12-23,,Offensive rebound by R. Gobert
0:31.0,,,12-25,2,R. Gobert makes 2-pt shot at rim
0:21.0,R. Covington misses 2-pt shot from 2 ft (block by R. Gobert),,12-25,,
0:17.0,Offensive rebound by R. Covington,,12-25,,
0:16.0,Turnover by Team (shot clock),,12-25,,
0:02.0,,,12-25,,Turnover by R. Gobert (lost ball; steal by T. Wroten)
0:01.0,T. Wroten misses 2-pt shot from 2 ft,,12-25,,
0:00.0,Offensive rebound by Team,,12-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,K. McDaniels misses 2-pt shot from 2 ft,,12-25,,
11:45.0,,,12-25,,Defensive rebound by D. Exum
11:27.0,,,12-25,,E. Kanter misses 2-pt shot from 17 ft
11:25.0,Defensive rebound by K. McDaniels,,12-25,,
11:12.0,T. Wroten misses 3-pt shot from 24 ft,,12-25,,
11:11.0,,,12-25,,Defensive rebound by R. Gobert
10:59.0,,,12-25,,R. Hood misses 3-pt shot from 25 ft
10:58.0,Defensive rebound by J. Grant,,12-25,,
10:50.0,R. Covington makes 2-pt shot from 2 ft,2,14-25,,
10:31.0,,,14-25,,Shooting foul by F. Aldemir (drawn by J. Ingles)
10:31.0,,,14-26,1,J. Ingles makes free throw 1 of 2
10:31.0,M. Carter-Williams enters the game for R. Covington,,14-26,,
10:31.0,N. Noel enters the game for F. Aldemir,,14-26,,
10:31.0,,,14-27,1,J. Ingles makes free throw 2 of 2
10:10.0,M. Carter-Williams misses 3-pt shot from 25 ft,,14-27,,
10:09.0,,,14-27,,Defensive rebound by E. Kanter
10:00.0,,,14-27,,R. Hood misses 2-pt shot from 2 ft
9:59.0,Defensive rebound by N. Noel,,14-27,,
9:53.0,K. McDaniels makes 2-pt shot from 2 ft (assist by M. Carter-Williams),2,16-27,,
9:47.0,,,16-27,,Utah full timeout
9:47.0,,,16-27,,T. Burke enters the game for R. Hood
9:28.0,,,16-27,,T. Burke misses 2-pt shot from 12 ft
9:27.0,Defensive rebound by N. Noel,,16-27,,
9:23.0,,,16-27,,Personal foul by D. Exum (drawn by T. Wroten)
9:23.0,,,16-27,,P. Christopher enters the game for D. Exum
9:15.0,T. Wroten misses 2-pt shot from 3 ft (block by R. Gobert),,16-27,,
9:15.0,Offensive rebound by Team,,16-27,,
9:11.0,Turnover by M. Carter-Williams (bad pass; steal by R. Gobert),,16-27,,
8:54.0,,,16-29,2,E. Kanter makes 2-pt shot at rim (assist by R. Gobert)
8:39.0,Turnover by M. Carter-Williams (bad pass; steal by P. Christopher),,16-29,,
8:35.0,,,16-29,,Shooting foul by K. McDaniels (drawn by T. Burke)
8:35.0,Official timeout,,16-29,,
8:35.0,,,16-30,1,T. Burke makes free throw 1 of 2
8:35.0,,,16-30,,T. Burke misses free throw 2 of 2
8:33.0,Defensive rebound by N. Noel,,16-30,,
8:15.0,T. Wroten makes 2-pt shot from 1 ft,2,18-30,,
7:59.0,,,18-30,,Turnover by T. Burke (bad pass)
7:59.0,H. Sims enters the game for J. Grant,,18-30,,
7:41.0,K. McDaniels makes 3-pt shot from 24 ft (assist by N. Noel),3,21-30,,
7:24.0,,,21-32,2,E. Kanter makes 2-pt shot from 2 ft (assist by T. Burke)
7:06.0,K. McDaniels misses 3-pt shot from 25 ft,,21-32,,
7:05.0,,,21-32,,Defensive rebound by J. Ingles
6:59.0,,,21-32,,Turnover by R. Gobert (offensive foul)
6:59.0,,,21-32,,Offensive foul by R. Gobert
6:59.0,,,21-32,,D. Favors enters the game for R. Gobert
6:39.0,K. McDaniels misses 2-pt shot from 3 ft,,21-32,,
6:36.0,,,21-32,,Defensive rebound by J. Ingles
6:27.0,,,21-32,,Turnover by D. Favors (lost ball; steal by N. Noel)
6:11.0,T. Wroten makes 2-pt shot from 4 ft,2,23-32,,
6:06.0,,,23-32,,Utah full timeout
6:06.0,,,23-32,,G. Hayward enters the game for J. Ingles
6:06.0,J. Sampson enters the game for K. McDaniels,,23-32,,
5:57.0,,,23-32,,Turnover by D. Favors (lost ball; steal by T. Wroten)
5:47.0,H. Sims makes 2-pt shot from 18 ft (assist by J. Sampson),2,25-32,,
5:27.0,,,25-32,,P. Christopher misses 3-pt shot from 24 ft
5:21.0,Defensive rebound by T. Wroten,,25-32,,
5:04.0,M. Carter-Williams misses 2-pt shot from 20 ft,,25-32,,
5:01.0,Offensive rebound by H. Sims,,25-32,,
5:01.0,,,25-32,,D. Exum enters the game for P. Christopher
4:49.0,Turnover by M. Carter-Williams (lost ball; steal by D. Exum),,25-32,,
4:43.0,,,25-32,,E. Kanter misses 2-pt shot from 1 ft
4:40.0,Defensive rebound by T. Wroten,,25-32,,
4:32.0,Turnover by T. Wroten (lost ball; steal by D. Favors),,25-32,,
4:26.0,,,25-34,2,G. Hayward makes 2-pt shot from 1 ft (assist by T. Burke)
4:09.0,Shooting foul by T. Burke (drawn by H. Sims),,25-34,,
4:09.0,H. Sims makes free throw 1 of 2,1,26-34,,
4:09.0,R. Covington enters the game for T. Wroten,,26-34,,
4:09.0,,,26-34,,R. Gobert enters the game for E. Kanter
4:09.0,H. Sims makes free throw 2 of 2,1,27-34,,
4:03.0,,,27-34,,D. Exum misses 2-pt shot from 3 ft
4:01.0,,,27-34,,Offensive rebound by R. Gobert
4:01.0,,,27-36,2,R. Gobert makes 2-pt shot from 1 ft
3:44.0,M. Carter-Williams misses 3-pt shot from 24 ft,,27-36,,
3:43.0,Offensive rebound by R. Covington,,27-36,,
3:43.0,Shooting foul by G. Hayward (drawn by R. Covington),,27-36,,
3:43.0,R. Covington makes free throw 1 of 2,1,28-36,,
3:43.0,,,28-36,,R. Hood enters the game for G. Hayward
3:43.0,R. Covington misses free throw 2 of 2,,28-36,,
3:40.0,,,28-36,,Defensive rebound by R. Hood
3:23.0,,,28-36,,R. Hood misses 3-pt shot from 24 ft
3:20.0,Defensive rebound by H. Sims,,28-36,,
3:07.0,Turnover by J. Sampson (bad pass; steal by D. Favors),,28-36,,
3:02.0,,,28-38,2,T. Burke makes 2-pt shot from 3 ft (assist by D. Favors)
3:01.0,Philadelphia full timeout,,28-38,,
2:37.0,M. Carter-Williams misses 2-pt shot from 20 ft,,28-38,,
2:36.0,,,28-38,,Defensive rebound by D. Exum
2:21.0,,,28-40,2,D. Favors makes 2-pt shot at rim (assist by R. Gobert)
2:00.0,N. Noel makes 2-pt shot at rim (assist by M. Carter-Williams),2,30-40,,
1:44.0,,,30-40,,D. Favors misses 2-pt shot from 2 ft
1:43.0,Defensive rebound by M. Carter-Williams,,30-40,,
1:27.0,Shooting foul by D. Exum (drawn by R. Covington),,30-40,,
1:27.0,R. Covington makes free throw 1 of 2,1,31-40,,
1:27.0,,,31-40,,E. Kanter enters the game for R. Gobert
1:27.0,,,31-40,,G. Hayward enters the game for D. Exum
1:27.0,T. Wroten enters the game for H. Sims,,31-40,,
1:27.0,R. Covington makes free throw 2 of 2,1,32-40,,
1:19.0,,,32-40,,E. Kanter misses 2-pt shot from 2 ft
1:17.0,,,32-40,,Offensive rebound by E. Kanter
1:17.0,,,32-40,,E. Kanter misses 2-pt shot at rim
1:16.0,,,32-40,,Offensive rebound by E. Kanter
1:16.0,,,32-42,2,E. Kanter makes 2-pt shot at rim
1:02.0,M. Carter-Williams misses 2-pt shot from 7 ft,,32-42,,
1:01.0,,,32-42,,Defensive rebound by G. Hayward
0:54.0,,,32-42,,Shooting foul by N. Noel (drawn by D. Favors)
0:54.0,,,32-43,1,D. Favors makes free throw 1 of 2
0:54.0,,,32-44,1,D. Favors makes free throw 2 of 2
0:54.0,Philadelphia full timeout,,32-44,,
0:41.0,J. Sampson misses 3-pt shot from 25 ft,,32-44,,
0:39.0,,,32-44,,Defensive rebound by E. Kanter
0:32.0,,,32-44,,T. Burke misses 2-pt shot from 13 ft
0:31.0,Defensive rebound by N. Noel,,32-44,,
0:07.0,T. Wroten misses 3-pt shot from 23 ft,,32-44,,
0:06.0,,,32-44,,Defensive rebound by G. Hayward
0:01.0,,,32-44,,G. Hayward misses 2-pt shot from 20 ft
0:00.0,,,32-44,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,Turnover by T. Wroten (traveling),,32-44,,
11:22.0,,,32-44,,R. Hood misses 2-pt shot from 15 ft
11:20.0,,,32-44,,Offensive rebound by E. Kanter
11:20.0,,,32-44,,E. Kanter misses 2-pt shot at rim (block by H. Sims)
11:16.0,Defensive rebound by M. Carter-Williams,,32-44,,
11:01.0,M. Carter-Williams misses 3-pt shot from 24 ft,,32-44,,
11:00.0,,,32-44,,Defensive rebound by D. Favors
10:45.0,,,32-44,,T. Burke misses 2-pt shot from 15 ft
10:44.0,Defensive rebound by Team,,32-44,,
10:29.0,H. Sims misses 2-pt shot from 5 ft,,32-44,,
10:28.0,,,32-44,,Defensive rebound by D. Favors
10:24.0,,,32-44,,Shooting foul by M. Carter-Williams (drawn by G. Hayward)
10:24.0,,,32-45,1,G. Hayward makes free throw 1 of 2
10:24.0,,,32-46,1,G. Hayward makes free throw 2 of 2
10:14.0,H. Sims makes 2-pt shot from 18 ft (assist by M. Carter-Williams),2,34-46,,
9:56.0,,,34-46,,R. Hood misses 3-pt shot from 24 ft
9:54.0,,,34-46,,Offensive rebound by Team
9:39.0,,,34-46,,E. Kanter misses 2-pt shot from 10 ft
9:38.0,Defensive rebound by N. Noel,,34-46,,
9:30.0,R. Covington makes 3-pt shot from 24 ft (assist by N. Noel),3,37-46,,
9:16.0,,,37-46,,G. Hayward misses 2-pt shot from 20 ft
9:15.0,Defensive rebound by N. Noel,,37-46,,
8:57.0,T. Wroten misses 3-pt shot from 24 ft,,37-46,,
8:55.0,,,37-46,,Defensive rebound by D. Favors
8:38.0,,,37-46,,T. Burke misses 3-pt shot from 25 ft
8:36.0,Defensive rebound by R. Covington,,37-46,,
8:18.0,Turnover by H. Sims (lost ball; steal by G. Hayward),,37-46,,
8:01.0,,,37-46,,R. Hood misses 3-pt shot from 23 ft
8:00.0,Defensive rebound by R. Covington,,37-46,,
7:51.0,T. Wroten misses 3-pt shot from 25 ft,,37-46,,
7:51.0,Offensive rebound by Team,,37-46,,
7:51.0,J. Grant enters the game for N. Noel,,37-46,,
7:51.0,,,37-46,,R. Gobert enters the game for E. Kanter
7:47.0,H. Sims makes 2-pt shot from 2 ft (assist by M. Carter-Williams),2,39-46,,
7:36.0,,,39-46,,T. Burke misses 2-pt shot from 21 ft
7:33.0,Defensive rebound by R. Covington,,39-46,,
7:28.0,R. Covington makes 3-pt shot from 24 ft (assist by M. Carter-Williams),3,42-46,,
7:28.0,,,42-46,,Utah full timeout
7:28.0,,,42-46,,D. Exum enters the game for R. Hood
7:28.0,,,42-46,,T. Booker enters the game for D. Favors
7:28.0,K. McDaniels enters the game for M. Carter-Williams,,42-46,,
7:13.0,,,42-46,,G. Hayward misses 2-pt shot from 1 ft
7:10.0,,,42-46,,Offensive rebound by R. Gobert
7:10.0,,,42-46,,R. Gobert misses 2-pt shot from 1 ft
7:08.0,Defensive rebound by H. Sims,,42-46,,
6:59.0,R. Covington makes 2-pt shot from 19 ft,2,44-46,,
6:53.0,Personal foul by T. Wroten (drawn by R. Gobert),,44-46,,
6:53.0,,,44-46,,D. Favors enters the game for R. Gobert
6:51.0,,,44-46,,Turnover by G. Hayward (bad pass; steal by R. Covington)
6:43.0,T. Wroten makes 2-pt shot from 3 ft,2,46-46,,
6:34.0,,,46-46,,Offensive foul by D. Favors
6:34.0,,,46-46,,Turnover by D. Favors (offensive foul)
6:21.0,Shooting foul by T. Booker (drawn by J. Grant),,46-46,,
6:21.0,J. Grant makes free throw 1 of 2,1,47-46,,
6:21.0,,,47-46,,J. Ingles enters the game for D. Exum
6:21.0,J. Grant misses free throw 2 of 2,,47-46,,
6:20.0,,,47-46,,Defensive rebound by D. Favors
5:57.0,,,47-48,2,T. Booker makes 2-pt shot from 2 ft (assist by G. Hayward)
5:36.0,K. McDaniels misses 3-pt shot from 23 ft,,47-48,,
5:34.0,Offensive rebound by J. Grant,,47-48,,
5:31.0,T. Wroten misses 2-pt shot from 4 ft,,47-48,,
5:29.0,Offensive rebound by T. Wroten,,47-48,,
5:27.0,N. Noel enters the game for H. Sims,,47-48,,
5:27.0,M. Carter-Williams enters the game for T. Wroten,,47-48,,
5:20.0,R. Covington misses 3-pt shot from 26 ft,,47-48,,
5:19.0,,,47-48,,Defensive rebound by Team
5:06.0,J. Sampson enters the game for R. Covington,,47-48,,
4:56.0,,,47-50,2,T. Burke makes 2-pt shot from 9 ft
4:38.0,Offensive foul by K. McDaniels,,47-50,,
4:38.0,Turnover by K. McDaniels (offensive foul),,47-50,,
4:38.0,,,47-50,,Technical foul by J. Ingles
4:38.0,Technical foul by K. McDaniels,,47-50,,
4:25.0,,,47-53,3,G. Hayward makes 3-pt shot from 25 ft (assist by J. Ingles)
3:58.0,M. Carter-Williams makes 3-pt shot from 25 ft,3,50-53,,
3:40.0,,,50-53,,Turnover by T. Burke (bad pass; steal by J. Grant)
3:38.0,,,50-53,,Personal foul by T. Burke (drawn by M. Carter-Williams)
3:38.0,Philadelphia full timeout,,50-53,,
3:38.0,,,50-53,,R. Gobert enters the game for D. Favors
3:38.0,,,50-53,,D. Exum enters the game for T. Burke
3:25.0,M. Carter-Williams misses 3-pt shot from 24 ft,,50-53,,
3:24.0,,,50-53,,Defensive rebound by G. Hayward
3:16.0,,,50-53,,D. Exum misses 3-pt shot from 23 ft
3:15.0,Defensive rebound by N. Noel,,50-53,,
3:08.0,Turnover by N. Noel (lost ball; steal by T. Booker),,50-53,,
3:02.0,,,50-53,,Shooting foul by J. Sampson (drawn by G. Hayward)
3:02.0,H. Sims enters the game for N. Noel,,50-53,,
3:02.0,,,50-54,1,G. Hayward makes free throw 1 of 2
3:02.0,,,50-54,,G. Hayward misses free throw 2 of 2
3:02.0,Defensive rebound by Team,,50-54,,
3:02.0,,,50-54,,Loose ball foul by R. Gobert (drawn by J. Grant)
2:50.0,Turnover by M. Carter-Williams (bad pass; steal by R. Gobert),,50-54,,
2:28.0,,,50-54,,J. Ingles misses 3-pt shot from 24 ft
2:27.0,Defensive rebound by H. Sims,,50-54,,
2:16.0,K. McDaniels misses 2-pt shot at rim (block by R. Gobert),,50-54,,
2:11.0,,,50-54,,Defensive rebound by J. Ingles
2:10.0,,,50-56,2,T. Booker makes 2-pt shot from 1 ft (assist by J. Ingles)
2:02.0,Shooting foul by G. Hayward (drawn by J. Grant),,50-56,,
2:02.0,J. Grant makes free throw 1 of 2,1,51-56,,
2:02.0,J. Grant makes free throw 2 of 2,1,52-56,,
1:59.0,,,52-56,,Shooting foul by H. Sims (drawn by D. Exum)
1:59.0,,,52-56,,D. Exum misses free throw 1 of 2
1:59.0,,,52-56,,Offensive rebound by Team
1:59.0,T. Wroten enters the game for J. Grant,,52-56,,
1:59.0,,,52-57,1,D. Exum makes free throw 2 of 2
1:38.0,M. Carter-Williams misses 2-pt shot from 7 ft (block by T. Booker),,52-57,,
1:38.0,,,52-57,,Defensive rebound by Team
1:17.0,,,52-57,,G. Hayward misses 3-pt shot from 24 ft
1:15.0,Defensive rebound by H. Sims,,52-57,,
1:07.0,,,52-57,,Personal foul by D. Exum (drawn by M. Carter-Williams)
1:07.0,M. Carter-Williams makes free throw 1 of 2,1,53-57,,
1:07.0,,,53-57,,T. Burke enters the game for D. Exum
1:07.0,M. Carter-Williams misses free throw 2 of 2,,53-57,,
1:05.0,,,53-57,,Defensive rebound by R. Gobert
0:55.0,,,53-59,2,T. Booker makes 2-pt shot from 6 ft
0:52.0,,,53-59,,Personal foul by J. Ingles (drawn by T. Wroten)
0:52.0,T. Wroten makes free throw 1 of 2,1,54-59,,
0:52.0,R. Covington enters the game for M. Carter-Williams,,54-59,,
0:52.0,J. Grant enters the game for H. Sims,,54-59,,
0:52.0,T. Wroten makes free throw 2 of 2,1,55-59,,
0:29.0,,,55-59,,G. Hayward misses 3-pt shot from 26 ft
0:28.0,,,55-59,,Offensive rebound by Team
0:28.0,,,55-59,,Turnover by Team (shot clock)
0:06.0,Shooting foul by T. Booker (drawn by J. Sampson),,55-59,,
0:06.0,J. Sampson misses free throw 1 of 2,,55-59,,
0:06.0,Offensive rebound by Team,,55-59,,
0:06.0,J. Sampson misses free throw 2 of 2,,55-59,,
0:05.0,,,55-59,,Defensive rebound by R. Gobert
0:00.0,,,55-59,,T. Burke misses 3-pt shot from 26 ft
0:00.0,,,55-59,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,55-59,,Shooting foul by J. Grant (drawn by R. Hood)
11:36.0,,,55-60,1,R. Hood makes free throw 1 of 2
11:36.0,,,55-60,,R. Hood misses free throw 2 of 2
11:33.0,Defensive rebound by J. Sampson,,55-60,,
11:23.0,Shooting foul by E. Kanter (drawn by R. Covington),,55-60,,
11:23.0,R. Covington makes free throw 1 of 2,1,56-60,,
11:23.0,R. Covington makes free throw 2 of 2,1,57-60,,
11:15.0,,,57-60,,Offensive foul by J. Ingles
11:15.0,,,57-60,,Turnover by J. Ingles (offensive foul)
10:55.0,J. Sampson makes 2-pt shot at rim (assist by J. Grant),2,59-60,,
10:33.0,,,59-60,,T. Burke misses 2-pt shot from 21 ft
10:31.0,Defensive rebound by T. Wroten,,59-60,,
10:20.0,J. Sampson misses 3-pt shot from 22 ft,,59-60,,
10:19.0,,,59-60,,Defensive rebound by R. Hood
10:05.0,,,59-60,,D. Favors enters the game for R. Gobert
10:03.0,,,59-62,2,T. Burke makes 2-pt shot from 1 ft (assist by R. Hood)
10:03.0,,,59-62,,Shooting foul by T. Wroten (drawn by T. Burke)
10:03.0,,,59-62,,D. Exum enters the game for J. Ingles
10:03.0,K. McDaniels enters the game for J. Sampson,,59-62,,
10:03.0,,,59-63,1,T. Burke makes free throw 1 of 1
9:47.0,Shooting foul by E. Kanter (drawn by J. Grant),,59-63,,
9:47.0,J. Grant makes free throw 1 of 2,1,60-63,,
9:47.0,J. Grant misses free throw 2 of 2,,60-63,,
9:46.0,,,60-63,,Defensive rebound by D. Favors
9:30.0,,,60-63,,Turnover by D. Exum (bad pass; steal by J. Grant)
9:19.0,Turnover by K. McDaniels (lost ball),,60-63,,
9:02.0,,,60-65,2,D. Exum makes 2-pt shot from 3 ft
9:01.0,Philadelphia full timeout,,60-65,,
9:01.0,H. Sims enters the game for N. Noel,,60-65,,
8:47.0,T. Wroten misses 2-pt shot from 4 ft (block by D. Favors),,60-65,,
8:43.0,Offensive rebound by T. Wroten,,60-65,,
8:43.0,T. Wroten makes 2-pt shot from 1 ft,2,62-65,,
8:30.0,,,62-65,,D. Exum misses 3-pt shot from 25 ft
8:29.0,Defensive rebound by H. Sims,,62-65,,
8:20.0,J. Grant misses 2-pt shot from 3 ft (block by D. Favors),,62-65,,
8:17.0,,,62-65,,Defensive rebound by D. Favors
8:03.0,M. Carter-Williams enters the game for T. Wroten,,62-65,,
8:03.0,,,62-65,,G. Hayward enters the game for D. Exum
7:58.0,,,62-65,,T. Burke misses 3-pt shot from 24 ft
7:57.0,Defensive rebound by R. Covington,,62-65,,
7:49.0,R. Covington misses 3-pt shot from 25 ft,,62-65,,
7:48.0,,,62-65,,Defensive rebound by R. Hood
7:36.0,,,62-67,2,E. Kanter makes 2-pt shot from 1 ft
7:16.0,R. Covington makes 2-pt shot from 1 ft,2,64-67,,
6:57.0,,,64-67,,T. Burke misses 2-pt shot from 16 ft
6:55.0,,,64-67,,Offensive rebound by E. Kanter
6:55.0,,,64-67,,E. Kanter misses 2-pt shot from 1 ft
6:53.0,,,64-67,,Offensive rebound by E. Kanter
6:53.0,Personal foul by K. McDaniels (drawn by E. Kanter),,64-67,,
6:53.0,N. Noel enters the game for J. Grant,,64-67,,
6:53.0,,,64-67,,T. Booker enters the game for E. Kanter
6:53.0,,,64-67,,P. Christopher enters the game for R. Hood
6:40.0,,,64-67,,G. Hayward misses 2-pt shot from 16 ft
6:38.0,,,64-67,,Offensive rebound by T. Booker
6:28.0,,,64-67,,D. Favors misses 2-pt shot from 2 ft
