time,Oklahoma City,pts.away,score,pts.home,Brooklyn
0:53.0,N. Collison misses 2-pt shot from 19 ft (block by M. Teletovic),,15-29,,
0:52.0,Offensive rebound by Team,,15-29,,
0:52.0,Turnover by Team (shot clock),,15-29,,
0:41.0,,,15-29,,J. Johnson misses 2-pt shot from 6 ft
0:40.0,Defensive rebound by S. Telfair,,15-29,,
0:34.0,Shooting foul by M. Teletovic (drawn by A. Roberson),,15-29,,
0:34.0,A. Roberson makes free throw 1 of 2,1,16-29,,
0:34.0,A. Roberson misses free throw 2 of 2,,16-29,,
0:33.0,,,16-29,,Defensive rebound by J. Johnson
0:32.0,Personal foul by A. Roberson (drawn by J. Johnson),,16-29,,
0:32.0,,,16-29,,J. Johnson misses free throw 1 of 2
0:32.0,,,16-29,,Offensive rebound by Team
0:32.0,P. Jones enters the game for A. Roberson,,16-29,,
0:32.0,,,16-30,1,J. Johnson makes free throw 2 of 2
0:19.0,Turnover by K. Perkins (lost ball; steal by J. Jordan),,16-30,,
0:15.0,,,16-32,2,J. Jack makes 2-pt shot from 1 ft
0:02.0,S. Telfair makes 3-pt shot from 24 ft,3,19-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,P. Jones misses 2-pt shot from 1 ft,,19-32,,
11:45.0,Offensive rebound by Team,,19-32,,
11:42.0,N. Collison misses 2-pt shot from 15 ft,,19-32,,
11:41.0,,,19-32,,Defensive rebound by M. Teletovic
11:21.0,,,19-35,3,A. Anderson makes 3-pt shot from 23 ft (assist by D. Williams)
11:11.0,Shooting foul by B. Lopez (drawn by P. Jones),,19-35,,
11:11.0,P. Jones makes free throw 1 of 2,1,20-35,,
11:11.0,,,20-35,,K. Garnett enters the game for B. Lopez
11:11.0,P. Jones makes free throw 2 of 2,1,21-35,,
10:57.0,,,21-35,,K. Garnett misses 2-pt shot from 20 ft
10:56.0,,,21-35,,Offensive rebound by J. Jack
10:50.0,,,21-35,,D. Williams misses 3-pt shot from 24 ft
10:49.0,Defensive rebound by K. Perkins,,21-35,,
10:33.0,S. Telfair misses 3-pt shot from 24 ft,,21-35,,
10:32.0,,,21-35,,Defensive rebound by K. Garnett
10:26.0,,,21-35,,J. Jack misses 2-pt shot from 19 ft
10:25.0,Defensive rebound by P. Jones,,21-35,,
10:08.0,K. Perkins misses 2-pt shot from 8 ft,,21-35,,
10:07.0,,,21-35,,Defensive rebound by K. Garnett
9:47.0,,,21-37,2,K. Garnett makes 2-pt shot from 13 ft
9:30.0,N. Collison misses 3-pt shot from 22 ft,,21-37,,
9:29.0,,,21-37,,Defensive rebound by M. Teletovic
9:25.0,,,21-37,,Shooting foul by N. Collison (drawn by D. Williams)
9:25.0,,,21-38,1,D. Williams makes free throw 1 of 2
9:25.0,,,21-39,1,D. Williams makes free throw 2 of 2
9:03.0,L. Thomas misses 2-pt shot from 6 ft,,21-39,,
9:02.0,,,21-39,,Defensive rebound by K. Garnett
8:58.0,Personal foul by N. Collison (drawn by J. Jack),,21-39,,
8:58.0,Official timeout,,21-39,,
8:58.0,R. Jackson enters the game for L. Thomas,,21-39,,
8:47.0,,,21-42,3,A. Anderson makes 3-pt shot from 25 ft (assist by K. Garnett)
8:34.0,,,21-42,,Personal foul by M. Teletovic (drawn by S. Telfair)
8:21.0,R. Jackson makes 2-pt shot from 4 ft,2,23-42,,
8:01.0,,,23-44,2,A. Anderson makes 2-pt shot from 1 ft
7:44.0,Turnover by R. Jackson (bad pass; steal by K. Garnett),,23-44,,
7:26.0,,,23-44,,Turnover by M. Teletovic (traveling)
7:26.0,,,23-44,,B. Lopez enters the game for M. Teletovic
7:15.0,R. Jackson misses 2-pt shot from 1 ft,,23-44,,
7:14.0,,,23-44,,Defensive rebound by B. Lopez
7:03.0,,,23-44,,B. Lopez misses 2-pt shot from 8 ft
7:02.0,Defensive rebound by R. Jackson,,23-44,,
6:38.0,R. Jackson makes 3-pt shot from 24 ft (assist by S. Telfair),3,26-44,,
6:28.0,Personal foul by K. Perkins (drawn by D. Williams),,26-44,,
6:28.0,S. Ibaka enters the game for N. Collison,,26-44,,
6:13.0,,,26-44,,K. Garnett misses 2-pt shot from 1 ft
6:12.0,Defensive rebound by R. Jackson,,26-44,,
6:04.0,P. Jones misses 2-pt shot from 9 ft,,26-44,,
6:03.0,,,26-44,,Defensive rebound by A. Anderson
5:49.0,,,26-46,2,D. Williams makes 2-pt shot from 2 ft
5:31.0,R. Jackson misses 3-pt shot from 24 ft,,26-46,,
5:30.0,,,26-46,,Defensive rebound by B. Lopez
5:20.0,,,26-46,,B. Lopez misses 2-pt shot from 18 ft
5:19.0,Defensive rebound by S. Telfair,,26-46,,
5:13.0,Oklahoma City full timeout,,26-46,,
5:13.0,,,26-46,,J. Johnson enters the game for A. Anderson
5:13.0,S. Adams enters the game for K. Perkins,,26-46,,
5:00.0,S. Telfair misses 2-pt shot from 18 ft,,26-46,,
4:59.0,,,26-46,,Defensive rebound by J. Johnson
4:44.0,,,26-48,2,K. Garnett makes 2-pt shot from 15 ft (assist by J. Jack)
4:32.0,P. Jones makes 2-pt shot from 18 ft (assist by R. Jackson),2,28-48,,
4:16.0,,,28-50,2,D. Williams makes 2-pt shot from 15 ft
3:53.0,R. Jackson makes 3-pt shot from 24 ft (assist by P. Jones),3,31-50,,
3:40.0,,,31-50,,Turnover by K. Garnett (bad pass; steal by S. Adams)
3:31.0,R. Jackson misses 3-pt shot from 24 ft,,31-50,,
3:30.0,,,31-50,,Defensive rebound by B. Lopez
3:23.0,,,31-50,,B. Lopez misses 2-pt shot from 1 ft
3:22.0,,,31-50,,Offensive rebound by B. Lopez
3:22.0,,,31-50,,Shooting foul by S. Ibaka (drawn by B. Lopez)
3:22.0,,,31-51,1,B. Lopez makes free throw 1 of 2
3:22.0,,,31-51,,B. Bogdanovic enters the game for J. Jack
3:22.0,,,31-52,1,B. Lopez makes free throw 2 of 2
3:02.0,S. Telfair misses 3-pt shot from 24 ft,,31-52,,
3:01.0,Offensive rebound by S. Ibaka,,31-52,,
3:00.0,S. Ibaka makes 2-pt shot at rim,2,33-52,,
2:43.0,,,33-54,2,B. Lopez makes 2-pt shot at rim (assist by K. Garnett)
2:43.0,,,33-54,,Shooting foul by P. Jones (drawn by B. Lopez)
2:43.0,,,33-54,,Brooklyn full timeout
2:43.0,,,33-55,1,B. Lopez makes free throw 1 of 1
2:21.0,P. Jones makes 3-pt shot from 26 ft (assist by S. Telfair),3,36-55,,
2:01.0,,,36-55,,J. Johnson misses 2-pt shot from 14 ft
2:00.0,Defensive rebound by S. Ibaka,,36-55,,
1:45.0,P. Jones misses 3-pt shot from 23 ft,,36-55,,
1:44.0,,,36-55,,Defensive rebound by K. Garnett
1:32.0,,,36-55,,D. Williams misses 3-pt shot from 23 ft
1:31.0,Defensive rebound by S. Adams,,36-55,,
1:24.0,,,36-55,,Personal foul by K. Garnett (drawn by S. Ibaka)
1:24.0,,,36-55,,A. Anderson enters the game for J. Johnson
1:24.0,,,36-55,,M. Plumlee enters the game for K. Garnett
1:11.0,S. Ibaka makes 2-pt shot from 8 ft,2,38-55,,
0:56.0,,,38-55,,Turnover by D. Williams (bad pass; steal by S. Ibaka)
0:50.0,P. Jones makes 2-pt shot from 8 ft (assist by R. Jackson),2,40-55,,
0:38.0,,,40-55,,B. Bogdanovic misses 2-pt shot from 13 ft (block by S. Ibaka)
0:37.0,,,40-55,,Offensive rebound by Team
0:32.0,,,40-57,2,B. Lopez makes 2-pt shot from 16 ft (assist by D. Williams)
0:08.0,S. Telfair misses 3-pt shot from 22 ft,,40-57,,
0:08.0,Offensive rebound by Team,,40-57,,
0:08.0,,,40-57,,J. Jordan enters the game for B. Lopez
0:05.0,S. Ibaka misses 2-pt shot from 18 ft,,40-57,,
0:04.0,,,40-57,,Defensive rebound by B. Bogdanovic
0:00.0,,,40-59,2,M. Plumlee makes 2-pt shot at rim (assist by B. Bogdanovic)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,P. Jones misses 3-pt shot from 24 ft,,40-59,,
11:46.0,Offensive rebound by Team,,40-59,,
11:46.0,,,40-59,,Loose ball foul by K. Garnett (drawn by S. Ibaka)
11:33.0,R. Jackson makes 2-pt shot from 1 ft,2,42-59,,
11:14.0,,,42-59,,K. Garnett misses 2-pt shot from 17 ft
11:13.0,,,42-59,,Offensive rebound by Team
11:09.0,,,42-61,2,B. Lopez makes 2-pt shot from 4 ft (assist by J. Johnson)
11:09.0,,,42-61,,Shooting foul by S. Adams (drawn by B. Lopez)
11:09.0,,,42-62,1,B. Lopez makes free throw 1 of 1
10:50.0,P. Jones makes 2-pt shot from 10 ft,2,44-62,,
10:35.0,Violation by S. Ibaka (def goaltending),,44-62,,
10:35.0,,,44-64,2,J. Johnson makes 2-pt shot from 5 ft
10:35.0,Technical foul by S. Telfair,,44-64,,
10:35.0,,,44-65,1,D. Williams makes technical free throw
10:21.0,Shooting foul by K. Garnett (drawn by S. Adams),,44-65,,
10:21.0,S. Adams misses free throw 1 of 2,,44-65,,
10:21.0,Offensive rebound by Team,,44-65,,
10:21.0,S. Adams makes free throw 2 of 2,1,45-65,,
10:02.0,,,45-65,,J. Johnson misses 2-pt shot from 22 ft
10:01.0,Defensive rebound by S. Adams,,45-65,,
9:55.0,Shooting foul by B. Bogdanovic (drawn by R. Jackson),,45-65,,
9:55.0,R. Jackson makes free throw 1 of 2,1,46-65,,
9:55.0,R. Jackson makes free throw 2 of 2,1,47-65,,
9:43.0,,,47-65,,B. Bogdanovic misses 3-pt shot from 23 ft (block by R. Jackson)
9:42.0,,,47-65,,Offensive rebound by B. Lopez
9:37.0,,,47-67,2,B. Lopez makes 2-pt shot from 2 ft
9:37.0,,,47-67,,Shooting foul by S. Adams (drawn by B. Lopez)
9:37.0,,,47-68,1,B. Lopez makes free throw 1 of 1
9:24.0,Offensive foul by R. Jackson,,47-68,,
9:24.0,Turnover by R. Jackson (offensive foul),,47-68,,
9:08.0,,,47-70,2,K. Garnett makes 2-pt shot from 17 ft (assist by J. Johnson)
9:02.0,Oklahoma City full timeout,,47-70,,
8:47.0,R. Jackson makes 2-pt shot from 2 ft,2,49-70,,
8:20.0,,,49-70,,D. Williams misses 2-pt shot from 17 ft
8:20.0,Defensive rebound by P. Jones,,49-70,,
8:13.0,,,49-70,,Violation by D. Williams (kicked ball)
8:03.0,S. Adams makes 2-pt shot at rim (assist by S. Telfair),2,51-70,,
7:53.0,,,51-70,,Turnover by J. Johnson (lost ball)
7:53.0,,,51-70,,J. Jack enters the game for B. Bogdanovic
7:38.0,,,51-70,,Personal foul by K. Garnett (drawn by S. Ibaka)
7:38.0,,,51-70,,M. Teletovic enters the game for K. Garnett
7:22.0,S. Ibaka makes 2-pt shot from 21 ft,2,53-70,,
7:07.0,,,53-70,,M. Teletovic misses 3-pt shot from 23 ft
7:06.0,Defensive rebound by S. Adams,,53-70,,
7:00.0,S. Telfair makes 2-pt shot from 2 ft,2,55-70,,
7:00.0,Violation by Team (delay of game),,55-70,,
7:00.0,,,55-70,,Brooklyn full timeout
6:49.0,,,55-70,,Offensive foul by D. Williams
6:49.0,,,55-70,,Turnover by D. Williams (offensive foul)
6:39.0,Turnover by R. Jackson (lost ball; steal by J. Jack),,55-70,,
6:26.0,Def 3 sec tech foul by S. Adams,,55-70,,
6:26.0,,,55-71,1,D. Williams makes technical free throw
6:12.0,,,55-71,,J. Jack misses 2-pt shot from 15 ft
6:11.0,Defensive rebound by S. Ibaka,,55-71,,
6:03.0,S. Telfair makes 2-pt shot from 2 ft,2,57-71,,
5:41.0,,,57-74,3,M. Teletovic makes 3-pt shot from 26 ft (assist by D. Williams)
5:20.0,S. Telfair makes 3-pt shot from 24 ft (assist by S. Ibaka),3,60-74,,
5:06.0,,,60-74,,Shooting foul by S. Adams (drawn by B. Lopez)
5:06.0,,,60-75,1,B. Lopez makes free throw 1 of 2
5:06.0,K. Perkins enters the game for S. Adams,,60-75,,
5:06.0,,,60-75,,B. Lopez misses free throw 2 of 2
5:05.0,,,60-75,,Offensive rebound by M. Teletovic
4:51.0,,,60-77,2,B. Lopez makes 2-pt shot at rim (assist by D. Williams)
4:34.0,Turnover by S. Telfair (bad pass; steal by B. Lopez),,60-77,,
4:18.0,,,60-77,,J. Johnson misses 2-pt shot from 13 ft
4:17.0,Defensive rebound by S. Ibaka,,60-77,,
4:04.0,Turnover by S. Ibaka (bad pass; steal by J. Jack),,60-77,,
3:57.0,,,60-77,,M. Teletovic misses 3-pt shot from 25 ft
3:56.0,Defensive rebound by S. Ibaka,,60-77,,
3:36.0,P. Jones misses 2-pt shot from 16 ft,,60-77,,
3:35.0,,,60-77,,Defensive rebound by D. Williams
3:28.0,,,60-77,,Brooklyn full timeout
3:28.0,,,60-77,,M. Plumlee enters the game for B. Lopez
3:28.0,L. Thomas enters the game for P. Jones,,60-77,,
3:14.0,,,60-77,,J. Jack misses 2-pt shot from 12 ft
3:13.0,Defensive rebound by R. Jackson,,60-77,,
3:04.0,R. Jackson misses 2-pt shot from 7 ft,,60-77,,
3:03.0,Offensive rebound by R. Jackson,,60-77,,
2:59.0,S. Ibaka misses 3-pt shot from 24 ft,,60-77,,
2:58.0,,,60-77,,Defensive rebound by M. Plumlee
2:49.0,,,60-79,2,J. Johnson makes 2-pt shot from 4 ft
2:40.0,Turnover by S. Telfair (bad pass; steal by M. Teletovic),,60-79,,
2:37.0,,,60-81,2,M. Teletovic makes 2-pt shot at rim
2:08.0,R. Jackson misses 3-pt shot from 25 ft,,60-81,,
2:07.0,,,60-81,,Defensive rebound by J. Johnson
1:58.0,,,60-81,,M. Teletovic misses 3-pt shot from 23 ft
1:57.0,Defensive rebound by L. Thomas,,60-81,,
1:40.0,S. Ibaka makes 2-pt shot from 5 ft,2,62-81,,
1:23.0,,,62-83,2,M. Plumlee makes 2-pt shot at rim (assist by M. Teletovic)
1:00.0,L. Thomas misses 2-pt shot from 4 ft,,62-83,,
1:00.0,,,62-83,,Defensive rebound by J. Johnson
0:43.0,,,62-83,,D. Williams misses 3-pt shot from 23 ft
0:42.0,Defensive rebound by K. Perkins,,62-83,,
0:38.0,Turnover by K. Perkins (bad pass; steal by D. Williams),,62-83,,
0:37.0,,,62-85,2,D. Williams makes 2-pt shot from 1 ft
0:31.0,S. Telfair misses 3-pt shot from 29 ft,,62-85,,
0:29.0,,,62-85,,Defensive rebound by J. Johnson
0:08.0,,,62-85,,M. Plumlee misses 2-pt shot at rim (block by S. Ibaka)
0:05.0,Defensive rebound by S. Telfair,,62-85,,
0:01.0,R. Jackson misses 3-pt shot from 25 ft,,62-85,,
0:00.0,Offensive rebound by Team,,62-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,62-85,,M. Teletovic misses 2-pt shot from 2 ft
11:43.0,Defensive rebound by L. Thomas,,62-85,,
11:31.0,R. Jackson makes 2-pt shot at rim,2,64-85,,
11:19.0,,,64-85,,J. Jack misses 2-pt shot from 1 ft
11:18.0,,,64-85,,Offensive rebound by M. Plumlee
11:17.0,,,64-85,,M. Plumlee misses 2-pt shot from 1 ft
11:16.0,Defensive rebound by P. Jones,,64-85,,
10:59.0,R. Jackson misses 2-pt shot from 4 ft,,64-85,,
10:58.0,,,64-85,,Defensive rebound by M. Plumlee
10:47.0,,,64-88,3,A. Anderson makes 3-pt shot from 23 ft (assist by M. Teletovic)
10:24.0,K. Perkins misses 2-pt shot from 8 ft,,64-88,,
10:23.0,,,64-88,,Defensive rebound by M. Plumlee
10:19.0,,,64-88,,Shooting foul by K. Perkins (drawn by D. Williams)
10:19.0,,,64-89,1,D. Williams makes free throw 1 of 2
10:19.0,,,64-89,,B. Lopez enters the game for M. Plumlee
10:19.0,S. Adams enters the game for K. Perkins,,64-89,,
10:19.0,,,64-90,1,D. Williams makes free throw 2 of 2
10:04.0,Turnover by P. Jones (lost ball; steal by J. Jack),,64-90,,
9:58.0,Personal foul by R. Jackson (drawn by D. Williams),,64-90,,
9:51.0,,,64-90,,B. Lopez misses 2-pt shot from 3 ft
9:50.0,Defensive rebound by P. Jones,,64-90,,
9:34.0,S. Adams misses 2-pt shot from 1 ft (block by B. Lopez),,64-90,,
9:33.0,Offensive rebound by Team,,64-90,,
9:30.0,,,64-90,,Personal foul by A. Anderson (drawn by P. Jones)
9:27.0,L. Thomas misses 2-pt shot at rim (block by B. Lopez),,64-90,,
9:26.0,Offensive rebound by S. Adams,,64-90,,
9:20.0,R. Jackson misses 3-pt shot from 24 ft,,64-90,,
9:18.0,,,64-90,,Defensive rebound by J. Jack
9:13.0,,,64-93,3,M. Teletovic makes 3-pt shot from 24 ft (assist by D. Williams)
9:12.0,Oklahoma City full timeout,,64-93,,
9:12.0,S. Telfair enters the game for R. Jackson,,64-93,,
8:55.0,L. Thomas misses 2-pt shot from 18 ft,,64-93,,
8:54.0,Offensive rebound by S. Adams,,64-93,,
8:53.0,S. Adams misses 2-pt shot from 1 ft,,64-93,,
8:52.0,,,64-93,,Defensive rebound by D. Williams
8:42.0,,,64-95,2,A. Anderson makes 2-pt shot from 20 ft (assist by D. Williams)
8:22.0,L. Thomas misses 2-pt shot from 20 ft,,64-95,,
8:21.0,Offensive rebound by N. Collison,,64-95,,
8:16.0,P. Jones makes 3-pt shot from 24 ft (assist by S. Telfair),3,67-95,,
7:57.0,,,67-95,,M. Teletovic misses 3-pt shot from 26 ft
7:56.0,Defensive rebound by S. Telfair,,67-95,,
7:50.0,N. Collison makes 2-pt shot from 16 ft (assist by S. Telfair),2,69-95,,
7:27.0,,,69-97,2,B. Lopez makes 2-pt shot from 10 ft
7:27.0,Oklahoma City full timeout,,69-97,,
7:27.0,R. Jackson enters the game for P. Jones,,69-97,,
7:27.0,,,69-97,,B. Bogdanovic enters the game for D. Williams
7:10.0,,,69-97,,Personal foul by A. Anderson (drawn by R. Jackson)
7:04.0,Shooting foul by M. Teletovic (drawn by S. Telfair),,69-97,,
7:04.0,S. Telfair makes free throw 1 of 2,1,70-97,,
7:04.0,S. Telfair misses free throw 2 of 2,,70-97,,
7:03.0,Offensive rebound by S. Telfair,,70-97,,
6:54.0,S. Adams makes 2-pt shot at rim (assist by S. Telfair),2,72-97,,
6:38.0,,,72-99,2,A. Anderson makes 2-pt shot from 2 ft
6:25.0,,,72-99,,Def 3 sec tech foul by B. Lopez
6:25.0,R. Jackson makes technical free throw,1,73-99,,
6:16.0,Turnover by S. Telfair (lost ball; steal by J. Jack),,73-99,,
6:12.0,,,73-101,2,B. Bogdanovic makes 2-pt shot from 18 ft
6:00.0,S. Adams misses 2-pt shot from 4 ft,,73-101,,
5:58.0,,,73-101,,Defensive rebound by B. Lopez
5:55.0,,,73-101,,Brooklyn full timeout
5:55.0,,,73-101,,M. Plumlee enters the game for B. Lopez
5:42.0,,,73-101,,A. Anderson misses 2-pt shot from 15 ft
5:41.0,Defensive rebound by S. Adams,,73-101,,
5:30.0,Turnover by R. Jackson (bad pass; steal by B. Bogdanovic),,73-101,,
5:17.0,,,73-104,3,A. Anderson makes 3-pt shot from 25 ft (assist by B. Bogdanovic)
5:03.0,N. Collison misses 2-pt shot from 17 ft,,73-104,,
5:02.0,,,73-104,,Defensive rebound by B. Bogdanovic
4:51.0,,,73-106,2,B. Bogdanovic makes 2-pt shot from 3 ft
4:41.0,,,73-106,,Personal foul by J. Jack (drawn by S. Telfair)
4:41.0,,,73-106,,S. Karasev enters the game for M. Teletovic
4:41.0,,,73-106,,A. Kirilenko enters the game for J. Jack
4:41.0,,,73-106,,J. Jordan enters the game for M. Plumlee
4:41.0,,,73-106,,J. Gutierrez enters the game for A. Anderson
4:32.0,L. Thomas misses 2-pt shot from 16 ft,,73-106,,
4:31.0,Offensive rebound by Team,,73-106,,
4:22.0,S. Adams makes 2-pt shot at rim,2,75-106,,
4:07.0,,,75-108,2,J. Gutierrez makes 2-pt shot from 2 ft (assist by S. Karasev)
3:51.0,Turnover by L. Thomas (bad pass),,75-108,,
3:34.0,,,75-108,,J. Gutierrez misses 2-pt shot from 17 ft
3:33.0,,,75-108,,Offensive rebound by S. Karasev
3:32.0,Personal foul by N. Collison (drawn by S. Karasev),,75-108,,
3:32.0,,,75-109,1,S. Karasev makes free throw 1 of 2
3:32.0,,,75-110,1,S. Karasev makes free throw 2 of 2
3:25.0,,,75-110,,Personal foul by A. Kirilenko (drawn by N. Collison)
3:25.0,N. Collison makes free throw 1 of 2,1,76-110,,
3:25.0,N. Collison misses free throw 2 of 2,,76-110,,
3:24.0,Offensive rebound by N. Collison,,76-110,,
3:17.0,,,76-110,,Personal foul by J. Gutierrez (drawn by S. Telfair)
3:17.0,S. Telfair makes free throw 1 of 2,1,77-110,,
3:17.0,S. Telfair makes free throw 2 of 2,1,78-110,,
3:06.0,,,78-112,2,J. Jordan makes 2-pt shot from 2 ft (assist by A. Kirilenko)
2:58.0,Offensive charge foul by R. Jackson,,78-112,,
2:58.0,Turnover by R. Jackson (offensive foul),,78-112,,
2:58.0,Official timeout,,78-112,,
2:41.0,,,78-112,,S. Karasev misses 3-pt shot from 23 ft
