time,Golden State,pts.away,score,pts.home,Milwaukee
1:03.0,,,21-22,,Defensive rebound by O. Mayo
0:55.0,,,21-22,,J. Bayless misses 2-pt shot from 6 ft
0:54.0,,,21-22,,Offensive rebound by J. Henson
0:51.0,,,21-22,,Turnover by J. Henson (step out of bounds)
0:51.0,,,21-22,,J. Dudley enters the game for E. Ilyasova
0:38.0,S. Curry makes 2-pt shot at rim,2,23-22,,
0:38.0,Shooting foul by J. Dudley (drawn by S. Curry),,23-22,,
0:38.0,S. Curry makes free throw 1 of 1,1,24-22,,
0:26.0,Jump ball: G. Antetokounmpo vs. S. Curry (J. Dudley gains possession),,,,Jump ball: G. Antetokounmpo vs. S. Curry (J. Dudley gains possession)
0:18.0,,,24-22,,Shooting foul by J. McAdoo (drawn by G. Antetokounmpo)
0:18.0,,,24-23,1,G. Antetokounmpo makes free throw 1 of 2
0:18.0,L. Barbosa enters the game for J. McAdoo,,24-23,,
0:18.0,,,24-23,,G. Antetokounmpo misses free throw 2 of 2
0:18.0,,,24-23,,Offensive rebound by J. Dudley
0:03.0,,,24-23,,G. Antetokounmpo misses 2-pt shot from 11 ft
0:02.0,Defensive rebound by L. Barbosa,,24-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,24-23,,M. Carter-Williams misses 2-pt shot from 1 ft
11:48.0,,,24-23,,Offensive rebound by J. Henson
11:41.0,,,24-23,,J. Henson misses 2-pt shot at rim (block by J. McAdoo)
11:38.0,Defensive rebound by M. Speights,,24-23,,
11:21.0,Shooting foul by J. Henson (drawn by M. Speights),,24-23,,
11:21.0,M. Speights makes free throw 1 of 2,1,25-23,,
11:21.0,M. Speights makes free throw 2 of 2,1,26-23,,
11:04.0,,,26-23,,M. Carter-Williams misses 2-pt shot from 6 ft
11:02.0,,,26-23,,Offensive rebound by J. Henson
11:02.0,Loose ball foul by M. Speights (drawn by J. Henson),,26-23,,
11:02.0,K. Thompson enters the game for J. Holiday,,26-23,,
11:02.0,,,26-23,,M. Plumlee enters the game for J. Henson
10:59.0,,,26-23,,J. Bayless misses 2-pt shot from 19 ft
10:56.0,Defensive rebound by M. Speights,,26-23,,
10:50.0,Turnover by S. Livingston (lost ball),,26-23,,
10:45.0,,,26-23,,Offensive foul by O. Mayo
10:45.0,,,26-23,,Turnover by O. Mayo (offensive foul)
10:45.0,Golden State full timeout,,26-23,,
10:35.0,,,26-23,,Personal foul by O. Mayo (drawn by K. Thompson)
10:27.0,S. Livingston makes 2-pt shot from 1 ft,2,28-23,,
10:09.0,,,28-25,2,J. Dudley makes 2-pt shot from 1 ft
9:57.0,J. McAdoo makes 2-pt shot at rim (assist by M. Speights),2,30-25,,
9:45.0,,,30-25,,Turnover by M. Carter-Williams (lost ball)
9:30.0,M. Speights makes 2-pt shot from 16 ft (assist by S. Livingston),2,32-25,,
9:12.0,,,32-28,3,O. Mayo makes 3-pt shot from 23 ft (assist by M. Carter-Williams)
9:02.0,M. Speights makes 2-pt shot from 18 ft (assist by S. Livingston),2,34-28,,
8:43.0,,,34-28,,O. Mayo misses 2-pt shot from 17 ft
8:42.0,Defensive rebound by M. Speights,,34-28,,
8:38.0,,,34-28,,Personal foul by O. Mayo (drawn by L. Barbosa)
8:38.0,Official timeout,,34-28,,
8:38.0,,,34-28,,K. Middleton enters the game for O. Mayo
8:32.0,M. Speights misses 2-pt shot at rim,,34-28,,
8:29.0,,,34-28,,Defensive rebound by J. Dudley
8:09.0,,,34-28,,K. Middleton misses 3-pt shot from 25 ft
8:08.0,Defensive rebound by K. Thompson,,34-28,,
7:56.0,S. Livingston makes 2-pt shot at rim (assist by K. Thompson),2,36-28,,
7:45.0,,,36-28,,Offensive charge foul by M. Carter-Williams
7:45.0,,,36-28,,Turnover by M. Carter-Williams (offensive foul)
7:26.0,S. Livingston misses 2-pt shot from 8 ft,,36-28,,
7:25.0,,,36-28,,Defensive rebound by M. Plumlee
7:17.0,,,36-28,,M. Carter-Williams misses 2-pt shot from 16 ft
7:16.0,Defensive rebound by S. Livingston,,36-28,,
7:16.0,,,36-28,,Personal foul by M. Carter-Williams (drawn by S. Livingston)
7:16.0,,,36-28,,T. Ennis enters the game for M. Carter-Williams
7:01.0,M. Speights makes 2-pt shot from 15 ft (assist by K. Thompson),2,38-28,,
6:45.0,,,38-28,,J. Dudley misses 2-pt shot from 4 ft (block by J. McAdoo)
6:43.0,Defensive rebound by M. Speights,,38-28,,
6:41.0,Turnover by M. Speights (bad pass),,38-28,,
6:28.0,,,38-30,2,K. Middleton makes 2-pt shot from 5 ft (assist by M. Plumlee)
6:15.0,M. Speights misses 2-pt shot from 14 ft,,38-30,,
6:14.0,Offensive rebound by K. Thompson,,38-30,,
6:14.0,K. Thompson misses 2-pt shot from 1 ft,,38-30,,
6:11.0,,,38-30,,Defensive rebound by K. Middleton
6:03.0,,,38-30,,Turnover by J. Bayless (bad pass; steal by L. Barbosa)
5:59.0,L. Barbosa makes 2-pt shot from 1 ft,2,40-30,,
5:59.0,,,40-30,,Milwaukee full timeout
5:59.0,,,40-30,,E. Ilyasova enters the game for J. Bayless
5:59.0,,,40-30,,Z. Pachulia enters the game for J. Dudley
5:59.0,,,40-30,,G. Antetokounmpo enters the game for M. Plumlee
5:51.0,,,40-30,,Offensive foul by G. Antetokounmpo
5:51.0,,,40-30,,Turnover by G. Antetokounmpo (offensive foul)
5:39.0,Turnover by J. McAdoo (bad pass; steal by T. Ennis),,40-30,,
5:30.0,,,40-30,,E. Ilyasova misses 3-pt shot from 25 ft
5:28.0,Defensive rebound by J. McAdoo,,40-30,,
5:19.0,Turnover by J. McAdoo (bad pass; steal by T. Ennis),,40-30,,
5:12.0,,,40-30,,E. Ilyasova misses 2-pt shot from 14 ft
5:10.0,Defensive rebound by K. Thompson,,40-30,,
5:01.0,Turnover by M. Speights (traveling),,40-30,,
4:50.0,,,40-30,,K. Middleton misses 2-pt shot from 13 ft
4:49.0,Defensive rebound by J. McAdoo,,40-30,,
4:29.0,M. Speights misses 2-pt shot from 21 ft,,40-30,,
4:28.0,,,40-30,,Defensive rebound by G. Antetokounmpo
4:21.0,,,40-30,,K. Middleton misses 3-pt shot from 24 ft
4:19.0,Defensive rebound by M. Speights,,40-30,,
4:16.0,Golden State full timeout,,40-30,,
4:16.0,S. Curry enters the game for S. Livingston,,40-30,,
4:16.0,H. Barnes enters the game for J. McAdoo,,40-30,,
4:11.0,,,40-30,,Personal foul by T. Ennis (drawn by K. Thompson)
4:11.0,K. Thompson makes free throw 1 of 2,1,41-30,,
4:11.0,B. Rush enters the game for L. Barbosa,,41-30,,
4:11.0,K. Thompson makes free throw 2 of 2,1,42-30,,
4:00.0,Personal foul by B. Rush (drawn by G. Antetokounmpo),,42-30,,
3:48.0,Personal foul by H. Barnes (drawn by E. Ilyasova),,42-30,,
3:41.0,,,42-30,,Z. Pachulia misses 2-pt shot from 4 ft
3:40.0,,,42-30,,Offensive rebound by Z. Pachulia
3:39.0,,,42-30,,Z. Pachulia misses 2-pt shot from 4 ft
3:37.0,Defensive rebound by H. Barnes,,42-30,,
3:29.0,H. Barnes misses 2-pt shot at rim,,42-30,,
3:25.0,,,42-30,,Defensive rebound by Z. Pachulia
3:08.0,,,42-32,2,Z. Pachulia makes 2-pt shot from 15 ft (assist by T. Ennis)
2:59.0,,,42-32,,Shooting block foul by T. Ennis (drawn by S. Curry)
2:59.0,F. Ezeli enters the game for M. Speights,,42-32,,
2:59.0,S. Curry makes free throw 1 of 2,1,43-32,,
2:59.0,S. Curry makes free throw 2 of 2,1,44-32,,
2:32.0,,,44-32,,K. Middleton misses 2-pt shot from 14 ft
2:32.0,Defensive rebound by S. Curry,,44-32,,
2:21.0,S. Curry makes 3-pt shot from 26 ft (assist by F. Ezeli),3,47-32,,
1:56.0,,,47-34,2,Z. Pachulia makes 2-pt shot from 14 ft (assist by K. Middleton)
1:36.0,Turnover by S. Curry (bad pass; steal by K. Middleton),,47-34,,
1:31.0,,,47-36,2,G. Antetokounmpo makes 2-pt shot at rim (assist by T. Ennis)
1:15.0,Shooting foul by E. Ilyasova (drawn by H. Barnes),,47-36,,
1:15.0,H. Barnes misses free throw 1 of 2,,47-36,,
1:15.0,Offensive rebound by Team,,47-36,,
1:15.0,,,47-36,,J. Bayless enters the game for T. Ennis
1:15.0,H. Barnes makes free throw 2 of 2,1,48-36,,
1:08.0,,,48-38,2,K. Middleton makes 2-pt shot at rim (assist by J. Bayless)
0:57.0,Turnover by S. Curry (bad pass; steal by J. Bayless),,48-38,,
0:56.0,Personal foul by S. Curry (drawn by J. Bayless),,48-38,,
0:48.0,,,48-38,,K. Middleton misses 2-pt shot from 19 ft
0:46.0,Defensive rebound by B. Rush,,48-38,,
0:38.0,K. Thompson misses 2-pt shot from 11 ft,,48-38,,
0:36.0,Offensive rebound by F. Ezeli,,48-38,,
0:31.0,Turnover by F. Ezeli (bad pass),,48-38,,
0:09.0,,,48-38,,E. Ilyasova misses 3-pt shot from 25 ft
0:07.0,Defensive rebound by S. Curry,,48-38,,
0:00.0,S. Curry misses 3-pt shot from 31 ft,,48-38,,
0:00.0,Offensive rebound by Team,,48-38,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:29.0,,,48-40,2,Z. Pachulia makes 2-pt shot at rim (assist by E. Ilyasova)
11:26.0,,,48-40,,Personal foul by Z. Pachulia (drawn by S. Curry)
11:19.0,D. Lee makes 2-pt shot at rim,2,50-40,,
11:01.0,,,50-42,2,E. Ilyasova makes 2-pt shot at rim (assist by M. Carter-Williams)
10:43.0,K. Thompson misses 2-pt shot from 6 ft,,50-42,,
10:42.0,Offensive rebound by D. Lee,,50-42,,
10:37.0,Turnover by S. Curry (bad pass; steal by M. Carter-Williams),,50-42,,
10:37.0,Personal foul by S. Curry (drawn by E. Ilyasova),,50-42,,
10:20.0,,,50-44,2,G. Antetokounmpo makes 2-pt shot at rim
10:02.0,S. Curry makes 3-pt shot from 24 ft (assist by K. Thompson),3,53-44,,
9:49.0,,,53-46,2,M. Carter-Williams makes 2-pt shot from 9 ft
9:34.0,K. Thompson makes 2-pt shot from 1 ft (assist by A. Bogut),2,55-46,,
9:14.0,,,55-46,,E. Ilyasova misses 3-pt shot from 24 ft
9:13.0,Defensive rebound by K. Thompson,,55-46,,
9:02.0,Turnover by D. Lee (lost ball; steal by E. Ilyasova),,55-46,,
8:57.0,,,55-46,,Shooting foul by A. Bogut (drawn by E. Ilyasova)
8:57.0,,,55-47,1,E. Ilyasova makes free throw 1 of 2
8:57.0,,,55-48,1,E. Ilyasova makes free throw 2 of 2
8:44.0,A. Bogut makes 2-pt shot at rim (assist by S. Curry),2,57-48,,
8:25.0,,,57-50,2,K. Middleton makes 2-pt shot from 14 ft (assist by M. Carter-Williams)
8:12.0,Turnover by S. Curry (bad pass),,57-50,,
8:03.0,,,57-50,,Turnover by K. Middleton (lost ball; steal by K. Thompson)
7:57.0,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry),3,60-50,,
7:44.0,,,60-50,,Shooting foul by S. Curry (drawn by M. Carter-Williams)
7:44.0,,,60-51,1,M. Carter-Williams makes free throw 1 of 2
7:44.0,S. Livingston enters the game for S. Curry,,60-51,,
7:44.0,,,60-52,1,M. Carter-Williams makes free throw 2 of 2
7:28.0,D. Lee makes 2-pt shot from 10 ft,2,62-52,,
7:16.0,,,62-52,,E. Ilyasova misses 3-pt shot from 25 ft
7:15.0,Defensive rebound by A. Bogut,,62-52,,
7:04.0,H. Barnes makes 2-pt shot at rim (assist by S. Livingston),2,64-52,,
6:45.0,,,64-54,2,K. Middleton makes 2-pt shot from 16 ft (assist by Z. Pachulia)
6:33.0,H. Barnes misses 2-pt shot from 13 ft,,64-54,,
6:32.0,,,64-54,,Defensive rebound by E. Ilyasova
6:19.0,,,64-54,,K. Middleton misses 2-pt shot from 16 ft
6:18.0,Defensive rebound by A. Bogut,,64-54,,
6:06.0,,,64-54,,Personal block foul by G. Antetokounmpo (drawn by D. Lee)
5:51.0,K. Thompson makes 2-pt shot from 17 ft,2,66-54,,
5:44.0,,,66-54,,Shooting foul by H. Barnes (drawn by G. Antetokounmpo)
5:44.0,,,66-54,,Milwaukee full timeout
5:44.0,,,66-54,,J. Dudley enters the game for E. Ilyasova
5:44.0,B. Rush enters the game for H. Barnes,,66-54,,
5:44.0,,,66-54,,G. Antetokounmpo misses free throw 1 of 2
5:44.0,,,66-54,,Offensive rebound by Team
5:44.0,,,66-55,1,G. Antetokounmpo makes free throw 2 of 2
5:27.0,K. Thompson makes 2-pt shot from 16 ft,2,68-55,,
5:06.0,,,68-55,,M. Carter-Williams misses 2-pt shot from 17 ft
5:05.0,Defensive rebound by D. Lee,,68-55,,
4:55.0,K. Thompson makes 2-pt shot from 10 ft,2,70-55,,
4:37.0,,,70-57,2,M. Carter-Williams makes 2-pt shot at rim
4:20.0,S. Livingston misses 2-pt shot from 12 ft,,70-57,,
4:19.0,,,70-57,,Defensive rebound by J. Dudley
4:01.0,,,70-57,,Z. Pachulia misses 2-pt shot from 13 ft
4:00.0,Defensive rebound by S. Livingston,,70-57,,
3:51.0,K. Thompson makes 3-pt shot from 26 ft (assist by S. Livingston),3,73-57,,
3:50.0,,,73-57,,Milwaukee full timeout
3:50.0,M. Speights enters the game for A. Bogut,,73-57,,
3:50.0,,,73-57,,J. Henson enters the game for Z. Pachulia
3:48.0,,,73-57,,J. Bayless enters the game for K. Middleton
3:26.0,,,73-57,,Shooting foul by B. Rush (drawn by J. Bayless)
3:26.0,,,73-58,1,J. Bayless makes free throw 1 of 3
3:26.0,,,73-59,1,J. Bayless makes free throw 2 of 3
3:26.0,,,73-59,,O. Mayo enters the game for M. Carter-Williams
3:26.0,,,73-60,1,J. Bayless makes free throw 3 of 3
3:08.0,D. Lee makes 2-pt shot at rim (assist by M. Speights),2,75-60,,
2:42.0,,,75-60,,J. Bayless misses 2-pt shot from 6 ft
2:41.0,,,75-60,,Offensive rebound by J. Henson
2:41.0,,,75-60,,J. Henson misses 2-pt shot from 1 ft
2:40.0,,,75-60,,Offensive rebound by G. Antetokounmpo
2:34.0,,,75-60,,Turnover by J. Dudley (bad pass; steal by K. Thompson)
2:31.0,Turnover by K. Thompson (bad pass; steal by J. Bayless),,75-60,,
2:21.0,,,75-60,,Offensive charge foul by J. Bayless
2:21.0,,,75-60,,Turnover by J. Bayless (offensive foul)
2:03.0,K. Thompson misses 3-pt shot from 25 ft,,75-60,,
2:01.0,,,75-60,,Defensive rebound by J. Henson
1:50.0,,,75-62,2,G. Antetokounmpo makes 2-pt shot from 18 ft
1:19.0,D. Lee makes 2-pt shot from 15 ft (assist by K. Thompson),2,77-62,,
1:07.0,,,77-62,,Turnover by J. Dudley (bad pass)
0:57.0,,,77-62,,Personal foul by G. Antetokounmpo (drawn by B. Rush)
0:57.0,Golden State full timeout,,77-62,,
0:52.0,D. Lee misses 2-pt shot from 3 ft (block by J. Henson),,77-62,,
0:52.0,Offensive rebound by Team,,77-62,,
0:49.0,B. Rush misses 2-pt shot at rim (block by J. Henson),,77-62,,
0:49.0,Offensive rebound by M. Speights,,77-62,,
0:48.0,M. Speights makes 2-pt shot from 1 ft,2,79-62,,
0:32.0,,,79-62,,J. Dudley misses 2-pt shot from 8 ft
0:31.0,,,79-62,,Offensive rebound by J. Henson
0:31.0,,,79-62,,Shooting foul by M. Speights (drawn by J. Henson)
0:31.0,,,79-62,,J. Henson misses free throw 1 of 2
0:31.0,,,79-62,,Offensive rebound by Team
0:31.0,,,79-63,1,J. Henson makes free throw 2 of 2
0:13.0,K. Thompson makes 3-pt shot from 25 ft (assist by S. Livingston),3,82-63,,
0:04.0,,,82-63,,J. Bayless misses 2-pt shot from 18 ft
0:02.0,Defensive rebound by B. Rush,,82-63,,
0:00.0,M. Speights misses 3-pt shot from 38 ft,,82-63,,
0:00.0,Offensive rebound by Team,,82-63,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,M. Speights misses 2-pt shot at rim,,82-63,,
11:43.0,,,82-63,,Defensive rebound by J. Bayless
11:29.0,,,82-63,,Shooting foul by B. Rush (drawn by O. Mayo)
11:29.0,,,82-64,1,O. Mayo makes free throw 1 of 2
11:29.0,,,82-65,1,O. Mayo makes free throw 2 of 2
11:07.0,Turnover by L. Barbosa (bad pass; steal by O. Mayo),,82-65,,
11:00.0,,,82-65,,J. Bayless misses 3-pt shot from 24 ft
10:58.0,Defensive rebound by S. Curry,,82-65,,
10:50.0,B. Rush misses 2-pt shot from 16 ft,,82-65,,
10:50.0,,,82-65,,Defensive rebound by Team
10:36.0,,,82-67,2,J. Dudley makes 2-pt shot from 16 ft (assist by O. Mayo)
10:15.0,,,82-67,,Personal foul by J. Henson (drawn by S. Curry)
10:05.0,J. McAdoo misses 2-pt shot from 3 ft (block by J. Henson),,82-67,,
10:03.0,,,82-67,,Defensive rebound by J. Bayless
9:58.0,,,82-67,,J. Dudley misses 3-pt shot from 25 ft
9:55.0,Defensive rebound by L. Barbosa,,82-67,,
9:50.0,L. Barbosa misses 2-pt shot from 15 ft,,82-67,,
9:49.0,,,82-67,,Defensive rebound by T. Ennis
9:47.0,,,82-67,,Turnover by T. Ennis (bad pass; steal by M. Speights)
9:42.0,Turnover by M. Speights (lost ball; steal by J. Dudley),,82-67,,
9:38.0,,,82-69,2,J. Dudley makes 2-pt shot at rim
9:27.0,M. Speights misses 2-pt shot from 16 ft,,82-69,,
9:26.0,,,82-69,,Defensive rebound by J. Henson
9:21.0,,,82-71,2,J. Dudley makes 2-pt shot from 16 ft (assist by O. Mayo)
9:21.0,Golden State full timeout,,82-71,,
9:21.0,K. Thompson enters the game for B. Rush,,82-71,,
9:00.0,K. Thompson misses 3-pt shot from 22 ft,,82-71,,
8:56.0,,,82-71,,Defensive rebound by J. Bayless
8:39.0,,,82-71,,T. Ennis misses 2-pt shot from 8 ft
8:38.0,,,82-71,,Offensive rebound by J. Bayless
8:35.0,,,82-71,,J. Henson misses 2-pt shot from 1 ft (block by J. McAdoo)
8:32.0,Defensive rebound by Team,,82-71,,
8:32.0,Jump ball: J. Henson vs. J. McAdoo (M. Speights gains possession),,,,Jump ball: J. Henson vs. J. McAdoo (M. Speights gains possession)
8:19.0,J. McAdoo makes 2-pt shot at rim (assist by M. Speights),2,84-71,,
8:06.0,,,84-73,2,J. Henson makes 2-pt shot at rim (assist by O. Mayo)
7:45.0,S. Curry makes 3-pt shot from 24 ft (assist by L. Barbosa),3,87-73,,
7:28.0,,,87-73,,J. Dudley misses 3-pt shot from 24 ft
7:27.0,Defensive rebound by L. Barbosa,,87-73,,
7:17.0,S. Curry misses 2-pt shot from 12 ft,,87-73,,
7:15.0,Offensive rebound by M. Speights,,87-73,,
7:15.0,M. Speights makes 2-pt shot at rim,2,89-73,,
7:03.0,,,89-73,,O. Mayo misses 3-pt shot from 25 ft
7:02.0,,,89-73,,Offensive rebound by J. Henson
7:02.0,,,89-73,,J. Henson misses 2-pt shot from 1 ft
7:01.0,,,89-73,,Offensive rebound by J. Henson
6:59.0,,,89-75,2,J. Henson makes 2-pt shot at rim
6:35.0,S. Curry makes 3-pt shot from 23 ft,3,92-75,,
6:19.0,,,92-75,,Shooting foul by L. Barbosa (drawn by T. Ennis)
6:19.0,,,92-75,,Milwaukee full timeout
6:19.0,H. Barnes enters the game for M. Speights,,92-75,,
6:19.0,S. Livingston enters the game for L. Barbosa,,92-75,,
6:19.0,,,92-76,1,T. Ennis makes free throw 1 of 2
6:19.0,,,92-76,,T. Ennis misses free throw 2 of 2
6:18.0,Defensive rebound by H. Barnes,,92-76,,
6:05.0,K. Thompson misses 2-pt shot from 15 ft,,92-76,,
6:04.0,Offensive rebound by Team,,92-76,,
6:04.0,,,92-76,,Loose ball foul by J. Bayless (drawn by J. McAdoo)
5:52.0,K. Thompson misses 3-pt shot from 27 ft,,92-76,,
5:50.0,,,92-76,,Defensive rebound by J. Bayless
5:33.0,,,92-76,,T. Ennis misses 2-pt shot at rim (block by K. Thompson)
5:31.0,Defensive rebound by H. Barnes,,92-76,,
