time,Chicago,pts.away,score,pts.home,Detroit
8:23.0,Chicago full timeout,,2-9,,
8:09.0,M. Dunleavy makes 2-pt shot from 20 ft (assist by A. Brooks),2,4-9,,
7:54.0,,,4-11,2,K. Caldwell-Pope makes 2-pt shot from 4 ft (assist by A. Drummond)
7:38.0,Turnover by M. Dunleavy (bad pass; steal by R. Jackson),,4-11,,
7:34.0,,,4-13,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
7:06.0,M. Dunleavy makes 2-pt shot at rim,2,6-13,,
7:01.0,,,6-13,,Turnover by R. Jackson (bad pass; steal by M. Dunleavy)
6:55.0,M. Dunleavy misses 3-pt shot from 24 ft,,6-13,,
6:54.0,,,6-13,,Defensive rebound by A. Drummond
6:44.0,,,6-13,,A. Tolliver misses 3-pt shot from 25 ft
6:43.0,Defensive rebound by P. Gasol,,6-13,,
6:33.0,P. Gasol makes 2-pt shot from 21 ft (assist by J. Noah),2,8-13,,
6:26.0,Personal foul by A. Brooks (drawn by R. Jackson),,8-13,,
6:16.0,,,8-13,,A. Tolliver misses 3-pt shot from 26 ft
6:15.0,Defensive rebound by M. Dunleavy,,8-13,,
6:06.0,P. Gasol misses 2-pt shot from 1 ft,,8-13,,
6:05.0,,,8-13,,Defensive rebound by A. Tolliver
5:56.0,,,8-15,2,R. Jackson makes 2-pt shot from 20 ft
5:40.0,A. Brooks makes 2-pt shot at rim (assist by J. Noah),2,10-15,,
5:18.0,,,10-15,,A. Tolliver misses 2-pt shot from 2 ft
5:17.0,Defensive rebound by A. Brooks,,10-15,,
5:11.0,A. Brooks misses 2-pt shot from 1 ft,,10-15,,
5:11.0,Offensive rebound by Team,,10-15,,
5:11.0,,,10-15,,Loose ball foul by C. Butler (drawn by P. Gasol)
4:57.0,J. Noah misses 2-pt shot from 17 ft,,10-15,,
4:55.0,,,10-15,,Defensive rebound by A. Tolliver
4:47.0,,,10-17,2,C. Butler makes 2-pt shot from 18 ft (assist by R. Jackson)
4:30.0,M. Dunleavy misses 3-pt shot from 25 ft,,10-17,,
4:29.0,,,10-17,,Defensive rebound by A. Drummond
4:22.0,,,10-17,,K. Caldwell-Pope misses 3-pt shot from 23 ft
4:21.0,Defensive rebound by J. Noah,,10-17,,
4:15.0,A. Brooks makes 3-pt shot from 25 ft (assist by J. Noah),3,13-17,,
3:56.0,,,13-17,,C. Butler misses 2-pt shot from 21 ft
3:55.0,,,13-17,,Offensive rebound by A. Drummond
3:35.0,,,13-17,,Shooting foul by J. Noah (drawn by C. Butler)
3:35.0,,,13-18,1,C. Butler makes free throw 1 of 2
3:35.0,N. Mirotic enters the game for M. Dunleavy,,13-18,,
3:35.0,T. Gibson enters the game for J. Noah,,13-18,,
3:35.0,,,13-19,1,C. Butler makes free throw 2 of 2
3:21.0,T. Gibson makes 2-pt shot from 15 ft (assist by N. Mirotic),2,15-19,,
3:07.0,,,15-22,3,C. Butler makes 3-pt shot from 27 ft (assist by K. Caldwell-Pope)
2:52.0,Turnover by N. Mirotic (lost ball; steal by A. Tolliver),,15-22,,
2:46.0,,,15-22,,R. Jackson misses 2-pt shot at rim
2:45.0,,,15-22,,Offensive rebound by A. Drummond
2:44.0,,,15-22,,A. Drummond misses 2-pt shot at rim
2:41.0,Defensive rebound by N. Mirotic,,15-22,,
2:29.0,A. Brooks makes 3-pt shot from 26 ft (assist by P. Gasol),3,18-22,,
2:22.0,,,18-22,,Detroit full timeout
2:22.0,K. Hinrich enters the game for A. Brooks,,18-22,,
2:22.0,,,18-22,,J. Meeks enters the game for K. Caldwell-Pope
2:22.0,,,18-22,,S. Dinwiddie enters the game for R. Jackson
2:13.0,,,18-25,3,C. Butler makes 3-pt shot from 25 ft (assist by S. Dinwiddie)
1:56.0,T. Snell misses 3-pt shot from 26 ft,,18-25,,
1:55.0,,,18-25,,Defensive rebound by A. Tolliver
1:43.0,,,18-25,,A. Drummond misses 2-pt shot from 4 ft
1:41.0,Defensive rebound by P. Gasol,,18-25,,
1:34.0,P. Gasol misses 2-pt shot from 5 ft,,18-25,,
1:33.0,,,18-25,,Defensive rebound by A. Tolliver
1:26.0,,,18-27,2,A. Tolliver makes 2-pt shot at rim (assist by S. Dinwiddie)
1:12.0,N. Mirotic misses 3-pt shot from 27 ft,,18-27,,
1:11.0,Offensive rebound by P. Gasol,,18-27,,
1:10.0,P. Gasol makes 2-pt shot at rim,2,20-27,,
0:46.0,,,20-30,3,C. Butler makes 3-pt shot from 27 ft (assist by S. Dinwiddie)
0:28.0,K. Hinrich misses 2-pt shot from 21 ft,,20-30,,
0:27.0,,,20-30,,Defensive rebound by A. Tolliver
0:05.0,,,20-30,,S. Dinwiddie misses 2-pt shot from 1 ft
0:05.0,Defensive rebound by Team,,20-30,,
0:05.0,E. Moore enters the game for P. Gasol,,20-30,,
0:01.0,K. Hinrich misses 2-pt shot from 1 ft,,20-30,,
0:00.0,Offensive rebound by Team,,20-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,N. Mirotic misses 2-pt shot from 4 ft (block by J. Anthony),,20-30,,
11:44.0,,,20-30,,Defensive rebound by J. Anthony
11:36.0,,,20-30,,C. Martin misses 3-pt shot from 26 ft
11:35.0,Defensive rebound by K. Hinrich,,20-30,,
11:33.0,,,20-30,,Personal foul by S. Dinwiddie (drawn by K. Hinrich)
11:25.0,Shooting foul by C. Martin (drawn by N. Mirotic),,20-30,,
11:25.0,N. Mirotic makes free throw 1 of 3,1,21-30,,
11:25.0,N. Mirotic makes free throw 2 of 3,1,22-30,,
11:25.0,N. Mirotic makes free throw 3 of 3,1,23-30,,
11:08.0,,,23-32,2,J. Anthony makes 2-pt shot at rim (assist by T. Prince)
10:43.0,K. Hinrich makes 3-pt shot from 26 ft (assist by J. Noah),3,26-32,,
10:26.0,,,26-32,,T. Prince misses 2-pt shot from 5 ft
10:25.0,Defensive rebound by J. Noah,,26-32,,
10:18.0,Turnover by J. Noah (bad pass; steal by S. Dinwiddie),,26-32,,
10:05.0,,,26-32,,J. Meeks misses 2-pt shot from 19 ft
10:03.0,Defensive rebound by N. Mirotic,,26-32,,
9:50.0,T. Gibson makes 2-pt shot at rim (assist by N. Mirotic),2,28-32,,
9:23.0,,,28-32,,S. Dinwiddie misses 3-pt shot from 27 ft
9:21.0,Defensive rebound by T. Snell,,28-32,,
9:16.0,,,28-32,,Personal foul by S. Dinwiddie (drawn by T. Gibson)
9:16.0,A. Brooks enters the game for T. Snell,,28-32,,
9:01.0,T. Gibson makes 2-pt shot at rim (assist by J. Noah),2,30-32,,
8:54.0,,,30-32,,Detroit full timeout
8:38.0,T. Gibson makes 2-pt shot at rim (assist by N. Mirotic),2,32-32,,
8:13.0,,,32-32,,J. Meeks misses 2-pt shot from 11 ft
8:10.0,Defensive rebound by N. Mirotic,,32-32,,
7:56.0,J. Noah makes 2-pt shot from 5 ft,2,34-32,,
7:41.0,,,34-34,2,J. Meeks makes 2-pt shot from 18 ft (assist by S. Dinwiddie)
7:14.0,N. Mirotic misses 3-pt shot from 22 ft,,34-34,,
7:13.0,Offensive rebound by J. Noah,,34-34,,
7:09.0,N. Mirotic makes 3-pt shot from 22 ft (assist by J. Noah),3,37-34,,
6:53.0,,,37-34,,S. Dinwiddie misses 2-pt shot from 1 ft
6:51.0,Defensive rebound by N. Mirotic,,37-34,,
6:46.0,,,37-34,,Personal foul by C. Martin (drawn by T. Gibson)
6:46.0,,,37-34,,A. Drummond enters the game for J. Anthony
6:46.0,,,37-34,,A. Tolliver enters the game for C. Martin
6:46.0,M. Dunleavy enters the game for T. Gibson,,37-34,,
6:40.0,J. Noah makes 2-pt shot at rim (assist by A. Brooks),2,39-34,,
6:18.0,,,39-34,,A. Drummond misses 2-pt shot from 5 ft
6:16.0,Defensive rebound by J. Noah,,39-34,,
5:54.0,Turnover by Team (shot clock),,39-34,,
5:54.0,Official timeout,,39-34,,
5:54.0,,,39-34,,R. Jackson enters the game for S. Dinwiddie
5:39.0,,,39-34,,R. Jackson misses 2-pt shot from 7 ft
5:38.0,Defensive rebound by N. Mirotic,,39-34,,
5:29.0,,,39-34,,Personal foul by A. Tolliver (drawn by M. Dunleavy)
5:29.0,M. Dunleavy makes free throw 1 of 2,1,40-34,,
5:29.0,M. Dunleavy makes free throw 2 of 2,1,41-34,,
5:16.0,,,41-34,,R. Jackson misses 2-pt shot from 19 ft
5:15.0,Defensive rebound by J. Noah,,41-34,,
5:12.0,P. Gasol enters the game for J. Noah,,41-34,,
5:12.0,,,41-34,,K. Caldwell-Pope enters the game for J. Meeks
5:12.0,,,41-34,,C. Butler enters the game for T. Prince
5:04.0,M. Dunleavy makes 2-pt shot from 18 ft (assist by A. Brooks),2,43-34,,
4:41.0,,,43-36,2,C. Butler makes 2-pt shot from 20 ft (assist by R. Jackson)
4:24.0,A. Brooks makes 3-pt shot from 26 ft,3,46-36,,
4:10.0,,,46-38,2,A. Drummond makes 2-pt shot at rim (assist by A. Tolliver)
3:52.0,Shooting foul by A. Drummond (drawn by A. Brooks),,46-38,,
3:52.0,T. Snell enters the game for K. Hinrich,,46-38,,
3:52.0,A. Brooks makes free throw 1 of 2,1,47-38,,
3:52.0,A. Brooks makes free throw 2 of 2,1,48-38,,
3:27.0,,,48-40,2,A. Drummond makes 2-pt shot from 4 ft (assist by C. Butler)
3:05.0,P. Gasol makes 2-pt shot from 1 ft (assist by T. Snell),2,50-40,,
2:55.0,,,50-40,,R. Jackson misses 2-pt shot from 9 ft
2:52.0,Defensive rebound by P. Gasol,,50-40,,
2:32.0,N. Mirotic misses 3-pt shot from 24 ft,,50-40,,
2:31.0,,,50-40,,Defensive rebound by C. Butler
2:21.0,,,50-42,2,C. Butler makes 2-pt shot from 17 ft
2:02.0,Turnover by N. Mirotic (lost ball),,50-42,,
2:02.0,Chicago full timeout,,50-42,,
1:39.0,,,50-42,,A. Drummond misses 2-pt shot from 7 ft
1:37.0,Defensive rebound by P. Gasol,,50-42,,
1:24.0,P. Gasol makes 2-pt shot from 19 ft (assist by A. Brooks),2,52-42,,
1:00.0,,,52-42,,R. Jackson misses 3-pt shot from 26 ft
0:59.0,Defensive rebound by M. Dunleavy,,52-42,,
0:44.0,,,52-42,,Personal foul by A. Tolliver (drawn by A. Brooks)
0:44.0,A. Brooks makes free throw 1 of 2,1,53-42,,
0:44.0,,,53-42,,T. Prince enters the game for A. Tolliver
0:44.0,A. Brooks makes free throw 2 of 2,1,54-42,,
0:21.0,,,54-44,2,A. Drummond makes 2-pt shot from 6 ft (assist by T. Prince)
0:04.0,P. Gasol makes 2-pt shot from 1 ft (assist by N. Mirotic),2,56-44,,
0:03.0,Personal foul by M. Dunleavy (drawn by R. Jackson),,56-44,,
0:01.0,,,56-44,,R. Jackson misses 3-pt shot from 26 ft
0:00.0,,,56-44,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,Shooting foul by A. Drummond (drawn by P. Gasol),,56-44,,
11:46.0,P. Gasol makes free throw 1 of 2,1,57-44,,
11:46.0,P. Gasol makes free throw 2 of 2,1,58-44,,
11:38.0,,,58-46,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by R. Jackson)
11:13.0,Shooting foul by C. Butler (drawn by P. Gasol),,58-46,,
11:13.0,P. Gasol makes free throw 1 of 2,1,59-46,,
11:13.0,P. Gasol makes free throw 2 of 2,1,60-46,,
10:59.0,,,60-46,,Shooting foul by P. Gasol (drawn by A. Drummond)
10:59.0,,,60-46,,A. Drummond misses free throw 1 of 2
10:59.0,,,60-46,,Offensive rebound by Team
10:59.0,,,60-46,,A. Drummond misses free throw 2 of 2
10:58.0,Defensive rebound by J. Noah,,60-46,,
10:37.0,J. Noah makes 2-pt shot at rim (assist by T. Snell),2,62-46,,
10:37.0,,,62-46,,Detroit full timeout
10:26.0,,,62-48,2,R. Jackson makes 2-pt shot at rim
10:01.0,A. Brooks makes 2-pt shot at rim,2,64-48,,
9:51.0,,,64-48,,Turnover by A. Drummond (offensive goaltending)
9:34.0,P. Gasol makes 2-pt shot from 6 ft,2,66-48,,
9:26.0,,,66-50,2,R. Jackson makes 2-pt shot from 11 ft
9:26.0,,,66-50,,Shooting foul by A. Brooks (drawn by R. Jackson)
9:26.0,,,66-51,1,R. Jackson makes free throw 1 of 1
9:13.0,,,66-51,,Personal foul by A. Tolliver (drawn by P. Gasol)
9:00.0,P. Gasol misses 2-pt shot from 4 ft,,66-51,,
8:59.0,,,66-51,,Defensive rebound by C. Butler
8:50.0,,,66-51,,K. Caldwell-Pope misses 2-pt shot from 22 ft
8:50.0,,,66-51,,Offensive rebound by Team
8:50.0,Loose ball foul by P. Gasol (drawn by A. Drummond),,66-51,,
8:39.0,,,66-51,,A. Tolliver misses 3-pt shot from 24 ft
8:39.0,Defensive rebound by P. Gasol,,66-51,,
8:39.0,,,66-51,,Personal foul by A. Drummond (drawn by P. Gasol)
8:28.0,,,66-51,,Personal foul by A. Tolliver (drawn by M. Dunleavy)
8:28.0,M. Dunleavy makes free throw 1 of 2,1,67-51,,
8:28.0,,,67-51,,J. Anthony enters the game for A. Tolliver
8:28.0,M. Dunleavy misses free throw 2 of 2,,67-51,,
8:27.0,,,67-51,,Defensive rebound by A. Drummond
8:16.0,,,67-53,2,J. Anthony makes 2-pt shot from 5 ft (assist by R. Jackson)
7:56.0,P. Gasol makes 3-pt shot from 23 ft (assist by J. Noah),3,70-53,,
7:37.0,,,70-53,,R. Jackson misses 2-pt shot from 19 ft
7:36.0,Defensive rebound by T. Snell,,70-53,,
7:20.0,T. Snell misses 3-pt shot from 22 ft,,70-53,,
7:19.0,,,70-53,,Defensive rebound by R. Jackson
7:13.0,,,70-53,,K. Caldwell-Pope misses 3-pt shot from 25 ft
7:12.0,Defensive rebound by P. Gasol,,70-53,,
6:59.0,P. Gasol makes 2-pt shot from 20 ft (assist by T. Snell),2,72-53,,
6:41.0,,,72-53,,Turnover by C. Butler (bad pass; steal by J. Noah)
6:37.0,Turnover by J. Noah (lost ball; steal by J. Anthony),,72-53,,
6:29.0,,,72-56,3,C. Butler makes 3-pt shot from 23 ft (assist by J. Anthony)
6:12.0,J. Noah misses 2-pt shot at rim,,72-56,,
6:10.0,,,72-56,,Defensive rebound by A. Drummond
6:05.0,,,72-58,2,R. Jackson makes 2-pt shot at rim
6:04.0,Chicago full timeout,,72-58,,
5:44.0,T. Snell misses 2-pt shot from 5 ft,,72-58,,
5:43.0,Offensive rebound by J. Noah,,72-58,,
5:43.0,,,72-58,,Personal foul by R. Jackson (drawn by J. Noah)
5:43.0,J. Noah misses free throw 1 of 2,,72-58,,
5:43.0,Offensive rebound by Team,,72-58,,
5:43.0,J. Noah misses free throw 2 of 2,,72-58,,
5:42.0,,,72-58,,Defensive rebound by J. Anthony
5:30.0,,,72-60,2,R. Jackson makes 2-pt shot at rim
5:12.0,Turnover by M. Dunleavy (bad pass; steal by C. Butler),,72-60,,
4:50.0,,,72-62,2,A. Drummond makes 2-pt shot from 5 ft (assist by R. Jackson)
4:33.0,M. Dunleavy misses 3-pt shot from 25 ft,,72-62,,
4:31.0,,,72-62,,Defensive rebound by R. Jackson
4:23.0,,,72-64,2,R. Jackson makes 2-pt shot from 14 ft
4:22.0,Chicago full timeout,,72-64,,
4:22.0,K. Hinrich enters the game for J. Noah,,72-64,,
4:22.0,T. Gibson enters the game for A. Brooks,,72-64,,
4:10.0,Turnover by K. Hinrich (bad pass),,72-64,,
3:56.0,,,72-67,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by R. Jackson)
3:41.0,,,72-67,,Personal foul by A. Drummond (drawn by P. Gasol)
3:41.0,P. Gasol makes free throw 1 of 2,1,73-67,,
3:41.0,,,73-67,,T. Prince enters the game for A. Drummond
3:41.0,P. Gasol makes free throw 2 of 2,1,74-67,,
3:28.0,,,74-69,2,R. Jackson makes 2-pt shot at rim
3:06.0,T. Gibson misses 2-pt shot from 12 ft,,74-69,,
3:05.0,,,74-69,,Defensive rebound by J. Anthony
2:48.0,,,74-71,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by R. Jackson)
2:21.0,P. Gasol makes 2-pt shot from 15 ft (assist by T. Snell),2,76-71,,
2:06.0,,,76-73,2,T. Prince makes 2-pt shot from 21 ft (assist by R. Jackson)
1:47.0,T. Snell misses 2-pt shot from 18 ft,,76-73,,
1:46.0,,,76-73,,Defensive rebound by C. Butler
1:42.0,,,76-73,,Shooting foul by K. Hinrich (drawn by R. Jackson)
1:42.0,,,76-74,1,R. Jackson makes free throw 1 of 2
1:42.0,N. Mirotic enters the game for P. Gasol,,76-74,,
1:42.0,,,76-75,1,R. Jackson makes free throw 2 of 2
1:20.0,K. Hinrich misses 2-pt shot from 20 ft (block by J. Anthony),,76-75,,
1:19.0,Offensive rebound by T. Gibson,,76-75,,
1:19.0,,,76-75,,Personal foul by J. Anthony (drawn by T. Gibson)
1:19.0,T. Gibson makes free throw 1 of 2,1,77-75,,
1:19.0,T. Gibson misses free throw 2 of 2,,77-75,,
1:19.0,,,77-75,,Defensive rebound by K. Caldwell-Pope
1:06.0,,,77-77,2,R. Jackson makes 2-pt shot from 13 ft
0:50.0,T. Snell misses 3-pt shot from 23 ft,,77-77,,
0:48.0,,,77-77,,Defensive rebound by T. Prince
0:32.0,,,77-80,3,K. Caldwell-Pope makes 3-pt shot from 22 ft (assist by R. Jackson)
0:21.0,Shooting foul by J. Anthony (drawn by N. Mirotic),,77-80,,
0:21.0,N. Mirotic makes free throw 1 of 2,1,78-80,,
0:21.0,N. Mirotic makes free throw 2 of 2,1,79-80,,
0:02.0,,,79-80,,K. Caldwell-Pope misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by T. Gibson,,79-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,79-80,,K. Caldwell-Pope misses 2-pt shot from 21 ft
11:37.0,Defensive rebound by K. Hinrich,,79-80,,
11:18.0,N. Mirotic misses 2-pt shot from 5 ft (block by T. Prince),,79-80,,
11:17.0,,,79-80,,Defensive rebound by T. Prince
11:08.0,,,79-80,,S. Dinwiddie misses 2-pt shot from 13 ft
11:07.0,Defensive rebound by J. Noah,,79-80,,
10:55.0,A. Brooks makes 2-pt shot at rim,2,81-80,,
10:28.0,,,81-80,,J. Meeks misses 2-pt shot from 15 ft
10:28.0,Defensive rebound by Team,,81-80,,
10:14.0,Turnover by J. Noah (bad pass; steal by T. Prince),,81-80,,
10:05.0,,,81-80,,J. Meeks misses 2-pt shot from 4 ft
10:03.0,Defensive rebound by J. Noah,,81-80,,
9:59.0,,,81-80,,Personal foul by S. Dinwiddie (drawn by N. Mirotic)
9:47.0,A. Brooks misses 2-pt shot at rim,,81-80,,
9:46.0,,,81-80,,Defensive rebound by J. Anthony
9:34.0,,,81-83,3,J. Meeks makes 3-pt shot from 25 ft (assist by S. Dinwiddie)
9:11.0,Shooting foul by J. Anthony (drawn by K. Hinrich),,81-83,,
9:11.0,K. Hinrich makes 2-pt shot from 6 ft,2,83-83,,
9:11.0,K. Hinrich misses free throw 1 of 1,,83-83,,
9:10.0,,,83-83,,Defensive rebound by T. Prince
8:56.0,,,83-83,,J. Meeks misses 2-pt shot from 16 ft
8:55.0,Defensive rebound by A. Brooks,,83-83,,
8:46.0,J. Noah misses 2-pt shot at rim,,83-83,,
8:45.0,,,83-83,,Defensive rebound by J. Anthony
8:34.0,,,83-83,,S. Dinwiddie misses 2-pt shot from 12 ft
8:33.0,Defensive rebound by A. Brooks,,83-83,,
8:22.0,Turnover by J. Noah (bad pass; steal by T. Prince),,83-83,,
8:11.0,,,83-85,2,S. Dinwiddie makes 2-pt shot at rim
8:11.0,,,83-85,,Shooting foul by N. Mirotic (drawn by S. Dinwiddie)
8:11.0,Official timeout,,83-85,,
8:11.0,M. Dunleavy enters the game for T. Snell,,83-85,,
8:11.0,,,83-86,1,S. Dinwiddie makes free throw 1 of 1
7:49.0,A. Brooks misses 3-pt shot from 27 ft,,83-86,,
7:48.0,,,83-86,,Defensive rebound by T. Prince
7:39.0,,,83-89,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by S. Dinwiddie)
7:24.0,K. Hinrich misses 3-pt shot from 26 ft,,83-89,,
7:23.0,,,83-89,,Defensive rebound by T. Prince
7:13.0,,,83-91,2,S. Dinwiddie makes 2-pt shot at rim
7:13.0,Chicago full timeout,,83-91,,
7:05.0,N. Mirotic misses 3-pt shot from 24 ft,,83-91,,
7:04.0,Offensive rebound by K. Hinrich,,83-91,,
6:58.0,J. Noah misses 2-pt shot at rim (block by J. Meeks),,83-91,,
6:56.0,,,83-91,,Defensive rebound by S. Dinwiddie
6:51.0,,,83-93,2,J. Meeks makes 2-pt shot at rim (assist by S. Dinwiddie)
6:35.0,N. Mirotic misses 2-pt shot from 2 ft (block by J. Anthony),,83-93,,
6:34.0,Offensive rebound by J. Noah,,83-93,,
6:30.0,A. Brooks misses 3-pt shot from 25 ft,,83-93,,
6:28.0,,,83-93,,Defensive rebound by T. Prince
6:09.0,,,83-93,,T. Prince misses 2-pt shot from 14 ft
6:08.0,Defensive rebound by M. Dunleavy,,83-93,,
5:54.0,A. Brooks misses 2-pt shot at rim,,83-93,,
5:52.0,,,83-93,,Defensive rebound by T. Prince
5:42.0,,,83-93,,S. Dinwiddie misses 3-pt shot from 25 ft
5:41.0,Defensive rebound by J. Noah,,83-93,,
5:30.0,M. Dunleavy misses 3-pt shot from 25 ft,,83-93,,
5:29.0,,,83-93,,Defensive rebound by S. Dinwiddie
5:24.0,,,83-95,2,J. Meeks makes 2-pt shot at rim (assist by S. Dinwiddie)
5:24.0,Chicago full timeout,,83-95,,
5:24.0,T. Gibson enters the game for J. Noah,,83-95,,
5:24.0,P. Gasol enters the game for N. Mirotic,,83-95,,
5:02.0,P. Gasol misses 2-pt shot from 9 ft,,83-95,,
5:00.0,,,83-95,,Defensive rebound by T. Prince
4:51.0,,,83-95,,T. Prince misses 2-pt shot from 1 ft
4:50.0,Defensive rebound by P. Gasol,,83-95,,
4:36.0,P. Gasol misses 2-pt shot from 17 ft,,83-95,,
4:35.0,,,83-95,,Defensive rebound by J. Anthony
4:18.0,,,83-98,3,S. Dinwiddie makes 3-pt shot from 27 ft
3:57.0,M. Dunleavy misses 2-pt shot from 7 ft,,83-98,,
3:55.0,,,83-98,,Defensive rebound by T. Prince
3:31.0,,,83-100,2,T. Prince makes 2-pt shot from 17 ft
3:13.0,M. Dunleavy misses 3-pt shot from 25 ft,,83-100,,
3:12.0,,,83-100,,Defensive rebound by T. Prince
2:54.0,,,83-100,,S. Dinwiddie misses 2-pt shot from 8 ft
2:51.0,Defensive rebound by P. Gasol,,83-100,,
2:45.0,M. Dunleavy misses 2-pt shot from 7 ft (block by J. Anthony),,83-100,,
2:43.0,,,83-100,,Defensive rebound by J. Meeks
2:41.0,,,83-100,,J. Meeks misses 2-pt shot from 3 ft (block by A. Brooks)
2:39.0,,,83-100,,Offensive rebound by S. Dinwiddie
2:22.0,,,83-100,,S. Dinwiddie misses 3-pt shot from 25 ft
2:21.0,Defensive rebound by P. Gasol,,83-100,,
2:10.0,P. Gasol makes 2-pt shot from 9 ft (assist by A. Brooks),2,85-100,,
1:47.0,,,85-103,3,J. Meeks makes 3-pt shot from 25 ft (assist by S. Dinwiddie)
1:45.0,,,85-103,,Personal foul by S. Dinwiddie (drawn by A. Brooks)
1:45.0,E. Moore enters the game for M. Dunleavy,,85-103,,
1:45.0,N. Mohammed enters the game for P. Gasol,,85-103,,
1:45.0,D. McDermott enters the game for K. Hinrich,,85-103,,
1:39.0,Turnover by A. Brooks (bad pass; steal by K. Caldwell-Pope),,85-103,,
1:39.0,Personal foul by A. Brooks (drawn by K. Caldwell-Pope),,85-103,,
1:39.0,T. Snell enters the game for A. Brooks,,85-103,,
1:23.0,,,85-105,2,J. Anthony makes 2-pt shot at rim (assist by S. Dinwiddie)
1:12.0,T. Gibson makes 2-pt shot at rim (assist by D. McDermott),2,87-105,,
0:52.0,,,87-105,,T. Prince misses 2-pt shot from 21 ft
0:50.0,Defensive rebound by N. Mohammed,,87-105,,
0:36.0,T. Gibson misses 2-pt shot from 4 ft,,87-105,,
0:35.0,Offensive rebound by T. Gibson,,87-105,,
0:33.0,T. Gibson makes 2-pt shot at rim,2,89-105,,
0:23.0,,,89-105,,Shooting foul by E. Moore (drawn by S. Dinwiddie)
0:23.0,,,89-106,1,S. Dinwiddie makes free throw 1 of 2
0:23.0,,,89-107,1,S. Dinwiddie makes free throw 2 of 2
0:15.0,E. Moore makes 2-pt shot at rim,2,91-107,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
