time,New York,pts.away,score,pts.home,New Orleans
4:01.0,C. Anthony makes free throw 2 of 2,1,48-45,,
3:46.0,,,48-47,2,J. Holiday makes 2-pt shot from 20 ft
3:30.0,J. Smith misses 3-pt shot from 24 ft,,48-47,,
3:29.0,,,48-47,,Defensive rebound by J. Holiday
3:13.0,,,48-47,,Shooting foul by A. Stoudemire (drawn by A. Davis)
3:13.0,,,48-47,,A. Davis misses free throw 1 of 2
3:13.0,,,48-47,,Offensive rebound by Team
3:13.0,,,48-48,1,A. Davis makes free throw 2 of 2
2:56.0,Shooting foul by A. Davis (drawn by A. Stoudemire),,48-48,,
2:56.0,,,48-48,,New Orleans full timeout
2:56.0,J. Smith enters the game for J. Smith,,48-48,,
2:56.0,,,48-48,,O. Asik enters the game for A. Davis
2:56.0,A. Stoudemire makes free throw 1 of 2,1,49-48,,
2:56.0,,,49-48,,R. Anderson enters the game for L. Babbitt
2:56.0,A. Stoudemire makes free throw 2 of 2,1,50-48,,
2:34.0,,,50-50,2,T. Evans makes 2-pt shot from 1 ft
2:11.0,A. Stoudemire makes 2-pt shot from 15 ft (assist by I. Shumpert),2,52-50,,
1:51.0,,,52-52,2,J. Holiday makes 2-pt shot from 16 ft
1:35.0,C. Anthony misses 2-pt shot from 18 ft,,52-52,,
1:33.0,,,52-52,,Defensive rebound by J. Holiday
1:17.0,,,52-52,,J. Holiday misses 2-pt shot from 1 ft
1:16.0,,,52-52,,Offensive rebound by J. Holiday
0:59.0,,,52-52,,J. Holiday misses 3-pt shot from 24 ft
0:58.0,Defensive rebound by C. Anthony,,52-52,,
0:41.0,I. Shumpert misses 3-pt shot from 23 ft,,52-52,,
0:39.0,,,52-52,,Defensive rebound by T. Evans
0:18.0,,,52-54,2,O. Asik makes 2-pt shot at rim (assist by J. Holiday)
0:14.0,New York full timeout,,52-54,,
0:14.0,J. Smith enters the game for J. Smith,,52-54,,
0:14.0,,,52-54,,A. Rivers enters the game for R. Anderson
0:01.0,Turnover by I. Shumpert (bad pass),,52-54,,
0:01.0,,,52-54,,R. Anderson enters the game for O. Asik
0:00.0,,,52-54,,R. Anderson misses 3-pt shot from 63 ft
0:00.0,,,52-54,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,A. Stoudemire misses 2-pt shot from 1 ft (block by L. Babbitt),,52-54,,
11:39.0,,,52-54,,Defensive rebound by A. Davis
11:18.0,,,52-54,,Shooting foul by Q. Acy (drawn by A. Davis)
11:18.0,,,52-55,1,A. Davis makes free throw 1 of 2
11:18.0,,,52-56,1,A. Davis makes free throw 2 of 2
10:57.0,J. Calderon misses 2-pt shot from 15 ft,,52-56,,
10:55.0,,,52-56,,Defensive rebound by J. Holiday
10:49.0,,,52-56,,T. Evans misses 2-pt shot from 2 ft
10:46.0,Defensive rebound by A. Stoudemire,,52-56,,
10:31.0,A. Stoudemire makes 2-pt shot from 1 ft,2,54-56,,
10:09.0,,,54-58,2,A. Davis makes 2-pt shot from 13 ft
9:56.0,Turnover by I. Shumpert (bad pass),,54-58,,
9:44.0,,,54-58,,T. Evans misses 2-pt shot from 19 ft
9:42.0,,,54-58,,Offensive rebound by O. Asik
9:39.0,Violation by I. Shumpert (kicked ball),,54-58,,
9:25.0,,,54-58,,L. Babbitt misses 3-pt shot from 26 ft
9:24.0,Defensive rebound by Q. Acy,,54-58,,
9:06.0,J. Calderon makes 3-pt shot from 23 ft (assist by I. Shumpert),3,57-58,,
8:52.0,,,57-60,2,J. Holiday makes 2-pt shot from 19 ft
8:28.0,A. Stoudemire makes 2-pt shot from 1 ft (assist by I. Shumpert),2,59-60,,
8:16.0,,,59-60,,O. Asik misses 2-pt shot from 1 ft (block by A. Stoudemire)
8:14.0,Defensive rebound by I. Shumpert,,59-60,,
8:02.0,I. Shumpert misses 3-pt shot from 24 ft,,59-60,,
8:01.0,,,59-60,,Defensive rebound by O. Asik
7:45.0,,,59-60,,A. Davis misses 2-pt shot from 20 ft
7:43.0,,,59-60,,Offensive rebound by O. Asik
7:43.0,,,59-62,2,O. Asik makes 2-pt shot from 2 ft
7:41.0,New York full timeout,,59-62,,
7:41.0,S. Dalembert enters the game for A. Stoudemire,,59-62,,
7:28.0,Turnover by C. Anthony (lost ball),,59-62,,
7:17.0,,,59-64,2,A. Davis makes 2-pt shot from 2 ft (assist by J. Holiday)
7:17.0,,,59-64,,Shooting foul by S. Dalembert (drawn by A. Davis)
7:17.0,,,59-64,,A. Davis misses free throw 1 of 1
7:15.0,Defensive rebound by S. Dalembert,,59-64,,
6:51.0,Q. Acy misses 2-pt shot from 15 ft,,59-64,,
6:50.0,,,59-64,,Defensive rebound by J. Holiday
6:35.0,,,59-64,,Turnover by L. Babbitt (bad pass; steal by Q. Acy)
6:30.0,C. Anthony makes 2-pt shot from 14 ft,2,61-64,,
6:13.0,,,61-64,,J. Holiday misses 2-pt shot from 12 ft
6:12.0,Defensive rebound by C. Anthony,,61-64,,
6:08.0,,,61-64,,Personal foul by J. Holiday (drawn by C. Anthony)
6:08.0,J. Smith enters the game for Q. Acy,,61-64,,
5:57.0,C. Anthony misses 2-pt shot from 18 ft,,61-64,,
5:56.0,,,61-64,,Defensive rebound by O. Asik
5:46.0,,,61-64,,A. Davis misses 2-pt shot from 14 ft
5:45.0,,,61-64,,Offensive rebound by O. Asik
5:40.0,,,61-64,,L. Babbitt misses 3-pt shot from 24 ft
5:39.0,,,61-64,,Offensive rebound by A. Davis
5:33.0,,,61-64,,T. Evans misses 2-pt shot from 2 ft (block by J. Smith)
5:29.0,,,61-64,,Offensive rebound by O. Asik
5:29.0,,,61-66,2,O. Asik makes 2-pt shot from 1 ft
5:14.0,,,61-66,,R. Anderson enters the game for O. Asik
5:14.0,,,61-66,,D. Cunningham enters the game for L. Babbitt
5:05.0,S. Dalembert misses 2-pt shot from 17 ft,,61-66,,
5:04.0,,,61-66,,Defensive rebound by J. Holiday
4:53.0,,,61-68,2,J. Holiday makes 2-pt shot from 2 ft
4:36.0,J. Smith makes 2-pt shot from 18 ft,2,63-68,,
4:10.0,,,63-68,,A. Davis misses 2-pt shot from 3 ft
4:09.0,Defensive rebound by C. Anthony,,63-68,,
3:52.0,Turnover by C. Anthony (bad pass; steal by T. Evans),,63-68,,
3:49.0,,,63-68,,Shooting foul by J. Calderon (drawn by T. Evans)
3:49.0,,,63-69,1,T. Evans makes free throw 1 of 2
3:49.0,J. Smith enters the game for I. Shumpert,,63-69,,
3:49.0,,,63-70,1,T. Evans makes free throw 2 of 2
3:36.0,J. Calderon makes 2-pt shot from 2 ft,2,65-70,,
3:19.0,,,65-70,,D. Cunningham misses 2-pt shot from 20 ft
3:19.0,,,65-70,,Offensive rebound by A. Davis
3:19.0,,,65-70,,Shooting foul by J. Smith (drawn by A. Davis)
3:19.0,,,65-71,1,A. Davis makes free throw 1 of 2
3:19.0,,,65-71,,A. Davis misses free throw 2 of 2
3:18.0,Defensive rebound by S. Dalembert,,65-71,,
2:59.0,S. Dalembert misses 2-pt shot from 1 ft (block by A. Davis),,65-71,,
2:58.0,Offensive rebound by Team,,65-71,,
2:58.0,,,65-71,,Loose ball foul by D. Cunningham (drawn by J. Smith)
2:58.0,,,65-71,,New Orleans full timeout
2:47.0,Offensive foul by S. Dalembert,,65-71,,
2:47.0,Turnover by S. Dalembert (offensive foul),,65-71,,
2:25.0,,,65-73,2,A. Davis makes 2-pt shot at rim (assist by T. Evans)
2:04.0,S. Dalembert makes 2-pt shot from 4 ft (assist by J. Calderon),2,67-73,,
1:48.0,,,67-73,,D. Cunningham misses 2-pt shot from 19 ft
1:47.0,Defensive rebound by S. Dalembert,,67-73,,
1:41.0,C. Anthony makes 3-pt shot from 24 ft (assist by J. Calderon),3,70-73,,
1:21.0,,,70-73,,R. Anderson misses 2-pt shot from 1 ft (block by S. Dalembert)
1:18.0,,,70-73,,Offensive rebound by R. Anderson
1:07.0,,,70-75,2,T. Evans makes 2-pt shot from 2 ft (assist by J. Holiday)
0:51.0,J. Smith misses 2-pt shot from 14 ft,,70-75,,
0:50.0,,,70-75,,Defensive rebound by D. Cunningham
0:40.0,,,70-77,2,A. Davis makes 2-pt shot at rim (assist by T. Evans)
0:28.0,Turnover by J. Smith (lost ball; steal by A. Davis),,70-77,,
0:20.0,,,70-77,,Turnover by T. Evans (lost ball; steal by J. Calderon)
0:06.0,,,70-77,,Personal foul by T. Evans (drawn by J. Smith)
0:06.0,,,70-77,,A. Rivers enters the game for T. Evans
0:06.0,A. Stoudemire enters the game for S. Dalembert,,70-77,,
0:06.0,,,70-77,,O. Asik enters the game for A. Davis
0:00.0,J. Smith makes 3-pt shot from 26 ft,3,73-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,73-79,2,J. Holiday makes 2-pt shot from 2 ft
11:45.0,,,73-79,,Shooting foul by A. Stoudemire (drawn by J. Holiday)
11:45.0,,,73-80,1,J. Holiday makes free throw 1 of 1
11:21.0,J. Smith misses 2-pt shot from 2 ft,,73-80,,
11:20.0,,,73-80,,Defensive rebound by D. Cunningham
11:19.0,,,73-80,,Offensive foul by D. Cunningham
11:19.0,,,73-80,,Turnover by D. Cunningham (offensive foul)
11:19.0,,,73-80,,G. Mekel enters the game for J. Holiday
11:11.0,T. Hardaway misses 2-pt shot from 1 ft,,73-80,,
11:10.0,Offensive rebound by Team,,73-80,,
11:01.0,J. Smith misses 2-pt shot from 15 ft,,73-80,,
11:00.0,,,73-80,,Defensive rebound by O. Asik
10:42.0,,,73-83,3,A. Rivers makes 3-pt shot from 26 ft (assist by R. Anderson)
10:27.0,Turnover by A. Stoudemire (traveling),,73-83,,
10:15.0,,,73-83,,Turnover by A. Rivers (bad pass)
9:53.0,A. Stoudemire misses 2-pt shot from 2 ft (block by O. Asik),,73-83,,
9:51.0,Offensive rebound by A. Stoudemire,,73-83,,
9:49.0,A. Stoudemire makes 2-pt shot from 2 ft,2,75-83,,
9:28.0,,,75-83,,G. Mekel misses 2-pt shot from 8 ft (block by A. Stoudemire)
9:28.0,,,75-83,,Offensive rebound by Team
9:28.0,,,75-83,,New Orleans full timeout
9:25.0,,,75-83,,R. Anderson misses 3-pt shot from 25 ft
9:24.0,,,75-83,,Offensive rebound by D. Cunningham
9:24.0,,,75-83,,Shooting foul by T. Hardaway (drawn by D. Cunningham)
9:24.0,,,75-84,1,D. Cunningham makes free throw 1 of 2
9:24.0,,,75-85,1,D. Cunningham makes free throw 2 of 2
9:07.0,Turnover by P. Prigioni (bad pass),,75-85,,
8:50.0,,,75-85,,R. Anderson misses 3-pt shot from 25 ft
8:48.0,Defensive rebound by P. Prigioni,,75-85,,
8:38.0,P. Prigioni misses 3-pt shot from 26 ft,,75-85,,
8:37.0,,,75-85,,Defensive rebound by O. Asik
8:28.0,,,75-87,2,O. Asik makes 2-pt shot from 1 ft (assist by A. Rivers)
8:28.0,,,75-87,,Shooting foul by J. Smith (drawn by O. Asik)
8:28.0,C. Anthony enters the game for J. Smith,,75-87,,
8:28.0,,,75-87,,O. Asik misses free throw 1 of 1
8:27.0,Defensive rebound by J. Smith,,75-87,,
8:20.0,T. Hardaway makes 2-pt shot from 2 ft (assist by J. Smith),2,77-87,,
8:02.0,,,77-87,,A. Rivers misses 2-pt shot from 3 ft
8:02.0,,,77-87,,Offensive rebound by Team
8:02.0,Loose ball foul by A. Stoudemire (drawn by O. Asik),,77-87,,
7:53.0,,,77-87,,G. Mekel misses 2-pt shot from 3 ft (block by A. Stoudemire)
7:51.0,Defensive rebound by A. Stoudemire,,77-87,,
7:34.0,Shooting foul by O. Asik (drawn by A. Stoudemire),,77-87,,
7:34.0,A. Stoudemire misses free throw 1 of 2,,77-87,,
7:34.0,Offensive rebound by Team,,77-87,,
7:34.0,J. Calderon enters the game for P. Prigioni,,77-87,,
7:34.0,A. Stoudemire makes free throw 2 of 2,1,78-87,,
7:12.0,,,78-87,,G. Mekel misses 2-pt shot from 2 ft (block by A. Stoudemire)
7:12.0,,,78-87,,Offensive rebound by Team
6:53.0,,,78-89,2,A. Rivers makes 2-pt shot from 8 ft
6:41.0,Turnover by C. Anthony (bad pass; steal by G. Mekel),,78-89,,
6:35.0,,,78-89,,G. Mekel misses 2-pt shot from 1 ft
6:34.0,Defensive rebound by C. Anthony,,78-89,,
6:14.0,A. Stoudemire misses 2-pt shot from 20 ft,,78-89,,
6:13.0,,,78-89,,Defensive rebound by R. Anderson
6:09.0,,,78-89,,New Orleans full timeout
6:09.0,,,78-89,,T. Evans enters the game for G. Mekel
5:55.0,,,78-91,2,O. Asik makes 2-pt shot from 1 ft (assist by A. Rivers)
5:32.0,A. Stoudemire makes 2-pt shot from 2 ft,2,80-91,,
5:10.0,,,80-91,,A. Rivers misses 2-pt shot from 16 ft
5:09.0,Defensive rebound by C. Anthony,,80-91,,
4:52.0,T. Hardaway misses 3-pt shot from 24 ft,,80-91,,
4:51.0,,,80-91,,Defensive rebound by A. Rivers
4:33.0,,,80-91,,R. Anderson misses 3-pt shot from 25 ft
4:32.0,Defensive rebound by J. Smith,,80-91,,
4:26.0,,,80-91,,Personal foul by T. Evans (drawn by J. Smith)
4:26.0,Official timeout,,80-91,,
4:26.0,,,80-91,,J. Holiday enters the game for R. Anderson
4:26.0,,,80-91,,A. Davis enters the game for A. Rivers
4:26.0,P. Prigioni enters the game for T. Hardaway,,80-91,,
4:16.0,Shooting foul by A. Davis (drawn by J. Smith),,80-91,,
4:16.0,J. Smith makes free throw 1 of 2,1,81-91,,
4:16.0,J. Smith makes free throw 2 of 2,1,82-91,,
4:03.0,,,82-93,2,A. Davis makes 2-pt shot from 17 ft (assist by J. Holiday)
3:55.0,J. Smith misses 3-pt shot from 24 ft,,82-93,,
3:54.0,,,82-93,,Defensive rebound by T. Evans
3:30.0,,,82-93,,Turnover by A. Davis (lost ball; steal by C. Anthony)
3:11.0,J. Smith misses 2-pt shot from 1 ft (block by A. Davis),,82-93,,
3:09.0,,,82-93,,Defensive rebound by O. Asik
3:05.0,,,82-95,2,T. Evans makes 2-pt shot from 1 ft (assist by O. Asik)
2:49.0,P. Prigioni makes 3-pt shot from 25 ft (assist by J. Smith),3,85-95,,
2:31.0,,,85-95,,Shooting foul by A. Stoudemire (drawn by T. Evans)
2:31.0,New York full timeout,,85-95,,
2:31.0,,,85-96,1,T. Evans makes free throw 1 of 2
2:31.0,,,85-97,1,T. Evans makes free throw 2 of 2
2:14.0,C. Anthony makes 2-pt shot from 14 ft (assist by J. Calderon),2,87-97,,
1:48.0,,,87-97,,O. Asik misses 2-pt shot at rim (block by A. Stoudemire)
1:48.0,,,87-97,,Offensive rebound by A. Davis
1:47.0,,,87-99,2,O. Asik makes 2-pt shot at rim (assist by A. Davis)
1:34.0,P. Prigioni makes 3-pt shot from 29 ft (assist by J. Smith),3,90-99,,
1:14.0,,,90-101,2,T. Evans makes 2-pt shot from 19 ft
1:02.0,Shooting foul by O. Asik (drawn by A. Stoudemire),,90-101,,
1:02.0,A. Stoudemire misses free throw 1 of 2,,90-101,,
1:02.0,Offensive rebound by Team,,90-101,,
1:02.0,A. Stoudemire makes free throw 2 of 2,1,91-101,,
0:45.0,,,91-103,2,T. Evans makes 2-pt shot from 2 ft
0:38.0,J. Smith misses 3-pt shot from 25 ft,,91-103,,
0:36.0,,,91-103,,Defensive rebound by O. Asik
0:17.0,,,91-103,,Shooting foul by A. Stoudemire (drawn by O. Asik)
0:17.0,C. Aldrich enters the game for A. Stoudemire,,91-103,,
0:17.0,,,91-104,1,O. Asik makes free throw 1 of 2
0:17.0,,,91-104,,O. Asik misses free throw 2 of 2
0:16.0,Defensive rebound by C. Anthony,,91-104,,
0:09.0,J. Smith makes 2-pt shot from 1 ft,2,93-104,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
