time,Boston,pts.away,score,pts.home,Oklahoma City
7:04.0,Shooting foul by E. Kanter (drawn by B. Bass),,66-62,,
7:04.0,B. Bass makes free throw 1 of 2,1,67-62,,
7:04.0,,,67-62,,A. Morrow enters the game for A. Roberson
7:04.0,B. Bass makes free throw 2 of 2,1,68-62,,
6:54.0,,,68-62,,R. Westbrook misses 2-pt shot from 2 ft
6:53.0,,,68-62,,Offensive rebound by S. Adams
6:52.0,,,68-64,2,S. Adams makes 2-pt shot from 1 ft
6:43.0,E. Turner misses 2-pt shot from 5 ft,,68-64,,
6:42.0,,,68-64,,Defensive rebound by S. Adams
6:34.0,,,68-64,,D. Waiters misses 2-pt shot from 2 ft
6:33.0,,,68-64,,Offensive rebound by S. Adams
6:33.0,,,68-64,,S. Adams misses 2-pt shot from 2 ft
6:31.0,,,68-64,,Offensive rebound by E. Kanter
6:31.0,,,68-66,2,E. Kanter makes 2-pt shot at rim
6:12.0,B. Bass misses 2-pt shot from 17 ft,,68-66,,
6:11.0,Offensive rebound by M. Smart,,68-66,,
6:02.0,Shooting foul by E. Kanter (drawn by E. Turner),,68-66,,
6:02.0,E. Turner makes free throw 1 of 2,1,69-66,,
6:02.0,E. Turner misses free throw 2 of 2,,69-66,,
6:01.0,,,69-66,,Defensive rebound by A. Morrow
5:43.0,,,69-66,,R. Westbrook misses 2-pt shot from 17 ft
5:42.0,Defensive rebound by K. Olynyk,,69-66,,
5:33.0,Shooting foul by D. Waiters (drawn by K. Olynyk),,69-66,,
5:33.0,K. Olynyk misses free throw 1 of 2,,69-66,,
5:33.0,Offensive rebound by Team,,69-66,,
5:33.0,,,69-66,,N. Collison enters the game for S. Adams
5:33.0,K. Olynyk makes free throw 2 of 2,1,70-66,,
5:22.0,Def 3 sec tech foul by B. Bass,,70-66,,
5:22.0,,,70-67,1,R. Westbrook makes technical free throw
5:16.0,,,70-70,3,R. Westbrook makes 3-pt shot from 24 ft (assist by N. Collison)
4:59.0,A. Bradley misses 3-pt shot from 22 ft,,70-70,,
4:57.0,,,70-70,,Defensive rebound by D. Waiters
4:52.0,,,70-72,2,A. Morrow makes 2-pt shot from 13 ft (assist by D. Waiters)
4:31.0,E. Turner misses 2-pt shot from 1 ft,,70-72,,
4:30.0,Offensive rebound by K. Olynyk,,70-72,,
4:30.0,K. Olynyk misses 2-pt shot from 1 ft,,70-72,,
4:28.0,,,70-72,,Defensive rebound by A. Morrow
4:25.0,,,70-72,,Shooting foul by M. Smart (drawn by R. Westbrook)
4:25.0,,,70-73,1,R. Westbrook makes free throw 1 of 2
4:25.0,J. Crowder enters the game for A. Bradley,,70-73,,
4:25.0,,,70-74,1,R. Westbrook makes free throw 2 of 2
4:17.0,K. Olynyk misses 3-pt shot from 24 ft,,70-74,,
4:16.0,,,70-74,,Defensive rebound by E. Kanter
4:09.0,,,70-76,2,R. Westbrook makes 2-pt shot from 1 ft
4:08.0,Boston full timeout,,70-76,,
3:58.0,J. Crowder misses 3-pt shot from 25 ft,,70-76,,
3:57.0,,,70-76,,Defensive rebound by A. Morrow
3:46.0,,,70-79,3,A. Morrow makes 3-pt shot from 24 ft (assist by R. Westbrook)
3:29.0,B. Bass makes 2-pt shot at rim (assist by K. Olynyk),2,72-79,,
3:14.0,,,72-79,,Turnover by E. Kanter (lost ball)
3:14.0,P. Pressey enters the game for E. Turner,,72-79,,
2:59.0,B. Bass makes 2-pt shot from 16 ft (assist by M. Smart),2,74-79,,
2:47.0,,,74-79,,R. Westbrook misses 2-pt shot from 4 ft (block by K. Olynyk)
2:45.0,Defensive rebound by J. Crowder,,74-79,,
2:42.0,J. Crowder makes 2-pt shot from 1 ft (assist by B. Bass),2,76-79,,
2:22.0,,,76-79,,R. Westbrook misses 3-pt shot from 25 ft
2:21.0,,,76-79,,Offensive rebound by E. Kanter
2:20.0,,,76-79,,Shooting foul by J. Crowder (drawn by E. Kanter)
2:20.0,,,76-80,1,E. Kanter makes free throw 1 of 2
2:20.0,,,76-80,,D. Augustin enters the game for D. Waiters
2:20.0,,,76-81,1,E. Kanter makes free throw 2 of 2
2:13.0,,,76-81,,Violation by E. Kanter (kicked ball)
2:13.0,,,76-81,,S. Adams enters the game for E. Kanter
2:13.0,T. Zeller enters the game for B. Bass,,76-81,,
2:05.0,Shooting foul by N. Collison (drawn by K. Olynyk),,76-81,,
2:05.0,K. Olynyk misses free throw 1 of 2,,76-81,,
2:05.0,Offensive rebound by Team,,76-81,,
2:05.0,K. Olynyk misses free throw 2 of 2,,76-81,,
1:59.0,Offensive rebound by J. Crowder,,76-81,,
1:59.0,Turnover by J. Crowder (lost ball; steal by R. Westbrook),,76-81,,
1:59.0,Personal foul by M. Smart (drawn by R. Westbrook),,76-81,,
1:59.0,,,76-81,,R. Westbrook misses free throw 1 of 2
1:59.0,,,76-81,,Offensive rebound by Team
1:59.0,,,76-82,1,R. Westbrook makes free throw 2 of 2
1:46.0,K. Olynyk makes 2-pt shot from 6 ft,2,78-82,,
1:31.0,,,78-82,,Shooting foul by T. Zeller (drawn by S. Adams)
1:31.0,,,78-83,1,S. Adams makes free throw 1 of 2
1:31.0,,,78-84,1,S. Adams makes free throw 2 of 2
1:22.0,J. Crowder misses 2-pt shot from 1 ft,,78-84,,
1:21.0,,,78-84,,Defensive rebound by A. Morrow
1:15.0,,,78-84,,A. Morrow misses 3-pt shot from 25 ft
1:14.0,,,78-84,,Offensive rebound by R. Westbrook
1:14.0,,,78-84,,R. Westbrook misses 2-pt shot from 2 ft
1:12.0,Defensive rebound by M. Smart,,78-84,,
1:08.0,J. Crowder makes 2-pt shot at rim (assist by M. Smart),2,80-84,,
0:49.0,Personal foul by M. Smart (drawn by N. Collison),,80-84,,
0:49.0,,,80-85,1,N. Collison makes free throw 1 of 2
0:49.0,J. Jerebko enters the game for K. Olynyk,,80-85,,
0:49.0,A. Bradley enters the game for M. Smart,,80-85,,
0:49.0,,,80-86,1,N. Collison makes free throw 2 of 2
0:39.0,Turnover by T. Zeller (bad pass; steal by R. Westbrook),,80-86,,
0:36.0,,,80-88,2,R. Westbrook makes 2-pt shot at rim
0:31.0,Shooting foul by A. Morrow (drawn by J. Crowder),,80-88,,
0:31.0,J. Crowder misses free throw 1 of 2,,80-88,,
0:31.0,Offensive rebound by Team,,80-88,,
0:31.0,B. Bass enters the game for T. Zeller,,80-88,,
0:31.0,J. Crowder makes free throw 2 of 2,1,81-88,,
0:08.0,,,81-88,,Shooting foul by A. Bradley (drawn by R. Westbrook)
0:08.0,,,81-89,1,R. Westbrook makes free throw 1 of 3
0:08.0,,,81-90,1,R. Westbrook makes free throw 2 of 3
0:08.0,K. Olynyk enters the game for B. Bass,,81-90,,
0:08.0,,,81-90,,A. Roberson enters the game for N. Collison
0:08.0,,,81-90,,D. Waiters enters the game for A. Morrow
0:08.0,,,81-91,1,R. Westbrook makes free throw 3 of 3
0:02.0,Turnover by K. Olynyk (bad pass; steal by D. Augustin),,81-91,,
0:02.0,Personal foul by P. Pressey (drawn by D. Augustin),,81-91,,
0:02.0,,,81-92,1,D. Augustin makes free throw 1 of 2
0:02.0,,,81-93,1,D. Augustin makes free throw 2 of 2
0:00.0,P. Pressey misses 3-pt shot from 49 ft,,81-93,,
0:00.0,Offensive rebound by Team,,81-93,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,K. Olynyk misses 3-pt shot from 24 ft,,81-93,,
11:48.0,,,81-93,,Defensive rebound by A. Morrow
11:24.0,,,81-93,,Turnover by Team (shot clock)
11:17.0,,,81-93,,Personal foul by S. Adams (drawn by P. Pressey)
11:12.0,A. Bradley misses 2-pt shot from 22 ft,,81-93,,
11:11.0,,,81-93,,Defensive rebound by N. Collison
10:58.0,,,81-95,2,N. Collison makes 2-pt shot from 5 ft
10:39.0,J. Jerebko misses 3-pt shot from 24 ft,,81-95,,
10:38.0,,,81-95,,Defensive rebound by D. Augustin
10:30.0,,,81-95,,N. Collison misses 2-pt shot from 19 ft
10:29.0,Defensive rebound by J. Crowder,,81-95,,
10:22.0,Offensive charge foul by P. Pressey,,81-95,,
10:22.0,Turnover by P. Pressey (offensive foul),,81-95,,
10:02.0,,,81-97,2,D. Waiters makes 2-pt shot from 19 ft
9:50.0,P. Pressey misses 3-pt shot from 24 ft,,81-97,,
9:49.0,Offensive rebound by Team,,81-97,,
9:37.0,K. Olynyk misses 3-pt shot from 24 ft,,81-97,,
9:36.0,,,81-97,,Defensive rebound by D. Waiters
9:31.0,,,81-97,,D. Augustin misses 3-pt shot from 24 ft
9:30.0,Defensive rebound by P. Pressey,,81-97,,
9:26.0,Shooting foul by N. Collison (drawn by P. Pressey),,81-97,,
9:26.0,P. Pressey makes free throw 1 of 2,1,82-97,,
9:26.0,P. Pressey makes free throw 2 of 2,1,83-97,,
9:09.0,,,83-97,,Turnover by D. Augustin (bad pass; steal by K. Olynyk)
9:02.0,K. Olynyk makes 2-pt shot at rim (assist by P. Pressey),2,85-97,,
9:01.0,,,85-97,,Oklahoma City full timeout
9:01.0,,,85-97,,R. Westbrook enters the game for D. Waiters
9:01.0,,,85-97,,S. Novak enters the game for N. Collison
9:01.0,B. Bass enters the game for K. Olynyk,,85-97,,
8:52.0,,,85-99,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
8:34.0,A. Bradley misses 2-pt shot from 19 ft,,85-99,,
8:33.0,,,85-99,,Defensive rebound by R. Westbrook
8:12.0,,,85-99,,A. Morrow misses 3-pt shot from 24 ft
8:11.0,,,85-99,,Offensive rebound by A. Morrow
8:09.0,,,85-99,,A. Morrow misses 3-pt shot from 25 ft
8:07.0,,,85-99,,Offensive rebound by S. Adams
7:50.0,,,85-101,2,A. Morrow makes 2-pt shot from 1 ft (assist by D. Augustin)
7:34.0,P. Pressey misses 3-pt shot from 24 ft,,85-101,,
7:32.0,,,85-101,,Defensive rebound by S. Adams
7:13.0,,,85-101,,S. Adams misses 2-pt shot from 1 ft
7:12.0,Defensive rebound by J. Jerebko,,85-101,,
7:11.0,,,85-101,,Personal foul by S. Novak (drawn by P. Pressey)
7:11.0,E. Turner enters the game for J. Crowder,,85-101,,
7:11.0,M. Smart enters the game for P. Pressey,,85-101,,
7:02.0,Shooting foul by S. Adams (drawn by J. Jerebko),,85-101,,
7:02.0,J. Jerebko makes free throw 1 of 2,1,86-101,,
7:02.0,J. Jerebko makes free throw 2 of 2,1,87-101,,
6:41.0,,,87-101,,R. Westbrook misses 2-pt shot at rim
6:40.0,,,87-101,,Offensive rebound by S. Adams
6:38.0,,,87-101,,S. Adams misses 2-pt shot from 2 ft
6:36.0,,,87-101,,Offensive rebound by R. Westbrook
6:36.0,,,87-101,,R. Westbrook misses 2-pt shot from 2 ft
6:36.0,Defensive rebound by M. Smart,,87-101,,
6:36.0,,,87-101,,Personal foul by R. Westbrook (drawn by M. Smart)
6:36.0,,,87-101,,Technical foul by S. Adams
6:36.0,A. Bradley misses technical free throw,,87-101,,
6:36.0,Offensive rebound by Team,,87-101,,
6:36.0,M. Smart makes free throw 1 of 2,1,88-101,,
6:36.0,,,88-101,,E. Kanter enters the game for S. Novak
6:36.0,M. Smart misses free throw 2 of 2,,88-101,,
6:36.0,,,88-101,,Defensive rebound by S. Adams
6:21.0,,,88-101,,Turnover by D. Augustin (bad pass; steal by E. Turner)
6:19.0,Turnover by E. Turner (bad pass; steal by A. Morrow),,88-101,,
6:18.0,Personal foul by E. Turner (drawn by A. Morrow),,88-101,,
