time,Philadelphia,pts.away,score,pts.home,LA Lakers
0:55.0,,,72-72,3,J. Brown makes 3-pt shot from 24 ft (assist by J. Lin)
0:40.0,I. Canaan misses 2-pt shot from 2 ft,,72-72,,
0:39.0,Offensive rebound by F. Aldemir,,72-72,,
0:39.0,Shooting foul by J. Lin (drawn by F. Aldemir),,72-72,,
0:39.0,F. Aldemir makes free throw 1 of 2,1,73-72,,
0:39.0,F. Aldemir misses free throw 2 of 2,,73-72,,
0:39.0,,,73-72,,Defensive rebound by E. Davis
0:27.0,,,73-74,2,J. Lin makes 2-pt shot from 16 ft
0:05.0,I. Canaan misses 2-pt shot from 2 ft,,73-74,,
0:05.0,Offensive rebound by T. Robinson,,73-74,,
0:05.0,T. Robinson makes 2-pt shot from 1 ft,2,75-74,,
0:02.0,,,75-74,,J. Lin misses 2-pt shot from 17 ft
0:00.0,Defensive rebound by T. Robinson,,75-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,75-76,2,E. Davis makes 2-pt shot at rim
11:29.0,N. Noel misses 2-pt shot from 5 ft,,75-76,,
11:28.0,,,75-76,,Defensive rebound by E. Davis
11:07.0,,,75-78,2,J. Lin makes 2-pt shot from 15 ft
10:38.0,I. Canaan misses 2-pt shot from 1 ft,,75-78,,
10:37.0,,,75-78,,Defensive rebound by J. Lin
10:31.0,,,75-78,,R. Kelly misses 3-pt shot from 24 ft
10:29.0,Defensive rebound by J. Grant,,75-78,,
10:18.0,J. Grant makes 2-pt shot from 19 ft,2,77-78,,
10:06.0,Personal block foul by J. Grant (drawn by J. Lin),,77-78,,
9:56.0,Personal foul by I. Canaan (drawn by J. Lin),,77-78,,
9:51.0,,,77-78,,E. Davis misses 2-pt shot from 2 ft (block by R. Covington)
9:51.0,,,77-78,,Offensive rebound by Team
9:51.0,,,77-78,,Offensive foul by J. Brown
9:51.0,,,77-78,,Turnover by J. Brown (offensive foul)
9:41.0,N. Noel misses 2-pt shot from 3 ft (block by E. Davis),,77-78,,
9:39.0,,,77-78,,Defensive rebound by R. Kelly
9:35.0,,,77-80,2,J. Lin makes 2-pt shot at rim (assist by R. Kelly)
9:18.0,J. Grant misses 3-pt shot from 24 ft,,77-80,,
9:17.0,,,77-80,,Defensive rebound by E. Davis
9:09.0,,,77-82,2,C. Boozer makes 2-pt shot from 5 ft (assist by J. Lin)
8:58.0,Philadelphia full timeout,,77-82,,
8:47.0,J. Grant misses 2-pt shot from 2 ft (block by E. Davis),,77-82,,
8:45.0,,,77-82,,Defensive rebound by J. Lin
8:42.0,,,77-84,2,E. Davis makes 2-pt shot at rim (assist by J. Lin)
8:37.0,,,77-84,,Personal foul by R. Kelly (drawn by T. Robinson)
8:37.0,F. Aldemir enters the game for N. Noel,,77-84,,
8:18.0,I. Canaan misses 2-pt shot from 2 ft (block by E. Davis),,77-84,,
8:16.0,,,77-84,,Defensive rebound by C. Boozer
8:05.0,,,77-84,,C. Boozer misses 2-pt shot from 3 ft
8:04.0,Defensive rebound by T. Robinson,,77-84,,
7:57.0,I. Canaan misses 2-pt shot from 15 ft,,77-84,,
7:56.0,Offensive rebound by Team,,77-84,,
7:56.0,H. Thompson enters the game for R. Covington,,77-84,,
7:47.0,J. Grant misses 3-pt shot from 23 ft,,77-84,,
7:46.0,,,77-84,,Defensive rebound by J. Lin
7:27.0,,,77-84,,C. Boozer misses 2-pt shot from 16 ft
7:25.0,,,77-84,,Offensive rebound by E. Davis
7:21.0,,,77-84,,J. Lin misses 2-pt shot from 5 ft
7:20.0,,,77-84,,Offensive rebound by J. Brown
7:13.0,Personal foul by I. Canaan (drawn by J. Lin),,77-84,,
7:13.0,I. Smith enters the game for I. Canaan,,77-84,,
7:13.0,L. Mbah a Moute enters the game for T. Robinson,,77-84,,
7:01.0,,,77-86,2,J. Lin makes 2-pt shot from 9 ft
6:51.0,Turnover by I. Smith (lost ball),,77-86,,
6:34.0,Personal foul by J. Grant (drawn by J. Lin),,77-86,,
6:27.0,,,77-86,,J. Brown misses 2-pt shot from 6 ft
6:24.0,Defensive rebound by F. Aldemir,,77-86,,
6:16.0,I. Smith misses 2-pt shot from 3 ft,,77-86,,
6:13.0,Offensive rebound by F. Aldemir,,77-86,,
6:13.0,F. Aldemir misses 2-pt shot at rim,,77-86,,
6:11.0,,,77-86,,Defensive rebound by R. Kelly
6:02.0,,,77-86,,J. Lin misses 2-pt shot from 4 ft (block by F. Aldemir)
6:02.0,,,77-86,,Offensive rebound by Team
5:54.0,,,77-88,2,J. Lin makes 2-pt shot from 12 ft
5:45.0,Shooting foul by J. Lin (drawn by I. Smith),,77-88,,
5:45.0,Official timeout,,77-88,,
5:45.0,R. Covington enters the game for J. Grant,,77-88,,
5:45.0,N. Noel enters the game for F. Aldemir,,77-88,,
5:45.0,I. Smith makes free throw 1 of 2,1,78-88,,
5:45.0,I. Smith makes free throw 2 of 2,1,79-88,,
5:34.0,,,79-88,,Shooting foul by R. Covington (drawn by R. Kelly)
5:34.0,,,79-89,1,R. Kelly makes free throw 1 of 2
5:34.0,,,79-90,1,R. Kelly makes free throw 2 of 2
5:15.0,N. Noel misses 2-pt shot from 16 ft,,79-90,,
5:14.0,,,79-90,,Defensive rebound by C. Boozer
4:54.0,,,79-92,2,J. Lin makes 2-pt shot from 16 ft (assist by J. Brown)
4:37.0,I. Smith misses 2-pt shot from 9 ft,,79-92,,
4:34.0,,,79-92,,Defensive rebound by E. Davis
4:19.0,Personal foul by I. Smith (drawn by J. Lin),,79-92,,
4:19.0,,,79-93,1,J. Lin makes free throw 1 of 2
4:19.0,,,79-94,1,J. Lin makes free throw 2 of 2
4:04.0,H. Thompson misses 2-pt shot from 1 ft (block by E. Davis),,79-94,,
4:04.0,Jump ball: E. Davis vs. H. Thompson (C. Boozer gains possession),,,,Jump ball: E. Davis vs. H. Thompson (C. Boozer gains possession)
4:04.0,,,79-94,,Defensive rebound by Team
3:52.0,,,79-94,,J. Brown misses 2-pt shot from 14 ft
3:51.0,Defensive rebound by N. Noel,,79-94,,
3:44.0,R. Covington misses 3-pt shot from 24 ft,,79-94,,
3:42.0,,,79-94,,Defensive rebound by C. Boozer
3:27.0,,,79-94,,E. Davis misses 2-pt shot from 2 ft
3:26.0,Defensive rebound by R. Covington,,79-94,,
3:20.0,H. Thompson makes 3-pt shot from 24 ft (assist by I. Smith),3,82-94,,
3:01.0,,,82-94,,J. Lin misses 2-pt shot from 17 ft
3:00.0,Defensive rebound by N. Noel,,82-94,,
2:48.0,L. Mbah a Moute misses 3-pt shot from 24 ft,,82-94,,
