time,Indiana,pts.away,score,pts.home,Detroit
6:28.0,R. Hibbert makes free throw 2 of 2,1,64-68,,
6:13.0,,,64-68,,K. Caldwell-Pope misses 2-pt shot from 18 ft
6:12.0,Defensive rebound by C. Watson,,64-68,,
6:03.0,,,64-68,,Personal foul by K. Singler (drawn by C. Miles)
5:52.0,C. Watson makes 2-pt shot from 14 ft,2,66-68,,
5:31.0,,,66-68,,Shooting foul by R. Hibbert (drawn by J. Anthony)
5:31.0,,,66-69,1,J. Anthony makes free throw 1 of 2
5:31.0,L. Allen enters the game for R. Hibbert,,66-69,,
5:31.0,,,66-69,,J. Anthony misses free throw 2 of 2
5:30.0,,,66-69,,Offensive rebound by G. Monroe
5:24.0,,,66-71,2,K. Singler makes 2-pt shot at rim (assist by G. Monroe)
5:07.0,D. West misses 2-pt shot from 16 ft,,66-71,,
5:06.0,,,66-71,,Defensive rebound by B. Jennings
5:00.0,,,66-74,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by B. Jennings)
4:38.0,D. West misses 2-pt shot from 3 ft (block by G. Monroe),,66-74,,
4:37.0,Offensive rebound by D. West,,66-74,,
4:35.0,Turnover by C. Miles (lost ball),,66-74,,
4:18.0,,,66-76,2,G. Monroe makes 2-pt shot at rim (assist by B. Jennings)
4:08.0,Shooting foul by J. Anthony (drawn by C. Watson),,66-76,,
4:08.0,C. Watson misses free throw 1 of 2,,66-76,,
4:08.0,Offensive rebound by Team,,66-76,,
4:08.0,,,66-76,,J. Jerebko enters the game for J. Anthony
4:08.0,G. Hill enters the game for C. Miles,,66-76,,
4:08.0,C. Watson misses free throw 2 of 2,,66-76,,
4:07.0,,,66-76,,Defensive rebound by G. Monroe
3:48.0,,,66-78,2,B. Jennings makes 2-pt shot from 15 ft
3:31.0,C. Watson makes 2-pt shot from 16 ft,2,68-78,,
3:20.0,,,68-78,,B. Jennings misses 2-pt shot from 6 ft
3:18.0,,,68-78,,Offensive rebound by G. Monroe
3:16.0,,,68-80,2,G. Monroe makes 2-pt shot from 1 ft
2:58.0,D. West misses 2-pt shot at rim (block by J. Jerebko),,68-80,,
2:55.0,,,68-80,,Defensive rebound by G. Monroe
2:55.0,,,68-82,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by B. Jennings)
2:55.0,Indiana full timeout,,68-82,,
2:55.0,,,68-82,,Detroit full timeout
2:55.0,,,68-82,,J. Anthony enters the game for G. Monroe
2:37.0,G. Hill misses 3-pt shot from 26 ft,,68-82,,
2:35.0,,,68-82,,Defensive rebound by B. Jennings
2:22.0,,,68-82,,B. Jennings misses 3-pt shot from 26 ft
2:21.0,Defensive rebound by D. West,,68-82,,
2:12.0,L. Allen makes 2-pt shot from 15 ft (assist by S. Hill),2,70-82,,
1:59.0,,,70-82,,K. Caldwell-Pope misses 2-pt shot from 4 ft (block by L. Allen)
1:56.0,,,70-82,,Offensive rebound by B. Jennings
1:48.0,,,70-84,2,J. Jerebko makes 2-pt shot at rim (assist by B. Jennings)
1:41.0,Shooting foul by J. Jerebko (drawn by S. Hill),,70-84,,
1:41.0,S. Hill makes free throw 1 of 2,1,71-84,,
1:41.0,,,71-84,,D. Augustin enters the game for B. Jennings
1:41.0,,,71-84,,J. Meeks enters the game for K. Caldwell-Pope
1:41.0,L. Scola enters the game for C. Watson,,71-84,,
1:41.0,D. Sloan enters the game for D. West,,71-84,,
1:41.0,S. Hill makes free throw 2 of 2,1,72-84,,
1:28.0,,,72-84,,J. Jerebko misses 2-pt shot from 5 ft
1:26.0,Defensive rebound by L. Allen,,72-84,,
1:20.0,S. Hill makes 2-pt shot from 1 ft,2,74-84,,
1:20.0,Shooting foul by J. Meeks (drawn by S. Hill),,74-84,,
1:20.0,S. Hill makes free throw 1 of 1,1,75-84,,
1:08.0,,,75-87,3,J. Meeks makes 3-pt shot from 25 ft (assist by D. Augustin)
0:53.0,,,75-87,,Personal foul by J. Jerebko (drawn by D. Sloan)
0:53.0,D. Sloan makes free throw 1 of 2,1,76-87,,
0:53.0,D. Sloan makes free throw 2 of 2,1,77-87,,
0:34.0,,,77-90,3,D. Augustin makes 3-pt shot from 26 ft
0:21.0,L. Allen makes 2-pt shot from 1 ft (assist by S. Hill),2,79-90,,
0:02.0,,,79-93,3,K. Singler makes 3-pt shot from 25 ft (assist by D. Augustin)
0:01.0,G. Hill makes 3-pt shot from 30 ft (assist by L. Scola),3,82-93,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,82-95,2,D. Augustin makes 2-pt shot at rim
11:26.0,G. Hill misses 3-pt shot from 23 ft,,82-95,,
11:25.0,,,82-95,,Defensive rebound by J. Jerebko
11:16.0,,,82-95,,Shooting foul by L. Allen (drawn by J. Jerebko)
11:16.0,,,82-95,,J. Jerebko misses free throw 1 of 2
11:16.0,,,82-95,,Offensive rebound by Team
11:16.0,,,82-96,1,J. Jerebko makes free throw 2 of 2
11:06.0,D. Sloan makes 2-pt shot at rim,2,84-96,,
10:40.0,,,84-98,2,D. Augustin makes 2-pt shot from 7 ft
10:24.0,L. Scola makes 2-pt shot from 19 ft (assist by D. Sloan),2,86-98,,
10:03.0,,,86-101,3,C. Butler makes 3-pt shot from 22 ft (assist by J. Jerebko)
9:44.0,L. Allen misses 2-pt shot from 21 ft,,86-101,,
9:43.0,,,86-101,,Defensive rebound by C. Butler
9:26.0,,,86-101,,J. Jerebko misses 3-pt shot from 26 ft
9:25.0,Defensive rebound by G. Hill,,86-101,,
9:16.0,Turnover by G. Hill (step out of bounds),,86-101,,
9:16.0,R. Hibbert enters the game for L. Allen,,86-101,,
9:04.0,,,86-101,,J. Meeks misses 2-pt shot from 18 ft
9:03.0,Defensive rebound by S. Hill,,86-101,,
8:55.0,S. Hill makes 2-pt shot from 16 ft,2,88-101,,
8:38.0,,,88-103,2,J. Meeks makes 2-pt shot from 1 ft (assist by J. Jerebko)
8:16.0,L. Scola makes 2-pt shot from 13 ft (assist by G. Hill),2,90-103,,
7:57.0,,,90-105,2,A. Drummond makes 2-pt shot from 6 ft (assist by D. Augustin)
7:41.0,R. Hibbert makes 2-pt shot at rim,2,92-105,,
7:28.0,,,92-107,2,D. Augustin makes 2-pt shot at rim
7:26.0,Indiana full timeout,,92-107,,
7:26.0,C. Watson enters the game for D. Sloan,,92-107,,
7:09.0,G. Hill makes 3-pt shot from 26 ft (assist by C. Watson),3,95-107,,
6:56.0,,,95-107,,Turnover by D. Augustin (lost ball; steal by L. Scola)
6:52.0,L. Scola makes 2-pt shot at rim,2,97-107,,
6:42.0,Personal foul by G. Hill (drawn by J. Meeks),,97-107,,
6:31.0,,,97-107,,Shooting foul by R. Hibbert (drawn by A. Drummond)
6:31.0,,,97-108,1,A. Drummond makes free throw 1 of 2
6:31.0,,,97-108,,A. Drummond misses free throw 2 of 2
6:29.0,Defensive rebound by G. Hill,,97-108,,
6:21.0,G. Hill makes 2-pt shot at rim,2,99-108,,
6:05.0,,,99-110,2,A. Drummond makes 2-pt shot from 6 ft (assist by D. Augustin)
6:01.0,,,99-110,,Personal foul by J. Meeks (drawn by G. Hill)
5:53.0,L. Scola misses 2-pt shot from 19 ft,,99-110,,
5:53.0,,,99-110,,Defensive rebound by Team
5:53.0,Loose ball foul by R. Hibbert (drawn by A. Drummond),,99-110,,
5:53.0,Official timeout,,99-110,,
5:53.0,D. West enters the game for R. Hibbert,,99-110,,
5:44.0,Personal foul by L. Scola (drawn by D. Augustin),,99-110,,
5:44.0,,,99-110,,D. Augustin misses free throw 1 of 2
5:44.0,,,99-110,,Offensive rebound by Team
5:44.0,,,99-110,,G. Monroe enters the game for J. Jerebko
5:44.0,,,99-111,1,D. Augustin makes free throw 2 of 2
5:25.0,Turnover by C. Watson (bad pass; steal by D. Augustin),,99-111,,
5:22.0,,,99-111,,Turnover by A. Drummond (bad pass)
5:22.0,,,99-111,,K. Caldwell-Pope enters the game for C. Butler
5:12.0,,,99-111,,Personal foul by K. Caldwell-Pope (drawn by G. Hill)
5:04.0,L. Scola misses 2-pt shot from 2 ft,,99-111,,
5:01.0,,,99-111,,Defensive rebound by A. Drummond
4:56.0,,,99-111,,K. Caldwell-Pope misses 3-pt shot from 25 ft
4:56.0,,,99-111,,Offensive rebound by G. Monroe
4:56.0,Personal foul by C. Watson (drawn by G. Monroe),,99-111,,
4:56.0,,,99-112,1,G. Monroe makes free throw 1 of 2
4:56.0,,,99-112,,G. Monroe misses free throw 2 of 2
4:55.0,Defensive rebound by L. Scola,,99-112,,
4:45.0,,,99-112,,Personal foul by D. Augustin (drawn by C. Watson)
4:34.0,C. Watson makes 3-pt shot from 26 ft (assist by L. Scola),3,102-112,,
4:31.0,Personal take foul by L. Scola (drawn by A. Drummond),,102-112,,
4:31.0,,,102-113,1,A. Drummond makes free throw 1 of 2
4:31.0,,,102-113,,B. Jennings enters the game for J. Meeks
4:31.0,,,102-113,,A. Drummond misses free throw 2 of 2
4:29.0,Defensive rebound by L. Scola,,102-113,,
4:13.0,G. Hill misses 2-pt shot from 7 ft,,102-113,,
4:12.0,Offensive rebound by L. Scola,,102-113,,
4:11.0,L. Scola makes 2-pt shot from 1 ft,2,104-113,,
4:09.0,Personal take foul by D. West (drawn by A. Drummond),,104-113,,
4:09.0,,,104-113,,A. Drummond misses free throw 1 of 2
4:09.0,,,104-113,,Offensive rebound by Team
4:09.0,,,104-113,,A. Drummond misses free throw 2 of 2
4:08.0,Defensive rebound by L. Scola,,104-113,,
3:57.0,S. Hill misses 2-pt shot from 4 ft (block by A. Drummond),,104-113,,
3:57.0,Offensive rebound by L. Scola,,104-113,,
3:57.0,L. Scola makes 2-pt shot at rim,2,106-113,,
