time,Phoenix,pts.away,score,pts.home,Oklahoma City
3:40.0,,,19-28,,A. Morrow misses 3-pt shot from 24 ft
3:40.0,,,19-28,,Offensive rebound by Team
3:40.0,Loose ball foul by A. Len (drawn by K. Perkins),,19-28,,
3:40.0,,,19-29,1,K. Perkins makes free throw 1 of 2
3:40.0,T. Warren enters the game for A. Tolliver,,19-29,,
3:40.0,,,19-29,,N. Collison enters the game for A. Roberson
3:40.0,,,19-29,,K. Perkins misses free throw 2 of 2
3:39.0,,,19-29,,Offensive rebound by K. Perkins
3:29.0,,,19-29,,R. Jackson misses 2-pt shot from 15 ft
3:28.0,,,19-29,,Offensive rebound by R. Jackson
3:25.0,,,19-31,2,R. Jackson makes 2-pt shot from 4 ft
3:13.0,M. Morris misses 3-pt shot from 24 ft,,19-31,,
3:12.0,,,19-31,,Defensive rebound by R. Jackson
3:07.0,,,19-33,2,R. Jackson makes 2-pt shot from 13 ft
2:52.0,M. Morris makes 2-pt shot from 4 ft,2,21-33,,
2:52.0,Shooting foul by N. Collison (drawn by M. Morris),,21-33,,
2:52.0,,,21-33,,Oklahoma City full timeout
2:52.0,,,21-33,,K. Durant enters the game for R. Westbrook
2:52.0,M. Morris makes free throw 1 of 1,1,22-33,,
2:41.0,Personal foul by T. Warren (drawn by K. Durant),,22-33,,
2:41.0,,,22-34,1,K. Durant makes free throw 1 of 2
2:41.0,,,22-35,1,K. Durant makes free throw 2 of 2
2:29.0,M. Morris makes 3-pt shot from 22 ft (assist by I. Thomas),3,25-35,,
2:19.0,,,25-35,,Offensive foul by K. Perkins
2:19.0,,,25-35,,Turnover by K. Perkins (offensive foul)
2:07.0,I. Thomas misses 2-pt shot from 12 ft,,25-35,,
2:06.0,,,25-35,,Defensive rebound by K. Durant
1:59.0,,,25-37,2,K. Durant makes 2-pt shot at rim
1:45.0,T. Warren misses 3-pt shot from 22 ft,,25-37,,
1:44.0,,,25-37,,Defensive rebound by K. Durant
1:35.0,,,25-37,,K. Durant misses 3-pt shot from 24 ft
1:34.0,Defensive rebound by A. Len,,25-37,,
1:23.0,M. Morris misses 3-pt shot from 24 ft,,25-37,,
1:22.0,Offensive rebound by Team,,25-37,,
1:14.0,I. Thomas misses 2-pt shot from 2 ft,,25-37,,
1:13.0,Offensive rebound by T. Warren,,25-37,,
1:13.0,T. Warren makes 2-pt shot from 1 ft,2,27-37,,
1:00.0,,,27-37,,R. Jackson misses 2-pt shot from 12 ft
0:59.0,Defensive rebound by M. Morris,,27-37,,
0:54.0,M. Morris misses 2-pt shot from 2 ft (block by N. Collison),,27-37,,
0:52.0,,,27-37,,Defensive rebound by K. Perkins
0:44.0,,,27-39,2,N. Collison makes 2-pt shot from 1 ft (assist by K. Durant)
0:34.0,I. Thomas makes 2-pt shot from 2 ft,2,29-39,,
0:12.0,,,29-39,,A. Morrow misses 3-pt shot from 25 ft
0:10.0,,,29-39,,Offensive rebound by K. Perkins
0:01.0,,,29-41,2,R. Jackson makes 2-pt shot from 19 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,29-44,3,A. Morrow makes 3-pt shot from 22 ft (assist by K. Durant)
11:40.0,Shooting foul by A. Morrow (drawn by A. Goodwin),,29-44,,
11:40.0,,,29-44,,Violation by K. Perkins (def goaltending)
11:40.0,A. Goodwin makes 2-pt shot from 3 ft,2,31-44,,
11:40.0,A. Goodwin misses free throw 1 of 1,,31-44,,
11:39.0,,,31-44,,Defensive rebound by K. Perkins
11:22.0,,,31-46,2,N. Collison makes 2-pt shot from 1 ft
11:03.0,A. Goodwin misses 3-pt shot from 23 ft,,31-46,,
11:02.0,,,31-46,,Defensive rebound by K. Perkins
10:50.0,,,31-46,,Turnover by K. Durant (bad pass; steal by A. Len)
10:49.0,,,31-46,,Personal take foul by K. Durant (drawn by I. Thomas)
10:49.0,M. Plumlee enters the game for A. Goodwin,,31-46,,
10:49.0,G. Green enters the game for A. Len,,31-46,,
10:49.0,P. Tucker enters the game for T. Warren,,31-46,,
10:36.0,I. Thomas misses 3-pt shot from 24 ft,,31-46,,
10:35.0,,,31-46,,Defensive rebound by K. Durant
10:27.0,,,31-46,,K. Durant misses 2-pt shot from 18 ft
10:25.0,Defensive rebound by M. Plumlee,,31-46,,
10:16.0,G. Green misses 3-pt shot from 24 ft,,31-46,,
10:15.0,,,31-46,,Defensive rebound by K. Perkins
10:01.0,,,31-46,,R. Jackson misses 3-pt shot from 24 ft
10:00.0,Defensive rebound by P. Tucker,,31-46,,
9:49.0,M. Morris makes 2-pt shot from 1 ft,2,33-46,,
9:39.0,,,33-46,,Shooting foul by M. Morris (drawn by A. Morrow)
9:39.0,,,33-47,1,A. Morrow makes free throw 1 of 2
9:39.0,,,33-48,1,A. Morrow makes free throw 2 of 2
9:26.0,Turnover by I. Thomas (lost ball; steal by K. Perkins),,33-48,,
9:23.0,,,33-50,2,K. Durant makes 2-pt shot at rim (assist by A. Morrow)
8:55.0,Official timeout,,33-50,,
8:55.0,Turnover by Team (shot clock),,33-50,,
8:40.0,,,33-52,2,K. Durant makes 2-pt shot from 9 ft
8:32.0,Turnover by G. Green (lost ball; steal by K. Durant),,33-52,,
8:29.0,,,33-52,,Turnover by R. Jackson (bad pass; steal by M. Morris)
8:22.0,M. Morris misses 3-pt shot from 24 ft,,33-52,,
8:21.0,Offensive rebound by M. Plumlee,,33-52,,
8:18.0,,,33-52,,Personal block foul by N. Collison (drawn by M. Morris)
8:18.0,M. Morris enters the game for I. Thomas,,33-52,,
8:18.0,E. Bledsoe enters the game for M. Morris,,33-52,,
8:18.0,,,33-52,,R. Westbrook enters the game for A. Morrow
8:05.0,M. Morris misses 2-pt shot from 15 ft,,33-52,,
8:04.0,,,33-52,,Defensive rebound by R. Westbrook
7:46.0,,,33-54,2,K. Perkins makes 2-pt shot from 3 ft (assist by R. Westbrook)
7:38.0,,,33-54,,Personal block foul by N. Collison (drawn by E. Bledsoe)
7:38.0,,,33-54,,S. Ibaka enters the game for N. Collison
7:35.0,Turnover by G. Green (lost ball; steal by R. Jackson),,33-54,,
7:30.0,,,33-54,,R. Westbrook misses 3-pt shot from 24 ft
7:29.0,Defensive rebound by E. Bledsoe,,33-54,,
7:17.0,P. Tucker misses 3-pt shot from 22 ft,,33-54,,
7:16.0,Offensive rebound by G. Green,,33-54,,
7:03.0,M. Plumlee misses 2-pt shot from 6 ft,,33-54,,
7:02.0,,,33-54,,Defensive rebound by K. Perkins
6:50.0,,,33-54,,Turnover by R. Westbrook (lost ball; steal by E. Bledsoe)
6:49.0,,,33-54,,Personal take foul by R. Westbrook (drawn by E. Bledsoe)
6:49.0,E. Bledsoe makes free throw 1 of 2,1,34-54,,
6:49.0,,,34-54,,A. Morrow enters the game for K. Durant
6:49.0,E. Bledsoe misses free throw 2 of 2,,34-54,,
6:48.0,,,34-54,,Defensive rebound by A. Morrow
6:32.0,,,34-54,,R. Westbrook misses 2-pt shot at rim
6:31.0,,,34-54,,Offensive rebound by R. Westbrook
6:28.0,,,34-54,,R. Westbrook misses 2-pt shot from 1 ft
6:26.0,,,34-54,,Offensive rebound by R. Westbrook
6:25.0,,,34-54,,Offensive charge foul by R. Westbrook
6:25.0,,,34-54,,Turnover by R. Westbrook (offensive foul)
6:25.0,,,34-54,,S. Adams enters the game for K. Perkins
6:25.0,,,34-54,,Technical foul by R. Westbrook
6:25.0,Technical foul by P. Tucker,,34-54,,
6:11.0,M. Plumlee makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,36-54,,
6:01.0,,,36-54,,R. Jackson misses 3-pt shot from 23 ft
6:01.0,Defensive rebound by G. Green,,36-54,,
5:54.0,Turnover by G. Green (bad pass; steal by R. Westbrook),,36-54,,
5:49.0,,,36-54,,R. Westbrook misses 2-pt shot from 16 ft
5:48.0,,,36-54,,Offensive rebound by R. Westbrook
5:45.0,,,36-56,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
5:36.0,E. Bledsoe misses 2-pt shot from 18 ft,,36-56,,
5:35.0,,,36-56,,Defensive rebound by S. Adams
5:28.0,,,36-56,,Oklahoma City full timeout
5:28.0,,,36-56,,Oklahoma City full timeout
5:14.0,,,36-59,3,R. Westbrook makes 3-pt shot from 24 ft (assist by S. Adams)
4:52.0,G. Green makes 2-pt shot from 15 ft,2,38-59,,
4:36.0,,,38-59,,R. Jackson misses 2-pt shot from 1 ft
4:34.0,,,38-59,,Offensive rebound by S. Adams
4:26.0,,,38-61,2,R. Westbrook makes 2-pt shot from 13 ft
4:26.0,,,38-61,,Shooting foul by M. Morris (drawn by R. Westbrook)
4:26.0,,,38-61,,K. Durant enters the game for A. Morrow
4:26.0,,,38-61,,A. Roberson enters the game for R. Jackson
4:26.0,,,38-62,1,R. Westbrook makes free throw 1 of 1
4:12.0,Shooting foul by S. Ibaka (drawn by G. Green),,38-62,,
4:12.0,G. Green makes free throw 1 of 2,1,39-62,,
4:12.0,,,39-62,,P. Jones enters the game for S. Ibaka
4:12.0,I. Thomas enters the game for M. Morris,,39-62,,
4:12.0,G. Green makes free throw 2 of 2,1,40-62,,
3:58.0,,,40-64,2,R. Westbrook makes 2-pt shot from 1 ft
3:52.0,E. Bledsoe misses 2-pt shot at rim,,40-64,,
3:51.0,,,40-64,,Defensive rebound by K. Durant
3:48.0,,,40-64,,Turnover by K. Durant (bad pass; steal by I. Thomas)
3:45.0,,,40-64,,Personal foul by P. Jones (drawn by I. Thomas)
3:45.0,I. Thomas makes free throw 1 of 2,1,41-64,,
3:45.0,I. Thomas makes free throw 2 of 2,1,42-64,,
3:29.0,,,42-64,,Shooting foul by P. Tucker (drawn by K. Durant)
3:29.0,,,42-65,1,K. Durant makes free throw 1 of 2
3:29.0,,,42-66,1,K. Durant makes free throw 2 of 2
3:14.0,Shooting foul by S. Adams (drawn by E. Bledsoe),,42-66,,
3:14.0,E. Bledsoe makes free throw 1 of 2,1,43-66,,
3:14.0,E. Bledsoe makes free throw 2 of 2,1,44-66,,
3:05.0,,,44-66,,Shooting foul by G. Green (drawn by P. Jones)
3:05.0,,,44-66,,P. Jones misses free throw 1 of 2
3:05.0,,,44-66,,Offensive rebound by Team
3:05.0,,,44-66,,P. Jones misses free throw 2 of 2
3:04.0,Defensive rebound by P. Tucker,,44-66,,
2:53.0,Phoenix full timeout,,44-66,,
2:40.0,I. Thomas misses 3-pt shot from 24 ft,,44-66,,
2:39.0,,,44-66,,Defensive rebound by S. Adams
2:23.0,,,44-68,2,R. Westbrook makes 2-pt shot at rim
2:11.0,G. Green misses 3-pt shot from 24 ft,,44-68,,
2:10.0,,,44-68,,Defensive rebound by R. Westbrook
2:04.0,,,44-68,,Turnover by K. Durant (bad pass)
1:47.0,M. Plumlee misses 2-pt shot from 13 ft,,44-68,,
1:46.0,,,44-68,,Defensive rebound by K. Durant
1:39.0,,,44-68,,P. Jones misses 3-pt shot from 22 ft
1:38.0,Defensive rebound by P. Tucker,,44-68,,
1:29.0,E. Bledsoe makes 2-pt shot from 16 ft,2,46-68,,
1:09.0,,,46-68,,K. Durant misses 2-pt shot from 7 ft
1:08.0,Defensive rebound by P. Tucker,,46-68,,
1:02.0,E. Bledsoe makes 2-pt shot from 2 ft,2,48-68,,
0:42.0,,,48-68,,R. Westbrook misses 3-pt shot from 24 ft
0:41.0,Defensive rebound by G. Green,,48-68,,
0:36.0,I. Thomas misses 2-pt shot from 5 ft,,48-68,,
0:34.0,,,48-68,,Defensive rebound by A. Roberson
0:13.0,,,48-70,2,K. Durant makes 2-pt shot at rim
0:03.0,E. Bledsoe misses 2-pt shot from 2 ft (block by K. Durant),,48-70,,
0:02.0,,,48-70,,Defensive rebound by K. Durant
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,48-72,2,S. Ibaka makes 2-pt shot from 17 ft (assist by R. Westbrook)
11:28.0,E. Bledsoe misses 2-pt shot from 19 ft,,48-72,,
11:27.0,,,48-72,,Defensive rebound by R. Westbrook
11:04.0,,,48-72,,S. Ibaka misses 3-pt shot from 22 ft
11:02.0,,,48-72,,Offensive rebound by S. Adams
10:49.0,,,48-72,,K. Durant misses 2-pt shot from 12 ft
10:49.0,Defensive rebound by G. Green,,48-72,,
10:34.0,E. Bledsoe misses 2-pt shot from 2 ft,,48-72,,
10:33.0,,,48-72,,Defensive rebound by A. Roberson
10:24.0,Violation by M. Plumlee (kicked ball),,48-72,,
10:18.0,,,48-72,,R. Westbrook misses 2-pt shot from 17 ft
10:16.0,Defensive rebound by M. Morris,,48-72,,
10:10.0,G. Green makes 3-pt shot from 25 ft (assist by E. Bledsoe),3,51-72,,
9:57.0,,,51-75,3,K. Durant makes 3-pt shot from 25 ft
9:47.0,M. Plumlee misses 2-pt shot at rim,,51-75,,
9:47.0,Offensive rebound by M. Plumlee,,51-75,,
9:46.0,M. Plumlee misses 2-pt shot at rim,,51-75,,
9:44.0,,,51-75,,Defensive rebound by S. Ibaka
9:35.0,,,51-75,,Shooting foul by M. Morris (drawn by S. Adams)
9:35.0,,,51-76,1,S. Adams makes free throw 1 of 2
9:35.0,,,51-77,1,S. Adams makes free throw 2 of 2
9:23.0,M. Morris misses 2-pt shot from 17 ft,,51-77,,
9:23.0,,,51-77,,Defensive rebound by A. Roberson
9:13.0,Personal foul by M. Morris (drawn by S. Ibaka),,51-77,,
9:13.0,M. Morris enters the game for M. Morris,,51-77,,
9:00.0,,,51-77,,R. Westbrook misses 3-pt shot from 26 ft
8:58.0,Defensive rebound by G. Green,,51-77,,
8:45.0,P. Tucker makes 3-pt shot from 22 ft (assist by M. Morris),3,54-77,,
8:29.0,,,54-79,2,K. Durant makes 2-pt shot from 1 ft (assist by R. Westbrook)
8:11.0,,,54-79,,Personal foul by K. Durant (drawn by M. Plumlee)
8:04.0,G. Green makes 2-pt shot from 16 ft (assist by E. Bledsoe),2,56-79,,
7:47.0,Violation by P. Tucker (kicked ball),,56-79,,
7:39.0,,,56-79,,Shooting foul by E. Bledsoe (drawn by R. Westbrook)
7:39.0,,,56-80,1,R. Westbrook makes free throw 1 of 2
7:39.0,,,56-81,1,R. Westbrook makes free throw 2 of 2
7:29.0,M. Morris misses 2-pt shot from 22 ft,,56-81,,
7:28.0,,,56-81,,Defensive rebound by R. Westbrook
7:21.0,,,56-81,,Turnover by K. Durant (bad pass)
7:09.0,E. Bledsoe misses 3-pt shot from 24 ft,,56-81,,
7:08.0,,,56-81,,Defensive rebound by S. Adams
6:57.0,,,56-81,,R. Westbrook misses 2-pt shot from 10 ft (block by E. Bledsoe)
6:55.0,,,56-81,,Offensive rebound by R. Westbrook
6:53.0,,,56-81,,Turnover by S. Adams (3 sec)
6:39.0,G. Green misses 2-pt shot from 14 ft,,56-81,,
6:38.0,,,56-81,,Defensive rebound by K. Durant
6:21.0,,,56-81,,S. Ibaka misses 2-pt shot from 15 ft
6:20.0,Defensive rebound by M. Plumlee,,56-81,,
6:10.0,M. Morris misses 2-pt shot from 14 ft,,56-81,,
6:09.0,,,56-81,,Defensive rebound by A. Roberson
6:03.0,,,56-81,,R. Westbrook misses 2-pt shot from 17 ft
6:02.0,,,56-81,,Offensive rebound by S. Ibaka
6:01.0,,,56-81,,Shooting foul by G. Green (drawn by S. Ibaka)
6:01.0,,,56-82,1,S. Ibaka makes free throw 1 of 2
6:01.0,S. Randolph enters the game for M. Plumlee,,56-82,,
6:01.0,A. Len enters the game for P. Tucker,,56-82,,
6:01.0,,,56-82,,P. Jones enters the game for K. Durant
6:01.0,,,56-83,1,S. Ibaka makes free throw 2 of 2
5:38.0,M. Morris makes 2-pt shot from 4 ft,2,58-83,,
5:25.0,,,58-83,,Shooting foul by A. Len (drawn by R. Westbrook)
5:25.0,,,58-83,,Oklahoma City full timeout
5:25.0,,,58-83,,A. Morrow enters the game for A. Roberson
5:25.0,,,58-84,1,R. Westbrook makes free throw 1 of 2
5:25.0,,,58-85,1,R. Westbrook makes free throw 2 of 2
5:11.0,M. Morris misses 3-pt shot from 24 ft,,58-85,,
5:10.0,Offensive rebound by A. Len,,58-85,,
5:05.0,E. Bledsoe misses 3-pt shot from 24 ft,,58-85,,
5:04.0,,,58-85,,Defensive rebound by A. Morrow
4:54.0,,,58-85,,Turnover by R. Westbrook (bad pass; steal by M. Morris)
4:51.0,E. Bledsoe makes 2-pt shot from 1 ft (assist by M. Morris),2,60-85,,
4:27.0,I. Thomas enters the game for E. Bledsoe,,60-85,,
4:27.0,,,60-85,,Turnover by Team (shot clock)
4:19.0,G. Green misses 2-pt shot from 16 ft,,60-85,,
4:17.0,Offensive rebound by Team,,60-85,,
4:11.0,I. Thomas makes 2-pt shot from 15 ft (assist by M. Morris),2,62-85,,
3:51.0,,,62-85,,A. Morrow misses 2-pt shot from 12 ft
3:51.0,Defensive rebound by I. Thomas,,62-85,,
3:45.0,G. Green misses 3-pt shot from 25 ft,,62-85,,
3:44.0,,,62-85,,Defensive rebound by S. Adams
3:22.0,,,62-85,,R. Westbrook misses 2-pt shot from 18 ft
3:21.0,Defensive rebound by G. Green,,62-85,,
3:07.0,,,62-85,,N. Collison enters the game for S. Ibaka
3:07.0,Jump ball: A. Len vs. R. Westbrook (S. Adams gains possession),,,,Jump ball: A. Len vs. R. Westbrook (S. Adams gains possession)
3:07.0,Turnover by A. Len (lost ball; steal by R. Westbrook),,62-85,,
2:55.0,Personal foul by I. Thomas (drawn by A. Morrow),,62-85,,
2:55.0,Phoenix full timeout,,62-85,,
2:55.0,T. Warren enters the game for G. Green,,62-85,,
2:55.0,,,62-85,,R. Jackson enters the game for R. Westbrook
2:55.0,,,62-86,1,A. Morrow makes free throw 1 of 2
2:55.0,,,62-87,1,A. Morrow makes free throw 2 of 2
2:40.0,S. Randolph misses 2-pt shot from 5 ft,,62-87,,
2:39.0,,,62-87,,Defensive rebound by S. Adams
2:19.0,,,62-87,,A. Morrow misses 3-pt shot from 25 ft
2:18.0,Defensive rebound by I. Thomas,,62-87,,
2:03.0,I. Thomas misses 3-pt shot from 24 ft,,62-87,,
2:02.0,,,62-87,,Defensive rebound by A. Morrow
1:45.0,,,62-89,2,S. Adams makes 2-pt shot from 5 ft
1:30.0,M. Morris misses 2-pt shot from 1 ft,,62-89,,
1:29.0,,,62-89,,Defensive rebound by A. Morrow
1:21.0,,,62-89,,P. Jones misses 3-pt shot from 23 ft
1:21.0,Defensive rebound by Team,,62-89,,
1:21.0,,,62-89,,K. Perkins enters the game for S. Adams
1:07.0,S. Randolph makes 2-pt shot from 23 ft (assist by T. Warren),2,64-89,,
0:55.0,,,64-89,,N. Collison misses 2-pt shot from 14 ft
0:54.0,Defensive rebound by I. Thomas,,64-89,,
0:49.0,Turnover by I. Thomas (lost ball),,64-89,,
0:41.0,,,64-89,,R. Jackson misses 2-pt shot from 2 ft
0:40.0,,,64-89,,Offensive rebound by Team
0:37.0,,,64-89,,Turnover by A. Morrow (step out of bounds)
0:29.0,T. Warren misses 3-pt shot from 24 ft,,64-89,,
0:28.0,Offensive rebound by A. Len,,64-89,,
0:25.0,Turnover by T. Warren (lost ball),,64-89,,
0:05.0,,,64-89,,R. Jackson misses 2-pt shot from 4 ft (block by A. Len)
0:03.0,Defensive rebound by A. Len,,64-89,,
0:00.0,M. Morris misses 3-pt shot from 30 ft,,64-89,,
0:00.0,,,64-89,,Defensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,A. Goodwin makes 3-pt shot from 25 ft (assist by I. Thomas),3,67-89,,
11:24.0,,,67-91,2,A. Morrow makes 2-pt shot from 4 ft (assist by N. Collison)
11:05.0,S. Randolph misses 3-pt shot from 24 ft,,67-91,,
11:04.0,,,67-91,,Defensive rebound by R. Jackson
10:53.0,,,67-91,,K. Perkins misses 2-pt shot from 5 ft
10:52.0,Defensive rebound by A. Goodwin,,67-91,,
10:46.0,A. Goodwin misses 2-pt shot from 2 ft,,67-91,,
10:44.0,Offensive rebound by S. Randolph,,67-91,,
10:34.0,I. Thomas misses 2-pt shot from 15 ft,,67-91,,
10:33.0,Offensive rebound by S. Randolph,,67-91,,
10:31.0,S. Randolph misses 2-pt shot from 3 ft,,67-91,,
10:30.0,Offensive rebound by T. Warren,,67-91,,
10:30.0,T. Warren makes 2-pt shot from 2 ft,2,69-91,,
10:16.0,Personal foul by S. Randolph (drawn by P. Jones),,69-91,,
10:16.0,T. Ennis enters the game for I. Thomas,,69-91,,
10:12.0,,,69-91,,Turnover by N. Collison (bad pass; steal by S. Randolph)
10:05.0,S. Randolph misses 2-pt shot from 5 ft,,69-91,,
10:04.0,,,69-91,,Defensive rebound by K. Perkins
9:46.0,,,69-91,,A. Morrow misses 2-pt shot from 14 ft
9:45.0,Defensive rebound by T. Ennis,,69-91,,
9:32.0,T. Ennis misses 2-pt shot from 7 ft,,69-91,,
9:31.0,,,69-91,,Defensive rebound by P. Jones
9:21.0,,,69-91,,N. Collison misses 3-pt shot from 24 ft
9:20.0,Defensive rebound by T. Ennis,,69-91,,
9:10.0,T. Warren misses 2-pt shot from 21 ft,,69-91,,
9:09.0,,,69-91,,Defensive rebound by N. Collison
8:56.0,,,69-91,,Turnover by R. Jackson (bad pass; steal by T. Warren)
8:52.0,T. Ennis makes 2-pt shot at rim (assist by T. Warren),2,71-91,,
8:52.0,,,71-91,,Oklahoma City full timeout
8:37.0,,,71-93,2,P. Jones makes 2-pt shot from 4 ft
8:37.0,,,71-93,,Shooting foul by T. Warren (drawn by P. Jones)
8:37.0,,,71-94,1,P. Jones makes free throw 1 of 1
8:22.0,S. Randolph misses 2-pt shot from 23 ft,,71-94,,
8:21.0,,,71-94,,Defensive rebound by P. Jones
8:05.0,,,71-94,,Offensive charge foul by R. Jackson
8:05.0,,,71-94,,Turnover by R. Jackson (offensive foul)
8:05.0,,,71-94,,I. Smith enters the game for R. Jackson
7:48.0,A. Len misses 2-pt shot from 12 ft,,71-94,,
7:47.0,,,71-94,,Defensive rebound by Team
7:36.0,,,71-94,,I. Smith misses 2-pt shot from 4 ft
7:35.0,,,71-94,,Offensive rebound by I. Smith
7:30.0,,,71-96,2,N. Collison makes 2-pt shot from 17 ft (assist by I. Smith)
