time,Phoenix,pts.away,score,pts.home,Chicago
5:30.0,B. Knight makes 2-pt shot from 21 ft,2,18-20,,
5:22.0,,,18-23,3,M. Dunleavy makes 3-pt shot from 24 ft (assist by D. Rose)
5:04.0,M. Morris misses 2-pt shot from 13 ft,,18-23,,
5:03.0,,,18-23,,Defensive rebound by J. Noah
4:51.0,,,18-25,2,P. Gasol makes 2-pt shot from 14 ft
4:37.0,B. Knight misses 3-pt shot from 25 ft,,18-25,,
4:36.0,,,18-25,,Defensive rebound by P. Gasol
4:28.0,,,18-25,,Turnover by D. Rose (offensive foul)
4:28.0,,,18-25,,Offensive charge foul by D. Rose
4:28.0,,,18-25,,T. Gibson enters the game for J. Noah
4:28.0,,,18-25,,A. Brooks enters the game for D. Rose
4:28.0,B. Wright enters the game for M. Morris,,18-25,,
4:16.0,B. Knight misses 3-pt shot from 25 ft,,18-25,,
4:15.0,,,18-25,,Defensive rebound by P. Gasol
4:00.0,,,18-25,,J. Butler misses 2-pt shot from 15 ft
3:59.0,Defensive rebound by A. Len,,18-25,,
3:51.0,Turnover by E. Bledsoe (bad pass),,18-25,,
3:39.0,,,18-25,,Turnover by A. Brooks (bad pass; steal by E. Bledsoe)
3:36.0,B. Wright makes 2-pt shot at rim (assist by E. Bledsoe),2,20-25,,
3:13.0,,,20-25,,T. Gibson misses 2-pt shot from 1 ft
3:12.0,Defensive rebound by B. Wright,,20-25,,
3:01.0,Turnover by E. Bledsoe (lost ball),,20-25,,
3:01.0,A. Goodwin enters the game for E. Bledsoe,,20-25,,
2:35.0,,,20-25,,A. Brooks misses 2-pt shot from 21 ft
2:34.0,Defensive rebound by A. Len,,20-25,,
2:24.0,B. Wright makes 2-pt shot from 7 ft (assist by B. Knight),2,22-25,,
2:08.0,,,22-27,2,P. Gasol makes 2-pt shot from 20 ft (assist by A. Brooks)
1:53.0,Turnover by M. Morris (traveling),,22-27,,
1:53.0,Phoenix full timeout,,22-27,,
1:40.0,,,22-27,,M. Dunleavy misses 2-pt shot from 22 ft
1:39.0,Defensive rebound by A. Len,,22-27,,
1:29.0,A. Goodwin makes 2-pt shot from 2 ft,2,24-27,,
1:16.0,Violation by A. Goodwin (def goaltending),,24-27,,
1:16.0,,,24-29,2,M. Dunleavy makes 2-pt shot from 1 ft
1:00.0,B. Wright makes 2-pt shot from 6 ft (assist by B. Knight),2,26-29,,
0:48.0,,,26-31,2,J. Butler makes 2-pt shot from 2 ft (assist by P. Gasol)
0:37.0,Turnover by B. Knight (bad pass; steal by J. Butler),,26-31,,
0:34.0,,,26-33,2,J. Butler makes 2-pt shot at rim
0:26.0,M. Morris makes 2-pt shot from 16 ft,2,28-33,,
0:08.0,,,28-33,,T. Snell enters the game for M. Dunleavy
0:07.0,,,28-33,,Personal take foul by A. Brooks (drawn by B. Knight)
0:00.0,B. Knight misses 2-pt shot from 2 ft,,28-33,,
0:00.0,Offensive rebound by Team,,28-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,28-35,2,T. Snell makes 2-pt shot at rim (assist by J. Noah)
11:32.0,M. Morris makes 3-pt shot from 23 ft (assist by A. Goodwin),3,31-35,,
11:18.0,,,31-35,,T. Snell misses 3-pt shot from 25 ft
11:17.0,,,31-35,,Offensive rebound by N. Mirotic
11:04.0,,,31-35,,N. Mirotic misses 3-pt shot from 24 ft
11:03.0,,,31-35,,Offensive rebound by J. Noah
11:03.0,,,31-35,,J. Noah misses 2-pt shot from 1 ft
11:01.0,Defensive rebound by M. Morris,,31-35,,
10:54.0,A. Goodwin misses 3-pt shot from 24 ft,,31-35,,
10:52.0,Offensive rebound by B. Wright,,31-35,,
10:44.0,M. Morris misses 3-pt shot from 24 ft,,31-35,,
10:41.0,,,31-35,,Defensive rebound by N. Mirotic
10:32.0,,,31-35,,Turnover by A. Brooks (bad pass)
10:16.0,B. Knight makes 2-pt shot from 21 ft (assist by B. Wright),2,33-35,,
10:01.0,Def 3 sec tech foul by M. Morris,,33-35,,
10:01.0,,,33-36,1,A. Brooks makes technical free throw
9:50.0,,,33-39,3,A. Brooks makes 3-pt shot from 24 ft
9:35.0,M. Morris makes 2-pt shot from 15 ft,2,35-39,,
9:24.0,,,35-39,,Turnover by J. Noah (bad pass; steal by B. Wright)
9:19.0,B. Knight misses 2-pt shot from 21 ft,,35-39,,
9:17.0,,,35-39,,Defensive rebound by J. Noah
9:02.0,,,35-42,3,N. Mirotic makes 3-pt shot from 24 ft (assist by A. Brooks)
8:40.0,M. Morris misses 2-pt shot from 10 ft,,35-42,,
8:39.0,,,35-42,,Defensive rebound by J. Noah
8:23.0,,,35-42,,Turnover by A. Brooks (bad pass; steal by M. Morris)
8:20.0,A. Goodwin makes 2-pt shot at rim (assist by M. Morris),2,37-42,,
8:01.0,,,37-42,,T. Gibson misses 2-pt shot from 4 ft
7:59.0,Defensive rebound by M. Morris,,37-42,,
7:53.0,,,37-42,,Personal foul by A. Brooks (drawn by B. Wright)
7:53.0,Phoenix full timeout,,37-42,,
7:45.0,M. Morris makes 2-pt shot from 18 ft,2,39-42,,
7:29.0,,,39-42,,Turnover by T. Snell (bad pass; steal by B. Wright)
7:25.0,A. Goodwin makes 2-pt shot from 1 ft (assist by M. Morris),2,41-42,,
7:05.0,,,41-42,,A. Brooks misses 2-pt shot from 10 ft
7:04.0,Defensive rebound by M. Morris,,41-42,,
7:00.0,A. Goodwin makes 2-pt shot from 1 ft (assist by B. Knight),2,43-42,,
7:00.0,,,43-42,,Chicago full timeout
7:00.0,,,43-42,,D. Rose enters the game for A. Brooks
7:00.0,,,43-42,,J. Butler enters the game for T. Snell
7:00.0,E. Bledsoe enters the game for B. Knight,,43-42,,
6:46.0,,,43-45,3,N. Mirotic makes 3-pt shot from 24 ft (assist by D. Rose)
6:22.0,E. Bledsoe makes 2-pt shot from 19 ft (assist by B. Wright),2,45-45,,
6:09.0,,,45-47,2,N. Mirotic makes 2-pt shot from 2 ft
5:59.0,Shooting foul by T. Gibson (drawn by M. Morris),,45-47,,
5:59.0,M. Morris misses free throw 1 of 2,,45-47,,
5:59.0,Offensive rebound by Team,,45-47,,
5:59.0,P. Tucker enters the game for A. Goodwin,,45-47,,
5:59.0,M. Morris misses free throw 2 of 2,,45-47,,
5:57.0,,,45-47,,Defensive rebound by J. Butler
5:46.0,,,45-47,,D. Rose misses 2-pt shot from 13 ft
5:46.0,,,45-47,,Offensive rebound by Team
5:46.0,,,45-47,,P. Gasol enters the game for J. Noah
5:30.0,,,45-47,,N. Mirotic misses 3-pt shot from 25 ft
5:29.0,,,45-47,,Offensive rebound by P. Gasol
5:28.0,,,45-47,,Offensive charge foul by N. Mirotic
5:28.0,,,45-47,,Turnover by N. Mirotic (offensive foul)
5:04.0,M. Morris misses 2-pt shot from 8 ft,,45-47,,
5:02.0,,,45-47,,Defensive rebound by P. Gasol
5:01.0,,,45-47,,Turnover by P. Gasol (bad pass; steal by P. Tucker)
4:58.0,P. Tucker makes 2-pt shot from 22 ft,2,47-47,,
4:38.0,,,47-49,2,D. Rose makes 2-pt shot from 2 ft
4:30.0,,,47-49,,Personal foul by D. Rose (drawn by E. Bledsoe)
4:30.0,A. Len enters the game for B. Wright,,47-49,,
4:30.0,,,47-49,,M. Dunleavy enters the game for N. Mirotic
4:30.0,,,47-49,,A. Brooks enters the game for D. Rose
4:21.0,M. Morris misses 3-pt shot from 25 ft,,47-49,,
4:20.0,,,47-49,,Defensive rebound by P. Gasol
4:06.0,Personal foul by P. Tucker (drawn by M. Dunleavy),,47-49,,
3:57.0,,,47-49,,A. Brooks misses 2-pt shot from 18 ft
3:56.0,Defensive rebound by E. Bledsoe,,47-49,,
3:39.0,M. Morris misses 2-pt shot from 8 ft,,47-49,,
3:39.0,,,47-49,,Defensive rebound by P. Gasol
3:39.0,Personal foul by A. Len (drawn by P. Gasol),,47-49,,
3:28.0,,,47-49,,J. Butler misses 2-pt shot from 16 ft
3:27.0,Defensive rebound by M. Morris,,47-49,,
3:10.0,P. Tucker misses 3-pt shot from 24 ft,,47-49,,
3:08.0,Offensive rebound by P. Tucker,,47-49,,
3:01.0,M. Morris makes 2-pt shot from 6 ft (assist by M. Morris),2,49-49,,
2:39.0,,,49-49,,P. Gasol misses 2-pt shot from 5 ft (block by A. Len)
2:39.0,,,49-49,,Offensive rebound by Team
2:39.0,Phoenix full timeout,,49-49,,
2:39.0,,,49-49,,J. Noah enters the game for T. Gibson
2:32.0,,,49-51,2,J. Butler makes 2-pt shot from 6 ft
2:17.0,E. Bledsoe makes 3-pt shot from 25 ft,3,52-51,,
1:53.0,,,52-51,,A. Brooks misses 2-pt shot from 18 ft
1:53.0,,,52-51,,Offensive rebound by J. Noah
1:53.0,,,52-51,,Shooting foul by P. Tucker (drawn by J. Noah)
1:53.0,,,52-51,,J. Noah misses free throw 1 of 2
1:53.0,,,52-51,,Offensive rebound by Team
1:53.0,,,52-52,1,J. Noah makes free throw 2 of 2
1:31.0,A. Len makes 2-pt shot from 14 ft,2,54-52,,
1:15.0,,,54-52,,Offensive charge foul by J. Butler
1:15.0,,,54-52,,Turnover by J. Butler (offensive foul)
1:15.0,B. Knight enters the game for P. Tucker,,54-52,,
1:07.0,E. Bledsoe makes 2-pt shot from 13 ft,2,56-52,,
0:52.0,,,56-52,,M. Dunleavy misses 2-pt shot from 1 ft (block by E. Bledsoe)
0:49.0,Defensive rebound by A. Len,,56-52,,
0:43.0,M. Morris misses 2-pt shot from 19 ft,,56-52,,
0:42.0,,,56-52,,Defensive rebound by Team
0:42.0,B. Wright enters the game for A. Len,,56-52,,
0:33.0,,,56-52,,A. Brooks misses 3-pt shot from 25 ft
0:32.0,Defensive rebound by M. Morris,,56-52,,
0:12.0,Turnover by M. Morris (traveling),,56-52,,
0:00.0,,,56-52,,J. Butler misses 2-pt shot from 21 ft
0:00.0,,,56-52,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,56-54,2,P. Gasol makes 2-pt shot from 7 ft
11:22.0,M. Morris misses 2-pt shot from 21 ft,,56-54,,
11:21.0,,,56-54,,Defensive rebound by P. Gasol
11:06.0,,,56-54,,D. Rose misses 3-pt shot from 26 ft
11:04.0,Defensive rebound by P. Tucker,,56-54,,
10:47.0,P. Tucker misses 2-pt shot from 16 ft,,56-54,,
10:46.0,,,56-54,,Defensive rebound by J. Butler
10:33.0,,,56-54,,M. Dunleavy misses 3-pt shot from 25 ft
10:32.0,Defensive rebound by A. Len,,56-54,,
10:26.0,P. Tucker makes 3-pt shot from 24 ft (assist by G. Green),3,59-54,,
10:11.0,,,59-56,2,P. Gasol makes 2-pt shot from 16 ft (assist by M. Dunleavy)
10:01.0,G. Green makes 2-pt shot from 13 ft,2,61-56,,
9:45.0,,,61-58,2,J. Butler makes 2-pt shot at rim (assist by M. Dunleavy)
9:24.0,E. Bledsoe misses 2-pt shot from 9 ft,,61-58,,
9:23.0,Offensive rebound by E. Bledsoe,,61-58,,
9:23.0,Turnover by P. Tucker (step out of bounds),,61-58,,
8:57.0,,,61-58,,J. Butler misses 2-pt shot from 21 ft
8:56.0,Defensive rebound by E. Bledsoe,,61-58,,
8:46.0,Shooting foul by J. Noah (drawn by M. Morris),,61-58,,
8:46.0,M. Morris misses free throw 1 of 2,,61-58,,
8:46.0,Offensive rebound by Team,,61-58,,
8:46.0,M. Morris misses free throw 2 of 2,,61-58,,
8:43.0,,,61-58,,Defensive rebound by J. Butler
8:32.0,,,61-58,,Turnover by P. Gasol (bad pass; steal by M. Morris)
8:23.0,P. Tucker makes 3-pt shot from 23 ft (assist by G. Green),3,64-58,,
8:12.0,,,64-58,,D. Rose misses 2-pt shot from 2 ft
8:11.0,Defensive rebound by G. Green,,64-58,,
8:07.0,G. Green misses 2-pt shot from 3 ft,,64-58,,
8:06.0,,,64-58,,Defensive rebound by M. Dunleavy
8:00.0,,,64-60,2,J. Butler makes 2-pt shot from 2 ft (assist by M. Dunleavy)
7:42.0,A. Len misses 2-pt shot from 1 ft (block by P. Gasol),,64-60,,
7:40.0,,,64-60,,Defensive rebound by D. Rose
7:36.0,,,64-62,2,M. Dunleavy makes 2-pt shot at rim (assist by D. Rose)
7:32.0,Phoenix full timeout,,64-62,,
7:13.0,A. Len misses 2-pt shot from 2 ft (block by P. Gasol),,64-62,,
7:11.0,,,64-62,,Defensive rebound by J. Butler
6:57.0,,,64-62,,J. Noah misses 2-pt shot from 17 ft
6:56.0,Defensive rebound by P. Tucker,,64-62,,
6:46.0,G. Green makes 3-pt shot from 23 ft (assist by A. Len),3,67-62,,
6:17.0,,,67-62,,J. Butler misses 2-pt shot from 20 ft
6:16.0,Defensive rebound by E. Bledsoe,,67-62,,
6:13.0,,,67-62,,Personal foul by J. Butler (drawn by E. Bledsoe)
6:13.0,B. Knight enters the game for G. Green,,67-62,,
6:09.0,Turnover by M. Morris (bad pass; steal by J. Noah),,67-62,,
6:07.0,,,67-62,,Shooting foul by M. Morris (drawn by J. Butler)
6:07.0,,,67-63,1,J. Butler makes free throw 1 of 2
6:07.0,,,67-64,1,J. Butler makes free throw 2 of 2
5:44.0,M. Morris misses 2-pt shot from 21 ft,,67-64,,
5:43.0,,,67-64,,Defensive rebound by P. Gasol
5:42.0,,,67-64,,Turnover by P. Gasol (lost ball; steal by P. Tucker)
5:39.0,P. Tucker misses 2-pt shot from 2 ft,,67-64,,
5:38.0,,,67-64,,Defensive rebound by P. Gasol
5:28.0,,,67-66,2,J. Butler makes 2-pt shot from 2 ft (assist by D. Rose)
5:21.0,Turnover by B. Knight (offensive foul),,67-66,,
5:21.0,Offensive charge foul by B. Knight,,67-66,,
5:09.0,,,67-66,,D. Rose misses 2-pt shot from 11 ft
5:08.0,Defensive rebound by A. Len,,67-66,,
5:02.0,B. Knight makes 2-pt shot from 8 ft,2,69-66,,
4:48.0,Personal foul by P. Tucker (drawn by M. Dunleavy),,69-66,,
4:48.0,,,69-66,,T. Gibson enters the game for J. Noah
4:44.0,,,69-68,2,D. Rose makes 2-pt shot from 3 ft
4:33.0,A. Len makes 2-pt shot from 13 ft (assist by E. Bledsoe),2,71-68,,
4:10.0,,,71-68,,J. Butler misses 2-pt shot from 1 ft
4:09.0,,,71-68,,Offensive rebound by T. Gibson
4:09.0,,,71-70,2,T. Gibson makes 2-pt shot from 1 ft
4:00.0,B. Knight makes 2-pt shot from 1 ft,2,73-70,,
3:59.0,Technical foul by M. Morris,,73-70,,
3:59.0,,,73-71,1,D. Rose makes technical free throw
3:59.0,B. Wright enters the game for M. Morris,,73-71,,
3:52.0,,,73-71,,D. Rose misses 2-pt shot from 2 ft
3:51.0,Defensive rebound by P. Tucker,,73-71,,
3:37.0,A. Len makes 2-pt shot from 14 ft (assist by E. Bledsoe),2,75-71,,
3:15.0,,,75-71,,Shooting foul by A. Len (drawn by P. Gasol)
3:15.0,,,75-72,1,P. Gasol makes free throw 1 of 2
3:15.0,,,75-72,,A. Brooks enters the game for D. Rose
3:15.0,,,75-73,1,P. Gasol makes free throw 2 of 2
3:01.0,B. Knight makes 3-pt shot from 26 ft (assist by E. Bledsoe),3,78-73,,
2:50.0,,,78-73,,Turnover by A. Brooks (step out of bounds)
2:50.0,,,78-73,,Chicago full timeout
2:50.0,A. Goodwin enters the game for P. Tucker,,78-73,,
2:50.0,M. Morris enters the game for E. Bledsoe,,78-73,,
2:31.0,Shooting foul by T. Gibson (drawn by B. Wright),,78-73,,
2:31.0,B. Wright misses free throw 1 of 2,,78-73,,
2:31.0,Offensive rebound by Team,,78-73,,
2:31.0,B. Wright makes free throw 2 of 2,1,79-73,,
2:10.0,,,79-73,,A. Brooks misses 3-pt shot from 23 ft
2:08.0,,,79-73,,Offensive rebound by T. Gibson
2:07.0,,,79-73,,T. Gibson misses 2-pt shot from 2 ft
2:06.0,,,79-73,,Offensive rebound by P. Gasol
2:06.0,,,79-73,,P. Gasol misses 2-pt shot from 2 ft
2:05.0,Defensive rebound by B. Wright,,79-73,,
1:57.0,A. Goodwin makes 2-pt shot from 1 ft (assist by B. Knight),2,81-73,,
1:38.0,,,81-75,2,P. Gasol makes 2-pt shot from 18 ft
1:31.0,B. Knight misses 3-pt shot from 25 ft,,81-75,,
1:30.0,,,81-75,,Defensive rebound by P. Gasol
1:14.0,,,81-78,3,M. Dunleavy makes 3-pt shot from 24 ft (assist by J. Butler)
0:55.0,B. Knight makes 2-pt shot from 10 ft,2,83-78,,
0:42.0,,,83-78,,A. Brooks misses 3-pt shot from 22 ft
0:41.0,Defensive rebound by A. Len,,83-78,,
0:37.0,,,83-78,,Personal foul by M. Dunleavy (drawn by A. Goodwin)
0:37.0,,,83-78,,T. Snell enters the game for J. Butler
0:28.0,M. Morris misses 3-pt shot from 24 ft,,83-78,,
0:27.0,,,83-78,,Defensive rebound by P. Gasol
0:07.0,,,83-81,3,P. Gasol makes 3-pt shot from 22 ft (assist by A. Brooks)
0:02.0,Turnover by A. Goodwin (lost ball; steal by T. Snell),,83-81,,
0:00.0,,,83-81,,M. Dunleavy misses 3-pt shot from 58 ft
0:00.0,,,83-81,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,M. Morris makes 2-pt shot from 17 ft,2,85-81,,
11:23.0,,,85-83,2,T. Gibson makes 2-pt shot from 17 ft (assist by A. Brooks)
11:03.0,M. Morris misses 2-pt shot from 10 ft,,85-83,,
11:02.0,,,85-83,,Defensive rebound by J. Noah
10:57.0,Personal foul by B. Wright (drawn by N. Mirotic),,85-83,,
10:51.0,,,85-85,2,T. Gibson makes 2-pt shot at rim (assist by J. Noah)
10:31.0,B. Knight misses 3-pt shot from 26 ft,,85-85,,
10:30.0,,,85-85,,Defensive rebound by J. Noah
10:19.0,,,85-85,,N. Mirotic misses 3-pt shot from 23 ft
10:18.0,Defensive rebound by M. Morris,,85-85,,
10:00.0,M. Morris misses 2-pt shot from 10 ft,,85-85,,
10:00.0,,,85-85,,Defensive rebound by A. Brooks
9:38.0,,,85-85,,N. Mirotic misses 2-pt shot from 14 ft
9:37.0,,,85-85,,Offensive rebound by T. Gibson
9:32.0,,,85-88,3,A. Brooks makes 3-pt shot from 25 ft (assist by J. Noah)
9:22.0,Phoenix full timeout,,85-88,,
9:07.0,M. Morris misses 2-pt shot from 1 ft (block by J. Noah),,85-88,,
9:04.0,Offensive rebound by A. Goodwin,,85-88,,
9:00.0,A. Goodwin misses 2-pt shot from 19 ft,,85-88,,
8:59.0,,,85-88,,Defensive rebound by N. Mirotic
8:44.0,,,85-91,3,A. Brooks makes 3-pt shot from 25 ft (assist by J. Noah)
8:25.0,A. Goodwin makes 2-pt shot from 1 ft,2,87-91,,
8:01.0,,,87-93,2,T. Gibson makes 2-pt shot from 12 ft (assist by A. Brooks)
7:43.0,M. Morris makes 2-pt shot from 19 ft (assist by B. Knight),2,89-93,,
7:17.0,,,89-96,3,T. Snell makes 3-pt shot from 25 ft (assist by J. Noah)
6:57.0,M. Morris misses 2-pt shot from 18 ft,,89-96,,
6:56.0,,,89-96,,Defensive rebound by T. Snell
6:50.0,,,89-96,,N. Mirotic misses 3-pt shot from 24 ft
6:49.0,,,89-96,,Offensive rebound by J. Noah
6:38.0,,,89-98,2,A. Brooks makes 2-pt shot from 3 ft
6:28.0,Phoenix full timeout,,89-98,,
6:28.0,,,89-98,,D. Rose enters the game for A. Brooks
6:28.0,A. Len enters the game for B. Knight,,89-98,,
6:28.0,P. Tucker enters the game for B. Wright,,89-98,,
6:28.0,E. Bledsoe enters the game for A. Goodwin,,89-98,,
6:09.0,M. Morris makes 2-pt shot from 19 ft (assist by P. Tucker),2,91-98,,
5:49.0,Personal foul by M. Morris (drawn by J. Noah),,91-98,,
5:49.0,,,91-98,,Chicago full timeout
5:49.0,,,91-98,,J. Butler enters the game for N. Mirotic
5:43.0,,,91-98,,Turnover by J. Butler (step out of bounds)
5:22.0,M. Morris misses 2-pt shot from 17 ft,,91-98,,
5:21.0,,,91-98,,Defensive rebound by J. Noah
5:05.0,,,91-100,2,T. Gibson makes 2-pt shot from 16 ft (assist by J. Butler)
4:48.0,P. Tucker misses 3-pt shot from 23 ft,,91-100,,
4:46.0,Offensive rebound by P. Tucker,,91-100,,
4:33.0,P. Tucker makes 2-pt shot from 2 ft,2,93-100,,
4:16.0,,,93-102,2,D. Rose makes 2-pt shot from 1 ft
4:06.0,E. Bledsoe makes 2-pt shot from 19 ft,2,95-102,,
3:53.0,,,95-102,,D. Rose misses 2-pt shot from 18 ft
3:52.0,,,95-102,,Offensive rebound by J. Noah
3:52.0,,,95-102,,J. Noah misses 2-pt shot from 2 ft
3:50.0,Defensive rebound by M. Morris,,95-102,,
3:45.0,E. Bledsoe misses 3-pt shot from 25 ft,,95-102,,
3:42.0,Offensive rebound by A. Len,,95-102,,
3:42.0,A. Len misses 2-pt shot from 1 ft,,95-102,,
3:40.0,,,95-102,,Defensive rebound by D. Rose
3:18.0,,,95-102,,J. Butler misses 2-pt shot from 2 ft
3:17.0,,,95-102,,Offensive rebound by T. Gibson
3:17.0,,,95-104,2,T. Gibson makes 2-pt shot from 1 ft
3:02.0,M. Morris misses 3-pt shot from 23 ft,,95-104,,
3:01.0,,,95-104,,Defensive rebound by T. Snell
2:46.0,,,95-104,,Turnover by J. Butler (lost ball; steal by E. Bledsoe)
2:41.0,M. Morris makes 2-pt shot at rim (assist by E. Bledsoe),2,97-104,,
2:25.0,,,97-104,,J. Butler misses 2-pt shot from 18 ft
2:24.0,Defensive rebound by E. Bledsoe,,97-104,,
2:20.0,P. Tucker makes 2-pt shot from 2 ft (assist by E. Bledsoe),2,99-104,,
2:12.0,,,99-104,,Chicago full timeout
2:12.0,,,99-104,,P. Gasol enters the game for T. Gibson
1:54.0,,,99-104,,T. Snell misses 2-pt shot from 19 ft
1:53.0,,,99-104,,Offensive rebound by J. Noah
1:37.0,,,99-106,2,D. Rose makes 2-pt shot from 2 ft
1:15.0,P. Tucker makes 3-pt shot from 25 ft,3,102-106,,
0:54.0,,,102-106,,Turnover by J. Noah (bad pass; steal by P. Tucker)
0:50.0,E. Bledsoe makes 2-pt shot from 2 ft,2,104-106,,
0:31.0,,,104-108,2,P. Gasol makes 2-pt shot from 7 ft (assist by D. Rose)
0:31.0,Phoenix full timeout,,104-108,,
0:30.0,,,104-108,,Personal foul by D. Rose (drawn by E. Bledsoe)
0:26.0,M. Morris makes 3-pt shot from 25 ft (assist by E. Bledsoe),3,107-108,,
0:23.0,Personal take foul by E. Bledsoe (drawn by D. Rose),,107-108,,
0:16.0,Personal foul by M. Morris (drawn by D. Rose),,107-108,,
0:16.0,,,107-109,1,D. Rose makes free throw 1 of 2
0:16.0,,,107-110,1,D. Rose makes free throw 2 of 2
0:08.0,E. Bledsoe misses 3-pt shot from 27 ft,,107-110,,
0:07.0,,,107-110,,Defensive rebound by J. Butler
0:07.0,Personal foul by P. Tucker (drawn by J. Butler),,107-110,,
0:07.0,,,107-111,1,J. Butler makes free throw 1 of 2
0:07.0,,,107-111,,T. Gibson enters the game for P. Gasol
0:07.0,,,107-112,1,J. Butler makes free throw 2 of 2
0:07.0,Phoenix full timeout,,107-112,,
0:04.0,P. Tucker misses 3-pt shot from 24 ft,,107-112,,
0:03.0,,,107-112,,Defensive rebound by D. Rose
0:00.0,End of 4th quarter,,,,End of 4th quarter
