time,Detroit,pts.away,score,pts.home,Houston
1:38.0,Loose ball foul by A. Tolliver (drawn by J. Smith),,21-25,,
1:38.0,J. Meeks enters the game for K. Caldwell-Pope,,21-25,,
1:31.0,,,21-25,,D. Motiejunas misses 2-pt shot from 6 ft
1:30.0,Defensive rebound by G. Monroe,,21-25,,
1:10.0,G. Monroe misses 2-pt shot from 12 ft,,21-25,,
1:09.0,,,21-25,,Defensive rebound by J. Smith
1:02.0,,,21-27,2,D. Motiejunas makes 2-pt shot from 1 ft (assist by J. Smith)
0:50.0,C. Butler misses 2-pt shot from 21 ft,,21-27,,
0:49.0,,,21-27,,Defensive rebound by J. Terry
0:38.0,,,21-27,,Turnover by J. Harden (lost ball; steal by G. Monroe)
0:32.0,J. Meeks makes 2-pt shot from 2 ft,2,23-27,,
0:10.0,Personal foul by C. Butler (drawn by J. Harden),,23-27,,
0:10.0,,,23-28,1,J. Harden makes free throw 1 of 2
0:10.0,,,23-28,,T. Ariza enters the game for J. Terry
0:10.0,,,23-28,,T. Jones enters the game for D. Motiejunas
0:10.0,,,23-29,1,J. Harden makes free throw 2 of 2
0:00.0,A. Tolliver misses 3-pt shot from 23 ft,,23-29,,
0:00.0,Offensive rebound by Team,,23-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,23-29,,Offensive foul by T. Jones
11:48.0,,,23-29,,Turnover by T. Jones (offensive foul)
11:29.0,C. Butler misses 3-pt shot from 25 ft,,23-29,,
11:28.0,Offensive rebound by C. Butler,,23-29,,
11:23.0,C. Butler misses 2-pt shot from 16 ft,,23-29,,
11:22.0,Offensive rebound by A. Drummond,,23-29,,
11:21.0,A. Drummond misses 2-pt shot at rim,,23-29,,
11:19.0,,,23-29,,Defensive rebound by J. Smith
11:14.0,,,23-29,,J. Terry misses 3-pt shot from 24 ft
11:13.0,,,23-29,,Offensive rebound by Team
11:13.0,Loose ball foul by A. Drummond (drawn by J. Smith),,23-29,,
11:03.0,,,23-29,,T. Ariza misses 3-pt shot from 25 ft
11:02.0,Defensive rebound by A. Drummond,,23-29,,
10:54.0,Shooting foul by J. Terry (drawn by S. Dinwiddie),,23-29,,
10:54.0,S. Dinwiddie makes free throw 1 of 2,1,24-29,,
10:54.0,S. Dinwiddie makes free throw 2 of 2,1,25-29,,
10:38.0,,,25-29,,C. Brewer misses 2-pt shot from 20 ft
10:37.0,Defensive rebound by A. Tolliver,,25-29,,
10:16.0,S. Dinwiddie misses 2-pt shot from 5 ft,,25-29,,
10:15.0,,,25-29,,Defensive rebound by J. Smith
10:04.0,,,25-32,3,T. Jones makes 3-pt shot from 25 ft (assist by T. Ariza)
9:51.0,Turnover by A. Drummond (bad pass),,25-32,,
9:44.0,,,25-32,,J. Smith misses 3-pt shot from 24 ft
9:43.0,Defensive rebound by J. Meeks,,25-32,,
9:39.0,J. Meeks misses 2-pt shot from 3 ft (block by J. Smith),,25-32,,
9:37.0,Offensive rebound by A. Tolliver,,25-32,,
9:35.0,A. Tolliver makes 2-pt shot from 2 ft,2,27-32,,
9:18.0,,,27-32,,Turnover by C. Brewer (bad pass; steal by C. Butler)
9:13.0,J. Meeks makes 2-pt shot from 1 ft (assist by A. Drummond),2,29-32,,
8:59.0,,,29-32,,J. Smith misses 2-pt shot from 8 ft
8:58.0,Defensive rebound by A. Tolliver,,29-32,,
8:46.0,A. Drummond misses 2-pt shot from 6 ft,,29-32,,
8:44.0,,,29-32,,Defensive rebound by T. Jones
8:38.0,,,29-32,,Houston full timeout
8:38.0,,,29-32,,D. Motiejunas enters the game for T. Jones
8:21.0,,,29-34,2,C. Brewer makes 2-pt shot from 17 ft (assist by T. Ariza)
8:07.0,S. Dinwiddie misses 2-pt shot from 2 ft,,29-34,,
8:06.0,,,29-34,,Defensive rebound by D. Motiejunas
7:54.0,Personal foul by A. Tolliver (drawn by D. Motiejunas),,29-34,,
7:42.0,,,29-34,,Turnover by D. Motiejunas (3 sec)
7:26.0,C. Butler makes 3-pt shot from 24 ft (assist by A. Drummond),3,32-34,,
7:15.0,,,32-34,,C. Brewer misses 3-pt shot from 24 ft
7:14.0,,,32-34,,Offensive rebound by J. Smith
7:07.0,,,32-36,2,J. Smith makes 2-pt shot from 4 ft (assist by T. Ariza)
6:58.0,,,32-36,,Shooting block foul by D. Motiejunas (drawn by S. Dinwiddie)
6:58.0,S. Dinwiddie makes free throw 1 of 2,1,33-36,,
6:58.0,,,33-36,,P. Beverley enters the game for D. Motiejunas
6:58.0,,,33-36,,J. Harden enters the game for T. Ariza
6:58.0,,,33-36,,J. Dorsey enters the game for J. Terry
6:58.0,S. Dinwiddie makes free throw 2 of 2,1,34-36,,
6:47.0,,,34-38,2,J. Dorsey makes 2-pt shot at rim (assist by P. Beverley)
6:28.0,A. Drummond misses 2-pt shot from 8 ft,,34-38,,
6:27.0,,,34-38,,Defensive rebound by J. Harden
6:23.0,,,34-38,,Turnover by J. Harden (bad pass; steal by J. Meeks)
6:18.0,C. Butler makes 2-pt shot from 17 ft (assist by J. Meeks),2,36-38,,
6:02.0,,,36-38,,J. Smith misses 2-pt shot from 7 ft
6:01.0,Defensive rebound by S. Dinwiddie,,36-38,,
5:55.0,J. Meeks misses 2-pt shot from 1 ft,,36-38,,
5:54.0,,,36-38,,Defensive rebound by J. Harden
5:47.0,,,36-38,,P. Beverley misses 2-pt shot from 2 ft
5:46.0,,,36-38,,Offensive rebound by J. Dorsey
5:43.0,,,36-41,3,J. Harden makes 3-pt shot from 25 ft (assist by J. Dorsey)
5:33.0,Detroit full timeout,,36-41,,
5:33.0,R. Jackson enters the game for A. Tolliver,,36-41,,
5:33.0,G. Monroe enters the game for S. Dinwiddie,,36-41,,
5:22.0,C. Butler makes 2-pt shot from 20 ft (assist by J. Meeks),2,38-41,,
5:05.0,,,38-41,,Shooting foul by A. Drummond (drawn by J. Harden)
5:05.0,,,38-42,1,J. Harden makes free throw 1 of 2
5:05.0,S. Williams enters the game for A. Drummond,,38-42,,
5:05.0,K. Caldwell-Pope enters the game for J. Meeks,,38-42,,
5:05.0,,,38-42,,J. Harden misses free throw 2 of 2
5:05.0,Defensive rebound by G. Monroe,,38-42,,
4:52.0,S. Williams misses 3-pt shot from 22 ft,,38-42,,
4:50.0,,,38-42,,Defensive rebound by J. Harden
4:46.0,,,38-42,,Turnover by J. Harden (bad pass; steal by C. Butler)
4:42.0,Turnover by K. Caldwell-Pope (bad pass),,38-42,,
4:42.0,Violation by Team (delay of game),,38-42,,
4:28.0,,,38-44,2,C. Brewer makes 2-pt shot at rim
4:13.0,R. Jackson misses 2-pt shot from 18 ft,,38-44,,
4:12.0,,,38-44,,Defensive rebound by J. Smith
4:05.0,,,38-44,,P. Beverley misses 3-pt shot from 24 ft
4:04.0,Defensive rebound by K. Caldwell-Pope,,38-44,,
3:47.0,Shooting foul by J. Dorsey (drawn by G. Monroe),,38-44,,
3:47.0,G. Monroe makes free throw 1 of 2,1,39-44,,
3:47.0,,,39-44,,T. Ariza enters the game for J. Smith
3:47.0,G. Monroe makes free throw 2 of 2,1,40-44,,
3:35.0,,,40-46,2,C. Brewer makes 2-pt shot from 1 ft (assist by J. Harden)
3:12.0,S. Williams makes 2-pt shot from 1 ft (assist by G. Monroe),2,42-46,,
2:58.0,,,42-48,2,J. Harden makes 2-pt shot at rim
2:46.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,42-48,,
2:45.0,,,42-48,,Defensive rebound by J. Harden
2:40.0,,,42-48,,Shooting foul by S. Williams (drawn by J. Harden)
2:40.0,,,42-48,,Houston full timeout
2:40.0,,,42-48,,J. Harden misses free throw 1 of 2
2:40.0,,,42-48,,Offensive rebound by Team
2:40.0,,,42-49,1,J. Harden makes free throw 2 of 2
2:16.0,C. Butler misses 2-pt shot from 19 ft,,42-49,,
2:15.0,Offensive rebound by S. Williams,,42-49,,
2:15.0,S. Williams misses 2-pt shot at rim,,42-49,,
2:14.0,,,42-49,,Defensive rebound by J. Harden
2:08.0,,,42-49,,T. Ariza misses 3-pt shot from 25 ft
2:07.0,,,42-49,,Offensive rebound by Team
1:59.0,,,42-51,2,C. Brewer makes 2-pt shot from 2 ft (assist by T. Ariza)
1:44.0,C. Butler misses 3-pt shot from 24 ft,,42-51,,
1:42.0,,,42-51,,Defensive rebound by J. Dorsey
1:23.0,,,42-51,,P. Beverley misses 2-pt shot from 2 ft
1:22.0,,,42-51,,Offensive rebound by P. Beverley
1:13.0,,,42-51,,P. Beverley misses 3-pt shot from 25 ft
1:12.0,Defensive rebound by C. Butler,,42-51,,
1:06.0,R. Jackson misses 3-pt shot from 26 ft,,42-51,,
1:05.0,,,42-51,,Defensive rebound by J. Dorsey
1:00.0,,,42-51,,C. Brewer misses 2-pt shot from 3 ft
0:59.0,,,42-51,,Offensive rebound by T. Ariza
0:59.0,,,42-51,,T. Ariza misses 2-pt shot at rim
0:58.0,,,42-51,,Offensive rebound by Team
0:58.0,,,42-51,,T. Jones enters the game for J. Dorsey
0:50.0,,,42-51,,J. Harden misses 3-pt shot from 24 ft
0:48.0,Defensive rebound by S. Williams,,42-51,,
0:36.0,S. Williams makes 2-pt shot from 15 ft (assist by R. Jackson),2,44-51,,
0:28.0,,,44-53,2,T. Jones makes 2-pt shot from 3 ft (assist by J. Harden)
0:28.0,,,44-53,,Shooting foul by G. Monroe (drawn by T. Jones)
0:28.0,,,44-54,1,T. Jones makes free throw 1 of 1
0:06.0,S. Williams misses 3-pt shot from 23 ft,,44-54,,
0:05.0,Offensive rebound by G. Monroe,,44-54,,
0:03.0,Shooting foul by T. Ariza (drawn by G. Monroe),,44-54,,
0:03.0,G. Monroe makes free throw 1 of 2,1,45-54,,
0:03.0,G. Monroe makes free throw 2 of 2,1,46-54,,
0:03.0,,,46-54,,Houston full timeout
0:03.0,S. Dinwiddie enters the game for C. Butler,,46-54,,
0:00.0,,,46-54,,T. Jones misses 3-pt shot from 34 ft
0:00.0,,,46-54,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,46-54,,T. Jones misses 2-pt shot from 5 ft (block by A. Drummond)
11:47.0,,,46-54,,Offensive rebound by Team
11:44.0,,,46-54,,Turnover by T. Ariza (bad pass; steal by K. Caldwell-Pope)
11:37.0,T. Prince makes 2-pt shot at rim (assist by R. Jackson),2,48-54,,
11:24.0,,,48-54,,D. Motiejunas misses 3-pt shot from 22 ft
11:23.0,,,48-54,,Offensive rebound by P. Beverley
11:16.0,,,48-54,,T. Jones misses 2-pt shot from 1 ft
11:15.0,Defensive rebound by G. Monroe,,48-54,,
11:03.0,Turnover by K. Caldwell-Pope (bad pass),,48-54,,
10:52.0,,,48-56,2,P. Beverley makes 2-pt shot from 11 ft (assist by J. Harden)
10:34.0,K. Caldwell-Pope makes 2-pt shot from 3 ft,2,50-56,,
10:12.0,Violation by A. Drummond (def goaltending),,50-56,,
10:12.0,,,50-58,2,J. Harden makes 2-pt shot from 7 ft
9:56.0,R. Jackson misses 2-pt shot from 17 ft,,50-58,,
9:55.0,,,50-58,,Defensive rebound by Team
9:37.0,,,50-58,,T. Jones misses 2-pt shot from 1 ft (block by G. Monroe)
9:35.0,Defensive rebound by G. Monroe,,50-58,,
9:33.0,Turnover by G. Monroe (bad pass; steal by D. Motiejunas),,50-58,,
9:26.0,,,50-58,,T. Jones misses 2-pt shot from 3 ft
9:26.0,Defensive rebound by Team,,50-58,,
9:10.0,G. Monroe makes 2-pt shot from 6 ft,2,52-58,,
8:52.0,,,52-58,,D. Motiejunas misses 2-pt shot from 3 ft
8:51.0,Defensive rebound by G. Monroe,,52-58,,
8:46.0,R. Jackson makes 2-pt shot from 1 ft,2,54-58,,
8:35.0,,,54-58,,Shooting foul by T. Prince (drawn by J. Harden)
8:35.0,,,54-59,1,J. Harden makes free throw 1 of 2
8:35.0,,,54-60,1,J. Harden makes free throw 2 of 2
8:24.0,R. Jackson misses 2-pt shot from 13 ft,,54-60,,
8:22.0,Offensive rebound by A. Drummond,,54-60,,
8:20.0,A. Drummond misses 2-pt shot from 8 ft,,54-60,,
8:18.0,,,54-60,,Defensive rebound by T. Jones
8:13.0,,,54-60,,D. Motiejunas misses 2-pt shot from 2 ft
8:08.0,Defensive rebound by A. Drummond,,54-60,,
7:59.0,A. Drummond makes 2-pt shot at rim (assist by G. Monroe),2,56-60,,
7:42.0,,,56-60,,T. Ariza misses 2-pt shot from 9 ft
7:41.0,Defensive rebound by A. Drummond,,56-60,,
7:28.0,K. Caldwell-Pope makes 2-pt shot from 1 ft,2,58-60,,
7:28.0,,,58-60,,Houston full timeout
7:28.0,,,58-60,,J. Dorsey enters the game for D. Motiejunas
7:09.0,,,58-60,,P. Beverley misses 2-pt shot from 6 ft (block by R. Jackson)
7:07.0,Defensive rebound by R. Jackson,,58-60,,
7:04.0,Offensive charge foul by A. Drummond,,58-60,,
7:04.0,Turnover by A. Drummond (offensive foul),,58-60,,
7:04.0,A. Tolliver enters the game for A. Drummond,,58-60,,
6:53.0,,,58-62,2,T. Jones makes 2-pt shot at rim (assist by J. Harden)
6:39.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,58-62,,
6:38.0,,,58-62,,Defensive rebound by T. Jones
6:27.0,,,58-65,3,T. Jones makes 3-pt shot from 25 ft (assist by J. Harden)
6:01.0,G. Monroe makes 2-pt shot from 8 ft,2,60-65,,
5:48.0,,,60-67,2,J. Harden makes 2-pt shot from 17 ft
5:22.0,G. Monroe makes 2-pt shot from 4 ft (assist by K. Caldwell-Pope),2,62-67,,
5:14.0,,,62-67,,Offensive foul by J. Dorsey
5:14.0,,,62-67,,Turnover by J. Dorsey (offensive foul)
5:00.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,62-67,,
4:59.0,,,62-67,,Defensive rebound by Team
4:43.0,,,62-69,2,T. Jones makes 2-pt shot from 6 ft
4:35.0,Detroit full timeout,,62-69,,
4:35.0,,,62-69,,C. Brewer enters the game for T. Ariza
4:35.0,,,62-69,,J. Smith enters the game for T. Jones
4:22.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,62-69,,
4:21.0,,,62-69,,Defensive rebound by J. Harden
4:11.0,,,62-69,,Turnover by J. Dorsey (bad pass; steal by G. Monroe)
4:03.0,A. Tolliver misses 3-pt shot from 23 ft,,62-69,,
4:02.0,,,62-69,,Defensive rebound by J. Dorsey
3:53.0,,,62-69,,J. Harden misses 2-pt shot from 21 ft
3:49.0,,,62-69,,Offensive rebound by J. Dorsey
3:49.0,,,62-71,2,J. Dorsey makes 2-pt shot from 1 ft
3:28.0,R. Jackson misses 2-pt shot from 2 ft,,62-71,,
3:27.0,,,62-71,,Defensive rebound by C. Brewer
3:19.0,,,62-71,,Turnover by J. Harden (lost ball; steal by A. Tolliver)
3:15.0,Shooting foul by J. Dorsey (drawn by G. Monroe),,62-71,,
3:15.0,G. Monroe makes free throw 1 of 2,1,63-71,,
3:15.0,,,63-71,,T. Ariza enters the game for J. Harden
3:15.0,,,63-71,,T. Jones enters the game for P. Beverley
3:15.0,,,63-71,,J. Terry enters the game for J. Dorsey
3:15.0,S. Dinwiddie enters the game for K. Caldwell-Pope,,63-71,,
3:15.0,J. Meeks enters the game for R. Jackson,,63-71,,
3:15.0,G. Monroe misses free throw 2 of 2,,63-71,,
3:07.0,Offensive rebound by T. Prince,,63-71,,
3:05.0,J. Meeks makes 3-pt shot from 26 ft (assist by T. Prince),3,66-71,,
2:53.0,,,66-71,,Turnover by J. Terry (bad pass; steal by G. Monroe)
2:47.0,A. Tolliver misses 3-pt shot from 23 ft,,66-71,,
2:45.0,,,66-71,,Defensive rebound by C. Brewer
2:37.0,,,66-71,,Turnover by T. Jones (lost ball)
2:28.0,,,66-71,,Personal foul by T. Ariza (drawn by T. Prince)
2:23.0,Offensive foul by T. Prince,,66-71,,
2:23.0,Turnover by T. Prince (offensive foul),,66-71,,
2:02.0,,,66-73,2,T. Jones makes 2-pt shot from 2 ft (assist by C. Brewer)
1:50.0,S. Dinwiddie misses 3-pt shot from 25 ft,,66-73,,
1:48.0,Offensive rebound by Team,,66-73,,
1:38.0,T. Prince makes 3-pt shot from 23 ft (assist by J. Meeks),3,69-73,,
1:26.0,,,69-73,,J. Smith misses 3-pt shot from 24 ft
1:25.0,Defensive rebound by J. Meeks,,69-73,,
1:14.0,G. Monroe misses 2-pt shot from 7 ft,,69-73,,
1:13.0,,,69-73,,Defensive rebound by J. Smith
1:07.0,,,69-73,,Shooting foul by G. Monroe (drawn by J. Smith)
1:07.0,,,69-74,1,J. Smith makes free throw 1 of 2
1:07.0,,,69-74,,J. Harden enters the game for T. Ariza
1:07.0,,,69-75,1,J. Smith makes free throw 2 of 2
0:53.0,T. Prince misses 3-pt shot from 23 ft,,69-75,,
0:52.0,Offensive rebound by T. Prince,,69-75,,
0:45.0,J. Meeks misses 3-pt shot from 24 ft,,69-75,,
0:44.0,,,69-75,,Defensive rebound by T. Jones
0:38.0,,,69-75,,C. Brewer misses 2-pt shot from 1 ft
0:38.0,,,69-75,,Offensive rebound by Team
0:38.0,,,69-77,2,J. Harden makes 2-pt shot from 1 ft (assist by J. Terry)
0:27.0,J. Meeks misses 2-pt shot from 17 ft,,69-77,,
0:26.0,,,69-77,,Defensive rebound by C. Brewer
0:02.0,,,69-79,2,J. Harden makes 2-pt shot from 19 ft
0:02.0,,,69-79,,Shooting foul by S. Dinwiddie (drawn by J. Harden)
0:02.0,,,69-80,1,J. Harden makes free throw 1 of 1
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,A. Tolliver misses 3-pt shot from 26 ft,,69-80,,
11:44.0,Offensive rebound by A. Drummond,,69-80,,
11:40.0,A. Drummond misses 2-pt shot from 4 ft,,69-80,,
11:39.0,,,69-80,,Defensive rebound by J. Terry
11:34.0,,,69-80,,J. Harden misses 3-pt shot from 25 ft
11:33.0,Defensive rebound by S. Dinwiddie,,69-80,,
11:24.0,A. Tolliver misses 3-pt shot from 25 ft,,69-80,,
11:23.0,Offensive rebound by A. Drummond,,69-80,,
11:21.0,A. Drummond misses 2-pt shot from 1 ft,,69-80,,
11:20.0,,,69-80,,Defensive rebound by J. Harden
11:15.0,S. Williams enters the game for A. Tolliver,,69-80,,
11:15.0,Jump ball: S. Dinwiddie vs. J. Harden (T. Jones gains possession),,,,Jump ball: S. Dinwiddie vs. J. Harden (T. Jones gains possession)
11:03.0,,,69-80,,J. Terry misses 3-pt shot from 23 ft
11:02.0,Defensive rebound by C. Butler,,69-80,,
10:54.0,S. Williams misses 3-pt shot from 23 ft,,69-80,,
10:53.0,,,69-80,,Defensive rebound by J. Harden
10:49.0,,,69-82,2,C. Brewer makes 2-pt shot from 2 ft (assist by J. Harden)
10:49.0,Detroit full timeout,,69-82,,
10:33.0,S. Dinwiddie misses 2-pt shot from 20 ft,,69-82,,
10:32.0,,,69-82,,Defensive rebound by J. Harden
10:27.0,,,69-84,2,J. Terry makes 2-pt shot from 21 ft (assist by J. Harden)
10:07.0,Turnover by C. Butler (bad pass; steal by J. Terry),,69-84,,
10:04.0,,,69-84,,C. Brewer misses 2-pt shot from 1 ft (block by C. Butler)
10:04.0,,,69-84,,Offensive rebound by Team
10:04.0,R. Jackson enters the game for S. Dinwiddie,,69-84,,
10:00.0,,,69-84,,J. Smith misses 3-pt shot from 25 ft
9:59.0,Defensive rebound by R. Jackson,,69-84,,
9:53.0,R. Jackson misses 2-pt shot from 3 ft (block by J. Smith),,69-84,,
9:52.0,,,69-84,,Defensive rebound by T. Jones
9:43.0,,,69-86,2,T. Jones makes 2-pt shot from 21 ft (assist by J. Smith)
9:26.0,Turnover by R. Jackson (bad pass; steal by T. Jones),,69-86,,
9:20.0,,,69-89,3,C. Brewer makes 3-pt shot from 23 ft (assist by J. Harden)
9:05.0,C. Butler misses 3-pt shot from 25 ft,,69-89,,
9:04.0,,,69-89,,Defensive rebound by T. Jones
8:46.0,,,69-89,,T. Jones misses 3-pt shot from 25 ft
8:45.0,Defensive rebound by Team,,69-89,,
8:45.0,,,69-89,,Loose ball foul by J. Harden (drawn by A. Drummond)
8:45.0,K. Caldwell-Pope enters the game for C. Butler,,69-89,,
8:33.0,R. Jackson misses 2-pt shot from 4 ft,,69-89,,
8:32.0,Offensive rebound by A. Drummond,,69-89,,
8:30.0,A. Drummond misses 2-pt shot from 1 ft (block by T. Jones),,69-89,,
8:29.0,Offensive rebound by Team,,69-89,,
8:21.0,J. Meeks misses 2-pt shot from 6 ft (block by T. Jones),,69-89,,
8:19.0,,,69-89,,Defensive rebound by J. Harden
8:12.0,,,69-89,,Shooting foul by R. Jackson (drawn by J. Harden)
8:12.0,Detroit full timeout,,69-89,,
8:12.0,,,69-90,1,J. Harden makes free throw 1 of 2
8:12.0,,,69-91,1,J. Harden makes free throw 2 of 2
8:01.0,,,69-91,,Personal foul by J. Terry (drawn by R. Jackson)
8:01.0,R. Jackson makes free throw 1 of 2,1,70-91,,
8:01.0,R. Jackson makes free throw 2 of 2,1,71-91,,
7:47.0,,,71-91,,J. Harden misses 2-pt shot from 16 ft
7:46.0,Defensive rebound by S. Williams,,71-91,,
7:23.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,71-91,,
7:22.0,,,71-91,,Defensive rebound by T. Jones
