time,New Orleans,pts.away,score,pts.home,New York
7:23.0,,,5-6,,C. Anthony misses 3-pt shot from 25 ft
7:22.0,Defensive rebound by O. Asik,,5-6,,
7:05.0,Turnover by T. Evans (step out of bounds),,5-6,,
6:54.0,,,5-6,,J. Calderon misses 2-pt shot from 20 ft
6:53.0,Defensive rebound by O. Asik,,5-6,,
6:35.0,E. Gordon misses 2-pt shot from 7 ft,,5-6,,
6:34.0,,,5-6,,Defensive rebound by C. Anthony
6:22.0,,,5-8,2,L. Galloway makes 2-pt shot from 20 ft
6:21.0,New Orleans full timeout,,5-8,,
6:01.0,O. Asik misses 2-pt shot from 1 ft (block by C. Anthony),,5-8,,
6:00.0,Offensive rebound by O. Asik,,5-8,,
5:59.0,O. Asik misses 2-pt shot from 1 ft (block by C. Anthony),,5-8,,
5:58.0,,,5-8,,Defensive rebound by C. Anthony
5:49.0,,,5-11,3,C. Anthony makes 3-pt shot from 24 ft
5:30.0,R. Anderson makes 3-pt shot from 24 ft (assist by E. Gordon),3,8-11,,
5:17.0,,,8-11,,L. Galloway misses 3-pt shot from 25 ft
5:16.0,Defensive rebound by O. Asik,,8-11,,
5:11.0,Shooting foul by L. Amundson (drawn by T. Evans),,8-11,,
5:11.0,T. Evans makes free throw 1 of 2,1,9-11,,
5:11.0,,,9-11,,A. Stoudemire enters the game for L. Amundson
5:11.0,,,9-11,,T. Hardaway enters the game for L. Galloway
5:11.0,Q. Pondexter enters the game for D. Cunningham,,9-11,,
5:11.0,A. Ajinca enters the game for O. Asik,,9-11,,
5:11.0,T. Evans misses free throw 2 of 2,,9-11,,
5:10.0,,,9-11,,Defensive rebound by T. Hardaway
4:50.0,,,9-11,,J. Calderon misses 2-pt shot from 21 ft
4:49.0,,,9-11,,Offensive rebound by A. Stoudemire
4:44.0,,,9-13,2,A. Stoudemire makes 2-pt shot from 1 ft
4:24.0,E. Gordon misses 2-pt shot from 5 ft,,9-13,,
4:23.0,,,9-13,,Defensive rebound by A. Stoudemire
4:02.0,,,9-16,3,C. Anthony makes 3-pt shot from 25 ft
4:02.0,,,9-16,,Shooting foul by Q. Pondexter (drawn by C. Anthony)
4:02.0,,,9-16,,C. Anthony misses free throw 1 of 1
4:01.0,Defensive rebound by A. Ajinca,,9-16,,
3:49.0,A. Ajinca misses 2-pt shot from 16 ft,,9-16,,
3:48.0,Offensive rebound by A. Ajinca,,9-16,,
3:34.0,R. Anderson misses 3-pt shot from 23 ft,,9-16,,
3:33.0,,,9-16,,Defensive rebound by A. Stoudemire
3:24.0,,,9-18,2,C. Anthony makes 2-pt shot from 1 ft
3:08.0,R. Anderson misses 2-pt shot from 2 ft (block by A. Stoudemire),,9-18,,
3:07.0,Offensive rebound by A. Ajinca,,9-18,,
3:06.0,A. Ajinca misses flagrant free throw 1 of 2,,9-18,,
3:06.0,Offensive rebound by Team,,9-18,,
3:06.0,A. Ajinca misses flagrant free throw 2 of 2,,9-18,,
3:06.0,Offensive rebound by Team,,9-18,,
3:06.0,J. Fredette enters the game for T. Evans,,9-18,,
3:06.0,,,9-18,,S. Larkin enters the game for J. Calderon
2:56.0,A. Ajinca misses 2-pt shot from 18 ft,,9-18,,
2:55.0,,,9-18,,Defensive rebound by S. Larkin
2:51.0,Personal foul by A. Ajinca (drawn by A. Stoudemire),,9-18,,
2:51.0,,,9-18,,New York full timeout
2:51.0,,,9-18,,L. Thomas enters the game for J. Smith
2:34.0,,,9-20,2,L. Thomas makes 2-pt shot from 8 ft
2:15.0,E. Gordon makes 2-pt shot from 4 ft,2,11-20,,
1:59.0,,,11-22,2,S. Larkin makes 2-pt shot at rim
1:37.0,E. Gordon makes 3-pt shot from 25 ft (assist by J. Fredette),3,14-22,,
1:22.0,Personal foul by J. Fredette (drawn by T. Hardaway),,14-22,,
1:22.0,,,14-22,,T. Wear enters the game for C. Anthony
1:12.0,,,14-22,,T. Hardaway misses 3-pt shot from 27 ft
1:11.0,,,14-22,,Offensive rebound by A. Stoudemire
0:57.0,,,14-22,,Turnover by T. Wear (traveling)
0:33.0,R. Anderson misses 3-pt shot from 23 ft,,14-22,,
0:33.0,Offensive rebound by Team,,14-22,,
0:33.0,Turnover by Team (shot clock),,14-22,,
0:14.0,,,14-22,,A. Stoudemire misses 2-pt shot from 2 ft
0:13.0,Defensive rebound by J. Fredette,,14-22,,
0:03.0,E. Gordon makes 2-pt shot at rim,2,16-22,,
0:01.0,,,16-22,,A. Stoudemire misses 3-pt shot from 39 ft
0:00.0,,,16-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Turnover by A. Ajinca (traveling),,16-22,,
11:30.0,,,16-24,2,A. Stoudemire makes 2-pt shot from 8 ft (assist by S. Larkin)
11:03.0,J. Fredette makes 2-pt shot from 10 ft,2,18-24,,
10:48.0,,,18-24,,S. Larkin misses 2-pt shot from 3 ft
10:47.0,Defensive rebound by O. Asik,,18-24,,
10:38.0,J. Fredette misses 2-pt shot from 8 ft,,18-24,,
10:37.0,Offensive rebound by Team,,18-24,,
10:25.0,Shooting foul by T. Wear (drawn by Q. Pondexter),,18-24,,
10:25.0,Q. Pondexter makes free throw 1 of 3,1,19-24,,
10:25.0,Q. Pondexter makes free throw 2 of 3,1,20-24,,
10:25.0,Q. Pondexter makes free throw 3 of 3,1,21-24,,
10:10.0,,,21-26,2,A. Stoudemire makes 2-pt shot at rim (assist by T. Hardaway)
9:53.0,J. Fredette makes 2-pt shot from 4 ft,2,23-26,,
9:41.0,Personal foul by T. Evans (drawn by T. Hardaway),,23-26,,
9:35.0,,,23-26,,T. Hardaway misses 3-pt shot from 24 ft
9:34.0,Defensive rebound by A. Ajinca,,23-26,,
9:27.0,J. Fredette misses 3-pt shot from 25 ft,,23-26,,
9:26.0,,,23-26,,Defensive rebound by T. Hardaway
9:10.0,,,23-28,2,A. Stoudemire makes 2-pt shot from 9 ft
8:54.0,Official timeout,,23-28,,
8:54.0,,,23-28,,J. Smith enters the game for T. Wear
8:54.0,Jump ball: T. Evans vs. A. Stoudemire (O. Asik gains possession),,,,Jump ball: T. Evans vs. A. Stoudemire (O. Asik gains possession)
8:45.0,T. Evans misses 2-pt shot from 22 ft,,23-28,,
8:44.0,Offensive rebound by A. Ajinca,,23-28,,
8:43.0,Turnover by Team (shot clock),,23-28,,
8:28.0,,,23-30,2,J. Smith makes 2-pt shot from 19 ft (assist by S. Larkin)
8:04.0,A. Ajinca misses 2-pt shot from 11 ft,,23-30,,
8:03.0,,,23-30,,Defensive rebound by L. Thomas
7:43.0,,,23-33,3,T. Hardaway makes 3-pt shot from 24 ft (assist by J. Smith)
7:26.0,J. Fredette makes 2-pt shot from 21 ft (assist by A. Ajinca),2,25-33,,
7:11.0,,,25-35,2,S. Larkin makes 2-pt shot from 1 ft (assist by J. Smith)
6:52.0,Turnover by O. Asik (traveling),,25-35,,
6:52.0,,,25-35,,L. Amundson enters the game for A. Stoudemire
6:52.0,,,25-35,,C. Anthony enters the game for S. Larkin
6:52.0,,,25-35,,L. Galloway enters the game for L. Thomas
6:52.0,R. Anderson enters the game for Q. Pondexter,,25-35,,
6:52.0,D. Cunningham enters the game for A. Ajinca,,25-35,,
6:52.0,E. Gordon enters the game for J. Fredette,,25-35,,
6:38.0,Personal foul by E. Gordon (drawn by L. Galloway),,25-35,,
6:31.0,,,25-37,2,L. Amundson makes 2-pt shot at rim (assist by L. Galloway)
6:07.0,E. Gordon makes 2-pt shot from 3 ft,2,27-37,,
5:55.0,,,27-37,,Turnover by L. Galloway (bad pass; steal by T. Evans)
5:50.0,T. Evans makes 2-pt shot from 1 ft,2,29-37,,
5:49.0,,,29-37,,New York full timeout
5:35.0,,,29-40,3,T. Hardaway makes 3-pt shot from 25 ft (assist by L. Galloway)
5:11.0,T. Evans misses 3-pt shot from 26 ft,,29-40,,
5:10.0,,,29-40,,Defensive rebound by C. Anthony
5:01.0,,,29-40,,J. Smith misses 2-pt shot from 19 ft
5:00.0,Defensive rebound by E. Gordon,,29-40,,
4:49.0,R. Anderson misses 3-pt shot from 24 ft,,29-40,,
4:48.0,,,29-40,,Defensive rebound by L. Galloway
4:39.0,,,29-42,2,L. Galloway makes 2-pt shot from 20 ft
4:21.0,D. Cunningham misses 2-pt shot from 20 ft,,29-42,,
4:20.0,,,29-42,,Defensive rebound by L. Amundson
3:58.0,,,29-42,,L. Amundson misses 2-pt shot from 15 ft
3:57.0,Defensive rebound by D. Cunningham,,29-42,,
3:46.0,T. Evans makes 2-pt shot from 5 ft,2,31-42,,
3:21.0,,,31-42,,L. Galloway misses 2-pt shot from 10 ft
3:20.0,,,31-42,,Offensive rebound by L. Amundson
3:09.0,,,31-42,,C. Anthony misses 2-pt shot from 10 ft
3:08.0,Defensive rebound by O. Asik,,31-42,,
3:04.0,Shooting foul by T. Hardaway (drawn by E. Gordon),,31-42,,
3:04.0,E. Gordon makes free throw 1 of 2,1,32-42,,
3:04.0,A. Ajinca enters the game for O. Asik,,32-42,,
3:04.0,,,32-42,,J. Calderon enters the game for T. Hardaway
3:04.0,E. Gordon makes free throw 2 of 2,1,33-42,,
2:46.0,,,33-45,3,L. Galloway makes 3-pt shot from 25 ft (assist by J. Calderon)
2:23.0,E. Gordon misses 3-pt shot from 26 ft,,33-45,,
2:22.0,Offensive rebound by A. Ajinca,,33-45,,
2:07.0,T. Evans makes 2-pt shot from 2 ft,2,35-45,,
1:48.0,,,35-45,,J. Smith misses 2-pt shot from 3 ft (block by R. Anderson)
1:47.0,,,35-45,,Offensive rebound by J. Smith
1:44.0,,,35-47,2,L. Amundson makes 2-pt shot from 3 ft (assist by J. Smith)
1:33.0,T. Evans misses 2-pt shot from 2 ft (block by L. Amundson),,35-47,,
1:32.0,Offensive rebound by Team,,35-47,,
1:32.0,New Orleans full timeout,,35-47,,
1:19.0,T. Evans makes 3-pt shot from 23 ft (assist by E. Gordon),3,38-47,,
0:52.0,,,38-50,3,L. Galloway makes 3-pt shot from 25 ft (assist by C. Anthony)
0:35.0,Turnover by R. Anderson (traveling),,38-50,,
0:21.0,,,38-53,3,L. Galloway makes 3-pt shot from 25 ft (assist by J. Smith)
0:00.0,T. Evans makes 3-pt shot from 25 ft (assist by D. Cunningham),3,41-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:52.0,Turnover by E. Gordon (bad pass),,41-53,,
11:32.0,,,41-53,,L. Amundson misses 2-pt shot from 16 ft
11:31.0,Defensive rebound by D. Cunningham,,41-53,,
11:15.0,D. Cunningham makes 2-pt shot from 18 ft (assist by E. Gordon),2,43-53,,
11:02.0,,,43-56,3,C. Anthony makes 3-pt shot from 25 ft
10:35.0,T. Evans misses 2-pt shot from 2 ft,,43-56,,
10:34.0,Offensive rebound by O. Asik,,43-56,,
10:34.0,O. Asik makes 2-pt shot from 1 ft,2,45-56,,
10:19.0,,,45-56,,Shooting foul by D. Cunningham (drawn by C. Anthony)
10:19.0,,,45-57,1,C. Anthony makes free throw 1 of 2
10:19.0,,,45-57,,C. Anthony misses free throw 2 of 2
10:18.0,Defensive rebound by O. Asik,,45-57,,
10:02.0,R. Anderson misses 3-pt shot from 26 ft,,45-57,,
10:01.0,Offensive rebound by T. Evans,,45-57,,
9:59.0,T. Evans makes 2-pt shot from 1 ft,2,47-57,,
9:35.0,,,47-57,,J. Calderon misses 3-pt shot from 25 ft
9:34.0,Defensive rebound by O. Asik,,47-57,,
9:22.0,D. Cunningham misses 2-pt shot from 20 ft,,47-57,,
9:21.0,,,47-57,,Defensive rebound by L. Amundson
9:04.0,,,47-59,2,J. Calderon makes 2-pt shot from 21 ft (assist by J. Smith)
8:44.0,E. Gordon makes 2-pt shot from 5 ft,2,49-59,,
8:31.0,,,49-59,,J. Calderon misses 2-pt shot from 14 ft
8:30.0,Defensive rebound by O. Asik,,49-59,,
8:23.0,T. Evans misses 2-pt shot from 3 ft (block by J. Smith),,49-59,,
8:22.0,Offensive rebound by Team,,49-59,,
8:18.0,E. Gordon makes 2-pt shot from 2 ft (assist by D. Cunningham),2,51-59,,
8:03.0,,,51-61,2,L. Galloway makes 2-pt shot from 19 ft (assist by J. Smith)
7:42.0,O. Asik makes 2-pt shot at rim (assist by E. Gordon),2,53-61,,
7:29.0,Personal foul by D. Cunningham (drawn by C. Anthony),,53-61,,
7:19.0,,,53-61,,J. Calderon misses 2-pt shot from 19 ft
7:18.0,Defensive rebound by O. Asik,,53-61,,
7:10.0,T. Evans misses 2-pt shot from 1 ft (block by L. Amundson),,53-61,,
7:09.0,Offensive rebound by O. Asik,,53-61,,
7:08.0,O. Asik makes 2-pt shot at rim,2,55-61,,
7:07.0,,,55-61,,New York full timeout
6:45.0,,,55-61,,C. Anthony misses 2-pt shot from 11 ft
6:42.0,,,55-61,,Offensive rebound by Team
6:35.0,,,55-63,2,J. Smith makes 2-pt shot from 19 ft (assist by L. Galloway)
6:13.0,R. Anderson misses 3-pt shot from 27 ft,,55-63,,
6:12.0,,,55-63,,Defensive rebound by L. Galloway
6:03.0,,,55-65,2,L. Galloway makes 2-pt shot from 2 ft
5:51.0,Turnover by R. Anderson (lost ball; steal by C. Anthony),,55-65,,
5:40.0,,,55-65,,L. Galloway misses 3-pt shot from 25 ft
5:39.0,Defensive rebound by T. Evans,,55-65,,
5:35.0,Shooting foul by J. Smith (drawn by O. Asik),,55-65,,
5:35.0,O. Asik makes free throw 1 of 2,1,56-65,,
5:35.0,L. Babbitt enters the game for R. Anderson,,56-65,,
5:35.0,O. Asik misses free throw 2 of 2,,56-65,,
5:34.0,Offensive rebound by T. Evans,,56-65,,
5:11.0,O. Asik makes 2-pt shot at rim (assist by E. Gordon),2,58-65,,
4:56.0,,,58-65,,J. Calderon misses 3-pt shot from 26 ft
4:55.0,,,58-65,,Offensive rebound by L. Galloway
4:41.0,,,58-67,2,J. Smith makes 2-pt shot from 1 ft (assist by L. Amundson)
4:26.0,,,58-67,,Violation by L. Amundson (def goaltending)
4:26.0,O. Asik makes 2-pt shot from 1 ft,2,60-67,,
4:16.0,Personal foul by E. Gordon (drawn by C. Anthony),,60-67,,
4:16.0,A. Ajinca enters the game for O. Asik,,60-67,,
4:16.0,,,60-67,,A. Stoudemire enters the game for L. Amundson
4:16.0,,,60-67,,L. Thomas enters the game for J. Smith
4:08.0,,,60-69,2,C. Anthony makes 2-pt shot from 18 ft (assist by A. Stoudemire)
3:44.0,T. Evans misses 3-pt shot from 23 ft,,60-69,,
3:43.0,,,60-69,,Defensive rebound by A. Stoudemire
3:37.0,,,60-69,,Shooting foul by D. Cunningham (drawn by C. Anthony)
3:37.0,,,60-69,,C. Anthony misses free throw 1 of 2
3:37.0,,,60-69,,Offensive rebound by Team
3:37.0,N. Wolters enters the game for T. Evans,,60-69,,
3:37.0,Q. Pondexter enters the game for L. Babbitt,,60-69,,
3:37.0,,,60-69,,T. Hardaway enters the game for J. Calderon
3:37.0,,,60-70,1,C. Anthony makes free throw 2 of 2
3:23.0,A. Ajinca misses 2-pt shot from 8 ft,,60-70,,
3:22.0,,,60-70,,Defensive rebound by T. Hardaway
3:13.0,,,60-70,,L. Galloway misses 2-pt shot from 1 ft
3:12.0,Defensive rebound by A. Ajinca,,60-70,,
2:55.0,E. Gordon misses 3-pt shot from 25 ft,,60-70,,
2:54.0,,,60-70,,Defensive rebound by Team
2:54.0,New Orleans full timeout,,60-70,,
2:54.0,J. Withey enters the game for D. Cunningham,,60-70,,
2:54.0,,,60-70,,S. Larkin enters the game for L. Galloway
2:35.0,,,60-72,2,A. Stoudemire makes 2-pt shot at rim (assist by S. Larkin)
2:17.0,J. Withey misses 2-pt shot from 4 ft (block by L. Thomas),,60-72,,
2:16.0,Offensive rebound by J. Withey,,60-72,,
2:08.0,Q. Pondexter makes 2-pt shot from 21 ft,2,62-72,,
1:56.0,Personal foul by A. Ajinca (drawn by A. Stoudemire),,62-72,,
1:56.0,,,62-73,1,A. Stoudemire makes free throw 1 of 2
1:56.0,J. Fredette enters the game for E. Gordon,,62-73,,
1:56.0,,,62-74,1,A. Stoudemire makes free throw 2 of 2
1:40.0,Shooting foul by T. Hardaway (drawn by J. Withey),,62-74,,
1:40.0,J. Withey misses free throw 1 of 2,,62-74,,
1:40.0,Offensive rebound by Team,,62-74,,
1:40.0,,,62-74,,J. Smith enters the game for C. Anthony
1:40.0,J. Withey makes free throw 2 of 2,1,63-74,,
1:30.0,,,63-76,2,J. Smith makes 2-pt shot from 17 ft (assist by L. Thomas)
1:17.0,A. Ajinca misses 2-pt shot from 13 ft,,63-76,,
1:16.0,Offensive rebound by J. Withey,,63-76,,
1:16.0,J. Withey misses 2-pt shot at rim,,63-76,,
1:15.0,,,63-76,,Defensive rebound by L. Thomas
0:55.0,,,63-76,,Shooting foul by J. Withey (drawn by L. Thomas)
0:55.0,,,63-77,1,L. Thomas makes free throw 1 of 2
0:55.0,,,63-78,1,L. Thomas makes free throw 2 of 2
0:40.0,N. Wolters misses 2-pt shot from 4 ft,,63-78,,
0:39.0,Offensive rebound by J. Fredette,,63-78,,
0:25.0,A. Ajinca makes 2-pt shot from 2 ft (assist by J. Fredette),2,65-78,,
0:04.0,,,65-78,,S. Larkin misses 2-pt shot from 19 ft
0:03.0,,,65-78,,Offensive rebound by L. Thomas
0:01.0,,,65-78,,T. Hardaway misses 3-pt shot from 25 ft
0:00.0,,,65-78,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,65-78,,L. Thomas misses 2-pt shot from 19 ft
11:37.0,Defensive rebound by A. Ajinca,,65-78,,
11:16.0,R. Anderson makes 3-pt shot from 24 ft (assist by T. Evans),3,68-78,,
10:49.0,,,68-80,2,A. Stoudemire makes 2-pt shot from 2 ft
10:35.0,T. Evans misses 2-pt shot from 1 ft,,68-80,,
10:34.0,,,68-80,,Defensive rebound by A. Stoudemire
10:24.0,,,68-80,,L. Thomas misses 2-pt shot from 10 ft
10:22.0,Defensive rebound by A. Ajinca,,68-80,,
10:13.0,R. Anderson makes 2-pt shot from 8 ft,2,70-80,,
9:56.0,,,70-82,2,J. Smith makes 2-pt shot from 8 ft (assist by T. Hardaway)
9:43.0,A. Ajinca makes 2-pt shot from 1 ft (assist by T. Evans),2,72-82,,
9:43.0,Shooting foul by A. Stoudemire (drawn by A. Ajinca),,72-82,,
9:43.0,A. Ajinca makes free throw 1 of 1,1,73-82,,
9:23.0,,,73-82,,S. Larkin misses 2-pt shot from 7 ft
9:22.0,Defensive rebound by Q. Pondexter,,73-82,,
9:21.0,,,73-82,,Personal foul by A. Stoudemire (drawn by Q. Pondexter)
9:07.0,R. Anderson misses 2-pt shot from 20 ft,,73-82,,
9:06.0,,,73-82,,Defensive rebound by J. Smith
8:51.0,,,73-82,,A. Stoudemire misses 2-pt shot from 18 ft
8:50.0,Defensive rebound by T. Evans,,73-82,,
8:36.0,T. Evans makes 2-pt shot from 1 ft,2,75-82,,
8:18.0,,,75-84,2,T. Hardaway makes 2-pt shot from 2 ft (assist by S. Larkin)
7:58.0,R. Anderson makes 3-pt shot from 27 ft (assist by T. Evans),3,78-84,,
7:57.0,,,78-84,,New York full timeout
7:57.0,E. Gordon enters the game for N. Wolters,,78-84,,
7:57.0,,,78-84,,L. Galloway enters the game for A. Stoudemire
7:57.0,,,78-84,,C. Anthony enters the game for S. Larkin
7:57.0,,,78-84,,Violation by Team (delay of game)
7:33.0,,,78-84,,Shooting foul by Q. Pondexter (drawn by L. Galloway)
7:33.0,,,78-85,1,L. Galloway makes free throw 1 of 2
7:33.0,,,78-86,1,L. Galloway makes free throw 2 of 2
7:15.0,T. Evans misses 2-pt shot from 1 ft,,78-86,,
7:14.0,Offensive rebound by A. Ajinca,,78-86,,
7:14.0,A. Ajinca makes 2-pt shot from 1 ft,2,80-86,,
6:55.0,,,80-86,,C. Anthony misses 2-pt shot from 17 ft
6:54.0,Defensive rebound by R. Anderson,,80-86,,
6:45.0,,,80-86,,Personal foul by L. Galloway (drawn by E. Gordon)
6:37.0,Turnover by T. Evans (bad pass; steal by L. Thomas),,80-86,,
6:21.0,,,80-89,3,T. Hardaway makes 3-pt shot from 25 ft (assist by C. Anthony)
6:02.0,Q. Pondexter makes 3-pt shot from 25 ft,3,83-89,,
5:42.0,,,83-89,,L. Thomas misses 2-pt shot from 19 ft
5:41.0,,,83-89,,Offensive rebound by L. Galloway
5:41.0,,,83-91,2,L. Galloway makes 2-pt shot at rim
5:21.0,Q. Pondexter makes 2-pt shot at rim,2,85-91,,
4:54.0,,,85-91,,C. Anthony misses 2-pt shot from 12 ft
4:53.0,,,85-91,,Offensive rebound by J. Smith
4:52.0,,,85-91,,J. Smith misses 2-pt shot from 1 ft
4:51.0,Defensive rebound by T. Evans,,85-91,,
4:47.0,Q. Pondexter misses 3-pt shot from 23 ft,,85-91,,
4:46.0,Offensive rebound by T. Evans,,85-91,,
4:38.0,T. Evans misses 2-pt shot from 3 ft,,85-91,,
4:37.0,Offensive rebound by A. Ajinca,,85-91,,
4:36.0,Shooting foul by L. Galloway (drawn by A. Ajinca),,85-91,,
4:36.0,Official timeout,,85-91,,
4:36.0,,,85-91,,A. Stoudemire enters the game for J. Smith
4:36.0,A. Ajinca misses free throw 1 of 2,,85-91,,
4:36.0,Offensive rebound by Team,,85-91,,
4:36.0,A. Ajinca makes free throw 2 of 2,1,86-91,,
4:14.0,,,86-91,,L. Galloway misses 3-pt shot from 25 ft
4:13.0,Defensive rebound by T. Evans,,86-91,,
3:56.0,R. Anderson misses 3-pt shot from 24 ft,,86-91,,
3:55.0,,,86-91,,Defensive rebound by C. Anthony
3:40.0,Violation by R. Anderson (kicked ball),,86-91,,
3:40.0,O. Asik enters the game for A. Ajinca,,86-91,,
3:27.0,,,86-91,,L. Galloway misses 2-pt shot from 4 ft
3:26.0,Defensive rebound by Q. Pondexter,,86-91,,
3:13.0,T. Evans makes 2-pt shot at rim,2,88-91,,
2:53.0,,,88-91,,C. Anthony misses 2-pt shot from 1 ft
2:52.0,,,88-91,,Offensive rebound by C. Anthony
2:52.0,,,88-93,2,C. Anthony makes 2-pt shot from 1 ft
2:44.0,,,88-93,,Personal foul by T. Hardaway (drawn by T. Evans)
2:44.0,New Orleans full timeout,,88-93,,
2:44.0,,,88-93,,L. Amundson enters the game for A. Stoudemire
2:44.0,,,88-93,,J. Calderon enters the game for T. Hardaway
2:44.0,,,88-93,,J. Smith enters the game for L. Thomas
2:44.0,T. Evans makes free throw 1 of 2,1,89-93,,
2:44.0,T. Evans makes free throw 2 of 2,1,90-93,,
2:27.0,Personal foul by E. Gordon (drawn by L. Galloway),,90-93,,
2:14.0,,,90-93,,C. Anthony misses 3-pt shot from 25 ft
2:13.0,Defensive rebound by O. Asik,,90-93,,
1:56.0,T. Evans makes 2-pt shot from 4 ft,2,92-93,,
1:41.0,,,92-93,,Offensive foul by C. Anthony
1:41.0,,,92-93,,Turnover by C. Anthony (offensive foul)
1:26.0,E. Gordon misses 2-pt shot from 9 ft,,92-93,,
1:25.0,Offensive rebound by O. Asik,,92-93,,
1:07.0,R. Anderson misses 3-pt shot from 25 ft,,92-93,,
1:06.0,,,92-93,,Defensive rebound by C. Anthony
0:59.0,,,92-93,,New York full timeout
0:59.0,D. Cunningham enters the game for R. Anderson,,92-93,,
0:43.0,Personal foul by O. Asik (drawn by L. Amundson),,92-93,,
0:33.0,,,92-96,3,J. Calderon makes 3-pt shot from 24 ft (assist by C. Anthony)
0:33.0,New Orleans full timeout,,92-96,,
0:33.0,R. Anderson enters the game for D. Cunningham,,92-96,,
0:33.0,,,92-96,,L. Thomas enters the game for J. Calderon
0:25.0,R. Anderson misses 3-pt shot from 24 ft,,92-96,,
0:23.0,,,92-96,,Defensive rebound by C. Anthony
0:19.0,Personal take foul by Q. Pondexter (drawn by C. Anthony),,92-96,,
0:19.0,,,92-96,,C. Anthony misses free throw 1 of 2
0:19.0,,,92-96,,Offensive rebound by Team
0:19.0,,,92-97,1,C. Anthony makes free throw 2 of 2
0:19.0,New Orleans full timeout,,92-97,,
0:11.0,E. Gordon misses 2-pt shot from 21 ft (block by J. Smith),,92-97,,
0:09.0,,,92-97,,Defensive rebound by C. Anthony
0:08.0,Personal take foul by E. Gordon (drawn by C. Anthony),,92-97,,
0:08.0,,,92-98,1,C. Anthony makes free throw 1 of 2
0:08.0,,,92-99,1,C. Anthony makes free throw 2 of 2
0:08.0,New Orleans full timeout,,92-99,,
0:06.0,E. Gordon misses 3-pt shot from 25 ft,,92-99,,
0:05.0,Offensive rebound by Q. Pondexter,,92-99,,
0:03.0,Q. Pondexter misses 3-pt shot from 26 ft,,92-99,,
0:01.0,Offensive rebound by O. Asik,,92-99,,
0:01.0,O. Asik misses 2-pt shot from 1 ft,,92-99,,
0:00.0,Offensive rebound by O. Asik,,92-99,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
