time,Washington,pts.away,score,pts.home,Toronto
10:05.0,,,50-42,,T. Ross misses 2-pt shot from 15 ft
10:03.0,,,50-42,,Offensive rebound by J. Valanciunas
10:00.0,,,50-44,2,J. Valanciunas makes 2-pt shot from 3 ft
9:41.0,M. Gortat misses 2-pt shot from 8 ft,,50-44,,
9:40.0,,,50-44,,Defensive rebound by J. Valanciunas
9:28.0,,,50-46,2,D. DeRozan makes 2-pt shot from 2 ft
9:04.0,,,50-46,,Personal foul by K. Lowry (drawn by N. Hilario)
9:04.0,,,50-46,,A. Johnson enters the game for T. Hansbrough
9:03.0,,,50-46,,Personal foul by T. Ross (drawn by B. Beal)
8:50.0,B. Beal misses 2-pt shot from 2 ft,,50-46,,
8:48.0,Offensive rebound by M. Gortat,,50-46,,
8:46.0,M. Gortat makes 2-pt shot at rim,2,52-46,,
8:34.0,,,52-46,,T. Ross misses 3-pt shot from 23 ft
8:33.0,Defensive rebound by M. Gortat,,52-46,,
8:26.0,P. Pierce makes 3-pt shot from 23 ft (assist by J. Wall),3,55-46,,
8:00.0,,,55-48,2,A. Johnson makes 2-pt shot from 4 ft
7:50.0,P. Pierce misses 3-pt shot from 25 ft,,55-48,,
7:49.0,,,55-48,,Defensive rebound by A. Johnson
7:41.0,,,55-48,,K. Lowry misses 3-pt shot from 25 ft
7:40.0,Defensive rebound by Team,,55-48,,
7:19.0,B. Beal misses 2-pt shot from 19 ft (block by T. Ross),,55-48,,
7:17.0,Offensive rebound by B. Beal,,55-48,,
7:14.0,B. Beal makes 2-pt shot from 12 ft,2,57-48,,
6:54.0,,,57-48,,A. Johnson misses 2-pt shot from 2 ft
6:53.0,,,57-48,,Offensive rebound by J. Valanciunas
6:51.0,,,57-50,2,J. Valanciunas makes 2-pt shot from 2 ft
6:39.0,J. Wall misses 2-pt shot from 9 ft,,57-50,,
6:38.0,,,57-50,,Defensive rebound by Team
6:24.0,,,57-50,,D. DeRozan misses 2-pt shot from 18 ft
6:23.0,Defensive rebound by J. Wall,,57-50,,
6:14.0,J. Wall misses 3-pt shot from 23 ft,,57-50,,
6:13.0,,,57-50,,Defensive rebound by J. Valanciunas
6:04.0,,,57-50,,J. Valanciunas misses 2-pt shot from 2 ft
6:02.0,Defensive rebound by M. Gortat,,57-50,,
5:56.0,B. Beal makes 2-pt shot from 2 ft (assist by M. Gortat),2,59-50,,
5:47.0,,,59-50,,Toronto full timeout
5:47.0,,,59-50,,P. Patterson enters the game for J. Valanciunas
5:47.0,D. Gooden enters the game for N. Hilario,,59-50,,
5:28.0,,,59-50,,D. DeRozan misses 2-pt shot from 13 ft
5:27.0,Defensive rebound by P. Pierce,,59-50,,
5:07.0,D. Gooden misses 2-pt shot from 17 ft,,59-50,,
5:06.0,,,59-50,,Defensive rebound by T. Ross
4:57.0,,,59-50,,T. Ross misses 3-pt shot from 25 ft
4:55.0,Defensive rebound by P. Pierce,,59-50,,
4:40.0,J. Wall makes 2-pt shot from 10 ft,2,61-50,,
4:16.0,,,61-52,2,T. Ross makes 2-pt shot from 10 ft (assist by D. DeRozan)
4:07.0,Offensive foul by P. Pierce,,61-52,,
4:07.0,Turnover by P. Pierce (offensive foul),,61-52,,
4:07.0,O. Porter enters the game for P. Pierce,,61-52,,
4:07.0,,,61-52,,L. Williams enters the game for T. Ross
3:56.0,,,61-52,,D. DeRozan misses 2-pt shot from 17 ft
3:54.0,,,61-52,,Offensive rebound by A. Johnson
3:43.0,,,61-54,2,A. Johnson makes 2-pt shot from 2 ft (assist by K. Lowry)
3:18.0,B. Beal misses 2-pt shot from 18 ft,,61-54,,
3:17.0,,,61-54,,Defensive rebound by K. Lowry
2:59.0,,,61-54,,K. Lowry misses 3-pt shot from 24 ft
2:58.0,,,61-54,,Offensive rebound by D. DeRozan
2:45.0,,,61-54,,L. Williams misses 2-pt shot from 9 ft
2:44.0,Defensive rebound by J. Wall,,61-54,,
2:34.0,Turnover by M. Gortat (offensive foul),,61-54,,
2:34.0,Offensive foul by M. Gortat,,61-54,,
2:34.0,R. Sessions enters the game for B. Beal,,61-54,,
2:34.0,,,61-54,,G. Vasquez enters the game for K. Lowry
2:34.0,K. Seraphin enters the game for M. Gortat,,61-54,,
2:12.0,,,61-56,2,A. Johnson makes 2-pt shot from 6 ft (assist by P. Patterson)
2:12.0,Washington full timeout,,61-56,,
1:56.0,K. Seraphin makes 2-pt shot from 7 ft,2,63-56,,
1:38.0,,,63-56,,P. Patterson misses 2-pt shot from 7 ft
1:37.0,Defensive rebound by K. Seraphin,,63-56,,
1:26.0,J. Wall misses 2-pt shot from 15 ft,,63-56,,
1:23.0,,,63-56,,Defensive rebound by G. Vasquez
1:12.0,,,63-56,,A. Johnson misses 3-pt shot from 25 ft
1:11.0,Defensive rebound by J. Wall,,63-56,,
0:47.0,J. Wall misses 2-pt shot from 14 ft,,63-56,,
0:46.0,,,63-56,,Defensive rebound by Team
0:36.0,,,63-56,,L. Williams misses 3-pt shot from 25 ft
0:35.0,Defensive rebound by D. Gooden,,63-56,,
0:30.0,R. Sessions misses 2-pt shot from 2 ft,,63-56,,
0:29.0,,,63-56,,Defensive rebound by A. Johnson
0:09.0,,,63-56,,D. DeRozan misses 2-pt shot from 8 ft
0:07.0,Defensive rebound by R. Sessions,,63-56,,
0:04.0,R. Sessions makes 2-pt shot from 2 ft,2,65-56,,
0:00.0,,,65-56,,D. DeRozan misses 3-pt shot from 37 ft
0:00.0,,,65-56,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,B. Beal makes 2-pt shot from 10 ft,2,67-56,,
11:28.0,,,67-56,,L. Williams misses 2-pt shot from 8 ft
11:27.0,,,67-56,,Offensive rebound by K. Lowry
11:22.0,,,67-56,,G. Vasquez misses 3-pt shot from 24 ft
11:21.0,Defensive rebound by O. Porter,,67-56,,
11:09.0,K. Seraphin makes 2-pt shot from 7 ft,2,69-56,,
10:57.0,,,69-56,,J. Valanciunas misses 2-pt shot at rim (block by D. Gooden)
10:55.0,Defensive rebound by D. Gooden,,69-56,,
10:47.0,Turnover by B. Beal (step out of bounds),,69-56,,
10:34.0,Personal foul by R. Sessions (drawn by J. Valanciunas),,69-56,,
10:24.0,,,69-58,2,L. Williams makes 2-pt shot from 20 ft
10:08.0,B. Beal makes 3-pt shot from 24 ft (assist by K. Seraphin),3,72-58,,
9:59.0,,,72-58,,Shooting foul by R. Sessions (drawn by K. Lowry)
9:59.0,,,72-59,1,K. Lowry makes free throw 1 of 2
9:59.0,,,72-59,,K. Lowry misses free throw 2 of 2
9:58.0,Defensive rebound by O. Porter,,72-59,,
9:44.0,,,72-59,,Personal block foul by J. Valanciunas (drawn by B. Beal)
9:40.0,,,72-59,,Personal block foul by P. Patterson (drawn by B. Beal)
9:28.0,K. Seraphin misses 2-pt shot from 19 ft,,72-59,,
9:27.0,,,72-59,,Defensive rebound by K. Lowry
9:19.0,,,72-59,,Turnover by K. Lowry (offensive foul)
9:19.0,,,72-59,,Offensive foul by K. Lowry
9:07.0,Turnover by D. Gooden (bad pass; steal by L. Williams),,72-59,,
8:57.0,,,72-59,,L. Williams misses 2-pt shot from 7 ft
8:56.0,Defensive rebound by D. Gooden,,72-59,,
8:49.0,K. Seraphin misses 2-pt shot from 6 ft,,72-59,,
8:48.0,Offensive rebound by D. Gooden,,72-59,,
8:45.0,D. Gooden makes 2-pt shot from 2 ft,2,74-59,,
8:43.0,Personal foul by R. Sessions (drawn by L. Williams),,74-59,,
8:43.0,Official timeout,,74-59,,
8:25.0,,,74-59,,K. Lowry misses 2-pt shot from 3 ft
8:24.0,Defensive rebound by D. Gooden,,74-59,,
8:10.0,D. Gooden misses 2-pt shot from 2 ft,,74-59,,
8:10.0,,,74-59,,Defensive rebound by Team
8:10.0,Loose ball foul by D. Gooden (drawn by L. Williams),,74-59,,
8:10.0,,,74-59,,A. Johnson enters the game for P. Patterson
8:10.0,,,74-59,,D. DeRozan enters the game for G. Vasquez
8:10.0,P. Pierce enters the game for D. Gooden,,74-59,,
7:50.0,,,74-61,2,D. DeRozan makes 2-pt shot from 18 ft
7:34.0,Turnover by B. Beal (lost ball; steal by K. Lowry),,74-61,,
7:27.0,,,74-61,,A. Johnson misses 2-pt shot from 4 ft
7:26.0,Defensive rebound by Team,,74-61,,
7:26.0,,,74-61,,Personal foul by K. Lowry (drawn by R. Sessions)
7:26.0,,,74-61,,G. Vasquez enters the game for K. Lowry
7:26.0,J. Wall enters the game for R. Sessions,,74-61,,
7:11.0,B. Beal misses 3-pt shot from 25 ft,,74-61,,
7:10.0,,,74-61,,Defensive rebound by L. Williams
7:02.0,,,74-63,2,A. Johnson makes 2-pt shot from 1 ft (assist by L. Williams)
6:42.0,,,74-63,,Personal foul by A. Johnson (drawn by K. Seraphin)
6:27.0,Turnover by Team (shot clock),,74-63,,
6:15.0,,,74-66,3,G. Vasquez makes 3-pt shot from 25 ft (assist by D. DeRozan)
5:55.0,K. Seraphin makes 2-pt shot from 15 ft (assist by J. Wall),2,76-66,,
5:33.0,,,76-68,2,D. DeRozan makes 2-pt shot from 3 ft
5:33.0,,,76-68,,Shooting foul by O. Porter (drawn by D. DeRozan)
5:33.0,,,76-68,,Toronto full timeout
5:33.0,,,76-68,,P. Patterson enters the game for J. Valanciunas
5:33.0,M. Gortat enters the game for K. Seraphin,,76-68,,
5:33.0,,,76-69,1,D. DeRozan makes free throw 1 of 1
5:20.0,O. Porter misses 3-pt shot from 25 ft,,76-69,,
5:19.0,Offensive rebound by M. Gortat,,76-69,,
5:03.0,M. Gortat misses 2-pt shot from 6 ft (block by A. Johnson),,76-69,,
5:02.0,,,76-69,,Defensive rebound by A. Johnson
4:52.0,,,76-69,,Turnover by D. DeRozan (bad pass; steal by O. Porter)
4:28.0,J. Wall misses 2-pt shot from 18 ft,,76-69,,
4:27.0,,,76-69,,Defensive rebound by G. Vasquez
4:18.0,,,76-72,3,L. Williams makes 3-pt shot from 25 ft (assist by G. Vasquez)
3:54.0,B. Beal misses 2-pt shot from 19 ft,,76-72,,
3:52.0,,,76-72,,Defensive rebound by D. DeRozan
3:43.0,,,76-72,,D. DeRozan misses 2-pt shot from 8 ft
3:42.0,,,76-72,,Offensive rebound by L. Williams
3:41.0,,,76-72,,Offensive foul by A. Johnson
3:41.0,,,76-72,,Turnover by A. Johnson (offensive foul)
3:26.0,B. Beal misses 2-pt shot from 18 ft,,76-72,,
3:23.0,,,76-72,,Defensive rebound by D. DeRozan
3:12.0,,,76-72,,P. Patterson misses 3-pt shot from 23 ft
3:11.0,Defensive rebound by B. Beal,,76-72,,
3:05.0,,,76-72,,Personal foul by G. Vasquez (drawn by B. Beal)
3:05.0,B. Beal misses free throw 1 of 2,,76-72,,
3:05.0,Offensive rebound by Team,,76-72,,
3:05.0,,,76-72,,K. Lowry enters the game for G. Vasquez
3:05.0,B. Beal makes free throw 2 of 2,1,77-72,,
2:55.0,,,77-75,3,L. Williams makes 3-pt shot from 25 ft (assist by K. Lowry)
2:54.0,Washington full timeout,,77-75,,
2:54.0,D. Gooden enters the game for O. Porter,,77-75,,
2:36.0,B. Beal makes 2-pt shot from 17 ft,2,79-75,,
2:36.0,Shooting foul by K. Lowry (drawn by B. Beal),,79-75,,
2:36.0,,,79-75,,G. Vasquez enters the game for K. Lowry
2:36.0,B. Beal makes free throw 1 of 1,1,80-75,,
2:25.0,,,80-75,,L. Williams misses 3-pt shot from 25 ft
2:24.0,Defensive rebound by P. Pierce,,80-75,,
2:04.0,B. Beal misses 2-pt shot from 1 ft,,80-75,,
2:03.0,,,80-75,,Defensive rebound by D. DeRozan
1:51.0,,,80-77,2,G. Vasquez makes 2-pt shot from 4 ft (assist by D. DeRozan)
1:33.0,J. Wall makes 2-pt shot from 2 ft,2,82-77,,
