time,Sacramento,pts.away,score,pts.home,Utah
4:35.0,A. Miller misses 2-pt shot from 15 ft,,40-35,,
4:35.0,Offensive rebound by Team,,40-35,,
4:35.0,Turnover by Team (shot clock),,40-35,,
4:13.0,,,40-35,,T. Booker misses 2-pt shot from 17 ft
4:12.0,Defensive rebound by J. Thompson,,40-35,,
3:55.0,J. Thompson misses 2-pt shot from 14 ft,,40-35,,
3:53.0,,,40-35,,Defensive rebound by T. Burke
3:49.0,Violation by J. Thompson (def goaltending),,40-35,,
3:49.0,,,40-37,2,R. Hood makes 2-pt shot from 3 ft
3:41.0,O. Casspi misses 2-pt shot from 2 ft,,40-37,,
3:41.0,Offensive rebound by O. Casspi,,40-37,,
3:41.0,Shooting foul by R. Hood (drawn by O. Casspi),,40-37,,
3:41.0,O. Casspi makes free throw 1 of 2,1,41-37,,
3:41.0,B. McLemore enters the game for A. Miller,,41-37,,
3:41.0,,,41-37,,C. Johnson enters the game for D. Exum
3:41.0,O. Casspi makes free throw 2 of 2,1,42-37,,
3:15.0,,,42-37,,Turnover by R. Hood (bad pass; steal by R. McCallum)
3:06.0,C. Landry misses 2-pt shot from 16 ft,,42-37,,
3:04.0,,,42-37,,Defensive rebound by T. Burke
2:58.0,,,42-37,,Turnover by T. Burke (bad pass)
2:58.0,Sacramento full timeout,,42-37,,
2:58.0,,,42-37,,J. Ingles enters the game for T. Booker
2:42.0,O. Casspi makes 3-pt shot from 26 ft (assist by J. Thompson),3,45-37,,
2:28.0,,,45-37,,Turnover by T. Burke (bad pass; steal by B. McLemore)
2:22.0,J. Thompson misses 2-pt shot at rim,,45-37,,
2:20.0,,,45-37,,Defensive rebound by R. Gobert
2:12.0,,,45-37,,Turnover by J. Ingles (lost ball)
2:04.0,R. McCallum misses 2-pt shot from 17 ft,,45-37,,
2:03.0,,,45-37,,Defensive rebound by R. Hood
1:51.0,,,45-39,2,R. Hood makes 2-pt shot from 10 ft
1:42.0,,,45-39,,Violation by R. Gobert (def goaltending)
1:42.0,O. Casspi makes 2-pt shot from 16 ft,2,47-39,,
1:39.0,,,47-39,,Utah full timeout
1:39.0,,,47-39,,J. Cooley enters the game for R. Gobert
1:39.0,,,47-39,,J. Evans enters the game for C. Johnson
1:23.0,,,47-39,,J. Ingles misses 3-pt shot from 24 ft
1:22.0,Defensive rebound by R. McCallum,,47-39,,
1:03.0,Turnover by O. Casspi (bad pass; steal by J. Ingles),,47-39,,
1:00.0,,,47-39,,Shooting foul by B. McLemore (drawn by J. Evans)
1:00.0,,,47-40,1,J. Evans makes free throw 1 of 2
1:00.0,D. Williams enters the game for O. Casspi,,47-40,,
1:00.0,,,47-41,1,J. Evans makes free throw 2 of 2
0:50.0,,,47-41,,Personal foul by J. Cooley (drawn by J. Thompson)
0:50.0,J. Thompson makes free throw 1 of 2,1,48-41,,
0:50.0,J. Thompson makes free throw 2 of 2,1,49-41,,
0:36.0,,,49-43,2,T. Burke makes 2-pt shot from 3 ft
0:22.0,B. McLemore misses 3-pt shot from 25 ft,,49-43,,
0:20.0,Offensive rebound by J. Thompson,,49-43,,
0:01.0,C. Landry misses 2-pt shot from 4 ft (block by R. Hood),,49-43,,
0:00.0,Offensive rebound by Team,,49-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,49-43,,R. Hood misses 2-pt shot from 19 ft
11:38.0,,,49-43,,Offensive rebound by R. Gobert
11:28.0,,,49-46,3,D. Exum makes 3-pt shot from 22 ft (assist by D. Favors)
11:02.0,,,49-46,,Personal foul by D. Exum (drawn by J. Thompson)
10:50.0,R. McCallum misses 2-pt shot from 18 ft,,49-46,,
10:48.0,,,49-46,,Defensive rebound by Team
10:21.0,,,49-46,,D. Exum misses 3-pt shot from 24 ft
10:19.0,,,49-46,,Offensive rebound by D. Favors
10:09.0,,,49-46,,Shooting foul by C. Landry (drawn by D. Favors)
10:09.0,,,49-46,,R. Gobert misses free throw 1 of 2
10:09.0,,,49-46,,Offensive rebound by Team
10:09.0,,,49-46,,R. Gobert misses free throw 2 of 2
10:08.0,Defensive rebound by J. Thompson,,49-46,,
9:49.0,B. McLemore misses 2-pt shot from 8 ft,,49-46,,
9:47.0,,,49-46,,Defensive rebound by R. Gobert
9:39.0,,,49-46,,Turnover by D. Exum (bad pass; steal by R. McCallum)
9:30.0,,,49-46,,Personal foul by R. Gobert (drawn by J. Thompson)
9:20.0,C. Landry makes 2-pt shot from 12 ft,2,51-46,,
9:02.0,,,51-49,3,R. Hood makes 3-pt shot from 24 ft (assist by R. Gobert)
8:46.0,R. McCallum makes 3-pt shot from 24 ft (assist by O. Casspi),3,54-49,,
8:35.0,,,54-51,2,D. Favors makes 2-pt shot at rim (assist by D. Exum)
8:22.0,J. Thompson misses 2-pt shot from 20 ft,,54-51,,
8:21.0,,,54-51,,Defensive rebound by R. Hood
8:06.0,,,54-54,3,R. Hood makes 3-pt shot from 23 ft (assist by R. Gobert)
8:04.0,Sacramento full timeout,,54-54,,
7:44.0,Turnover by O. Casspi (bad pass; steal by R. Gobert),,54-54,,
7:34.0,,,54-54,,G. Hayward misses 2-pt shot from 3 ft
7:33.0,,,54-54,,Offensive rebound by R. Gobert
7:33.0,,,54-54,,R. Gobert misses 2-pt shot from 1 ft
7:33.0,Defensive rebound by Team,,54-54,,
7:25.0,Shooting foul by R. Gobert (drawn by C. Landry),,54-54,,
7:25.0,C. Landry makes free throw 1 of 2,1,55-54,,
7:25.0,C. Landry misses free throw 2 of 2,,55-54,,
7:24.0,,,55-54,,Defensive rebound by D. Favors
7:06.0,,,55-56,2,D. Favors makes 2-pt shot from 19 ft (assist by R. Hood)
6:56.0,J. Thompson misses 2-pt shot from 2 ft (block by R. Gobert),,55-56,,
6:56.0,Offensive rebound by Team,,55-56,,
6:50.0,C. Landry makes 2-pt shot at rim (assist by O. Casspi),2,57-56,,
6:31.0,,,57-59,3,D. Exum makes 3-pt shot from 23 ft (assist by G. Hayward)
6:19.0,R. McCallum misses 2-pt shot from 6 ft,,57-59,,
6:17.0,,,57-59,,Defensive rebound by D. Favors
6:13.0,,,57-61,2,R. Hood makes 2-pt shot from 1 ft (assist by D. Exum)
6:07.0,R. McCallum misses 2-pt shot from 1 ft (block by D. Exum),,57-61,,
6:04.0,,,57-61,,Defensive rebound by R. Hood
6:02.0,,,57-61,,Turnover by R. Hood (lost ball)
6:02.0,A. Miller enters the game for R. McCallum,,57-61,,
6:02.0,D. Williams enters the game for O. Casspi,,57-61,,
5:49.0,Turnover by A. Miller (bad pass),,57-61,,
5:49.0,R. Evans enters the game for J. Thompson,,57-61,,
5:37.0,,,57-61,,Turnover by D. Exum (lost ball)
5:20.0,B. McLemore makes 2-pt shot from 2 ft,2,59-61,,
5:02.0,,,59-61,,D. Favors misses 2-pt shot from 18 ft
4:59.0,Defensive rebound by R. Evans,,59-61,,
4:53.0,B. McLemore makes 2-pt shot from 1 ft,2,61-61,,
4:53.0,Shooting foul by D. Favors (drawn by B. McLemore),,61-61,,
4:53.0,,,61-61,,J. Ingles enters the game for R. Hood
4:53.0,,,61-61,,T. Burke enters the game for G. Hayward
4:53.0,,,61-61,,T. Booker enters the game for D. Favors
4:53.0,B. McLemore makes free throw 1 of 1,1,62-61,,
4:26.0,,,62-64,3,D. Exum makes 3-pt shot from 24 ft
4:05.0,Shooting foul by T. Booker (drawn by B. McLemore),,62-64,,
4:05.0,B. McLemore makes free throw 1 of 2,1,63-64,,
4:05.0,,,63-64,,C. Johnson enters the game for D. Exum
4:05.0,B. McLemore misses free throw 2 of 2,,63-64,,
4:04.0,,,63-64,,Defensive rebound by T. Booker
3:47.0,,,63-64,,T. Burke misses 2-pt shot from 17 ft
3:46.0,,,63-64,,Offensive rebound by T. Booker
3:46.0,Personal foul by R. Evans (drawn by T. Booker),,63-64,,
3:28.0,,,63-66,2,J. Ingles makes 2-pt shot from 21 ft
3:15.0,D. Williams misses 3-pt shot from 25 ft,,63-66,,
3:15.0,Offensive rebound by Team,,63-66,,
3:15.0,O. Casspi enters the game for C. Landry,,63-66,,
3:15.0,Jump ball: R. Evans vs. R. Gobert,,,,Jump ball: R. Evans vs. R. Gobert
3:05.0,R. Evans makes 2-pt shot at rim,2,65-66,,
2:43.0,,,65-66,,J. Ingles misses 2-pt shot from 19 ft
2:42.0,Defensive rebound by R. Evans,,65-66,,
2:34.0,D. Williams makes 2-pt shot at rim (assist by A. Miller),2,67-66,,
2:34.0,,,67-66,,Utah full timeout
2:34.0,,,67-66,,J. Evans enters the game for R. Gobert
2:25.0,,,67-66,,Offensive foul by J. Evans
2:25.0,,,67-66,,Turnover by J. Evans (offensive foul)
2:04.0,R. Evans makes 2-pt shot from 1 ft (assist by O. Casspi),2,69-66,,
1:53.0,,,69-66,,T. Burke misses 3-pt shot from 23 ft
1:51.0,,,69-66,,Offensive rebound by T. Booker
1:45.0,,,69-69,3,T. Burke makes 3-pt shot from 25 ft (assist by T. Booker)
1:25.0,Turnover by O. Casspi (bad pass),,69-69,,
1:10.0,,,69-69,,Turnover by T. Burke (bad pass; steal by D. Williams)
1:05.0,Shooting foul by C. Johnson (drawn by B. McLemore),,69-69,,
1:05.0,B. McLemore makes free throw 1 of 2,1,70-69,,
1:05.0,B. McLemore misses free throw 2 of 2,,70-69,,
1:03.0,,,70-69,,Defensive rebound by T. Booker
0:45.0,,,70-72,3,C. Johnson makes 3-pt shot from 23 ft (assist by J. Ingles)
0:35.0,Shooting foul by J. Evans (drawn by D. Williams),,70-72,,
0:35.0,D. Williams misses free throw 1 of 2,,70-72,,
0:35.0,Offensive rebound by Team,,70-72,,
0:35.0,D. Williams makes free throw 2 of 2,1,71-72,,
0:22.0,,,71-72,,Shooting foul by B. McLemore (drawn by C. Johnson)
0:22.0,,,71-73,1,C. Johnson makes free throw 1 of 3
0:22.0,,,71-74,1,C. Johnson makes free throw 2 of 3
0:22.0,,,71-75,1,C. Johnson makes free throw 3 of 3
0:03.0,A. Miller makes 2-pt shot from 1 ft,2,73-75,,
0:01.0,,,73-75,,J. Ingles misses 3-pt shot from 49 ft
0:00.0,,,73-75,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,Turnover by A. Miller (lost ball; steal by C. Johnson),,73-75,,
11:29.0,,,73-75,,C. Johnson misses 3-pt shot from 22 ft
11:28.0,Defensive rebound by D. Williams,,73-75,,
11:22.0,O. Casspi misses 2-pt shot from 2 ft (block by D. Favors),,73-75,,
11:19.0,,,73-75,,Defensive rebound by J. Ingles
11:00.0,,,73-77,2,D. Favors makes 2-pt shot from 13 ft (assist by J. Ingles)
10:40.0,,,73-77,,Personal foul by T. Burke (drawn by R. McCallum)
10:40.0,J. Thompson enters the game for R. Evans,,73-77,,
10:33.0,O. Casspi makes 3-pt shot from 25 ft,3,76-77,,
10:14.0,,,76-77,,Shooting foul by J. Thompson (drawn by T. Booker)
10:14.0,,,76-78,1,T. Booker makes free throw 1 of 2
10:14.0,,,76-78,,T. Booker misses free throw 2 of 2
10:12.0,,,76-78,,Offensive rebound by D. Favors
10:04.0,,,76-78,,Turnover by T. Burke (bad pass; steal by D. Williams)
9:55.0,J. Thompson makes 2-pt shot at rim (assist by A. Miller),2,78-78,,
9:37.0,,,78-81,3,J. Ingles makes 3-pt shot from 23 ft (assist by T. Booker)
9:15.0,J. Thompson misses 2-pt shot from 1 ft,,78-81,,
9:14.0,Offensive rebound by J. Thompson,,78-81,,
9:12.0,J. Thompson misses 2-pt shot from 3 ft (block by D. Favors),,78-81,,
9:09.0,,,78-81,,Defensive rebound by D. Favors
8:52.0,,,78-83,2,D. Favors makes 2-pt shot from 1 ft (assist by J. Ingles)
8:51.0,Sacramento full timeout,,78-83,,
8:51.0,,,78-83,,D. Exum enters the game for C. Johnson
8:51.0,,,78-83,,R. Hood enters the game for T. Burke
8:51.0,C. Landry enters the game for D. Williams,,78-83,,
8:31.0,Turnover by O. Casspi (bad pass; steal by D. Favors),,78-83,,
8:29.0,,,78-85,2,R. Hood makes 2-pt shot from 1 ft
8:29.0,,,78-85,,Shooting foul by R. McCallum (drawn by R. Hood)
8:29.0,,,78-86,1,R. Hood makes free throw 1 of 1
8:10.0,Turnover by R. McCallum (bad pass; steal by J. Ingles),,78-86,,
8:06.0,,,78-86,,Shooting foul by A. Miller (drawn by T. Booker)
8:06.0,,,78-86,,T. Booker misses free throw 1 of 2
8:06.0,,,78-86,,Offensive rebound by Team
8:06.0,B. McLemore enters the game for A. Miller,,78-86,,
8:06.0,D. Williams enters the game for O. Casspi,,78-86,,
8:06.0,,,78-87,1,T. Booker makes free throw 2 of 2
7:53.0,C. Landry misses 2-pt shot from 16 ft,,78-87,,
7:52.0,,,78-87,,Defensive rebound by R. Hood
7:30.0,,,78-89,2,D. Favors makes 2-pt shot from 14 ft (assist by R. Hood)
7:13.0,R. McCallum misses 2-pt shot from 15 ft,,78-89,,
7:12.0,,,78-89,,Defensive rebound by T. Booker
7:04.0,Personal foul by J. Thompson (drawn by D. Favors),,78-89,,
7:04.0,,,78-89,,C. Johnson enters the game for J. Ingles
7:04.0,,,78-89,,R. Gobert enters the game for D. Favors
6:54.0,,,78-89,,R. Hood misses 3-pt shot from 24 ft
6:53.0,,,78-89,,Offensive rebound by R. Gobert
6:51.0,Personal foul by B. McLemore (drawn by R. Gobert),,78-89,,
6:51.0,,,78-90,1,R. Gobert makes free throw 1 of 2
6:51.0,,,78-90,,R. Gobert misses free throw 2 of 2
6:49.0,Defensive rebound by D. Williams,,78-90,,
6:39.0,D. Williams misses 3-pt shot from 24 ft,,78-90,,
6:37.0,,,78-90,,Defensive rebound by R. Hood
6:14.0,,,78-90,,R. Hood misses 3-pt shot from 25 ft
6:14.0,,,78-90,,Offensive rebound by Team
6:14.0,Personal foul by B. McLemore (drawn by R. Gobert),,78-90,,
6:14.0,,,78-91,1,R. Gobert makes free throw 1 of 2
6:14.0,,,78-91,,R. Gobert misses free throw 2 of 2
6:12.0,Defensive rebound by C. Landry,,78-91,,
6:01.0,Offensive foul by C. Landry,,78-91,,
6:01.0,Turnover by C. Landry (offensive foul),,78-91,,
5:45.0,,,78-93,2,R. Gobert makes 2-pt shot at rim (assist by R. Hood)
5:44.0,Sacramento full timeout,,78-93,,
5:44.0,Official timeout,,78-93,,
5:44.0,A. Miller enters the game for R. McCallum,,78-93,,
5:35.0,,,78-93,,Personal foul by T. Booker (drawn by C. Landry)
5:26.0,B. McLemore makes 2-pt shot at rim,2,80-93,,
5:07.0,,,80-96,3,R. Hood makes 3-pt shot from 24 ft (assist by T. Booker)
4:41.0,D. Williams makes 3-pt shot from 24 ft (assist by J. Thompson),3,83-96,,
4:21.0,,,83-96,,C. Johnson misses 3-pt shot from 22 ft
4:21.0,Defensive rebound by Team,,83-96,,
4:06.0,D. Williams makes 3-pt shot from 24 ft (assist by C. Landry),3,86-96,,
3:43.0,,,86-96,,D. Exum misses 3-pt shot from 24 ft
3:41.0,Defensive rebound by C. Landry,,86-96,,
3:35.0,,,86-96,,Personal foul by D. Exum (drawn by D. Williams)
3:35.0,,,86-96,,J. Ingles enters the game for C. Johnson
3:27.0,A. Miller misses 2-pt shot from 4 ft,,86-96,,
3:26.0,,,86-96,,Defensive rebound by R. Gobert
3:14.0,Jump ball: D. Exum vs. A. Miller (C. Landry gains possession),,,,Jump ball: D. Exum vs. A. Miller (C. Landry gains possession)
3:14.0,,,86-96,,Turnover by D. Exum (lost ball; steal by A. Miller)
3:00.0,,,86-96,,Personal foul by R. Hood (drawn by B. McLemore)
2:48.0,B. McLemore makes 2-pt shot from 8 ft,2,88-96,,
2:42.0,,,88-96,,Utah full timeout
2:37.0,,,88-98,2,R. Gobert makes 2-pt shot at rim (assist by J. Ingles)
2:19.0,B. McLemore misses 2-pt shot from 3 ft,,88-98,,
2:17.0,,,88-98,,Defensive rebound by J. Ingles
2:11.0,,,88-101,3,J. Ingles makes 3-pt shot from 24 ft
1:50.0,D. Williams misses 3-pt shot from 24 ft,,88-101,,
1:49.0,,,88-101,,Defensive rebound by J. Ingles
1:32.0,,,88-101,,T. Booker misses 3-pt shot from 25 ft
