time,Brooklyn,pts.away,score,pts.home,Miami
0:30.0,,,80-84,,Defensive rebound by C. Andersen
0:22.0,Personal foul by J. Johnson (drawn by D. Wade),,80-84,,
0:22.0,,,80-85,1,D. Wade makes free throw 1 of 2
0:22.0,,,80-86,1,D. Wade makes free throw 2 of 2
0:15.0,J. Johnson makes 2-pt shot from 5 ft,2,82-86,,
0:10.0,Jump ball: A. Anderson vs. D. Wade (J. Jack gains possession),,,,Jump ball: A. Anderson vs. D. Wade (J. Jack gains possession)
0:10.0,,,82-86,,Turnover by D. Wade (lost ball; steal by A. Anderson)
0:05.0,J. Jack makes 2-pt shot from 8 ft,2,84-86,,
0:05.0,,,84-86,,Miami full timeout
0:05.0,B. Bogdanovic enters the game for A. Anderson,,84-86,,
0:05.0,,,84-86,,N. Cole enters the game for C. Andersen
0:04.0,Personal foul by B. Bogdanovic (drawn by C. Bosh),,84-86,,
0:04.0,,,84-87,1,C. Bosh makes free throw 1 of 2
0:04.0,,,84-87,,C. Andersen enters the game for N. Cole
0:04.0,K. Garnett enters the game for M. Teletovic,,84-87,,
0:04.0,,,84-88,1,C. Bosh makes free throw 2 of 2
0:04.0,Brooklyn full timeout,,84-88,,
0:04.0,M. Teletovic enters the game for K. Garnett,,84-88,,
0:04.0,A. Anderson enters the game for B. Bogdanovic,,84-88,,
0:02.0,M. Teletovic misses 3-pt shot from 24 ft,,84-88,,
0:00.0,Offensive rebound by Team,,84-88,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
