time,Houston,pts.away,score,pts.home,Chicago
8:04.0,Shooting foul by D. Rose (drawn by D. Howard),,12-10,,
8:04.0,D. Howard misses free throw 1 of 1,,12-10,,
8:03.0,,,12-10,,Defensive rebound by K. Hinrich
7:52.0,,,12-10,,Turnover by D. Rose (lost ball)
7:38.0,J. Harden makes 2-pt shot from 15 ft,2,14-10,,
7:24.0,,,14-12,2,P. Gasol makes 2-pt shot from 16 ft (assist by D. Rose)
7:09.0,D. Howard misses 2-pt shot from 3 ft (block by J. Noah),,14-12,,
7:08.0,,,14-12,,Defensive rebound by P. Gasol
7:03.0,,,14-12,,Shooting foul by D. Howard (drawn by J. Noah)
7:03.0,,,14-13,1,J. Noah makes free throw 1 of 2
7:03.0,,,14-14,1,J. Noah makes free throw 2 of 2
6:47.0,J. Harden makes 2-pt shot from 1 ft,2,16-14,,
6:30.0,,,16-14,,D. Rose misses 2-pt shot from 2 ft
6:29.0,,,16-14,,Offensive rebound by J. Noah
6:28.0,,,16-14,,J. Noah misses 2-pt shot from 2 ft
6:26.0,,,16-14,,Offensive rebound by J. Noah
6:26.0,,,16-16,2,J. Noah makes 2-pt shot at rim
6:07.0,J. Harden makes 3-pt shot from 25 ft (assist by P. Beverley),3,19-16,,
5:54.0,,,19-16,,D. Rose misses 2-pt shot from 1 ft (block by P. Beverley)
5:53.0,Defensive rebound by D. Motiejunas,,19-16,,
5:47.0,J. Harden misses 2-pt shot from 7 ft (block by K. Hinrich),,19-16,,
5:47.0,Offensive rebound by Team,,19-16,,
5:47.0,,,19-16,,Chicago full timeout
5:41.0,P. Beverley makes 2-pt shot from 11 ft,2,21-16,,
5:23.0,,,21-16,,J. Butler misses 2-pt shot from 18 ft
5:21.0,Defensive rebound by P. Beverley,,21-16,,
5:18.0,T. Ariza makes 2-pt shot from 2 ft (assist by P. Beverley),2,23-16,,
5:00.0,,,23-16,,P. Gasol misses 2-pt shot from 5 ft
4:59.0,Defensive rebound by D. Motiejunas,,23-16,,
4:52.0,J. Smith enters the game for D. Howard,,23-16,,
4:52.0,,,23-16,,T. Gibson enters the game for J. Noah
4:38.0,J. Harden misses 3-pt shot from 24 ft,,23-16,,
4:36.0,Offensive rebound by P. Beverley,,23-16,,
4:36.0,P. Beverley makes 2-pt shot from 1 ft,2,25-16,,
4:20.0,,,25-18,2,P. Gasol makes 2-pt shot from 1 ft
4:09.0,Turnover by J. Smith (bad pass),,25-18,,
3:59.0,Personal foul by D. Motiejunas (drawn by P. Gasol),,25-18,,
3:59.0,,,25-18,,A. Brooks enters the game for D. Rose
3:54.0,,,25-20,2,P. Gasol makes 2-pt shot at rim (assist by A. Brooks)
3:37.0,T. Ariza misses 3-pt shot from 22 ft,,25-20,,
3:35.0,Offensive rebound by P. Beverley,,25-20,,
3:33.0,P. Beverley makes 2-pt shot from 2 ft,2,27-20,,
3:09.0,,,27-22,2,P. Gasol makes 2-pt shot from 5 ft
2:56.0,J. Smith makes 2-pt shot from 7 ft,2,29-22,,
2:35.0,,,29-22,,Shooting foul by J. Smith (drawn by P. Gasol)
2:35.0,Houston full timeout,,29-22,,
2:35.0,,,29-22,,N. Mirotic enters the game for K. Hinrich
2:35.0,K. Papanikolaou enters the game for T. Ariza,,29-22,,
2:35.0,C. Brewer enters the game for D. Motiejunas,,29-22,,
2:35.0,J. Terry enters the game for P. Beverley,,29-22,,
2:35.0,,,29-23,1,P. Gasol makes free throw 1 of 2
2:35.0,,,29-24,1,P. Gasol makes free throw 2 of 2
2:10.0,K. Papanikolaou misses 2-pt shot from 12 ft,,29-24,,
2:08.0,,,29-24,,Defensive rebound by P. Gasol
1:57.0,,,29-24,,Shooting foul by K. Papanikolaou (drawn by T. Gibson)
1:57.0,,,29-25,1,T. Gibson makes free throw 1 of 2
1:57.0,,,29-26,1,T. Gibson makes free throw 2 of 2
1:45.0,J. Harden misses 2-pt shot from 8 ft,,29-26,,
1:45.0,,,29-26,,Defensive rebound by Team
1:33.0,,,29-26,,N. Mirotic misses 2-pt shot from 20 ft
1:32.0,,,29-26,,Offensive rebound by P. Gasol
1:28.0,,,29-28,2,T. Gibson makes 2-pt shot from 4 ft (assist by J. Butler)
1:21.0,C. Brewer makes 2-pt shot from 20 ft (assist by J. Harden),2,31-28,,
0:56.0,,,31-30,2,J. Butler makes 2-pt shot from 14 ft
0:48.0,J. Harden makes 2-pt shot from 2 ft,2,33-30,,
0:36.0,,,33-30,,T. Gibson misses 2-pt shot from 3 ft
0:35.0,,,33-30,,Offensive rebound by T. Gibson
0:35.0,,,33-32,2,T. Gibson makes 2-pt shot from 3 ft
0:26.0,J. Smith misses 3-pt shot from 25 ft,,33-32,,
0:25.0,,,33-32,,Defensive rebound by T. Gibson
0:05.0,,,33-32,,A. Brooks misses 2-pt shot from 1 ft
0:04.0,,,33-32,,Offensive rebound by P. Gasol
0:04.0,,,33-32,,P. Gasol misses 2-pt shot from 1 ft
0:03.0,,,33-32,,Offensive rebound by P. Gasol
0:03.0,,,33-34,2,P. Gasol makes 2-pt shot from 1 ft
0:00.0,J. Harden misses 2-pt shot from 23 ft (block by J. Butler),,33-34,,
0:00.0,Offensive rebound by Team,,33-34,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,D. Howard misses 2-pt shot from 9 ft,,33-34,,
11:45.0,,,33-34,,Defensive rebound by J. Butler
11:35.0,,,33-36,2,J. Butler makes 2-pt shot at rim (assist by A. Brooks)
11:14.0,Turnover by J. Terry (bad pass),,33-36,,
10:54.0,,,33-36,,J. Noah misses 2-pt shot from 2 ft
10:53.0,Defensive rebound by D. Howard,,33-36,,
10:46.0,Turnover by C. Brewer (bad pass; steal by J. Butler),,33-36,,
10:46.0,Personal foul by J. Terry (drawn by J. Butler),,33-36,,
10:46.0,,,33-36,,E. Moore enters the game for J. Butler
10:41.0,,,33-38,2,J. Noah makes 2-pt shot from 1 ft (assist by A. Brooks)
10:22.0,J. Smith misses 2-pt shot from 1 ft,,33-38,,
10:21.0,Offensive rebound by D. Howard,,33-38,,
10:21.0,D. Howard makes 2-pt shot from 2 ft,2,35-38,,
10:10.0,,,35-40,2,A. Brooks makes 2-pt shot from 18 ft
10:00.0,J. Terry makes 2-pt shot from 7 ft,2,37-40,,
10:00.0,Shooting foul by A. Brooks (drawn by J. Terry),,37-40,,
10:00.0,J. Terry misses free throw 1 of 1,,37-40,,
9:58.0,,,37-40,,Defensive rebound by J. Noah
9:47.0,,,37-40,,E. Moore misses 3-pt shot from 22 ft
9:46.0,Defensive rebound by D. Howard,,37-40,,
9:40.0,J. Smith makes 2-pt shot from 2 ft,2,39-40,,
9:33.0,,,39-40,,Turnover by A. Brooks (bad pass)
9:21.0,J. Smith makes 2-pt shot from 17 ft,2,41-40,,
9:03.0,,,41-40,,Turnover by T. Gibson (lost ball; steal by J. Smith)
8:57.0,J. Smith makes 2-pt shot from 2 ft (assist by J. Terry),2,43-40,,
8:38.0,,,43-40,,T. Gibson misses 2-pt shot from 15 ft
8:37.0,Defensive rebound by C. Brewer,,43-40,,
8:33.0,,,43-40,,Personal foul by A. Brooks (drawn by C. Brewer)
8:33.0,Houston full timeout,,43-40,,
8:33.0,,,43-40,,D. Rose enters the game for E. Moore
8:22.0,Turnover by D. Howard (bad pass; steal by D. Rose),,43-40,,
8:10.0,,,43-42,2,D. Rose makes 2-pt shot from 2 ft (assist by T. Gibson)
8:01.0,C. Brewer makes 3-pt shot from 22 ft (assist by J. Terry),3,46-42,,
7:48.0,,,46-44,2,D. Rose makes 2-pt shot at rim
7:33.0,D. Howard misses 2-pt shot from 12 ft,,46-44,,
7:32.0,,,46-44,,Defensive rebound by T. Gibson
7:28.0,,,46-46,2,D. Rose makes 2-pt shot from 1 ft (assist by T. Gibson)
7:09.0,J. Smith misses 2-pt shot from 8 ft,,46-46,,
7:09.0,Offensive rebound by Team,,46-46,,
7:09.0,,,46-46,,Personal foul by J. Noah (drawn by D. Howard)
7:09.0,P. Beverley enters the game for J. Terry,,46-46,,
7:09.0,J. Harden enters the game for K. Papanikolaou,,46-46,,
7:09.0,,,46-46,,J. Butler enters the game for A. Brooks
7:00.0,C. Brewer misses 3-pt shot from 24 ft,,46-46,,
6:58.0,Offensive rebound by D. Howard,,46-46,,
6:58.0,D. Howard misses 2-pt shot from 1 ft,,46-46,,
6:57.0,,,46-46,,Defensive rebound by T. Gibson
6:46.0,,,46-48,2,N. Mirotic makes 2-pt shot from 1 ft (assist by T. Gibson)
6:35.0,Turnover by J. Smith (bad pass; steal by J. Noah),,46-48,,
6:17.0,,,46-50,2,D. Rose makes 2-pt shot from 15 ft (assist by J. Noah)
6:01.0,J. Harden misses 2-pt shot from 6 ft,,46-50,,
6:00.0,,,46-50,,Defensive rebound by J. Noah
5:50.0,,,46-50,,D. Rose misses 3-pt shot from 24 ft
5:49.0,,,46-50,,Offensive rebound by J. Noah
5:44.0,,,46-52,2,N. Mirotic makes 2-pt shot from 1 ft (assist by T. Gibson)
5:42.0,Houston full timeout,,46-52,,
5:42.0,T. Ariza enters the game for J. Smith,,46-52,,
5:42.0,D. Motiejunas enters the game for C. Brewer,,46-52,,
5:29.0,J. Harden makes 3-pt shot from 24 ft (assist by T. Ariza),3,49-52,,
5:08.0,,,49-52,,N. Mirotic misses 3-pt shot from 24 ft
5:07.0,,,49-52,,Offensive rebound by T. Gibson
4:59.0,,,49-54,2,N. Mirotic makes 2-pt shot from 2 ft
4:40.0,D. Howard makes 2-pt shot from 2 ft,2,51-54,,
4:20.0,,,51-56,2,N. Mirotic makes 2-pt shot from 21 ft (assist by J. Noah)
3:59.0,T. Ariza misses 3-pt shot from 22 ft,,51-56,,
3:59.0,,,51-56,,Defensive rebound by Team
3:59.0,Loose ball foul by P. Beverley (drawn by T. Gibson),,51-56,,
3:59.0,,,51-56,,P. Gasol enters the game for J. Noah
3:49.0,,,51-56,,D. Rose misses 2-pt shot from 1 ft
3:48.0,Defensive rebound by D. Howard,,51-56,,
3:43.0,P. Beverley makes 2-pt shot from 7 ft,2,53-56,,
3:26.0,,,53-56,,Turnover by N. Mirotic (bad pass; steal by T. Ariza)
3:20.0,J. Harden makes 3-pt shot from 26 ft (assist by P. Beverley),3,56-56,,
3:01.0,,,56-56,,J. Butler misses 2-pt shot from 2 ft
2:59.0,,,56-56,,Offensive rebound by T. Gibson
2:59.0,,,56-58,2,T. Gibson makes 2-pt shot at rim
2:45.0,T. Ariza makes 2-pt shot from 1 ft (assist by D. Motiejunas),2,58-58,,
2:31.0,,,58-58,,Turnover by D. Rose (bad pass)
2:31.0,,,58-58,,Chicago full timeout
2:31.0,,,58-58,,K. Hinrich enters the game for N. Mirotic
2:19.0,Turnover by D. Motiejunas (bad pass),,58-58,,
1:54.0,,,58-58,,T. Gibson misses 2-pt shot from 14 ft
1:53.0,Defensive rebound by D. Motiejunas,,58-58,,
1:37.0,D. Howard misses 2-pt shot from 2 ft (block by P. Gasol),,58-58,,
1:36.0,,,58-58,,Defensive rebound by J. Butler
1:23.0,,,58-58,,Turnover by P. Gasol (lost ball; steal by J. Harden)
1:18.0,J. Harden makes 2-pt shot from 1 ft,2,60-58,,
1:02.0,,,60-58,,Turnover by K. Hinrich (bad pass; steal by T. Ariza)
0:55.0,D. Motiejunas misses 2-pt shot from 2 ft,,60-58,,
0:54.0,,,60-58,,Defensive rebound by J. Butler
0:53.0,Personal foul by P. Beverley (drawn by J. Butler),,60-58,,
0:51.0,Personal foul by D. Motiejunas (drawn by D. Rose),,60-58,,
0:51.0,,,60-59,1,D. Rose makes free throw 1 of 2
0:51.0,J. Smith enters the game for D. Motiejunas,,60-59,,
0:51.0,,,60-60,1,D. Rose makes free throw 2 of 2
0:39.0,P. Beverley makes 2-pt shot from 2 ft,2,62-60,,
0:27.0,,,62-62,2,P. Gasol makes 2-pt shot from 18 ft (assist by D. Rose)
0:05.0,J. Harden misses 2-pt shot from 21 ft,,62-62,,
0:03.0,Offensive rebound by J. Smith,,62-62,,
0:00.0,J. Smith misses 2-pt shot from 2 ft,,62-62,,
0:00.0,,,62-62,,Defensive rebound by P. Gasol
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,T. Ariza misses 2-pt shot from 2 ft (block by P. Gasol),,62-62,,
11:47.0,Offensive rebound by T. Ariza,,62-62,,
11:45.0,T. Ariza misses 2-pt shot at rim (block by J. Noah),,62-62,,
11:44.0,,,62-62,,Defensive rebound by P. Gasol
11:28.0,,,62-62,,J. Butler misses 2-pt shot from 6 ft (block by J. Harden)
11:25.0,Defensive rebound by D. Howard,,62-62,,
11:18.0,J. Harden misses 2-pt shot from 1 ft (block by J. Noah),,62-62,,
11:18.0,Offensive rebound by Team,,62-62,,
11:15.0,P. Beverley misses 2-pt shot from 11 ft,,62-62,,
11:13.0,,,62-62,,Defensive rebound by J. Noah
11:00.0,,,62-62,,P. Gasol misses 2-pt shot from 17 ft
11:00.0,,,62-62,,Offensive rebound by Team
11:00.0,Loose ball foul by T. Ariza (drawn by J. Noah),,62-62,,
10:46.0,,,62-62,,Turnover by P. Gasol (bad pass; steal by T. Ariza)
10:41.0,Turnover by T. Ariza (bad pass; steal by J. Butler),,62-62,,
10:34.0,,,62-62,,Shooting foul by D. Howard (drawn by J. Butler)
10:34.0,,,62-63,1,J. Butler makes free throw 1 of 2
10:34.0,,,62-63,,J. Butler misses free throw 2 of 2
10:32.0,Defensive rebound by D. Howard,,62-63,,
10:08.0,J. Harden misses 3-pt shot from 24 ft,,62-63,,
10:07.0,Offensive rebound by D. Howard,,62-63,,
9:58.0,D. Howard makes 2-pt shot from 1 ft,2,64-63,,
9:38.0,,,64-63,,K. Hinrich misses 3-pt shot from 23 ft (block by J. Harden)
9:36.0,Defensive rebound by T. Ariza,,64-63,,
9:34.0,D. Motiejunas makes 2-pt shot from 2 ft (assist by T. Ariza),2,66-63,,
9:17.0,,,66-63,,J. Butler misses 2-pt shot from 18 ft (block by T. Ariza)
9:14.0,Defensive rebound by T. Ariza,,66-63,,
9:11.0,D. Motiejunas makes 2-pt shot from 1 ft (assist by T. Ariza),2,68-63,,
8:51.0,,,68-65,2,J. Butler makes 2-pt shot from 18 ft (assist by K. Hinrich)
8:27.0,D. Motiejunas makes 2-pt shot from 10 ft,2,70-65,,
8:12.0,,,70-67,2,K. Hinrich makes 2-pt shot from 22 ft (assist by D. Rose)
7:55.0,D. Motiejunas misses 2-pt shot from 4 ft,,70-67,,
7:55.0,,,70-67,,Defensive rebound by Team
7:41.0,,,70-67,,P. Gasol misses 2-pt shot from 1 ft
7:40.0,,,70-67,,Offensive rebound by Team
7:31.0,Personal foul by T. Ariza (drawn by J. Butler),,70-67,,
7:21.0,,,70-67,,K. Hinrich misses 3-pt shot from 23 ft
7:20.0,Defensive rebound by D. Howard,,70-67,,
7:15.0,J. Harden misses 2-pt shot from 1 ft,,70-67,,
7:14.0,Offensive rebound by D. Motiejunas,,70-67,,
7:11.0,T. Ariza makes 3-pt shot from 25 ft (assist by D. Motiejunas),3,73-67,,
6:55.0,,,73-67,,D. Rose misses 3-pt shot from 25 ft
6:54.0,Defensive rebound by T. Ariza,,73-67,,
6:42.0,D. Motiejunas makes 2-pt shot from 9 ft (assist by P. Beverley),2,75-67,,
6:42.0,,,75-67,,Chicago full timeout
6:28.0,,,75-67,,J. Butler misses 2-pt shot from 4 ft (block by D. Motiejunas)
6:26.0,,,75-67,,Offensive rebound by D. Rose
6:23.0,,,75-70,3,J. Butler makes 3-pt shot from 23 ft (assist by D. Rose)
6:02.0,P. Beverley misses 2-pt shot from 10 ft,,75-70,,
6:01.0,,,75-70,,Defensive rebound by J. Noah
5:57.0,,,75-70,,Shooting foul by P. Beverley (drawn by D. Rose)
5:57.0,,,75-71,1,D. Rose makes free throw 1 of 2
5:57.0,,,75-72,1,D. Rose makes free throw 2 of 2
5:43.0,T. Ariza misses 2-pt shot from 1 ft (block by J. Noah),,75-72,,
5:41.0,,,75-72,,Defensive rebound by P. Gasol
5:36.0,,,75-74,2,K. Hinrich makes 2-pt shot from 2 ft
5:36.0,,,75-74,,Shooting foul by D. Motiejunas (drawn by K. Hinrich)
5:36.0,J. Smith enters the game for D. Motiejunas,,75-74,,
5:36.0,,,75-75,1,K. Hinrich makes free throw 1 of 1
5:17.0,J. Harden misses 2-pt shot from 17 ft,,75-75,,
5:16.0,,,75-75,,Defensive rebound by J. Noah
5:05.0,,,75-75,,P. Gasol misses 2-pt shot from 14 ft
5:04.0,Defensive rebound by J. Harden,,75-75,,
4:59.0,,,75-75,,Personal foul by P. Gasol (drawn by D. Howard)
4:59.0,C. Brewer enters the game for T. Ariza,,75-75,,
4:44.0,Turnover by J. Smith (bad pass; steal by K. Hinrich),,75-75,,
4:41.0,,,75-75,,Turnover by K. Hinrich (bad pass; steal by P. Beverley)
4:26.0,Turnover by D. Howard (lost ball; steal by J. Noah),,75-75,,
4:17.0,,,75-75,,D. Rose misses 3-pt shot from 25 ft
4:16.0,,,75-75,,Offensive rebound by P. Gasol
4:14.0,,,75-78,3,D. Rose makes 3-pt shot from 25 ft (assist by P. Gasol)
3:52.0,J. Harden misses 3-pt shot from 24 ft,,75-78,,
3:51.0,Offensive rebound by P. Beverley,,75-78,,
3:47.0,J. Smith misses 2-pt shot from 2 ft,,75-78,,
3:45.0,Offensive rebound by J. Smith,,75-78,,
3:45.0,J. Smith makes 2-pt shot from 1 ft,2,77-78,,
3:33.0,,,77-78,,Turnover by D. Rose (lost ball)
3:33.0,,,77-78,,A. Brooks enters the game for D. Rose
3:33.0,J. Terry enters the game for P. Beverley,,77-78,,
3:19.0,J. Smith misses 2-pt shot from 2 ft,,77-78,,
3:18.0,Offensive rebound by J. Smith,,77-78,,
3:18.0,J. Smith makes 2-pt shot from 2 ft,2,79-78,,
3:02.0,,,79-78,,Offensive foul by J. Noah
3:02.0,,,79-78,,Turnover by J. Noah (offensive foul)
3:02.0,,,79-78,,T. Gibson enters the game for J. Noah
3:02.0,,,79-78,,N. Mirotic enters the game for K. Hinrich
2:46.0,J. Harden misses 2-pt shot from 1 ft,,79-78,,
2:45.0,,,79-78,,Defensive rebound by N. Mirotic
2:30.0,Houston full timeout,,79-78,,
2:26.0,,,79-80,2,J. Butler makes 2-pt shot from 10 ft (assist by A. Brooks)
2:09.0,Turnover by J. Harden (bad pass; steal by A. Brooks),,79-80,,
2:00.0,,,79-80,,Shooting foul by C. Brewer (drawn by P. Gasol)
2:00.0,,,79-81,1,P. Gasol makes free throw 1 of 2
2:00.0,,,79-82,1,P. Gasol makes free throw 2 of 2
1:41.0,D. Howard misses 2-pt shot from 3 ft,,79-82,,
1:39.0,Offensive rebound by J. Smith,,79-82,,
1:37.0,D. Howard makes 2-pt shot from 2 ft (assist by J. Smith),2,81-82,,
1:18.0,Personal foul by J. Smith (drawn by T. Gibson),,81-82,,
1:18.0,,,81-83,1,T. Gibson makes free throw 1 of 2
1:18.0,,,81-83,,T. Gibson misses free throw 2 of 2
1:18.0,Defensive rebound by Team,,81-83,,
1:18.0,,,81-83,,Loose ball foul by N. Mirotic (drawn by D. Howard)
1:02.0,J. Smith makes 2-pt shot from 19 ft (assist by D. Howard),2,83-83,,
0:43.0,,,83-83,,Turnover by T. Gibson (lost ball; steal by J. Smith)
0:38.0,J. Terry makes 3-pt shot from 23 ft (assist by J. Harden),3,86-83,,
0:19.0,,,86-83,,P. Gasol misses 2-pt shot from 2 ft
0:18.0,Defensive rebound by D. Howard,,86-83,,
0:14.0,,,86-83,,Technical foul by Team
0:14.0,J. Harden makes technical free throw,1,87-83,,
0:14.0,T. Ariza enters the game for D. Howard,,87-83,,
0:02.0,J. Smith makes 2-pt shot from 2 ft (assist by J. Harden),2,89-83,,
0:00.0,,,89-83,,A. Brooks misses 3-pt shot from 40 ft
0:00.0,,,89-83,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,89-83,,J. Butler misses 3-pt shot from 25 ft (block by T. Ariza)
11:42.0,Defensive rebound by Team,,89-83,,
11:25.0,D. Howard misses 2-pt shot from 3 ft (block by J. Noah),,89-83,,
11:25.0,Offensive rebound by Team,,89-83,,
11:19.0,J. Smith misses 3-pt shot from 25 ft,,89-83,,
11:18.0,,,89-83,,Defensive rebound by N. Mirotic
11:07.0,,,89-83,,N. Mirotic misses 2-pt shot from 14 ft
11:04.0,,,89-83,,Offensive rebound by N. Mirotic
11:04.0,,,89-85,2,N. Mirotic makes 2-pt shot at rim
10:48.0,Turnover by J. Smith (bad pass; steal by T. Gibson),,89-85,,
10:41.0,,,89-85,,Shooting foul by T. Ariza (drawn by J. Butler)
10:41.0,,,89-86,1,J. Butler makes free throw 1 of 3
10:41.0,,,89-87,1,J. Butler makes free throw 2 of 3
10:41.0,,,89-88,1,J. Butler makes free throw 3 of 3
10:28.0,C. Brewer misses 2-pt shot from 3 ft (block by N. Mirotic),,89-88,,
10:27.0,Offensive rebound by Team,,89-88,,
10:24.0,Offensive charge foul by D. Howard,,89-88,,
10:24.0,Turnover by D. Howard (offensive foul),,89-88,,
10:12.0,,,89-88,,J. Butler misses 2-pt shot from 15 ft
10:11.0,Defensive rebound by T. Ariza,,89-88,,
10:03.0,J. Smith makes 2-pt shot from 21 ft (assist by J. Terry),2,91-88,,
9:46.0,,,91-88,,N. Mirotic misses 3-pt shot from 23 ft
9:45.0,Defensive rebound by J. Smith,,91-88,,
9:38.0,J. Terry makes 3-pt shot from 26 ft (assist by C. Brewer),3,94-88,,
9:20.0,,,94-88,,Turnover by A. Brooks (lost ball; steal by J. Smith)
9:06.0,C. Brewer misses 3-pt shot from 23 ft,,94-88,,
9:04.0,,,94-88,,Defensive rebound by J. Butler
9:04.0,Personal foul by J. Terry (drawn by J. Butler),,94-88,,
9:04.0,,,94-88,,D. Rose enters the game for A. Brooks
9:00.0,,,94-88,,Turnover by J. Noah (lost ball)
8:50.0,C. Brewer makes 2-pt shot from 1 ft (assist by J. Smith),2,96-88,,
8:41.0,,,96-88,,Chicago full timeout
8:41.0,,,96-88,,K. Hinrich enters the game for J. Butler
8:35.0,,,96-90,2,D. Rose makes 2-pt shot from 13 ft (assist by K. Hinrich)
8:15.0,J. Smith misses 2-pt shot from 12 ft,,96-90,,
8:15.0,Offensive rebound by Team,,96-90,,
8:15.0,,,96-90,,Loose ball foul by N. Mirotic (drawn by D. Howard)
8:15.0,D. Motiejunas enters the game for D. Howard,,96-90,,
8:05.0,Turnover by J. Terry (bad pass; steal by D. Rose),,96-90,,
8:02.0,,,96-90,,Turnover by J. Noah (bad pass)
7:43.0,D. Motiejunas makes 2-pt shot from 5 ft,2,98-90,,
7:28.0,,,98-90,,J. Noah misses 2-pt shot from 2 ft
7:27.0,,,98-90,,Offensive rebound by N. Mirotic
7:27.0,,,98-92,2,N. Mirotic makes 2-pt shot at rim
7:10.0,,,98-92,,Personal foul by J. Noah (drawn by D. Motiejunas)
7:10.0,J. Harden enters the game for C. Brewer,,98-92,,
6:59.0,D. Motiejunas misses 3-pt shot from 25 ft,,98-92,,
6:58.0,,,98-92,,Defensive rebound by D. Rose
6:52.0,,,98-95,3,K. Hinrich makes 3-pt shot from 23 ft (assist by D. Rose)
6:31.0,T. Ariza misses 3-pt shot from 24 ft,,98-95,,
6:30.0,,,98-95,,Defensive rebound by D. Rose
6:22.0,,,98-95,,Offensive charge foul by T. Gibson
6:22.0,,,98-95,,Turnover by T. Gibson (offensive foul)
6:22.0,,,98-95,,P. Gasol enters the game for J. Noah
6:22.0,P. Beverley enters the game for J. Smith,,98-95,,
6:22.0,D. Howard enters the game for J. Terry,,98-95,,
6:05.0,P. Beverley makes 2-pt shot from 8 ft,2,100-95,,
5:51.0,,,100-95,,D. Rose misses 2-pt shot from 11 ft
5:50.0,Defensive rebound by T. Ariza,,100-95,,
5:42.0,,,100-95,,Personal foul by K. Hinrich (drawn by J. Harden)
5:42.0,Houston full timeout,,100-95,,
5:42.0,,,100-95,,J. Butler enters the game for K. Hinrich
5:26.0,T. Ariza misses 2-pt shot from 2 ft,,100-95,,
5:25.0,,,100-95,,Defensive rebound by P. Gasol
5:10.0,,,100-95,,Turnover by J. Butler (bad pass; steal by D. Motiejunas)
5:05.0,J. Harden misses 2-pt shot from 1 ft (block by N. Mirotic),,100-95,,
5:04.0,,,100-95,,Defensive rebound by P. Gasol
4:58.0,,,100-95,,D. Rose misses 2-pt shot from 2 ft (block by D. Howard)
4:57.0,Defensive rebound by D. Howard,,100-95,,
4:49.0,J. Harden misses 3-pt shot from 25 ft,,100-95,,
4:48.0,,,100-95,,Defensive rebound by N. Mirotic
4:43.0,,,100-95,,J. Noah enters the game for T. Gibson
4:36.0,,,100-95,,J. Butler misses 3-pt shot from 22 ft
4:35.0,Defensive rebound by J. Harden,,100-95,,
4:24.0,P. Beverley misses 2-pt shot from 2 ft,,100-95,,
4:23.0,Offensive rebound by D. Howard,,100-95,,
4:07.0,Turnover by D. Howard (3 sec),,100-95,,
3:52.0,,,100-95,,N. Mirotic misses 3-pt shot from 25 ft
3:52.0,,,100-95,,Offensive rebound by P. Gasol
3:52.0,Personal foul by J. Harden (drawn by P. Gasol),,100-95,,
3:46.0,,,100-95,,D. Rose misses 2-pt shot from 2 ft (block by P. Beverley)
3:45.0,Defensive rebound by D. Motiejunas,,100-95,,
3:27.0,Turnover by T. Ariza (lost ball; steal by J. Butler),,100-95,,
3:21.0,,,100-95,,D. Rose misses 2-pt shot from 1 ft
3:20.0,,,100-95,,Offensive rebound by J. Butler
3:20.0,,,100-95,,J. Butler misses 2-pt shot from 2 ft
