time,LA Clippers,pts.away,score,pts.home,San Antonio
3:36.0,,,23-17,,T. Splitter enters the game for T. Duncan
3:36.0,J. Redick makes free throw 3 of 3,1,24-17,,
3:25.0,,,24-17,,K. Leonard misses 3-pt shot from 24 ft
3:24.0,,,24-17,,Offensive rebound by M. Ginobili
3:18.0,,,24-17,,M. Ginobili misses 2-pt shot from 6 ft
3:17.0,,,24-17,,Offensive rebound by T. Splitter
3:17.0,,,24-17,,Turnover by T. Splitter (lost ball; steal by M. Barnes)
3:10.0,C. Paul misses 2-pt shot from 2 ft,,24-17,,
3:08.0,Offensive rebound by G. Davis,,24-17,,
3:06.0,Turnover by G. Davis (traveling),,24-17,,
3:06.0,J. Crawford enters the game for J. Redick,,24-17,,
2:51.0,,,24-19,2,B. Diaw makes 2-pt shot from 1 ft (assist by T. Splitter)
2:27.0,Turnover by M. Barnes (bad pass),,24-19,,
2:27.0,A. Rivers enters the game for M. Barnes,,24-19,,
2:13.0,,,24-21,2,T. Splitter makes 2-pt shot from 4 ft (assist by B. Diaw)
1:57.0,G. Davis misses 2-pt shot from 9 ft (block by M. Ginobili),,24-21,,
1:56.0,Offensive rebound by G. Davis,,24-21,,
1:50.0,J. Crawford misses 3-pt shot from 26 ft,,24-21,,
1:49.0,,,24-21,,Defensive rebound by Team
1:49.0,B. Griffin enters the game for D. Jordan,,24-21,,
1:37.0,Personal block foul by J. Crawford (drawn by M. Ginobili),,24-21,,
1:29.0,,,24-21,,K. Leonard misses 2-pt shot from 7 ft (block by B. Griffin)
1:29.0,,,24-21,,Offensive rebound by Team
1:28.0,Jump ball: B. Griffin vs. K. Leonard (C. Paul gains possession),,,,Jump ball: B. Griffin vs. K. Leonard (C. Paul gains possession)
1:28.0,,,24-21,,Turnover by K. Leonard (lost ball; steal by B. Griffin)
1:21.0,A. Rivers misses 2-pt shot at rim,,24-21,,
1:19.0,Offensive rebound by G. Davis,,24-21,,
1:17.0,,,24-21,,Personal block foul by P. Mills (drawn by C. Paul)
1:02.0,B. Griffin misses 3-pt shot from 23 ft,,24-21,,
1:01.0,,,24-21,,Defensive rebound by T. Splitter
0:53.0,,,24-21,,Shooting foul by G. Davis (drawn by K. Leonard)
0:53.0,,,24-21,,K. Leonard misses free throw 1 of 2
0:53.0,,,24-21,,Offensive rebound by Team
0:53.0,,,24-21,,M. Belinelli enters the game for T. Splitter
0:53.0,S. Hawes enters the game for G. Davis,,24-21,,
0:53.0,,,24-22,1,K. Leonard makes free throw 2 of 2
0:38.0,Shooting foul by B. Diaw (drawn by B. Griffin),,24-22,,
0:38.0,B. Griffin makes free throw 1 of 2,1,25-22,,
0:38.0,,,25-22,,M. Bonner enters the game for B. Diaw
0:38.0,D. Jones enters the game for S. Hawes,,25-22,,
0:38.0,B. Griffin makes free throw 2 of 2,1,26-22,,
0:30.0,Personal block foul by D. Jones (drawn by K. Leonard),,26-22,,
0:30.0,,,26-23,1,K. Leonard makes free throw 1 of 2
0:30.0,,,26-23,,T. Splitter enters the game for M. Bonner
0:30.0,J. Redick enters the game for D. Jones,,26-23,,
0:30.0,,,26-24,1,K. Leonard makes free throw 2 of 2
0:09.0,A. Rivers misses 3-pt shot from 23 ft,,26-24,,
0:08.0,Offensive rebound by B. Griffin,,26-24,,
0:05.0,Turnover by C. Paul (step out of bounds),,26-24,,
0:05.0,D. Jones enters the game for J. Redick,,26-24,,
0:05.0,G. Davis enters the game for B. Griffin,,26-24,,
0:04.0,Personal foul by C. Paul (drawn by P. Mills),,26-24,,
0:04.0,,,26-25,1,P. Mills makes free throw 1 of 2
0:04.0,J. Redick enters the game for D. Jones,,26-25,,
0:04.0,,,26-25,,D. Green enters the game for K. Leonard
0:04.0,,,26-26,1,P. Mills makes free throw 2 of 2
0:00.0,C. Paul misses 3-pt shot from 26 ft,,26-26,,
0:00.0,Offensive rebound by Team,,26-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,J. Crawford makes 2-pt shot from 4 ft,2,28-26,,
11:20.0,,,28-26,,M. Ginobili misses 3-pt shot from 23 ft
11:18.0,Defensive rebound by Team,,28-26,,
11:10.0,,,28-26,,Personal foul by M. Ginobili (drawn by J. Crawford)
11:10.0,,,28-26,,T. Duncan enters the game for M. Ginobili
11:02.0,Turnover by J. Redick (lost ball; steal by M. Belinelli),,28-26,,
10:51.0,,,28-29,3,D. Green makes 3-pt shot from 24 ft (assist by T. Duncan)
10:39.0,Shooting foul by T. Duncan (drawn by A. Rivers),,28-29,,
10:39.0,A. Rivers makes free throw 1 of 2,1,29-29,,
10:39.0,A. Rivers misses free throw 2 of 2,,29-29,,
10:38.0,,,29-29,,Defensive rebound by T. Duncan
10:37.0,Loose ball foul by G. Davis (drawn by T. Duncan),,29-29,,
10:37.0,D. Jordan enters the game for G. Davis,,29-29,,
10:23.0,,,29-32,3,M. Belinelli makes 3-pt shot from 24 ft (assist by P. Mills)
10:09.0,J. Redick makes 2-pt shot from 21 ft (assist by J. Crawford),2,31-32,,
9:54.0,,,31-32,,D. Green misses 2-pt shot from 19 ft
9:53.0,Defensive rebound by B. Griffin,,31-32,,
9:40.0,A. Rivers misses 2-pt shot from 7 ft,,31-32,,
9:39.0,Offensive rebound by D. Jordan,,31-32,,
9:39.0,Shooting foul by T. Splitter (drawn by D. Jordan),,31-32,,
9:39.0,D. Jordan makes free throw 1 of 2,1,32-32,,
9:39.0,,,32-32,,Violation by T. Splitter (lane)
9:39.0,D. Jordan misses free throw 2 of 2,,32-32,,
9:38.0,,,32-32,,Defensive rebound by T. Duncan
9:25.0,,,32-32,,M. Belinelli misses 2-pt shot from 21 ft
9:23.0,Defensive rebound by B. Griffin,,32-32,,
9:16.0,Turnover by J. Crawford (bad pass),,32-32,,
9:06.0,,,32-35,3,M. Belinelli makes 3-pt shot from 23 ft (assist by P. Mills)
8:45.0,J. Crawford misses 2-pt shot from 18 ft,,32-35,,
8:44.0,,,32-35,,Defensive rebound by M. Belinelli
8:35.0,,,32-38,3,M. Belinelli makes 3-pt shot from 24 ft
8:29.0,LA Clippers full timeout,,32-38,,
8:29.0,,,32-38,,B. Diaw enters the game for T. Splitter
8:29.0,,,32-38,,T. Parker enters the game for P. Mills
8:29.0,C. Paul enters the game for A. Rivers,,32-38,,
8:15.0,B. Griffin misses 2-pt shot from 6 ft,,32-38,,
8:14.0,Offensive rebound by D. Jordan,,32-38,,
8:14.0,D. Jordan misses 2-pt shot at rim,,32-38,,
8:13.0,,,32-38,,Defensive rebound by T. Duncan
7:52.0,,,32-41,3,M. Belinelli makes 3-pt shot from 24 ft (assist by T. Parker)
7:35.0,,,32-41,,Personal foul by M. Belinelli (drawn by B. Griffin)
7:35.0,M. Barnes enters the game for J. Crawford,,32-41,,
7:35.0,,,32-41,,K. Leonard enters the game for D. Green
7:35.0,,,32-41,,Inbound foul by T. Parker
7:35.0,D. Jordan misses free throw 1 of 2,,32-41,,
7:35.0,Offensive rebound by Team,,32-41,,
7:35.0,D. Jordan misses free throw 2 of 2,,32-41,,
7:34.0,,,32-41,,Defensive rebound by K. Leonard
7:14.0,,,32-41,,Shooting foul by D. Jordan (drawn by T. Duncan)
7:14.0,,,32-41,,T. Duncan misses free throw 1 of 2
7:14.0,,,32-41,,Offensive rebound by Team
7:14.0,,,32-41,,T. Duncan misses free throw 2 of 2
7:13.0,Defensive rebound by B. Griffin,,32-41,,
7:13.0,,,32-41,,Personal take foul by M. Belinelli (drawn by D. Jordan)
7:13.0,D. Jordan makes free throw 1 of 2,1,33-41,,
7:13.0,D. Jordan makes free throw 2 of 2,1,34-41,,
7:00.0,,,34-43,2,T. Duncan makes 2-pt shot at rim (assist by T. Parker)
6:51.0,,,34-43,,Personal take foul by T. Parker (drawn by D. Jordan)
6:51.0,D. Jordan misses free throw 1 of 2,,34-43,,
6:51.0,Offensive rebound by Team,,34-43,,
6:51.0,D. Jordan makes free throw 2 of 2,1,35-43,,
6:40.0,,,35-43,,M. Belinelli misses 3-pt shot from 25 ft
6:39.0,,,35-43,,Offensive rebound by B. Diaw
6:20.0,,,35-45,2,B. Diaw makes 2-pt shot from 1 ft (assist by T. Parker)
6:13.0,,,35-45,,Personal foul by T. Duncan (drawn by D. Jordan)
6:13.0,D. Jordan misses free throw 1 of 2,,35-45,,
6:13.0,Offensive rebound by Team,,35-45,,
6:13.0,,,35-45,,M. Ginobili enters the game for M. Belinelli
6:13.0,D. Jordan makes free throw 2 of 2,1,36-45,,
5:48.0,,,36-45,,K. Leonard misses 2-pt shot from 14 ft
5:47.0,,,36-45,,Offensive rebound by B. Diaw
5:46.0,,,36-45,,Turnover by B. Diaw (lost ball; steal by C. Paul)
5:40.0,J. Redick misses 3-pt shot from 24 ft,,36-45,,
5:39.0,,,36-45,,Defensive rebound by T. Parker
5:31.0,,,36-45,,T. Parker misses 2-pt shot at rim (block by B. Griffin)
5:29.0,Defensive rebound by D. Jordan,,36-45,,
5:29.0,Turnover by D. Jordan (bad pass),,36-45,,
5:29.0,Official timeout,,36-45,,
5:21.0,,,36-45,,B. Diaw misses 3-pt shot from 25 ft
5:20.0,Defensive rebound by M. Barnes,,36-45,,
5:12.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,38-45,,
4:46.0,,,38-47,2,T. Parker makes 2-pt shot from 9 ft (assist by B. Diaw)
4:29.0,,,38-47,,Violation by B. Diaw (kicked ball)
4:14.0,J. Redick misses 3-pt shot from 23 ft,,38-47,,
4:13.0,Offensive rebound by M. Barnes,,38-47,,
3:59.0,D. Jordan makes 2-pt shot from 3 ft (assist by C. Paul),2,40-47,,
3:59.0,Shooting foul by T. Duncan (drawn by D. Jordan),,40-47,,
3:59.0,,,40-47,,T. Splitter enters the game for T. Duncan
3:59.0,,,40-47,,M. Bonner enters the game for B. Diaw
3:59.0,D. Jordan misses free throw 1 of 1,,40-47,,
3:57.0,,,40-47,,Defensive rebound by K. Leonard
3:41.0,,,40-47,,T. Parker misses 2-pt shot from 1 ft (block by D. Jordan)
3:39.0,Defensive rebound by C. Paul,,40-47,,
3:32.0,B. Griffin makes 2-pt shot from 3 ft,2,42-47,,
3:23.0,,,42-47,,San Antonio full timeout
3:16.0,Violation by D. Jordan (kicked ball),,42-47,,
3:06.0,,,42-47,,M. Ginobili misses 2-pt shot from 19 ft
3:05.0,Defensive rebound by B. Griffin,,42-47,,
2:57.0,Shooting foul by T. Parker (drawn by C. Paul),,42-47,,
2:57.0,C. Paul makes free throw 1 of 2,1,43-47,,
2:57.0,,,43-47,,M. Belinelli enters the game for M. Ginobili
2:57.0,,,43-47,,P. Mills enters the game for T. Parker
2:57.0,C. Paul makes free throw 2 of 2,1,44-47,,
2:43.0,Personal foul by D. Jordan (drawn by T. Splitter),,44-47,,
2:43.0,,,44-47,,B. Diaw enters the game for M. Bonner
2:31.0,,,44-47,,M. Belinelli misses 3-pt shot from 27 ft
2:30.0,Defensive rebound by D. Jordan,,44-47,,
2:21.0,C. Paul misses 2-pt shot from 9 ft,,44-47,,
2:20.0,,,44-47,,Defensive rebound by Team
2:03.0,,,44-47,,P. Mills misses 3-pt shot from 24 ft
2:02.0,Defensive rebound by D. Jordan,,44-47,,
1:42.0,M. Barnes makes 3-pt shot from 25 ft (assist by B. Griffin),3,47-47,,
1:33.0,Personal foul by M. Barnes (drawn by T. Splitter),,47-47,,
1:33.0,J. Crawford enters the game for J. Redick,,47-47,,
1:19.0,,,47-49,2,K. Leonard makes 2-pt shot from 5 ft
1:04.0,J. Crawford makes 2-pt shot from 5 ft (assist by C. Paul),2,49-49,,
0:42.0,,,49-51,2,K. Leonard makes 2-pt shot from 14 ft
0:37.0,,,49-51,,Personal foul by K. Leonard (drawn by C. Paul)
0:37.0,C. Paul makes free throw 1 of 2,1,50-51,,
0:37.0,G. Davis enters the game for D. Jordan,,50-51,,
0:37.0,C. Paul makes free throw 2 of 2,1,51-51,,
0:24.0,,,51-51,,Turnover by K. Leonard (bad pass)
0:24.0,LA Clippers full timeout,,51-51,,
0:24.0,,,51-51,,D. Green enters the game for K. Leonard
0:24.0,J. Redick enters the game for G. Davis,,51-51,,
0:04.0,B. Griffin misses 2-pt shot from 14 ft,,51-51,,
0:03.0,,,51-51,,Defensive rebound by P. Mills
0:00.0,,,51-51,,M. Belinelli misses 3-pt shot from 29 ft
0:00.0,,,51-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,B. Griffin misses 2-pt shot from 3 ft,,51-51,,
11:43.0,,,51-51,,Defensive rebound by T. Duncan
11:27.0,,,51-51,,D. Green misses 3-pt shot from 23 ft
11:25.0,Defensive rebound by B. Griffin,,51-51,,
11:12.0,B. Griffin makes 2-pt shot from 14 ft (assist by C. Paul),2,53-51,,
10:57.0,,,53-51,,K. Leonard misses 2-pt shot from 11 ft
10:56.0,Defensive rebound by D. Jordan,,53-51,,
10:44.0,B. Griffin misses 2-pt shot from 16 ft,,53-51,,
10:43.0,Offensive rebound by D. Jordan,,53-51,,
10:38.0,J. Redick makes 2-pt shot from 18 ft,2,55-51,,
10:22.0,Personal foul by B. Griffin (drawn by T. Splitter),,55-51,,
10:11.0,,,55-51,,T. Parker misses 2-pt shot from 15 ft
10:10.0,Defensive rebound by M. Barnes,,55-51,,
9:59.0,,,55-51,,Violation by K. Leonard (kicked ball)
9:48.0,J. Redick misses 2-pt shot from 20 ft,,55-51,,
9:47.0,,,55-51,,Defensive rebound by T. Splitter
9:41.0,,,55-51,,D. Green misses 3-pt shot from 25 ft
9:40.0,Defensive rebound by C. Paul,,55-51,,
9:33.0,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul),2,57-51,,
9:18.0,,,57-53,2,D. Green makes 2-pt shot from 2 ft (assist by T. Duncan)
8:52.0,B. Griffin misses 2-pt shot from 5 ft,,57-53,,
8:50.0,Offensive rebound by B. Griffin,,57-53,,
8:50.0,B. Griffin makes 2-pt shot from 1 ft,2,59-53,,
8:33.0,,,59-53,,T. Splitter misses 2-pt shot from 2 ft (block by B. Griffin)
8:32.0,Defensive rebound by D. Jordan,,59-53,,
8:20.0,C. Paul misses 2-pt shot from 14 ft,,59-53,,
8:19.0,,,59-53,,Defensive rebound by T. Splitter
7:57.0,,,59-53,,T. Duncan misses 2-pt shot from 17 ft
7:56.0,Defensive rebound by B. Griffin,,59-53,,
7:44.0,M. Barnes makes 3-pt shot from 24 ft (assist by B. Griffin),3,62-53,,
7:44.0,,,62-53,,San Antonio full timeout
7:44.0,,,62-53,,B. Diaw enters the game for T. Splitter
7:44.0,,,62-53,,M. Belinelli enters the game for K. Leonard
7:21.0,,,62-56,3,B. Diaw makes 3-pt shot from 25 ft (assist by M. Belinelli)
6:57.0,B. Griffin makes 2-pt shot from 17 ft (assist by C. Paul),2,64-56,,
6:41.0,,,64-56,,Shooting foul by M. Barnes (drawn by M. Belinelli)
6:41.0,,,64-56,,M. Belinelli misses free throw 1 of 3
6:41.0,,,64-56,,Offensive rebound by Team
6:41.0,,,64-57,1,M. Belinelli makes free throw 2 of 3
6:41.0,,,64-58,1,M. Belinelli makes free throw 3 of 3
6:28.0,B. Griffin misses 2-pt shot from 1 ft (block by D. Green),,64-58,,
6:28.0,Offensive rebound by Team,,64-58,,
6:18.0,B. Griffin makes 2-pt shot from 14 ft,2,66-58,,
5:57.0,,,66-58,,Turnover by D. Green (lost ball)
5:45.0,B. Griffin misses 2-pt shot from 18 ft,,66-58,,
5:44.0,,,66-58,,Defensive rebound by T. Duncan
5:24.0,,,66-61,3,M. Belinelli makes 3-pt shot from 29 ft (assist by B. Diaw)
5:07.0,J. Redick misses 2-pt shot from 19 ft,,66-61,,
5:06.0,,,66-61,,Defensive rebound by T. Duncan
4:57.0,,,66-61,,B. Diaw misses 3-pt shot from 25 ft
4:56.0,Defensive rebound by D. Jordan,,66-61,,
4:56.0,LA Clippers full timeout,,66-61,,
4:56.0,J. Crawford enters the game for M. Barnes,,66-61,,
4:56.0,,,66-61,,K. Leonard enters the game for D. Green
4:56.0,,,66-61,,Personal foul by M. Belinelli (drawn by D. Jordan)
4:43.0,C. Paul makes 2-pt shot from 18 ft,2,68-61,,
4:20.0,,,68-61,,K. Leonard misses 2-pt shot from 16 ft
4:19.0,Defensive rebound by C. Paul,,68-61,,
3:57.0,C. Paul misses 3-pt shot from 26 ft,,68-61,,
3:56.0,,,68-61,,Defensive rebound by M. Belinelli
3:46.0,,,68-63,2,B. Diaw makes 2-pt shot from 9 ft
3:23.0,C. Paul makes 2-pt shot from 18 ft,2,70-63,,
3:04.0,,,70-65,2,T. Parker makes 2-pt shot from 6 ft
2:51.0,,,70-65,,Personal foul by B. Diaw (drawn by J. Crawford)
2:51.0,,,70-65,,P. Mills enters the game for T. Parker
2:51.0,,,70-65,,T. Splitter enters the game for T. Duncan
2:51.0,G. Davis enters the game for B. Griffin,,70-65,,
2:41.0,Turnover by J. Crawford (bad pass),,70-65,,
2:41.0,A. Rivers enters the game for J. Redick,,70-65,,
2:26.0,,,70-67,2,B. Diaw makes 2-pt shot from 13 ft (assist by T. Splitter)
2:05.0,A. Rivers misses 2-pt shot from 20 ft,,70-67,,
2:05.0,Offensive rebound by Team,,70-67,,
2:05.0,,,70-67,,Loose ball foul by T. Splitter (drawn by D. Jordan)
2:02.0,J. Crawford misses 2-pt shot from 11 ft,,70-67,,
2:00.0,,,70-67,,Defensive rebound by K. Leonard
1:47.0,,,70-67,,Offensive foul by B. Diaw
1:47.0,,,70-67,,Turnover by B. Diaw (offensive foul)
1:47.0,,,70-67,,M. Bonner enters the game for B. Diaw
1:35.0,Offensive charge foul by G. Davis,,70-67,,
1:35.0,Turnover by G. Davis (offensive foul),,70-67,,
1:35.0,H. Turkoglu enters the game for D. Jordan,,70-67,,
1:35.0,,,70-67,,M. Ginobili enters the game for M. Bonner
1:19.0,,,70-67,,K. Leonard misses 2-pt shot from 6 ft
1:18.0,,,70-67,,Offensive rebound by T. Splitter
1:13.0,,,70-70,3,P. Mills makes 3-pt shot from 25 ft (assist by T. Splitter)
0:57.0,C. Paul makes 2-pt shot from 15 ft,2,72-70,,
0:43.0,Shooting block foul by G. Davis (drawn by K. Leonard),,72-70,,
0:43.0,,,72-71,1,K. Leonard makes free throw 1 of 2
0:43.0,,,72-72,1,K. Leonard makes free throw 2 of 2
0:39.0,C. Paul makes 2-pt shot from 16 ft,2,74-72,,
0:33.0,Personal foul by H. Turkoglu (drawn by T. Splitter),,74-72,,
0:33.0,,,74-72,,T. Splitter misses free throw 1 of 2
0:33.0,,,74-72,,Offensive rebound by Team
0:33.0,,,74-72,,T. Splitter misses free throw 2 of 2
0:33.0,Defensive rebound by H. Turkoglu,,74-72,,
0:12.0,G. Davis makes 2-pt shot at rim (assist by C. Paul),2,76-72,,
0:01.0,,,76-72,,M. Ginobili misses 2-pt shot from 9 ft
0:00.0,,,76-72,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:52.0,,,76-72,,Turnover by P. Mills (lost ball)
11:35.0,A. Rivers makes 2-pt shot from 19 ft,2,78-72,,
11:12.0,Personal foul by J. Crawford (drawn by M. Ginobili),,78-72,,
11:08.0,Personal foul by G. Davis (drawn by T. Splitter),,78-72,,
11:08.0,,,78-73,1,T. Splitter makes free throw 1 of 2
11:08.0,B. Griffin enters the game for G. Davis,,78-73,,
11:08.0,,,78-74,1,T. Splitter makes free throw 2 of 2
10:56.0,J. Crawford makes 2-pt shot from 17 ft (assist by B. Griffin),2,80-74,,
10:41.0,,,80-76,2,T. Splitter makes 2-pt shot at rim (assist by M. Ginobili)
10:10.0,A. Rivers misses 2-pt shot from 7 ft,,80-76,,
10:09.0,,,80-76,,Defensive rebound by P. Mills
10:02.0,,,80-76,,M. Ginobili misses 3-pt shot from 25 ft
10:01.0,Defensive rebound by H. Turkoglu,,80-76,,
9:47.0,H. Turkoglu misses 3-pt shot from 26 ft,,80-76,,
9:46.0,,,80-76,,Defensive rebound by P. Mills
9:24.0,,,80-76,,T. Splitter misses 2-pt shot from 2 ft
9:24.0,Defensive rebound by B. Griffin,,80-76,,
9:24.0,,,80-76,,Loose ball foul by M. Ginobili (drawn by B. Griffin)
9:24.0,M. Barnes enters the game for H. Turkoglu,,80-76,,
9:24.0,J. Redick enters the game for A. Rivers,,80-76,,
9:11.0,C. Paul misses 2-pt shot from 15 ft,,80-76,,
9:10.0,,,80-76,,Defensive rebound by K. Leonard
8:57.0,,,80-76,,K. Leonard misses 2-pt shot from 7 ft
8:56.0,Defensive rebound by M. Barnes,,80-76,,
8:42.0,J. Crawford misses 2-pt shot from 16 ft,,80-76,,
8:41.0,,,80-76,,Defensive rebound by T. Splitter
8:30.0,Shooting block foul by M. Barnes (drawn by T. Splitter),,80-76,,
8:30.0,Official timeout,,80-76,,
8:30.0,,,80-76,,T. Parker enters the game for M. Belinelli
8:30.0,,,80-76,,D. Green enters the game for M. Ginobili
8:30.0,,,80-76,,T. Splitter misses free throw 1 of 2
8:30.0,,,80-76,,Offensive rebound by Team
8:30.0,,,80-76,,B. Diaw enters the game for P. Mills
8:30.0,,,80-76,,T. Splitter misses free throw 2 of 2
8:30.0,Defensive rebound by M. Barnes,,80-76,,
8:13.0,J. Crawford misses 3-pt shot from 25 ft,,80-76,,
8:12.0,,,80-76,,Defensive rebound by K. Leonard
7:57.0,,,80-76,,T. Parker misses 2-pt shot from 5 ft
7:56.0,Defensive rebound by M. Barnes,,80-76,,
7:43.0,C. Paul makes 2-pt shot from 14 ft,2,82-76,,
7:23.0,,,82-78,2,T. Parker makes 2-pt shot from 7 ft
7:07.0,C. Paul makes 3-pt shot from 23 ft (assist by B. Griffin),3,85-78,,
7:07.0,,,85-78,,San Antonio full timeout
7:07.0,,,85-78,,T. Duncan enters the game for T. Splitter
6:51.0,,,85-78,,D. Green misses 3-pt shot from 25 ft
6:50.0,Defensive rebound by B. Griffin,,85-78,,
6:50.0,,,85-78,,Personal foul by D. Green (drawn by C. Paul)
6:35.0,C. Paul misses 3-pt shot from 24 ft,,85-78,,
6:34.0,,,85-78,,Defensive rebound by K. Leonard
6:27.0,Personal foul by M. Barnes (drawn by B. Diaw),,85-78,,
6:27.0,D. Jordan enters the game for M. Barnes,,85-78,,
6:20.0,,,85-80,2,B. Diaw makes 2-pt shot from 17 ft (assist by T. Parker)
