time,Chicago,pts.away,score,pts.home,Phoenix
3:26.0,,,15-14,2,A. Len makes 2-pt shot at rim (assist by E. Bledsoe)
3:11.0,K. Hinrich enters the game for D. Rose,,15-14,,
3:11.0,,,15-14,,B. Wright enters the game for M. Morris
3:05.0,Turnover by P. Gasol (lost ball; steal by I. Thomas),,15-14,,
3:01.0,,,15-16,2,B. Wright makes 2-pt shot at rim (assist by P. Tucker)
2:46.0,Shooting foul by P. Tucker (drawn by P. Gasol),,15-16,,
2:46.0,Chicago full timeout,,15-16,,
2:46.0,A. Brooks enters the game for T. Snell,,15-16,,
2:46.0,P. Gasol misses free throw 1 of 2,,15-16,,
2:46.0,Offensive rebound by Team,,15-16,,
2:46.0,P. Gasol misses free throw 2 of 2,,15-16,,
2:45.0,,,15-16,,Defensive rebound by B. Wright
2:28.0,,,15-18,2,I. Thomas makes 2-pt shot from 2 ft (assist by E. Bledsoe)
2:06.0,A. Brooks makes 2-pt shot from 2 ft,2,17-18,,
2:00.0,,,17-18,,Offensive foul by A. Len
2:00.0,,,17-18,,Turnover by A. Len (offensive foul)
2:00.0,,,17-18,,M. Plumlee enters the game for A. Len
2:00.0,N. Mirotic enters the game for P. Gasol,,17-18,,
1:48.0,,,17-18,,Personal foul by P. Tucker (drawn by J. Butler)
1:48.0,J. Butler misses free throw 1 of 2,,17-18,,
1:48.0,Offensive rebound by Team,,17-18,,
1:48.0,,,17-18,,M. Morris enters the game for P. Tucker
1:48.0,J. Butler misses free throw 2 of 2,,17-18,,
1:48.0,,,17-18,,Defensive rebound by M. Plumlee
1:27.0,,,17-20,2,E. Bledsoe makes 2-pt shot from 3 ft
1:07.0,J. Butler makes 2-pt shot at rim,2,19-20,,
1:00.0,,,19-20,,Turnover by M. Morris (bad pass; steal by A. Brooks)
0:56.0,J. Butler makes 2-pt shot at rim (assist by A. Brooks),2,21-20,,
0:38.0,,,21-23,3,E. Bledsoe makes 3-pt shot from 25 ft (assist by I. Thomas)
0:25.0,A. Brooks makes 2-pt shot from 1 ft,2,23-23,,
0:08.0,Personal take foul by A. Brooks (drawn by I. Thomas),,23-23,,
0:02.0,,,23-26,3,I. Thomas makes 3-pt shot from 32 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,A. Brooks misses 2-pt shot from 1 ft,,23-26,,
11:46.0,,,23-26,,Defensive rebound by I. Thomas
11:43.0,,,23-26,,Turnover by I. Thomas (bad pass)
11:32.0,Turnover by T. Gibson (lost ball; steal by M. Morris),,23-26,,
11:25.0,,,23-26,,Turnover by G. Dragic (traveling)
11:07.0,A. Brooks makes 2-pt shot from 1 ft,2,25-26,,
10:38.0,,,25-29,3,M. Morris makes 3-pt shot from 24 ft
10:25.0,Turnover by T. Snell (bad pass; steal by M. Morris),,25-29,,
10:18.0,,,25-31,2,M. Morris makes 2-pt shot from 6 ft
10:01.0,Turnover by N. Mirotic (offensive foul),,25-31,,
10:01.0,Offensive charge foul by N. Mirotic,,25-31,,
10:01.0,,,25-31,,M. Morris enters the game for M. Plumlee
9:49.0,,,25-31,,Shooting foul by T. Gibson (drawn by B. Wright)
9:49.0,,,25-32,1,B. Wright makes free throw 1 of 2
9:49.0,,,25-33,1,B. Wright makes free throw 2 of 2
9:33.0,T. Gibson misses 2-pt shot from 2 ft,,25-33,,
9:32.0,,,25-33,,Defensive rebound by M. Morris
9:22.0,,,25-35,2,M. Morris makes 2-pt shot from 12 ft
9:00.0,N. Mirotic misses 3-pt shot from 22 ft,,25-35,,
8:59.0,,,25-35,,Defensive rebound by M. Morris
8:55.0,Personal foul by K. Hinrich (drawn by G. Dragic),,25-35,,
8:55.0,Official timeout,,25-35,,
8:49.0,Personal foul by T. Snell (drawn by M. Morris),,25-35,,
8:40.0,,,25-38,3,G. Dragic makes 3-pt shot from 24 ft
8:17.0,K. Hinrich misses 2-pt shot from 4 ft (block by G. Dragic),,25-38,,
8:16.0,,,25-38,,Defensive rebound by M. Morris
8:13.0,,,25-38,,I. Thomas misses 2-pt shot from 1 ft
8:12.0,,,25-38,,Offensive rebound by B. Wright
8:12.0,,,25-40,2,B. Wright makes 2-pt shot at rim
8:03.0,Chicago full timeout,,25-40,,
8:03.0,J. Noah enters the game for K. Hinrich,,25-40,,
8:03.0,D. Rose enters the game for T. Snell,,25-40,,
8:03.0,J. Butler enters the game for N. Mirotic,,25-40,,
7:45.0,J. Butler misses 2-pt shot from 1 ft,,25-40,,
7:44.0,Offensive rebound by J. Noah,,25-40,,
7:44.0,Turnover by Team (shot clock),,25-40,,
7:30.0,,,25-40,,M. Morris misses 2-pt shot from 13 ft
7:29.0,Defensive rebound by J. Butler,,25-40,,
7:16.0,D. Rose misses 3-pt shot from 25 ft,,25-40,,
7:16.0,,,25-40,,Defensive rebound by I. Thomas
7:02.0,,,25-40,,M. Morris misses 2-pt shot from 20 ft
7:01.0,Defensive rebound by J. Noah,,25-40,,
6:53.0,T. Gibson misses 2-pt shot at rim,,25-40,,
6:52.0,,,25-40,,Defensive rebound by Team
6:42.0,,,25-40,,G. Dragic misses 2-pt shot from 5 ft
6:40.0,Defensive rebound by J. Noah,,25-40,,
6:29.0,A. Brooks makes 2-pt shot at rim,2,27-40,,
6:16.0,,,27-40,,M. Morris misses 2-pt shot from 1 ft
6:13.0,Defensive rebound by J. Noah,,27-40,,
6:02.0,Shooting foul by B. Wright (drawn by J. Butler),,27-40,,
6:02.0,J. Butler makes free throw 1 of 2,1,28-40,,
6:02.0,,,28-40,,E. Bledsoe enters the game for I. Thomas
6:02.0,,,28-40,,A. Len enters the game for B. Wright
6:02.0,J. Butler makes free throw 2 of 2,1,29-40,,
5:51.0,Personal foul by A. Brooks (drawn by M. Morris),,29-40,,
5:39.0,,,29-42,2,G. Dragic makes 2-pt shot from 13 ft
5:26.0,Shooting foul by A. Len (drawn by D. Rose),,29-42,,
5:26.0,D. Rose misses free throw 1 of 2,,29-42,,
5:26.0,Offensive rebound by Team,,29-42,,
5:26.0,P. Gasol enters the game for T. Gibson,,29-42,,
5:26.0,,,29-42,,M. Plumlee enters the game for A. Len
5:26.0,D. Rose makes free throw 2 of 2,1,30-42,,
5:10.0,,,30-42,,Turnover by M. Plumlee (bad pass; steal by A. Brooks)
5:10.0,Jump ball: A. Brooks vs. G. Dragic (J. Noah gains possession),,,,Jump ball: A. Brooks vs. G. Dragic (J. Noah gains possession)
5:05.0,J. Butler makes 2-pt shot at rim (assist by D. Rose),2,32-42,,
4:54.0,,,32-42,,Phoenix full timeout
4:54.0,,,32-42,,P. Tucker enters the game for M. Morris
4:43.0,,,32-42,,P. Tucker misses 2-pt shot from 4 ft
4:42.0,,,32-42,,Offensive rebound by Team
4:40.0,,,32-42,,Turnover by M. Morris (traveling)
4:32.0,Turnover by J. Butler (bad pass),,32-42,,
4:27.0,,,32-42,,P. Tucker misses 3-pt shot from 23 ft
4:26.0,Defensive rebound by J. Noah,,32-42,,
4:09.0,D. Rose makes 2-pt shot at rim (assist by J. Noah),2,34-42,,
4:00.0,,,34-42,,P. Tucker misses 3-pt shot from 23 ft
3:58.0,Defensive rebound by A. Brooks,,34-42,,
3:51.0,J. Noah misses 2-pt shot from 18 ft,,34-42,,
3:51.0,,,34-42,,Defensive rebound by Team
3:42.0,,,34-42,,E. Bledsoe misses 2-pt shot from 2 ft
3:41.0,,,34-42,,Offensive rebound by G. Dragic
3:38.0,,,34-45,3,E. Bledsoe makes 3-pt shot from 23 ft (assist by G. Dragic)
3:20.0,D. Rose makes 2-pt shot from 5 ft (assist by P. Gasol),2,36-45,,
3:20.0,,,36-45,,Shooting block foul by M. Morris (drawn by D. Rose)
3:20.0,D. Rose makes free throw 1 of 1,1,37-45,,
3:02.0,Personal foul by J. Butler (drawn by M. Morris),,37-45,,
3:02.0,,,37-46,1,M. Morris makes free throw 1 of 2
3:02.0,,,37-47,1,M. Morris makes free throw 2 of 2
2:49.0,D. Rose misses 2-pt shot from 1 ft (block by M. Morris),,37-47,,
2:48.0,Offensive rebound by J. Noah,,37-47,,
2:35.0,P. Gasol misses 2-pt shot from 3 ft,,37-47,,
2:34.0,,,37-47,,Defensive rebound by M. Morris
2:28.0,,,37-49,2,M. Plumlee makes 2-pt shot at rim (assist by G. Dragic)
2:18.0,D. Rose misses 2-pt shot from 1 ft,,37-49,,
2:18.0,,,37-49,,Defensive rebound by M. Morris
2:15.0,,,37-51,2,G. Dragic makes 2-pt shot at rim (assist by M. Morris)
2:06.0,Chicago full timeout,,37-51,,
1:58.0,J. Butler makes 2-pt shot at rim (assist by J. Noah),2,39-51,,
1:37.0,,,39-51,,G. Dragic misses 2-pt shot from 14 ft
1:35.0,Defensive rebound by J. Noah,,39-51,,
1:28.0,A. Brooks misses 3-pt shot from 25 ft,,39-51,,
1:27.0,,,39-51,,Defensive rebound by M. Plumlee
1:12.0,,,39-53,2,E. Bledsoe makes 2-pt shot from 13 ft
1:03.0,Turnover by D. Rose (bad pass; steal by E. Bledsoe),,39-53,,
0:58.0,,,39-53,,Shooting foul by A. Brooks (drawn by G. Dragic)
0:58.0,,,39-54,1,G. Dragic makes free throw 1 of 2
0:58.0,T. Snell enters the game for A. Brooks,,39-54,,
0:58.0,,,39-55,1,G. Dragic makes free throw 2 of 2
0:40.0,J. Noah misses 2-pt shot from 17 ft,,39-55,,
0:39.0,,,39-55,,Defensive rebound by M. Morris
0:31.0,,,39-55,,E. Bledsoe misses 2-pt shot from 16 ft
0:30.0,Defensive rebound by T. Snell,,39-55,,
0:23.0,D. Rose misses 2-pt shot from 2 ft,,39-55,,
0:23.0,Offensive rebound by Team,,39-55,,
0:23.0,,,39-55,,Loose ball foul by M. Morris (drawn by P. Gasol)
0:23.0,,,39-55,,M. Morris enters the game for M. Morris
0:19.0,J. Noah makes 2-pt shot at rim (assist by D. Rose),2,41-55,,
0:19.0,Shooting foul by M. Morris (drawn by J. Noah),,41-55,,
0:19.0,,,41-55,,I. Thomas enters the game for P. Tucker
0:19.0,E. Moore enters the game for D. Rose,,41-55,,
0:19.0,J. Noah makes free throw 1 of 1,1,42-55,,
0:02.0,,,42-55,,G. Dragic misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by P. Gasol,,42-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,Offensive charge foul by J. Butler,,42-55,,
11:43.0,Turnover by J. Butler (offensive foul),,42-55,,
11:33.0,,,42-55,,Turnover by P. Tucker (traveling)
11:25.0,Turnover by J. Noah (bad pass; steal by E. Bledsoe),,42-55,,
11:19.0,,,42-57,2,G. Dragic makes 2-pt shot at rim (assist by M. Morris)
11:01.0,J. Butler misses 3-pt shot from 24 ft,,42-57,,
11:00.0,,,42-57,,Defensive rebound by A. Len
10:50.0,,,42-57,,Turnover by E. Bledsoe (lost ball; steal by J. Noah)
10:44.0,J. Noah makes 2-pt shot at rim (assist by J. Butler),2,44-57,,
10:36.0,,,44-57,,M. Morris misses 2-pt shot from 16 ft
10:35.0,Defensive rebound by P. Gasol,,44-57,,
10:29.0,D. Rose misses 3-pt shot from 23 ft,,44-57,,
10:27.0,,,44-57,,Defensive rebound by M. Morris
10:17.0,,,44-57,,Shooting foul by J. Noah (drawn by A. Len)
10:17.0,,,44-58,1,A. Len makes free throw 1 of 2
10:17.0,,,44-58,,A. Len misses free throw 2 of 2
10:16.0,Defensive rebound by P. Gasol,,44-58,,
10:05.0,Shooting foul by M. Morris (drawn by D. Rose),,44-58,,
10:05.0,D. Rose makes free throw 1 of 2,1,45-58,,
10:05.0,,,45-58,,B. Wright enters the game for M. Morris
10:05.0,D. Rose misses free throw 2 of 2,,45-58,,
10:04.0,,,45-58,,Defensive rebound by P. Tucker
9:52.0,,,45-60,2,E. Bledsoe makes 2-pt shot from 19 ft
9:43.0,,,45-60,,Personal foul by A. Len (drawn by P. Gasol)
9:43.0,,,45-60,,M. Plumlee enters the game for A. Len
9:24.0,J. Butler makes 2-pt shot from 16 ft,2,47-60,,
9:05.0,,,47-60,,G. Dragic misses 3-pt shot from 25 ft
9:04.0,,,47-60,,Offensive rebound by Team
9:04.0,Loose ball foul by D. Rose (drawn by B. Wright),,47-60,,
8:51.0,,,47-60,,B. Wright misses 2-pt shot from 3 ft
8:50.0,Defensive rebound by J. Butler,,47-60,,
8:39.0,P. Gasol misses 2-pt shot from 10 ft,,47-60,,
8:35.0,,,47-60,,Defensive rebound by P. Tucker
8:29.0,,,47-60,,M. Plumlee misses 2-pt shot from 4 ft
8:27.0,Defensive rebound by P. Gasol,,47-60,,
8:21.0,D. Rose misses 2-pt shot from 3 ft (block by B. Wright),,47-60,,
8:19.0,Offensive rebound by P. Gasol,,47-60,,
8:17.0,P. Gasol misses 2-pt shot at rim,,47-60,,
8:16.0,Offensive rebound by D. Rose,,47-60,,
8:16.0,D. Rose makes 2-pt shot from 3 ft,2,49-60,,
8:05.0,,,49-60,,M. Plumlee misses 2-pt shot from 16 ft
8:04.0,,,49-60,,Offensive rebound by E. Bledsoe
8:00.0,,,49-60,,Turnover by E. Bledsoe (lost ball; steal by J. Butler)
7:56.0,J. Butler makes 2-pt shot at rim,2,51-60,,
7:29.0,,,51-62,2,G. Dragic makes 2-pt shot from 2 ft
7:12.0,J. Noah misses 2-pt shot from 19 ft,,51-62,,
7:11.0,,,51-62,,Defensive rebound by E. Bledsoe
7:03.0,,,51-62,,E. Bledsoe misses 2-pt shot from 3 ft (block by J. Noah)
7:02.0,Defensive rebound by T. Snell,,51-62,,
6:59.0,Shooting foul by G. Dragic (drawn by D. Rose),,51-62,,
6:59.0,D. Rose makes free throw 1 of 2,1,52-62,,
6:59.0,,,52-62,,M. Morris enters the game for B. Wright
6:59.0,D. Rose makes free throw 2 of 2,1,53-62,,
6:46.0,,,53-62,,P. Tucker misses 3-pt shot from 23 ft
6:45.0,Defensive rebound by P. Gasol,,53-62,,
6:30.0,J. Noah makes 2-pt shot from 17 ft (assist by J. Butler),2,55-62,,
6:17.0,Personal foul by T. Snell (drawn by G. Dragic),,55-62,,
6:17.0,,,55-62,,Phoenix full timeout
6:17.0,,,55-62,,I. Thomas enters the game for E. Bledsoe
6:17.0,A. Brooks enters the game for T. Snell,,55-62,,
6:07.0,,,55-62,,M. Morris misses 2-pt shot from 1 ft
6:06.0,Defensive rebound by P. Gasol,,55-62,,
5:42.0,J. Butler misses 3-pt shot from 26 ft,,55-62,,
5:41.0,,,55-62,,Defensive rebound by G. Dragic
5:27.0,,,55-62,,M. Morris misses 3-pt shot from 25 ft
5:26.0,Defensive rebound by P. Gasol,,55-62,,
5:18.0,A. Brooks makes 3-pt shot from 25 ft (assist by J. Butler),3,58-62,,
4:51.0,,,58-64,2,M. Plumlee makes 2-pt shot at rim
4:25.0,,,58-64,,Shooting block foul by M. Plumlee (drawn by J. Butler)
4:25.0,J. Butler makes free throw 1 of 2,1,59-64,,
4:25.0,J. Butler misses free throw 2 of 2,,59-64,,
4:21.0,Offensive rebound by P. Gasol,,59-64,,
4:20.0,P. Gasol misses 2-pt shot at rim,,59-64,,
4:19.0,,,59-64,,Defensive rebound by P. Tucker
4:06.0,,,59-64,,I. Thomas misses 3-pt shot from 24 ft
4:05.0,Defensive rebound by J. Butler,,59-64,,
3:55.0,Shooting foul by G. Dragic (drawn by D. Rose),,59-64,,
3:55.0,D. Rose makes free throw 1 of 2,1,60-64,,
3:55.0,T. Gibson enters the game for J. Noah,,60-64,,
3:55.0,D. Rose makes free throw 2 of 2,1,61-64,,
3:40.0,,,61-64,,I. Thomas misses 3-pt shot from 23 ft
3:39.0,,,61-64,,Offensive rebound by M. Morris
3:35.0,,,61-66,2,P. Tucker makes 2-pt shot from 2 ft (assist by M. Morris)
3:09.0,D. Rose misses 3-pt shot from 25 ft,,61-66,,
3:09.0,,,61-66,,Defensive rebound by M. Morris
3:01.0,,,61-66,,G. Dragic misses 2-pt shot from 1 ft
3:00.0,Defensive rebound by P. Gasol,,61-66,,
2:53.0,A. Brooks misses 2-pt shot from 5 ft,,61-66,,
2:52.0,Offensive rebound by P. Gasol,,61-66,,
2:50.0,P. Gasol makes 2-pt shot at rim,2,63-66,,
2:22.0,,,63-66,,G. Dragic misses 2-pt shot from 16 ft
2:21.0,Defensive rebound by T. Gibson,,63-66,,
2:14.0,Shooting foul by I. Thomas (drawn by A. Brooks),,63-66,,
2:14.0,Chicago full timeout,,63-66,,
2:14.0,K. Hinrich enters the game for J. Butler,,63-66,,
2:14.0,J. Butler enters the game for D. Rose,,63-66,,
2:14.0,,,63-66,,B. Wright enters the game for M. Plumlee
2:14.0,A. Brooks makes free throw 1 of 2,1,64-66,,
2:14.0,A. Brooks makes free throw 2 of 2,1,65-66,,
1:54.0,,,65-66,,I. Thomas misses 2-pt shot from 16 ft
1:53.0,Defensive rebound by J. Butler,,65-66,,
1:27.0,J. Butler misses 3-pt shot from 24 ft,,65-66,,
1:26.0,,,65-66,,Defensive rebound by B. Wright
1:16.0,,,65-66,,M. Morris misses 3-pt shot from 23 ft
1:15.0,Defensive rebound by A. Brooks,,65-66,,
1:06.0,A. Brooks misses 2-pt shot from 2 ft (block by B. Wright),,65-66,,
1:06.0,,,65-66,,Defensive rebound by Team
1:06.0,,,65-66,,E. Bledsoe enters the game for G. Dragic
0:45.0,,,65-66,,M. Morris misses 2-pt shot from 9 ft
0:44.0,Defensive rebound by P. Gasol,,65-66,,
0:36.0,K. Hinrich makes 2-pt shot from 3 ft (assist by T. Gibson),2,67-66,,
0:12.0,,,67-66,,E. Bledsoe misses 2-pt shot from 4 ft
0:11.0,,,67-66,,Offensive rebound by B. Wright
0:09.0,,,67-68,2,B. Wright makes 2-pt shot from 3 ft
0:01.0,A. Brooks misses 3-pt shot from 25 ft,,67-68,,
0:00.0,,,67-68,,Defensive rebound by M. Morris
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,67-70,2,M. Morris makes 2-pt shot from 4 ft
11:09.0,K. Hinrich misses 2-pt shot from 20 ft,,67-70,,
11:08.0,,,67-70,,Defensive rebound by M. Morris
11:03.0,,,67-70,,Offensive charge foul by E. Bledsoe
11:03.0,,,67-70,,Turnover by E. Bledsoe (offensive foul)
10:50.0,T. Gibson makes 2-pt shot from 12 ft (assist by A. Brooks),2,69-70,,
10:32.0,,,69-72,2,M. Morris makes 2-pt shot from 16 ft
10:09.0,K. Hinrich misses 2-pt shot from 3 ft,,69-72,,
10:08.0,,,69-72,,Defensive rebound by B. Wright
10:01.0,,,69-75,3,M. Morris makes 3-pt shot from 24 ft (assist by E. Bledsoe)
10:00.0,Chicago full timeout,,69-75,,
10:00.0,D. Rose enters the game for K. Hinrich,,69-75,,
9:47.0,T. Gibson makes 2-pt shot from 13 ft (assist by J. Butler),2,71-75,,
9:27.0,,,71-75,,M. Morris misses 3-pt shot from 23 ft
9:26.0,Defensive rebound by J. Butler,,71-75,,
9:22.0,,,71-75,,Shooting block foul by M. Morris (drawn by J. Butler)
9:22.0,J. Butler makes free throw 1 of 2,1,72-75,,
9:22.0,J. Butler makes free throw 2 of 2,1,73-75,,
9:08.0,,,73-77,2,M. Morris makes 2-pt shot from 22 ft (assist by E. Bledsoe)
8:50.0,D. Rose misses 2-pt shot from 9 ft,,73-77,,
8:49.0,Offensive rebound by J. Noah,,73-77,,
8:47.0,J. Noah misses 2-pt shot from 1 ft,,73-77,,
8:46.0,Offensive rebound by J. Noah,,73-77,,
8:46.0,Shooting foul by B. Wright (drawn by J. Noah),,73-77,,
8:46.0,J. Noah makes free throw 1 of 2,1,74-77,,
8:46.0,J. Noah makes free throw 2 of 2,1,75-77,,
8:31.0,,,75-77,,Turnover by M. Morris (bad pass; steal by J. Butler)
8:16.0,Turnover by T. Gibson (bad pass; steal by E. Bledsoe),,75-77,,
8:13.0,,,75-77,,Shooting foul by J. Noah (drawn by E. Bledsoe)
8:13.0,,,75-78,1,E. Bledsoe makes free throw 1 of 3
8:13.0,,,75-79,1,E. Bledsoe makes free throw 2 of 3
8:13.0,P. Gasol enters the game for T. Gibson,,75-79,,
8:13.0,N. Mirotic enters the game for J. Butler,,75-79,,
8:13.0,,,75-80,1,E. Bledsoe makes free throw 3 of 3
8:03.0,Turnover by D. Rose (step out of bounds),,75-80,,
7:51.0,,,75-80,,I. Thomas misses 3-pt shot from 24 ft
7:50.0,,,75-80,,Offensive rebound by Team
7:50.0,,,75-80,,A. Len enters the game for B. Wright
7:41.0,,,75-80,,E. Bledsoe misses 2-pt shot from 20 ft
7:40.0,,,75-80,,Offensive rebound by M. Morris
7:34.0,,,75-80,,I. Thomas misses 3-pt shot from 25 ft
7:33.0,,,75-80,,Offensive rebound by M. Morris
7:33.0,,,75-80,,Shooting foul by P. Gasol (drawn by M. Morris)
7:33.0,,,75-81,1,M. Morris makes free throw 1 of 2
7:33.0,,,75-82,1,M. Morris makes free throw 2 of 2
7:14.0,P. Gasol misses 2-pt shot from 4 ft,,75-82,,
7:13.0,,,75-82,,Defensive rebound by A. Len
7:07.0,,,75-84,2,M. Morris makes 2-pt shot at rim (assist by E. Bledsoe)
6:49.0,D. Rose makes 2-pt shot from 2 ft,2,77-84,,
6:35.0,,,77-84,,Shooting foul by A. Brooks (drawn by I. Thomas)
6:35.0,,,77-85,1,I. Thomas makes free throw 1 of 2
6:35.0,J. Butler enters the game for N. Mirotic,,77-85,,
6:35.0,,,77-85,,I. Thomas misses free throw 2 of 2
6:34.0,Defensive rebound by J. Butler,,77-85,,
6:21.0,P. Gasol makes 2-pt shot from 17 ft (assist by J. Noah),2,79-85,,
6:01.0,,,79-85,,M. Morris misses 2-pt shot from 10 ft
5:59.0,Defensive rebound by P. Gasol,,79-85,,
5:48.0,D. Rose misses 2-pt shot from 1 ft,,79-85,,
5:47.0,,,79-85,,Defensive rebound by A. Len
5:39.0,,,79-87,2,E. Bledsoe makes 2-pt shot from 20 ft
5:23.0,J. Noah misses 2-pt shot from 1 ft,,79-87,,
5:22.0,,,79-87,,Defensive rebound by A. Len
5:10.0,,,79-87,,I. Thomas misses 2-pt shot from 2 ft (block by J. Noah)
5:09.0,,,79-87,,Offensive rebound by I. Thomas
5:06.0,,,79-87,,M. Morris misses 3-pt shot from 22 ft
5:05.0,Defensive rebound by P. Gasol,,79-87,,
4:54.0,D. Rose makes 2-pt shot from 17 ft,2,81-87,,
4:54.0,,,81-87,,Phoenix full timeout
4:54.0,,,81-87,,G. Dragic enters the game for I. Thomas
4:54.0,,,81-87,,P. Tucker enters the game for M. Morris
4:54.0,T. Gibson enters the game for J. Noah,,81-87,,
4:30.0,,,81-89,2,P. Tucker makes 2-pt shot from 9 ft (assist by G. Dragic)
4:09.0,A. Brooks makes 3-pt shot from 24 ft (assist by T. Gibson),3,84-89,,
3:45.0,,,84-89,,M. Morris misses 2-pt shot from 17 ft
