time,Denver,pts.away,score,pts.home,LA Clippers
4:51.0,,,14-13,2,C. Paul makes 2-pt shot from 1 ft
4:28.0,J. Nurkic misses 2-pt shot from 9 ft,,14-13,,
4:26.0,,,14-13,,Defensive rebound by B. Griffin
4:23.0,,,14-13,,C. Paul misses 3-pt shot from 25 ft
4:18.0,Defensive rebound by T. Lawson,,14-13,,
4:08.0,A. Afflalo makes 3-pt shot from 24 ft (assist by W. Chandler),3,17-13,,
3:59.0,,,17-13,,M. Barnes misses 3-pt shot from 24 ft
3:52.0,Defensive rebound by J. Nurkic,,17-13,,
3:39.0,,,17-13,,J. Crawford enters the game for J. Redick
3:39.0,Jump ball: M. Barnes vs. K. Faried (T. Lawson gains possession),,,,Jump ball: M. Barnes vs. K. Faried (T. Lawson gains possession)
3:31.0,K. Faried makes 2-pt shot from 1 ft (assist by T. Lawson),2,19-13,,
3:25.0,,,19-13,,Turnover by C. Paul (bad pass; steal by A. Afflalo)
3:20.0,A. Afflalo makes 2-pt shot from 1 ft,2,21-13,,
3:14.0,,,21-13,,M. Barnes misses 2-pt shot from 1 ft (block by J. Nurkic)
3:11.0,Defensive rebound by J. Nurkic,,21-13,,
3:11.0,,,21-13,,Personal foul by M. Barnes (drawn by J. Nurkic)
2:54.0,W. Chandler misses 3-pt shot from 25 ft,,21-13,,
2:52.0,,,21-13,,Defensive rebound by B. Griffin
2:46.0,,,21-13,,J. Crawford misses 3-pt shot from 24 ft
2:46.0,Defensive rebound by Team,,21-13,,
2:46.0,,,21-13,,LA Clippers full timeout
2:46.0,,,21-13,,S. Hawes enters the game for D. Jordan
2:38.0,K. Faried makes 2-pt shot from 2 ft (assist by A. Afflalo),2,23-13,,
2:38.0,Shooting foul by B. Griffin (drawn by K. Faried),,23-13,,
2:38.0,K. Faried makes free throw 1 of 1,1,24-13,,
2:23.0,,,24-13,,B. Griffin misses 2-pt shot from 16 ft
2:22.0,Defensive rebound by J. Nurkic,,24-13,,
2:05.0,K. Faried makes 2-pt shot from 4 ft (assist by A. Afflalo),2,26-13,,
1:43.0,,,26-15,2,C. Paul makes 2-pt shot from 2 ft
1:26.0,A. Afflalo makes 2-pt shot from 19 ft,2,28-15,,
1:09.0,,,28-15,,C. Paul misses 2-pt shot from 13 ft
1:07.0,Defensive rebound by W. Chandler,,28-15,,
0:48.0,W. Chandler makes 3-pt shot from 25 ft (assist by A. Afflalo),3,31-15,,
0:33.0,Personal foul by J. Nurkic (drawn by C. Paul),,31-15,,
0:33.0,,,31-15,,A. Rivers enters the game for C. Paul
0:33.0,,,31-15,,H. Turkoglu enters the game for M. Barnes
0:33.0,D. Gallinari enters the game for J. Nurkic,,31-15,,
0:21.0,,,31-18,3,H. Turkoglu makes 3-pt shot from 24 ft (assist by B. Griffin)
0:05.0,Turnover by T. Lawson (bad pass; steal by B. Griffin),,31-18,,
0:01.0,,,31-20,2,A. Rivers makes 2-pt shot from 1 ft (assist by B. Griffin)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,31-20,,Shooting foul by D. Gallinari (drawn by G. Davis)
11:37.0,,,31-21,1,G. Davis makes free throw 1 of 2
11:37.0,,,31-22,1,G. Davis makes free throw 2 of 2
11:25.0,D. Arthur misses 2-pt shot from 20 ft,,31-22,,
11:23.0,,,31-22,,Defensive rebound by H. Turkoglu
11:06.0,,,31-24,2,A. Rivers makes 2-pt shot from 4 ft
10:45.0,D. Arthur misses 2-pt shot from 2 ft,,31-24,,
10:43.0,,,31-24,,Defensive rebound by H. Turkoglu
10:30.0,,,31-24,,S. Hawes misses 2-pt shot from 3 ft
10:27.0,Defensive rebound by R. Foye,,31-24,,
10:13.0,D. Gallinari makes 2-pt shot from 6 ft,2,33-24,,
9:59.0,,,33-24,,A. Rivers misses 2-pt shot from 19 ft
9:58.0,Defensive rebound by J. Hickson,,33-24,,
9:50.0,J. Nelson misses 3-pt shot from 28 ft,,33-24,,
9:49.0,,,33-24,,Defensive rebound by J. Crawford
9:37.0,,,33-24,,H. Turkoglu misses 3-pt shot from 24 ft
9:35.0,Defensive rebound by J. Nelson,,33-24,,
9:30.0,R. Foye misses 2-pt shot from 19 ft,,33-24,,
9:27.0,,,33-24,,Defensive rebound by S. Hawes
9:22.0,,,33-24,,Turnover by H. Turkoglu (bad pass)
9:06.0,J. Nelson misses 2-pt shot from 16 ft,,33-24,,
9:05.0,Offensive rebound by D. Arthur,,33-24,,
8:50.0,D. Arthur misses 2-pt shot from 14 ft,,33-24,,
8:45.0,,,33-24,,Defensive rebound by G. Davis
8:34.0,,,33-26,2,G. Davis makes 2-pt shot from 2 ft
8:21.0,,,33-26,,Personal foul by H. Turkoglu (drawn by D. Gallinari)
8:21.0,Official timeout,,33-26,,
8:04.0,R. Foye misses 3-pt shot from 25 ft,,33-26,,
8:02.0,,,33-26,,Defensive rebound by G. Davis
7:48.0,,,33-26,,J. Crawford misses 2-pt shot from 12 ft
7:46.0,Defensive rebound by J. Hickson,,33-26,,
7:28.0,D. Gallinari makes 3-pt shot from 24 ft (assist by J. Hickson),3,36-26,,
7:10.0,,,36-28,2,G. Davis makes 2-pt shot at rim (assist by J. Crawford)
6:53.0,D. Arthur misses 2-pt shot from 19 ft,,36-28,,
6:51.0,,,36-28,,Defensive rebound by G. Davis
6:44.0,,,36-28,,Turnover by A. Rivers (lost ball; steal by J. Nelson)
6:42.0,,,36-28,,Personal take foul by G. Davis (drawn by J. Nelson)
6:42.0,,,36-28,,D. Jordan enters the game for G. Davis
6:23.0,D. Arthur makes 2-pt shot from 13 ft (assist by R. Foye),2,38-28,,
6:08.0,,,38-28,,Turnover by S. Hawes (bad pass; steal by J. Nelson)
6:03.0,R. Foye makes 3-pt shot from 23 ft (assist by J. Hickson),3,41-28,,
5:59.0,,,41-28,,LA Clippers full timeout
5:59.0,,,41-28,,C. Paul enters the game for S. Hawes
5:59.0,,,41-28,,M. Barnes enters the game for A. Rivers
5:59.0,,,41-28,,B. Griffin enters the game for H. Turkoglu
5:35.0,,,41-30,2,B. Griffin makes 2-pt shot from 14 ft
5:21.0,Turnover by J. Nelson (bad pass; steal by M. Barnes),,41-30,,
5:08.0,Personal foul by J. Hickson (drawn by D. Jordan),,41-30,,
5:08.0,J. Nurkic enters the game for J. Hickson,,41-30,,
5:08.0,A. Afflalo enters the game for R. Foye,,41-30,,
5:08.0,K. Faried enters the game for D. Arthur,,41-30,,
5:00.0,,,41-30,,Shooting foul by D. Gallinari (drawn by D. Jordan)
5:00.0,,,41-32,2,D. Jordan makes 2-pt shot from 1 ft (assist by B. Griffin)
5:00.0,,,41-32,,J. Redick enters the game for J. Crawford
5:00.0,,,41-33,1,D. Jordan makes free throw 1 of 1
4:45.0,A. Afflalo misses 2-pt shot from 13 ft,,41-33,,
4:42.0,,,41-33,,Defensive rebound by B. Griffin
4:29.0,,,41-35,2,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul)
4:08.0,K. Faried misses 2-pt shot from 3 ft (block by M. Barnes),,41-35,,
4:06.0,,,41-35,,Defensive rebound by C. Paul
4:01.0,,,41-35,,J. Redick misses 2-pt shot from 14 ft
3:57.0,Defensive rebound by D. Gallinari,,41-35,,
3:52.0,K. Faried makes 2-pt shot at rim (assist by J. Nelson),2,43-35,,
3:40.0,,,43-35,,B. Griffin misses 2-pt shot from 10 ft
3:36.0,,,43-35,,Offensive rebound by D. Jordan
3:32.0,,,43-37,2,D. Jordan makes 2-pt shot from 2 ft
3:31.0,Denver full timeout,,43-37,,
3:31.0,W. Chandler enters the game for D. Gallinari,,43-37,,
3:31.0,T. Lawson enters the game for J. Nelson,,43-37,,
3:12.0,,,43-37,,Personal foul by M. Barnes (drawn by W. Chandler)
3:07.0,Turnover by T. Lawson (bad pass; steal by D. Jordan),,43-37,,
2:55.0,,,43-39,2,M. Barnes makes 2-pt shot at rim (assist by C. Paul)
2:43.0,T. Lawson misses 2-pt shot from 3 ft,,43-39,,
2:42.0,,,43-39,,Defensive rebound by C. Paul
2:39.0,,,43-39,,Turnover by C. Paul (bad pass; steal by J. Nurkic)
2:32.0,T. Lawson makes 2-pt shot from 11 ft (assist by J. Nurkic),2,45-39,,
2:11.0,,,45-42,3,C. Paul makes 3-pt shot from 24 ft (assist by B. Griffin)
1:49.0,W. Chandler misses 3-pt shot from 22 ft,,45-42,,
1:48.0,,,45-42,,Defensive rebound by C. Paul
1:31.0,,,45-42,,D. Jordan misses 2-pt shot at rim (block by J. Nurkic)
1:28.0,Defensive rebound by A. Afflalo,,45-42,,
1:22.0,J. Nurkic misses 2-pt shot from 20 ft,,45-42,,
1:20.0,,,45-42,,Defensive rebound by J. Redick
1:09.0,,,45-42,,Shooting foul by J. Nurkic (drawn by J. Redick)
1:09.0,,,45-43,1,J. Redick makes free throw 1 of 2
1:09.0,,,45-43,,J. Crawford enters the game for M. Barnes
1:09.0,J. Hickson enters the game for J. Nurkic,,45-43,,
1:09.0,,,45-44,1,J. Redick makes free throw 2 of 2
1:00.0,T. Lawson misses 2-pt shot from 6 ft (block by D. Jordan),,45-44,,
0:59.0,Offensive rebound by K. Faried,,45-44,,
0:58.0,K. Faried misses 2-pt shot from 2 ft (block by D. Jordan),,45-44,,
0:56.0,,,45-44,,Defensive rebound by B. Griffin
0:53.0,,,45-46,2,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul)
0:33.0,W. Chandler misses 2-pt shot at rim (block by D. Jordan),,45-46,,
0:30.0,,,45-46,,Defensive rebound by D. Jordan
0:22.0,,,45-48,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
0:05.0,T. Lawson makes 2-pt shot from 2 ft,2,47-48,,
0:05.0,,,47-48,,LA Clippers full timeout
0:05.0,,,47-48,,M. Barnes enters the game for D. Jordan
0:05.0,A. Gee enters the game for T. Lawson,,47-48,,
0:01.0,,,47-50,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
0:00.0,J. Hickson misses 3-pt shot from 55 ft,,47-50,,
0:00.0,Offensive rebound by Team,,47-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,47-50,,J. Redick misses 2-pt shot from 21 ft
11:46.0,Defensive rebound by W. Chandler,,47-50,,
11:29.0,A. Afflalo makes 2-pt shot from 11 ft,2,49-50,,
11:29.0,,,49-50,,Violation by D. Jordan (def goaltending)
11:10.0,,,49-50,,Shooting foul by W. Chandler (drawn by B. Griffin)
11:10.0,,,49-51,1,B. Griffin makes free throw 1 of 2
11:10.0,,,49-51,,B. Griffin misses free throw 2 of 2
11:08.0,,,49-51,,Offensive rebound by B. Griffin
11:01.0,,,49-51,,M. Barnes misses 3-pt shot from 23 ft
11:00.0,Defensive rebound by K. Faried,,49-51,,
10:48.0,A. Afflalo makes 2-pt shot from 9 ft,2,51-51,,
10:23.0,,,51-52,1,B. Griffin makes flagrant free throw 1 of 2
10:23.0,,,51-52,,B. Griffin misses flagrant free throw 2 of 2
10:23.0,,,51-52,,Offensive rebound by Team
10:09.0,,,51-52,,B. Griffin misses 2-pt shot from 6 ft
10:09.0,,,51-52,,Offensive rebound by Team
10:09.0,Loose ball foul by J. Nurkic (drawn by D. Jordan),,51-52,,
9:58.0,,,51-52,,J. Redick misses 2-pt shot from 2 ft (block by A. Afflalo)
9:56.0,,,51-52,,Offensive rebound by D. Jordan
9:47.0,,,51-54,2,B. Griffin makes 2-pt shot from 6 ft
9:27.0,Turnover by J. Nurkic (bad pass; steal by J. Redick),,51-54,,
9:22.0,,,51-56,2,M. Barnes makes 2-pt shot from 1 ft (assist by C. Paul)
9:19.0,Denver full timeout,,51-56,,
9:08.0,J. Nurkic makes 2-pt shot from 5 ft (assist by T. Lawson),2,53-56,,
8:47.0,,,53-56,,J. Redick misses 3-pt shot from 25 ft
8:46.0,Defensive rebound by W. Chandler,,53-56,,
8:40.0,Turnover by J. Nurkic (bad pass; steal by D. Jordan),,53-56,,
8:38.0,Personal foul by T. Lawson (drawn by C. Paul),,53-56,,
8:28.0,,,53-56,,B. Griffin misses 2-pt shot from 22 ft
8:27.0,Defensive rebound by T. Lawson,,53-56,,
8:17.0,W. Chandler makes 2-pt shot from 17 ft,2,55-56,,
8:01.0,,,55-56,,B. Griffin misses 2-pt shot from 21 ft
8:00.0,Defensive rebound by J. Nurkic,,55-56,,
7:44.0,Shooting foul by D. Jordan (drawn by T. Lawson),,55-56,,
7:44.0,T. Lawson makes free throw 1 of 2,1,56-56,,
7:44.0,T. Lawson makes free throw 2 of 2,1,57-56,,
7:30.0,,,57-56,,J. Redick misses 3-pt shot from 23 ft
7:28.0,Defensive rebound by J. Nurkic,,57-56,,
7:14.0,J. Nurkic makes 2-pt shot from 5 ft (assist by T. Lawson),2,59-56,,
7:01.0,,,59-56,,Turnover by C. Paul (bad pass)
6:53.0,Shooting foul by C. Paul (drawn by T. Lawson),,59-56,,
6:53.0,T. Lawson makes free throw 1 of 2,1,60-56,,
6:53.0,T. Lawson makes free throw 2 of 2,1,61-56,,
6:36.0,,,61-56,,B. Griffin misses 2-pt shot from 6 ft
6:33.0,Defensive rebound by J. Nurkic,,61-56,,
6:27.0,Shooting foul by J. Redick (drawn by K. Faried),,61-56,,
6:27.0,K. Faried misses free throw 1 of 2,,61-56,,
6:27.0,Offensive rebound by Team,,61-56,,
6:27.0,,,61-56,,J. Crawford enters the game for J. Redick
6:27.0,K. Faried makes free throw 2 of 2,1,62-56,,
6:15.0,,,62-58,2,C. Paul makes 2-pt shot from 12 ft
5:57.0,T. Lawson makes 2-pt shot from 17 ft,2,64-58,,
5:36.0,,,64-61,3,M. Barnes makes 3-pt shot from 23 ft (assist by J. Crawford)
5:20.0,K. Faried makes 2-pt shot at rim (assist by T. Lawson),2,66-61,,
5:00.0,,,66-61,,J. Crawford misses 2-pt shot from 4 ft
4:57.0,Defensive rebound by J. Nurkic,,66-61,,
4:53.0,A. Afflalo misses 3-pt shot from 25 ft,,66-61,,
4:53.0,Offensive rebound by W. Chandler,,66-61,,
4:53.0,Shooting foul by M. Barnes (drawn by W. Chandler),,66-61,,
4:53.0,,,66-61,,LA Clippers full timeout
4:53.0,W. Chandler makes free throw 1 of 2,1,67-61,,
4:53.0,W. Chandler misses free throw 2 of 2,,67-61,,
4:52.0,,,67-61,,Defensive rebound by D. Jordan
4:30.0,,,67-63,2,B. Griffin makes 2-pt shot from 20 ft (assist by M. Barnes)
4:14.0,A. Afflalo makes 2-pt shot from 19 ft (assist by T. Lawson),2,69-63,,
3:48.0,,,69-63,,C. Paul misses 3-pt shot from 25 ft
3:47.0,Defensive rebound by J. Nurkic,,69-63,,
3:31.0,W. Chandler misses 3-pt shot from 24 ft,,69-63,,
3:30.0,,,69-63,,Defensive rebound by D. Jordan
3:22.0,,,69-63,,S. Hawes enters the game for B. Griffin
3:16.0,,,69-65,2,C. Paul makes 2-pt shot from 13 ft
2:52.0,K. Faried makes 2-pt shot from 4 ft (assist by T. Lawson),2,71-65,,
2:28.0,,,71-67,2,S. Hawes makes 2-pt shot from 3 ft (assist by C. Paul)
2:01.0,W. Chandler misses 2-pt shot from 12 ft,,71-67,,
2:00.0,,,71-67,,Defensive rebound by D. Jordan
1:53.0,,,71-67,,J. Crawford misses 3-pt shot from 24 ft
1:51.0,Defensive rebound by W. Chandler,,71-67,,
1:38.0,,,71-67,,Personal foul by M. Barnes (drawn by T. Lawson)
1:38.0,Denver full timeout,,71-67,,
1:38.0,,,71-67,,A. Rivers enters the game for M. Barnes
1:38.0,,,71-67,,H. Turkoglu enters the game for C. Paul
1:38.0,D. Gallinari enters the game for W. Chandler,,71-67,,
1:38.0,D. Arthur enters the game for K. Faried,,71-67,,
1:38.0,T. Lawson makes free throw 1 of 2,1,72-67,,
1:38.0,T. Lawson misses free throw 2 of 2,,72-67,,
1:37.0,,,72-67,,Defensive rebound by D. Jordan
1:19.0,,,72-69,2,J. Crawford makes 2-pt shot from 4 ft
1:02.0,A. Afflalo makes 3-pt shot from 24 ft (assist by T. Lawson),3,75-69,,
0:47.0,,,75-69,,J. Crawford misses 2-pt shot from 20 ft
0:45.0,Defensive rebound by A. Afflalo,,75-69,,
0:36.0,J. Nurkic misses 2-pt shot from 18 ft,,75-69,,
0:35.0,,,75-69,,Defensive rebound by D. Jordan
0:29.0,,,75-69,,Turnover by J. Crawford (offensive foul)
0:29.0,,,75-69,,Offensive charge foul by J. Crawford
0:29.0,J. Nelson enters the game for T. Lawson,,75-69,,
0:09.0,J. Nurkic makes 2-pt shot from 4 ft (assist by J. Nelson),2,77-69,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,D. Gallinari misses 2-pt shot from 18 ft,,77-69,,
11:41.0,,,77-69,,Defensive rebound by A. Rivers
11:29.0,,,77-72,3,J. Crawford makes 3-pt shot from 25 ft (assist by H. Turkoglu)
11:11.0,Shooting foul by S. Hawes (drawn by J. Nurkic),,77-72,,
11:11.0,J. Nurkic misses free throw 1 of 2,,77-72,,
11:11.0,Offensive rebound by Team,,77-72,,
11:11.0,J. Nurkic misses free throw 2 of 2,,77-72,,
11:09.0,,,77-72,,Defensive rebound by J. Crawford
10:47.0,,,77-72,,J. Crawford misses 3-pt shot from 28 ft
10:43.0,,,77-72,,Offensive rebound by G. Davis
10:41.0,J. Hickson enters the game for J. Nurkic,,77-72,,
10:27.0,,,77-72,,J. Crawford misses 3-pt shot from 26 ft
10:25.0,,,77-72,,Offensive rebound by G. Davis
10:20.0,,,77-72,,Offensive foul by G. Davis
10:20.0,,,77-72,,Turnover by G. Davis (offensive foul)
9:55.0,J. Nelson makes 2-pt shot from 21 ft,2,79-72,,
9:34.0,,,79-72,,A. Rivers misses 2-pt shot from 7 ft
9:30.0,Defensive rebound by J. Hickson,,79-72,,
9:25.0,D. Gallinari makes 3-pt shot from 22 ft (assist by W. Chandler),3,82-72,,
9:10.0,,,82-72,,J. Crawford misses 2-pt shot from 5 ft
9:06.0,Defensive rebound by D. Gallinari,,82-72,,
9:03.0,Turnover by J. Nelson (lost ball; steal by J. Crawford),,82-72,,
8:59.0,,,82-72,,Turnover by J. Crawford (bad pass; steal by W. Chandler)
8:51.0,J. Nelson misses 2-pt shot from 5 ft (block by H. Turkoglu),,82-72,,
8:47.0,,,82-72,,Defensive rebound by J. Crawford
8:35.0,,,82-74,2,S. Hawes makes 2-pt shot from 4 ft
8:20.0,J. Nelson misses 2-pt shot from 18 ft,,82-74,,
8:16.0,,,82-74,,Defensive rebound by S. Hawes
8:08.0,,,82-76,2,J. Crawford makes 2-pt shot from 5 ft (assist by S. Hawes)
7:49.0,D. Gallinari misses 3-pt shot from 25 ft,,82-76,,
7:48.0,,,82-76,,Defensive rebound by A. Rivers
7:38.0,,,82-76,,Shooting foul by D. Arthur (drawn by G. Davis)
7:38.0,Official timeout,,82-76,,
7:38.0,,,82-76,,B. Griffin enters the game for S. Hawes
7:38.0,T. Lawson enters the game for W. Chandler,,82-76,,
7:38.0,A. Afflalo enters the game for J. Nelson,,82-76,,
7:38.0,,,82-77,1,G. Davis makes free throw 1 of 2
7:38.0,,,82-78,1,G. Davis makes free throw 2 of 2
7:24.0,D. Arthur makes 2-pt shot from 20 ft (assist by D. Gallinari),2,84-78,,
6:58.0,,,84-78,,H. Turkoglu misses 3-pt shot from 24 ft
6:58.0,Defensive rebound by Team,,84-78,,
6:58.0,,,84-78,,C. Paul enters the game for A. Rivers
6:58.0,,,84-78,,D. Jordan enters the game for G. Davis
6:58.0,,,84-78,,M. Barnes enters the game for H. Turkoglu
6:44.0,D. Gallinari misses 3-pt shot from 24 ft,,84-78,,
6:42.0,,,84-78,,Defensive rebound by C. Paul
6:33.0,,,84-80,2,C. Paul makes 2-pt shot from 18 ft
6:21.0,D. Gallinari misses 3-pt shot from 24 ft,,84-80,,
6:19.0,Offensive rebound by A. Afflalo,,84-80,,
6:13.0,T. Lawson makes 2-pt shot from 6 ft (assist by A. Afflalo),2,86-80,,
5:52.0,,,86-83,3,J. Crawford makes 3-pt shot from 25 ft (assist by M. Barnes)
5:31.0,D. Arthur makes 2-pt shot from 18 ft (assist by A. Afflalo),2,88-83,,
5:14.0,,,88-83,,Shooting foul by D. Arthur (drawn by J. Crawford)
5:14.0,,,88-83,,LA Clippers full timeout
5:14.0,,,88-84,1,J. Crawford makes free throw 1 of 2
5:14.0,,,88-85,1,J. Crawford makes free throw 2 of 2
4:53.0,T. Lawson makes 2-pt shot from 20 ft,2,90-85,,
4:34.0,,,90-87,2,M. Barnes makes 2-pt shot from 2 ft (assist by B. Griffin)
4:22.0,,,90-87,,Personal foul by J. Crawford (drawn by T. Lawson)
4:22.0,W. Chandler enters the game for D. Gallinari,,90-87,,
4:06.0,T. Lawson misses 2-pt shot from 2 ft,,90-87,,
4:05.0,,,90-87,,Defensive rebound by D. Jordan
4:02.0,,,90-89,2,M. Barnes makes 2-pt shot at rim (assist by C. Paul)
3:35.0,A. Afflalo misses 2-pt shot from 3 ft,,90-89,,
3:33.0,,,90-89,,Defensive rebound by M. Barnes
3:32.0,,,90-89,,Turnover by M. Barnes (lost ball; steal by A. Afflalo)
3:31.0,J. Hickson makes 2-pt shot from 2 ft,2,92-89,,
3:10.0,,,92-92,3,J. Crawford makes 3-pt shot from 25 ft (assist by B. Griffin)
2:54.0,Denver full timeout,,92-92,,
2:51.0,K. Faried enters the game for D. Arthur,,92-92,,
2:51.0,Turnover by A. Afflalo (lost ball; steal by J. Crawford),,92-92,,
2:30.0,,,92-94,2,J. Crawford makes 2-pt shot from 13 ft (assist by B. Griffin)
2:16.0,A. Afflalo makes 2-pt shot from 20 ft (assist by T. Lawson),2,94-94,,
2:00.0,,,94-94,,Turnover by D. Jordan (offensive goaltending)
1:43.0,K. Faried misses 2-pt shot from 4 ft,,94-94,,
1:42.0,Offensive rebound by J. Hickson,,94-94,,
1:37.0,A. Afflalo misses 3-pt shot from 23 ft,,94-94,,
1:32.0,Offensive rebound by W. Chandler,,94-94,,
1:29.0,J. Hickson misses 2-pt shot from 4 ft (block by B. Griffin),,94-94,,
1:24.0,Offensive rebound by J. Hickson,,94-94,,
1:24.0,Turnover by J. Hickson (lost ball; steal by C. Paul),,94-94,,
1:24.0,,,94-96,2,M. Barnes makes 2-pt shot from 3 ft (assist by J. Crawford)
1:24.0,Denver full timeout,,94-96,,
1:24.0,D. Arthur enters the game for J. Hickson,,94-96,,
1:05.0,W. Chandler misses 2-pt shot from 5 ft,,94-96,,
1:04.0,,,94-96,,Defensive rebound by B. Griffin
0:49.0,,,94-96,,Shooting foul by W. Chandler (drawn by J. Crawford)
0:49.0,,,94-97,1,J. Crawford makes free throw 1 of 3
0:49.0,,,94-98,1,J. Crawford makes free throw 2 of 3
0:49.0,,,94-99,1,J. Crawford makes free throw 3 of 3
0:35.0,W. Chandler makes 2-pt shot from 3 ft (assist by T. Lawson),2,96-99,,
0:11.0,,,96-99,,C. Paul misses 2-pt shot from 16 ft
0:09.0,Defensive rebound by W. Chandler,,96-99,,
0:09.0,Denver full timeout,,96-99,,
0:09.0,D. Gallinari enters the game for K. Faried,,96-99,,
0:07.0,,,96-99,,Personal take foul by M. Barnes (drawn by D. Gallinari)
0:07.0,,,96-99,,LA Clippers full timeout
0:07.0,,,96-99,,J. Redick enters the game for M. Barnes
0:07.0,,,96-99,,Personal take foul by D. Jordan (drawn by D. Arthur)
0:07.0,D. Arthur makes free throw 1 of 2,1,97-99,,
0:07.0,K. Faried enters the game for D. Gallinari,,97-99,,
0:07.0,,,97-99,,M. Barnes enters the game for J. Redick
0:07.0,D. Arthur makes free throw 2 of 2,1,98-99,,
0:07.0,,,98-99,,LA Clippers full timeout
0:07.0,,,98-99,,J. Redick enters the game for D. Jordan
0:07.0,D. Gallinari enters the game for K. Faried,,98-99,,
