time,Miami,pts.away,score,pts.home,LA Lakers
6:24.0,Defensive rebound by D. Wade,,12-0,,
6:05.0,H. Whiteside makes 2-pt shot at rim (assist by D. Wade),2,14-0,,
5:50.0,,,14-0,,Turnover by E. Davis (lost ball)
5:50.0,,,14-0,,C. Boozer enters the game for E. Davis
5:50.0,,,14-0,,T. Black enters the game for J. Hill
5:36.0,L. Deng makes 2-pt shot from 1 ft (assist by N. Cole),2,16-0,,
5:19.0,,,16-0,,T. Black misses 2-pt shot from 1 ft (block by H. Whiteside)
5:16.0,Defensive rebound by D. Wade,,16-0,,
5:08.0,,,16-0,,N. Young enters the game for W. Johnson
5:00.0,C. Bosh misses 3-pt shot from 24 ft,,16-0,,
4:58.0,,,16-0,,Defensive rebound by K. Bryant
4:48.0,,,16-0,,C. Boozer misses 2-pt shot from 16 ft
4:47.0,Defensive rebound by H. Whiteside,,16-0,,
4:38.0,H. Whiteside makes 2-pt shot at rim (assist by D. Wade),2,18-0,,
4:23.0,,,18-2,2,K. Bryant makes 2-pt shot from 18 ft
4:05.0,D. Wade misses 2-pt shot from 19 ft,,18-2,,
4:03.0,Offensive rebound by H. Whiteside,,18-2,,
4:00.0,H. Whiteside makes 2-pt shot from 7 ft,2,20-2,,
3:49.0,,,20-2,,K. Bryant misses 3-pt shot from 24 ft
3:48.0,,,20-2,,Offensive rebound by T. Black
3:44.0,,,20-2,,T. Black misses 2-pt shot from 1 ft (block by H. Whiteside)
3:42.0,,,20-2,,Offensive rebound by T. Black
3:33.0,,,20-2,,C. Boozer misses 2-pt shot from 2 ft
3:32.0,,,20-2,,Offensive rebound by T. Black
3:32.0,,,20-4,2,T. Black makes 2-pt shot at rim
3:32.0,Miami full timeout,,20-4,,
3:32.0,,,20-4,,J. Lin enters the game for R. Price
3:32.0,J. Ennis enters the game for D. Wade,,20-4,,
3:14.0,C. Bosh misses 2-pt shot from 12 ft,,20-4,,
3:10.0,,,20-4,,Defensive rebound by C. Boozer
2:55.0,,,20-4,,K. Bryant misses 3-pt shot from 24 ft
2:54.0,Defensive rebound by J. Ennis,,20-4,,
2:36.0,Turnover by N. Cole (bad pass; steal by C. Boozer),,20-4,,
2:31.0,,,20-6,2,N. Young makes 2-pt shot at rim (assist by K. Bryant)
2:19.0,,,20-6,,R. Kelly enters the game for K. Bryant
2:04.0,,,20-9,3,N. Young makes 3-pt shot from 26 ft (assist by J. Lin)
1:51.0,D. Granger enters the game for L. Deng,,20-9,,
1:44.0,C. Bosh makes 2-pt shot from 1 ft,2,22-9,,
1:30.0,,,22-9,,C. Boozer misses 2-pt shot from 2 ft
1:29.0,,,22-9,,Offensive rebound by T. Black
1:28.0,,,22-9,,Shooting foul by H. Whiteside (drawn by T. Black)
1:28.0,,,22-9,,T. Black misses free throw 1 of 2
1:28.0,,,22-9,,Offensive rebound by Team
1:28.0,C. Andersen enters the game for H. Whiteside,,22-9,,
1:28.0,,,22-10,1,T. Black makes free throw 2 of 2
1:12.0,C. Bosh misses 2-pt shot from 14 ft,,22-10,,
1:10.0,,,22-10,,Defensive rebound by N. Young
1:04.0,,,22-10,,Turnover by N. Young (lost ball; steal by D. Granger)
0:58.0,Turnover by D. Granger (lost ball; steal by T. Black),,22-10,,
0:43.0,,,22-10,,N. Young misses 2-pt shot from 2 ft (block by C. Andersen)
0:41.0,Defensive rebound by N. Cole,,22-10,,
0:36.0,,,22-10,,Personal foul by T. Black (drawn by N. Cole)
0:27.0,Turnover by C. Bosh (lost ball; steal by N. Young),,22-10,,
0:24.0,,,22-10,,Shooting foul by D. Granger (drawn by N. Young)
0:24.0,,,22-11,1,N. Young makes free throw 1 of 2
0:24.0,,,22-12,1,N. Young makes free throw 2 of 2
0:01.0,D. Granger misses 2-pt shot from 21 ft,,22-12,,
0:00.0,,,22-12,,Defensive rebound by J. Lin
0:00.0,,,22-12,,J. Lin misses 3-pt shot from 62 ft
0:00.0,,,22-12,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,22-12,,Turnover by T. Black (traveling)
11:33.0,M. Chalmers makes 2-pt shot from 6 ft,2,24-12,,
11:14.0,,,24-14,2,R. Kelly makes 2-pt shot from 17 ft (assist by N. Young)
10:52.0,M. Chalmers misses 2-pt shot from 7 ft,,24-14,,
10:51.0,Offensive rebound by C. Andersen,,24-14,,
10:43.0,M. Chalmers misses 3-pt shot from 23 ft,,24-14,,
10:41.0,,,24-14,,Defensive rebound by C. Boozer
10:37.0,Personal foul by M. Chalmers (drawn by N. Young),,24-14,,
10:32.0,,,24-14,,J. Lin misses 2-pt shot from 1 ft
10:31.0,Defensive rebound by Team,,24-14,,
10:16.0,D. Wade makes 2-pt shot from 2 ft,2,26-14,,
10:01.0,,,26-14,,N. Young misses 3-pt shot from 24 ft
10:00.0,Defensive rebound by D. Wade,,26-14,,
9:49.0,D. Wade misses 2-pt shot from 21 ft,,26-14,,
9:48.0,,,26-14,,Defensive rebound by Team
9:37.0,,,26-16,2,J. Lin makes 2-pt shot from 1 ft
9:25.0,M. Chalmers makes 2-pt shot from 1 ft (assist by D. Wade),2,28-16,,
9:25.0,Shooting foul by J. Lin (drawn by M. Chalmers),,28-16,,
9:25.0,M. Chalmers makes free throw 1 of 1,1,29-16,,
9:06.0,,,29-16,,T. Black misses 2-pt shot from 6 ft
9:05.0,,,29-16,,Offensive rebound by Team
9:01.0,,,29-16,,T. Black misses 2-pt shot from 19 ft
8:59.0,Defensive rebound by M. Chalmers,,29-16,,
8:57.0,Offensive foul by J. Ennis,,29-16,,
8:57.0,Turnover by J. Ennis (offensive foul),,29-16,,
8:57.0,Official timeout,,29-16,,
8:39.0,,,29-18,2,T. Black makes 2-pt shot at rim (assist by J. Lin)
8:26.0,D. Wade makes 2-pt shot from 1 ft (assist by M. Chalmers),2,31-18,,
8:09.0,Personal foul by D. Granger (drawn by C. Boozer),,31-18,,
8:03.0,,,31-18,,J. Lin misses 3-pt shot from 24 ft
8:02.0,Defensive rebound by C. Andersen,,31-18,,
7:54.0,,,31-18,,Personal foul by J. Lin (drawn by D. Wade)
7:46.0,Shooting foul by T. Black (drawn by D. Granger),,31-18,,
7:46.0,D. Granger makes free throw 1 of 2,1,32-18,,
7:46.0,D. Granger makes free throw 2 of 2,1,33-18,,
7:32.0,,,33-18,,N. Young misses 2-pt shot from 16 ft
7:31.0,,,33-18,,Offensive rebound by Team
7:31.0,L. Deng enters the game for J. Ennis,,33-18,,
7:26.0,,,33-20,2,C. Boozer makes 2-pt shot from 17 ft (assist by R. Kelly)
7:09.0,D. Wade misses 2-pt shot from 6 ft,,33-20,,
7:06.0,,,33-20,,Defensive rebound by C. Boozer
6:56.0,,,33-20,,C. Boozer misses 2-pt shot from 8 ft (block by C. Andersen)
6:56.0,,,33-20,,Offensive rebound by Team
6:56.0,,,33-20,,J. Hill enters the game for T. Black
6:56.0,,,33-20,,E. Davis enters the game for C. Boozer
6:56.0,,,33-20,,R. Price enters the game for J. Lin
6:48.0,,,33-20,,R. Price misses 2-pt shot from 5 ft
6:47.0,,,33-20,,Offensive rebound by J. Hill
6:47.0,,,33-20,,J. Hill misses 2-pt shot at rim
6:43.0,Defensive rebound by D. Granger,,33-20,,
6:38.0,Shooting foul by J. Hill (drawn by C. Andersen),,33-20,,
6:38.0,C. Andersen makes free throw 1 of 2,1,34-20,,
6:38.0,,,34-20,,W. Johnson enters the game for N. Young
6:38.0,,,34-20,,K. Bryant enters the game for R. Kelly
6:38.0,C. Andersen makes free throw 2 of 2,1,35-20,,
6:15.0,,,35-22,2,J. Hill makes 2-pt shot from 4 ft (assist by K. Bryant)
5:54.0,Turnover by D. Granger (lost ball; steal by R. Price),,35-22,,
5:43.0,,,35-22,,Shooting foul by D. Granger (drawn by J. Hill)
5:43.0,,,35-22,,LA Lakers full timeout
5:43.0,H. Whiteside enters the game for C. Andersen,,35-22,,
5:43.0,C. Bosh enters the game for D. Wade,,35-22,,
5:43.0,J. Ennis enters the game for D. Granger,,35-22,,
5:43.0,,,35-23,1,J. Hill makes free throw 1 of 2
5:43.0,,,35-24,1,J. Hill makes free throw 2 of 2
5:29.0,L. Deng misses 2-pt shot from 7 ft,,35-24,,
5:28.0,Offensive rebound by L. Deng,,35-24,,
5:26.0,L. Deng misses 2-pt shot from 5 ft,,35-24,,
5:23.0,,,35-24,,Defensive rebound by E. Davis
5:13.0,,,35-24,,J. Hill misses 2-pt shot from 1 ft (block by H. Whiteside)
5:10.0,,,35-24,,Offensive rebound by J. Hill
5:10.0,,,35-24,,J. Hill misses 2-pt shot from 2 ft
5:07.0,,,35-24,,Offensive rebound by E. Davis
5:07.0,,,35-26,2,E. Davis makes 2-pt shot from 1 ft
4:52.0,J. Ennis misses 3-pt shot from 23 ft,,35-26,,
4:50.0,,,35-26,,Defensive rebound by K. Bryant
4:42.0,,,35-26,,K. Bryant misses 2-pt shot from 15 ft
4:41.0,Defensive rebound by C. Bosh,,35-26,,
4:28.0,L. Deng misses 3-pt shot from 22 ft,,35-26,,
4:27.0,,,35-26,,Defensive rebound by W. Johnson
4:17.0,,,35-26,,Turnover by K. Bryant (lost ball; steal by J. Ennis)
4:08.0,Turnover by M. Chalmers (traveling),,35-26,,
3:52.0,,,35-26,,W. Johnson misses 2-pt shot from 6 ft
3:52.0,Defensive rebound by Team,,35-26,,
3:52.0,,,35-26,,Loose ball foul by E. Davis (drawn by H. Whiteside)
3:52.0,H. Whiteside misses free throw 1 of 2,,35-26,,
3:52.0,Offensive rebound by Team,,35-26,,
3:52.0,H. Whiteside makes free throw 2 of 2,1,36-26,,
3:39.0,Personal foul by M. Chalmers (drawn by K. Bryant),,36-26,,
3:39.0,N. Cole enters the game for J. Ennis,,36-26,,
3:31.0,,,36-26,,Shooting foul by L. Deng (drawn by K. Bryant)
3:31.0,,,36-27,1,K. Bryant makes free throw 1 of 2
3:31.0,,,36-28,1,K. Bryant makes free throw 2 of 2
3:08.0,C. Bosh makes 2-pt shot at rim,2,38-28,,
2:52.0,,,38-28,,R. Price misses 2-pt shot from 5 ft (block by N. Cole)
2:50.0,Defensive rebound by H. Whiteside,,38-28,,
2:40.0,C. Bosh misses 3-pt shot from 24 ft,,38-28,,
2:39.0,,,38-28,,Defensive rebound by K. Bryant
2:32.0,,,38-28,,K. Bryant misses 3-pt shot from 24 ft
2:31.0,Defensive rebound by M. Chalmers,,38-28,,
2:16.0,H. Whiteside makes 2-pt shot from 6 ft (assist by C. Bosh),2,40-28,,
1:53.0,,,40-28,,K. Bryant misses 2-pt shot from 11 ft
1:52.0,Defensive rebound by C. Bosh,,40-28,,
1:39.0,N. Cole misses 3-pt shot from 25 ft,,40-28,,
1:37.0,,,40-28,,Defensive rebound by J. Hill
1:34.0,Personal foul by N. Cole (drawn by K. Bryant),,40-28,,
1:34.0,Miami full timeout,,40-28,,
1:34.0,C. Andersen enters the game for H. Whiteside,,40-28,,
1:34.0,,,40-29,1,K. Bryant makes free throw 1 of 2
1:34.0,,,40-30,1,K. Bryant makes free throw 2 of 2
1:15.0,N. Cole makes 2-pt shot from 6 ft (assist by M. Chalmers),2,42-30,,
0:55.0,,,42-32,2,J. Hill makes 2-pt shot from 7 ft (assist by K. Bryant)
0:40.0,C. Andersen makes 2-pt shot from 2 ft (assist by N. Cole),2,44-32,,
0:28.0,,,44-34,2,E. Davis makes 2-pt shot from 1 ft (assist by K. Bryant)
0:06.0,C. Bosh misses 2-pt shot from 16 ft (block by E. Davis),,44-34,,
0:05.0,Offensive rebound by C. Bosh,,44-34,,
0:04.0,Turnover by Team (shot clock),,44-34,,
0:01.0,,,44-34,,K. Bryant misses 2-pt shot from 18 ft
0:00.0,,,44-34,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,44-36,2,J. Hill makes 2-pt shot from 2 ft (assist by R. Price)
11:25.0,L. Deng makes 2-pt shot from 14 ft (assist by N. Cole),2,46-36,,
11:05.0,,,46-38,2,E. Davis makes 2-pt shot at rim (assist by K. Bryant)
10:40.0,Turnover by L. Deng (traveling),,46-38,,
10:25.0,,,46-38,,W. Johnson misses 3-pt shot from 24 ft
10:24.0,Defensive rebound by N. Cole,,46-38,,
10:15.0,Turnover by C. Bosh (bad pass; steal by K. Bryant),,46-38,,
10:09.0,,,46-40,2,W. Johnson makes 2-pt shot from 1 ft (assist by K. Bryant)
9:53.0,L. Deng misses 2-pt shot from 21 ft,,46-40,,
9:52.0,,,46-40,,Defensive rebound by W. Johnson
9:39.0,,,46-40,,W. Johnson misses 3-pt shot from 22 ft
9:38.0,Defensive rebound by L. Deng,,46-40,,
9:28.0,M. Chalmers misses 2-pt shot from 5 ft,,46-40,,
9:25.0,,,46-40,,Defensive rebound by K. Bryant
9:21.0,,,46-40,,J. Hill misses 2-pt shot from 4 ft
9:19.0,,,46-40,,Offensive rebound by J. Hill
9:15.0,,,46-40,,W. Johnson misses 3-pt shot from 23 ft
9:14.0,Defensive rebound by L. Deng,,46-40,,
9:01.0,N. Cole misses 2-pt shot from 1 ft,,46-40,,
9:00.0,,,46-40,,Defensive rebound by J. Hill
8:52.0,,,46-42,2,E. Davis makes 2-pt shot at rim (assist by W. Johnson)
8:52.0,Miami full timeout,,46-42,,
8:33.0,Turnover by N. Cole (bad pass),,46-42,,
8:19.0,Personal foul by M. Chalmers (drawn by W. Johnson),,46-42,,
8:07.0,,,46-44,2,J. Hill makes 2-pt shot from 5 ft (assist by R. Price)
7:45.0,C. Andersen makes 2-pt shot from 1 ft (assist by N. Cole),2,48-44,,
7:21.0,,,48-44,,Turnover by J. Hill (bad pass; steal by L. Deng)
7:17.0,Shooting foul by R. Price (drawn by N. Cole),,48-44,,
7:17.0,N. Cole misses free throw 1 of 2,,48-44,,
7:17.0,Offensive rebound by Team,,48-44,,
7:17.0,D. Granger enters the game for M. Chalmers,,48-44,,
7:17.0,N. Cole misses free throw 2 of 2,,48-44,,
7:16.0,,,48-44,,Defensive rebound by J. Hill
7:08.0,Violation by L. Deng (kicked ball),,48-44,,
6:58.0,,,48-46,2,W. Johnson makes 2-pt shot from 16 ft
6:41.0,Turnover by N. Cole (bad pass; steal by R. Price),,48-46,,
6:34.0,,,48-46,,K. Bryant misses 3-pt shot from 24 ft
6:33.0,Defensive rebound by D. Granger,,48-46,,
6:17.0,C. Bosh misses 2-pt shot from 17 ft,,48-46,,
6:16.0,,,48-46,,Defensive rebound by K. Bryant
6:06.0,,,48-46,,E. Davis misses 2-pt shot from 2 ft (block by C. Andersen)
6:04.0,Defensive rebound by C. Andersen,,48-46,,
5:52.0,N. Cole makes 3-pt shot from 24 ft (assist by C. Bosh),3,51-46,,
5:29.0,,,51-46,,W. Johnson misses 3-pt shot from 26 ft
5:28.0,Defensive rebound by C. Andersen,,51-46,,
5:03.0,L. Deng misses 2-pt shot from 1 ft,,51-46,,
5:02.0,Offensive rebound by C. Bosh,,51-46,,
4:57.0,L. Deng makes 2-pt shot from 1 ft (assist by C. Bosh),2,53-46,,
4:36.0,,,53-46,,W. Johnson misses 2-pt shot from 14 ft
4:34.0,,,53-46,,Offensive rebound by E. Davis
4:34.0,,,53-48,2,E. Davis makes 2-pt shot at rim
4:21.0,Miami full timeout,,53-48,,
4:21.0,,,53-48,,T. Black enters the game for J. Hill
4:21.0,,,53-48,,C. Boozer enters the game for E. Davis
4:21.0,,,53-48,,N. Young enters the game for W. Johnson
4:21.0,H. Whiteside enters the game for C. Andersen,,53-48,,
4:10.0,Turnover by L. Deng (bad pass; steal by T. Black),,53-48,,
3:57.0,,,53-48,,Shooting foul by H. Whiteside (drawn by T. Black)
3:57.0,,,53-48,,T. Black misses free throw 1 of 2
3:57.0,,,53-48,,Offensive rebound by Team
3:57.0,,,53-48,,T. Black misses free throw 2 of 2
3:55.0,Defensive rebound by D. Granger,,53-48,,
3:31.0,L. Deng misses 2-pt shot from 7 ft,,53-48,,
3:28.0,,,53-48,,Defensive rebound by T. Black
3:24.0,,,53-48,,N. Young misses 3-pt shot from 25 ft
3:24.0,Defensive rebound by H. Whiteside,,53-48,,
3:24.0,,,53-48,,Personal foul by R. Price (drawn by H. Whiteside)
3:24.0,M. Chalmers enters the game for N. Cole,,53-48,,
3:24.0,S. Williams enters the game for C. Bosh,,53-48,,
3:09.0,S. Williams makes 3-pt shot from 22 ft (assist by M. Chalmers),3,56-48,,
2:52.0,,,56-48,,N. Young misses 2-pt shot from 6 ft (block by H. Whiteside)
2:50.0,,,56-48,,Offensive rebound by T. Black
2:39.0,,,56-48,,N. Young misses 3-pt shot from 24 ft
2:38.0,Defensive rebound by H. Whiteside,,56-48,,
2:28.0,Shooting foul by N. Young (drawn by M. Chalmers),,56-48,,
2:28.0,,,56-48,,LA Lakers full timeout
2:28.0,,,56-48,,J. Lin enters the game for K. Bryant
2:28.0,,,56-48,,R. Kelly enters the game for R. Price
2:28.0,M. Chalmers misses free throw 1 of 2,,56-48,,
2:28.0,Offensive rebound by Team,,56-48,,
2:28.0,M. Chalmers makes free throw 2 of 2,1,57-48,,
2:15.0,,,57-48,,N. Young misses 2-pt shot from 16 ft
2:14.0,Defensive rebound by S. Williams,,57-48,,
2:03.0,M. Chalmers makes 2-pt shot from 7 ft,2,59-48,,
1:52.0,Personal foul by D. Granger (drawn by N. Young),,59-48,,
1:44.0,,,59-48,,Turnover by N. Young (lost ball)
1:20.0,H. Whiteside misses 2-pt shot from 6 ft,,59-48,,
1:20.0,Offensive rebound by Team,,59-48,,
1:20.0,Technical foul by H. Whiteside,,59-48,,
1:20.0,,,59-49,1,N. Young makes technical free throw
1:04.0,M. Chalmers misses 2-pt shot from 1 ft,,59-49,,
1:02.0,Offensive rebound by L. Deng,,59-49,,
0:57.0,L. Deng misses 2-pt shot from 20 ft,,59-49,,
0:56.0,,,59-49,,Defensive rebound by J. Lin
0:52.0,,,59-49,,N. Young misses 2-pt shot from 1 ft
0:49.0,Defensive rebound by L. Deng,,59-49,,
0:45.0,D. Granger misses 2-pt shot from 21 ft,,59-49,,
0:45.0,,,59-49,,Defensive rebound by Team
0:45.0,Loose ball foul by H. Whiteside (drawn by T. Black),,59-49,,
0:45.0,,,59-50,1,T. Black makes free throw 1 of 2
0:45.0,C. Andersen enters the game for H. Whiteside,,59-50,,
0:45.0,,,59-51,1,T. Black makes free throw 2 of 2
0:30.0,M. Chalmers makes 2-pt shot from 6 ft (assist by C. Andersen),2,61-51,,
0:12.0,,,61-51,,J. Lin misses 2-pt shot from 19 ft
0:11.0,Defensive rebound by S. Williams,,61-51,,
0:09.0,Offensive foul by S. Williams,,61-51,,
0:09.0,Turnover by S. Williams (offensive foul),,61-51,,
0:09.0,N. Cole enters the game for M. Chalmers,,61-51,,
0:05.0,,,61-53,2,R. Kelly makes 2-pt shot from 1 ft (assist by T. Black)
0:01.0,N. Cole misses 3-pt shot from 26 ft,,61-53,,
0:00.0,Offensive rebound by Team,,61-53,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,C. Bosh misses 2-pt shot from 20 ft,,61-53,,
11:47.0,Offensive rebound by S. Napier,,61-53,,
11:38.0,,,61-53,,Personal foul by J. Lin (drawn by S. Napier)
11:32.0,M. Chalmers misses 3-pt shot from 24 ft,,61-53,,
11:30.0,,,61-53,,Defensive rebound by T. Black
11:10.0,,,61-55,2,T. Black makes 2-pt shot from 1 ft
10:55.0,Turnover by D. Granger (bad pass; steal by R. Kelly),,61-55,,
10:50.0,,,61-55,,C. Boozer misses 2-pt shot from 2 ft (block by S. Napier)
10:50.0,,,61-55,,Offensive rebound by Team
10:42.0,,,61-57,2,J. Lin makes 2-pt shot from 17 ft (assist by N. Young)
10:21.0,Turnover by M. Chalmers (bad pass; steal by J. Lin),,61-57,,
10:18.0,,,61-59,2,J. Lin makes 2-pt shot at rim (assist by N. Young)
10:18.0,,,61-59,,Shooting foul by D. Granger (drawn by J. Lin)
10:18.0,,,61-60,1,J. Lin makes free throw 1 of 1
10:05.0,C. Andersen makes 2-pt shot at rim (assist by M. Chalmers),2,63-60,,
9:52.0,,,63-60,,Turnover by C. Boozer (offensive foul)
9:52.0,,,63-60,,Offensive foul by C. Boozer
9:44.0,Shooting foul by N. Young (drawn by M. Chalmers),,63-60,,
9:44.0,,,63-60,,Violation by Team (jump ball)
9:44.0,M. Chalmers makes free throw 1 of 2,1,64-60,,
9:44.0,M. Chalmers misses free throw 2 of 2,,64-60,,
9:41.0,,,64-60,,Defensive rebound by T. Black
9:29.0,,,64-60,,C. Boozer misses 2-pt shot from 15 ft
9:28.0,Defensive rebound by D. Granger,,64-60,,
9:18.0,Turnover by C. Bosh (step out of bounds),,64-60,,
9:06.0,,,64-60,,Turnover by J. Lin (bad pass; steal by M. Chalmers)
9:01.0,M. Chalmers makes 2-pt shot at rim,2,66-60,,
9:01.0,,,66-60,,LA Lakers full timeout
8:39.0,,,66-63,3,R. Kelly makes 3-pt shot from 22 ft (assist by T. Black)
8:19.0,C. Bosh misses 3-pt shot from 24 ft,,66-63,,
8:18.0,,,66-63,,Defensive rebound by C. Boozer
7:57.0,,,66-63,,C. Boozer misses 2-pt shot from 4 ft (block by C. Bosh)
7:55.0,Defensive rebound by C. Andersen,,66-63,,
7:46.0,C. Bosh misses 3-pt shot from 24 ft,,66-63,,
7:45.0,,,66-63,,Defensive rebound by C. Boozer
7:25.0,,,66-63,,N. Young misses 2-pt shot from 19 ft
7:24.0,,,66-63,,Offensive rebound by T. Black
7:24.0,,,66-63,,T. Black misses 2-pt shot at rim
7:20.0,Defensive rebound by C. Andersen,,66-63,,
7:02.0,Turnover by C. Bosh (lost ball; steal by C. Boozer),,66-63,,
6:52.0,,,66-63,,LA Lakers full timeout
6:52.0,,,66-63,,W. Johnson enters the game for N. Young
6:52.0,,,66-63,,R. Price enters the game for J. Lin
6:52.0,H. Whiteside enters the game for C. Andersen,,66-63,,
6:52.0,L. Deng enters the game for M. Chalmers,,66-63,,
6:42.0,,,66-63,,Turnover by R. Price (bad pass; steal by C. Bosh)
6:28.0,,,66-63,,Personal foul by R. Price (drawn by S. Napier)
6:16.0,C. Bosh misses 2-pt shot from 12 ft,,66-63,,
6:15.0,,,66-63,,Defensive rebound by C. Boozer
5:59.0,,,66-63,,R. Price misses 3-pt shot from 24 ft
5:57.0,Defensive rebound by C. Bosh,,66-63,,
5:44.0,C. Bosh misses 2-pt shot from 1 ft,,66-63,,
5:42.0,Offensive rebound by H. Whiteside,,66-63,,
5:42.0,H. Whiteside makes 2-pt shot at rim,2,68-63,,
5:29.0,,,68-63,,W. Johnson misses 2-pt shot from 22 ft
5:27.0,Defensive rebound by H. Whiteside,,68-63,,
5:11.0,S. Napier misses 3-pt shot from 25 ft,,68-63,,
5:10.0,,,68-63,,Defensive rebound by W. Johnson
5:03.0,,,68-63,,LA Lakers full timeout
5:03.0,,,68-63,,K. Bryant enters the game for T. Black
4:51.0,,,68-63,,K. Bryant misses 2-pt shot from 17 ft
4:50.0,Defensive rebound by S. Napier,,68-63,,
4:28.0,D. Granger misses 3-pt shot from 24 ft,,68-63,,
4:27.0,,,68-63,,Defensive rebound by R. Kelly
4:19.0,,,68-63,,Turnover by K. Bryant (bad pass)
4:19.0,,,68-63,,J. Hill enters the game for C. Boozer
4:04.0,H. Whiteside makes 2-pt shot at rim (assist by S. Napier),2,70-63,,
4:03.0,Violation by Team (jump ball),,70-63,,
3:48.0,,,70-65,2,J. Hill makes 2-pt shot from 14 ft (assist by R. Kelly)
3:30.0,M. Chalmers enters the game for D. Granger,,70-65,,
3:25.0,M. Chalmers misses 2-pt shot from 5 ft (block by W. Johnson),,70-65,,
3:25.0,Offensive rebound by Team,,70-65,,
3:23.0,Shooting foul by W. Johnson (drawn by M. Chalmers),,70-65,,
3:23.0,M. Chalmers makes free throw 1 of 2,1,71-65,,
3:23.0,M. Chalmers makes free throw 2 of 2,1,72-65,,
3:15.0,,,72-65,,K. Bryant misses 2-pt shot from 18 ft (block by H. Whiteside)
3:12.0,Defensive rebound by L. Deng,,72-65,,
2:54.0,M. Chalmers misses 2-pt shot from 1 ft,,72-65,,
2:53.0,Offensive rebound by H. Whiteside,,72-65,,
2:53.0,H. Whiteside misses 2-pt shot at rim,,72-65,,
2:49.0,,,72-65,,Defensive rebound by R. Kelly
2:44.0,,,72-68,3,K. Bryant makes 3-pt shot from 23 ft
2:35.0,Miami full timeout,,72-68,,
2:35.0,,,72-68,,E. Davis enters the game for J. Hill
