time,LA Lakers,pts.away,score,pts.home,Utah
0:30.0,,,21-26,,Turnover by T. Booker (lost ball; steal by C. Boozer)
0:11.0,N. Young makes 2-pt shot from 14 ft,2,23-26,,
0:01.0,,,23-26,,T. Booker misses 3-pt shot from 24 ft
0:00.0,,,23-26,,Offensive rebound by R. Gobert
0:00.0,,,23-28,2,R. Gobert makes 2-pt shot from 3 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,23-28,,R. Gobert misses 2-pt shot from 3 ft
11:36.0,,,23-28,,Offensive rebound by Team
11:36.0,,,23-28,,Turnover by Team (shot clock)
11:27.0,N. Young misses 2-pt shot from 14 ft (block by E. Millsap),,23-28,,
11:24.0,Offensive rebound by N. Young,,23-28,,
11:21.0,N. Young misses 2-pt shot from 20 ft,,23-28,,
11:19.0,Offensive rebound by T. Black,,23-28,,
11:15.0,Turnover by C. Boozer (lost ball; steal by R. Gobert),,23-28,,
11:11.0,,,23-28,,Turnover by R. Gobert (bad pass; steal by J. Clarkson)
10:59.0,J. Clarkson makes 2-pt shot from 6 ft,2,25-28,,
10:36.0,,,25-28,,T. Booker misses 2-pt shot from 9 ft
10:36.0,Defensive rebound by Team,,25-28,,
10:24.0,Shooting foul by E. Millsap (drawn by J. Clarkson),,25-28,,
10:24.0,J. Clarkson makes free throw 1 of 2,1,26-28,,
10:24.0,J. Clarkson makes free throw 2 of 2,1,27-28,,
10:10.0,,,27-30,2,R. Hood makes 2-pt shot from 4 ft
9:55.0,R. Kelly misses 2-pt shot from 5 ft,,27-30,,
9:54.0,,,27-30,,Defensive rebound by R. Gobert
9:41.0,,,27-30,,E. Millsap misses 2-pt shot from 14 ft
9:39.0,,,27-30,,Offensive rebound by T. Booker
9:37.0,,,27-30,,Turnover by T. Booker (bad pass)
9:37.0,,,27-30,,T. Burke enters the game for R. Hood
9:37.0,,,27-30,,E. Kanter enters the game for T. Booker
9:12.0,N. Young misses 2-pt shot from 2 ft,,27-30,,
9:12.0,Offensive rebound by Team,,27-30,,
9:12.0,Turnover by Team (shot clock),,27-30,,
8:55.0,,,27-30,,D. Exum misses 3-pt shot from 24 ft
8:54.0,Defensive rebound by C. Boozer,,27-30,,
8:47.0,T. Black makes 2-pt shot at rim (assist by J. Clarkson),2,29-30,,
8:41.0,,,29-30,,Utah full timeout
8:30.0,,,29-30,,E. Kanter misses 2-pt shot from 18 ft
8:28.0,Defensive rebound by T. Black,,29-30,,
8:16.0,Turnover by J. Clarkson (bad pass; steal by E. Kanter),,29-30,,
8:12.0,,,29-30,,Turnover by T. Burke (bad pass; steal by J. Clarkson)
8:11.0,,,29-30,,Personal foul by T. Burke (drawn by J. Clarkson)
7:57.0,Turnover by C. Boozer (traveling),,29-30,,
7:35.0,,,29-30,,T. Burke misses 3-pt shot from 25 ft
7:33.0,Defensive rebound by R. Kelly,,29-30,,
7:17.0,,,29-30,,J. Ingles enters the game for D. Exum
7:17.0,,,29-30,,D. Favors enters the game for R. Gobert
7:17.0,J. Lin enters the game for J. Clarkson,,29-30,,
7:14.0,Turnover by R. Kelly (bad pass),,29-30,,
7:00.0,,,29-30,,Shooting foul by R. Kelly (drawn by D. Favors)
7:00.0,,,29-31,1,D. Favors makes free throw 1 of 2
7:00.0,,,29-32,1,D. Favors makes free throw 2 of 2
6:41.0,J. Lin misses 2-pt shot from 3 ft,,29-32,,
6:40.0,,,29-32,,Defensive rebound by D. Favors
6:35.0,,,29-32,,J. Ingles misses 3-pt shot from 24 ft
6:33.0,Defensive rebound by T. Black,,29-32,,
6:22.0,T. Black makes 2-pt shot from 2 ft,2,31-32,,
6:02.0,,,31-32,,T. Burke misses 2-pt shot from 4 ft
6:01.0,Defensive rebound by R. Kelly,,31-32,,
5:55.0,J. Lin misses 2-pt shot from 9 ft,,31-32,,
5:54.0,,,31-32,,Defensive rebound by E. Kanter
5:46.0,,,31-32,,D. Favors misses 2-pt shot from 2 ft
5:44.0,Defensive rebound by C. Boozer,,31-32,,
5:39.0,Shooting foul by E. Millsap (drawn by N. Young),,31-32,,
5:39.0,Official timeout,,31-32,,
5:39.0,J. Hill enters the game for T. Black,,31-32,,
5:39.0,E. Davis enters the game for C. Boozer,,31-32,,
5:39.0,,,31-32,,G. Hayward enters the game for E. Millsap
5:39.0,N. Young makes free throw 1 of 3,1,32-32,,
5:39.0,N. Young makes free throw 2 of 3,1,33-32,,
5:39.0,N. Young makes free throw 3 of 3,1,34-32,,
5:22.0,,,34-32,,Shooting foul by J. Hill (drawn by E. Kanter)
5:22.0,,,34-33,1,E. Kanter makes free throw 1 of 2
5:22.0,W. Ellington enters the game for N. Young,,34-33,,
5:22.0,,,34-34,1,E. Kanter makes free throw 2 of 2
5:02.0,Turnover by R. Kelly (bad pass; steal by G. Hayward),,34-34,,
4:59.0,,,34-36,2,G. Hayward makes 2-pt shot from 2 ft (assist by D. Favors)
4:59.0,,,34-36,,Shooting foul by J. Lin (drawn by G. Hayward)
4:59.0,,,34-36,,R. Hood enters the game for J. Ingles
4:59.0,,,34-37,1,G. Hayward makes free throw 1 of 1
4:43.0,R. Kelly misses 2-pt shot from 11 ft,,34-37,,
4:42.0,,,34-37,,Defensive rebound by R. Hood
4:38.0,,,34-39,2,D. Favors makes 2-pt shot at rim (assist by G. Hayward)
4:22.0,J. Lin misses 2-pt shot from 17 ft,,34-39,,
4:20.0,,,34-39,,Defensive rebound by R. Hood
3:59.0,,,34-39,,G. Hayward misses 3-pt shot from 23 ft
3:58.0,,,34-39,,Offensive rebound by E. Kanter
3:54.0,,,34-39,,R. Hood misses 3-pt shot from 24 ft
3:52.0,Defensive rebound by J. Hill,,34-39,,
3:37.0,Shooting foul by D. Favors (drawn by J. Hill),,34-39,,
3:37.0,J. Hill makes 2-pt shot from 4 ft,2,36-39,,
3:37.0,W. Johnson enters the game for R. Kelly,,36-39,,
3:37.0,J. Hill misses free throw 1 of 1,,36-39,,
3:35.0,,,36-39,,Defensive rebound by E. Kanter
3:22.0,,,36-39,,D. Favors misses 2-pt shot from 4 ft (block by E. Davis)
3:20.0,Defensive rebound by J. Lin,,36-39,,
3:18.0,Shooting foul by R. Hood (drawn by W. Ellington),,36-39,,
3:18.0,W. Ellington misses free throw 1 of 2,,36-39,,
3:18.0,Offensive rebound by Team,,36-39,,
3:18.0,,,36-39,,D. Exum enters the game for T. Burke
3:18.0,W. Ellington makes free throw 2 of 2,1,37-39,,
3:02.0,,,37-39,,E. Kanter misses 2-pt shot from 13 ft
3:00.0,Defensive rebound by E. Davis,,37-39,,
2:42.0,J. Hill makes 2-pt shot from 4 ft,2,39-39,,
2:27.0,,,39-39,,Turnover by G. Hayward (bad pass; steal by J. Hill)
2:19.0,Turnover by W. Johnson (bad pass; steal by E. Kanter),,39-39,,
2:13.0,,,39-41,2,G. Hayward makes 2-pt shot at rim (assist by D. Favors)
1:57.0,Turnover by W. Ellington (bad pass),,39-41,,
1:57.0,LA Lakers full timeout,,39-41,,
1:57.0,,,39-41,,R. Gobert enters the game for E. Kanter
1:57.0,,,39-41,,T. Burke enters the game for D. Exum
1:34.0,,,39-41,,T. Burke misses 3-pt shot from 24 ft
1:31.0,,,39-41,,Offensive rebound by D. Favors
1:27.0,,,39-41,,G. Hayward misses 3-pt shot from 24 ft
1:27.0,,,39-41,,Offensive rebound by Team
1:26.0,,,39-41,,Offensive foul by R. Gobert
1:26.0,,,39-41,,Turnover by R. Gobert (offensive foul)
1:11.0,J. Hill makes 2-pt shot from 16 ft,2,41-41,,
0:58.0,,,41-41,,G. Hayward misses 3-pt shot from 25 ft
0:56.0,Defensive rebound by J. Hill,,41-41,,
0:41.0,J. Hill makes 2-pt shot from 21 ft (assist by J. Lin),2,43-41,,
0:25.0,,,43-43,2,R. Gobert makes 2-pt shot at rim (assist by G. Hayward)
0:25.0,,,43-43,,Shooting foul by E. Davis (drawn by R. Gobert)
0:25.0,,,43-44,1,R. Gobert makes free throw 1 of 1
0:02.0,Turnover by J. Hill (lost ball; steal by R. Gobert),,43-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,43-44,,D. Favors misses 2-pt shot from 4 ft
11:39.0,Defensive rebound by W. Ellington,,43-44,,
11:15.0,J. Hill misses 2-pt shot from 9 ft,,43-44,,
11:13.0,,,43-44,,Defensive rebound by G. Hayward
10:54.0,,,43-44,,D. Favors misses 2-pt shot from 17 ft
10:53.0,Defensive rebound by W. Ellington,,43-44,,
10:43.0,J. Hill makes 2-pt shot from 21 ft (assist by W. Ellington),2,45-44,,
10:25.0,,,45-44,,T. Burke misses 2-pt shot from 3 ft
10:23.0,,,45-44,,Offensive rebound by D. Favors
10:23.0,,,45-46,2,D. Favors makes 2-pt shot from 2 ft
10:01.0,W. Ellington makes 2-pt shot from 13 ft,2,47-46,,
9:48.0,,,47-46,,Turnover by G. Hayward (lost ball; steal by J. Lin)
9:44.0,Turnover by J. Lin (bad pass),,47-46,,
9:25.0,,,47-46,,E. Kanter misses 3-pt shot from 24 ft
9:23.0,Defensive rebound by J. Lin,,47-46,,
9:13.0,J. Lin makes 2-pt shot from 2 ft,2,49-46,,
8:54.0,,,49-48,2,D. Favors makes 2-pt shot at rim (assist by T. Burke)
8:33.0,J. Hill misses 2-pt shot from 17 ft,,49-48,,
8:31.0,Offensive rebound by E. Davis,,49-48,,
8:31.0,Shooting foul by D. Favors (drawn by E. Davis),,49-48,,
8:31.0,E. Davis misses free throw 1 of 2,,49-48,,
8:31.0,Offensive rebound by Team,,49-48,,
8:31.0,E. Davis misses free throw 2 of 2,,49-48,,
8:29.0,,,49-48,,Defensive rebound by D. Favors
8:12.0,,,49-51,3,T. Burke makes 3-pt shot from 25 ft (assist by J. Ingles)
7:50.0,W. Ellington misses 2-pt shot from 20 ft,,49-51,,
7:48.0,Offensive rebound by J. Hill,,49-51,,
7:40.0,J. Hill misses 2-pt shot from 20 ft,,49-51,,
7:39.0,Offensive rebound by E. Davis,,49-51,,
7:35.0,E. Davis makes 2-pt shot at rim,2,51-51,,
7:24.0,,,51-51,,E. Kanter misses 2-pt shot from 18 ft
7:22.0,Defensive rebound by J. Hill,,51-51,,
7:12.0,J. Lin makes 2-pt shot from 13 ft,2,53-51,,
6:51.0,,,53-51,,T. Burke misses 3-pt shot from 22 ft
6:50.0,Defensive rebound by W. Ellington,,53-51,,
6:45.0,W. Ellington misses 2-pt shot from 3 ft (block by G. Hayward),,53-51,,
6:45.0,Offensive rebound by Team,,53-51,,
6:45.0,,,53-51,,R. Hood enters the game for J. Ingles
6:41.0,W. Ellington makes 2-pt shot from 3 ft,2,55-51,,
6:26.0,,,55-51,,T. Burke misses 2-pt shot from 1 ft
6:24.0,,,55-51,,Offensive rebound by E. Kanter
6:24.0,,,55-51,,E. Kanter misses 2-pt shot at rim
6:22.0,Defensive rebound by E. Davis,,55-51,,
6:03.0,Turnover by J. Hill (lost ball; steal by R. Hood),,55-51,,
5:55.0,,,55-51,,Turnover by R. Hood (bad pass)
5:55.0,,,55-51,,Utah full timeout
5:55.0,,,55-51,,Technical foul by R. Hood
5:55.0,Technical foul by W. Ellington,,55-51,,
5:55.0,,,55-51,,R. Gobert enters the game for E. Kanter
5:35.0,J. Lin misses 2-pt shot from 6 ft,,55-51,,
5:33.0,,,55-51,,Defensive rebound by R. Hood
5:12.0,,,55-53,2,D. Favors makes 2-pt shot from 2 ft
4:58.0,,,55-53,,Personal foul by R. Hood (drawn by W. Ellington)
4:52.0,W. Ellington makes 2-pt shot from 21 ft (assist by J. Lin),2,57-53,,
4:29.0,,,57-55,2,D. Favors makes 2-pt shot from 6 ft
4:17.0,Shooting foul by D. Favors (drawn by E. Davis),,57-55,,
4:17.0,E. Davis misses free throw 1 of 2,,57-55,,
4:17.0,Offensive rebound by Team,,57-55,,
4:17.0,,,57-55,,T. Booker enters the game for D. Favors
4:17.0,E. Davis misses free throw 2 of 2,,57-55,,
4:16.0,,,57-55,,Defensive rebound by R. Gobert
3:58.0,,,57-58,3,G. Hayward makes 3-pt shot from 24 ft (assist by R. Gobert)
3:37.0,J. Lin misses 2-pt shot from 21 ft,,57-58,,
3:36.0,,,57-58,,Defensive rebound by Team
3:36.0,T. Black enters the game for J. Hill,,57-58,,
3:36.0,C. Boozer enters the game for E. Davis,,57-58,,
3:22.0,,,57-60,2,G. Hayward makes 2-pt shot from 20 ft
3:04.0,C. Boozer misses 2-pt shot from 15 ft,,57-60,,
3:02.0,,,57-60,,Defensive rebound by R. Hood
2:50.0,,,57-63,3,R. Hood makes 3-pt shot from 24 ft (assist by G. Hayward)
2:50.0,LA Lakers full timeout,,57-63,,
2:50.0,N. Young enters the game for W. Johnson,,57-63,,
2:50.0,J. Clarkson enters the game for J. Lin,,57-63,,
2:50.0,,,57-63,,D. Exum enters the game for T. Burke
2:33.0,C. Boozer makes 2-pt shot from 15 ft,2,59-63,,
2:13.0,,,59-66,3,T. Booker makes 3-pt shot from 23 ft (assist by G. Hayward)
1:50.0,,,59-66,,Personal foul by D. Exum (drawn by J. Clarkson)
1:50.0,,,59-66,,J. Ingles enters the game for R. Hood
1:42.0,C. Boozer misses 2-pt shot from 4 ft (block by R. Gobert),,59-66,,
1:40.0,,,59-66,,Defensive rebound by D. Exum
1:36.0,,,59-68,2,G. Hayward makes 2-pt shot at rim (assist by D. Exum)
1:15.0,Turnover by T. Black (3 sec),,59-68,,
0:58.0,,,59-68,,T. Booker misses 3-pt shot from 23 ft
0:57.0,Defensive rebound by C. Boozer,,59-68,,
0:45.0,,,59-68,,Personal foul by D. Exum (drawn by J. Clarkson)
0:45.0,J. Clarkson makes free throw 1 of 2,1,60-68,,
0:45.0,J. Clarkson makes free throw 2 of 2,1,61-68,,
0:41.0,Personal foul by W. Ellington (drawn by G. Hayward),,61-68,,
0:29.0,,,61-70,2,G. Hayward makes 2-pt shot from 12 ft
0:23.0,,,61-70,,Personal foul by J. Ingles (drawn by N. Young)
0:23.0,N. Young makes free throw 1 of 2,1,62-70,,
0:23.0,,,62-70,,E. Millsap enters the game for J. Ingles
0:23.0,N. Young makes free throw 2 of 2,1,63-70,,
0:02.0,,,63-70,,D. Exum misses 3-pt shot from 23 ft
0:00.0,,,63-70,,Offensive rebound by D. Exum
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,N. Young makes 3-pt shot from 24 ft,3,66-70,,
11:29.0,,,66-72,2,T. Burke makes 2-pt shot from 16 ft
11:08.0,N. Young misses 3-pt shot from 25 ft (block by R. Gobert),,66-72,,
11:06.0,,,66-72,,Defensive rebound by T. Booker
10:53.0,,,66-75,3,T. Burke makes 3-pt shot from 23 ft (assist by D. Exum)
10:33.0,J. Clarkson misses 3-pt shot from 24 ft,,66-75,,
10:31.0,Offensive rebound by N. Young,,66-75,,
10:17.0,N. Young makes 2-pt shot from 13 ft,2,68-75,,
9:54.0,,,68-75,,T. Booker misses 3-pt shot from 23 ft
9:53.0,Defensive rebound by C. Boozer,,68-75,,
9:46.0,Shooting foul by T. Booker (drawn by N. Young),,68-75,,
9:46.0,N. Young makes free throw 1 of 2,1,69-75,,
9:46.0,,,69-75,,J. Ingles enters the game for E. Millsap
9:46.0,N. Young makes free throw 2 of 2,1,70-75,,
9:33.0,,,70-75,,T. Burke misses 3-pt shot from 23 ft
9:32.0,Defensive rebound by R. Kelly,,70-75,,
9:22.0,C. Boozer makes 2-pt shot from 4 ft,2,72-75,,
9:05.0,,,72-78,3,J. Ingles makes 3-pt shot from 22 ft (assist by R. Gobert)
9:00.0,,,72-78,,Personal foul by T. Booker (drawn by J. Clarkson)
9:00.0,,,72-78,,D. Favors enters the game for T. Booker
8:39.0,T. Black misses 2-pt shot from 17 ft,,72-78,,
8:38.0,,,72-78,,Defensive rebound by J. Ingles
8:19.0,,,72-78,,T. Burke misses 2-pt shot from 17 ft (block by J. Clarkson)
8:17.0,Defensive rebound by C. Boozer,,72-78,,
8:09.0,J. Clarkson misses 2-pt shot from 4 ft,,72-78,,
8:08.0,,,72-78,,Defensive rebound by R. Gobert
8:03.0,,,72-80,2,T. Burke makes 2-pt shot from 1 ft (assist by J. Ingles)
7:43.0,,,72-80,,Personal foul by D. Exum (drawn by N. Young)
7:43.0,Official timeout,,72-80,,
7:43.0,,,72-80,,E. Millsap enters the game for D. Exum
7:43.0,N. Young makes free throw 1 of 3,1,73-80,,
7:43.0,N. Young makes free throw 2 of 3,1,74-80,,
7:43.0,N. Young makes free throw 3 of 3,1,75-80,,
7:25.0,,,75-80,,D. Favors misses 2-pt shot from 16 ft
7:24.0,,,75-80,,Offensive rebound by R. Gobert
7:24.0,,,75-80,,R. Gobert misses 2-pt shot from 1 ft
7:22.0,Defensive rebound by R. Kelly,,75-80,,
7:01.0,Turnover by J. Clarkson (bad pass; steal by T. Burke),,75-80,,
6:57.0,J. Hill enters the game for T. Black,,75-80,,
6:40.0,,,75-80,,T. Burke misses 2-pt shot from 21 ft
6:39.0,,,75-80,,Offensive rebound by T. Burke
6:20.0,,,75-80,,E. Millsap misses 3-pt shot from 23 ft
6:19.0,Defensive rebound by J. Clarkson,,75-80,,
6:03.0,J. Clarkson misses 2-pt shot from 2 ft (block by R. Gobert),,75-80,,
6:00.0,,,75-80,,Defensive rebound by D. Favors
5:58.0,,,75-80,,Offensive charge foul by E. Millsap
5:58.0,,,75-80,,Turnover by E. Millsap (offensive foul)
5:58.0,,,75-80,,Utah full timeout
5:58.0,J. Lin enters the game for J. Clarkson,,75-80,,
5:58.0,,,75-80,,E. Kanter enters the game for R. Gobert
5:58.0,,,75-80,,R. Hood enters the game for E. Millsap
5:58.0,,,75-80,,G. Hayward enters the game for J. Ingles
5:40.0,N. Young makes 3-pt shot from 25 ft,3,78-80,,
5:16.0,,,78-83,3,T. Burke makes 3-pt shot from 22 ft (assist by R. Hood)
4:57.0,Shooting foul by T. Burke (drawn by N. Young),,78-83,,
4:57.0,N. Young makes free throw 1 of 3,1,79-83,,
4:57.0,N. Young makes free throw 2 of 3,1,80-83,,
4:57.0,W. Johnson enters the game for R. Kelly,,80-83,,
4:57.0,N. Young makes free throw 3 of 3,1,81-83,,
4:42.0,,,81-86,3,E. Kanter makes 3-pt shot from 24 ft (assist by G. Hayward)
4:18.0,J. Hill makes 2-pt shot from 7 ft,2,83-86,,
4:03.0,Personal foul by J. Hill (drawn by G. Hayward),,83-86,,
4:03.0,Technical foul by N. Young,,83-86,,
4:03.0,E. Davis enters the game for C. Boozer,,83-86,,
4:03.0,,,83-87,1,G. Hayward makes technical free throw
3:53.0,,,83-89,2,D. Favors makes 2-pt shot at rim (assist by G. Hayward)
3:30.0,J. Lin misses 3-pt shot from 24 ft,,83-89,,
3:28.0,,,83-89,,Defensive rebound by D. Favors
3:06.0,,,83-92,3,G. Hayward makes 3-pt shot from 25 ft (assist by T. Burke)
2:37.0,Turnover by Team (shot clock),,83-92,,
2:37.0,LA Lakers full timeout,,83-92,,
2:14.0,,,83-92,,E. Kanter misses 3-pt shot from 23 ft
2:12.0,,,83-92,,Offensive rebound by D. Favors
1:48.0,,,83-92,,D. Favors misses 2-pt shot from 2 ft (block by J. Hill)
1:47.0,Defensive rebound by W. Johnson,,83-92,,
1:40.0,Turnover by J. Hill (traveling),,83-92,,
1:26.0,,,83-92,,G. Hayward misses 2-pt shot from 2 ft (block by W. Johnson)
1:24.0,Defensive rebound by J. Hill,,83-92,,
1:18.0,N. Young misses 3-pt shot from 24 ft,,83-92,,
1:17.0,,,83-92,,Defensive rebound by G. Hayward
1:00.0,,,83-94,2,G. Hayward makes 2-pt shot from 2 ft
0:51.0,J. Lin makes 2-pt shot from 16 ft,2,85-94,,
0:42.0,,,85-94,,T. Burke misses 2-pt shot from 2 ft
0:40.0,Defensive rebound by J. Hill,,85-94,,
0:31.0,J. Lin misses 2-pt shot from 20 ft,,85-94,,
0:29.0,,,85-94,,Defensive rebound by R. Hood
0:28.0,Personal foul by E. Davis (drawn by R. Hood),,85-94,,
0:04.0,,,85-94,,R. Hood misses 3-pt shot from 25 ft
0:03.0,Defensive rebound by W. Johnson,,85-94,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
