time,Phoenix,pts.away,score,pts.home,Dallas
11:30.0,M. Morris makes 2-pt shot from 1 ft,2,32-28,,
11:22.0,Personal block foul by M. Morris (drawn by D. Harris),,32-28,,
11:22.0,,,32-28,,T. Chandler enters the game for A. Stoudemire
11:17.0,Personal foul by G. Green (drawn by D. Nowitzki),,32-28,,
11:06.0,,,32-28,,Turnover by D. Nowitzki (lost ball; steal by M. Morris)
11:02.0,G. Green makes 2-pt shot at rim (assist by M. Morris),2,34-28,,
10:48.0,,,34-28,,Turnover by D. Harris (lost ball; steal by T. Warren)
10:42.0,G. Green misses 3-pt shot from 23 ft,,34-28,,
10:41.0,,,34-28,,Defensive rebound by T. Chandler
10:35.0,,,34-30,2,J. Barea makes 2-pt shot at rim
10:10.0,G. Green misses 2-pt shot from 9 ft,,34-30,,
10:09.0,,,34-30,,Defensive rebound by T. Chandler
9:57.0,,,34-32,2,D. Nowitzki makes 2-pt shot from 17 ft
9:35.0,A. Goodwin misses 3-pt shot from 22 ft,,34-32,,
9:35.0,,,34-32,,Defensive rebound by Team
9:13.0,,,34-34,2,D. Nowitzki makes 2-pt shot from 10 ft (assist by J. Barea)
9:01.0,T. Warren makes 2-pt shot from 3 ft,2,36-34,,
8:54.0,,,36-36,2,D. Harris makes 2-pt shot at rim (assist by J. Barea)
8:39.0,T. Warren makes 2-pt shot from 16 ft,2,38-36,,
8:37.0,Violation by Team (delay of game),,38-36,,
8:28.0,,,38-36,,J. Barea misses 2-pt shot from 1 ft (block by A. Goodwin)
8:26.0,Defensive rebound by M. Morris,,38-36,,
8:24.0,Official timeout,,38-36,,
8:24.0,,,38-36,,C. Villanueva enters the game for R. Jefferson
8:24.0,,,38-36,,A. Aminu enters the game for D. Nowitzki
8:13.0,T. Warren misses 2-pt shot from 6 ft (block by T. Chandler),,38-36,,
8:11.0,,,38-36,,Defensive rebound by A. Aminu
7:55.0,,,38-36,,Turnover by J. Barea (bad pass)
7:55.0,E. Bledsoe enters the game for A. Goodwin,,38-36,,
7:43.0,T. Warren makes 3-pt shot from 24 ft (assist by G. Green),3,41-36,,
7:36.0,,,41-36,,D. Harris misses 2-pt shot from 2 ft (block by T. Warren)
7:36.0,,,41-36,,Offensive rebound by T. Chandler
7:36.0,Loose ball foul by M. Morris (drawn by T. Chandler),,41-36,,
7:36.0,,,41-36,,R. Rondo enters the game for D. Harris
7:36.0,,,41-36,,M. Ellis enters the game for J. Barea
7:21.0,,,41-36,,M. Ellis misses 2-pt shot from 16 ft
7:19.0,,,41-36,,Offensive rebound by T. Chandler
7:13.0,,,41-39,3,C. Villanueva makes 3-pt shot from 23 ft (assist by R. Rondo)
6:54.0,G. Green misses 3-pt shot from 24 ft,,41-39,,
6:53.0,Offensive rebound by M. Morris,,41-39,,
6:48.0,M. Morris makes 3-pt shot from 23 ft (assist by M. Morris),3,44-39,,
6:41.0,,,44-41,2,T. Chandler makes 2-pt shot at rim (assist by R. Rondo)
6:17.0,T. Warren misses 3-pt shot from 24 ft,,44-41,,
6:16.0,,,44-41,,Defensive rebound by T. Chandler
5:56.0,,,44-43,2,M. Ellis makes 2-pt shot from 9 ft
5:38.0,,,44-43,,Personal foul by T. Chandler (drawn by E. Bledsoe)
5:38.0,,,44-43,,Dallas full timeout
5:38.0,B. Wright enters the game for T. Warren,,44-43,,
5:35.0,Turnover by E. Bledsoe (bad pass),,44-43,,
5:20.0,,,44-43,,A. Aminu misses 2-pt shot from 20 ft
5:19.0,Defensive rebound by B. Wright,,44-43,,
5:09.0,G. Green misses 2-pt shot from 6 ft,,44-43,,
5:08.0,,,44-43,,Defensive rebound by A. Aminu
4:56.0,,,44-45,2,M. Ellis makes 2-pt shot from 7 ft
4:45.0,Turnover by M. Morris (lost ball; steal by C. Villanueva),,44-45,,
4:39.0,,,44-48,3,C. Villanueva makes 3-pt shot from 24 ft (assist by R. Rondo)
4:17.0,B. Wright makes 2-pt shot at rim (assist by M. Morris),2,46-48,,
3:58.0,,,46-48,,C. Villanueva misses 3-pt shot from 25 ft
3:57.0,,,46-48,,Offensive rebound by T. Chandler
3:54.0,,,46-48,,T. Chandler misses 2-pt shot at rim
3:54.0,Defensive rebound by Team,,46-48,,
3:54.0,P. Tucker enters the game for G. Green,,46-48,,
3:37.0,E. Bledsoe makes 2-pt shot from 10 ft,2,48-48,,
3:27.0,,,48-51,3,C. Villanueva makes 3-pt shot from 24 ft (assist by R. Rondo)
3:10.0,B. Wright makes 2-pt shot from 3 ft (assist by E. Bledsoe),2,50-51,,
3:00.0,,,50-53,2,R. Rondo makes 2-pt shot from 19 ft
2:48.0,E. Bledsoe makes 2-pt shot from 19 ft,2,52-53,,
2:32.0,,,52-53,,A. Aminu misses 3-pt shot from 23 ft
2:32.0,Defensive rebound by P. Tucker,,52-53,,
2:21.0,M. Morris makes 2-pt shot from 17 ft (assist by E. Bledsoe),2,54-53,,
2:20.0,,,54-53,,Dallas full timeout
2:20.0,Phoenix full timeout,,54-53,,
2:20.0,,,54-53,,A. Stoudemire enters the game for T. Chandler
2:20.0,,,54-53,,D. Nowitzki enters the game for C. Villanueva
2:06.0,,,54-55,2,R. Rondo makes 2-pt shot from 16 ft (assist by A. Aminu)
1:50.0,Shooting foul by A. Stoudemire (drawn by M. Morris),,54-55,,
1:50.0,M. Morris makes free throw 1 of 2,1,55-55,,
1:50.0,M. Morris makes free throw 2 of 2,1,56-55,,
1:32.0,,,56-57,2,A. Stoudemire makes 2-pt shot from 1 ft
1:13.0,M. Morris makes 2-pt shot from 14 ft,2,58-57,,
1:04.0,,,58-57,,A. Aminu misses 2-pt shot from 2 ft
1:02.0,Defensive rebound by M. Morris,,58-57,,
1:00.0,M. Morris makes 2-pt shot at rim (assist by P. Tucker),2,60-57,,
0:46.0,G. Green enters the game for M. Morris,,60-57,,
0:40.0,,,60-59,2,M. Ellis makes 2-pt shot from 18 ft
0:35.0,G. Green makes 3-pt shot from 23 ft (assist by E. Bledsoe),3,63-59,,
0:16.0,,,63-59,,M. Ellis misses 3-pt shot from 24 ft
0:15.0,Defensive rebound by M. Morris,,63-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,Personal block foul by M. Morris (drawn by R. Jefferson),,63-59,,
11:37.0,,,63-59,,Shooting foul by M. Morris (drawn by D. Nowitzki)
11:37.0,,,63-60,1,D. Nowitzki makes free throw 1 of 2
11:37.0,,,63-61,1,D. Nowitzki makes free throw 2 of 2
11:20.0,P. Tucker misses 3-pt shot from 22 ft,,63-61,,
11:19.0,,,63-61,,Defensive rebound by D. Nowitzki
11:13.0,,,63-61,,R. Jefferson misses 2-pt shot from 2 ft
11:10.0,,,63-61,,Offensive rebound by T. Chandler
11:09.0,,,63-63,2,T. Chandler makes 2-pt shot at rim
10:54.0,P. Tucker makes 2-pt shot at rim (assist by M. Morris),2,65-63,,
10:41.0,,,65-63,,D. Nowitzki misses 3-pt shot from 24 ft
10:40.0,,,65-63,,Offensive rebound by R. Rondo
10:20.0,,,65-65,2,M. Ellis makes 2-pt shot from 18 ft
10:09.0,M. Morris makes 2-pt shot from 4 ft,2,67-65,,
10:09.0,Shooting foul by R. Jefferson (drawn by M. Morris),,67-65,,
10:09.0,M. Morris makes free throw 1 of 1,1,68-65,,
9:55.0,,,68-65,,R. Rondo misses 2-pt shot from 18 ft
9:54.0,Defensive rebound by B. Wright,,68-65,,
9:45.0,M. Morris misses 3-pt shot from 23 ft,,68-65,,
9:44.0,,,68-65,,Defensive rebound by R. Rondo
9:40.0,,,68-67,2,R. Jefferson makes 2-pt shot at rim (assist by R. Rondo)
9:11.0,M. Morris misses 2-pt shot from 19 ft,,68-67,,
9:10.0,,,68-67,,Defensive rebound by T. Chandler
9:03.0,,,68-67,,D. Nowitzki misses 3-pt shot from 24 ft
9:02.0,Defensive rebound by M. Morris,,68-67,,
8:57.0,E. Bledsoe makes 2-pt shot from 5 ft,2,70-67,,
8:44.0,,,70-69,2,T. Chandler makes 2-pt shot at rim (assist by R. Rondo)
8:21.0,M. Morris misses 2-pt shot from 10 ft,,70-69,,
8:20.0,,,70-69,,Defensive rebound by T. Chandler
8:05.0,,,70-69,,R. Jefferson misses 2-pt shot from 15 ft
8:04.0,Defensive rebound by M. Morris,,70-69,,
7:40.0,P. Tucker misses 2-pt shot from 7 ft,,70-69,,
7:39.0,,,70-69,,Defensive rebound by R. Jefferson
7:33.0,,,70-71,2,M. Ellis makes 2-pt shot from 19 ft
7:31.0,Phoenix full timeout,,70-71,,
7:31.0,,,70-71,,C. Villanueva enters the game for D. Nowitzki
7:27.0,,,70-71,,Personal foul by R. Rondo (drawn by E. Bledsoe)
7:02.0,M. Morris makes 2-pt shot from 13 ft (assist by M. Morris),2,72-71,,
6:37.0,,,72-71,,M. Ellis misses 2-pt shot from 18 ft
6:36.0,,,72-71,,Offensive rebound by T. Chandler
6:31.0,,,72-71,,C. Villanueva misses 3-pt shot from 26 ft
6:30.0,Defensive rebound by B. Wright,,72-71,,
6:19.0,Turnover by E. Bledsoe (offensive foul),,72-71,,
6:19.0,Offensive foul by E. Bledsoe,,72-71,,
6:19.0,T. Warren enters the game for M. Morris,,72-71,,
6:10.0,,,72-71,,R. Jefferson misses 2-pt shot from 2 ft (block by B. Wright)
6:09.0,,,72-71,,Offensive rebound by T. Chandler
6:06.0,,,72-71,,T. Chandler misses 2-pt shot from 4 ft
6:05.0,Defensive rebound by Team,,72-71,,
5:50.0,P. Tucker misses 3-pt shot from 22 ft,,72-71,,
5:49.0,,,72-71,,Defensive rebound by R. Jefferson
5:34.0,,,72-71,,T. Chandler misses 2-pt shot from 4 ft
5:33.0,Defensive rebound by P. Tucker,,72-71,,
5:21.0,T. Warren misses 2-pt shot from 6 ft,,72-71,,
5:20.0,,,72-71,,Defensive rebound by T. Chandler
5:20.0,Personal foul by T. Warren (drawn by T. Chandler),,72-71,,
5:20.0,,,72-71,,A. Aminu enters the game for R. Jefferson
5:20.0,G. Green enters the game for M. Morris,,72-71,,
5:07.0,,,72-71,,M. Ellis misses 2-pt shot from 5 ft (block by P. Tucker)
5:05.0,Defensive rebound by G. Green,,72-71,,
4:56.0,,,72-71,,Personal foul by R. Rondo (drawn by G. Green)
4:45.0,B. Wright makes 2-pt shot from 4 ft,2,74-71,,
4:27.0,,,74-73,2,R. Rondo makes 2-pt shot from 1 ft
4:07.0,G. Green misses 2-pt shot from 16 ft,,74-73,,
4:05.0,Offensive rebound by P. Tucker,,74-73,,
4:04.0,P. Tucker makes 2-pt shot from 1 ft,2,76-73,,
3:47.0,,,76-73,,Turnover by M. Ellis (lost ball; steal by T. Warren)
3:45.0,,,76-73,,Shooting block foul by C. Villanueva (drawn by E. Bledsoe)
3:45.0,,,76-73,,Dallas full timeout
3:45.0,,,76-73,,A. Stoudemire enters the game for T. Chandler
3:45.0,,,76-73,,J. Barea enters the game for M. Ellis
3:45.0,,,76-73,,D. Harris enters the game for R. Rondo
3:45.0,,,76-73,,D. Nowitzki enters the game for C. Villanueva
3:45.0,E. Bledsoe misses free throw 1 of 2,,76-73,,
3:45.0,Offensive rebound by Team,,76-73,,
3:45.0,E. Bledsoe makes free throw 2 of 2,1,77-73,,
3:34.0,Personal foul by P. Tucker (drawn by D. Nowitzki),,77-73,,
3:34.0,A. Goodwin enters the game for E. Bledsoe,,77-73,,
3:19.0,,,77-73,,D. Nowitzki misses 2-pt shot from 17 ft
3:18.0,,,77-73,,Offensive rebound by A. Aminu
3:15.0,,,77-73,,A. Aminu misses 2-pt shot from 11 ft
3:14.0,,,77-73,,Offensive rebound by A. Stoudemire
3:13.0,,,77-75,2,A. Stoudemire makes 2-pt shot at rim
2:50.0,M. Morris enters the game for P. Tucker,,77-75,,
2:49.0,,,77-75,,Personal foul by A. Stoudemire (drawn by G. Green)
2:49.0,G. Green makes free throw 1 of 2,1,78-75,,
2:49.0,G. Green makes free throw 2 of 2,1,79-75,,
2:36.0,Violation by B. Wright (def goaltending),,79-75,,
2:36.0,,,79-77,2,D. Harris makes 2-pt shot from 6 ft
2:36.0,,,79-77,,Shooting foul by A. Goodwin (drawn by D. Harris)
2:36.0,,,79-78,1,D. Harris makes free throw 1 of 1
2:21.0,G. Green misses 2-pt shot from 20 ft,,79-78,,
2:20.0,,,79-78,,Defensive rebound by D. Nowitzki
2:06.0,,,79-80,2,D. Nowitzki makes 2-pt shot from 12 ft (assist by J. Barea)
1:47.0,Turnover by G. Green (bad pass),,79-80,,
1:31.0,,,79-80,,D. Nowitzki misses 2-pt shot from 13 ft
1:31.0,,,79-80,,Offensive rebound by A. Stoudemire
1:21.0,,,79-80,,D. Nowitzki misses 2-pt shot from 19 ft
1:21.0,Defensive rebound by B. Wright,,79-80,,
1:21.0,,,79-80,,Loose ball foul by A. Stoudemire (drawn by B. Wright)
1:21.0,B. Wright misses free throw 1 of 2,,79-80,,
1:21.0,Offensive rebound by Team,,79-80,,
1:21.0,,,79-80,,T. Chandler enters the game for A. Stoudemire
1:21.0,B. Wright makes free throw 2 of 2,1,80-80,,
1:07.0,Personal block foul by A. Goodwin (drawn by J. Barea),,80-80,,
1:07.0,Technical foul by A. Goodwin (drawn by J. Barea),,80-80,,
1:07.0,,,80-81,1,D. Nowitzki makes technical free throw
1:07.0,,,80-82,1,J. Barea makes free throw 1 of 2
1:07.0,,,80-83,1,J. Barea makes free throw 2 of 2
0:47.0,M. Morris misses 2-pt shot from 13 ft,,80-83,,
0:46.0,,,80-83,,Defensive rebound by J. Barea
0:41.0,,,80-83,,D. Harris misses 2-pt shot from 3 ft
0:37.0,Defensive rebound by B. Wright,,80-83,,
0:34.0,Jump ball: D. Harris vs. B. Wright (T. Chandler gains possession),,,,Jump ball: D. Harris vs. B. Wright (T. Chandler gains possession)
0:34.0,Turnover by B. Wright (lost ball; steal by D. Harris),,80-83,,
0:30.0,,,80-83,,J. Barea misses 3-pt shot from 25 ft
0:29.0,Defensive rebound by M. Morris,,80-83,,
0:11.0,G. Green makes 3-pt shot from 24 ft (assist by M. Morris),3,83-83,,
0:05.0,,,83-85,2,D. Harris makes 2-pt shot from 2 ft
0:01.0,A. Goodwin makes 2-pt shot at rim,2,85-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,A. Goodwin makes 2-pt shot at rim,2,87-85,,
11:23.0,,,87-85,,D. Harris misses 2-pt shot from 4 ft
11:22.0,,,87-85,,Offensive rebound by T. Chandler
11:22.0,,,87-87,2,T. Chandler makes 2-pt shot at rim
11:05.0,M. Morris misses 2-pt shot from 1 ft (block by A. Aminu),,87-87,,
11:03.0,,,87-87,,Defensive rebound by D. Nowitzki
10:58.0,,,87-87,,J. Barea misses 2-pt shot at rim
10:57.0,Defensive rebound by M. Morris,,87-87,,
10:48.0,G. Green misses 3-pt shot from 23 ft,,87-87,,
10:47.0,,,87-87,,Defensive rebound by J. Barea
10:31.0,Personal foul by G. Green (drawn by J. Barea),,87-87,,
10:18.0,,,87-89,2,D. Nowitzki makes 2-pt shot from 10 ft
9:57.0,,,87-89,,Personal block foul by T. Chandler (drawn by M. Morris)
9:57.0,,,87-89,,A. Stoudemire enters the game for T. Chandler
9:48.0,M. Morris makes 2-pt shot from 18 ft (assist by M. Morris),2,89-89,,
9:34.0,,,89-89,,Turnover by A. Stoudemire (lost ball; steal by M. Morris)
9:33.0,Phoenix full timeout,,89-89,,
9:11.0,M. Morris misses 2-pt shot from 19 ft,,89-89,,
9:10.0,,,89-89,,Defensive rebound by A. Stoudemire
8:49.0,,,89-89,,D. Harris misses 2-pt shot from 1 ft (block by G. Green)
8:47.0,Defensive rebound by T. Warren,,89-89,,
8:33.0,T. Warren misses 2-pt shot at rim,,89-89,,
8:32.0,,,89-89,,Defensive rebound by A. Stoudemire
8:27.0,,,89-91,2,J. Barea makes 2-pt shot from 1 ft
8:06.0,T. Warren makes 2-pt shot from 1 ft (assist by G. Green),2,91-91,,
7:45.0,,,91-91,,A. Aminu misses 3-pt shot from 22 ft
7:44.0,Defensive rebound by Team,,91-91,,
7:44.0,E. Bledsoe enters the game for A. Goodwin,,91-91,,
7:24.0,E. Bledsoe misses 3-pt shot from 24 ft,,91-91,,
7:23.0,,,91-91,,Defensive rebound by A. Stoudemire
7:17.0,,,91-91,,J. Barea misses 3-pt shot from 24 ft
7:16.0,Defensive rebound by M. Morris,,91-91,,
7:10.0,Shooting foul by A. Stoudemire (drawn by G. Green),,91-91,,
7:10.0,G. Green makes free throw 1 of 2,1,92-91,,
7:10.0,B. Wright enters the game for M. Morris,,92-91,,
7:10.0,,,92-91,,C. Villanueva enters the game for D. Nowitzki
7:10.0,,,92-91,,R. Rondo enters the game for A. Stoudemire
7:10.0,,,92-91,,T. Chandler enters the game for D. Harris
7:10.0,,,92-91,,M. Ellis enters the game for J. Barea
7:10.0,,,92-91,,R. Jefferson enters the game for A. Aminu
7:10.0,G. Green makes free throw 2 of 2,1,93-91,,
7:01.0,,,93-93,2,M. Ellis makes 2-pt shot from 18 ft
6:44.0,G. Green makes 2-pt shot from 15 ft,2,95-93,,
6:29.0,,,95-95,2,T. Chandler makes 2-pt shot at rim (assist by M. Ellis)
6:15.0,M. Morris misses 2-pt shot from 17 ft,,95-95,,
6:14.0,,,95-95,,Defensive rebound by T. Chandler
6:00.0,,,95-95,,C. Villanueva misses 3-pt shot from 22 ft
5:59.0,Defensive rebound by G. Green,,95-95,,
5:53.0,Offensive foul by T. Warren,,95-95,,
5:53.0,Turnover by T. Warren (offensive foul),,95-95,,
5:53.0,Official timeout,,95-95,,
5:53.0,P. Tucker enters the game for T. Warren,,95-95,,
5:40.0,,,95-95,,M. Ellis misses 2-pt shot from 8 ft
5:39.0,Defensive rebound by P. Tucker,,95-95,,
5:18.0,G. Green makes 3-pt shot from 24 ft,3,98-95,,
4:55.0,,,98-95,,M. Ellis misses 2-pt shot from 6 ft
4:55.0,,,98-95,,Offensive rebound by T. Chandler
4:55.0,Loose ball foul by M. Morris (drawn by T. Chandler),,98-95,,
4:50.0,,,98-97,2,M. Ellis makes 2-pt shot from 15 ft
4:33.0,M. Morris misses 3-pt shot from 24 ft,,98-97,,
4:33.0,,,98-97,,Defensive rebound by T. Chandler
4:18.0,,,98-97,,M. Ellis misses 2-pt shot from 21 ft
4:17.0,,,98-97,,Offensive rebound by Team
4:17.0,M. Morris enters the game for G. Green,,98-97,,
4:02.0,,,98-97,,C. Villanueva misses 2-pt shot from 12 ft
4:00.0,Defensive rebound by M. Morris,,98-97,,
3:56.0,E. Bledsoe makes 2-pt shot from 1 ft (assist by M. Morris),2,100-97,,
3:53.0,,,100-97,,Dallas full timeout
3:53.0,,,100-97,,D. Nowitzki enters the game for C. Villanueva
3:42.0,,,100-99,2,R. Jefferson makes 2-pt shot from 3 ft (assist by R. Rondo)
3:14.0,B. Wright misses 2-pt shot from 17 ft,,100-99,,
3:13.0,,,100-99,,Defensive rebound by T. Chandler
3:01.0,,,100-101,2,D. Nowitzki makes 2-pt shot from 12 ft
2:37.0,Loose ball foul by B. Wright (drawn by M. Ellis),,100-101,,
2:37.0,Turnover by B. Wright (offensive foul),,100-101,,
2:37.0,G. Green enters the game for M. Morris,,100-101,,
2:23.0,,,100-101,,T. Chandler misses 2-pt shot from 5 ft
2:22.0,Defensive rebound by M. Morris,,100-101,,
2:08.0,Offensive foul by P. Tucker,,100-101,,
2:08.0,Turnover by P. Tucker (offensive foul),,100-101,,
1:51.0,,,100-103,2,M. Ellis makes 2-pt shot from 2 ft
1:51.0,Phoenix full timeout,,100-103,,
1:46.0,,,100-103,,Shooting block foul by T. Chandler (drawn by E. Bledsoe)
1:46.0,E. Bledsoe makes free throw 1 of 2,1,101-103,,
1:46.0,E. Bledsoe makes free throw 2 of 2,1,102-103,,
1:25.0,,,102-103,,R. Rondo misses 2-pt shot from 19 ft
