time,Toronto,pts.away,score,pts.home,Sacramento
4:40.0,,,21-10,,Loose ball foul by R. Gay (drawn by P. Patterson)
4:31.0,A. Johnson makes 2-pt shot from 7 ft (assist by K. Lowry),2,23-10,,
4:21.0,,,23-10,,Offensive foul by J. Thompson
4:21.0,,,23-10,,Turnover by J. Thompson (offensive foul)
4:21.0,,,23-10,,R. Evans enters the game for J. Thompson
3:57.0,K. Lowry makes 2-pt shot from 18 ft,2,25-10,,
3:51.0,,,25-10,,Sacramento full timeout
3:51.0,,,25-10,,R. Sessions enters the game for B. McLemore
3:51.0,,,25-10,,N. Stauskas enters the game for D. Collison
3:51.0,L. Williams enters the game for K. Lowry,,25-10,,
3:40.0,,,25-10,,Shooting foul by A. Johnson (drawn by R. Evans)
3:40.0,,,25-11,1,R. Evans makes free throw 1 of 2
3:40.0,,,25-12,1,R. Evans makes free throw 2 of 2
3:31.0,Offensive foul by P. Patterson,,25-12,,
3:31.0,Turnover by P. Patterson (offensive foul),,25-12,,
3:17.0,,,25-12,,Turnover by R. Sessions (bad pass; steal by G. Vasquez)
2:59.0,Turnover by L. Williams (bad pass; steal by O. Casspi),,25-12,,
2:45.0,Personal foul by G. Vasquez (drawn by R. Gay),,25-12,,
2:39.0,,,25-14,2,R. Gay makes 2-pt shot at rim (assist by O. Casspi)
2:19.0,T. Ross makes 2-pt shot from 11 ft,2,27-14,,
2:05.0,,,27-16,2,R. Evans makes 2-pt shot from 1 ft (assist by R. Gay)
1:53.0,G. Vasquez misses 3-pt shot from 24 ft,,27-16,,
1:52.0,,,27-16,,Defensive rebound by R. Sessions
1:45.0,,,27-18,2,R. Sessions makes 2-pt shot from 18 ft
1:37.0,Toronto full timeout,,27-18,,
1:37.0,K. Lowry enters the game for A. Johnson,,27-18,,
1:37.0,J. Valanciunas enters the game for G. Vasquez,,27-18,,
1:22.0,T. Ross makes 2-pt shot from 21 ft,2,29-18,,
1:07.0,,,29-18,,Shooting foul by L. Williams (drawn by R. Gay)
1:07.0,,,29-19,1,R. Gay makes free throw 1 of 2
1:07.0,,,29-20,1,R. Gay makes free throw 2 of 2
0:57.0,,,29-20,,Personal foul by R. Evans (drawn by P. Patterson)
0:47.0,L. Williams makes 2-pt shot from 18 ft (assist by K. Lowry),2,31-20,,
0:26.0,,,31-22,2,R. Gay makes 2-pt shot from 11 ft
0:00.0,L. Williams misses 3-pt shot from 26 ft,,31-22,,
0:00.0,Offensive rebound by Team,,31-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,L. Williams misses 3-pt shot from 24 ft,,31-22,,
11:41.0,,,31-22,,Defensive rebound by R. Sessions
11:28.0,,,31-22,,Shooting foul by L. Williams (drawn by N. Stauskas)
11:28.0,,,31-22,,N. Stauskas misses free throw 1 of 2
11:28.0,,,31-22,,Offensive rebound by Team
11:28.0,,,31-23,1,N. Stauskas makes free throw 2 of 2
11:16.0,P. Patterson misses 2-pt shot from 16 ft,,31-23,,
11:15.0,,,31-23,,Defensive rebound by R. Evans
11:08.0,,,31-25,2,N. Stauskas makes 2-pt shot from 2 ft (assist by R. Sessions)
10:58.0,P. Patterson makes 3-pt shot from 25 ft (assist by K. Lowry),3,34-25,,
10:47.0,,,34-27,2,R. Sessions makes 2-pt shot from 21 ft
10:23.0,J. Valanciunas misses 2-pt shot from 14 ft,,34-27,,
10:22.0,,,34-27,,Defensive rebound by R. Evans
10:07.0,,,34-27,,R. Sessions misses 2-pt shot from 4 ft
10:05.0,Defensive rebound by J. Valanciunas,,34-27,,
10:02.0,Shooting foul by O. Casspi (drawn by K. Lowry),,34-27,,
10:02.0,K. Lowry makes free throw 1 of 2,1,35-27,,
10:02.0,K. Lowry makes free throw 2 of 2,1,36-27,,
9:44.0,,,36-29,2,O. Casspi makes 2-pt shot from 2 ft (assist by B. McLemore)
9:27.0,J. Johnson misses 2-pt shot from 3 ft,,36-29,,
9:26.0,Offensive rebound by J. Valanciunas,,36-29,,
9:25.0,J. Valanciunas misses 2-pt shot from 2 ft,,36-29,,
9:25.0,,,36-29,,Defensive rebound by Team
9:25.0,Violation by J. Valanciunas (kicked ball),,36-29,,
9:10.0,,,36-29,,Turnover by O. Casspi (lost ball; steal by J. Valanciunas)
8:56.0,K. Lowry misses 2-pt shot from 16 ft,,36-29,,
8:55.0,,,36-29,,Defensive rebound by O. Casspi
8:50.0,,,36-31,2,O. Casspi makes 2-pt shot from 5 ft
8:38.0,L. Williams misses 2-pt shot from 15 ft,,36-31,,
8:36.0,,,36-31,,Defensive rebound by R. Sessions
8:30.0,Personal foul by J. Johnson (drawn by B. McLemore),,36-31,,
8:30.0,Official timeout,,36-31,,
8:30.0,A. Johnson enters the game for J. Valanciunas,,36-31,,
8:30.0,T. Hansbrough enters the game for P. Patterson,,36-31,,
8:21.0,,,36-34,3,B. McLemore makes 3-pt shot from 24 ft (assist by O. Casspi)
8:07.0,Offensive foul by A. Johnson,,36-34,,
8:07.0,Turnover by A. Johnson (offensive foul),,36-34,,
7:54.0,,,36-34,,N. Stauskas misses 3-pt shot from 24 ft
7:53.0,Defensive rebound by J. Johnson,,36-34,,
7:47.0,J. Johnson makes 2-pt shot from 2 ft,2,38-34,,
7:35.0,Personal foul by T. Hansbrough (drawn by R. Evans),,38-34,,
7:29.0,,,38-34,,Shooting foul by K. Lowry (drawn by R. Sessions)
7:29.0,,,38-35,1,R. Sessions makes free throw 1 of 2
7:29.0,,,38-36,1,R. Sessions makes free throw 2 of 2
7:09.0,Turnover by A. Johnson (lost ball; steal by B. McLemore),,38-36,,
7:05.0,,,38-38,2,B. McLemore makes 2-pt shot from 2 ft
6:55.0,J. Johnson makes 2-pt shot from 7 ft,2,40-38,,
6:55.0,Shooting foul by B. McLemore (drawn by J. Johnson),,40-38,,
6:55.0,T. Ross enters the game for L. Williams,,40-38,,
6:55.0,J. Johnson misses free throw 1 of 1,,40-38,,
6:53.0,Offensive rebound by T. Hansbrough,,40-38,,
6:39.0,T. Ross misses 3-pt shot from 24 ft,,40-38,,
6:38.0,,,40-38,,Defensive rebound by O. Casspi
6:34.0,Personal foul by T. Ross (drawn by R. Sessions),,40-38,,
6:34.0,,,40-39,1,R. Sessions makes free throw 1 of 2
6:34.0,,,40-39,,R. Sessions misses free throw 2 of 2
6:33.0,Defensive rebound by J. Johnson,,40-39,,
6:25.0,J. Johnson makes 2-pt shot at rim,2,42-39,,
6:06.0,,,42-39,,Turnover by R. Evans (bad pass; steal by A. Johnson)
5:57.0,T. Ross misses 3-pt shot from 22 ft,,42-39,,
5:56.0,Offensive rebound by A. Johnson,,42-39,,
5:36.0,J. Johnson misses 2-pt shot from 4 ft (block by O. Casspi),,42-39,,
5:36.0,Offensive rebound by Team,,42-39,,
5:36.0,,,42-39,,Sacramento full timeout
5:36.0,,,42-39,,R. Gay enters the game for R. Evans
5:36.0,,,42-39,,C. Landry enters the game for N. Stauskas
5:36.0,Jump ball: O. Casspi vs. J. Johnson,,,,Jump ball: O. Casspi vs. J. Johnson
5:32.0,Turnover by J. Johnson (bad pass; steal by C. Landry),,42-39,,
5:29.0,,,42-41,2,B. McLemore makes 2-pt shot at rim (assist by C. Landry)
5:29.0,,,42-41,,Shooting foul by T. Ross (drawn by B. McLemore)
5:29.0,,,42-42,1,B. McLemore makes free throw 1 of 1
5:13.0,J. Johnson makes 2-pt shot at rim (assist by K. Lowry),2,44-42,,
4:58.0,,,44-44,2,B. McLemore makes 2-pt shot from 1 ft (assist by R. Gay)
4:39.0,K. Lowry misses 2-pt shot from 3 ft,,44-44,,
4:38.0,,,44-44,,Defensive rebound by Team
4:38.0,G. Vasquez enters the game for T. Ross,,44-44,,
4:29.0,,,44-44,,Offensive foul by C. Landry
4:29.0,,,44-44,,Turnover by C. Landry (offensive foul)
4:29.0,Technical foul by A. Johnson,,44-44,,
4:29.0,,,44-45,1,O. Casspi makes technical free throw
4:15.0,A. Johnson makes 2-pt shot from 2 ft (assist by K. Lowry),2,46-45,,
3:59.0,,,46-45,,Turnover by O. Casspi (lost ball; steal by T. Hansbrough)
3:52.0,Shooting foul by C. Landry (drawn by K. Lowry),,46-45,,
3:52.0,K. Lowry makes free throw 1 of 2,1,47-45,,
3:52.0,,,47-45,,J. Thompson enters the game for O. Casspi
3:52.0,K. Lowry makes free throw 2 of 2,1,48-45,,
3:40.0,,,48-45,,Offensive foul by C. Landry
3:40.0,,,48-45,,Turnover by C. Landry (offensive foul)
3:40.0,,,48-45,,D. Collison enters the game for R. Sessions
3:40.0,,,48-45,,R. Evans enters the game for C. Landry
3:40.0,L. Williams enters the game for A. Johnson,,48-45,,
3:40.0,P. Patterson enters the game for K. Lowry,,48-45,,
3:19.0,G. Vasquez makes 2-pt shot from 2 ft,2,50-45,,
2:57.0,,,50-45,,R. Gay misses 2-pt shot from 18 ft
2:56.0,,,50-45,,Offensive rebound by J. Thompson
2:53.0,,,50-47,2,R. Gay makes 2-pt shot from 8 ft (assist by J. Thompson)
2:36.0,Shooting foul by B. McLemore (drawn by L. Williams),,50-47,,
2:36.0,Toronto full timeout,,50-47,,
2:36.0,L. Williams makes free throw 1 of 2,1,51-47,,
2:36.0,L. Williams makes free throw 2 of 2,1,52-47,,
2:21.0,,,52-49,2,R. Gay makes 2-pt shot at rim (assist by D. Collison)
2:02.0,J. Johnson makes 2-pt shot from 3 ft,2,54-49,,
1:48.0,,,54-51,2,B. McLemore makes 2-pt shot from 18 ft (assist by D. Collison)
1:30.0,J. Johnson misses 2-pt shot from 3 ft,,54-51,,
1:29.0,Offensive rebound by T. Hansbrough,,54-51,,
1:22.0,P. Patterson makes 3-pt shot from 24 ft (assist by G. Vasquez),3,57-51,,
1:03.0,,,57-53,2,R. Evans makes 2-pt shot from 5 ft
0:44.0,G. Vasquez misses 2-pt shot from 6 ft (block by J. Thompson),,57-53,,
0:42.0,,,57-53,,Defensive rebound by D. Collison
0:37.0,,,57-53,,D. Collison misses 2-pt shot from 4 ft
0:36.0,Defensive rebound by J. Johnson,,57-53,,
0:29.0,Turnover by G. Vasquez (bad pass),,57-53,,
0:06.0,,,57-55,2,J. Thompson makes 2-pt shot from 17 ft (assist by R. Gay)
0:00.0,L. Williams misses 3-pt shot from 25 ft,,57-55,,
0:00.0,Offensive rebound by Team,,57-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,K. Lowry misses 3-pt shot from 24 ft,,57-55,,
11:38.0,,,57-55,,Defensive rebound by D. Collison
11:38.0,,,57-55,,Offensive charge foul by O. Casspi
11:38.0,,,57-55,,Turnover by O. Casspi (offensive foul)
11:25.0,Shooting foul by J. Thompson (drawn by J. Valanciunas),,57-55,,
11:25.0,J. Valanciunas makes free throw 1 of 2,1,58-55,,
11:25.0,J. Valanciunas makes free throw 2 of 2,1,59-55,,
11:05.0,,,59-57,2,O. Casspi makes 2-pt shot from 3 ft (assist by R. Gay)
10:43.0,G. Vasquez makes 3-pt shot from 24 ft (assist by K. Lowry),3,62-57,,
10:19.0,,,62-59,2,B. McLemore makes 2-pt shot from 3 ft (assist by D. Collison)
10:19.0,,,62-59,,Shooting foul by K. Lowry (drawn by B. McLemore)
10:19.0,,,62-60,1,B. McLemore makes free throw 1 of 1
9:58.0,G. Vasquez makes 2-pt shot from 3 ft,2,64-60,,
9:51.0,,,64-60,,Shooting foul by G. Vasquez (drawn by D. Collison)
9:51.0,,,64-61,1,D. Collison makes free throw 1 of 2
9:51.0,,,64-62,1,D. Collison makes free throw 2 of 2
9:34.0,Shooting foul by J. Thompson (drawn by J. Valanciunas),,64-62,,
9:34.0,J. Valanciunas makes free throw 1 of 2,1,65-62,,
9:34.0,,,65-62,,R. Evans enters the game for J. Thompson
9:34.0,J. Valanciunas makes free throw 2 of 2,1,66-62,,
9:20.0,,,66-62,,D. Collison misses 2-pt shot from 20 ft
9:19.0,Defensive rebound by J. Valanciunas,,66-62,,
9:07.0,T. Ross makes 3-pt shot from 25 ft (assist by K. Lowry),3,69-62,,
8:44.0,Def 3 sec tech foul by J. Valanciunas,,69-62,,
8:44.0,,,69-63,1,R. Gay makes technical free throw
8:36.0,,,69-63,,D. Collison misses 2-pt shot from 1 ft
8:34.0,Defensive rebound by A. Johnson,,69-63,,
8:31.0,G. Vasquez makes 2-pt shot from 2 ft (assist by K. Lowry),2,71-63,,
8:16.0,,,71-65,2,B. McLemore makes 2-pt shot from 15 ft (assist by R. Gay)
8:05.0,Offensive foul by T. Ross,,71-65,,
8:05.0,Turnover by T. Ross (offensive foul),,71-65,,
8:05.0,J. Johnson enters the game for T. Ross,,71-65,,
7:49.0,,,71-65,,R. Gay misses 2-pt shot from 5 ft
7:48.0,,,71-65,,Offensive rebound by R. Evans
7:43.0,,,71-67,2,R. Evans makes 2-pt shot from 1 ft (assist by O. Casspi)
7:25.0,J. Valanciunas makes 2-pt shot from 16 ft (assist by G. Vasquez),2,73-67,,
7:09.0,Personal foul by A. Johnson (drawn by O. Casspi),,73-67,,
6:55.0,,,73-67,,Turnover by Team (shot clock)
6:43.0,G. Vasquez misses 2-pt shot from 18 ft,,73-67,,
6:42.0,,,73-67,,Defensive rebound by O. Casspi
6:34.0,,,73-69,2,R. Gay makes 2-pt shot from 9 ft (assist by O. Casspi)
6:13.0,K. Lowry makes 2-pt shot from 9 ft,2,75-69,,
6:08.0,,,75-69,,O. Casspi misses 2-pt shot from 4 ft
6:07.0,Defensive rebound by J. Johnson,,75-69,,
6:00.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by G. Vasquez),2,77-69,,
6:00.0,,,77-69,,Sacramento full timeout
6:00.0,P. Patterson enters the game for A. Johnson,,77-69,,
5:41.0,,,77-69,,B. McLemore misses 3-pt shot from 25 ft
5:40.0,Defensive rebound by G. Vasquez,,77-69,,
5:34.0,J. Johnson makes 2-pt shot from 2 ft (assist by G. Vasquez),2,79-69,,
5:18.0,,,79-69,,Turnover by D. Collison (bad pass; steal by K. Lowry)
5:12.0,Turnover by K. Lowry (traveling),,79-69,,
5:12.0,,,79-69,,R. Sessions enters the game for B. McLemore
5:12.0,,,79-69,,N. Stauskas enters the game for D. Collison
4:57.0,Personal foul by P. Patterson (drawn by O. Casspi),,79-69,,
4:46.0,Personal foul by K. Lowry (drawn by N. Stauskas),,79-69,,
4:46.0,L. Williams enters the game for G. Vasquez,,79-69,,
4:46.0,,,79-69,,N. Stauskas misses free throw 1 of 2
4:46.0,,,79-69,,Offensive rebound by Team
4:46.0,,,79-70,1,N. Stauskas makes free throw 2 of 2
4:33.0,,,79-70,,Personal foul by N. Stauskas (drawn by L. Williams)
4:27.0,K. Lowry makes 2-pt shot from 13 ft,2,81-70,,
4:06.0,,,81-72,2,R. Sessions makes 2-pt shot from 16 ft (assist by O. Casspi)
3:56.0,,,81-72,,Personal foul by R. Evans (drawn by J. Valanciunas)
3:46.0,J. Johnson makes 3-pt shot from 25 ft (assist by K. Lowry),3,84-72,,
3:26.0,,,84-72,,Turnover by R. Sessions (bad pass; steal by P. Patterson)
3:22.0,P. Patterson misses 2-pt shot at rim,,84-72,,
3:20.0,,,84-72,,Defensive rebound by O. Casspi
3:12.0,,,84-72,,Turnover by R. Gay (bad pass; steal by J. Johnson)
3:06.0,J. Johnson makes 2-pt shot from 6 ft,2,86-72,,
3:06.0,,,86-72,,Sacramento full timeout
3:06.0,G. Vasquez enters the game for K. Lowry,,86-72,,
2:53.0,,,86-72,,Shooting foul by L. Williams (drawn by N. Stauskas)
2:53.0,,,86-73,1,N. Stauskas makes free throw 1 of 2
2:53.0,,,86-74,1,N. Stauskas makes free throw 2 of 2
2:40.0,Turnover by G. Vasquez (bad pass),,86-74,,
2:40.0,Loose ball foul by J. Johnson (drawn by O. Casspi),,86-74,,
2:40.0,,,86-74,,O. Casspi misses free throw 1 of 2
2:40.0,,,86-74,,Offensive rebound by Team
2:40.0,,,86-74,,O. Casspi misses free throw 2 of 2
2:39.0,Defensive rebound by G. Vasquez,,86-74,,
2:23.0,L. Williams misses 2-pt shot from 6 ft,,86-74,,
2:23.0,Offensive rebound by Team,,86-74,,
2:23.0,,,86-74,,Loose ball foul by R. Evans (drawn by J. Valanciunas)
2:23.0,J. Valanciunas makes free throw 1 of 2,1,87-74,,
2:23.0,,,87-74,,D. Williams enters the game for O. Casspi
2:23.0,J. Valanciunas makes free throw 2 of 2,1,88-74,,
2:10.0,,,88-76,2,R. Sessions makes 2-pt shot from 5 ft
1:52.0,L. Williams misses 2-pt shot from 5 ft,,88-76,,
1:51.0,,,88-76,,Defensive rebound by R. Evans
1:43.0,,,88-76,,R. Gay misses 2-pt shot from 3 ft
1:43.0,,,88-76,,Offensive rebound by Team
1:43.0,Loose ball foul by G. Vasquez (drawn by R. Evans),,88-76,,
1:43.0,,,88-77,1,R. Evans makes free throw 1 of 2
1:43.0,,,88-78,1,R. Evans makes free throw 2 of 2
1:31.0,G. Vasquez misses 2-pt shot from 9 ft,,88-78,,
1:29.0,,,88-78,,Defensive rebound by R. Evans
1:22.0,,,88-81,3,D. Williams makes 3-pt shot from 23 ft (assist by R. Sessions)
1:08.0,P. Patterson misses 2-pt shot from 4 ft,,88-81,,
1:07.0,Offensive rebound by P. Patterson,,88-81,,
1:05.0,P. Patterson makes 2-pt shot from 3 ft,2,90-81,,
0:50.0,,,90-83,2,D. Williams makes 2-pt shot from 3 ft (assist by R. Gay)
0:50.0,Toronto full timeout,,90-83,,
0:33.0,L. Williams misses 3-pt shot from 24 ft,,90-83,,
0:33.0,Offensive rebound by P. Patterson,,90-83,,
0:31.0,P. Patterson makes 2-pt shot from 4 ft,2,92-83,,
0:15.0,,,92-83,,D. Williams misses 3-pt shot from 23 ft
0:13.0,Defensive rebound by Team,,92-83,,
0:00.0,L. Williams misses 2-pt shot from 12 ft,,92-83,,
0:00.0,Offensive rebound by Team,,92-83,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,92-83,,Shooting foul by J. Johnson (drawn by R. Sessions)
11:40.0,,,92-84,1,R. Sessions makes free throw 1 of 2
11:40.0,L. Williams enters the game for J. Johnson,,92-84,,
11:40.0,,,92-85,1,R. Sessions makes free throw 2 of 2
11:21.0,T. Ross misses 2-pt shot from 8 ft,,92-85,,
11:20.0,Offensive rebound by A. Johnson,,92-85,,
11:20.0,,,92-85,,Personal foul by R. Evans (drawn by A. Johnson)
11:15.0,G. Vasquez makes 3-pt shot from 24 ft,3,95-85,,
10:57.0,,,95-87,2,D. Williams makes 2-pt shot from 2 ft (assist by R. Evans)
10:32.0,P. Patterson makes 2-pt shot from 8 ft (assist by G. Vasquez),2,97-87,,
10:18.0,,,97-87,,R. Sessions misses 2-pt shot from 8 ft
10:16.0,,,97-87,,Offensive rebound by R. Evans
10:15.0,,,97-87,,Shooting foul by P. Patterson (drawn by D. Williams)
10:15.0,,,97-87,,D. Williams misses free throw 1 of 2
10:15.0,,,97-87,,Offensive rebound by Team
10:15.0,,,97-87,,J. Thompson enters the game for N. Stauskas
10:15.0,K. Lowry enters the game for L. Williams,,97-87,,
10:15.0,,,97-88,1,D. Williams makes free throw 2 of 2
10:05.0,Shooting foul by D. Williams (drawn by A. Johnson),,97-88,,
10:05.0,A. Johnson makes free throw 1 of 2,1,98-88,,
10:05.0,A. Johnson makes free throw 2 of 2,1,99-88,,
9:47.0,,,99-90,2,D. Williams makes 2-pt shot from 1 ft (assist by R. Sessions)
9:28.0,P. Patterson misses 3-pt shot from 24 ft,,99-90,,
9:27.0,,,99-90,,Defensive rebound by D. Williams
9:12.0,,,99-90,,B. McLemore misses 2-pt shot from 19 ft
9:12.0,,,99-90,,Offensive rebound by Team
9:12.0,Loose ball foul by A. Johnson (drawn by R. Evans),,99-90,,
9:12.0,,,99-90,,R. Gay enters the game for R. Evans
9:12.0,J. Valanciunas enters the game for A. Johnson,,99-90,,
8:58.0,,,99-93,3,R. Gay makes 3-pt shot from 23 ft (assist by R. Sessions)
8:43.0,K. Lowry makes 2-pt shot from 2 ft,2,101-93,,
8:25.0,,,101-93,,B. McLemore misses 2-pt shot from 17 ft
8:24.0,,,101-93,,Offensive rebound by D. Williams
8:24.0,,,101-95,2,D. Williams makes 2-pt shot at rim
8:00.0,T. Ross misses 3-pt shot from 24 ft,,101-95,,
7:57.0,,,101-95,,Defensive rebound by R. Sessions
7:50.0,,,101-95,,R. Sessions misses 2-pt shot from 17 ft
7:50.0,,,101-95,,Offensive rebound by Team
7:50.0,Loose ball foul by G. Vasquez (drawn by J. Thompson),,101-95,,
7:50.0,Official timeout,,101-95,,
7:50.0,J. Johnson enters the game for G. Vasquez,,101-95,,
7:50.0,A. Johnson enters the game for P. Patterson,,101-95,,
7:38.0,,,101-95,,D. Williams misses 2-pt shot from 5 ft
7:37.0,Defensive rebound by J. Johnson,,101-95,,
7:29.0,T. Ross makes 2-pt shot from 6 ft (assist by K. Lowry),2,103-95,,
7:13.0,,,103-97,2,D. Williams makes 2-pt shot from 2 ft (assist by B. McLemore)
7:13.0,,,103-97,,Shooting foul by J. Valanciunas (drawn by D. Williams)
7:13.0,,,103-97,,D. Williams misses free throw 1 of 1
7:08.0,Defensive rebound by J. Valanciunas,,103-97,,
6:52.0,K. Lowry misses 2-pt shot from 12 ft,,103-97,,
6:52.0,,,103-97,,Defensive rebound by R. Gay
6:46.0,,,103-97,,B. McLemore misses 3-pt shot from 23 ft
6:43.0,,,103-97,,Offensive rebound by D. Williams
6:43.0,,,103-99,2,D. Williams makes 2-pt shot at rim
6:28.0,K. Lowry misses 2-pt shot from 8 ft,,103-99,,
6:27.0,Offensive rebound by Team,,103-99,,
6:27.0,,,103-99,,Loose ball foul by J. Thompson (drawn by K. Lowry)
6:14.0,J. Valanciunas misses 2-pt shot from 6 ft,,103-99,,
6:13.0,Offensive rebound by J. Johnson,,103-99,,
6:13.0,J. Johnson misses 2-pt shot from 1 ft,,103-99,,
6:12.0,Offensive rebound by A. Johnson,,103-99,,
6:12.0,A. Johnson misses 2-pt shot from 3 ft,,103-99,,
6:10.0,Offensive rebound by T. Ross,,103-99,,
5:57.0,K. Lowry makes 2-pt shot from 2 ft,2,105-99,,
5:38.0,,,105-101,2,R. Gay makes 2-pt shot from 10 ft
5:29.0,Toronto full timeout,,105-101,,
5:29.0,,,105-101,,R. Evans enters the game for J. Thompson
5:19.0,A. Johnson makes 2-pt shot from 2 ft (assist by J. Valanciunas),2,107-101,,
5:02.0,,,107-101,,Offensive charge foul by R. Gay
5:02.0,,,107-101,,Turnover by R. Gay (offensive foul)
4:39.0,K. Lowry misses 2-pt shot from 3 ft,,107-101,,
4:39.0,Offensive rebound by Team,,107-101,,
4:34.0,J. Valanciunas makes 2-pt shot from 2 ft (assist by A. Johnson),2,109-101,,
4:18.0,,,109-101,,R. Sessions misses 2-pt shot from 3 ft
4:17.0,Defensive rebound by A. Johnson,,109-101,,
4:02.0,T. Ross misses 2-pt shot from 11 ft,,109-101,,
4:02.0,,,109-101,,Defensive rebound by Team
4:02.0,Loose ball foul by J. Valanciunas (drawn by R. Evans),,109-101,,
4:02.0,,,109-101,,R. Evans misses free throw 1 of 2
