time,Dallas,pts.away,score,pts.home,Chicago
5:35.0,Violation by T. Chandler (kicked ball),,15-12,,
5:35.0,,,15-12,,Chicago full timeout
5:35.0,B. Wright enters the game for D. Nowitzki,,15-12,,
5:25.0,,,15-12,,M. Dunleavy misses 2-pt shot from 3 ft (block by B. Wright)
5:22.0,,,15-12,,Offensive rebound by P. Gasol
5:20.0,,,15-12,,Turnover by P. Gasol (lost ball; steal by J. Nelson)
5:14.0,Turnover by C. Parsons (bad pass; steal by M. Dunleavy),,15-12,,
5:11.0,,,15-14,2,D. Rose makes 2-pt shot from 3 ft (assist by M. Dunleavy)
4:56.0,Turnover by T. Chandler (bad pass),,15-14,,
4:56.0,,,15-14,,N. Mirotic enters the game for J. Noah
4:56.0,,,15-14,,K. Hinrich enters the game for D. Rose
4:37.0,,,15-14,,P. Gasol misses 2-pt shot from 5 ft
4:36.0,Defensive rebound by T. Chandler,,15-14,,
4:25.0,,,15-14,,Personal foul by M. Dunleavy (drawn by C. Parsons)
4:18.0,J. Nelson misses 3-pt shot from 24 ft,,15-14,,
4:17.0,,,15-14,,Defensive rebound by N. Mirotic
4:03.0,,,15-14,,Turnover by P. Gasol (lost ball)
4:03.0,D. Harris enters the game for J. Nelson,,15-14,,
4:03.0,A. Aminu enters the game for T. Chandler,,15-14,,
3:47.0,A. Aminu misses 2-pt shot from 21 ft,,15-14,,
3:46.0,,,15-14,,Defensive rebound by N. Mirotic
3:32.0,,,15-14,,Shooting foul by D. Harris (drawn by N. Mirotic)
3:32.0,,,15-15,1,N. Mirotic makes free throw 1 of 2
3:32.0,,,15-16,1,N. Mirotic makes free throw 2 of 2
3:21.0,M. Ellis makes 2-pt shot from 14 ft,2,17-16,,
3:07.0,,,17-16,,Shooting foul by A. Aminu (drawn by N. Mirotic)
3:07.0,,,17-16,,N. Mirotic misses free throw 1 of 2
3:07.0,,,17-16,,Offensive rebound by Team
3:07.0,Dallas full timeout,,17-16,,
3:07.0,,,17-17,1,N. Mirotic makes free throw 2 of 2
2:54.0,Shooting foul by M. Dunleavy (drawn by C. Parsons),,17-17,,
2:54.0,C. Parsons makes free throw 1 of 2,1,18-17,,
2:54.0,C. Parsons misses free throw 2 of 2,,18-17,,
2:52.0,,,18-17,,Defensive rebound by J. Butler
2:37.0,,,18-20,3,M. Dunleavy makes 3-pt shot from 25 ft (assist by J. Butler)
2:18.0,C. Parsons misses 2-pt shot from 6 ft (block by N. Mirotic),,18-20,,
2:18.0,,,18-20,,Defensive rebound by Team
2:18.0,Jump ball: N. Mirotic vs. C. Parsons (P. Gasol gains possession),,,,Jump ball: N. Mirotic vs. C. Parsons (P. Gasol gains possession)
2:13.0,Personal foul by M. Ellis (drawn by J. Butler),,18-20,,
2:13.0,,,18-20,,J. Butler misses free throw 1 of 2
2:13.0,,,18-20,,Offensive rebound by Team
2:13.0,J. Barea enters the game for M. Ellis,,18-20,,
2:13.0,D. Nowitzki enters the game for C. Parsons,,18-20,,
2:13.0,,,18-20,,J. Noah enters the game for P. Gasol
2:13.0,,,18-20,,J. Butler misses free throw 2 of 2
2:12.0,Defensive rebound by B. Wright,,18-20,,
1:51.0,J. Barea misses 2-pt shot from 3 ft,,18-20,,
1:51.0,Offensive rebound by B. Wright,,18-20,,
1:51.0,B. Wright misses 2-pt shot from 1 ft,,18-20,,
1:51.0,Offensive rebound by Team,,18-20,,
1:51.0,,,18-20,,Loose ball foul by J. Noah (drawn by B. Wright)
1:51.0,,,18-20,,A. Brooks enters the game for J. Butler
1:43.0,,,18-20,,Personal foul by N. Mirotic (drawn by D. Nowitzki)
1:43.0,D. Nowitzki makes free throw 1 of 2,1,19-20,,
1:43.0,D. Nowitzki makes free throw 2 of 2,1,20-20,,
1:34.0,,,20-20,,Shooting foul by D. Nowitzki (drawn by A. Brooks)
1:34.0,,,20-21,1,A. Brooks makes free throw 1 of 2
1:34.0,R. Jefferson enters the game for D. Nowitzki,,20-21,,
1:34.0,,,20-22,1,A. Brooks makes free throw 2 of 2
1:25.0,D. Harris misses 2-pt shot from 22 ft,,20-22,,
1:24.0,,,20-22,,Defensive rebound by N. Mirotic
1:12.0,,,20-24,2,N. Mirotic makes 2-pt shot from 2 ft (assist by A. Brooks)
1:01.0,,,20-24,,Personal foul by J. Noah (drawn by J. Barea)
1:01.0,J. Barea makes free throw 1 of 2,1,21-24,,
1:01.0,,,21-24,,P. Gasol enters the game for J. Noah
1:01.0,T. Chandler enters the game for A. Aminu,,21-24,,
1:01.0,J. Barea makes free throw 2 of 2,1,22-24,,
0:40.0,,,22-24,,P. Gasol misses 2-pt shot from 4 ft
0:38.0,Defensive rebound by B. Wright,,22-24,,
0:33.0,D. Harris makes 3-pt shot from 25 ft,3,25-24,,
0:17.0,Personal foul by R. Jefferson (drawn by N. Mirotic),,25-24,,
0:17.0,,,25-25,1,N. Mirotic makes free throw 1 of 2
0:17.0,C. Parsons enters the game for T. Chandler,,25-25,,
0:17.0,,,25-26,1,N. Mirotic makes free throw 2 of 2
0:00.0,D. Harris misses 2-pt shot from 19 ft,,25-26,,
0:00.0,Offensive rebound by Team,,25-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,25-26,,Turnover by A. Brooks (bad pass; steal by B. Wright)
11:40.0,,,25-26,,Personal foul by J. Noah (drawn by J. Barea)
11:40.0,,,25-26,,P. Gasol enters the game for J. Noah
11:30.0,Turnover by J. Barea (bad pass),,25-26,,
11:12.0,,,25-28,2,P. Gasol makes 2-pt shot from 7 ft (assist by A. Brooks)
11:00.0,D. Harris makes 3-pt shot from 25 ft (assist by R. Jefferson),3,28-28,,
10:39.0,,,28-30,2,P. Gasol makes 2-pt shot from 11 ft (assist by N. Mirotic)
10:32.0,Shooting foul by T. Snell (drawn by B. Wright),,28-30,,
10:32.0,B. Wright makes free throw 1 of 2,1,29-30,,
10:32.0,B. Wright makes free throw 2 of 2,1,30-30,,
10:18.0,,,30-30,,Turnover by N. Mirotic (offensive foul)
10:18.0,,,30-30,,Offensive charge foul by N. Mirotic
10:09.0,J. Barea makes 2-pt shot from 1 ft,2,32-30,,
10:00.0,,,32-30,,A. Brooks misses 2-pt shot from 2 ft
9:59.0,Defensive rebound by D. Nowitzki,,32-30,,
9:37.0,J. Barea makes 2-pt shot from 12 ft (assist by D. Nowitzki),2,34-30,,
9:28.0,,,34-30,,Chicago full timeout
9:28.0,,,34-30,,J. Butler enters the game for T. Snell
9:24.0,,,34-30,,Turnover by A. Brooks (bad pass)
9:08.0,D. Nowitzki makes 2-pt shot from 20 ft (assist by D. Harris),2,36-30,,
9:00.0,Personal foul by B. Wright (drawn by P. Gasol),,36-30,,
8:50.0,,,36-30,,P. Gasol misses 2-pt shot from 13 ft
8:49.0,Defensive rebound by R. Jefferson,,36-30,,
8:41.0,D. Harris makes 3-pt shot from 23 ft (assist by D. Nowitzki),3,39-30,,
8:21.0,,,39-30,,N. Mirotic misses 3-pt shot from 25 ft
8:19.0,Defensive rebound by D. Harris,,39-30,,
8:08.0,D. Harris makes 3-pt shot from 24 ft (assist by R. Jefferson),3,42-30,,
7:46.0,,,42-32,2,J. Butler makes 2-pt shot from 2 ft (assist by K. Hinrich)
7:36.0,J. Barea makes 2-pt shot from 2 ft,2,44-32,,
7:11.0,,,44-32,,N. Mirotic misses 2-pt shot from 2 ft
7:10.0,,,44-32,,Offensive rebound by Team
7:10.0,,,44-32,,D. Rose enters the game for A. Brooks
7:10.0,C. Parsons enters the game for D. Nowitzki,,44-32,,
7:10.0,M. Ellis enters the game for B. Wright,,44-32,,
7:10.0,T. Chandler enters the game for J. Barea,,44-32,,
7:06.0,,,44-32,,J. Butler misses 2-pt shot from 17 ft
7:04.0,Defensive rebound by D. Harris,,44-32,,
6:58.0,T. Chandler misses 2-pt shot from 2 ft,,44-32,,
6:57.0,,,44-32,,Defensive rebound by D. Rose
6:55.0,,,44-32,,Shooting foul by M. Ellis (drawn by K. Hinrich)
6:55.0,,,44-33,1,K. Hinrich makes free throw 1 of 2
6:55.0,,,44-34,1,K. Hinrich makes free throw 2 of 2
6:41.0,M. Ellis misses 2-pt shot from 19 ft,,44-34,,
6:40.0,,,44-34,,Defensive rebound by P. Gasol
6:33.0,,,44-34,,D. Rose misses 2-pt shot from 1 ft
6:32.0,,,44-34,,Offensive rebound by P. Gasol
6:32.0,,,44-34,,P. Gasol misses 2-pt shot at rim
6:27.0,,,44-34,,Offensive rebound by N. Mirotic
6:27.0,,,44-36,2,D. Rose makes 2-pt shot from 1 ft (assist by N. Mirotic)
6:27.0,Dallas full timeout,,44-36,,
6:11.0,C. Parsons misses 2-pt shot from 2 ft,,44-36,,
6:10.0,,,44-36,,Defensive rebound by P. Gasol
6:00.0,,,44-36,,J. Butler misses 3-pt shot from 25 ft
5:59.0,Defensive rebound by T. Chandler,,44-36,,
5:50.0,Shooting foul by P. Gasol (drawn by T. Chandler),,44-36,,
5:50.0,T. Chandler misses free throw 1 of 2,,44-36,,
5:50.0,Offensive rebound by Team,,44-36,,
5:50.0,,,44-36,,M. Dunleavy enters the game for K. Hinrich
5:50.0,J. Nelson enters the game for D. Harris,,44-36,,
5:50.0,T. Chandler makes free throw 2 of 2,1,45-36,,
5:37.0,,,45-36,,J. Butler misses 2-pt shot from 1 ft (block by T. Chandler)
5:35.0,,,45-36,,Offensive rebound by J. Butler
5:24.0,,,45-36,,P. Gasol misses 2-pt shot from 7 ft
5:23.0,,,45-36,,Offensive rebound by Team
5:20.0,,,45-36,,M. Dunleavy misses 3-pt shot from 25 ft
5:19.0,Defensive rebound by T. Chandler,,45-36,,
5:09.0,M. Ellis makes 2-pt shot from 2 ft (assist by T. Chandler),2,47-36,,
4:53.0,,,47-36,,Shooting foul by R. Jefferson (drawn by N. Mirotic)
4:53.0,,,47-37,1,N. Mirotic makes free throw 1 of 2
4:53.0,,,47-38,1,N. Mirotic makes free throw 2 of 2
4:44.0,,,47-38,,Personal foul by D. Rose (drawn by J. Nelson)
4:29.0,C. Parsons misses 2-pt shot from 2 ft (block by M. Dunleavy),,47-38,,
4:27.0,Offensive rebound by C. Parsons,,47-38,,
4:27.0,C. Parsons makes 2-pt shot from 1 ft,2,49-38,,
4:11.0,,,49-38,,D. Rose misses 3-pt shot from 24 ft
4:09.0,Defensive rebound by T. Chandler,,49-38,,
4:03.0,M. Ellis makes 2-pt shot from 1 ft (assist by T. Chandler),2,51-38,,
3:58.0,,,51-38,,Chicago full timeout
3:58.0,,,51-38,,K. Hinrich enters the game for N. Mirotic
3:45.0,,,51-40,2,J. Butler makes 2-pt shot from 19 ft (assist by P. Gasol)
3:33.0,M. Ellis misses 2-pt shot from 6 ft,,51-40,,
3:32.0,Offensive rebound by T. Chandler,,51-40,,
3:32.0,Turnover by T. Chandler (offensive goaltending),,51-40,,
3:17.0,,,51-40,,D. Rose misses 2-pt shot from 5 ft (block by J. Nelson)
3:15.0,Defensive rebound by J. Nelson,,51-40,,
3:03.0,R. Jefferson misses 3-pt shot from 24 ft,,51-40,,
3:02.0,Offensive rebound by T. Chandler,,51-40,,
3:02.0,Shooting foul by M. Dunleavy (drawn by T. Chandler),,51-40,,
3:02.0,T. Chandler misses free throw 1 of 2,,51-40,,
3:02.0,Offensive rebound by Team,,51-40,,
3:02.0,D. Nowitzki enters the game for R. Jefferson,,51-40,,
3:02.0,,,51-40,,T. Snell enters the game for M. Dunleavy
3:02.0,T. Chandler makes free throw 2 of 2,1,52-40,,
2:51.0,,,52-42,2,P. Gasol makes 2-pt shot from 2 ft (assist by D. Rose)
2:36.0,Shooting foul by T. Snell (drawn by C. Parsons),,52-42,,
2:36.0,C. Parsons makes free throw 1 of 2,1,53-42,,
2:36.0,C. Parsons makes free throw 2 of 2,1,54-42,,
2:24.0,,,54-42,,Turnover by D. Rose (bad pass; steal by M. Ellis)
2:14.0,J. Nelson misses 3-pt shot from 25 ft,,54-42,,
2:14.0,Offensive rebound by T. Chandler,,54-42,,
2:14.0,,,54-42,,Personal foul by T. Snell (drawn by T. Chandler)
2:14.0,T. Chandler misses free throw 1 of 2,,54-42,,
2:14.0,Offensive rebound by Team,,54-42,,
2:14.0,T. Chandler makes free throw 2 of 2,1,55-42,,
1:56.0,,,55-44,2,J. Butler makes 2-pt shot from 11 ft (assist by D. Rose)
1:56.0,,,55-44,,Shooting foul by J. Nelson (drawn by J. Butler)
1:56.0,,,55-44,,J. Butler misses free throw 1 of 1
1:55.0,Defensive rebound by T. Chandler,,55-44,,
1:37.0,D. Nowitzki misses 2-pt shot from 12 ft,,55-44,,
1:36.0,,,55-44,,Defensive rebound by P. Gasol
1:29.0,,,55-44,,Turnover by D. Rose (step out of bounds)
1:14.0,D. Nowitzki misses 2-pt shot from 15 ft,,55-44,,
1:14.0,,,55-44,,Defensive rebound by Team
1:14.0,Loose ball foul by T. Chandler (drawn by P. Gasol),,55-44,,
1:14.0,,,55-45,1,P. Gasol makes free throw 1 of 2
1:14.0,,,55-46,1,P. Gasol makes free throw 2 of 2
1:00.0,M. Ellis makes 2-pt shot from 16 ft,2,57-46,,
0:43.0,,,57-46,,J. Butler misses 2-pt shot from 6 ft
0:41.0,Defensive rebound by D. Nowitzki,,57-46,,
0:36.0,,,57-46,,Shooting block foul by J. Butler (drawn by C. Parsons)
0:36.0,C. Parsons makes free throw 1 of 2,1,58-46,,
0:36.0,R. Jefferson enters the game for D. Nowitzki,,58-46,,
0:36.0,B. Wright enters the game for T. Chandler,,58-46,,
0:36.0,C. Parsons makes free throw 2 of 2,1,59-46,,
0:28.0,,,59-46,,P. Gasol misses 2-pt shot from 3 ft (block by B. Wright)
0:28.0,,,59-46,,Offensive rebound by D. Rose
0:28.0,Personal foul by R. Jefferson (drawn by D. Rose),,59-46,,
0:28.0,,,59-46,,D. Rose misses free throw 1 of 2
0:28.0,,,59-46,,Offensive rebound by Team
0:28.0,T. Chandler enters the game for B. Wright,,59-46,,
0:28.0,D. Harris enters the game for R. Jefferson,,59-46,,
0:28.0,,,59-47,1,D. Rose makes free throw 2 of 2
0:04.0,C. Parsons misses 3-pt shot from 25 ft,,59-47,,
0:03.0,,,59-47,,Defensive rebound by D. Rose
0:00.0,,,59-47,,D. Rose misses 3-pt shot from 27 ft
0:00.0,,,59-47,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,59-49,2,M. Dunleavy makes 2-pt shot from 20 ft (assist by J. Butler)
11:18.0,Turnover by J. Nelson (step out of bounds),,59-49,,
10:56.0,,,59-51,2,P. Gasol makes 2-pt shot from 9 ft (assist by D. Rose)
10:45.0,J. Nelson misses 2-pt shot from 9 ft,,59-51,,
10:44.0,,,59-51,,Defensive rebound by P. Gasol
10:40.0,,,59-51,,J. Butler misses 2-pt shot from 2 ft
10:38.0,Defensive rebound by J. Nelson,,59-51,,
10:30.0,Turnover by M. Ellis (lost ball; steal by J. Noah),,59-51,,
10:26.0,,,59-53,2,J. Butler makes 2-pt shot from 2 ft (assist by J. Noah)
10:25.0,Dallas full timeout,,59-53,,
10:03.0,M. Ellis misses 3-pt shot from 27 ft,,59-53,,
10:02.0,,,59-53,,Defensive rebound by J. Butler
9:55.0,,,59-56,3,D. Rose makes 3-pt shot from 24 ft (assist by J. Butler)
9:33.0,M. Ellis makes 2-pt shot from 3 ft (assist by D. Nowitzki),2,61-56,,
9:13.0,,,61-56,,Turnover by J. Noah (bad pass)
9:00.0,M. Ellis misses 2-pt shot from 6 ft,,61-56,,
8:58.0,,,61-56,,Defensive rebound by M. Dunleavy
8:50.0,,,61-56,,M. Dunleavy misses 3-pt shot from 25 ft
8:49.0,,,61-56,,Offensive rebound by J. Noah
8:46.0,,,61-56,,M. Dunleavy misses 3-pt shot from 25 ft
8:45.0,Defensive rebound by T. Chandler,,61-56,,
8:27.0,D. Nowitzki misses 2-pt shot from 17 ft,,61-56,,
8:25.0,,,61-56,,Defensive rebound by P. Gasol
8:19.0,,,61-59,3,D. Rose makes 3-pt shot from 24 ft
8:01.0,Turnover by J. Nelson (bad pass; steal by J. Noah),,61-59,,
7:57.0,,,61-61,2,M. Dunleavy makes 2-pt shot from 1 ft (assist by J. Noah)
7:56.0,Dallas full timeout,,61-61,,
7:44.0,Shooting foul by M. Dunleavy (drawn by M. Ellis),,61-61,,
7:44.0,M. Ellis makes free throw 1 of 2,1,62-61,,
7:44.0,M. Ellis makes free throw 2 of 2,1,63-61,,
7:26.0,,,63-63,2,J. Butler makes 2-pt shot from 3 ft
7:19.0,M. Ellis makes 2-pt shot at rim,2,65-63,,
7:05.0,,,65-65,2,M. Dunleavy makes 2-pt shot from 8 ft (assist by D. Rose)
6:41.0,C. Parsons makes 3-pt shot from 24 ft (assist by J. Nelson),3,68-65,,
6:30.0,,,68-65,,Turnover by D. Rose (bad pass; steal by C. Parsons)
6:27.0,C. Parsons makes 2-pt shot at rim,2,70-65,,
6:01.0,,,70-65,,D. Rose misses 3-pt shot from 25 ft
6:00.0,,,70-65,,Offensive rebound by J. Noah
5:58.0,,,70-65,,P. Gasol misses 2-pt shot from 12 ft
5:57.0,Defensive rebound by Team,,70-65,,
5:46.0,M. Ellis makes 2-pt shot from 19 ft (assist by J. Nelson),2,72-65,,
5:27.0,,,72-65,,Turnover by J. Noah (bad pass)
5:17.0,T. Chandler makes 2-pt shot at rim (assist by D. Nowitzki),2,74-65,,
5:17.0,,,74-65,,Chicago full timeout
5:17.0,B. Wright enters the game for D. Nowitzki,,74-65,,
5:00.0,Personal foul by M. Ellis (drawn by P. Gasol),,74-65,,
5:00.0,,,74-65,,N. Mirotic enters the game for J. Noah
5:00.0,,,74-65,,K. Hinrich enters the game for D. Rose
4:47.0,,,74-65,,J. Butler misses 3-pt shot from 26 ft
4:45.0,Defensive rebound by T. Chandler,,74-65,,
4:32.0,M. Ellis makes 2-pt shot from 19 ft (assist by T. Chandler),2,76-65,,
4:18.0,Personal foul by T. Chandler (drawn by P. Gasol),,76-65,,
4:07.0,,,76-67,2,P. Gasol makes 2-pt shot from 4 ft
4:07.0,,,76-67,,Shooting foul by T. Chandler (drawn by P. Gasol)
4:07.0,A. Aminu enters the game for T. Chandler,,76-67,,
4:07.0,,,76-68,1,P. Gasol makes free throw 1 of 1
3:48.0,Turnover by A. Aminu (bad pass; steal by P. Gasol),,76-68,,
3:38.0,,,76-68,,K. Hinrich misses 2-pt shot from 3 ft (block by B. Wright)
3:36.0,Defensive rebound by C. Parsons,,76-68,,
3:22.0,M. Ellis misses 3-pt shot from 24 ft,,76-68,,
3:21.0,,,76-68,,Defensive rebound by P. Gasol
3:13.0,,,76-68,,Turnover by K. Hinrich (bad pass; steal by M. Ellis)
3:07.0,M. Ellis makes 2-pt shot from 1 ft,2,78-68,,
2:47.0,,,78-68,,J. Butler misses 2-pt shot from 13 ft
2:45.0,Defensive rebound by C. Parsons,,78-68,,
2:39.0,C. Parsons misses 2-pt shot from 3 ft,,78-68,,
2:38.0,,,78-68,,Defensive rebound by J. Butler
2:34.0,D. Harris enters the game for J. Nelson,,78-68,,
2:31.0,,,78-70,2,M. Dunleavy makes 2-pt shot from 17 ft (assist by J. Butler)
2:13.0,Turnover by M. Ellis (bad pass; steal by K. Hinrich),,78-70,,
2:07.0,,,78-72,2,M. Dunleavy makes 2-pt shot from 21 ft (assist by K. Hinrich)
1:44.0,M. Ellis misses 2-pt shot from 19 ft,,78-72,,
1:43.0,,,78-72,,Defensive rebound by P. Gasol
1:30.0,,,78-72,,J. Butler misses 2-pt shot from 10 ft
1:29.0,Defensive rebound by A. Aminu,,78-72,,
1:11.0,B. Wright makes 2-pt shot from 8 ft (assist by D. Harris),2,80-72,,
0:51.0,,,80-72,,K. Hinrich misses 2-pt shot from 19 ft
0:49.0,Defensive rebound by D. Harris,,80-72,,
0:41.0,M. Ellis misses 3-pt shot from 25 ft,,80-72,,
0:40.0,,,80-72,,Defensive rebound by K. Hinrich
0:37.0,,,80-72,,Shooting foul by B. Wright (drawn by M. Dunleavy)
0:37.0,,,80-73,1,M. Dunleavy makes free throw 1 of 2
0:37.0,D. Nowitzki enters the game for C. Parsons,,80-73,,
0:37.0,R. Jefferson enters the game for A. Aminu,,80-73,,
0:37.0,,,80-73,,A. Brooks enters the game for P. Gasol
0:37.0,,,80-73,,J. Noah enters the game for J. Butler
0:37.0,,,80-74,1,M. Dunleavy makes free throw 2 of 2
0:15.0,M. Ellis misses 2-pt shot from 21 ft,,80-74,,
0:14.0,,,80-74,,Defensive rebound by A. Brooks
0:01.0,,,80-74,,N. Mirotic misses 3-pt shot from 23 ft
0:00.0,,,80-74,,Offensive rebound by J. Noah
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,D. Harris makes 3-pt shot from 25 ft (assist by B. Wright),3,83-74,,
11:22.0,,,83-76,2,N. Mirotic makes 2-pt shot from 1 ft
11:01.0,R. Jefferson makes 3-pt shot from 25 ft (assist by D. Nowitzki),3,86-76,,
10:38.0,,,86-76,,N. Mirotic misses 2-pt shot from 1 ft
10:37.0,,,86-76,,Offensive rebound by J. Noah
10:37.0,,,86-78,2,J. Noah makes 2-pt shot at rim
10:23.0,J. Barea misses 2-pt shot from 1 ft,,86-78,,
10:22.0,,,86-78,,Defensive rebound by A. Brooks
10:17.0,,,86-80,2,N. Mirotic makes 2-pt shot from 2 ft (assist by A. Brooks)
9:52.0,D. Nowitzki misses 3-pt shot from 25 ft,,86-80,,
9:51.0,,,86-80,,Defensive rebound by J. Noah
9:37.0,,,86-83,3,K. Hinrich makes 3-pt shot from 23 ft (assist by M. Dunleavy)
9:36.0,Dallas full timeout,,86-83,,
9:24.0,D. Nowitzki misses 2-pt shot from 16 ft,,86-83,,
9:22.0,Offensive rebound by J. Barea,,86-83,,
9:13.0,J. Barea misses 3-pt shot from 25 ft,,86-83,,
9:11.0,Offensive rebound by R. Jefferson,,86-83,,
9:02.0,,,86-83,,Violation by J. Noah (kicked ball)
8:52.0,J. Barea makes 2-pt shot from 2 ft,2,88-83,,
8:35.0,,,88-83,,M. Dunleavy misses 3-pt shot from 25 ft
8:34.0,Defensive rebound by B. Wright,,88-83,,
8:20.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by D. Harris),2,90-83,,
8:02.0,,,90-85,2,A. Brooks makes 2-pt shot from 18 ft (assist by J. Noah)
7:44.0,Offensive charge foul by R. Jefferson,,90-85,,
7:44.0,Turnover by R. Jefferson (offensive foul),,90-85,,
7:30.0,,,90-88,3,K. Hinrich makes 3-pt shot from 23 ft (assist by A. Brooks)
7:09.0,D. Harris makes 3-pt shot from 25 ft (assist by D. Nowitzki),3,93-88,,
6:57.0,,,93-90,2,N. Mirotic makes 2-pt shot from 2 ft (assist by J. Noah)
6:37.0,J. Barea makes 3-pt shot from 24 ft (assist by D. Nowitzki),3,96-90,,
6:20.0,,,96-90,,Shooting foul by J. Barea (drawn by A. Brooks)
6:20.0,,,96-91,1,A. Brooks makes free throw 1 of 2
6:20.0,T. Chandler enters the game for D. Nowitzki,,96-91,,
6:20.0,C. Parsons enters the game for J. Barea,,96-91,,
6:20.0,M. Ellis enters the game for R. Jefferson,,96-91,,
6:20.0,,,96-91,,P. Gasol enters the game for J. Noah
6:20.0,,,96-92,1,A. Brooks makes free throw 2 of 2
6:03.0,M. Ellis misses 2-pt shot from 9 ft,,96-92,,
6:02.0,,,96-92,,Defensive rebound by P. Gasol
5:50.0,,,96-94,2,M. Dunleavy makes 2-pt shot from 6 ft
