time,New York,pts.away,score,pts.home,Atlanta
1:26.0,C. Anthony makes 2-pt shot from 18 ft,2,28-20,,
1:08.0,,,28-20,,M. Scott misses 3-pt shot from 25 ft
1:06.0,Defensive rebound by Team,,28-20,,
1:06.0,,,28-20,,A. Horford enters the game for P. Antic
1:06.0,,,28-20,,K. Korver enters the game for D. Carroll
0:52.0,,,28-20,,Personal foul by A. Horford (drawn by A. Stoudemire)
0:48.0,J. Smith misses 2-pt shot from 10 ft,,28-20,,
0:46.0,Offensive rebound by C. Anthony,,28-20,,
0:45.0,C. Anthony makes 2-pt shot from 11 ft,2,30-20,,
0:30.0,,,30-20,,D. Schroder misses 2-pt shot from 2 ft (block by A. Stoudemire)
0:28.0,Defensive rebound by J. Smith,,30-20,,
0:10.0,J. Smith makes 2-pt shot from 16 ft (assist by I. Shumpert),2,32-20,,
0:01.0,,,32-20,,Turnover by T. Sefolosha (bad pass; steal by J. Smith)
0:00.0,J. Smith misses 3-pt shot from 50 ft,,32-20,,
0:00.0,Offensive rebound by Team,,32-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,32-23,3,M. Scott makes 3-pt shot from 25 ft (assist by D. Schroder)
11:22.0,A. Stoudemire misses 2-pt shot from 1 ft,,32-23,,
11:20.0,,,32-23,,Defensive rebound by T. Sefolosha
11:11.0,,,32-23,,T. Sefolosha misses 3-pt shot from 25 ft
11:11.0,,,32-23,,Offensive rebound by Team
11:11.0,Loose ball foul by J. Smith (drawn by A. Horford),,32-23,,
10:56.0,,,32-23,,A. Horford misses 2-pt shot from 1 ft
10:55.0,Defensive rebound by A. Stoudemire,,32-23,,
10:55.0,,,32-23,,Personal foul by M. Scott (drawn by A. Stoudemire)
10:55.0,C. Early enters the game for C. Anthony,,32-23,,
10:43.0,J. Smith makes 2-pt shot at rim (assist by A. Stoudemire),2,34-23,,
10:24.0,,,34-23,,P. Millsap enters the game for M. Scott
10:17.0,,,34-23,,Turnover by Team (shot clock)
10:02.0,J. Smith misses 2-pt shot from 21 ft,,34-23,,
9:59.0,Offensive rebound by J. Smith,,34-23,,
9:57.0,A. Stoudemire makes 2-pt shot at rim (assist by J. Smith),2,36-23,,
9:47.0,,,36-26,3,K. Korver makes 3-pt shot from 26 ft (assist by A. Horford)
9:32.0,J. Smith misses 2-pt shot from 16 ft,,36-26,,
9:31.0,,,36-26,,Defensive rebound by A. Horford
9:20.0,,,36-26,,T. Sefolosha misses 2-pt shot from 16 ft
9:19.0,Defensive rebound by J. Smith,,36-26,,
9:10.0,New York full timeout,,36-26,,
9:10.0,,,36-26,,J. Teague enters the game for T. Sefolosha
9:10.0,Q. Acy enters the game for J. Smith,,36-26,,
8:58.0,Turnover by J. Smith (lost ball; steal by K. Korver),,36-26,,
8:47.0,,,36-26,,A. Horford misses 2-pt shot from 12 ft
8:45.0,Defensive rebound by C. Early,,36-26,,
8:29.0,C. Early misses 3-pt shot from 25 ft,,36-26,,
8:27.0,Offensive rebound by A. Stoudemire,,36-26,,
8:12.0,C. Early misses 2-pt shot from 1 ft,,36-26,,
8:11.0,,,36-26,,Defensive rebound by P. Millsap
7:58.0,,,36-28,2,D. Schroder makes 2-pt shot from 3 ft (assist by K. Korver)
7:35.0,S. Larkin misses 2-pt shot from 21 ft,,36-28,,
7:33.0,,,36-28,,Defensive rebound by P. Millsap
7:20.0,Personal foul by A. Stoudemire (drawn by A. Horford),,36-28,,
7:20.0,S. Dalembert enters the game for A. Stoudemire,,36-28,,
7:20.0,,,36-28,,P. Antic enters the game for A. Horford
7:12.0,,,36-30,2,K. Korver makes 2-pt shot from 13 ft
7:12.0,,,36-30,,Shooting foul by C. Early (drawn by K. Korver)
7:12.0,I. Shumpert enters the game for C. Early,,36-30,,
7:12.0,T. Hardaway enters the game for S. Larkin,,36-30,,
7:12.0,,,36-31,1,K. Korver makes free throw 1 of 1
7:02.0,,,36-31,,Personal foul by P. Millsap (drawn by Q. Acy)
6:54.0,T. Hardaway misses 2-pt shot from 18 ft,,36-31,,
6:52.0,Offensive rebound by Q. Acy,,36-31,,
6:52.0,,,36-31,,Personal foul by D. Schroder (drawn by I. Shumpert)
6:43.0,Q. Acy makes 2-pt shot from 2 ft (assist by I. Shumpert),2,38-31,,
6:29.0,,,38-31,,Shooting foul by S. Dalembert (drawn by P. Antic)
6:29.0,,,38-31,,P. Antic misses free throw 1 of 3
6:29.0,,,38-31,,Offensive rebound by Team
6:29.0,,,38-32,1,P. Antic makes free throw 2 of 3
6:29.0,,,38-33,1,P. Antic makes free throw 3 of 3
6:16.0,Turnover by Q. Acy (bad pass),,38-33,,
6:02.0,,,38-33,,Shooting foul by I. Shumpert (drawn by J. Teague)
6:02.0,,,38-34,1,J. Teague makes free throw 1 of 2
6:02.0,,,38-34,,D. Carroll enters the game for K. Korver
6:02.0,C. Anthony enters the game for Q. Acy,,38-34,,
6:02.0,,,38-35,1,J. Teague makes free throw 2 of 2
5:42.0,J. Smith makes 2-pt shot from 16 ft,2,40-35,,
5:32.0,,,40-35,,Turnover by P. Millsap (bad pass; steal by I. Shumpert)
5:29.0,I. Shumpert makes 2-pt shot at rim,2,42-35,,
5:29.0,,,42-35,,Atlanta full timeout
5:13.0,Personal foul by J. Smith (drawn by P. Millsap),,42-35,,
5:13.0,,,42-35,,P. Millsap misses free throw 1 of 2
5:13.0,,,42-35,,Offensive rebound by Team
5:13.0,,,42-36,1,P. Millsap makes free throw 2 of 2
5:00.0,T. Hardaway misses 2-pt shot at rim,,42-36,,
4:59.0,Offensive rebound by S. Dalembert,,42-36,,
4:57.0,Turnover by S. Dalembert (lost ball; steal by D. Carroll),,42-36,,
4:49.0,,,42-36,,Offensive foul by P. Antic
4:49.0,,,42-36,,Turnover by P. Antic (offensive foul)
4:32.0,J. Smith makes 2-pt shot from 17 ft (assist by I. Shumpert),2,44-36,,
4:19.0,Def 3 sec tech foul by S. Dalembert,,44-36,,
4:19.0,,,44-36,,J. Teague misses technical free throw
4:19.0,,,44-36,,Offensive rebound by Team
4:19.0,,,44-36,,A. Horford enters the game for P. Antic
4:11.0,,,44-36,,D. Carroll misses 3-pt shot from 25 ft
4:09.0,Defensive rebound by S. Dalembert,,44-36,,
4:04.0,I. Shumpert makes 2-pt shot from 18 ft (assist by J. Smith),2,46-36,,
3:48.0,,,46-38,2,D. Schroder makes 2-pt shot from 22 ft (assist by J. Teague)
3:44.0,Shooting foul by D. Carroll (drawn by T. Hardaway),,46-38,,
3:44.0,T. Hardaway makes free throw 1 of 2,1,47-38,,
3:44.0,,,47-38,,K. Korver enters the game for D. Schroder
3:44.0,T. Hardaway makes free throw 2 of 2,1,48-38,,
3:33.0,,,48-38,,A. Horford misses 2-pt shot from 16 ft
3:31.0,,,48-38,,Offensive rebound by P. Millsap
3:31.0,,,48-40,2,P. Millsap makes 2-pt shot at rim
3:18.0,S. Dalembert makes 2-pt shot from 1 ft (assist by J. Smith),2,50-40,,
3:18.0,Shooting foul by K. Korver (drawn by S. Dalembert),,50-40,,
3:18.0,S. Dalembert makes free throw 1 of 1,1,51-40,,
2:57.0,Personal foul by I. Shumpert (drawn by K. Korver),,51-40,,
2:57.0,Official timeout,,51-40,,
2:57.0,S. Larkin enters the game for I. Shumpert,,51-40,,
2:57.0,,,51-41,1,K. Korver makes free throw 1 of 2
2:57.0,,,51-42,1,K. Korver makes free throw 2 of 2
2:40.0,S. Larkin makes 2-pt shot from 19 ft (assist by T. Hardaway),2,53-42,,
2:23.0,,,53-44,2,P. Millsap makes 2-pt shot from 6 ft
2:08.0,C. Anthony misses 2-pt shot from 17 ft,,53-44,,
2:06.0,,,53-44,,Defensive rebound by K. Korver
1:47.0,,,53-44,,K. Korver misses 3-pt shot from 25 ft
1:45.0,Defensive rebound by J. Smith,,53-44,,
1:33.0,S. Larkin makes 2-pt shot from 2 ft (assist by C. Anthony),2,55-44,,
1:23.0,,,55-44,,A. Horford misses 2-pt shot from 18 ft
1:22.0,Defensive rebound by S. Larkin,,55-44,,
1:15.0,J. Smith makes 2-pt shot from 22 ft (assist by S. Larkin),2,57-44,,
0:56.0,,,57-44,,J. Teague misses 2-pt shot from 4 ft (block by S. Dalembert)
0:54.0,Defensive rebound by J. Smith,,57-44,,
0:51.0,T. Hardaway makes 2-pt shot from 21 ft (assist by J. Smith),2,59-44,,
0:51.0,,,59-44,,Atlanta full timeout
0:51.0,,,59-44,,M. Scott enters the game for P. Millsap
0:51.0,A. Stoudemire enters the game for S. Dalembert,,59-44,,
0:30.0,,,59-44,,A. Horford misses 2-pt shot from 18 ft
0:29.0,,,59-44,,Offensive rebound by Team
0:29.0,Loose ball foul by T. Hardaway (drawn by D. Carroll),,59-44,,
0:29.0,,,59-45,1,D. Carroll makes free throw 1 of 2
0:29.0,C. Early enters the game for T. Hardaway,,59-45,,
0:29.0,,,59-46,1,D. Carroll makes free throw 2 of 2
0:25.0,New York full timeout,,59-46,,
0:10.0,A. Stoudemire makes 2-pt shot from 3 ft,2,61-46,,
0:02.0,,,61-48,2,J. Teague makes 2-pt shot at rim
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,Personal foul by C. Anthony (drawn by P. Millsap),,61-48,,
11:34.0,,,61-48,,J. Teague misses 2-pt shot from 4 ft
11:32.0,Defensive rebound by T. Hardaway,,61-48,,
11:11.0,C. Anthony misses 2-pt shot from 16 ft,,61-48,,
11:09.0,,,61-48,,Defensive rebound by D. Carroll
10:51.0,,,61-48,,A. Horford misses 2-pt shot from 18 ft
10:49.0,Defensive rebound by C. Anthony,,61-48,,
10:37.0,T. Hardaway misses 3-pt shot from 25 ft,,61-48,,
10:36.0,,,61-48,,Defensive rebound by P. Millsap
10:22.0,Violation by S. Dalembert (def goaltending),,61-48,,
10:22.0,,,61-50,2,P. Millsap makes 2-pt shot from 2 ft (assist by D. Carroll)
10:15.0,,,61-50,,Personal foul by D. Carroll (drawn by I. Shumpert)
10:01.0,S. Dalembert makes 2-pt shot from 6 ft,2,63-50,,
9:48.0,,,63-52,2,D. Carroll makes 2-pt shot from 9 ft (assist by J. Teague)
9:38.0,T. Hardaway misses 2-pt shot from 5 ft,,63-52,,
9:37.0,,,63-52,,Defensive rebound by A. Horford
9:37.0,Personal foul by T. Hardaway (drawn by P. Millsap),,63-52,,
9:37.0,Q. Acy enters the game for T. Hardaway,,63-52,,
9:19.0,,,63-52,,J. Teague misses 2-pt shot from 5 ft
9:17.0,Defensive rebound by S. Dalembert,,63-52,,
9:06.0,C. Anthony makes 2-pt shot from 2 ft (assist by I. Shumpert),2,65-52,,
8:54.0,,,65-54,2,D. Carroll makes 2-pt shot from 1 ft (assist by P. Millsap)
8:28.0,C. Anthony misses 2-pt shot from 16 ft,,65-54,,
8:26.0,,,65-54,,Defensive rebound by P. Millsap
8:20.0,Personal foul by Q. Acy (drawn by P. Millsap),,65-54,,
8:14.0,,,65-54,,Shooting foul by Q. Acy (drawn by P. Millsap)
8:14.0,,,65-55,1,P. Millsap makes free throw 1 of 2
8:14.0,,,65-56,1,P. Millsap makes free throw 2 of 2
7:54.0,S. Larkin misses 2-pt shot from 18 ft,,65-56,,
7:52.0,,,65-56,,Defensive rebound by A. Horford
7:40.0,,,65-59,3,K. Korver makes 3-pt shot from 22 ft (assist by J. Teague)
7:38.0,New York full timeout,,65-59,,
7:19.0,Shooting foul by D. Carroll (drawn by C. Anthony),,65-59,,
7:19.0,C. Anthony misses free throw 1 of 2,,65-59,,
7:19.0,Offensive rebound by Team,,65-59,,
7:19.0,C. Anthony makes free throw 2 of 2,1,66-59,,
7:04.0,,,66-59,,D. Carroll misses 2-pt shot from 14 ft (block by S. Dalembert)
7:02.0,,,66-59,,Offensive rebound by D. Carroll
7:01.0,Personal foul by C. Anthony (drawn by J. Teague),,66-59,,
7:01.0,,,66-60,1,J. Teague makes free throw 1 of 2
7:01.0,,,66-60,,T. Sefolosha enters the game for D. Carroll
7:01.0,,,66-61,1,J. Teague makes free throw 2 of 2
6:45.0,I. Shumpert makes 2-pt shot from 2 ft (assist by S. Dalembert),2,68-61,,
6:32.0,,,68-61,,A. Horford misses 2-pt shot from 5 ft
6:30.0,Defensive rebound by Q. Acy,,68-61,,
6:25.0,I. Shumpert makes 3-pt shot from 24 ft (assist by S. Larkin),3,71-61,,
6:10.0,,,71-61,,A. Horford misses 2-pt shot from 19 ft
6:07.0,,,71-61,,Offensive rebound by T. Sefolosha
5:56.0,,,71-61,,J. Teague misses 2-pt shot from 3 ft
5:56.0,,,71-61,,Offensive rebound by Team
5:56.0,,,71-61,,P. Antic enters the game for A. Horford
5:56.0,Violation by I. Shumpert (kicked ball),,71-61,,
5:44.0,,,71-64,3,K. Korver makes 3-pt shot from 25 ft (assist by T. Sefolosha)
5:32.0,Turnover by S. Larkin (bad pass; steal by T. Sefolosha),,71-64,,
5:27.0,,,71-66,2,T. Sefolosha makes 2-pt shot at rim
5:02.0,C. Anthony misses 2-pt shot from 1 ft (block by P. Millsap),,71-66,,
5:00.0,,,71-66,,Defensive rebound by K. Korver
4:55.0,,,71-66,,K. Korver misses 3-pt shot from 25 ft
4:53.0,,,71-66,,Offensive rebound by P. Millsap
4:51.0,,,71-66,,P. Millsap misses 2-pt shot from 1 ft (block by S. Dalembert)
4:50.0,Defensive rebound by Team,,71-66,,
4:40.0,,,71-66,,Personal foul by T. Sefolosha (drawn by C. Anthony)
4:40.0,J. Smith enters the game for S. Dalembert,,71-66,,
4:34.0,I. Shumpert misses 2-pt shot from 1 ft (block by P. Antic),,71-66,,
4:34.0,Offensive rebound by Team,,71-66,,
4:25.0,C. Anthony misses 2-pt shot from 20 ft,,71-66,,
4:22.0,,,71-66,,Defensive rebound by P. Millsap
4:17.0,,,71-66,,T. Sefolosha misses 2-pt shot from 2 ft
4:16.0,,,71-66,,Offensive rebound by T. Sefolosha
4:16.0,,,71-66,,T. Sefolosha misses 2-pt shot from 2 ft
4:14.0,Defensive rebound by Q. Acy,,71-66,,
4:02.0,I. Shumpert makes 3-pt shot from 26 ft (assist by S. Larkin),3,74-66,,
3:46.0,,,74-66,,J. Teague misses 2-pt shot from 1 ft
3:44.0,,,74-66,,Offensive rebound by T. Sefolosha
3:44.0,,,74-68,2,T. Sefolosha makes 2-pt shot from 1 ft
3:30.0,,,74-68,,Personal foul by P. Antic (drawn by J. Smith)
3:30.0,J. Smith enters the game for Q. Acy,,74-68,,
3:30.0,A. Stoudemire enters the game for S. Larkin,,74-68,,
3:30.0,,,74-68,,D. Schroder enters the game for J. Teague
3:22.0,Turnover by J. Smith (bad pass; steal by D. Schroder),,74-68,,
3:08.0,,,74-70,2,D. Schroder makes 2-pt shot from 1 ft
2:43.0,A. Stoudemire misses 2-pt shot from 2 ft (block by K. Korver),,74-70,,
2:43.0,Offensive rebound by Team,,74-70,,
2:43.0,,,74-70,,Atlanta full timeout
2:43.0,,,74-70,,S. Mack enters the game for K. Korver
2:40.0,I. Shumpert misses 3-pt shot from 25 ft,,74-70,,
2:39.0,,,74-70,,Defensive rebound by Team
2:31.0,Personal foul by J. Smith (drawn by P. Millsap),,74-70,,
2:31.0,,,74-71,1,P. Millsap makes free throw 1 of 2
2:31.0,S. Larkin enters the game for C. Anthony,,74-71,,
2:31.0,,,74-71,,P. Millsap misses free throw 2 of 2
2:30.0,Defensive rebound by A. Stoudemire,,74-71,,
2:16.0,Turnover by J. Smith (bad pass; steal by D. Schroder),,74-71,,
2:12.0,,,74-71,,Shooting foul by J. Smith (drawn by P. Millsap)
2:12.0,,,74-72,1,P. Millsap makes free throw 1 of 2
2:12.0,,,74-72,,P. Millsap misses free throw 2 of 2
2:11.0,Defensive rebound by A. Stoudemire,,74-72,,
1:53.0,S. Larkin misses 2-pt shot from 6 ft,,74-72,,
1:52.0,Offensive rebound by J. Smith,,74-72,,
1:40.0,I. Shumpert misses 3-pt shot from 25 ft,,74-72,,
1:38.0,,,74-72,,Defensive rebound by P. Antic
1:30.0,,,74-72,,Shooting foul by I. Shumpert (drawn by D. Schroder)
1:30.0,,,74-73,1,D. Schroder makes free throw 1 of 2
1:30.0,C. Early enters the game for I. Shumpert,,74-73,,
1:30.0,,,74-73,,D. Schroder misses free throw 2 of 2
1:28.0,Defensive rebound by J. Smith,,74-73,,
1:05.0,Turnover by J. Smith (bad pass; steal by D. Schroder),,74-73,,
1:00.0,,,74-75,2,T. Sefolosha makes 2-pt shot from 1 ft (assist by D. Schroder)
0:51.0,Offensive charge foul by J. Smith,,74-75,,
0:51.0,Turnover by J. Smith (offensive foul),,74-75,,
0:51.0,Q. Acy enters the game for J. Smith,,74-75,,
0:36.0,,,74-75,,P. Millsap misses 2-pt shot from 2 ft
0:34.0,Defensive rebound by C. Early,,74-75,,
0:21.0,C. Early misses 3-pt shot from 26 ft,,74-75,,
0:19.0,,,74-75,,Defensive rebound by P. Millsap
0:01.0,,,74-75,,P. Millsap misses 3-pt shot from 25 ft
0:01.0,,,74-75,,Offensive rebound by T. Sefolosha
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,Turnover by C. Early (bad pass),,74-75,,
11:29.0,,,74-77,2,A. Horford makes 2-pt shot from 14 ft (assist by T. Sefolosha)
11:02.0,A. Stoudemire misses 2-pt shot from 17 ft,,74-77,,
11:00.0,,,74-77,,Defensive rebound by A. Horford
10:43.0,,,74-77,,T. Sefolosha misses 3-pt shot from 23 ft
10:42.0,Defensive rebound by J. Smith,,74-77,,
10:32.0,S. Larkin makes 2-pt shot from 19 ft (assist by J. Smith),2,76-77,,
10:17.0,,,76-77,,Turnover by D. Schroder (bad pass)
10:11.0,,,76-77,,Violation by T. Sefolosha (kicked ball)
10:11.0,,,76-77,,K. Korver enters the game for S. Mack
10:11.0,,,76-77,,J. Teague enters the game for T. Sefolosha
10:03.0,A. Stoudemire misses 2-pt shot from 18 ft,,76-77,,
10:02.0,,,76-77,,Defensive rebound by J. Teague
9:54.0,,,76-77,,M. Scott misses 2-pt shot from 7 ft
9:52.0,Defensive rebound by A. Stoudemire,,76-77,,
9:29.0,C. Early misses 2-pt shot from 1 ft,,76-77,,
9:27.0,Offensive rebound by A. Stoudemire,,76-77,,
9:27.0,A. Stoudemire makes 2-pt shot at rim,2,78-77,,
9:11.0,,,78-79,2,J. Teague makes 2-pt shot from 8 ft
8:48.0,A. Stoudemire makes 2-pt shot from 1 ft (assist by C. Early),2,80-79,,
8:32.0,,,80-79,,Turnover by K. Korver (bad pass)
8:32.0,Official timeout,,80-79,,
8:32.0,,,80-79,,P. Millsap enters the game for M. Scott
8:32.0,T. Hardaway enters the game for S. Larkin,,80-79,,
8:32.0,I. Shumpert enters the game for C. Early,,80-79,,
8:32.0,C. Anthony enters the game for Q. Acy,,80-79,,
8:32.0,,,80-79,,D. Carroll enters the game for D. Schroder
8:22.0,Shooting foul by P. Millsap (drawn by A. Stoudemire),,80-79,,
8:22.0,A. Stoudemire makes free throw 1 of 2,1,81-79,,
8:22.0,A. Stoudemire makes free throw 2 of 2,1,82-79,,
7:58.0,,,82-79,,P. Millsap misses 3-pt shot from 24 ft
7:57.0,,,82-79,,Offensive rebound by A. Horford
7:54.0,,,82-79,,K. Korver misses 3-pt shot from 25 ft
7:53.0,Defensive rebound by A. Stoudemire,,82-79,,
7:36.0,T. Hardaway makes 3-pt shot from 25 ft (assist by J. Smith),3,85-79,,
7:19.0,,,85-82,3,K. Korver makes 3-pt shot from 25 ft (assist by A. Horford)
7:00.0,A. Stoudemire misses 2-pt shot from 19 ft,,85-82,,
6:59.0,,,85-82,,Defensive rebound by P. Millsap
6:48.0,,,85-85,3,D. Carroll makes 3-pt shot from 25 ft (assist by P. Millsap)
6:29.0,C. Anthony misses 2-pt shot from 17 ft,,85-85,,
6:28.0,,,85-85,,Defensive rebound by K. Korver
6:20.0,,,85-87,2,A. Horford makes 2-pt shot at rim (assist by J. Teague)
5:59.0,T. Hardaway makes 3-pt shot from 25 ft,3,88-87,,
5:42.0,,,88-87,,A. Horford misses 2-pt shot from 19 ft
5:41.0,,,88-87,,Offensive rebound by Team
5:41.0,,,88-87,,Atlanta full timeout
5:41.0,,,88-87,,P. Antic enters the game for A. Horford
5:41.0,S. Dalembert enters the game for A. Stoudemire,,88-87,,
5:30.0,Violation by S. Dalembert (def goaltending),,88-87,,
5:30.0,,,88-89,2,J. Teague makes 2-pt shot at rim
5:15.0,J. Smith misses 2-pt shot from 2 ft,,88-89,,
5:14.0,,,88-89,,Defensive rebound by P. Millsap
5:09.0,,,88-92,3,K. Korver makes 3-pt shot from 27 ft (assist by D. Carroll)
4:42.0,Turnover by I. Shumpert (lost ball),,88-92,,
