time,Sacramento,pts.away,score,pts.home,Washington
1:42.0,Sacramento full timeout,,20-16,,
1:42.0,R. Evans enters the game for C. Landry,,20-16,,
1:42.0,N. Stauskas enters the game for B. McLemore,,20-16,,
1:23.0,D. Williams makes 2-pt shot from 3 ft,2,22-16,,
1:08.0,,,22-16,,J. Wall misses 2-pt shot from 9 ft
1:07.0,Defensive rebound by R. Evans,,22-16,,
0:52.0,N. Stauskas misses 3-pt shot from 27 ft,,22-16,,
0:51.0,Offensive rebound by A. Miller,,22-16,,
0:46.0,D. Williams makes 3-pt shot from 23 ft (assist by A. Miller),3,25-16,,
0:32.0,,,25-19,3,O. Porter makes 3-pt shot from 24 ft (assist by M. Gortat)
0:11.0,J. Thompson misses 2-pt shot from 2 ft,,25-19,,
0:10.0,,,25-19,,Defensive rebound by R. Butler
0:05.0,,,25-21,2,K. Seraphin makes 2-pt shot from 1 ft (assist by J. Wall)
0:01.0,A. Miller misses 3-pt shot from 35 ft,,25-21,,
0:00.0,,,25-21,,Defensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,J. Thompson makes 2-pt shot from 21 ft (assist by N. Stauskas),2,27-21,,
11:18.0,,,27-21,,R. Butler misses 2-pt shot from 16 ft
11:17.0,Defensive rebound by R. Evans,,27-21,,
11:01.0,Turnover by A. Miller (bad pass; steal by R. Butler),,27-21,,
10:57.0,,,27-23,2,R. Butler makes 2-pt shot at rim
10:40.0,N. Stauskas makes 2-pt shot at rim,2,29-23,,
10:19.0,,,29-25,2,K. Seraphin makes 2-pt shot from 4 ft
10:10.0,R. Evans makes 2-pt shot at rim (assist by A. Miller),2,31-25,,
10:10.0,Shooting foul by K. Seraphin (drawn by R. Evans),,31-25,,
10:10.0,R. Evans makes free throw 1 of 1,1,32-25,,
9:52.0,,,32-27,2,K. Seraphin makes 2-pt shot from 16 ft
9:30.0,N. Stauskas misses 2-pt shot from 1 ft (block by K. Seraphin),,32-27,,
9:29.0,,,32-27,,Defensive rebound by D. Gooden
9:21.0,,,32-30,3,R. Butler makes 3-pt shot from 23 ft (assist by R. Sessions)
9:07.0,D. Williams makes 2-pt shot from 4 ft (assist by A. Miller),2,34-30,,
8:38.0,,,34-32,2,D. Gooden makes 2-pt shot from 18 ft
8:24.0,Turnover by R. Evans (bad pass; steal by O. Porter),,34-32,,
8:18.0,,,34-32,,R. Sessions misses 2-pt shot at rim
8:16.0,Defensive rebound by Team,,34-32,,
8:16.0,Official timeout,,34-32,,
8:16.0,D. Cousins enters the game for J. Thompson,,34-32,,
7:52.0,D. Williams makes 3-pt shot from 26 ft (assist by A. Miller),3,37-32,,
7:30.0,Personal foul by R. Evans (drawn by K. Seraphin),,37-32,,
7:20.0,,,37-32,,O. Porter misses 3-pt shot from 26 ft
7:19.0,Defensive rebound by R. Evans,,37-32,,
7:04.0,N. Stauskas misses 2-pt shot from 1 ft (block by R. Butler),,37-32,,
7:03.0,Offensive rebound by A. Miller,,37-32,,
6:59.0,D. Williams misses 3-pt shot from 25 ft,,37-32,,
6:58.0,Offensive rebound by N. Stauskas,,37-32,,
6:56.0,N. Stauskas makes 2-pt shot from 1 ft,2,39-32,,
6:41.0,,,39-32,,R. Butler misses 2-pt shot from 14 ft
6:40.0,Defensive rebound by R. Evans,,39-32,,
6:28.0,,,39-32,,Personal foul by D. Gooden (drawn by D. Cousins)
6:28.0,,,39-32,,M. Gortat enters the game for K. Seraphin
6:28.0,,,39-32,,J. Wall enters the game for R. Sessions
6:28.0,,,39-32,,P. Pierce enters the game for D. Gooden
6:28.0,R. McCallum enters the game for A. Miller,,39-32,,
6:18.0,R. Evans makes 2-pt shot from 1 ft,2,41-32,,
5:59.0,,,41-32,,O. Porter misses 3-pt shot from 23 ft
5:58.0,Defensive rebound by R. McCallum,,41-32,,
5:42.0,D. Cousins makes 2-pt shot from 8 ft,2,43-32,,
5:37.0,,,43-32,,Washington full timeout
5:37.0,,,43-32,,B. Beal enters the game for O. Porter
5:27.0,,,43-34,2,J. Wall makes 2-pt shot from 2 ft
5:11.0,R. McCallum makes 2-pt shot from 22 ft,2,45-34,,
4:49.0,,,45-34,,P. Pierce misses 2-pt shot from 17 ft
4:48.0,Defensive rebound by R. Evans,,45-34,,
4:40.0,D. Cousins makes 2-pt shot from 19 ft (assist by R. McCallum),2,47-34,,
4:26.0,,,47-34,,Turnover by J. Wall (bad pass; steal by R. Evans)
4:21.0,Turnover by R. Evans (bad pass; steal by J. Wall),,47-34,,
4:10.0,,,47-34,,Offensive foul by M. Gortat
4:10.0,,,47-34,,Turnover by M. Gortat (offensive foul)
3:52.0,D. Williams makes 2-pt shot from 15 ft,2,49-34,,
3:31.0,,,49-34,,B. Beal misses 3-pt shot from 25 ft
3:31.0,Defensive rebound by Team,,49-34,,
3:19.0,D. Cousins makes 2-pt shot from 21 ft,2,51-34,,
3:19.0,Shooting foul by P. Pierce (drawn by D. Cousins),,51-34,,
3:19.0,D. Cousins makes free throw 1 of 1,1,52-34,,
3:14.0,,,52-34,,Shooting foul by R. McCallum (drawn by J. Wall)
3:14.0,,,52-35,1,J. Wall makes free throw 1 of 2
3:14.0,,,52-36,1,J. Wall makes free throw 2 of 2
3:02.0,R. McCallum makes 2-pt shot from 1 ft (assist by D. Cousins),2,54-36,,
2:45.0,Personal foul by N. Stauskas (drawn by P. Pierce),,54-36,,
2:45.0,Sacramento full timeout,,54-36,,
2:45.0,,,54-36,,O. Porter enters the game for R. Butler
2:45.0,B. McLemore enters the game for N. Stauskas,,54-36,,
2:33.0,,,54-39,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
2:19.0,,,54-39,,Personal foul by M. Gortat (drawn by D. Cousins)
2:19.0,,,54-39,,D. Blair enters the game for M. Gortat
2:04.0,R. McCallum makes 3-pt shot from 27 ft (assist by D. Cousins),3,57-39,,
1:49.0,,,57-41,2,D. Blair makes 2-pt shot from 1 ft (assist by P. Pierce)
1:38.0,,,57-41,,Shooting block foul by P. Pierce (drawn by D. Cousins)
1:38.0,D. Cousins makes free throw 1 of 2,1,58-41,,
1:38.0,C. Landry enters the game for R. Evans,,58-41,,
1:38.0,D. Cousins makes free throw 2 of 2,1,59-41,,
1:23.0,,,59-43,2,P. Pierce makes 2-pt shot at rim
1:06.0,D. Cousins misses 2-pt shot from 20 ft,,59-43,,
1:05.0,,,59-43,,Defensive rebound by P. Pierce
1:01.0,,,59-43,,J. Wall misses 2-pt shot at rim (block by D. Cousins)
0:59.0,,,59-43,,Offensive rebound by B. Beal
0:58.0,,,59-43,,Turnover by B. Beal (bad pass; steal by R. McCallum)
0:57.0,,,59-43,,Personal take foul by P. Pierce (drawn by R. McCallum)
0:57.0,R. McCallum makes free throw 1 of 2,1,60-43,,
0:57.0,,,60-43,,D. Gooden enters the game for P. Pierce
0:57.0,R. McCallum misses free throw 2 of 2,,60-43,,
0:55.0,Offensive rebound by R. McCallum,,60-43,,
0:49.0,R. McCallum misses 2-pt shot from 1 ft (block by D. Blair),,60-43,,
0:49.0,Offensive rebound by Team,,60-43,,
0:43.0,Shooting foul by D. Blair (drawn by D. Cousins),,60-43,,
0:43.0,D. Cousins makes free throw 1 of 2,1,61-43,,
0:43.0,D. Cousins makes free throw 2 of 2,1,62-43,,
0:40.0,Shooting block foul by R. McCallum (drawn by J. Wall),,62-43,,
0:40.0,,,62-43,,J. Wall misses free throw 1 of 2
0:40.0,,,62-43,,Offensive rebound by Team
0:40.0,,,62-44,1,J. Wall makes free throw 2 of 2
0:29.0,Turnover by D. Williams (traveling),,62-44,,
0:29.0,J. Thompson enters the game for D. Cousins,,62-44,,
0:11.0,,,62-44,,Shooting foul by C. Landry (drawn by J. Wall)
0:11.0,,,62-45,1,J. Wall makes free throw 1 of 2
0:11.0,D. Cousins enters the game for C. Landry,,62-45,,
0:11.0,,,62-46,1,J. Wall makes free throw 2 of 2
0:02.0,D. Cousins makes 2-pt shot at rim (assist by R. McCallum),2,64-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,C. Landry makes 2-pt shot from 19 ft (assist by B. McLemore),2,66-46,,
11:23.0,,,66-46,,B. Beal misses 3-pt shot from 26 ft
11:22.0,,,66-46,,Offensive rebound by D. Gooden
11:16.0,,,66-48,2,M. Gortat makes 2-pt shot from 1 ft (assist by B. Beal)
11:03.0,B. McLemore makes 3-pt shot from 27 ft (assist by R. McCallum),3,69-48,,
10:45.0,,,69-50,2,P. Pierce makes 2-pt shot from 1 ft (assist by D. Gooden)
10:28.0,Turnover by O. Casspi (bad pass; steal by D. Gooden),,69-50,,
10:20.0,,,69-52,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
10:02.0,B. McLemore misses 3-pt shot from 26 ft,,69-52,,
10:01.0,,,69-52,,Defensive rebound by P. Pierce
9:47.0,,,69-55,3,P. Pierce makes 3-pt shot from 26 ft (assist by B. Beal)
9:26.0,O. Casspi makes 2-pt shot at rim (assist by D. Cousins),2,71-55,,
9:13.0,,,71-55,,M. Gortat misses 2-pt shot from 7 ft
9:12.0,Defensive rebound by Team,,71-55,,
9:00.0,C. Landry misses 2-pt shot at rim (block by J. Wall),,71-55,,
8:59.0,Offensive rebound by R. McCallum,,71-55,,
8:55.0,R. McCallum misses 2-pt shot at rim,,71-55,,
8:54.0,Offensive rebound by D. Cousins,,71-55,,
8:50.0,Shooting foul by M. Gortat (drawn by D. Cousins),,71-55,,
8:50.0,D. Cousins makes free throw 1 of 2,1,72-55,,
8:50.0,D. Cousins misses free throw 2 of 2,,72-55,,
8:49.0,,,72-55,,Defensive rebound by D. Gooden
8:29.0,,,72-55,,Shooting foul by O. Casspi (drawn by B. Beal)
8:29.0,,,72-56,1,B. Beal makes free throw 1 of 2
8:29.0,,,72-56,,K. Seraphin enters the game for M. Gortat
8:29.0,,,72-56,,B. Beal misses free throw 2 of 2
8:26.0,,,72-56,,Offensive rebound by B. Beal
8:23.0,Personal foul by B. McLemore (drawn by B. Beal),,72-56,,
8:13.0,,,72-58,2,J. Wall makes 2-pt shot from 2 ft
7:57.0,,,72-58,,Personal foul by K. Seraphin (drawn by D. Cousins)
7:46.0,R. McCallum makes 3-pt shot from 24 ft (assist by D. Cousins),3,75-58,,
7:28.0,,,75-58,,D. Gooden misses 2-pt shot from 20 ft
7:27.0,Defensive rebound by B. McLemore,,75-58,,
7:22.0,Shooting foul by B. Beal (drawn by D. Cousins),,75-58,,
7:22.0,D. Cousins makes free throw 1 of 2,1,76-58,,
7:22.0,D. Cousins makes free throw 2 of 2,1,77-58,,
7:12.0,Shooting block foul by D. Cousins (drawn by J. Wall),,77-58,,
7:12.0,,,77-59,1,J. Wall makes free throw 1 of 2
7:12.0,,,77-60,1,J. Wall makes free throw 2 of 2
6:59.0,D. Cousins misses 2-pt shot from 18 ft,,77-60,,
6:58.0,,,77-60,,Defensive rebound by K. Seraphin
6:43.0,,,77-62,2,P. Pierce makes 2-pt shot from 17 ft (assist by J. Wall)
6:32.0,B. McLemore misses 3-pt shot from 23 ft,,77-62,,
6:31.0,,,77-62,,Defensive rebound by K. Seraphin
6:24.0,,,77-65,3,P. Pierce makes 3-pt shot from 22 ft (assist by J. Wall)
6:22.0,Sacramento full timeout,,77-65,,
6:02.0,Turnover by O. Casspi (3 sec),,77-65,,
5:50.0,,,77-67,2,K. Seraphin makes 2-pt shot at rim (assist by J. Wall)
5:31.0,Turnover by D. Cousins (bad pass; steal by D. Gooden),,77-67,,
5:25.0,D. Williams enters the game for O. Casspi,,77-67,,
5:25.0,A. Miller enters the game for R. McCallum,,77-67,,
5:21.0,,,77-70,3,J. Wall makes 3-pt shot from 24 ft (assist by K. Seraphin)
5:10.0,,,77-70,,Personal foul by K. Seraphin (drawn by D. Cousins)
5:10.0,J. Thompson enters the game for C. Landry,,77-70,,
4:57.0,Turnover by B. McLemore (lost ball),,77-70,,
4:45.0,,,77-70,,J. Wall misses 2-pt shot from 6 ft
4:44.0,Defensive rebound by J. Thompson,,77-70,,
4:30.0,B. McLemore misses 3-pt shot from 27 ft,,77-70,,
4:29.0,Offensive rebound by D. Cousins,,77-70,,
4:29.0,Shooting foul by D. Gooden (drawn by D. Cousins),,77-70,,
4:29.0,D. Cousins makes free throw 1 of 2,1,78-70,,
4:29.0,D. Cousins makes free throw 2 of 2,1,79-70,,
4:14.0,,,79-72,2,K. Seraphin makes 2-pt shot from 17 ft (assist by B. Beal)
3:54.0,A. Miller misses 2-pt shot from 7 ft (block by B. Beal),,79-72,,
3:52.0,Offensive rebound by J. Thompson,,79-72,,
3:47.0,D. Cousins misses 2-pt shot from 2 ft,,79-72,,
3:46.0,,,79-72,,Defensive rebound by K. Seraphin
3:28.0,,,79-74,2,P. Pierce makes 2-pt shot from 7 ft (assist by J. Wall)
3:00.0,Turnover by Team (shot clock),,79-74,,
3:00.0,N. Stauskas enters the game for B. McLemore,,79-74,,
2:45.0,,,79-77,3,J. Wall makes 3-pt shot from 22 ft
2:44.0,Sacramento full timeout,,79-77,,
2:44.0,,,79-77,,Washington full timeout
2:44.0,,,79-77,,R. Butler enters the game for P. Pierce
2:26.0,J. Thompson makes 2-pt shot from 5 ft (assist by N. Stauskas),2,81-77,,
2:10.0,,,81-79,2,B. Beal makes 2-pt shot from 16 ft (assist by J. Wall)
1:54.0,D. Cousins makes 2-pt shot at rim (assist by J. Thompson),2,83-79,,
1:54.0,Shooting foul by K. Seraphin (drawn by D. Cousins),,83-79,,
1:54.0,,,83-79,,D. Blair enters the game for K. Seraphin
1:54.0,D. Cousins misses free throw 1 of 1,,83-79,,
1:52.0,,,83-79,,Defensive rebound by D. Blair
1:39.0,,,83-79,,Offensive foul by J. Wall
1:39.0,,,83-79,,Turnover by J. Wall (offensive foul)
1:31.0,,,83-79,,Personal foul by B. Beal (drawn by D. Cousins)
1:31.0,D. Cousins makes free throw 1 of 2,1,84-79,,
1:31.0,D. Cousins makes free throw 2 of 2,1,85-79,,
1:25.0,,,85-79,,Shooting foul by N. Stauskas (drawn by J. Wall)
1:25.0,,,85-80,1,J. Wall makes free throw 1 of 2
1:25.0,,,85-80,,R. Sessions enters the game for B. Beal
1:25.0,,,85-81,1,J. Wall makes free throw 2 of 2
1:10.0,D. Cousins misses 2-pt shot from 1 ft,,85-81,,
1:09.0,,,85-81,,Defensive rebound by D. Gooden
0:57.0,,,85-84,3,J. Wall makes 3-pt shot from 22 ft (assist by R. Butler)
0:40.0,Offensive foul by D. Cousins,,85-84,,
0:40.0,Turnover by D. Cousins (offensive foul),,85-84,,
0:40.0,R. Evans enters the game for D. Cousins,,85-84,,
0:20.0,,,85-84,,J. Wall misses 3-pt shot from 25 ft (block by N. Stauskas)
0:18.0,Defensive rebound by A. Miller,,85-84,,
0:13.0,Turnover by A. Miller (traveling),,85-84,,
0:03.0,,,85-84,,Turnover by J. Wall (bad pass)
0:01.0,A. Miller misses 3-pt shot from 33 ft,,85-84,,
0:00.0,,,85-84,,Defensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,85-84,,R. Butler misses 3-pt shot from 23 ft
11:46.0,Defensive rebound by N. Stauskas,,85-84,,
11:26.0,N. Stauskas makes 2-pt shot from 21 ft,2,87-84,,
11:08.0,,,87-84,,R. Sessions misses 3-pt shot from 26 ft
11:07.0,Defensive rebound by A. Miller,,87-84,,
11:00.0,D. Williams misses 2-pt shot at rim,,87-84,,
10:58.0,,,87-84,,Defensive rebound by J. Wall
10:53.0,,,87-86,2,D. Blair makes 2-pt shot at rim (assist by J. Wall)
10:33.0,N. Stauskas misses 2-pt shot from 7 ft,,87-86,,
10:32.0,Offensive rebound by J. Thompson,,87-86,,
10:26.0,Shooting foul by D. Blair (drawn by R. Evans),,87-86,,
10:26.0,R. Evans misses free throw 1 of 2,,87-86,,
10:26.0,Offensive rebound by Team,,87-86,,
10:26.0,R. Evans makes free throw 2 of 2,1,88-86,,
10:11.0,,,88-89,3,R. Sessions makes 3-pt shot from 25 ft (assist by J. Wall)
9:55.0,D. Williams misses 2-pt shot from 16 ft,,88-89,,
9:54.0,,,88-89,,Defensive rebound by R. Sessions
9:44.0,,,88-89,,J. Wall misses 2-pt shot from 17 ft
9:43.0,,,88-89,,Offensive rebound by D. Blair
9:41.0,,,88-89,,D. Blair misses 2-pt shot from 2 ft
9:40.0,Defensive rebound by R. Evans,,88-89,,
9:29.0,A. Miller misses 2-pt shot from 13 ft,,88-89,,
9:28.0,,,88-89,,Defensive rebound by M. Gortat
9:15.0,,,88-89,,R. Sessions misses 2-pt shot from 17 ft
9:13.0,,,88-89,,Offensive rebound by R. Butler
9:00.0,,,88-91,2,R. Butler makes 2-pt shot from 16 ft (assist by M. Gortat)
8:56.0,Sacramento full timeout,,88-91,,
8:56.0,D. Cousins enters the game for J. Thompson,,88-91,,
8:56.0,,,88-91,,B. Beal enters the game for J. Wall
8:42.0,,,88-91,,Personal foul by D. Blair (drawn by A. Miller)
8:42.0,R. McCallum enters the game for A. Miller,,88-91,,
8:35.0,N. Stauskas misses 3-pt shot from 26 ft,,88-91,,
8:34.0,,,88-91,,Defensive rebound by R. Butler
8:25.0,,,88-94,3,R. Butler makes 3-pt shot from 26 ft (assist by B. Beal)
8:07.0,R. Evans misses 2-pt shot from 1 ft (block by M. Gortat),,88-94,,
8:05.0,Offensive rebound by R. McCallum,,88-94,,
8:00.0,Turnover by R. McCallum (bad pass; steal by R. Sessions),,88-94,,
8:00.0,,,88-94,,Turnover by R. Sessions (step out of bounds)
7:49.0,R. McCallum misses 2-pt shot from 17 ft,,88-94,,
7:48.0,,,88-94,,Defensive rebound by R. Butler
7:31.0,,,88-94,,B. Beal misses 2-pt shot from 19 ft
7:30.0,Defensive rebound by D. Cousins,,88-94,,
7:16.0,D. Cousins misses 2-pt shot from 6 ft,,88-94,,
7:15.0,,,88-94,,Defensive rebound by B. Beal
7:06.0,Personal foul by R. Evans (drawn by M. Gortat),,88-94,,
7:06.0,O. Casspi enters the game for R. Evans,,88-94,,
6:53.0,,,88-94,,Turnover by B. Beal (bad pass; steal by N. Stauskas)
6:48.0,N. Stauskas misses 2-pt shot at rim,,88-94,,
6:46.0,,,88-94,,Defensive rebound by B. Beal
6:43.0,Personal take foul by D. Cousins (drawn by B. Beal),,88-94,,
6:43.0,,,88-95,1,B. Beal makes free throw 1 of 2
6:43.0,Technical foul by D. Cousins (drawn by B. Beal),,88-95,,
6:43.0,,,88-96,1,B. Beal makes technical free throw
6:43.0,,,88-97,1,B. Beal makes free throw 2 of 2
6:33.0,Shooting foul by D. Blair (drawn by D. Cousins),,88-97,,
6:33.0,D. Cousins misses free throw 1 of 2,,88-97,,
6:33.0,Offensive rebound by Team,,88-97,,
6:33.0,D. Cousins misses free throw 2 of 2,,88-97,,
6:32.0,,,88-97,,Defensive rebound by M. Gortat
6:18.0,,,88-97,,B. Beal misses 2-pt shot from 19 ft
6:17.0,,,88-97,,Offensive rebound by D. Blair
6:15.0,,,88-97,,D. Blair misses 2-pt shot from 2 ft
6:14.0,Defensive rebound by D. Cousins,,88-97,,
6:02.0,D. Cousins misses 2-pt shot from 1 ft,,88-97,,
6:01.0,,,88-97,,Defensive rebound by R. Butler
5:56.0,,,88-99,2,R. Butler makes 2-pt shot from 2 ft (assist by B. Beal)
5:56.0,Sacramento full timeout,,88-99,,
5:56.0,,,88-99,,J. Wall enters the game for R. Sessions
5:56.0,B. McLemore enters the game for O. Casspi,,88-99,,
5:56.0,A. Miller enters the game for N. Stauskas,,88-99,,
5:46.0,Turnover by D. Williams (bad pass; steal by D. Blair),,88-99,,
5:40.0,,,88-99,,B. Beal misses 3-pt shot from 26 ft
5:38.0,Defensive rebound by D. Cousins,,88-99,,
5:34.0,Offensive foul by D. Cousins,,88-99,,
5:34.0,Turnover by D. Cousins (offensive foul),,88-99,,
5:34.0,J. Thompson enters the game for D. Cousins,,88-99,,
5:19.0,,,88-102,3,J. Wall makes 3-pt shot from 25 ft (assist by R. Butler)
5:04.0,B. McLemore misses 3-pt shot from 25 ft,,88-102,,
5:03.0,,,88-102,,Defensive rebound by M. Gortat
4:46.0,,,88-102,,D. Blair misses 2-pt shot from 2 ft (block by J. Thompson)
4:44.0,Defensive rebound by B. McLemore,,88-102,,
4:38.0,D. Williams misses 3-pt shot from 27 ft,,88-102,,
4:36.0,,,88-102,,Defensive rebound by D. Blair
4:16.0,,,88-102,,M. Gortat misses 2-pt shot from 16 ft
4:15.0,Defensive rebound by J. Thompson,,88-102,,
4:08.0,Shooting foul by B. Beal (drawn by A. Miller),,88-102,,
4:08.0,A. Miller makes 2-pt shot from 1 ft,2,90-102,,
4:08.0,A. Miller misses free throw 1 of 1,,90-102,,
4:07.0,,,90-102,,Defensive rebound by D. Blair
3:54.0,,,90-105,3,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall)
3:30.0,R. McCallum makes 2-pt shot from 18 ft (assist by D. Williams),2,92-105,,
3:10.0,,,92-107,2,D. Blair makes 2-pt shot from 4 ft (assist by B. Beal)
3:00.0,Offensive foul by B. McLemore,,92-107,,
3:00.0,Turnover by B. McLemore (offensive foul),,92-107,,
2:53.0,,,92-109,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
2:50.0,Sacramento full timeout,,92-109,,
2:50.0,N. Stauskas enters the game for A. Miller,,92-109,,
2:35.0,D. Williams makes 3-pt shot from 26 ft (assist by R. McCallum),3,95-109,,
2:16.0,,,95-109,,Turnover by D. Blair (3 sec)
2:05.0,D. Williams misses 3-pt shot from 27 ft,,95-109,,
2:04.0,,,95-109,,Defensive rebound by D. Blair
1:44.0,,,95-109,,Turnover by J. Wall (bad pass)
