time,Detroit,pts.away,score,pts.home,San Antonio
10:44.0,C. Butler makes 2-pt shot from 20 ft (assist by J. Meeks),2,25-39,,
10:28.0,,,25-39,,T. Parker misses 2-pt shot from 22 ft
10:27.0,Defensive rebound by J. Jerebko,,25-39,,
10:17.0,D. Augustin misses 2-pt shot from 2 ft,,25-39,,
10:17.0,,,25-39,,Defensive rebound by T. Duncan
10:10.0,,,25-39,,M. Belinelli misses 3-pt shot from 23 ft
10:09.0,Defensive rebound by J. Jerebko,,25-39,,
10:00.0,A. Drummond misses 2-pt shot at rim,,25-39,,
9:59.0,Offensive rebound by Team,,25-39,,
9:59.0,,,25-39,,C. Joseph enters the game for T. Parker
9:48.0,D. Augustin misses 2-pt shot from 2 ft (block by C. Joseph),,25-39,,
9:47.0,Offensive rebound by J. Jerebko,,25-39,,
9:47.0,J. Jerebko makes 2-pt shot at rim,2,27-39,,
9:47.0,,,27-39,,San Antonio full timeout
9:34.0,,,27-39,,T. Duncan misses 2-pt shot from 13 ft
9:33.0,Defensive rebound by A. Drummond,,27-39,,
9:19.0,D. Augustin makes 2-pt shot from 2 ft,2,29-39,,
9:06.0,,,29-41,2,T. Splitter makes 2-pt shot at rim (assist by D. Green)
8:55.0,D. Augustin misses 2-pt shot from 15 ft,,29-41,,
8:54.0,,,29-41,,Defensive rebound by D. Green
8:46.0,Personal block foul by C. Butler (drawn by M. Belinelli),,29-41,,
8:46.0,,,29-41,,B. Diaw enters the game for D. Green
8:46.0,,,29-41,,J. Ayres enters the game for T. Duncan
8:46.0,,,29-41,,M. Ginobili enters the game for T. Splitter
8:46.0,,,29-41,,P. Mills enters the game for M. Belinelli
8:40.0,,,29-41,,Shooting foul by D. Augustin (drawn by J. Ayres)
8:40.0,,,29-42,1,J. Ayres makes free throw 1 of 2
8:40.0,,,29-42,,J. Ayres misses free throw 2 of 2
8:39.0,Defensive rebound by A. Drummond,,29-42,,
8:23.0,J. Meeks misses 2-pt shot from 16 ft,,29-42,,
8:22.0,Offensive rebound by A. Drummond,,29-42,,
8:21.0,Turnover by A. Drummond (traveling),,29-42,,
8:13.0,,,29-42,,Turnover by M. Ginobili (traveling)
8:04.0,Offensive foul by C. Butler,,29-42,,
8:04.0,Turnover by C. Butler (offensive foul),,29-42,,
7:45.0,,,29-44,2,B. Diaw makes 2-pt shot from 3 ft
7:20.0,J. Jerebko makes 3-pt shot from 25 ft (assist by D. Augustin),3,32-44,,
7:05.0,,,32-46,2,B. Diaw makes 2-pt shot from 5 ft (assist by M. Ginobili)
7:05.0,Shooting block foul by J. Jerebko (drawn by B. Diaw),,32-46,,
7:05.0,,,32-47,1,B. Diaw makes free throw 1 of 1
6:57.0,Detroit full timeout,,32-47,,
6:57.0,A. Tolliver enters the game for J. Jerebko,,32-47,,
6:52.0,Detroit full timeout,,32-47,,
6:42.0,D. Augustin misses 2-pt shot from 5 ft,,32-47,,
6:41.0,Offensive rebound by A. Drummond,,32-47,,
6:40.0,,,32-47,,Loose ball foul by M. Ginobili (drawn by A. Drummond)
6:24.0,J. Meeks makes 2-pt shot from 22 ft,2,34-47,,
6:20.0,Personal foul by J. Meeks (drawn by M. Ginobili),,34-47,,
6:20.0,,,34-47,,M. Ginobili misses free throw 1 of 2
6:20.0,,,34-47,,Offensive rebound by Team
6:20.0,B. Jennings enters the game for C. Butler,,34-47,,
6:20.0,,,34-48,1,M. Ginobili makes free throw 2 of 2
5:54.0,J. Meeks makes 2-pt shot from 21 ft (assist by D. Augustin),2,36-48,,
5:41.0,,,36-50,2,C. Joseph makes 2-pt shot from 7 ft
5:32.0,Offensive foul by A. Tolliver,,36-50,,
5:32.0,Turnover by A. Tolliver (offensive foul),,36-50,,
5:17.0,,,36-50,,P. Mills misses 3-pt shot from 25 ft
5:16.0,Defensive rebound by A. Drummond,,36-50,,
5:07.0,A. Drummond misses 2-pt shot from 1 ft,,36-50,,
5:05.0,,,36-50,,Defensive rebound by B. Diaw
4:57.0,,,36-50,,Turnover by B. Diaw (lost ball; steal by A. Tolliver)
4:53.0,J. Meeks misses 2-pt shot from 4 ft,,36-50,,
4:52.0,Offensive rebound by Team,,36-50,,
4:52.0,,,36-50,,Loose ball foul by P. Mills (drawn by A. Tolliver)
4:52.0,K. Caldwell-Pope enters the game for J. Meeks,,36-50,,
4:52.0,G. Monroe enters the game for A. Drummond,,36-50,,
4:34.0,B. Jennings misses 2-pt shot from 1 ft (block by J. Ayres),,36-50,,
4:33.0,,,36-50,,Defensive rebound by C. Joseph
4:29.0,,,36-52,2,C. Joseph makes 2-pt shot from 2 ft
4:03.0,G. Monroe misses 2-pt shot at rim,,36-52,,
4:02.0,,,36-52,,Defensive rebound by J. Ayres
3:55.0,,,36-54,2,J. Ayres makes 2-pt shot from 1 ft (assist by M. Ginobili)
3:44.0,Detroit full timeout,,36-54,,
3:44.0,,,36-54,,M. Belinelli enters the game for J. Ayres
3:44.0,,,36-54,,T. Parker enters the game for B. Diaw
3:44.0,,,36-54,,D. Green enters the game for M. Ginobili
3:44.0,,,36-54,,T. Duncan enters the game for C. Joseph
3:44.0,,,36-54,,T. Splitter enters the game for P. Mills
3:26.0,A. Tolliver misses 3-pt shot from 25 ft,,36-54,,
3:25.0,,,36-54,,Defensive rebound by T. Duncan
3:10.0,,,36-54,,M. Belinelli misses 2-pt shot from 7 ft
3:09.0,Defensive rebound by A. Tolliver,,36-54,,
3:01.0,D. Augustin makes 3-pt shot from 24 ft (assist by K. Caldwell-Pope),3,39-54,,
2:49.0,K. Singler enters the game for D. Augustin,,39-54,,
2:49.0,,,39-54,,M. Ginobili enters the game for M. Belinelli
2:37.0,Shooting foul by M. Ginobili (drawn by K. Singler),,39-54,,
2:37.0,K. Singler misses free throw 1 of 2,,39-54,,
2:37.0,Offensive rebound by Team,,39-54,,
2:37.0,,,39-54,,M. Bonner enters the game for T. Splitter
2:37.0,K. Singler makes free throw 2 of 2,1,40-54,,
2:22.0,,,40-54,,T. Duncan misses 2-pt shot from 13 ft
2:21.0,Defensive rebound by K. Singler,,40-54,,
2:16.0,Shooting foul by D. Green (drawn by K. Caldwell-Pope),,40-54,,
2:16.0,K. Caldwell-Pope makes free throw 1 of 2,1,41-54,,
2:16.0,K. Caldwell-Pope makes free throw 2 of 2,1,42-54,,
2:05.0,,,42-54,,Turnover by T. Parker (lost ball; steal by B. Jennings)
2:02.0,Turnover by A. Tolliver (bad pass),,42-54,,
1:48.0,,,42-54,,Turnover by M. Ginobili (lost ball; steal by K. Singler)
1:48.0,Jump ball: M. Ginobili vs. K. Singler (A. Tolliver gains possession),,,,Jump ball: M. Ginobili vs. K. Singler (A. Tolliver gains possession)
1:33.0,B. Jennings makes 3-pt shot from 22 ft,3,45-54,,
1:17.0,,,45-54,,T. Parker misses 2-pt shot from 16 ft
1:16.0,Defensive rebound by A. Tolliver,,45-54,,
1:11.0,B. Jennings misses 2-pt shot from 2 ft (block by T. Duncan),,45-54,,
1:10.0,,,45-54,,Defensive rebound by M. Ginobili
1:00.0,,,45-54,,M. Ginobili misses 2-pt shot at rim
0:59.0,Defensive rebound by K. Singler,,45-54,,
0:53.0,A. Tolliver misses 3-pt shot from 22 ft,,45-54,,
0:53.0,Offensive rebound by G. Monroe,,45-54,,
0:53.0,G. Monroe makes 2-pt shot at rim,2,47-54,,
0:36.0,,,47-54,,M. Bonner misses 2-pt shot from 10 ft
0:35.0,,,47-54,,Offensive rebound by T. Duncan
0:35.0,,,47-56,2,T. Duncan makes 2-pt shot at rim
0:18.0,G. Monroe makes 2-pt shot from 1 ft (assist by B. Jennings),2,49-56,,
0:00.0,,,49-58,2,T. Duncan makes 2-pt shot from 1 ft (assist by M. Ginobili)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,B. Jennings makes 2-pt shot from 7 ft,2,51-58,,
11:19.0,,,51-58,,T. Duncan misses 2-pt shot from 8 ft
11:18.0,Defensive rebound by G. Monroe,,51-58,,
11:13.0,B. Jennings misses 2-pt shot from 2 ft,,51-58,,
11:12.0,Offensive rebound by A. Drummond,,51-58,,
11:12.0,A. Drummond makes 2-pt shot at rim,2,53-58,,
11:12.0,,,53-58,,San Antonio full timeout
11:02.0,,,53-58,,Turnover by M. Belinelli (lost ball; steal by K. Caldwell-Pope)
10:57.0,K. Caldwell-Pope makes 2-pt shot at rim (assist by B. Jennings),2,55-58,,
10:32.0,,,55-60,2,M. Belinelli makes 2-pt shot from 21 ft (assist by C. Joseph)
10:18.0,Shooting foul by T. Splitter (drawn by G. Monroe),,55-60,,
10:18.0,G. Monroe misses free throw 1 of 2,,55-60,,
10:18.0,Offensive rebound by Team,,55-60,,
10:18.0,G. Monroe makes free throw 2 of 2,1,56-60,,
9:56.0,,,56-62,2,C. Joseph makes 2-pt shot from 7 ft
9:40.0,K. Singler makes 2-pt shot from 20 ft (assist by B. Jennings),2,58-62,,
9:30.0,,,58-64,2,M. Belinelli makes 2-pt shot from 19 ft (assist by C. Joseph)
9:12.0,K. Caldwell-Pope makes 2-pt shot at rim (assist by G. Monroe),2,60-64,,
8:57.0,,,60-66,2,T. Duncan makes 2-pt shot from 3 ft (assist by M. Belinelli)
8:43.0,K. Caldwell-Pope makes 2-pt shot from 2 ft,2,62-66,,
8:26.0,,,62-69,3,D. Green makes 3-pt shot from 24 ft (assist by C. Joseph)
8:14.0,K. Caldwell-Pope misses 2-pt shot from 1 ft (block by T. Splitter),,62-69,,
8:11.0,Offensive rebound by A. Drummond,,62-69,,
8:11.0,A. Drummond makes 2-pt shot at rim,2,64-69,,
7:54.0,Violation by A. Drummond (kicked ball),,64-69,,
7:44.0,,,64-69,,D. Green misses 3-pt shot from 25 ft
7:43.0,Defensive rebound by G. Monroe,,64-69,,
7:28.0,Turnover by K. Singler (bad pass),,64-69,,
7:28.0,,,64-69,,M. Ginobili enters the game for D. Green
7:15.0,,,64-69,,Turnover by T. Splitter (lost ball; steal by G. Monroe)
7:01.0,G. Monroe misses 2-pt shot from 15 ft,,64-69,,
7:00.0,,,64-69,,Defensive rebound by T. Duncan
6:38.0,,,64-69,,T. Splitter misses 2-pt shot from 2 ft
6:37.0,Defensive rebound by K. Singler,,64-69,,
6:24.0,B. Jennings misses 3-pt shot from 23 ft,,64-69,,
6:22.0,Offensive rebound by A. Drummond,,64-69,,
6:22.0,A. Drummond makes 2-pt shot at rim,2,66-69,,
6:22.0,Shooting foul by T. Splitter (drawn by A. Drummond),,66-69,,
6:22.0,J. Meeks enters the game for K. Singler,,66-69,,
6:22.0,A. Drummond makes free throw 1 of 1,1,67-69,,
6:06.0,,,67-69,,C. Joseph misses 2-pt shot from 5 ft
6:04.0,Defensive rebound by A. Drummond,,67-69,,
5:58.0,B. Jennings misses 3-pt shot from 26 ft,,67-69,,
5:58.0,Offensive rebound by G. Monroe,,67-69,,
5:52.0,B. Jennings makes 2-pt shot from 1 ft (assist by G. Monroe),2,69-69,,
5:33.0,,,69-69,,Turnover by T. Duncan (lost ball; steal by G. Monroe)
5:31.0,,,69-69,,Personal foul by T. Duncan (drawn by A. Drummond)
5:31.0,,,69-69,,Technical foul by T. Duncan (drawn by A. Drummond)
5:31.0,J. Meeks makes technical free throw,1,70-69,,
5:13.0,B. Jennings misses 3-pt shot from 25 ft,,70-69,,
5:12.0,Offensive rebound by A. Drummond,,70-69,,
5:11.0,Shooting foul by T. Duncan (drawn by A. Drummond),,70-69,,
5:11.0,A. Drummond makes free throw 1 of 2,1,71-69,,
5:11.0,,,71-69,,D. Green enters the game for M. Belinelli
5:11.0,,,71-69,,P. Mills enters the game for C. Joseph
5:11.0,,,71-69,,M. Bonner enters the game for T. Splitter
5:11.0,J. Jerebko enters the game for G. Monroe,,71-69,,
5:11.0,A. Drummond makes free throw 2 of 2,1,72-69,,
4:57.0,,,72-69,,Turnover by M. Ginobili (bad pass; steal by J. Jerebko)
4:53.0,B. Jennings misses 2-pt shot at rim (block by D. Green),,72-69,,
4:52.0,,,72-69,,Defensive rebound by M. Ginobili
4:46.0,Personal foul by J. Jerebko (drawn by T. Duncan),,72-69,,
4:36.0,,,72-69,,P. Mills misses 2-pt shot from 8 ft
4:35.0,,,72-69,,Offensive rebound by P. Mills
4:34.0,Personal foul by K. Caldwell-Pope (drawn by M. Ginobili),,72-69,,
4:34.0,,,72-69,,J. Ayres enters the game for T. Duncan
4:21.0,,,72-69,,M. Ginobili misses 2-pt shot from 14 ft
4:20.0,Defensive rebound by A. Drummond,,72-69,,
4:07.0,J. Jerebko misses 3-pt shot from 24 ft,,72-69,,
4:06.0,Offensive rebound by B. Jennings,,72-69,,
4:03.0,B. Jennings misses 2-pt shot at rim,,72-69,,
4:02.0,,,72-69,,Defensive rebound by J. Ayres
3:53.0,,,72-69,,M. Bonner misses 3-pt shot from 26 ft
3:50.0,,,72-69,,Offensive rebound by D. Green
3:33.0,,,72-69,,Shooting foul by J. Jerebko (drawn by J. Ayres)
3:33.0,,,72-70,1,J. Ayres makes free throw 1 of 2
3:33.0,A. Tolliver enters the game for J. Jerebko,,72-70,,
3:33.0,,,72-71,1,J. Ayres makes free throw 2 of 2
3:11.0,Turnover by A. Drummond (lost ball; steal by M. Ginobili),,72-71,,
3:02.0,,,72-71,,M. Bonner misses 3-pt shot from 26 ft
3:01.0,,,72-71,,Offensive rebound by P. Mills
2:57.0,,,72-71,,J. Ayres misses 2-pt shot from 3 ft (block by A. Drummond)
2:56.0,Defensive rebound by J. Meeks,,72-71,,
2:51.0,J. Meeks misses 2-pt shot from 1 ft,,72-71,,
2:51.0,Offensive rebound by A. Tolliver,,72-71,,
2:51.0,A. Tolliver makes 2-pt shot from 2 ft,2,74-71,,
2:51.0,Shooting foul by J. Ayres (drawn by A. Tolliver),,74-71,,
2:51.0,Detroit full timeout,,74-71,,
2:51.0,D. Augustin enters the game for B. Jennings,,74-71,,
2:51.0,G. Monroe enters the game for A. Drummond,,74-71,,
2:51.0,A. Tolliver makes free throw 1 of 1,1,75-71,,
2:32.0,,,75-71,,M. Ginobili misses 2-pt shot from 2 ft (block by K. Caldwell-Pope)
2:32.0,,,75-71,,Offensive rebound by Team
2:29.0,,,75-71,,J. Ayres misses 2-pt shot from 15 ft
2:28.0,Defensive rebound by A. Tolliver,,75-71,,
2:17.0,D. Augustin makes 2-pt shot from 4 ft,2,77-71,,
2:07.0,Personal foul by D. Augustin (drawn by D. Green),,77-71,,
1:56.0,Personal foul by A. Tolliver (drawn by M. Bonner),,77-71,,
1:56.0,,,77-71,,M. Bonner misses free throw 1 of 2
1:56.0,,,77-71,,Offensive rebound by Team
1:56.0,,,77-71,,M. Belinelli enters the game for M. Ginobili
1:56.0,,,77-72,1,M. Bonner makes free throw 2 of 2
1:41.0,J. Meeks makes 2-pt shot from 8 ft (assist by D. Augustin),2,79-72,,
1:21.0,,,79-72,,D. Green misses 3-pt shot from 25 ft
1:20.0,Defensive rebound by A. Tolliver,,79-72,,
1:09.0,,,79-72,,Personal block foul by P. Mills (drawn by D. Augustin)
1:09.0,D. Augustin makes free throw 1 of 2,1,80-72,,
1:09.0,D. Augustin misses free throw 2 of 2,,80-72,,
1:09.0,,,80-72,,Defensive rebound by M. Bonner
1:01.0,,,80-72,,P. Mills misses 3-pt shot from 25 ft
1:00.0,Defensive rebound by G. Monroe,,80-72,,
0:56.0,D. Augustin makes 2-pt shot at rim,2,82-72,,
0:46.0,,,82-72,,Shooting foul by K. Caldwell-Pope (drawn by M. Belinelli)
0:46.0,,,82-73,1,M. Belinelli makes free throw 1 of 2
0:46.0,,,82-74,1,M. Belinelli makes free throw 2 of 2
0:28.0,J. Meeks misses 3-pt shot from 24 ft,,82-74,,
0:27.0,,,82-74,,Defensive rebound by P. Mills
0:03.0,,,82-77,3,M. Belinelli makes 3-pt shot from 26 ft (assist by P. Mills)
0:00.0,D. Augustin misses 3-pt shot from 45 ft,,82-77,,
0:00.0,Offensive rebound by Team,,82-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,82-77,,P. Mills misses 3-pt shot from 25 ft
11:47.0,,,82-77,,Offensive rebound by J. Ayres
11:46.0,,,82-79,2,J. Ayres makes 2-pt shot from 1 ft
11:21.0,J. Meeks misses 3-pt shot from 23 ft,,82-79,,
11:20.0,,,82-79,,Defensive rebound by Team
11:08.0,,,82-79,,Turnover by B. Diaw (lost ball)
10:53.0,D. Augustin misses 2-pt shot from 2 ft,,82-79,,
10:52.0,,,82-79,,Defensive rebound by M. Belinelli
10:37.0,,,82-82,3,D. Green makes 3-pt shot from 24 ft (assist by B. Diaw)
10:22.0,Shooting foul by J. Ayres (drawn by J. Meeks),,82-82,,
10:22.0,J. Meeks makes free throw 1 of 2,1,83-82,,
10:22.0,J. Meeks makes free throw 2 of 2,1,84-82,,
10:03.0,,,84-82,,Turnover by P. Mills (lost ball)
10:03.0,C. Butler enters the game for K. Caldwell-Pope,,84-82,,
9:42.0,D. Augustin misses 3-pt shot from 25 ft,,84-82,,
9:41.0,,,84-82,,Defensive rebound by D. Green
9:29.0,,,84-85,3,B. Diaw makes 3-pt shot from 26 ft (assist by D. Green)
9:28.0,Detroit full timeout,,84-85,,
9:28.0,,,84-85,,T. Splitter enters the game for J. Ayres
9:28.0,,,84-85,,M. Ginobili enters the game for M. Belinelli
9:28.0,,,84-85,,C. Joseph enters the game for P. Mills
9:04.0,Turnover by Team (shot clock),,84-85,,
8:48.0,,,84-85,,T. Splitter misses 2-pt shot at rim
8:47.0,Defensive rebound by G. Monroe,,84-85,,
8:41.0,J. Meeks makes 2-pt shot from 2 ft (assist by D. Augustin),2,86-85,,
8:30.0,,,86-85,,B. Diaw misses 2-pt shot from 1 ft
8:29.0,,,86-85,,Offensive rebound by T. Splitter
8:29.0,,,86-87,2,T. Splitter makes 2-pt shot from 1 ft
8:16.0,G. Monroe makes 2-pt shot from 1 ft (assist by J. Meeks),2,88-87,,
7:59.0,,,88-90,3,D. Green makes 3-pt shot from 25 ft (assist by M. Ginobili)
7:39.0,,,88-90,,Personal foul by D. Green (drawn by J. Meeks)
7:39.0,A. Drummond enters the game for G. Monroe,,88-90,,
7:29.0,D. Augustin makes 2-pt shot from 20 ft,2,90-90,,
7:19.0,,,90-92,2,M. Ginobili makes 2-pt shot at rim
7:00.0,Shooting foul by T. Splitter (drawn by A. Drummond),,90-92,,
7:00.0,A. Drummond makes free throw 1 of 2,1,91-92,,
7:00.0,A. Drummond misses free throw 2 of 2,,91-92,,
