time,Orlando,pts.away,score,pts.home,Charlotte
10:33.0,,,40-58,3,G. Henderson makes 3-pt shot from 23 ft (assist by K. Walker)
10:33.0,Orlando full timeout,,40-58,,
10:15.0,N. Vucevic makes 2-pt shot from 6 ft,2,42-58,,
9:54.0,,,42-58,,K. Walker misses 3-pt shot from 26 ft
9:52.0,,,42-58,,Offensive rebound by L. Stephenson
9:38.0,,,42-58,,L. Stephenson misses 2-pt shot from 8 ft
9:37.0,Defensive rebound by N. Vucevic,,42-58,,
9:31.0,,,42-58,,Personal foul by L. Stephenson (drawn by T. Harris)
9:23.0,E. Fournier misses 3-pt shot from 26 ft,,42-58,,
9:22.0,,,42-58,,Defensive rebound by K. Walker
9:19.0,,,42-58,,Shooting foul by C. Frye (drawn by L. Stephenson)
9:19.0,,,42-59,1,L. Stephenson makes free throw 1 of 2
9:19.0,,,42-59,,L. Stephenson misses free throw 2 of 2
9:18.0,Defensive rebound by N. Vucevic,,42-59,,
9:01.0,T. Harris makes 2-pt shot from 11 ft,2,44-59,,
8:48.0,,,44-61,2,A. Jefferson makes 2-pt shot from 1 ft (assist by G. Henderson)
8:35.0,Turnover by E. Fournier (bad pass; steal by L. Stephenson),,44-61,,
8:28.0,,,44-64,3,G. Henderson makes 3-pt shot from 25 ft (assist by K. Walker)
8:14.0,T. Harris misses 2-pt shot from 1 ft,,44-64,,
8:12.0,,,44-64,,Defensive rebound by A. Jefferson
8:04.0,,,44-66,2,K. Walker makes 2-pt shot from 1 ft
7:39.0,E. Fournier makes 3-pt shot from 23 ft (assist by V. Oladipo),3,47-66,,
7:16.0,,,47-68,2,G. Henderson makes 2-pt shot from 15 ft
6:58.0,E. Payton enters the game for V. Oladipo,,47-68,,
6:47.0,T. Harris misses 2-pt shot from 14 ft,,47-68,,
6:46.0,,,47-68,,Defensive rebound by K. Walker
6:41.0,,,47-70,2,L. Stephenson makes 2-pt shot at rim (assist by K. Walker)
6:27.0,N. Vucevic misses 2-pt shot from 17 ft,,47-70,,
6:25.0,Offensive rebound by E. Payton,,47-70,,
6:25.0,E. Payton makes 2-pt shot from 1 ft,2,49-70,,
5:57.0,,,49-70,,K. Walker misses 2-pt shot from 2 ft
5:56.0,Defensive rebound by T. Harris,,49-70,,
5:48.0,T. Harris makes 2-pt shot from 2 ft,2,51-70,,
5:48.0,,,51-70,,Charlotte full timeout
5:48.0,W. Green enters the game for C. Frye,,51-70,,
5:48.0,,,51-70,,C. Zeller enters the game for M. Williams
5:28.0,,,51-70,,A. Jefferson misses 2-pt shot from 16 ft
5:25.0,,,51-70,,Offensive rebound by C. Zeller
5:19.0,,,51-70,,L. Stephenson misses 2-pt shot from 5 ft (block by N. Vucevic)
5:17.0,Defensive rebound by W. Green,,51-70,,
5:09.0,E. Fournier misses 3-pt shot from 25 ft,,51-70,,
5:07.0,Offensive rebound by W. Green,,51-70,,
4:54.0,E. Fournier makes 2-pt shot from 2 ft (assist by T. Harris),2,53-70,,
4:37.0,,,53-73,3,K. Walker makes 3-pt shot from 26 ft (assist by A. Jefferson)
4:15.0,E. Payton misses 2-pt shot from 19 ft,,53-73,,
4:14.0,,,53-73,,Defensive rebound by L. Stephenson
4:04.0,,,53-75,2,A. Jefferson makes 2-pt shot from 7 ft
3:37.0,W. Green misses 2-pt shot from 18 ft,,53-75,,
3:36.0,,,53-75,,Defensive rebound by G. Henderson
3:33.0,Personal foul by W. Green (drawn by C. Zeller),,53-75,,
3:33.0,B. Gordon enters the game for E. Fournier,,53-75,,
3:33.0,,,53-75,,G. Neal enters the game for G. Henderson
3:26.0,,,53-75,,Turnover by K. Walker (bad pass; steal by T. Harris)
3:23.0,T. Harris makes 2-pt shot at rim,2,55-75,,
3:23.0,Shooting foul by C. Zeller (drawn by T. Harris),,55-75,,
3:23.0,T. Harris makes free throw 1 of 1,1,56-75,,
3:02.0,,,56-75,,A. Jefferson misses 2-pt shot from 1 ft
3:01.0,Defensive rebound by B. Gordon,,56-75,,
2:56.0,B. Gordon misses 3-pt shot from 25 ft,,56-75,,
2:56.0,Offensive rebound by Team,,56-75,,
2:56.0,,,56-75,,Personal foul by K. Walker (drawn by N. Vucevic)
2:56.0,,,56-75,,B. Biyombo enters the game for A. Jefferson
2:40.0,B. Gordon misses 3-pt shot from 25 ft,,56-75,,
2:39.0,,,56-75,,Defensive rebound by B. Biyombo
2:26.0,,,56-77,2,B. Biyombo makes 2-pt shot from 2 ft (assist by L. Stephenson)
2:10.0,T. Harris misses 2-pt shot from 2 ft (block by B. Biyombo),,56-77,,
2:08.0,,,56-77,,Defensive rebound by K. Walker
2:04.0,,,56-77,,C. Zeller misses 2-pt shot from 1 ft
2:04.0,Defensive rebound by Team,,56-77,,
2:04.0,,,56-77,,Loose ball foul by C. Zeller (drawn by T. Harris)
2:04.0,,,56-77,,B. Roberts enters the game for K. Walker
2:04.0,C. Frye enters the game for N. Vucevic,,56-77,,
1:51.0,Turnover by E. Payton (bad pass; steal by L. Stephenson),,56-77,,
1:36.0,,,56-77,,C. Zeller misses 2-pt shot at rim (block by C. Frye)
1:35.0,Defensive rebound by T. Harris,,56-77,,
1:30.0,W. Green misses 2-pt shot at rim (block by B. Biyombo),,56-77,,
1:30.0,Offensive rebound by Team,,56-77,,
1:21.0,B. Gordon makes 2-pt shot from 2 ft,2,58-77,,
1:07.0,,,58-77,,L. Stephenson misses 3-pt shot from 25 ft
1:06.0,Defensive rebound by C. Frye,,58-77,,
0:55.0,T. Harris makes 2-pt shot from 3 ft (assist by C. Frye),2,60-77,,
0:55.0,Shooting foul by C. Zeller (drawn by T. Harris),,60-77,,
0:55.0,T. Harris makes free throw 1 of 1,1,61-77,,
0:42.0,,,61-77,,G. Neal misses 2-pt shot from 18 ft
0:39.0,,,61-77,,Offensive rebound by G. Neal
0:39.0,,,61-79,2,G. Neal makes 2-pt shot from 11 ft
0:33.0,,,61-79,,Shooting block foul by G. Neal (drawn by E. Payton)
0:33.0,E. Payton makes free throw 1 of 2,1,62-79,,
0:33.0,E. Payton misses free throw 2 of 2,,62-79,,
0:31.0,,,62-79,,Defensive rebound by C. Zeller
0:22.0,,,62-79,,Offensive foul by B. Biyombo
0:22.0,,,62-79,,Turnover by B. Biyombo (offensive foul)
0:04.0,E. Payton makes 2-pt shot from 10 ft,2,64-79,,
0:01.0,,,64-79,,Turnover by G. Neal (lost ball)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,64-81,2,G. Neal makes 2-pt shot from 9 ft
11:35.0,Shooting foul by G. Neal (drawn by E. Fournier),,64-81,,
11:35.0,E. Fournier makes free throw 1 of 2,1,65-81,,
11:35.0,,,65-81,,M. Williams enters the game for C. Zeller
11:35.0,E. Fournier misses free throw 2 of 2,,65-81,,
11:33.0,,,65-81,,Defensive rebound by M. Williams
11:17.0,,,65-81,,J. Maxiell misses 2-pt shot from 10 ft
11:15.0,,,65-81,,Offensive rebound by M. Williams
11:01.0,,,65-81,,G. Neal misses 2-pt shot from 11 ft
11:00.0,,,65-81,,Offensive rebound by J. Maxiell
10:55.0,,,65-81,,K. Walker misses 2-pt shot from 16 ft
10:54.0,,,65-81,,Offensive rebound by K. Walker
10:47.0,,,65-83,2,K. Walker makes 2-pt shot from 11 ft
10:40.0,B. Gordon makes 3-pt shot from 23 ft (assist by E. Payton),3,68-83,,
10:22.0,,,68-83,,B. Roberts misses 2-pt shot from 15 ft
10:21.0,Defensive rebound by W. Green,,68-83,,
10:15.0,Shooting foul by G. Neal (drawn by B. Gordon),,68-83,,
10:15.0,B. Gordon makes 2-pt shot from 1 ft,2,70-83,,
10:15.0,B. Gordon makes free throw 1 of 1,1,71-83,,
10:04.0,,,71-83,,K. Walker misses 2-pt shot from 1 ft (block by C. Frye)
10:02.0,Defensive rebound by C. Frye,,71-83,,
9:56.0,E. Fournier makes 2-pt shot at rim,2,73-83,,
9:55.0,,,73-83,,Charlotte full timeout
9:38.0,,,73-85,2,B. Roberts makes 2-pt shot from 12 ft
9:23.0,E. Payton makes 2-pt shot from 1 ft,2,75-85,,
9:11.0,,,75-87,2,K. Walker makes 2-pt shot from 11 ft
8:54.0,,,75-87,,G. Henderson enters the game for B. Roberts
8:44.0,C. Frye makes 3-pt shot from 26 ft (assist by E. Payton),3,78-87,,
8:31.0,,,78-87,,K. Walker misses 2-pt shot from 11 ft
8:28.0,Defensive rebound by C. Frye,,78-87,,
8:21.0,E. Fournier makes 2-pt shot at rim,2,80-87,,
8:07.0,Personal foul by E. Fournier (drawn by J. Maxiell),,80-87,,
8:07.0,,,80-87,,L. Stephenson enters the game for J. Maxiell
7:54.0,,,80-87,,K. Walker misses 3-pt shot from 26 ft
7:53.0,Defensive rebound by B. Gordon,,80-87,,
7:41.0,E. Payton misses 3-pt shot from 26 ft,,80-87,,
7:40.0,,,80-87,,Defensive rebound by K. Walker
7:30.0,,,80-89,2,G. Neal makes 2-pt shot from 14 ft (assist by M. Williams)
7:30.0,Orlando full timeout,,80-89,,
7:30.0,N. Vucevic enters the game for C. Frye,,80-89,,
7:30.0,T. Harris enters the game for E. Fournier,,80-89,,
7:30.0,,,80-89,,A. Jefferson enters the game for G. Henderson
7:14.0,E. Payton makes 2-pt shot from 1 ft (assist by N. Vucevic),2,82-89,,
6:52.0,,,82-89,,A. Jefferson misses 2-pt shot from 11 ft
6:51.0,Defensive rebound by B. Gordon,,82-89,,
6:43.0,B. Gordon misses 2-pt shot from 14 ft,,82-89,,
6:42.0,,,82-89,,Defensive rebound by L. Stephenson
6:32.0,,,82-91,2,M. Williams makes 2-pt shot at rim (assist by L. Stephenson)
6:13.0,N. Vucevic misses 2-pt shot from 6 ft,,82-91,,
6:11.0,,,82-91,,Defensive rebound by A. Jefferson
6:00.0,Jump ball: W. Green vs. M. Williams (A. Jefferson gains possession),,,,Jump ball: W. Green vs. M. Williams (A. Jefferson gains possession)
5:54.0,,,82-91,,A. Jefferson misses 2-pt shot from 2 ft
5:53.0,Defensive rebound by N. Vucevic,,82-91,,
5:34.0,E. Payton misses 2-pt shot from 8 ft,,82-91,,
5:31.0,Offensive rebound by N. Vucevic,,82-91,,
5:31.0,N. Vucevic makes 2-pt shot at rim,2,84-91,,
5:07.0,,,84-93,2,A. Jefferson makes 2-pt shot from 7 ft (assist by L. Stephenson)
4:52.0,W. Green makes 2-pt shot from 4 ft,2,86-93,,
4:38.0,,,86-93,,A. Jefferson misses 2-pt shot from 6 ft
4:37.0,Defensive rebound by T. Harris,,86-93,,
4:24.0,W. Green makes 3-pt shot from 27 ft (assist by E. Payton),3,89-93,,
4:01.0,,,89-93,,L. Stephenson misses 2-pt shot from 9 ft
4:00.0,Defensive rebound by T. Harris,,89-93,,
3:48.0,B. Gordon makes 2-pt shot from 18 ft (assist by E. Payton),2,91-93,,
3:47.0,,,91-93,,Charlotte full timeout
3:36.0,,,91-93,,G. Neal misses 3-pt shot from 26 ft
3:35.0,Defensive rebound by T. Harris,,91-93,,
3:22.0,W. Green makes 2-pt shot from 19 ft (assist by N. Vucevic),2,93-93,,
3:01.0,,,93-93,,K. Walker misses 2-pt shot from 16 ft
2:59.0,Defensive rebound by N. Vucevic,,93-93,,
2:52.0,B. Gordon misses 3-pt shot from 26 ft,,93-93,,
2:50.0,,,93-93,,Defensive rebound by K. Walker
2:27.0,,,93-93,,K. Walker misses 2-pt shot at rim (block by T. Harris)
2:26.0,,,93-93,,Offensive rebound by K. Walker
2:26.0,,,93-95,2,K. Walker makes 2-pt shot at rim
2:13.0,E. Payton makes 2-pt shot from 7 ft,2,95-95,,
1:43.0,,,95-95,,K. Walker misses 3-pt shot from 25 ft
1:42.0,Defensive rebound by W. Green,,95-95,,
1:30.0,E. Payton makes 2-pt shot from 15 ft,2,97-95,,
1:30.0,,,97-95,,Charlotte full timeout
1:20.0,,,97-95,,Shooting foul by N. Vucevic (drawn by A. Jefferson)
1:20.0,,,97-96,1,A. Jefferson makes free throw 1 of 2
1:20.0,,,97-97,1,A. Jefferson makes free throw 2 of 2
1:06.0,N. Vucevic misses 2-pt shot from 18 ft,,97-97,,
1:05.0,Offensive rebound by Team,,97-97,,
0:59.0,Shooting foul by K. Walker (drawn by E. Payton),,97-97,,
0:59.0,E. Payton misses free throw 1 of 2,,97-97,,
