time,LA Lakers,pts.away,score,pts.home,Detroit
0:59.0,Turnover by E. Davis (offensive foul),,16-19,,
0:35.0,,,16-19,,G. Monroe misses 2-pt shot at rim
0:34.0,Defensive rebound by E. Davis,,16-19,,
0:17.0,N. Young makes 2-pt shot from 18 ft,2,18-19,,
0:17.0,Shooting foul by C. Butler (drawn by N. Young),,18-19,,
0:17.0,N. Young makes free throw 1 of 1,1,19-19,,
0:01.0,,,19-19,,B. Jennings misses 2-pt shot from 15 ft
0:00.0,,,19-19,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,W. Ellington makes 2-pt shot from 16 ft,2,21-19,,
11:37.0,,,21-19,,Detroit full timeout
11:24.0,,,21-19,,C. Martin misses 2-pt shot from 15 ft
11:23.0,Defensive rebound by E. Davis,,21-19,,
11:08.0,R. Sacre misses 2-pt shot from 14 ft,,21-19,,
11:07.0,,,21-19,,Defensive rebound by C. Butler
11:01.0,,,21-19,,C. Martin misses 2-pt shot from 3 ft (block by N. Young)
11:01.0,,,21-19,,Offensive rebound by Team
10:56.0,,,21-19,,Turnover by C. Martin (step out of bounds)
10:45.0,W. Ellington makes 2-pt shot from 16 ft,2,23-19,,
10:21.0,,,23-19,,J. Smith misses 2-pt shot from 19 ft
10:20.0,Defensive rebound by W. Ellington,,23-19,,
10:08.0,R. Sacre misses 2-pt shot from 10 ft,,23-19,,
10:06.0,,,23-19,,Defensive rebound by J. Smith
9:58.0,,,23-19,,D. Augustin misses 2-pt shot from 13 ft
9:57.0,Defensive rebound by W. Ellington,,23-19,,
9:50.0,Shooting foul by C. Martin (drawn by N. Young),,23-19,,
9:50.0,N. Young makes free throw 1 of 2,1,24-19,,
9:50.0,,,24-19,,K. Caldwell-Pope enters the game for C. Martin
9:50.0,N. Young misses free throw 2 of 2,,24-19,,
9:49.0,,,24-19,,Defensive rebound by G. Monroe
9:25.0,,,24-21,2,J. Smith makes 2-pt shot at rim (assist by D. Augustin)
9:06.0,R. Sacre makes 2-pt shot from 17 ft (assist by R. Price),2,26-21,,
9:00.0,Personal foul by R. Price (drawn by D. Augustin),,26-21,,
8:47.0,,,26-23,2,J. Smith makes 2-pt shot from 5 ft
8:47.0,,,26-23,,Shooting foul by E. Davis (drawn by J. Smith)
8:47.0,Official timeout,,26-23,,
8:47.0,,,26-24,1,J. Smith makes free throw 1 of 1
8:33.0,Shooting foul by K. Caldwell-Pope (drawn by N. Young),,26-24,,
8:33.0,N. Young makes 2-pt shot from 16 ft,2,28-24,,
8:33.0,W. Johnson enters the game for E. Davis,,28-24,,
8:33.0,N. Young makes free throw 1 of 1,1,29-24,,
8:16.0,,,29-24,,D. Augustin misses 2-pt shot from 7 ft
8:15.0,,,29-24,,Offensive rebound by J. Smith
7:58.0,,,29-24,,C. Butler misses 2-pt shot from 1 ft (block by W. Johnson)
7:56.0,,,29-24,,Offensive rebound by J. Smith
7:55.0,,,29-26,2,J. Smith makes 2-pt shot at rim
7:47.0,W. Ellington misses 2-pt shot from 11 ft,,29-26,,
7:46.0,,,29-26,,Defensive rebound by C. Butler
7:34.0,,,29-26,,Turnover by G. Monroe (bad pass; steal by W. Ellington)
7:28.0,W. Ellington makes 2-pt shot at rim,2,31-26,,
7:08.0,,,31-26,,K. Caldwell-Pope misses 3-pt shot from 24 ft
7:07.0,,,31-26,,Offensive rebound by Team
7:07.0,Loose ball foul by R. Sacre (drawn by G. Monroe),,31-26,,
7:07.0,K. Bryant enters the game for N. Young,,31-26,,
6:54.0,,,31-26,,Shooting foul by W. Johnson (drawn by J. Smith)
6:54.0,,,31-27,1,J. Smith makes free throw 1 of 2
6:54.0,,,31-28,1,J. Smith makes free throw 2 of 2
6:42.0,R. Sacre misses 2-pt shot from 17 ft,,31-28,,
6:41.0,,,31-28,,Defensive rebound by Team
6:41.0,J. Hill enters the game for R. Sacre,,31-28,,
6:22.0,,,31-30,2,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by J. Smith)
6:04.0,K. Bryant misses 2-pt shot from 15 ft,,31-30,,
6:03.0,Offensive rebound by R. Price,,31-30,,
5:49.0,Turnover by K. Bryant (back court),,31-30,,
5:49.0,,,31-30,,Detroit full timeout
5:49.0,J. Lin enters the game for R. Price,,31-30,,
5:49.0,C. Boozer enters the game for W. Ellington,,31-30,,
5:49.0,,,31-30,,A. Drummond enters the game for G. Monroe
5:34.0,,,31-33,3,C. Butler makes 3-pt shot from 25 ft (assist by D. Augustin)
5:16.0,J. Lin misses 2-pt shot from 16 ft,,31-33,,
5:14.0,,,31-33,,Defensive rebound by J. Smith
5:08.0,,,31-33,,Turnover by J. Smith (bad pass)
4:58.0,K. Bryant misses 3-pt shot from 26 ft,,31-33,,
4:57.0,,,31-33,,Defensive rebound by A. Drummond
4:48.0,,,31-35,2,D. Augustin makes 2-pt shot at rim
4:30.0,C. Boozer misses 2-pt shot from 16 ft,,31-35,,
4:29.0,,,31-35,,Defensive rebound by A. Drummond
4:17.0,,,31-35,,Turnover by C. Butler (bad pass; steal by C. Boozer)
4:11.0,C. Boozer makes 2-pt shot at rim (assist by J. Lin),2,33-35,,
3:48.0,,,33-35,,J. Smith misses 2-pt shot from 20 ft
3:47.0,Defensive rebound by C. Boozer,,33-35,,
3:39.0,J. Hill makes 2-pt shot at rim (assist by K. Bryant),2,35-35,,
3:17.0,,,35-35,,C. Butler misses 3-pt shot from 23 ft
3:16.0,,,35-35,,Offensive rebound by A. Drummond
3:15.0,,,35-35,,A. Drummond misses 2-pt shot at rim
3:15.0,,,35-35,,Offensive rebound by A. Drummond
3:13.0,,,35-35,,A. Drummond misses 2-pt shot at rim
3:12.0,Defensive rebound by J. Hill,,35-35,,
2:59.0,J. Hill misses 2-pt shot at rim,,35-35,,
2:59.0,Offensive rebound by J. Hill,,35-35,,
2:58.0,J. Hill makes 2-pt shot at rim,2,37-35,,
2:46.0,Personal foul by C. Boozer (drawn by A. Drummond),,37-35,,
2:46.0,LA Lakers full timeout,,37-35,,
2:46.0,,,37-35,,B. Jennings enters the game for D. Augustin
2:46.0,,,37-36,1,A. Drummond makes free throw 1 of 2
2:46.0,,,37-36,,A. Drummond misses free throw 2 of 2
2:44.0,Defensive rebound by J. Hill,,37-36,,
2:29.0,W. Johnson makes 2-pt shot from 15 ft (assist by C. Boozer),2,39-36,,
2:12.0,,,39-38,2,J. Smith makes 2-pt shot from 18 ft (assist by B. Jennings)
1:53.0,J. Hill misses 2-pt shot from 4 ft,,39-38,,
1:51.0,,,39-38,,Defensive rebound by J. Smith
1:45.0,,,39-38,,K. Caldwell-Pope misses 2-pt shot from 7 ft
1:44.0,,,39-38,,Offensive rebound by A. Drummond
1:43.0,,,39-38,,A. Drummond misses 2-pt shot at rim
1:42.0,,,39-38,,Offensive rebound by A. Drummond
1:41.0,,,39-40,2,A. Drummond makes 2-pt shot at rim
1:28.0,W. Johnson makes 3-pt shot from 25 ft (assist by K. Bryant),3,42-40,,
1:16.0,,,42-40,,Shooting foul by J. Lin (drawn by B. Jennings)
1:16.0,,,42-41,1,B. Jennings makes free throw 1 of 2
1:16.0,,,42-42,1,B. Jennings makes free throw 2 of 2
1:11.0,,,42-42,,Personal foul by B. Jennings (drawn by J. Lin)
1:00.0,W. Johnson makes 2-pt shot at rim (assist by J. Lin),2,44-42,,
1:00.0,Shooting foul by J. Smith (drawn by W. Johnson),,44-42,,
1:00.0,W. Johnson misses free throw 1 of 1,,44-42,,
0:59.0,,,44-42,,Defensive rebound by A. Drummond
0:39.0,,,44-42,,J. Smith misses 3-pt shot from 27 ft
0:38.0,,,44-42,,Offensive rebound by A. Drummond
0:25.0,,,44-45,3,C. Butler makes 3-pt shot from 23 ft (assist by J. Smith)
0:06.0,J. Hill makes 2-pt shot from 6 ft (assist by K. Bryant),2,46-45,,
0:01.0,,,46-45,,J. Smith misses 2-pt shot from 19 ft
0:00.0,,,46-45,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,C. Boozer makes 2-pt shot from 16 ft (assist by K. Bryant),2,48-45,,
11:27.0,,,48-47,2,J. Smith makes 2-pt shot from 1 ft
11:27.0,,,48-47,,Shooting foul by C. Boozer (drawn by J. Smith)
11:27.0,,,48-48,1,J. Smith makes free throw 1 of 1
11:08.0,J. Hill makes 2-pt shot at rim (assist by K. Bryant),2,50-48,,
10:53.0,,,50-48,,Turnover by K. Caldwell-Pope (traveling)
10:40.0,W. Johnson makes 3-pt shot from 23 ft (assist by K. Bryant),3,53-48,,
10:24.0,,,53-48,,J. Smith misses 2-pt shot from 16 ft
10:22.0,,,53-48,,Offensive rebound by A. Drummond
10:22.0,,,53-48,,A. Drummond misses 2-pt shot at rim
10:22.0,,,53-48,,Offensive rebound by Team
10:08.0,,,53-51,3,K. Singler makes 3-pt shot from 23 ft (assist by J. Smith)
9:46.0,Turnover by K. Bryant (bad pass),,53-51,,
9:34.0,,,53-51,,A. Drummond misses 2-pt shot at rim
9:33.0,Defensive rebound by J. Hill,,53-51,,
9:25.0,C. Boozer misses 2-pt shot at rim (block by A. Drummond),,53-51,,
9:24.0,,,53-51,,Defensive rebound by J. Smith
9:22.0,,,53-51,,Turnover by J. Smith (bad pass)
9:07.0,J. Lin makes 3-pt shot from 26 ft (assist by K. Bryant),3,56-51,,
8:38.0,,,56-51,,J. Smith misses 2-pt shot from 4 ft
8:37.0,Defensive rebound by C. Boozer,,56-51,,
8:31.0,Shooting foul by J. Smith (drawn by J. Lin),,56-51,,
8:31.0,,,56-51,,Technical foul by J. Smith (drawn by J. Lin)
8:31.0,J. Lin misses technical free throw,,56-51,,
8:31.0,Offensive rebound by Team,,56-51,,
8:31.0,J. Lin makes free throw 1 of 2,1,57-51,,
8:31.0,J. Lin makes free throw 2 of 2,1,58-51,,
8:19.0,,,58-51,,K. Singler misses 2-pt shot at rim (block by W. Johnson)
8:18.0,Defensive rebound by K. Bryant,,58-51,,
8:11.0,Turnover by K. Bryant (lost ball; steal by J. Smith),,58-51,,
8:05.0,,,58-51,,B. Jennings misses 3-pt shot from 25 ft
8:05.0,,,58-51,,Offensive rebound by Team
8:05.0,Loose ball foul by J. Lin (drawn by K. Caldwell-Pope),,58-51,,
7:49.0,,,58-51,,K. Singler misses 2-pt shot from 16 ft (block by W. Johnson)
7:49.0,,,58-51,,Offensive rebound by K. Singler
7:49.0,Personal foul by W. Johnson (drawn by K. Singler),,58-51,,
7:40.0,,,58-51,,J. Smith misses 2-pt shot from 17 ft
7:38.0,Defensive rebound by J. Lin,,58-51,,
7:25.0,K. Bryant makes 2-pt shot from 18 ft (assist by W. Johnson),2,60-51,,
7:08.0,,,60-51,,J. Smith misses 2-pt shot from 4 ft
7:06.0,,,60-51,,Offensive rebound by K. Caldwell-Pope
7:03.0,,,60-51,,Shooting foul by J. Hill (drawn by K. Caldwell-Pope)
7:03.0,,,60-52,1,K. Caldwell-Pope makes free throw 1 of 2
7:03.0,,,60-52,,K. Caldwell-Pope misses free throw 2 of 2
7:01.0,,,60-52,,Offensive rebound by Team
6:49.0,,,60-52,,J. Smith misses 2-pt shot from 5 ft
6:47.0,Defensive rebound by C. Boozer,,60-52,,
6:37.0,,,60-52,,Technical foul by Team
6:37.0,K. Bryant makes technical free throw,1,61-52,,
6:30.0,Shooting foul by K. Caldwell-Pope (drawn by K. Bryant),,61-52,,
6:30.0,,,61-52,,Detroit full timeout
6:30.0,K. Bryant makes free throw 1 of 2,1,62-52,,
6:30.0,K. Bryant makes free throw 2 of 2,1,63-52,,
6:19.0,,,63-52,,Turnover by J. Smith (lost ball; steal by K. Bryant)
6:14.0,K. Bryant makes 2-pt shot at rim (assist by J. Lin),2,65-52,,
6:00.0,,,65-52,,Turnover by B. Jennings (bad pass; steal by C. Boozer)
5:54.0,K. Bryant makes 3-pt shot from 26 ft,3,68-52,,
5:35.0,,,68-54,2,K. Caldwell-Pope makes 2-pt shot from 18 ft (assist by B. Jennings)
5:20.0,K. Bryant makes 2-pt shot from 17 ft,2,70-54,,
5:03.0,,,70-54,,B. Jennings misses 2-pt shot from 17 ft
5:02.0,Defensive rebound by C. Boozer,,70-54,,
4:51.0,C. Boozer misses 2-pt shot from 16 ft,,70-54,,
4:50.0,,,70-54,,Defensive rebound by B. Jennings
4:48.0,Personal foul by C. Boozer (drawn by B. Jennings),,70-54,,
4:48.0,,,70-55,1,B. Jennings makes free throw 1 of 2
4:48.0,,,70-55,,G. Monroe enters the game for A. Drummond
4:48.0,,,70-55,,C. Butler enters the game for K. Singler
4:48.0,E. Davis enters the game for C. Boozer,,70-55,,
4:48.0,N. Young enters the game for W. Johnson,,70-55,,
4:48.0,,,70-56,1,B. Jennings makes free throw 2 of 2
4:36.0,J. Lin misses 3-pt shot from 25 ft,,70-56,,
4:35.0,Offensive rebound by J. Hill,,70-56,,
4:31.0,J. Hill makes 2-pt shot from 5 ft,2,72-56,,
4:22.0,Personal foul by J. Lin (drawn by B. Jennings),,72-56,,
4:22.0,,,72-57,1,B. Jennings makes free throw 1 of 2
4:22.0,,,72-58,1,B. Jennings makes free throw 2 of 2
4:08.0,N. Young misses 2-pt shot from 21 ft,,72-58,,
4:07.0,,,72-58,,Defensive rebound by G. Monroe
3:55.0,,,72-58,,G. Monroe misses 2-pt shot from 6 ft
3:53.0,Defensive rebound by K. Bryant,,72-58,,
3:48.0,K. Bryant misses 3-pt shot from 27 ft,,72-58,,
3:47.0,,,72-58,,Defensive rebound by B. Jennings
3:42.0,,,72-58,,B. Jennings misses 2-pt shot from 3 ft
3:42.0,Defensive rebound by Team,,72-58,,
3:42.0,R. Price enters the game for J. Lin,,72-58,,
3:32.0,R. Sacre enters the game for J. Hill,,72-58,,
3:28.0,N. Young makes 3-pt shot from 23 ft (assist by K. Bryant),3,75-58,,
3:07.0,,,75-58,,J. Smith misses 2-pt shot at rim
3:06.0,Defensive rebound by E. Davis,,75-58,,
2:56.0,K. Bryant misses 2-pt shot from 1 ft,,75-58,,
2:53.0,Offensive rebound by E. Davis,,75-58,,
2:52.0,E. Davis makes 2-pt shot from 1 ft,2,77-58,,
2:35.0,,,77-58,,B. Jennings misses 2-pt shot from 16 ft
2:34.0,Defensive rebound by K. Bryant,,77-58,,
2:25.0,Shooting foul by J. Smith (drawn by R. Sacre),,77-58,,
2:25.0,LA Lakers full timeout,,77-58,,
2:25.0,,,77-58,,D. Augustin enters the game for B. Jennings
2:25.0,R. Sacre misses free throw 1 of 2,,77-58,,
2:25.0,Offensive rebound by Team,,77-58,,
2:25.0,R. Sacre makes free throw 2 of 2,1,78-58,,
2:11.0,Violation by E. Davis (def goaltending),,78-58,,
2:11.0,,,78-60,2,D. Augustin makes 2-pt shot at rim (assist by G. Monroe)
1:59.0,Shooting foul by C. Butler (drawn by N. Young),,78-60,,
1:59.0,N. Young makes free throw 1 of 3,1,79-60,,
1:59.0,N. Young makes free throw 2 of 3,1,80-60,,
1:59.0,W. Ellington enters the game for K. Bryant,,80-60,,
1:59.0,N. Young makes free throw 3 of 3,1,81-60,,
1:34.0,,,81-60,,K. Caldwell-Pope misses 3-pt shot from 26 ft
1:33.0,Defensive rebound by E. Davis,,81-60,,
1:18.0,W. Ellington misses 2-pt shot from 19 ft,,81-60,,
1:17.0,,,81-60,,Defensive rebound by J. Smith
1:02.0,,,81-60,,K. Caldwell-Pope misses 2-pt shot at rim
1:00.0,Defensive rebound by N. Young,,81-60,,
0:56.0,N. Young misses 2-pt shot at rim,,81-60,,
0:55.0,,,81-60,,Defensive rebound by K. Caldwell-Pope
0:44.0,,,81-62,2,C. Butler makes 2-pt shot from 14 ft
0:44.0,,,81-62,,Shooting foul by R. Price (drawn by C. Butler)
0:44.0,,,81-63,1,C. Butler makes free throw 1 of 1
0:31.0,N. Young misses 3-pt shot from 26 ft,,81-63,,
0:30.0,,,81-63,,Defensive rebound by J. Smith
0:29.0,,,81-63,,Turnover by J. Smith (bad pass; steal by W. Ellington)
0:09.0,R. Price misses 2-pt shot from 18 ft,,81-63,,
0:08.0,,,81-63,,Defensive rebound by J. Smith
0:01.0,,,81-63,,Shooting foul by W. Ellington (drawn by D. Augustin)
0:01.0,,,81-64,1,D. Augustin makes free throw 1 of 2
0:01.0,,,81-65,1,D. Augustin makes free throw 2 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,81-65,,J. Jerebko misses 2-pt shot from 4 ft (block by R. Sacre)
11:42.0,,,81-65,,Offensive rebound by Team
11:39.0,,,81-65,,L. Datome misses 2-pt shot from 16 ft
11:38.0,,,81-65,,Offensive rebound by D. Augustin
11:29.0,,,81-65,,Shooting foul by R. Sacre (drawn by D. Augustin)
11:29.0,,,81-66,1,D. Augustin makes free throw 1 of 2
11:29.0,,,81-66,,D. Augustin misses free throw 2 of 2
11:28.0,Defensive rebound by R. Sacre,,81-66,,
11:13.0,W. Ellington makes 3-pt shot from 25 ft (assist by R. Price),3,84-66,,
10:49.0,,,84-66,,Turnover by L. Datome (bad pass; steal by R. Price)
10:39.0,Turnover by E. Davis (3 sec),,84-66,,
10:24.0,,,84-69,3,J. Jerebko makes 3-pt shot from 27 ft (assist by D. Augustin)
10:03.0,R. Sacre misses 2-pt shot from 19 ft,,84-69,,
10:02.0,Offensive rebound by E. Davis,,84-69,,
9:46.0,R. Price misses 2-pt shot at rim (block by J. Jerebko),,84-69,,
9:45.0,Offensive rebound by E. Davis,,84-69,,
9:37.0,N. Young makes 3-pt shot from 26 ft,3,87-69,,
9:36.0,,,87-69,,Detroit full timeout
9:36.0,,,87-69,,C. Butler enters the game for K. Caldwell-Pope
9:22.0,,,87-69,,Shooting foul by R. Sacre (drawn by G. Monroe)
9:22.0,,,87-70,1,G. Monroe makes free throw 1 of 2
9:22.0,,,87-71,1,G. Monroe makes free throw 2 of 2
9:12.0,,,87-71,,Personal foul by L. Datome (drawn by R. Sacre)
8:59.0,R. Sacre misses 2-pt shot from 20 ft,,87-71,,
8:58.0,,,87-71,,Defensive rebound by L. Datome
8:49.0,,,87-71,,L. Datome misses 3-pt shot from 25 ft
8:48.0,,,87-71,,Offensive rebound by J. Jerebko
8:46.0,Personal foul by W. Ellington (drawn by L. Datome),,87-71,,
8:32.0,,,87-73,2,L. Datome makes 2-pt shot from 3 ft (assist by G. Monroe)
8:07.0,N. Young misses 2-pt shot from 9 ft,,87-73,,
8:06.0,Offensive rebound by E. Davis,,87-73,,
8:06.0,Shooting foul by G. Monroe (drawn by E. Davis),,87-73,,
8:06.0,E. Davis makes free throw 1 of 2,1,88-73,,
8:06.0,E. Davis misses free throw 2 of 2,,88-73,,
8:04.0,,,88-73,,Defensive rebound by G. Monroe
7:51.0,,,88-75,2,G. Monroe makes 2-pt shot from 6 ft (assist by D. Augustin)
7:29.0,R. Sacre misses 2-pt shot from 6 ft,,88-75,,
7:28.0,,,88-75,,Defensive rebound by G. Monroe
7:16.0,,,88-77,2,D. Augustin makes 2-pt shot at rim
6:51.0,N. Young misses 3-pt shot from 25 ft,,88-77,,
6:49.0,,,88-77,,Defensive rebound by J. Jerebko
6:39.0,,,88-77,,Shooting foul by W. Ellington (drawn by G. Monroe)
6:39.0,,,88-78,1,G. Monroe makes free throw 1 of 2
6:39.0,K. Bryant enters the game for E. Davis,,88-78,,
6:39.0,J. Lin enters the game for N. Young,,88-78,,
6:39.0,W. Johnson enters the game for R. Price,,88-78,,
6:39.0,J. Hill enters the game for R. Sacre,,88-78,,
6:39.0,C. Boozer enters the game for W. Ellington,,88-78,,
6:39.0,,,88-78,,G. Monroe misses free throw 2 of 2
6:38.0,Defensive rebound by C. Boozer,,88-78,,
6:23.0,J. Hill makes 2-pt shot at rim (assist by C. Boozer),2,90-78,,
6:08.0,,,90-78,,L. Datome misses 2-pt shot from 11 ft
6:07.0,,,90-78,,Offensive rebound by Team
6:07.0,Loose ball foul by J. Lin (drawn by J. Jerebko),,90-78,,
6:07.0,,,90-79,1,J. Jerebko makes free throw 1 of 2
6:07.0,,,90-80,1,J. Jerebko makes free throw 2 of 2
5:55.0,Turnover by K. Bryant (bad pass),,90-80,,
5:55.0,Official timeout,,90-80,,
5:41.0,,,90-82,2,J. Jerebko makes 2-pt shot from 18 ft (assist by D. Augustin)
5:26.0,J. Hill makes 2-pt shot from 16 ft (assist by K. Bryant),2,92-82,,
5:13.0,,,92-85,3,D. Augustin makes 3-pt shot from 23 ft
4:56.0,J. Hill makes 2-pt shot from 16 ft (assist by K. Bryant),2,94-85,,
4:42.0,,,94-85,,J. Jerebko misses 3-pt shot from 26 ft
4:42.0,,,94-85,,Offensive rebound by G. Monroe
4:38.0,,,94-87,2,G. Monroe makes 2-pt shot at rim
4:22.0,Turnover by K. Bryant (bad pass; steal by G. Monroe),,94-87,,
4:12.0,,,94-87,,J. Jerebko misses 2-pt shot from 17 ft
4:11.0,Defensive rebound by C. Boozer,,94-87,,
3:51.0,C. Boozer misses 2-pt shot from 13 ft,,94-87,,
3:50.0,Offensive rebound by J. Hill,,94-87,,
3:46.0,J. Hill makes 2-pt shot from 6 ft,2,96-87,,
3:34.0,,,96-87,,Shooting foul by C. Boozer (drawn by G. Monroe)
3:34.0,,,96-88,1,G. Monroe makes free throw 1 of 2
3:34.0,,,96-88,,G. Monroe misses free throw 2 of 2
