time,Orlando,pts.away,score,pts.home,New York
8:50.0,Offensive rebound by Team,,27-27,,
8:50.0,R. Purvis makes free throw 2 of 2,1,28-27,,
8:27.0,,,28-29,2,F. Ntilikina makes 2-pt shot from 1 ft
8:16.0,K. Birch misses 2-pt shot from 1 ft,,28-29,,
8:15.0,,,28-29,,Defensive rebound by K. O'Quinn
7:54.0,,,28-29,,K. O'Quinn misses 3-pt shot from 25 ft
7:53.0,Defensive rebound by J. Artis,,28-29,,
7:49.0,R. Purvis misses 2-pt shot from 2 ft (block by K. O'Quinn),,28-29,,
7:48.0,Offensive rebound by Team,,28-29,,
7:45.0,,,28-29,,Loose ball foul by F. Ntilikina (drawn by K. Birch)
7:45.0,,,28-29,,T. Burke enters the game for E. Mudiay
7:45.0,,,28-29,,D. Dotson enters the game for F. Ntilikina
7:27.0,Shooting foul by K. O'Quinn (drawn by J. Artis),,28-29,,
7:27.0,J. Artis makes free throw 1 of 2,1,29-29,,
7:27.0,J. Artis misses free throw 2 of 2,,29-29,,
7:26.0,,,29-29,,Defensive rebound by K. O'Quinn
7:12.0,,,29-29,,I. Hicks misses 2-pt shot from 1 ft (block by K. Birch)
7:11.0,Defensive rebound by S. Mack,,29-29,,
7:05.0,R. Purvis misses 3-pt shot from 26 ft,,29-29,,
7:04.0,Offensive rebound by M. Hezonja,,29-29,,
6:59.0,M. Hezonja misses 2-pt shot at rim,,29-29,,
6:58.0,,,29-29,,Defensive rebound by I. Hicks
6:52.0,,,29-32,3,T. Burke makes 3-pt shot from 25 ft (assist by I. Hicks)
6:35.0,J. Artis makes 2-pt shot from 8 ft (assist by R. Purvis),2,31-32,,
6:19.0,,,31-34,2,T. Burke makes 2-pt shot from 19 ft
6:09.0,S. Mack misses 2-pt shot from 2 ft (block by K. O'Quinn),,31-34,,
6:08.0,Offensive rebound by K. Birch,,31-34,,
6:08.0,K. Birch misses 2-pt shot at rim,,31-34,,
6:07.0,Offensive rebound by Team,,31-34,,
6:07.0,,,31-34,,Loose ball foul by C. Lee (drawn by K. Birch)
5:58.0,R. Purvis makes 3-pt shot from 26 ft (assist by K. Birch),3,34-34,,
5:45.0,,,34-36,2,T. Burke makes 2-pt shot from 4 ft
5:22.0,K. Birch makes 2-pt shot from 5 ft (assist by S. Mack),2,36-36,,
5:12.0,,,36-38,2,I. Hicks makes 2-pt shot from 1 ft (assist by D. Dotson)
4:51.0,S. Mack makes 2-pt shot at rim (assist by K. Birch),2,38-38,,
4:43.0,W. Iwundu enters the game for M. Hezonja,,38-38,,
4:38.0,,,38-38,,D. Dotson misses 2-pt shot at rim
4:37.0,Defensive rebound by S. Mack,,38-38,,
4:34.0,W. Iwundu makes 2-pt shot at rim (assist by S. Mack),2,40-38,,
4:20.0,,,40-40,2,C. Lee makes 2-pt shot from 11 ft (assist by K. O'Quinn)
4:11.0,Orlando full timeout,,40-40,,
4:11.0,,,40-40,,T. Hardaway enters the game for C. Lee
4:11.0,D. Augustin enters the game for S. Mack,,40-40,,
4:11.0,A. Gordon enters the game for R. Purvis,,40-40,,
3:53.0,A. Gordon misses 3-pt shot from 23 ft,,40-40,,
3:52.0,,,40-40,,Defensive rebound by K. O'Quinn
3:38.0,,,40-40,,D. Dotson misses 2-pt shot from 5 ft
3:37.0,,,40-40,,Offensive rebound by K. O'Quinn
3:37.0,,,40-40,,K. O'Quinn misses 2-pt shot at rim
3:36.0,Defensive rebound by K. Birch,,40-40,,
3:22.0,A. Gordon misses 3-pt shot from 25 ft,,40-40,,
3:18.0,Offensive rebound by W. Iwundu,,40-40,,
3:08.0,A. Gordon misses 2-pt shot from 15 ft,,40-40,,
3:06.0,,,40-40,,Defensive rebound by T. Burke
2:57.0,,,40-40,,T. Hardaway misses 3-pt shot from 25 ft
2:56.0,Defensive rebound by A. Gordon,,40-40,,
2:50.0,Turnover by A. Gordon (bad pass),,40-40,,
2:50.0,M. Hezonja enters the game for J. Artis,,40-40,,
2:50.0,N. Vucevic enters the game for K. Birch,,40-40,,
2:40.0,,,40-40,,T. Burke misses 2-pt shot from 1 ft
2:40.0,Defensive rebound by N. Vucevic,,40-40,,
2:24.0,D. Augustin makes 3-pt shot from 25 ft (assist by N. Vucevic),3,43-40,,
2:05.0,,,43-40,,Turnover by K. O'Quinn (bad pass; steal by M. Hezonja)
1:58.0,W. Iwundu misses 3-pt shot from 25 ft,,43-40,,
1:57.0,,,43-40,,Defensive rebound by K. O'Quinn
1:43.0,,,43-43,3,T. Hardaway makes 3-pt shot from 24 ft (assist by T. Burke)
1:23.0,,,43-43,,Personal foul by D. Dotson (drawn by N. Vucevic)
1:23.0,N. Vucevic misses free throw 1 of 2,,43-43,,
1:23.0,Offensive rebound by Team,,43-43,,
1:23.0,N. Vucevic makes free throw 2 of 2,1,44-43,,
1:13.0,,,44-43,,Turnover by T. Hardaway (bad pass; steal by W. Iwundu)
1:11.0,Turnover by D. Augustin (step out of bounds),,44-43,,
1:02.0,,,44-43,,D. Dotson misses 3-pt shot from 24 ft
1:01.0,Defensive rebound by N. Vucevic,,44-43,,
0:50.0,N. Vucevic makes 2-pt shot from 1 ft (assist by D. Augustin),2,46-43,,
0:33.0,,,46-45,2,K. O'Quinn makes 2-pt shot at rim (assist by T. Burke)
0:26.0,D. Augustin misses 2-pt shot from 2 ft (block by K. O'Quinn),,46-45,,
0:25.0,,,46-45,,Defensive rebound by K. O'Quinn
0:10.0,Personal foul by W. Iwundu (drawn by T. Burke),,46-45,,
0:10.0,J. Artis enters the game for A. Gordon,,46-45,,
0:02.0,,,46-45,,T. Burke misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by J. Artis,,46-45,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,46-45,,Shooting foul by A. Gordon (drawn by L. Thomas)
11:43.0,,,46-45,,L. Thomas misses free throw 1 of 2
11:43.0,,,46-45,,Offensive rebound by Team
11:43.0,,,46-46,1,L. Thomas makes free throw 2 of 2
11:24.0,A. Gordon makes 2-pt shot from 12 ft,2,48-46,,
11:08.0,,,48-46,,Turnover by T. Hardaway (traveling)
11:01.0,M. Hezonja misses 2-pt shot from 1 ft (block by K. O'Quinn),,48-46,,
11:00.0,Offensive rebound by Team,,48-46,,
10:58.0,N. Vucevic makes 2-pt shot from 15 ft (assist by A. Gordon),2,50-46,,
10:46.0,,,50-48,2,T. Burke makes 2-pt shot from 21 ft
10:30.0,A. Gordon misses 3-pt shot from 22 ft,,50-48,,
10:29.0,,,50-48,,Defensive rebound by L. Thomas
10:16.0,,,50-48,,T. Hardaway misses 3-pt shot from 27 ft
10:15.0,Defensive rebound by N. Vucevic,,50-48,,
10:03.0,A. Gordon misses 3-pt shot from 25 ft,,50-48,,
10:02.0,,,50-48,,Defensive rebound by T. Hardaway
9:52.0,,,50-50,2,K. O'Quinn makes 2-pt shot at rim (assist by T. Hardaway)
9:38.0,,,50-50,,Personal foul by T. Hardaway (drawn by M. Hezonja)
9:25.0,M. Hezonja misses 3-pt shot from 27 ft,,50-50,,
9:24.0,,,50-50,,Defensive rebound by K. O'Quinn
9:10.0,,,50-50,,Turnover by K. O'Quinn (turnover)
8:59.0,D. Augustin misses 2-pt shot from 21 ft,,50-50,,
8:58.0,,,50-50,,Defensive rebound by L. Thomas
8:48.0,,,50-53,3,L. Thomas makes 3-pt shot from 25 ft (assist by F. Ntilikina)
8:19.0,A. Gordon makes 2-pt shot from 19 ft,2,52-53,,
8:04.0,,,52-55,2,T. Burke makes 2-pt shot from 19 ft
7:49.0,D. Augustin makes 2-pt shot from 1 ft,2,54-55,,
7:36.0,,,54-55,,F. Ntilikina misses 3-pt shot from 24 ft
7:35.0,Defensive rebound by N. Vucevic,,54-55,,
7:25.0,Turnover by M. Hezonja (bad pass; steal by L. Thomas),,54-55,,
7:13.0,,,54-55,,K. O'Quinn misses 2-pt shot from 6 ft
7:11.0,Defensive rebound by N. Vucevic,,54-55,,
6:56.0,M. Hezonja makes 2-pt shot from 21 ft (assist by N. Vucevic),2,56-55,,
6:28.0,,,56-55,,L. Thomas misses 2-pt shot from 2 ft
6:27.0,Defensive rebound by A. Gordon,,56-55,,
6:22.0,A. Gordon misses 2-pt shot from 1 ft (block by F. Ntilikina),,56-55,,
6:21.0,,,56-55,,Defensive rebound by F. Ntilikina
6:15.0,,,56-55,,F. Ntilikina misses 2-pt shot from 3 ft (block by N. Vucevic)
6:15.0,,,56-55,,Offensive rebound by Team
6:15.0,,,56-55,,New York full timeout
6:14.0,,,56-55,,Turnover by F. Ntilikina (bad pass; steal by A. Gordon)
5:57.0,N. Vucevic misses 3-pt shot from 24 ft,,56-55,,
5:56.0,,,56-55,,Defensive rebound by T. Hardaway
5:52.0,,,56-55,,Turnover by K. O'Quinn (bad pass; steal by A. Gordon)
5:46.0,M. Hezonja makes 3-pt shot from 23 ft (assist by N. Vucevic),3,59-55,,
5:25.0,,,59-57,2,K. O'Quinn makes 2-pt shot from 1 ft (assist by L. Thomas)
5:07.0,Shooting foul by T. Burke (drawn by D. Augustin),,59-57,,
5:07.0,D. Augustin makes free throw 1 of 2,1,60-57,,
5:07.0,,,60-57,,L. Kornet enters the game for K. O'Quinn
5:07.0,J. Artis enters the game for M. Hezonja,,60-57,,
5:07.0,D. Augustin makes free throw 2 of 2,1,61-57,,
4:47.0,,,61-57,,T. Hardaway misses 3-pt shot from 26 ft
4:46.0,Defensive rebound by N. Vucevic,,61-57,,
4:31.0,,,61-57,,Personal foul by T. Burke (drawn by D. Augustin)
4:20.0,W. Iwundu makes 2-pt shot from 1 ft (assist by A. Gordon),2,63-57,,
3:58.0,,,63-57,,F. Ntilikina misses 2-pt shot from 2 ft
3:56.0,Defensive rebound by N. Vucevic,,63-57,,
3:50.0,A. Gordon misses 3-pt shot from 24 ft,,63-57,,
3:49.0,Offensive rebound by D. Augustin,,63-57,,
3:35.0,W. Iwundu misses 2-pt shot from 15 ft,,63-57,,
3:34.0,,,63-57,,Defensive rebound by Team
3:22.0,,,63-57,,Turnover by F. Ntilikina (lost ball; steal by D. Augustin)
3:18.0,W. Iwundu misses 2-pt shot at rim,,63-57,,
3:17.0,Offensive rebound by W. Iwundu,,63-57,,
3:17.0,W. Iwundu misses 2-pt shot at rim,,63-57,,
3:16.0,Offensive rebound by Team,,63-57,,
3:16.0,,,63-57,,E. Mudiay enters the game for T. Burke
3:16.0,S. Mack enters the game for N. Vucevic,,63-57,,
3:16.0,K. Birch enters the game for D. Augustin,,63-57,,
3:16.0,Orlando full timeout,,63-57,,
3:16.0,,,63-57,,C. Lee enters the game for F. Ntilikina
3:16.0,R. Purvis enters the game for W. Iwundu,,63-57,,
2:52.0,R. Purvis misses 3-pt shot from 26 ft (block by C. Lee),,63-57,,
2:51.0,,,63-57,,Defensive rebound by L. Thomas
2:38.0,,,63-57,,C. Lee misses 2-pt shot from 20 ft
2:37.0,Defensive rebound by A. Gordon,,63-57,,
2:30.0,A. Gordon misses 3-pt shot from 25 ft,,63-57,,
2:29.0,,,63-57,,Defensive rebound by T. Hardaway
2:04.0,,,63-57,,E. Mudiay misses 3-pt shot from 30 ft
2:03.0,,,63-57,,Offensive rebound by Team
2:03.0,,,63-57,,Turnover by Team (shot clock)
1:51.0,R. Purvis misses 2-pt shot from 18 ft,,63-57,,
1:50.0,,,63-57,,Defensive rebound by T. Hardaway
1:40.0,,,63-59,2,C. Lee makes 2-pt shot from 1 ft
1:29.0,Turnover by R. Purvis (bad pass),,63-59,,
1:16.0,,,63-61,2,T. Hardaway makes 2-pt shot from 15 ft (assist by E. Mudiay)
0:59.0,J. Artis makes 2-pt shot from 1 ft (assist by S. Mack),2,65-61,,
0:48.0,,,65-61,,C. Lee misses 2-pt shot from 21 ft
0:47.0,Defensive rebound by J. Artis,,65-61,,
0:26.0,J. Artis makes 3-pt shot from 25 ft (assist by S. Mack),3,68-61,,
0:08.0,Personal take foul by S. Mack (drawn by E. Mudiay),,68-61,,
0:08.0,,,68-61,,I. Hicks enters the game for T. Hardaway
0:08.0,,,68-61,,F. Ntilikina enters the game for L. Thomas
0:02.0,,,68-61,,E. Mudiay misses 2-pt shot from 4 ft
0:01.0,Defensive rebound by K. Birch,,68-61,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,K. Birch makes 2-pt shot at rim (assist by S. Mack),2,70-61,,
11:32.0,,,70-63,2,C. Lee makes 2-pt shot at rim (assist by I. Hicks)
11:09.0,R. Purvis misses 2-pt shot from 2 ft,,70-63,,
11:08.0,,,70-63,,Defensive rebound by L. Kornet
10:46.0,,,70-63,,F. Ntilikina misses 2-pt shot from 9 ft
10:45.0,Defensive rebound by K. Birch,,70-63,,
10:29.0,Turnover by S. Mack (bad pass; steal by C. Lee),,70-63,,
10:27.0,Personal foul by J. Artis (drawn by E. Mudiay),,70-63,,
10:08.0,,,70-65,2,C. Lee makes 2-pt shot from 21 ft
9:56.0,,,70-65,,Personal foul by I. Hicks (drawn by R. Purvis)
9:48.0,J. Artis misses 3-pt shot from 25 ft,,70-65,,
9:47.0,,,70-65,,Defensive rebound by L. Kornet
9:37.0,,,70-65,,E. Mudiay misses 2-pt shot from 7 ft
9:36.0,Defensive rebound by M. Hezonja,,70-65,,
9:30.0,Turnover by R. Purvis (out of bounds lost ball),,70-65,,
9:19.0,,,70-65,,E. Mudiay misses 2-pt shot from 20 ft
9:18.0,,,70-65,,Offensive rebound by I. Hicks
9:14.0,,,70-65,,I. Hicks misses 2-pt shot from 2 ft
9:13.0,Defensive rebound by J. Artis,,70-65,,
8:58.0,R. Purvis misses 3-pt shot from 23 ft,,70-65,,
8:57.0,,,70-65,,Defensive rebound by L. Kornet
8:47.0,,,70-65,,Turnover by F. Ntilikina (bad pass; steal by J. Artis)
8:43.0,K. Birch misses 2-pt shot from 1 ft,,70-65,,
8:43.0,Offensive rebound by K. Birch,,70-65,,
8:41.0,K. Birch makes 2-pt shot at rim,2,72-65,,
8:22.0,,,72-65,,C. Lee misses 2-pt shot from 19 ft
8:21.0,Defensive rebound by M. Hezonja,,72-65,,
8:07.0,Shooting foul by I. Hicks (drawn by K. Birch),,72-65,,
8:07.0,K. Birch makes free throw 1 of 2,1,73-65,,
8:07.0,K. Birch makes free throw 2 of 2,1,74-65,,
7:49.0,,,74-67,2,L. Kornet makes 2-pt shot at rim (assist by F. Ntilikina)
7:35.0,S. Mack makes 2-pt shot from 3 ft (assist by M. Hezonja),2,76-67,,
7:35.0,Shooting foul by I. Hicks (drawn by S. Mack),,76-67,,
7:35.0,S. Mack makes free throw 1 of 1,1,77-67,,
7:21.0,,,77-67,,E. Mudiay misses 2-pt shot from 1 ft (block by K. Birch)
7:20.0,Defensive rebound by R. Purvis,,77-67,,
6:58.0,S. Mack misses 3-pt shot from 26 ft,,77-67,,
6:57.0,,,77-67,,Defensive rebound by E. Mudiay
6:48.0,,,77-67,,I. Hicks misses 2-pt shot from 7 ft
6:46.0,Defensive rebound by J. Artis,,77-67,,
6:40.0,M. Hezonja makes 3-pt shot from 25 ft (assist by S. Mack),3,80-67,,
6:40.0,,,80-67,,New York full timeout
6:40.0,,,80-67,,K. O'Quinn enters the game for L. Kornet
6:40.0,,,80-67,,T. Burke enters the game for E. Mudiay
6:40.0,,,80-67,,T. Hardaway enters the game for I. Hicks
6:40.0,,,80-67,,L. Thomas enters the game for F. Ntilikina
6:24.0,,,80-70,3,C. Lee makes 3-pt shot from 25 ft (assist by T. Hardaway)
6:02.0,M. Hezonja makes 3-pt shot from 25 ft (assist by R. Purvis),3,83-70,,
5:45.0,,,83-70,,K. O'Quinn misses 2-pt shot from 2 ft (block by M. Hezonja)
5:44.0,Defensive rebound by K. Birch,,83-70,,
5:39.0,R. Purvis makes 2-pt shot from 8 ft (assist by J. Artis),2,85-70,,
5:19.0,,,85-70,,K. O'Quinn misses 2-pt shot from 1 ft
5:18.0,Defensive rebound by S. Mack,,85-70,,
5:07.0,J. Artis misses 2-pt shot from 12 ft,,85-70,,
5:06.0,,,85-70,,Defensive rebound by K. O'Quinn
4:52.0,,,85-70,,L. Thomas misses 2-pt shot from 9 ft
4:51.0,Defensive rebound by M. Hezonja,,85-70,,
4:44.0,Turnover by S. Mack (out of bounds lost ball),,85-70,,
4:33.0,,,85-70,,L. Thomas misses 3-pt shot from 22 ft
4:32.0,,,85-70,,Offensive rebound by K. O'Quinn
4:23.0,,,85-70,,T. Burke misses 2-pt shot from 1 ft
4:22.0,Defensive rebound by M. Hezonja,,85-70,,
4:18.0,,,85-70,,Personal foul by T. Hardaway (drawn by K. Birch)
4:07.0,M. Hezonja makes 3-pt shot from 24 ft (assist by S. Mack),3,88-70,,
3:53.0,,,88-70,,Shooting foul by M. Hezonja (drawn by K. O'Quinn)
3:53.0,,,88-70,,K. O'Quinn misses free throw 1 of 2
3:53.0,,,88-70,,Offensive rebound by Team
3:53.0,,,88-70,,D. Dotson enters the game for L. Thomas
3:53.0,,,88-71,1,K. O'Quinn makes free throw 2 of 2
3:31.0,J. Artis makes 2-pt shot from 9 ft,2,90-71,,
3:13.0,,,90-73,2,T. Burke makes 2-pt shot from 1 ft
2:58.0,S. Mack makes 2-pt shot from 15 ft,2,92-73,,
2:57.0,,,92-73,,New York full timeout
2:57.0,,,92-73,,F. Ntilikina enters the game for C. Lee
2:57.0,,,92-73,,L. Kornet enters the game for K. O'Quinn
2:50.0,,,92-73,,T. Hardaway misses 2-pt shot from 21 ft
2:49.0,Defensive rebound by Team,,92-73,,
2:32.0,M. Hezonja makes 2-pt shot from 8 ft,2,94-73,,
2:19.0,,,94-73,,T. Hardaway misses 3-pt shot from 28 ft
2:18.0,Defensive rebound by R. Purvis,,94-73,,
1:56.0,R. Purvis misses 3-pt shot from 22 ft,,94-73,,
1:55.0,,,94-73,,Defensive rebound by T. Hardaway
1:48.0,,,94-73,,T. Burke misses 3-pt shot from 25 ft
