time,LA Clippers,pts.away,score,pts.home,Philadelphia
5:54.0,Defensive rebound by A. Bradley,,16-10,,
5:48.0,T. Harris misses 3-pt shot from 24 ft,,16-10,,
5:46.0,,,16-10,,Defensive rebound by J. Embiid
5:31.0,,,16-10,,D. Saric misses 2-pt shot from 16 ft
5:29.0,,,16-10,,Offensive rebound by J. Embiid
5:26.0,,,16-10,,J. Embiid misses 2-pt shot from 9 ft
5:25.0,Defensive rebound by D. Jordan,,16-10,,
5:22.0,Turnover by D. Jordan (bad pass; steal by R. Covington),,16-10,,
5:19.0,,,16-10,,R. Covington misses 3-pt shot from 26 ft
5:18.0,,,16-10,,Offensive rebound by J. Embiid
5:18.0,,,16-10,,B. Simmons misses 2-pt shot from 7 ft (block by A. Rivers)
5:18.0,,,16-10,,Offensive rebound by Team
5:18.0,,,16-10,,A. Johnson enters the game for J. Embiid
5:18.0,L. Williams enters the game for A. Bradley,,16-10,,
5:12.0,,,16-12,2,B. Simmons makes 2-pt shot from 1 ft (assist by A. Johnson)
5:01.0,A. Rivers misses 3-pt shot from 25 ft,,16-12,,
5:01.0,,,16-12,,Defensive rebound by Team
4:44.0,Personal foul by T. Harris (drawn by B. Simmons),,16-12,,
4:40.0,,,16-15,3,D. Saric makes 3-pt shot from 26 ft (assist by B. Simmons)
4:28.0,Turnover by L. Williams (bad pass; steal by A. Johnson),,16-15,,
4:24.0,,,16-17,2,D. Saric makes 2-pt shot from 4 ft (assist by T. McConnell)
4:24.0,,,16-17,,Shooting foul by D. Gallinari (drawn by D. Saric)
4:24.0,,,16-17,,J. Anderson enters the game for R. Covington
4:24.0,,,16-18,1,D. Saric makes free throw 1 of 1
4:03.0,L. Williams makes 3-pt shot from 24 ft (assist by D. Gallinari),3,19-18,,
3:50.0,,,19-20,2,D. Saric makes 2-pt shot from 19 ft (assist by B. Simmons)
3:32.0,Turnover by L. Williams (lost ball; steal by T. McConnell),,19-20,,
3:26.0,,,19-22,2,J. Anderson makes 2-pt shot from 4 ft (assist by T. McConnell)
3:26.0,LA Clippers full timeout,,19-22,,
3:26.0,,,19-22,,J. Redick enters the game for D. Saric
3:26.0,,,19-22,,T. Booker enters the game for B. Simmons
3:26.0,T. Wallace enters the game for D. Gallinari,,19-22,,
3:26.0,W. Johnson enters the game for A. Rivers,,19-22,,
3:10.0,Shooting foul by J. Anderson (drawn by D. Jordan),,19-22,,
3:10.0,D. Jordan misses free throw 1 of 2,,19-22,,
3:10.0,Offensive rebound by Team,,19-22,,
3:10.0,D. Jordan misses free throw 2 of 2,,19-22,,
3:08.0,,,19-22,,Defensive rebound by T. Booker
2:53.0,,,19-25,3,J. Redick makes 3-pt shot from 26 ft (assist by T. McConnell)
2:44.0,L. Williams makes 2-pt shot from 1 ft,2,21-25,,
2:38.0,,,21-28,3,J. Anderson makes 3-pt shot from 23 ft (assist by T. McConnell)
2:28.0,T. Wallace misses 2-pt shot from 6 ft,,21-28,,
2:24.0,,,21-28,,Defensive rebound by J. Anderson
2:11.0,,,21-28,,Turnover by T. Booker (out of bounds lost ball)
2:11.0,,,21-28,,J. Embiid enters the game for A. Johnson
2:11.0,M. Harrell enters the game for D. Jordan,,21-28,,
2:00.0,L. Williams makes 2-pt shot from 16 ft,2,23-28,,
1:38.0,,,23-31,3,T. McConnell makes 3-pt shot from 23 ft (assist by J. Redick)
1:19.0,M. Harrell makes 2-pt shot at rim (assist by L. Williams),2,25-31,,
1:04.0,Personal foul by M. Harrell (drawn by J. Embiid),,25-31,,
0:53.0,,,25-33,2,T. McConnell makes 2-pt shot from 2 ft
0:43.0,L. Williams makes 3-pt shot from 30 ft (assist by T. Harris),3,28-33,,
0:31.0,,,28-33,,Shooting foul by T. Harris (drawn by J. Embiid)
0:31.0,,,28-34,1,J. Embiid makes free throw 1 of 2
0:31.0,S. Dekker enters the game for T. Harris,,28-34,,
0:31.0,,,28-35,1,J. Embiid makes free throw 2 of 2
0:08.0,L. Williams misses 3-pt shot from 25 ft,,28-35,,
0:05.0,,,28-35,,Defensive rebound by J. Embiid
0:01.0,,,28-35,,T. Booker misses 2-pt shot from 5 ft
0:01.0,,,28-35,,Offensive rebound by J. Embiid
0:01.0,,,28-37,2,J. Embiid makes 2-pt shot at rim
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Turnover by A. Bradley (turnover),,28-37,,
11:31.0,,,28-37,,J. Embiid misses 2-pt shot from 12 ft
11:29.0,Defensive rebound by A. Bradley,,28-37,,
11:19.0,A. Bradley makes 2-pt shot from 3 ft,2,30-37,,
11:02.0,,,30-37,,J. Embiid misses 3-pt shot from 26 ft
10:59.0,,,30-37,,Offensive rebound by D. Saric
10:58.0,,,30-39,2,J. Embiid makes 2-pt shot from 5 ft (assist by D. Saric)
10:58.0,,,30-39,,Shooting foul by S. Dekker (drawn by J. Embiid)
10:58.0,,,30-40,1,J. Embiid makes free throw 1 of 1
10:47.0,M. Harrell makes 2-pt shot from 1 ft (assist by L. Williams),2,32-40,,
10:31.0,,,32-40,,J. Redick misses 3-pt shot from 25 ft
10:28.0,Defensive rebound by T. Wallace,,32-40,,
10:25.0,M. Harrell makes 2-pt shot from 4 ft (assist by T. Wallace),2,34-40,,
10:25.0,Shooting foul by D. Saric (drawn by M. Harrell),,34-40,,
10:25.0,D. Gallinari enters the game for S. Dekker,,34-40,,
10:25.0,M. Harrell misses free throw 1 of 1,,34-40,,
10:25.0,,,34-40,,Defensive rebound by D. Saric
10:06.0,,,34-40,,J. Embiid misses 2-pt shot from 17 ft
10:03.0,Defensive rebound by L. Williams,,34-40,,
9:56.0,T. Wallace makes 2-pt shot from 5 ft,2,36-40,,
9:33.0,,,36-43,3,J. Redick makes 3-pt shot from 25 ft (assist by T. McConnell)
9:27.0,Shooting foul by R. Covington (drawn by L. Williams),,36-43,,
9:27.0,,,36-43,,A. Johnson enters the game for J. Redick
9:27.0,L. Williams misses free throw 1 of 2,,36-43,,
9:27.0,Offensive rebound by Team,,36-43,,
9:27.0,L. Williams makes free throw 2 of 2,1,37-43,,
9:27.0,,,37-43,,B. Simmons enters the game for J. Embiid
9:09.0,,,37-45,2,A. Johnson makes 2-pt shot from 5 ft (assist by D. Saric)
9:00.0,M. Harrell misses 2-pt shot from 4 ft,,37-45,,
8:58.0,,,37-45,,Defensive rebound by A. Johnson
8:57.0,,,37-47,2,B. Simmons makes 2-pt shot from 1 ft (assist by T. McConnell)
8:57.0,LA Clippers full timeout,,37-47,,
8:57.0,A. Rivers enters the game for T. Wallace,,37-47,,
8:49.0,Turnover by A. Bradley (step out of bounds),,37-47,,
8:38.0,,,37-47,,D. Saric misses 2-pt shot from 6 ft
8:36.0,Defensive rebound by A. Bradley,,37-47,,
8:29.0,D. Gallinari misses 3-pt shot from 25 ft,,37-47,,
8:27.0,,,37-47,,Defensive rebound by B. Simmons
8:11.0,,,37-50,3,T. McConnell makes 3-pt shot from 24 ft (assist by D. Saric)
7:44.0,A. Bradley makes 2-pt shot from 17 ft (assist by A. Rivers),2,39-50,,
7:22.0,,,39-50,,D. Saric misses 2-pt shot from 5 ft
7:20.0,Defensive rebound by D. Gallinari,,39-50,,
7:16.0,L. Williams makes 3-pt shot from 26 ft (assist by A. Bradley),3,42-50,,
7:13.0,,,42-50,,Philadelphia full timeout
7:13.0,D. Jordan enters the game for M. Harrell,,42-50,,
7:13.0,T. Harris enters the game for L. Williams,,42-50,,
6:57.0,,,42-50,,R. Covington misses 3-pt shot from 26 ft
6:51.0,,,42-50,,Offensive rebound by B. Simmons
6:50.0,,,42-50,,Turnover by B. Simmons (bad pass; steal by T. Harris)
6:29.0,A. Rivers makes 2-pt shot from 1 ft,2,44-50,,
6:19.0,,,44-50,,B. Simmons misses 2-pt shot from 6 ft
6:17.0,Defensive rebound by A. Bradley,,44-50,,
6:06.0,,,44-50,,Personal foul by R. Covington (drawn by A. Bradley)
6:06.0,,,44-50,,J. Anderson enters the game for T. McConnell
5:57.0,A. Rivers misses 3-pt shot from 27 ft,,44-50,,
5:52.0,,,44-50,,Defensive rebound by A. Johnson
5:45.0,,,44-50,,Turnover by J. Anderson (bad pass)
5:31.0,T. Harris makes 2-pt shot from 12 ft (assist by A. Rivers),2,46-50,,
5:23.0,,,46-50,,Turnover by B. Simmons (lost ball; steal by A. Rivers)
5:17.0,D. Gallinari misses 3-pt shot from 24 ft,,46-50,,
5:14.0,,,46-50,,Defensive rebound by J. Anderson
5:08.0,,,46-52,2,J. Anderson makes 2-pt shot from 3 ft (assist by B. Simmons)
4:47.0,Turnover by D. Jordan (lost ball; steal by A. Johnson),,46-52,,
4:44.0,,,46-52,,Turnover by R. Covington (bad pass)
4:44.0,,,46-52,,J. Embiid enters the game for A. Johnson
4:44.0,L. Williams enters the game for A. Bradley,,46-52,,
4:28.0,A. Rivers misses 2-pt shot from 4 ft (block by J. Embiid),,46-52,,
4:25.0,,,46-52,,Defensive rebound by D. Saric
4:22.0,,,46-55,3,R. Covington makes 3-pt shot from 25 ft (assist by B. Simmons)
4:07.0,A. Rivers makes 2-pt shot from 3 ft (assist by D. Jordan),2,48-55,,
4:07.0,Shooting foul by J. Anderson (drawn by A. Rivers),,48-55,,
4:07.0,,,48-55,,T. Booker enters the game for D. Saric
4:07.0,A. Rivers makes free throw 1 of 1,1,49-55,,
3:51.0,,,49-57,2,J. Embiid makes 2-pt shot from 20 ft
3:42.0,D. Jordan misses 2-pt shot from 2 ft,,49-57,,
3:40.0,,,49-57,,Defensive rebound by J. Embiid
3:37.0,,,49-60,3,J. Anderson makes 3-pt shot from 23 ft (assist by B. Simmons)
3:16.0,Turnover by L. Williams (bad pass; steal by R. Covington),,49-60,,
3:12.0,,,49-60,,J. Anderson misses 2-pt shot at rim
3:09.0,Defensive rebound by A. Rivers,,49-60,,
3:04.0,D. Gallinari misses 3-pt shot from 23 ft,,49-60,,
2:58.0,Offensive rebound by T. Harris,,49-60,,
2:58.0,T. Harris makes 2-pt shot at rim,2,51-60,,
2:55.0,,,51-62,2,T. Booker makes 2-pt shot from 3 ft (assist by B. Simmons)
2:45.0,L. Williams misses 2-pt shot from 17 ft,,51-62,,
2:41.0,,,51-62,,Defensive rebound by J. Embiid
2:35.0,,,51-64,2,B. Simmons makes 2-pt shot from 3 ft
2:22.0,T. Harris makes 2-pt shot from 9 ft,2,53-64,,
1:55.0,,,53-66,2,B. Simmons makes 2-pt shot from 5 ft
1:39.0,T. Harris misses 3-pt shot from 22 ft,,53-66,,
1:35.0,,,53-66,,Defensive rebound by R. Covington
1:18.0,,,53-66,,Shooting foul by L. Williams (drawn by J. Embiid)
1:18.0,,,53-66,,J. Embiid misses free throw 1 of 2
1:18.0,,,53-66,,Offensive rebound by Team
1:18.0,,,53-66,,J. Redick enters the game for R. Covington
1:18.0,,,53-67,1,J. Embiid makes free throw 2 of 2
1:03.0,A. Rivers misses 3-pt shot from 24 ft,,53-67,,
0:59.0,Offensive rebound by D. Jordan,,53-67,,
0:55.0,D. Gallinari misses 3-pt shot from 26 ft,,53-67,,
0:53.0,,,53-67,,Defensive rebound by B. Simmons
0:50.0,,,53-69,2,J. Redick makes 2-pt shot from 22 ft (assist by B. Simmons)
0:37.0,T. Harris makes 2-pt shot from 15 ft,2,55-69,,
0:30.0,,,55-69,,J. Embiid misses 3-pt shot from 25 ft
0:27.0,Defensive rebound by D. Jordan,,55-69,,
0:05.0,L. Williams misses 3-pt shot from 25 ft,,55-69,,
0:01.0,Offensive rebound by D. Jordan,,55-69,,
0:00.0,A. Rivers misses 3-pt shot from 26 ft,,55-69,,
0:00.0,,,55-69,,Defensive rebound by T. Booker
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,Turnover by A. Bradley (lost ball; steal by J. Embiid),,55-69,,
11:41.0,,,55-71,2,J. Embiid makes 2-pt shot at rim
11:24.0,D. Jordan misses 2-pt shot from 9 ft (block by J. Embiid),,55-71,,
11:24.0,Offensive rebound by Team,,55-71,,
11:20.0,D. Gallinari makes 2-pt shot from 1 ft,2,57-71,,
11:02.0,,,57-71,,Turnover by J. Embiid (lost ball; steal by T. Harris)
10:47.0,A. Bradley misses 2-pt shot from 7 ft (block by B. Simmons),,57-71,,
10:44.0,,,57-71,,Defensive rebound by D. Saric
10:37.0,,,57-71,,J. Embiid misses 3-pt shot from 25 ft
10:34.0,Defensive rebound by A. Bradley,,57-71,,
10:24.0,D. Jordan misses 2-pt shot at rim,,57-71,,
10:24.0,,,57-71,,Defensive rebound by B. Simmons
10:20.0,,,57-71,,R. Covington misses 3-pt shot from 26 ft
10:20.0,Defensive rebound by A. Bradley,,57-71,,
10:02.0,D. Gallinari misses 3-pt shot from 26 ft,,57-71,,
9:58.0,,,57-71,,Defensive rebound by R. Covington
9:47.0,,,57-71,,Shooting foul by A. Bradley (drawn by J. Embiid)
9:47.0,,,57-72,1,J. Embiid makes free throw 1 of 2
9:47.0,,,57-72,,J. Embiid misses free throw 2 of 2
9:42.0,Defensive rebound by D. Jordan,,57-72,,
9:35.0,A. Rivers misses 2-pt shot from 3 ft,,57-72,,
9:32.0,Offensive rebound by A. Bradley,,57-72,,
9:32.0,Shooting foul by J. Embiid (drawn by D. Gallinari),,57-72,,
9:32.0,D. Gallinari makes free throw 1 of 2,1,58-72,,
9:32.0,D. Gallinari makes free throw 2 of 2,1,59-72,,
9:16.0,,,59-72,,J. Redick misses 3-pt shot from 27 ft
9:13.0,Defensive rebound by A. Rivers,,59-72,,
9:06.0,T. Harris makes 2-pt shot from 5 ft (assist by A. Rivers),2,61-72,,
9:06.0,Shooting foul by B. Simmons (drawn by T. Harris),,61-72,,
9:06.0,T. Harris misses free throw 1 of 1,,61-72,,
9:04.0,,,61-72,,Defensive rebound by J. Embiid
8:54.0,,,61-72,,R. Covington misses 3-pt shot from 27 ft
8:49.0,Defensive rebound by T. Harris,,61-72,,
8:44.0,Turnover by T. Harris (bad pass; steal by B. Simmons),,61-72,,
8:43.0,,,61-74,2,B. Simmons makes 2-pt shot from 4 ft
8:43.0,,,61-74,,Shooting foul by A. Rivers (drawn by B. Simmons)
8:43.0,,,61-74,,B. Simmons misses free throw 1 of 1
8:41.0,Defensive rebound by T. Harris,,61-74,,
8:17.0,Turnover by Team (shot clock),,61-74,,
8:08.0,,,61-74,,Turnover by R. Covington (out of bounds lost ball)
8:08.0,,,61-74,,T. McConnell enters the game for J. Redick
7:48.0,A. Rivers misses 3-pt shot from 25 ft,,61-74,,
7:44.0,Offensive rebound by D. Jordan,,61-74,,
7:39.0,T. Harris makes 2-pt shot from 2 ft,2,63-74,,
7:37.0,,,63-74,,Philadelphia full timeout
7:17.0,,,63-74,,J. Embiid misses 2-pt shot from 14 ft
7:14.0,Defensive rebound by D. Jordan,,63-74,,
7:00.0,A. Bradley misses 2-pt shot from 11 ft,,63-74,,
6:59.0,,,63-74,,Defensive rebound by J. Embiid
6:59.0,Personal foul by A. Bradley (drawn by J. Embiid),,63-74,,
6:59.0,,,63-74,,A. Johnson enters the game for J. Embiid
6:42.0,,,63-77,3,T. McConnell makes 3-pt shot from 22 ft (assist by D. Saric)
6:18.0,T. Harris misses 2-pt shot from 16 ft,,63-77,,
6:15.0,,,63-77,,Defensive rebound by D. Saric
6:09.0,,,63-77,,D. Saric misses 3-pt shot from 28 ft
6:06.0,Defensive rebound by D. Jordan,,63-77,,
5:50.0,T. Harris misses 3-pt shot from 24 ft,,63-77,,
5:46.0,,,63-77,,Defensive rebound by R. Covington
5:37.0,,,63-77,,Turnover by B. Simmons (step out of bounds)
5:37.0,M. Harrell enters the game for D. Jordan,,63-77,,
5:37.0,L. Williams enters the game for A. Bradley,,63-77,,
5:14.0,D. Gallinari makes 2-pt shot from 7 ft,2,65-77,,
5:06.0,,,65-77,,R. Covington misses 3-pt shot from 27 ft
5:06.0,Defensive rebound by A. Rivers,,65-77,,
4:57.0,D. Gallinari makes 3-pt shot from 23 ft,3,68-77,,
4:56.0,,,68-77,,Philadelphia full timeout
4:56.0,,,68-77,,J. Anderson enters the game for R. Covington
4:41.0,,,68-77,,Turnover by B. Simmons (bad pass; steal by M. Harrell)
4:32.0,L. Williams makes 2-pt shot from 2 ft,2,70-77,,
4:19.0,,,70-79,2,D. Saric makes 2-pt shot from 2 ft (assist by B. Simmons)
3:59.0,Turnover by A. Rivers (bad pass),,70-79,,
3:59.0,,,70-79,,J. Redick enters the game for A. Johnson
3:59.0,,,70-79,,J. Embiid enters the game for B. Simmons
3:39.0,,,70-79,,Turnover by D. Saric (bad pass; steal by M. Harrell)
3:35.0,,,70-79,,Personal foul by J. Redick (drawn by M. Harrell)
3:35.0,,,70-79,,T. Booker enters the game for D. Saric
3:35.0,T. Wallace enters the game for A. Rivers,,70-79,,
3:22.0,M. Harrell makes 2-pt shot from 1 ft (assist by L. Williams),2,72-79,,
3:07.0,,,72-79,,J. Embiid misses 2-pt shot from 20 ft
3:07.0,Defensive rebound by T. Harris,,72-79,,
2:59.0,T. Harris misses 2-pt shot from 10 ft,,72-79,,
2:59.0,,,72-79,,Defensive rebound by J. Embiid
2:53.0,,,72-79,,J. Redick misses 3-pt shot from 26 ft
2:53.0,,,72-79,,Offensive rebound by J. Embiid
2:50.0,Personal foul by L. Williams (drawn by J. Embiid),,72-79,,
2:50.0,A. Bradley enters the game for D. Gallinari,,72-79,,
2:31.0,,,72-81,2,J. Embiid makes 2-pt shot from 5 ft
2:15.0,L. Williams misses 2-pt shot from 12 ft,,72-81,,
2:12.0,,,72-81,,Defensive rebound by J. Embiid
2:05.0,,,72-81,,J. Anderson misses 3-pt shot from 24 ft
2:02.0,Defensive rebound by T. Harris,,72-81,,
1:56.0,T. Harris makes 2-pt shot from 8 ft,2,74-81,,
1:38.0,Personal foul by M. Harrell (drawn by J. Embiid),,74-81,,
1:38.0,,,74-82,1,J. Embiid makes free throw 1 of 2
1:38.0,D. Jordan enters the game for M. Harrell,,74-82,,
1:38.0,,,74-83,1,J. Embiid makes free throw 2 of 2
1:26.0,T. Harris misses 3-pt shot from 27 ft,,74-83,,
1:24.0,,,74-83,,Defensive rebound by J. Embiid
1:13.0,,,74-83,,T. McConnell misses 2-pt shot from 1 ft
1:11.0,Defensive rebound by T. Harris,,74-83,,
1:06.0,T. Wallace misses 2-pt shot from 4 ft (block by T. Booker),,74-83,,
1:06.0,Offensive rebound by Team,,74-83,,
0:59.0,Shooting foul by J. Embiid (drawn by T. Harris),,74-83,,
0:59.0,T. Harris misses free throw 1 of 2,,74-83,,
0:59.0,Offensive rebound by Team,,74-83,,
0:59.0,T. Harris makes free throw 2 of 2,1,75-83,,
0:45.0,,,75-83,,J. Embiid misses 2-pt shot from 1 ft
0:41.0,Defensive rebound by L. Williams,,75-83,,
0:41.0,Shooting foul by J. Anderson (drawn by T. Wallace),,75-83,,
0:41.0,T. Wallace makes free throw 1 of 2,1,76-83,,
0:41.0,T. Wallace makes free throw 2 of 2,1,77-83,,
0:35.0,,,77-85,2,T. McConnell makes 2-pt shot from 14 ft
0:30.0,L. Williams misses 2-pt shot from 3 ft (block by J. Embiid),,77-85,,
0:30.0,Offensive rebound by D. Jordan,,77-85,,
0:29.0,Shooting foul by T. Booker (drawn by D. Jordan),,77-85,,
0:29.0,D. Jordan makes free throw 1 of 2,1,78-85,,
0:29.0,A. Rivers enters the game for L. Williams,,78-85,,
0:29.0,D. Jordan misses free throw 2 of 2,,78-85,,
0:27.0,,,78-85,,Defensive rebound by J. Embiid
0:10.0,,,78-85,,J. Redick misses 3-pt shot from 26 ft
0:07.0,Defensive rebound by D. Jordan,,78-85,,
0:01.0,A. Rivers misses 3-pt shot from 23 ft,,78-85,,
0:01.0,Offensive rebound by Team,,78-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,78-85,,J. Embiid misses 2-pt shot from 18 ft
11:43.0,Defensive rebound by D. Gallinari,,78-85,,
11:29.0,,,78-85,,Personal foul by T. Booker (drawn by D. Gallinari)
11:24.0,Shooting foul by T. Booker (drawn by D. Gallinari),,78-85,,
11:24.0,D. Gallinari makes free throw 1 of 2,1,79-85,,
11:24.0,D. Gallinari makes free throw 2 of 2,1,80-85,,
11:02.0,,,80-87,2,J. Embiid makes 2-pt shot from 1 ft (assist by T. McConnell)
10:42.0,L. Williams makes 2-pt shot from 17 ft (assist by D. Jordan),2,82-87,,
10:27.0,,,82-89,2,J. Anderson makes 2-pt shot from 4 ft (assist by T. McConnell)
10:21.0,Turnover by L. Williams (bad pass; steal by T. Booker),,82-89,,
10:15.0,,,82-89,,J. Embiid misses 3-pt shot from 25 ft
10:11.0,Defensive rebound by D. Gallinari,,82-89,,
10:06.0,D. Jordan makes 2-pt shot at rim (assist by L. Williams),2,84-89,,
9:42.0,,,84-91,2,T. Booker makes 2-pt shot from 2 ft (assist by J. Anderson)
9:24.0,,,84-91,,Personal foul by T. McConnell (drawn by L. Williams)
9:24.0,,,84-91,,B. Simmons enters the game for T. McConnell
9:24.0,A. Rivers enters the game for A. Bradley,,84-91,,
9:14.0,L. Williams makes 3-pt shot from 25 ft,3,87-91,,
8:59.0,,,87-93,2,J. Embiid makes 2-pt shot from 1 ft (assist by J. Redick)
8:46.0,Turnover by L. Williams (bad pass; steal by T. Booker),,87-93,,
8:37.0,,,87-93,,T. Booker misses 2-pt shot from 3 ft (block by D. Gallinari)
8:31.0,Defensive rebound by D. Jordan,,87-93,,
8:28.0,L. Williams misses 3-pt shot from 26 ft,,87-93,,
8:28.0,,,87-93,,Defensive rebound by J. Anderson
8:20.0,,,87-93,,J. Embiid misses 2-pt shot from 8 ft
8:20.0,Defensive rebound by D. Jordan,,87-93,,
8:03.0,D. Gallinari misses 3-pt shot from 25 ft,,87-93,,
8:03.0,,,87-93,,Defensive rebound by J. Anderson
7:38.0,,,87-93,,Turnover by J. Embiid (lost ball; steal by T. Wallace)
7:33.0,T. Wallace misses 2-pt shot from 3 ft (block by J. Anderson),,87-93,,
7:33.0,Offensive rebound by D. Gallinari,,87-93,,
7:33.0,Shooting foul by B. Simmons (drawn by D. Gallinari),,87-93,,
7:33.0,,,87-93,,A. Johnson enters the game for J. Embiid
7:33.0,D. Gallinari misses free throw 1 of 2,,87-93,,
7:33.0,Offensive rebound by Team,,87-93,,
7:33.0,,,87-93,,D. Saric enters the game for J. Redick
7:33.0,,,87-93,,R. Covington enters the game for T. Booker
7:33.0,T. Harris enters the game for T. Wallace,,87-93,,
7:33.0,D. Gallinari makes free throw 2 of 2,1,88-93,,
7:13.0,,,88-95,2,R. Covington makes 2-pt shot from 2 ft (assist by A. Johnson)
6:53.0,L. Williams makes 2-pt shot from 1 ft,2,90-95,,
6:44.0,Personal foul by A. Rivers (drawn by B. Simmons),,90-95,,
6:44.0,,,90-95,,Philadelphia full timeout
6:44.0,,,90-95,,T. McConnell enters the game for J. Anderson
6:38.0,,,90-95,,B. Simmons misses 2-pt shot from 2 ft (block by T. Harris)
6:35.0,Defensive rebound by A. Rivers,,90-95,,
6:28.0,T. Harris misses 2-pt shot from 14 ft,,90-95,,
6:28.0,Offensive rebound by D. Jordan,,90-95,,
6:28.0,Shooting foul by R. Covington (drawn by D. Jordan),,90-95,,
6:28.0,D. Jordan misses free throw 1 of 2,,90-95,,
6:28.0,Offensive rebound by Team,,90-95,,
6:28.0,D. Jordan makes free throw 2 of 2,1,91-95,,
6:11.0,,,91-95,,B. Simmons misses 2-pt shot from 2 ft (block by D. Jordan)
6:08.0,Defensive rebound by D. Jordan,,91-95,,
6:05.0,Shooting foul by A. Johnson (drawn by T. Harris),,91-95,,
6:05.0,T. Harris makes free throw 1 of 2,1,92-95,,
6:05.0,T. Harris makes free throw 2 of 2,1,93-95,,
5:47.0,,,93-95,,R. Covington misses 2-pt shot from 21 ft
5:43.0,Defensive rebound by A. Rivers,,93-95,,
5:38.0,Turnover by L. Williams (bad pass),,93-95,,
5:28.0,,,93-95,,D. Saric misses 3-pt shot from 25 ft
5:24.0,Defensive rebound by D. Jordan,,93-95,,
5:13.0,A. Rivers misses 2-pt shot from 3 ft,,93-95,,
5:13.0,,,93-95,,Defensive rebound by A. Johnson
4:54.0,,,93-97,2,T. McConnell makes 2-pt shot from 8 ft
4:53.0,LA Clippers full timeout,,93-97,,
4:53.0,,,93-97,,J. Embiid enters the game for A. Johnson
4:53.0,,,93-97,,J. Redick enters the game for T. McConnell
4:43.0,Turnover by D. Jordan (bad pass; steal by B. Simmons),,93-97,,
4:36.0,,,93-99,2,R. Covington makes 2-pt shot from 2 ft (assist by B. Simmons)
4:22.0,L. Williams misses 2-pt shot from 19 ft,,93-99,,
4:19.0,,,93-99,,Defensive rebound by D. Saric
4:17.0,,,93-102,3,J. Redick makes 3-pt shot from 25 ft (assist by R. Covington)
