time,Detroit,pts.away,score,pts.home,Cleveland
9:05.0,Personal foul by J. Ennis (drawn by L. Nance),,7-2,,
8:59.0,,,7-4,2,L. Nance makes 2-pt shot at rim (assist by R. Hood)
8:46.0,R. Bullock misses 2-pt shot from 2 ft (block by R. Hood),,7-4,,
8:41.0,,,7-4,,Defensive rebound by L. James
8:39.0,Personal foul by I. Smith (drawn by G. Hill),,7-4,,
8:32.0,,,7-4,,Turnover by J. Smith (bad pass; steal by J. Ennis)
8:21.0,B. Griffin makes 2-pt shot from 21 ft (assist by I. Smith),2,9-4,,
8:07.0,,,9-6,2,L. James makes 2-pt shot at rim (assist by G. Hill)
7:40.0,R. Bullock misses 3-pt shot from 27 ft,,9-6,,
7:36.0,,,9-6,,Defensive rebound by L. Nance
7:23.0,,,9-8,2,L. Nance makes 2-pt shot from 16 ft
7:06.0,J. Ennis misses 2-pt shot from 1 ft,,9-8,,
7:03.0,,,9-8,,Defensive rebound by L. Nance
6:58.0,,,9-10,2,L. James makes 2-pt shot at rim
6:33.0,R. Bullock makes 2-pt shot from 15 ft (assist by B. Griffin),2,11-10,,
6:15.0,,,11-10,,Turnover by L. James (bad pass; steal by A. Drummond)
6:08.0,I. Smith makes 2-pt shot from 15 ft,2,13-10,,
5:46.0,,,13-10,,L. James misses 2-pt shot from 1 ft (block by R. Bullock)
5:42.0,,,13-10,,Offensive rebound by L. James
5:40.0,,,13-13,3,L. James makes 3-pt shot from 22 ft
5:31.0,I. Smith makes 2-pt shot from 10 ft,2,15-13,,
5:20.0,,,15-13,,J. Smith misses 3-pt shot from 25 ft
5:17.0,,,15-13,,Offensive rebound by G. Hill
5:03.0,,,15-13,,R. Hood misses 3-pt shot from 26 ft
5:00.0,Defensive rebound by B. Griffin,,15-13,,
4:52.0,R. Bullock makes 3-pt shot from 25 ft (assist by B. Griffin),3,18-13,,
4:52.0,,,18-13,,Cleveland full timeout
4:39.0,,,18-15,2,L. James makes 2-pt shot from 8 ft (assist by G. Hill)
4:16.0,B. Griffin makes 3-pt shot from 25 ft (assist by I. Smith),3,21-15,,
3:53.0,,,21-17,2,L. Nance makes 2-pt shot from 20 ft (assist by J. Smith)
3:36.0,B. Griffin makes 2-pt shot from 1 ft (assist by I. Smith),2,23-17,,
3:28.0,,,23-19,2,L. Nance makes 2-pt shot at rim (assist by G. Hill)
3:28.0,,,23-19,,Shooting foul by R. Bullock (drawn by L. Nance)
3:28.0,,,23-19,,C. Osman enters the game for G. Hill
3:28.0,,,23-19,,J. Clarkson enters the game for J. Smith
3:28.0,S. Johnson enters the game for J. Ennis,,23-19,,
3:28.0,,,23-20,1,L. Nance makes free throw 1 of 1
3:06.0,B. Griffin misses 2-pt shot from 10 ft,,23-20,,
3:03.0,Offensive rebound by A. Drummond,,23-20,,
3:01.0,A. Drummond makes 2-pt shot from 2 ft,2,25-20,,
2:51.0,,,25-20,,J. Clarkson misses 2-pt shot from 9 ft
2:48.0,Defensive rebound by A. Drummond,,25-20,,
2:38.0,R. Bullock misses 3-pt shot from 23 ft,,25-20,,
2:32.0,,,25-20,,Defensive rebound by L. Nance
2:27.0,,,25-20,,L. James misses 2-pt shot at rim
2:25.0,Defensive rebound by B. Griffin,,25-20,,
2:23.0,,,25-20,,Personal foul by C. Osman (drawn by B. Griffin)
2:23.0,Detroit full timeout,,25-20,,
2:23.0,,,25-20,,K. Korver enters the game for R. Hood
2:23.0,,,25-20,,A. Zizic enters the game for L. Nance
2:23.0,D. Buycks enters the game for A. Drummond,,25-20,,
2:23.0,E. Moreland enters the game for I. Smith,,25-20,,
2:06.0,B. Griffin misses 2-pt shot from 1 ft,,25-20,,
2:00.0,,,25-20,,Defensive rebound by K. Korver
1:57.0,,,25-20,,C. Osman misses 3-pt shot from 22 ft
1:57.0,,,25-20,,Offensive rebound by Team
1:57.0,Loose ball foul by D. Buycks (drawn by J. Clarkson),,25-20,,
1:47.0,,,25-22,2,J. Clarkson makes 2-pt shot from 12 ft (assist by L. James)
1:25.0,B. Griffin makes 3-pt shot from 25 ft (assist by R. Bullock),3,28-22,,
1:12.0,,,28-22,,C. Osman misses 3-pt shot from 22 ft
1:09.0,Defensive rebound by D. Buycks,,28-22,,
1:04.0,,,28-22,,Personal foul by J. Clarkson (drawn by B. Griffin)
1:00.0,Offensive foul by D. Buycks (drawn by K. Korver),,28-22,,
1:00.0,Turnover by D. Buycks (offensive foul),,28-22,,
0:50.0,,,28-24,2,J. Clarkson makes 2-pt shot from 15 ft
0:36.0,D. Buycks misses 3-pt shot from 24 ft,,28-24,,
0:31.0,,,28-24,,Defensive rebound by C. Osman
0:28.0,,,28-24,,J. Clarkson misses 3-pt shot from 26 ft
0:24.0,Defensive rebound by E. Moreland,,28-24,,
0:06.0,D. Buycks misses 2-pt shot from 1 ft,,28-24,,
0:01.0,Offensive rebound by E. Moreland,,28-24,,
0:01.0,E. Moreland misses 2-pt shot at rim,,28-24,,
0:01.0,,,28-24,,Defensive rebound by A. Zizic
0:01.0,,,28-26,2,C. Osman makes 2-pt shot from 1 ft (assist by L. James)
0:00.0,D. Buycks misses 3-pt shot from 50 ft,,28-26,,
0:00.0,Offensive rebound by Team,,28-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,28-26,,C. Osman misses 2-pt shot from 4 ft (block by E. Moreland)
11:37.0,Defensive rebound by E. Moreland,,28-26,,
11:27.0,S. Johnson makes 2-pt shot from 11 ft,2,30-26,,
11:16.0,,,30-28,2,A. Zizic makes 2-pt shot from 1 ft (assist by J. Calderon)
10:52.0,S. Johnson misses 2-pt shot from 2 ft (block by A. Zizic),,30-28,,
10:51.0,,,30-28,,Defensive rebound by Team
10:51.0,Loose ball foul by S. Johnson (drawn by K. Korver),,30-28,,
10:41.0,,,30-28,,Turnover by J. Clarkson (lost ball; steal by E. Moreland)
10:41.0,,,30-28,,Personal foul by J. Clarkson (drawn by E. Moreland)
10:33.0,,,30-28,,Personal foul by J. Calderon (drawn by D. Buycks)
10:22.0,L. Galloway misses 2-pt shot from 10 ft,,30-28,,
10:19.0,,,30-28,,Defensive rebound by J. Clarkson
10:16.0,,,30-28,,Turnover by C. Osman (bad pass)
10:03.0,L. Galloway makes 2-pt shot from 20 ft,2,32-28,,
10:03.0,,,32-28,,Loose ball foul by K. Korver (drawn by E. Moreland)
10:03.0,,,32-28,,Turnover by K. Korver (turnover)
10:03.0,E. Moreland makes free throw 1 of 1,1,33-28,,
9:46.0,,,33-31,3,J. Calderon makes 3-pt shot from 26 ft (assist by J. Clarkson)
9:21.0,E. Moreland misses 2-pt shot from 2 ft,,33-31,,
9:19.0,,,33-31,,Defensive rebound by A. Zizic
9:14.0,,,33-31,,K. Korver misses 3-pt shot from 23 ft
9:07.0,,,33-31,,Offensive rebound by A. Zizic
9:07.0,,,33-33,2,A. Zizic makes 2-pt shot at rim
9:04.0,Detroit full timeout,,33-33,,
9:04.0,,,33-33,,L. Nance enters the game for A. Zizic
8:45.0,A. Tolliver makes 3-pt shot from 25 ft (assist by D. Buycks),3,36-33,,
8:28.0,,,36-33,,L. Nance misses 2-pt shot from 4 ft
8:25.0,Defensive rebound by D. Buycks,,36-33,,
8:21.0,D. Buycks misses 3-pt shot from 26 ft,,36-33,,
8:18.0,,,36-33,,Defensive rebound by C. Osman
8:05.0,,,36-33,,Turnover by C. Osman (bad pass)
7:50.0,L. Galloway misses 2-pt shot from 11 ft,,36-33,,
7:46.0,,,36-33,,Defensive rebound by J. Clarkson
7:41.0,,,36-33,,Turnover by C. Osman (bad pass; steal by L. Galloway)
7:25.0,E. Moreland misses 2-pt shot from 12 ft,,36-33,,
7:22.0,,,36-33,,Defensive rebound by C. Osman
7:14.0,,,36-33,,L. Nance misses 2-pt shot from 8 ft
7:10.0,Defensive rebound by A. Tolliver,,36-33,,
7:04.0,S. Johnson misses 3-pt shot from 25 ft,,36-33,,
7:01.0,,,36-33,,Defensive rebound by L. Nance
6:46.0,,,36-36,3,K. Korver makes 3-pt shot from 23 ft (assist by C. Osman)
6:23.0,Turnover by E. Moreland (bad pass),,36-36,,
6:23.0,,,36-36,,R. Hood enters the game for J. Clarkson
6:23.0,,,36-36,,G. Hill enters the game for C. Osman
6:23.0,,,36-36,,L. James enters the game for J. Calderon
6:23.0,A. Drummond enters the game for L. Galloway,,36-36,,
6:23.0,J. Ennis enters the game for E. Moreland,,36-36,,
6:12.0,,,36-38,2,L. Nance makes 2-pt shot at rim (assist by K. Korver)
5:56.0,D. Buycks makes 2-pt shot from 19 ft,2,38-38,,
5:35.0,,,38-38,,K. Korver misses 3-pt shot from 23 ft
5:31.0,,,38-38,,Offensive rebound by R. Hood
5:28.0,,,38-40,2,L. Nance makes 2-pt shot at rim (assist by L. James)
5:07.0,S. Johnson misses 2-pt shot from 8 ft,,38-40,,
5:05.0,,,38-40,,Defensive rebound by L. Nance
5:00.0,,,38-40,,Shooting foul by S. Johnson (drawn by L. James)
5:00.0,,,38-41,1,L. James makes free throw 1 of 2
5:00.0,,,38-41,,J. Smith enters the game for K. Korver
5:00.0,R. Bullock enters the game for S. Johnson,,38-41,,
5:00.0,I. Smith enters the game for D. Buycks,,38-41,,
5:00.0,B. Griffin enters the game for A. Tolliver,,38-41,,
5:00.0,,,38-41,,L. James misses free throw 2 of 2
4:57.0,Defensive rebound by A. Drummond,,38-41,,
4:35.0,Turnover by Team (shot clock),,38-41,,
4:26.0,,,38-41,,L. Nance misses 2-pt shot from 9 ft
4:24.0,,,38-41,,Offensive rebound by L. James
4:09.0,Personal foul by J. Ennis (drawn by L. James),,38-41,,
3:57.0,Personal foul by I. Smith (drawn by G. Hill),,38-41,,
3:54.0,,,38-41,,Shooting foul by A. Drummond (drawn by L. James)
3:54.0,,,38-42,1,L. James makes free throw 1 of 2
3:54.0,,,38-42,,L. James misses free throw 2 of 2
3:52.0,Defensive rebound by A. Drummond,,38-42,,
3:42.0,I. Smith misses 2-pt shot from 21 ft,,38-42,,
3:39.0,,,38-42,,Defensive rebound by R. Hood
3:36.0,,,38-42,,R. Hood misses 2-pt shot from 3 ft (block by R. Bullock)
3:35.0,Defensive rebound by R. Bullock,,38-42,,
3:33.0,Turnover by J. Ennis (bad pass; steal by L. Nance),,38-42,,
3:21.0,,,38-44,2,L. Nance makes 2-pt shot from 1 ft (assist by J. Smith)
3:16.0,Detroit full timeout,,38-44,,
3:09.0,Shooting foul by G. Hill (drawn by A. Drummond),,38-44,,
3:09.0,A. Drummond makes free throw 1 of 2,1,39-44,,
3:09.0,A. Drummond makes free throw 2 of 2,1,40-44,,
2:57.0,,,40-44,,Shooting foul by A. Drummond (drawn by R. Hood)
2:57.0,,,40-45,1,R. Hood makes free throw 1 of 2
2:57.0,,,40-46,1,R. Hood makes free throw 2 of 2
2:40.0,R. Bullock makes 3-pt shot from 25 ft (assist by B. Griffin),3,43-46,,
2:25.0,,,43-49,3,L. James makes 3-pt shot from 28 ft (assist by G. Hill)
2:06.0,I. Smith misses 3-pt shot from 24 ft,,43-49,,
2:03.0,,,43-49,,Defensive rebound by L. James
2:01.0,Personal foul by J. Ennis (drawn by L. Nance),,43-49,,
2:01.0,,,43-49,,L. Nance misses free throw 1 of 2
2:01.0,,,43-49,,Offensive rebound by Team
2:01.0,S. Johnson enters the game for J. Ennis,,43-49,,
2:01.0,,,43-50,1,L. Nance makes free throw 2 of 2
1:48.0,B. Griffin misses 3-pt shot from 26 ft,,43-50,,
1:44.0,,,43-50,,Defensive rebound by L. Nance
1:35.0,,,43-52,2,L. James makes 2-pt shot from 1 ft
1:21.0,B. Griffin misses 2-pt shot from 7 ft,,43-52,,
1:18.0,Offensive rebound by B. Griffin,,43-52,,
1:14.0,B. Griffin makes 2-pt shot from 1 ft,2,45-52,,
0:55.0,,,45-52,,L. James misses 2-pt shot at rim
0:55.0,Defensive rebound by A. Drummond,,45-52,,
0:48.0,S. Johnson makes 3-pt shot from 25 ft (assist by I. Smith),3,48-52,,
0:32.0,,,48-52,,G. Hill misses 2-pt shot from 7 ft
0:29.0,Defensive rebound by S. Johnson,,48-52,,
0:21.0,R. Bullock misses 3-pt shot from 25 ft,,48-52,,
0:14.0,,,48-52,,Defensive rebound by R. Hood
0:07.0,,,48-54,2,R. Hood makes 2-pt shot from 6 ft
0:01.0,,,48-54,,Shooting block foul by G. Hill (drawn by B. Griffin)
0:01.0,B. Griffin makes free throw 1 of 2,1,49-54,,
0:01.0,E. Moreland enters the game for A. Drummond,,49-54,,
0:01.0,D. Buycks enters the game for I. Smith,,49-54,,
0:01.0,B. Griffin misses free throw 2 of 2,,49-54,,
0:00.0,Offensive rebound by Team,,49-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,49-56,2,L. Nance makes 2-pt shot from 17 ft (assist by L. James)
11:27.0,B. Griffin misses 3-pt shot from 24 ft,,49-56,,
11:24.0,,,49-56,,Defensive rebound by L. James
11:15.0,,,49-58,2,R. Hood makes 2-pt shot from 18 ft (assist by L. James)
10:50.0,J. Ennis misses 3-pt shot from 23 ft,,49-58,,
10:48.0,,,49-58,,Defensive rebound by L. Nance
10:38.0,,,49-58,,R. Hood misses 2-pt shot from 15 ft
10:36.0,Defensive rebound by A. Drummond,,49-58,,
10:31.0,B. Griffin makes 2-pt shot from 5 ft,2,51-58,,
10:31.0,Shooting foul by L. James (drawn by B. Griffin),,51-58,,
10:31.0,B. Griffin misses free throw 1 of 1,,51-58,,
10:30.0,Offensive rebound by Team,,51-58,,
10:27.0,R. Bullock misses 2-pt shot from 1 ft,,51-58,,
10:24.0,,,51-58,,Defensive rebound by L. Nance
10:19.0,,,51-61,3,L. James makes 3-pt shot from 26 ft (assist by R. Hood)
9:54.0,Offensive foul by A. Drummond (drawn by L. Nance),,51-61,,
9:54.0,Turnover by A. Drummond (offensive foul),,51-61,,
9:37.0,,,51-61,,J. Smith misses 2-pt shot from 12 ft
9:32.0,,,51-61,,Offensive rebound by G. Hill
9:22.0,,,51-61,,Turnover by J. Smith (bad pass; steal by A. Drummond)
9:20.0,Jump ball: G. Hill vs. B. Griffin (A. Drummond gains possession),,,,Jump ball: G. Hill vs. B. Griffin (A. Drummond gains possession)
9:13.0,B. Griffin makes 3-pt shot from 25 ft,3,54-61,,
8:48.0,,,54-64,3,L. James makes 3-pt shot from 31 ft (assist by J. Smith)
8:31.0,Turnover by R. Bullock (lost ball; steal by L. James),,54-64,,
8:30.0,,,54-64,,Shooting foul by R. Bullock (drawn by L. James)
8:30.0,,,54-65,1,L. James makes free throw 1 of 2
8:30.0,,,54-66,1,L. James makes free throw 2 of 2
8:17.0,I. Smith misses 2-pt shot from 18 ft,,54-66,,
8:14.0,,,54-66,,Defensive rebound by L. James
8:04.0,,,54-68,2,L. James makes 2-pt shot at rim (assist by G. Hill)
8:03.0,Detroit full timeout,,54-68,,
7:45.0,J. Ennis misses 3-pt shot from 26 ft,,54-68,,
7:41.0,,,54-68,,Defensive rebound by L. Nance
7:37.0,,,54-71,3,L. James makes 3-pt shot from 25 ft (assist by L. Nance)
7:20.0,,,54-71,,Personal foul by R. Hood (drawn by R. Bullock)
7:13.0,B. Griffin makes 2-pt shot from 20 ft,2,56-71,,
6:59.0,,,56-71,,Turnover by L. James (bad pass; steal by I. Smith)
6:58.0,,,56-71,,Personal foul by L. James (drawn by B. Griffin)
6:42.0,A. Drummond makes 2-pt shot from 1 ft (assist by I. Smith),2,58-71,,
6:18.0,,,58-71,,L. Nance misses 3-pt shot from 23 ft
6:18.0,Defensive rebound by B. Griffin,,58-71,,
6:04.0,A. Drummond makes 2-pt shot from 14 ft,2,60-71,,
6:04.0,Technical foul by A. Drummond,,60-71,,
6:04.0,,,60-71,,Cleveland full timeout
6:04.0,,,60-72,1,G. Hill makes technical free throw
5:49.0,,,60-74,2,G. Hill makes 2-pt shot from 16 ft (assist by L. James)
5:30.0,B. Griffin misses 2-pt shot from 15 ft,,60-74,,
5:30.0,,,60-74,,Defensive rebound by Team
5:30.0,Loose ball foul by A. Drummond (drawn by L. Nance),,60-74,,
5:30.0,A. Tolliver enters the game for A. Drummond,,60-74,,
5:17.0,,,60-74,,G. Hill misses 2-pt shot from 5 ft (block by J. Ennis)
5:13.0,Defensive rebound by B. Griffin,,60-74,,
4:56.0,B. Griffin misses 2-pt shot from 6 ft,,60-74,,
4:49.0,Offensive rebound by A. Tolliver,,60-74,,
4:49.0,A. Tolliver makes 2-pt shot at rim,2,62-74,,
4:30.0,,,62-74,,L. Nance misses 2-pt shot from 20 ft
4:27.0,Defensive rebound by A. Tolliver,,62-74,,
4:11.0,B. Griffin makes 2-pt shot from 1 ft,2,64-74,,
3:51.0,,,64-74,,R. Hood misses 2-pt shot from 11 ft (block by J. Ennis)
3:50.0,Defensive rebound by B. Griffin,,64-74,,
3:50.0,,,64-74,,Personal foul by L. Nance (drawn by B. Griffin)
3:50.0,,,64-74,,K. Korver enters the game for J. Smith
3:50.0,D. Buycks enters the game for I. Smith,,64-74,,
3:50.0,S. Johnson enters the game for J. Ennis,,64-74,,
3:41.0,D. Buycks misses 2-pt shot from 1 ft,,64-74,,
3:39.0,,,64-74,,Defensive rebound by L. Nance
3:30.0,,,64-74,,Shooting foul by A. Tolliver (drawn by L. Nance)
3:30.0,,,64-75,1,L. Nance makes free throw 1 of 2
3:30.0,,,64-75,,J. Clarkson enters the game for G. Hill
3:30.0,,,64-76,1,L. Nance makes free throw 2 of 2
3:13.0,,,64-76,,Personal foul by L. Nance (drawn by B. Griffin)
3:13.0,B. Griffin misses free throw 1 of 2,,64-76,,
3:13.0,Offensive rebound by Team,,64-76,,
3:13.0,B. Griffin makes free throw 2 of 2,1,65-76,,
3:02.0,,,65-79,3,K. Korver makes 3-pt shot from 24 ft (assist by L. James)
2:48.0,B. Griffin misses 2-pt shot from 8 ft,,65-79,,
2:44.0,,,65-79,,Defensive rebound by K. Korver
2:43.0,Technical foul by B. Griffin,,65-79,,
2:43.0,,,65-79,,A. Zizic enters the game for L. Nance
2:43.0,,,65-80,1,R. Hood makes technical free throw
2:35.0,,,65-82,2,R. Hood makes 2-pt shot from 18 ft (assist by A. Zizic)
2:18.0,R. Bullock makes 3-pt shot from 27 ft (assist by B. Griffin),3,68-82,,
2:08.0,,,68-82,,L. James misses 3-pt shot from 24 ft
2:05.0,Defensive rebound by S. Johnson,,68-82,,
2:01.0,S. Johnson misses 2-pt shot from 1 ft,,68-82,,
1:58.0,,,68-82,,Defensive rebound by K. Korver
1:55.0,,,68-84,2,L. James makes 2-pt shot at rim
1:45.0,R. Bullock misses 3-pt shot from 23 ft,,68-84,,
1:45.0,,,68-84,,Defensive rebound by J. Clarkson
1:39.0,,,68-84,,Turnover by J. Clarkson (out of bounds lost ball)
1:39.0,,,68-84,,C. Osman enters the game for L. James
1:22.0,B. Griffin misses 2-pt shot from 8 ft,,68-84,,
1:20.0,,,68-84,,Defensive rebound by A. Zizic
1:06.0,,,68-86,2,J. Clarkson makes 2-pt shot from 13 ft
0:49.0,D. Buycks misses 3-pt shot from 25 ft,,68-86,,
0:46.0,,,68-86,,Defensive rebound by A. Zizic
0:41.0,,,68-88,2,R. Hood makes 2-pt shot from 1 ft
0:21.0,S. Johnson makes 2-pt shot from 5 ft,2,70-88,,
0:05.0,Personal foul by B. Griffin (drawn by A. Zizic),,70-88,,
0:05.0,,,70-88,,Cleveland full timeout
0:05.0,J. Ennis enters the game for D. Buycks,,70-88,,
0:01.0,,,70-88,,Shooting foul by S. Johnson (drawn by R. Hood)
0:01.0,,,70-89,1,R. Hood makes free throw 1 of 2
0:01.0,,,70-90,1,R. Hood makes free throw 2 of 2
0:01.0,Turnover by B. Griffin (bad pass; steal by R. Hood),,70-90,,
0:00.0,,,70-90,,R. Hood misses 3-pt shot from 56 ft
0:00.0,,,70-90,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,Turnover by A. Drummond (lost ball; steal by A. Zizic),,70-90,,
11:43.0,,,70-93,3,K. Korver makes 3-pt shot from 23 ft (assist by J. Clarkson)
11:19.0,A. Tolliver makes 3-pt shot from 25 ft (assist by I. Smith),3,73-93,,
11:00.0,,,73-93,,J. Clarkson misses 3-pt shot from 26 ft
10:58.0,Defensive rebound by A. Drummond,,73-93,,
10:46.0,Shooting foul by K. Korver (drawn by S. Johnson),,73-93,,
10:46.0,S. Johnson misses free throw 1 of 2,,73-93,,
10:46.0,Offensive rebound by Team,,73-93,,
10:46.0,S. Johnson makes free throw 2 of 2,1,74-93,,
10:30.0,,,74-93,,C. Osman misses 3-pt shot from 24 ft
10:30.0,Defensive rebound by Team,,74-93,,
10:30.0,,,74-93,,Loose ball foul by A. Zizic (drawn by A. Drummond)
10:15.0,J. Ennis misses 2-pt shot from 12 ft,,74-93,,
10:13.0,,,74-93,,Defensive rebound by J. Clarkson
10:09.0,,,74-93,,J. Calderon misses 3-pt shot from 24 ft
10:04.0,Defensive rebound by A. Tolliver,,74-93,,
10:00.0,A. Tolliver misses 3-pt shot from 26 ft,,74-93,,
9:56.0,,,74-93,,Defensive rebound by K. Korver
9:42.0,,,74-95,2,A. Zizic makes 2-pt shot from 10 ft (assist by K. Korver)
9:27.0,Shooting foul by A. Zizic (drawn by A. Drummond),,74-95,,
9:27.0,A. Drummond makes free throw 1 of 2,1,75-95,,
9:27.0,A. Drummond makes free throw 2 of 2,1,76-95,,
9:04.0,,,76-95,,Turnover by C. Osman (bad pass; steal by S. Johnson)
8:59.0,J. Ennis misses 2-pt shot from 1 ft,,76-95,,
8:55.0,,,76-95,,Defensive rebound by C. Osman
8:51.0,,,76-95,,J. Clarkson misses 3-pt shot from 24 ft
8:48.0,Defensive rebound by A. Tolliver,,76-95,,
8:38.0,I. Smith makes 2-pt shot from 11 ft,2,78-95,,
8:38.0,,,78-95,,Cleveland full timeout
8:38.0,,,78-95,,L. Nance enters the game for A. Zizic
8:22.0,,,78-97,2,C. Osman makes 2-pt shot from 19 ft
8:06.0,Turnover by A. Drummond (lost ball; steal by L. Nance),,78-97,,
7:44.0,,,78-100,3,J. Clarkson makes 3-pt shot from 24 ft (assist by C. Osman)
7:20.0,Shooting foul by J. Calderon (drawn by S. Johnson),,78-100,,
7:20.0,S. Johnson makes free throw 1 of 2,1,79-100,,
7:20.0,S. Johnson misses free throw 2 of 2,,79-100,,
7:15.0,,,79-100,,Defensive rebound by C. Osman
6:56.0,,,79-100,,J. Clarkson misses 3-pt shot from 24 ft
6:54.0,Defensive rebound by A. Drummond,,79-100,,
6:46.0,A. Drummond makes 2-pt shot from 1 ft (assist by S. Johnson),2,81-100,,
6:46.0,Shooting foul by J. Calderon (drawn by A. Drummond),,81-100,,
6:46.0,,,81-100,,R. Hood enters the game for J. Calderon
6:46.0,A. Drummond makes free throw 1 of 1,1,82-100,,
6:22.0,,,82-100,,L. Nance misses 2-pt shot from 9 ft
6:19.0,Defensive rebound by I. Smith,,82-100,,
6:18.0,A. Tolliver misses 3-pt shot from 25 ft,,82-100,,
6:18.0,,,82-100,,Defensive rebound by Team
6:18.0,Loose ball foul by A. Drummond (drawn by K. Korver),,82-100,,
6:06.0,,,82-100,,C. Osman misses 3-pt shot from 25 ft
6:04.0,Defensive rebound by I. Smith,,82-100,,
5:55.0,I. Smith misses 2-pt shot from 6 ft,,82-100,,
5:52.0,,,82-100,,Defensive rebound by J. Clarkson
5:47.0,,,82-100,,K. Korver misses 3-pt shot from 22 ft
5:41.0,,,82-100,,Offensive rebound by L. Nance
5:36.0,,,82-102,2,C. Osman makes 2-pt shot from 21 ft
5:20.0,J. Ennis misses 3-pt shot from 24 ft,,82-102,,
5:17.0,,,82-102,,Defensive rebound by J. Clarkson
5:13.0,Personal foul by A. Tolliver (drawn by L. Nance),,82-102,,
5:13.0,H. Ellenson enters the game for A. Tolliver,,82-102,,
5:03.0,,,82-102,,R. Hood misses 2-pt shot from 19 ft
5:01.0,Defensive rebound by H. Ellenson,,82-102,,
4:47.0,Turnover by S. Johnson (bad pass; steal by J. Clarkson),,82-102,,
4:42.0,,,82-104,2,J. Clarkson makes 2-pt shot from 1 ft
4:42.0,Detroit full timeout,,82-104,,
4:42.0,,,82-104,,A. Zizic enters the game for R. Hood
4:42.0,,,82-104,,J. Calderon enters the game for J. Clarkson
4:42.0,,,82-104,,J. Holland enters the game for L. Nance
4:42.0,L. Kennard enters the game for A. Drummond,,82-104,,
4:42.0,L. Galloway enters the game for I. Smith,,82-104,,
4:42.0,E. Moreland enters the game for J. Ennis,,82-104,,
4:30.0,Turnover by L. Kennard (bad pass; steal by J. Holland),,82-104,,
4:16.0,,,82-104,,Turnover by C. Osman (bad pass)
3:59.0,H. Ellenson misses 3-pt shot from 25 ft,,82-104,,
3:56.0,,,82-104,,Defensive rebound by K. Korver
3:42.0,,,82-104,,J. Holland misses 3-pt shot from 24 ft
3:36.0,Defensive rebound by E. Moreland,,82-104,,
3:30.0,H. Ellenson misses 3-pt shot from 26 ft,,82-104,,
3:27.0,Offensive rebound by L. Kennard,,82-104,,
3:24.0,E. Moreland misses 2-pt shot from 1 ft,,82-104,,
3:24.0,,,82-104,,Defensive rebound by A. Zizic
3:07.0,,,82-106,2,K. Korver makes 2-pt shot from 1 ft (assist by A. Zizic)
2:57.0,L. Galloway misses 3-pt shot from 28 ft,,82-106,,
2:53.0,,,82-106,,Defensive rebound by K. Korver
2:42.0,,,82-106,,J. Holland misses 2-pt shot from 1 ft
2:40.0,Defensive rebound by S. Johnson,,82-106,,
2:36.0,S. Johnson misses 2-pt shot from 1 ft,,82-106,,
2:24.0,Offensive rebound by E. Moreland,,82-106,,
