time,Denver,pts.away,score,pts.home,Boston
2:31.0,K. Faried misses 2-pt shot from 3 ft,,28-24,,
2:30.0,Offensive rebound by K. Faried,,28-24,,
2:28.0,K. Faried misses 2-pt shot from 2 ft,,28-24,,
2:28.0,,,28-24,,Defensive rebound by S. Ojeleye
2:28.0,,,28-24,,Shooting foul by J. Murray (drawn by S. Ojeleye)
2:28.0,,,28-24,,D. Theis enters the game for K. Irving
2:28.0,,,28-24,,J. Tatum enters the game for A. Baynes
2:28.0,E. Mudiay enters the game for G. Harris,,28-24,,
2:28.0,W. Chandler enters the game for J. Murray,,28-24,,
2:14.0,,,28-24,,Shooting foul by W. Chandler (drawn by J. Brown)
2:14.0,,,28-25,1,J. Brown makes free throw 1 of 2
2:14.0,,,28-26,1,J. Brown makes free throw 2 of 2
2:00.0,W. Chandler misses 2-pt shot from 18 ft,,28-26,,
1:55.0,,,28-26,,Defensive rebound by S. Ojeleye
1:53.0,,,28-26,,D. Theis misses 2-pt shot at rim (block by K. Faried)
1:47.0,Defensive rebound by E. Mudiay,,28-26,,
1:39.0,E. Mudiay misses 2-pt shot from 2 ft (block by J. Brown),,28-26,,
1:34.0,Offensive rebound by K. Faried,,28-26,,
1:33.0,K. Faried misses 2-pt shot from 2 ft,,28-26,,
1:30.0,,,28-26,,Defensive rebound by D. Theis
1:27.0,,,28-28,2,T. Rozier makes 2-pt shot from 19 ft
1:13.0,M. Beasley misses 2-pt shot from 18 ft,,28-28,,
1:10.0,,,28-28,,Defensive rebound by S. Ojeleye
1:05.0,,,28-30,2,J. Tatum makes 2-pt shot from 2 ft
0:42.0,Shooting foul by S. Ojeleye (drawn by W. Chandler),,28-30,,
0:42.0,W. Chandler makes free throw 1 of 2,1,29-30,,
0:42.0,,,29-30,,K. Irving enters the game for J. Brown
0:42.0,W. Chandler makes free throw 2 of 2,1,30-30,,
0:26.0,,,30-30,,S. Ojeleye misses 2-pt shot from 1 ft (block by K. Faried)
0:26.0,Defensive rebound by M. Beasley,,30-30,,
0:04.0,W. Chandler misses 2-pt shot from 20 ft,,30-30,,
0:02.0,Offensive rebound by K. Faried,,30-30,,
0:02.0,Shooting foul by D. Theis (drawn by K. Faried),,30-30,,
0:02.0,K. Faried misses free throw 1 of 2,,30-30,,
0:02.0,Offensive rebound by Team,,30-30,,
0:02.0,,,30-30,,A. Baynes enters the game for S. Ojeleye
0:02.0,K. Faried makes free throw 2 of 2,1,31-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,M. Beasley makes 2-pt shot from 5 ft (assist by K. Faried),2,33-30,,
11:17.0,,,33-33,3,T. Rozier makes 3-pt shot from 24 ft (assist by J. Tatum)
10:56.0,W. Chandler makes 2-pt shot from 3 ft,2,35-33,,
10:42.0,,,35-35,2,J. Tatum makes 2-pt shot from 15 ft
10:32.0,W. Chandler misses 3-pt shot from 27 ft,,35-35,,
10:28.0,,,35-35,,Defensive rebound by T. Rozier
10:23.0,,,35-35,,T. Rozier misses 2-pt shot from 16 ft
10:19.0,Defensive rebound by W. Chandler,,35-35,,
10:11.0,E. Mudiay misses 2-pt shot from 3 ft,,35-35,,
10:11.0,,,35-35,,Defensive rebound by S. Ojeleye
10:07.0,,,35-35,,Offensive charge foul by S. Ojeleye (drawn by M. Beasley)
10:07.0,,,35-35,,Turnover by S. Ojeleye (offensive foul)
10:07.0,,,35-35,,M. Smart enters the game for S. Ojeleye
9:51.0,M. Beasley misses 2-pt shot from 7 ft,,35-35,,
9:46.0,,,35-35,,Defensive rebound by M. Smart
9:43.0,,,35-37,2,D. Theis makes 2-pt shot at rim (assist by S. Larkin)
9:29.0,Shooting foul by D. Theis (drawn by W. Chandler),,35-37,,
9:29.0,W. Chandler makes free throw 1 of 2,1,36-37,,
9:29.0,W. Chandler misses free throw 2 of 2,,36-37,,
9:26.0,,,36-37,,Defensive rebound by D. Theis
9:17.0,,,36-37,,D. Theis misses 3-pt shot from 25 ft
9:13.0,Defensive rebound by K. Faried,,36-37,,
9:04.0,J. Hernangomez misses 3-pt shot from 27 ft,,36-37,,
9:02.0,Offensive rebound by W. Chandler,,36-37,,
9:01.0,W. Chandler misses 2-pt shot from 2 ft (block by M. Smart),,36-37,,
9:01.0,,,36-37,,Defensive rebound by J. Tatum
8:56.0,,,36-39,2,S. Larkin makes 2-pt shot at rim (assist by J. Tatum)
8:56.0,Denver full timeout,,36-39,,
8:47.0,Offensive foul by K. Faried (drawn by S. Larkin),,36-39,,
8:47.0,Turnover by K. Faried (offensive foul),,36-39,,
8:27.0,,,36-41,2,S. Larkin makes 2-pt shot from 1 ft
8:15.0,Turnover by K. Faried (bad pass; steal by D. Theis),,36-41,,
8:10.0,,,36-44,3,J. Tatum makes 3-pt shot from 23 ft (assist by M. Smart)
8:00.0,J. Hernangomez misses 3-pt shot from 26 ft,,36-44,,
7:58.0,,,36-44,,Defensive rebound by S. Larkin
7:52.0,,,36-44,,Shooting foul by J. Hernangomez (drawn by J. Tatum)
7:52.0,,,36-44,,J. Tatum misses free throw 1 of 2
7:52.0,,,36-44,,Offensive rebound by Team
7:52.0,G. Harris enters the game for M. Beasley,,36-44,,
7:52.0,T. Lyles enters the game for K. Faried,,36-44,,
7:52.0,M. Plumlee enters the game for J. Hernangomez,,36-44,,
7:52.0,,,36-45,1,J. Tatum makes free throw 2 of 2
7:41.0,E. Mudiay makes 2-pt shot from 1 ft,2,38-45,,
7:29.0,,,38-45,,M. Smart misses 2-pt shot from 11 ft
7:27.0,Defensive rebound by M. Plumlee,,38-45,,
7:15.0,G. Harris misses 3-pt shot from 23 ft,,38-45,,
7:13.0,,,38-45,,Defensive rebound by J. Tatum
6:57.0,,,38-47,2,S. Larkin makes 2-pt shot from 17 ft
6:40.0,M. Plumlee makes 2-pt shot from 2 ft,2,40-47,,
6:22.0,,,40-50,3,S. Larkin makes 3-pt shot from 25 ft (assist by T. Rozier)
6:05.0,E. Mudiay makes 3-pt shot from 23 ft (assist by W. Chandler),3,43-50,,
5:46.0,,,43-50,,Turnover by J. Tatum (lost ball; steal by G. Harris)
5:43.0,G. Harris makes 2-pt shot from 1 ft (assist by E. Mudiay),2,45-50,,
5:43.0,,,45-50,,Boston full timeout
5:43.0,,,45-50,,K. Irving enters the game for J. Tatum
5:43.0,,,45-50,,J. Brown enters the game for T. Rozier
5:43.0,,,45-50,,A. Baynes enters the game for D. Theis
5:43.0,J. Murray enters the game for W. Chandler,,45-50,,
5:28.0,,,45-52,2,A. Baynes makes 2-pt shot from 2 ft (assist by K. Irving)
5:28.0,,,45-52,,Shooting foul by T. Lyles (drawn by A. Baynes)
5:28.0,,,45-53,1,A. Baynes makes free throw 1 of 1
5:16.0,Turnover by J. Murray (lost ball; steal by S. Larkin),,45-53,,
5:14.0,,,45-55,2,J. Brown makes 2-pt shot at rim
5:14.0,Violation by M. Plumlee (def goaltending),,45-55,,
5:03.0,G. Harris makes 2-pt shot from 12 ft,2,47-55,,
4:47.0,,,47-55,,K. Irving misses 3-pt shot from 25 ft
4:43.0,Defensive rebound by T. Lyles,,47-55,,
4:39.0,,,47-55,,Personal foul by S. Larkin (drawn by T. Lyles)
4:39.0,,,47-55,,S. Ojeleye enters the game for S. Larkin
4:34.0,G. Harris misses 3-pt shot from 26 ft,,47-55,,
4:30.0,Offensive rebound by T. Lyles,,47-55,,
4:26.0,Turnover by J. Murray (bad pass; steal by S. Ojeleye),,47-55,,
4:14.0,,,47-57,2,A. Baynes makes 2-pt shot from 1 ft
3:52.0,,,47-57,,Personal foul by M. Smart (drawn by E. Mudiay)
3:43.0,J. Murray makes 2-pt shot from 10 ft,2,49-57,,
3:26.0,,,49-57,,K. Irving misses 3-pt shot from 23 ft
3:21.0,Defensive rebound by J. Murray,,49-57,,
3:07.0,J. Murray misses 2-pt shot from 2 ft,,49-57,,
3:06.0,Offensive rebound by M. Plumlee,,49-57,,
3:04.0,M. Plumlee makes 2-pt shot at rim,2,51-57,,
2:53.0,,,51-59,2,A. Baynes makes 2-pt shot from 14 ft (assist by K. Irving)
2:42.0,M. Plumlee makes 2-pt shot from 2 ft (assist by E. Mudiay),2,53-59,,
2:42.0,Shooting foul by A. Baynes (drawn by M. Plumlee),,53-59,,
2:42.0,M. Plumlee misses free throw 1 of 1,,53-59,,
2:38.0,,,53-59,,Defensive rebound by Team
2:25.0,,,53-62,3,K. Irving makes 3-pt shot from 24 ft
1:58.0,Turnover by G. Harris (lost ball; steal by K. Irving),,53-62,,
1:52.0,,,53-64,2,J. Brown makes 2-pt shot from 1 ft (assist by M. Smart)
1:37.0,T. Lyles makes 2-pt shot from 3 ft,2,55-64,,
1:27.0,,,55-66,2,K. Irving makes 2-pt shot from 1 ft
1:15.0,E. Mudiay misses 3-pt shot from 26 ft,,55-66,,
1:11.0,,,55-66,,Defensive rebound by J. Brown
1:09.0,,,55-66,,K. Irving misses 3-pt shot from 24 ft
1:05.0,,,55-66,,Offensive rebound by J. Brown
1:03.0,,,55-66,,J. Brown misses 2-pt shot from 1 ft
1:03.0,Defensive rebound by M. Plumlee,,55-66,,
0:55.0,W. Chandler enters the game for E. Mudiay,,55-66,,
0:49.0,Offensive charge foul by T. Lyles (drawn by A. Baynes),,55-66,,
0:49.0,Turnover by T. Lyles (offensive foul),,55-66,,
0:42.0,,,55-66,,Offensive foul by J. Brown (drawn by G. Harris)
0:42.0,,,55-66,,Turnover by J. Brown (offensive foul)
0:42.0,M. Beasley enters the game for T. Lyles,,55-66,,
0:28.0,M. Beasley makes free throw 1 of 2,1,56-66,,
0:28.0,,,56-66,,J. Tatum enters the game for S. Ojeleye
0:28.0,M. Beasley makes free throw 2 of 2,1,57-66,,
0:28.0,Shooting foul by A. Baynes (drawn by M. Beasley),,57-66,,
0:05.0,,,57-66,,Turnover by J. Brown (lost ball; steal by W. Chandler)
0:03.0,W. Chandler makes 2-pt shot from 1 ft,2,59-66,,
0:00.0,,,59-66,,Shooting foul by J. Murray (drawn by M. Smart)
0:00.0,,,59-66,,M. Smart misses free throw 1 of 3
0:00.0,,,59-66,,Offensive rebound by Team
0:00.0,,,59-66,,D. Theis enters the game for A. Baynes
0:00.0,,,59-67,1,M. Smart makes free throw 2 of 3
0:00.0,,,59-68,1,M. Smart makes free throw 3 of 3
0:00.0,J. Murray misses 3-pt shot from 63 ft,,59-68,,
0:00.0,Offensive rebound by Team,,59-68,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,Turnover by G. Harris (bad pass; steal by M. Smart),,59-68,,
11:38.0,,,59-70,2,J. Tatum makes 2-pt shot from 2 ft (assist by K. Irving)
11:38.0,Violation by M. Plumlee (def goaltending),,59-70,,
11:30.0,G. Harris misses 2-pt shot from 1 ft (block by M. Smart),,59-70,,
11:25.0,,,59-70,,Defensive rebound by A. Baynes
11:21.0,,,59-70,,J. Brown misses 3-pt shot from 22 ft
11:18.0,Defensive rebound by T. Lyles,,59-70,,
10:59.0,Shooting foul by K. Irving (drawn by M. Plumlee),,59-70,,
10:59.0,M. Plumlee misses free throw 1 of 2,,59-70,,
10:59.0,Offensive rebound by Team,,59-70,,
10:59.0,M. Plumlee makes free throw 2 of 2,1,60-70,,
10:44.0,,,60-72,2,K. Irving makes 2-pt shot from 16 ft (assist by A. Baynes)
10:29.0,T. Lyles misses 3-pt shot from 24 ft,,60-72,,
10:25.0,,,60-72,,Defensive rebound by Team
10:08.0,,,60-72,,K. Irving misses 3-pt shot from 26 ft
10:05.0,Defensive rebound by J. Murray,,60-72,,
10:00.0,Turnover by J. Murray (bad pass; steal by J. Brown),,60-72,,
9:57.0,,,60-72,,Shooting foul by W. Chandler (drawn by J. Brown)
9:57.0,,,60-73,1,J. Brown makes free throw 1 of 2
9:57.0,,,60-73,,J. Brown misses free throw 2 of 2
9:54.0,Defensive rebound by T. Lyles,,60-73,,
9:37.0,J. Murray makes 3-pt shot from 24 ft (assist by G. Harris),3,63-73,,
9:19.0,,,63-75,2,J. Brown makes 2-pt shot from 17 ft (assist by A. Baynes)
9:05.0,G. Harris makes 2-pt shot from 2 ft,2,65-75,,
8:50.0,,,65-75,,A. Baynes misses 2-pt shot from 6 ft
8:48.0,Defensive rebound by G. Harris,,65-75,,
8:40.0,W. Chandler makes 2-pt shot from 3 ft,2,67-75,,
8:40.0,Shooting foul by J. Tatum (drawn by W. Chandler),,67-75,,
8:40.0,,,67-75,,S. Ojeleye enters the game for J. Tatum
8:40.0,W. Chandler makes free throw 1 of 1,1,68-75,,
8:23.0,,,68-78,3,J. Brown makes 3-pt shot from 22 ft (assist by M. Smart)
8:07.0,T. Lyles makes 2-pt shot at rim (assist by J. Murray),2,70-78,,
8:07.0,Shooting foul by A. Baynes (drawn by T. Lyles),,70-78,,
8:07.0,T. Lyles misses free throw 1 of 1,,70-78,,
8:04.0,,,70-78,,Defensive rebound by A. Baynes
7:56.0,,,70-80,2,K. Irving makes 2-pt shot from 9 ft
7:44.0,G. Harris makes 2-pt shot from 1 ft (assist by M. Plumlee),2,72-80,,
7:33.0,,,72-83,3,K. Irving makes 3-pt shot from 26 ft
7:21.0,J. Murray makes 2-pt shot from 16 ft,2,74-83,,
7:08.0,,,74-83,,Turnover by A. Baynes (traveling)
6:59.0,Shooting foul by K. Irving (drawn by J. Murray),,74-83,,
6:59.0,,,74-83,,Boston full timeout
6:59.0,J. Murray makes free throw 1 of 2,1,75-83,,
6:59.0,J. Murray makes free throw 2 of 2,1,76-83,,
6:40.0,,,76-83,,Turnover by S. Ojeleye (step out of bounds)
6:21.0,W. Chandler makes 2-pt shot from 19 ft (assist by G. Harris),2,78-83,,
6:03.0,,,78-83,,K. Irving misses 2-pt shot from 4 ft
6:03.0,Defensive rebound by M. Plumlee,,78-83,,
5:51.0,J. Murray makes 3-pt shot from 25 ft,3,81-83,,
5:39.0,,,81-83,,S. Ojeleye misses 3-pt shot from 22 ft
5:35.0,Defensive rebound by J. Murray,,81-83,,
5:17.0,M. Plumlee misses 2-pt shot from 2 ft,,81-83,,
5:13.0,,,81-83,,Defensive rebound by K. Irving
5:09.0,,,81-83,,M. Smart misses 3-pt shot from 22 ft
5:07.0,Defensive rebound by M. Plumlee,,81-83,,
4:58.0,J. Murray misses 2-pt shot from 18 ft,,81-83,,
4:49.0,Offensive rebound by T. Lyles,,81-83,,
4:49.0,T. Lyles misses 2-pt shot at rim,,81-83,,
4:49.0,,,81-83,,Defensive rebound by A. Baynes
4:44.0,,,81-85,2,K. Irving makes 2-pt shot from 17 ft
4:22.0,W. Chandler misses 2-pt shot from 7 ft,,81-85,,
4:22.0,Offensive rebound by W. Chandler,,81-85,,
4:22.0,Shooting foul by S. Ojeleye (drawn by W. Chandler),,81-85,,
4:22.0,W. Chandler makes free throw 1 of 2,1,82-85,,
4:22.0,,,82-85,,J. Tatum enters the game for M. Smart
4:22.0,W. Chandler makes free throw 2 of 2,1,83-85,,
4:10.0,,,83-85,,Turnover by J. Brown (bad pass)
4:10.0,M. Beasley enters the game for W. Chandler,,83-85,,
3:46.0,G. Harris misses 3-pt shot from 24 ft,,83-85,,
3:41.0,Offensive rebound by J. Murray,,83-85,,
3:40.0,M. Beasley misses 3-pt shot from 24 ft,,83-85,,
3:39.0,Offensive rebound by G. Harris,,83-85,,
3:39.0,G. Harris makes 2-pt shot at rim,2,85-85,,
3:24.0,,,85-87,2,A. Baynes makes 2-pt shot from 14 ft (assist by J. Brown)
3:07.0,Turnover by M. Plumlee (bad pass; steal by J. Brown),,85-87,,
3:07.0,Personal foul by G. Harris (drawn by J. Brown),,85-87,,
3:07.0,,,85-87,,T. Rozier enters the game for S. Ojeleye
2:49.0,,,85-90,3,J. Brown makes 3-pt shot from 25 ft (assist by T. Rozier)
2:30.0,M. Plumlee makes 2-pt shot at rim (assist by G. Harris),2,87-90,,
2:06.0,,,87-92,2,J. Tatum makes 2-pt shot from 1 ft (assist by T. Rozier)
2:04.0,,,87-92,,Shooting foul by M. Plumlee (drawn by J. Tatum)
2:04.0,Denver full timeout,,87-92,,
2:04.0,,,87-92,,S. Larkin enters the game for K. Irving
2:04.0,,,87-92,,D. Theis enters the game for A. Baynes
2:04.0,J. Hernangomez enters the game for T. Lyles,,87-92,,
2:04.0,K. Faried enters the game for M. Plumlee,,87-92,,
2:04.0,,,87-93,1,J. Tatum makes free throw 1 of 1
1:42.0,G. Harris makes 2-pt shot at rim,2,89-93,,
1:25.0,,,89-93,,J. Tatum misses 2-pt shot from 19 ft
1:19.0,Defensive rebound by K. Faried,,89-93,,
1:07.0,G. Harris makes 3-pt shot from 23 ft,3,92-93,,
0:46.0,,,92-93,,J. Tatum misses 2-pt shot from 4 ft
0:44.0,,,92-93,,Offensive rebound by D. Theis
0:42.0,,,92-95,2,J. Brown makes 2-pt shot from 1 ft (assist by D. Theis)
0:18.0,G. Harris misses 2-pt shot from 14 ft,,92-95,,
0:15.0,,,92-95,,Defensive rebound by J. Brown
0:06.0,Personal take foul by M. Beasley (drawn by T. Rozier),,92-95,,
0:01.0,,,92-95,,J. Tatum misses 2-pt shot from 22 ft
0:00.0,,,92-95,,Offensive rebound by Team
0:00.0,Loose ball foul by K. Faried (drawn by D. Theis),,92-95,,
0:00.0,,,92-96,1,D. Theis makes free throw 1 of 2
0:00.0,,,92-97,1,D. Theis makes free throw 2 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,92-97,,T. Rozier misses 2-pt shot from 9 ft
11:42.0,Defensive rebound by K. Faried,,92-97,,
11:38.0,M. Beasley makes 2-pt shot from 2 ft (assist by K. Faried),2,94-97,,
11:17.0,,,94-97,,T. Rozier misses 3-pt shot from 26 ft
11:14.0,Defensive rebound by J. Hernangomez,,94-97,,
11:05.0,Turnover by E. Mudiay (out of bounds lost ball),,94-97,,
10:51.0,,,94-100,3,S. Larkin makes 3-pt shot from 26 ft (assist by T. Rozier)
10:27.0,M. Beasley misses 3-pt shot from 24 ft,,94-100,,
10:23.0,,,94-100,,Defensive rebound by J. Tatum
10:11.0,,,94-102,2,J. Tatum makes 2-pt shot from 18 ft (assist by T. Rozier)
10:11.0,Denver full timeout,,94-102,,
9:58.0,Turnover by M. Beasley (bad pass; steal by S. Larkin),,94-102,,
9:55.0,,,94-104,2,S. Larkin makes 2-pt shot from 1 ft
9:28.0,E. Mudiay misses 3-pt shot from 25 ft,,94-104,,
9:25.0,Offensive rebound by J. Hernangomez,,94-104,,
9:24.0,J. Hernangomez misses 2-pt shot from 3 ft (block by S. Larkin),,94-104,,
9:21.0,,,94-104,,Defensive rebound by S. Larkin
9:03.0,,,94-104,,Shooting foul by E. Mudiay (drawn by D. Theis)
9:03.0,,,94-105,1,D. Theis makes free throw 1 of 2
9:03.0,,,94-106,1,D. Theis makes free throw 2 of 2
8:48.0,J. Hernangomez misses 3-pt shot from 23 ft,,94-106,,
8:44.0,Offensive rebound by K. Faried,,94-106,,
8:43.0,K. Faried misses 2-pt shot at rim,,94-106,,
8:43.0,Offensive rebound by J. Hernangomez,,94-106,,
8:28.0,Turnover by W. Chandler (lost ball; steal by M. Smart),,94-106,,
8:22.0,,,94-106,,Turnover by T. Rozier (bad pass; steal by W. Chandler)
8:20.0,Shooting foul by D. Theis (drawn by J. Hernangomez),,94-106,,
8:20.0,J. Hernangomez makes free throw 1 of 2,1,95-106,,
8:20.0,J. Hernangomez makes free throw 2 of 2,1,96-106,,
8:10.0,,,96-106,,S. Ojeleye enters the game for J. Tatum
8:10.0,T. Lyles enters the game for M. Beasley,,96-106,,
8:10.0,J. Murray enters the game for J. Hernangomez,,96-106,,
8:10.0,G. Harris enters the game for E. Mudiay,,96-106,,
8:08.0,,,96-108,2,T. Rozier makes 2-pt shot from 19 ft (assist by M. Smart)
7:38.0,Jump ball: T. Rozier vs. K. Faried (G. Harris gains possession),,,,Jump ball: T. Rozier vs. K. Faried (G. Harris gains possession)
7:37.0,G. Harris makes 3-pt shot from 26 ft (assist by K. Faried),3,99-108,,
7:16.0,,,99-108,,Turnover by M. Smart (lost ball; steal by G. Harris)
7:08.0,J. Murray misses 3-pt shot from 24 ft,,99-108,,
7:05.0,,,99-108,,Defensive rebound by T. Rozier
6:57.0,,,99-108,,T. Rozier misses 2-pt shot from 19 ft
6:53.0,Defensive rebound by W. Chandler,,99-108,,
6:40.0,Shooting foul by T. Rozier (drawn by J. Murray),,99-108,,
6:40.0,J. Murray makes free throw 1 of 2,1,100-108,,
6:40.0,,,100-108,,K. Irving enters the game for T. Rozier
6:40.0,M. Plumlee enters the game for K. Faried,,100-108,,
6:40.0,J. Murray makes free throw 2 of 2,1,101-108,,
6:18.0,,,101-110,2,D. Theis makes 2-pt shot from 15 ft (assist by S. Larkin)
5:47.0,J. Murray misses 2-pt shot from 8 ft (block by K. Irving),,101-110,,
5:46.0,Offensive rebound by J. Murray,,101-110,,
5:46.0,Turnover by Team (shot clock),,101-110,,
5:34.0,,,101-112,2,K. Irving makes 2-pt shot from 2 ft (assist by M. Smart)
5:34.0,Denver full timeout,,101-112,,
5:12.0,J. Murray makes 2-pt shot from 19 ft,2,103-112,,
4:52.0,,,103-114,2,K. Irving makes 2-pt shot from 15 ft
4:29.0,Shooting foul by D. Theis (drawn by T. Lyles),,103-114,,
4:29.0,T. Lyles misses free throw 1 of 2,,103-114,,
4:29.0,Offensive rebound by Team,,103-114,,
4:29.0,,,103-114,,A. Baynes enters the game for D. Theis
4:29.0,T. Lyles misses free throw 2 of 2,,103-114,,
4:26.0,Offensive rebound by J. Murray,,103-114,,
4:15.0,M. Plumlee misses 2-pt shot from 1 ft (block by K. Irving),,103-114,,
4:11.0,,,103-114,,Defensive rebound by S. Larkin
4:09.0,,,103-114,,Turnover by K. Irving (lost ball; steal by J. Murray)
4:08.0,Denver full timeout,,103-114,,
4:08.0,,,103-114,,J. Tatum enters the game for S. Larkin
4:08.0,,,103-114,,J. Brown enters the game for M. Smart
3:54.0,G. Harris misses 3-pt shot from 25 ft,,103-114,,
3:51.0,,,103-114,,Defensive rebound by J. Tatum
3:36.0,,,103-114,,S. Ojeleye misses 3-pt shot from 27 ft
3:35.0,Defensive rebound by Team,,103-114,,
3:19.0,Turnover by J. Murray (out of bounds lost ball),,103-114,,
3:04.0,,,103-114,,Turnover by A. Baynes (bad pass; steal by J. Murray)
3:01.0,Shooting foul by K. Irving (drawn by J. Murray),,103-114,,
3:01.0,J. Murray makes free throw 1 of 2,1,104-114,,
3:01.0,J. Murray makes free throw 2 of 2,1,105-114,,
