time,New Orleans,pts.away,score,pts.home,Phoenix
6:18.0,Defensive rebound by A. Davis,,16-4,,
6:09.0,N. Mirotic makes 2-pt shot at rim,2,18-4,,
5:51.0,Personal foul by R. Rondo (drawn by J. Jackson),,18-4,,
5:51.0,,,18-4,,A. Peters enters the game for D. Bender
5:51.0,,,18-4,,A. Len enters the game for M. Chriss
5:51.0,S. Hill enters the game for E. Moore,,18-4,,
5:51.0,D. Miller enters the game for R. Rondo,,18-4,,
5:37.0,,,18-4,,J. Jackson misses 2-pt shot from 21 ft
5:34.0,Defensive rebound by N. Mirotic,,18-4,,
5:30.0,N. Mirotic misses 3-pt shot from 26 ft,,18-4,,
5:28.0,Offensive rebound by A. Davis,,18-4,,
5:28.0,Shooting foul by A. Len (drawn by A. Davis),,18-4,,
5:28.0,A. Davis makes free throw 1 of 2,1,19-4,,
5:28.0,A. Davis makes free throw 2 of 2,1,20-4,,
5:14.0,,,20-6,2,A. Len makes 2-pt shot from 1 ft
5:04.0,A. Davis makes 3-pt shot from 25 ft (assist by J. Holiday),3,23-6,,
4:40.0,,,23-6,,D. House misses 2-pt shot at rim
4:39.0,Defensive rebound by A. Davis,,23-6,,
4:34.0,A. Davis misses 3-pt shot from 25 ft,,23-6,,
4:30.0,Offensive rebound by S. Hill,,23-6,,
4:30.0,Shooting foul by A. Peters (drawn by A. Davis),,23-6,,
4:30.0,A. Davis misses free throw 1 of 2,,23-6,,
4:30.0,Offensive rebound by Team,,23-6,,
4:30.0,,,23-6,,S. Harrison enters the game for D. House
4:30.0,A. Davis makes free throw 2 of 2,1,24-6,,
4:15.0,,,24-8,2,T. Ulis makes 2-pt shot from 9 ft
4:07.0,A. Davis misses 2-pt shot from 20 ft,,24-8,,
4:03.0,Offensive rebound by J. Holiday,,24-8,,
4:02.0,N. Mirotic makes 3-pt shot from 25 ft (assist by D. Miller),3,27-8,,
3:48.0,,,27-8,,T. Ulis misses 2-pt shot from 18 ft
3:44.0,Defensive rebound by S. Hill,,27-8,,
3:37.0,N. Mirotic misses 3-pt shot from 24 ft,,27-8,,
3:34.0,Offensive rebound by J. Holiday,,27-8,,
3:31.0,S. Hill misses 3-pt shot from 25 ft,,27-8,,
3:29.0,,,27-8,,Defensive rebound by A. Len
3:16.0,,,27-10,2,J. Jackson makes 2-pt shot at rim
3:04.0,N. Mirotic misses 2-pt shot from 1 ft,,27-10,,
3:01.0,,,27-10,,Defensive rebound by A. Peters
2:59.0,,,27-12,2,T. Ulis makes 2-pt shot from 17 ft
2:48.0,D. Miller misses 3-pt shot from 24 ft,,27-12,,
2:47.0,,,27-12,,Defensive rebound by S. Harrison
2:39.0,,,27-12,,Shooting foul by A. Davis (drawn by J. Jackson)
2:39.0,New Orleans full timeout,,27-12,,
2:39.0,E. Okafor enters the game for A. Davis,,27-12,,
2:39.0,,,27-13,1,J. Jackson makes free throw 1 of 2
2:39.0,,,27-14,1,J. Jackson makes free throw 2 of 2
2:29.0,N. Mirotic misses 3-pt shot from 25 ft,,27-14,,
2:25.0,Offensive rebound by J. Holiday,,27-14,,
2:21.0,J. Holiday makes 3-pt shot from 23 ft (assist by S. Hill),3,30-14,,
2:03.0,,,30-14,,T. Ulis misses 2-pt shot from 1 ft (block by N. Mirotic)
2:00.0,,,30-14,,Offensive rebound by J. Jackson
1:54.0,,,30-16,2,J. Jackson makes 2-pt shot from 5 ft
1:40.0,N. Mirotic makes 2-pt shot from 9 ft,2,32-16,,
1:29.0,,,32-16,,J. Jackson misses 2-pt shot from 1 ft
1:27.0,Defensive rebound by N. Mirotic,,32-16,,
1:19.0,N. Mirotic makes 2-pt shot at rim (assist by J. Holiday),2,34-16,,
1:13.0,,,34-16,,D. House enters the game for T. Ulis
1:13.0,,,34-16,,D. Reed enters the game for J. Jackson
1:13.0,,,34-16,,M. Chriss enters the game for A. Peters
1:09.0,,,34-19,3,D. Reed makes 3-pt shot from 24 ft (assist by M. Chriss)
0:58.0,E. Okafor makes 2-pt shot at rim (assist by J. Holiday),2,36-19,,
0:46.0,,,36-19,,M. Chriss misses 3-pt shot from 25 ft
0:42.0,Defensive rebound by E. Okafor,,36-19,,
0:36.0,Turnover by S. Hill (bad pass),,36-19,,
0:31.0,,,36-19,,S. Harrison misses 2-pt shot from 1 ft (block by J. Holiday)
0:27.0,Defensive rebound by S. Hill,,36-19,,
0:24.0,J. Holiday makes 3-pt shot from 25 ft (assist by S. Hill),3,39-19,,
0:04.0,Shooting block foul by N. Mirotic (drawn by S. Harrison),,39-19,,
0:04.0,,,39-20,1,S. Harrison makes free throw 1 of 2
0:04.0,C. Diallo enters the game for N. Mirotic,,39-20,,
0:04.0,R. Rondo enters the game for E. Okafor,,39-20,,
0:04.0,,,39-21,1,S. Harrison makes free throw 2 of 2
0:00.0,S. Hill misses 3-pt shot from 33 ft,,39-21,,
0:00.0,Offensive rebound by Team,,39-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,39-23,2,S. Harrison makes 2-pt shot at rim
11:31.0,D. Miller makes 2-pt shot from 15 ft (assist by R. Rondo),2,41-23,,
11:09.0,,,41-25,2,M. Chriss makes 2-pt shot from 18 ft (assist by D. House)
10:52.0,Turnover by D. Miller (bad pass; steal by M. Chriss),,41-25,,
10:47.0,,,41-25,,S. Harrison misses 2-pt shot at rim
10:45.0,Defensive rebound by D. Miller,,41-25,,
10:44.0,Turnover by D. Miller (bad pass; steal by S. Harrison),,41-25,,
10:31.0,,,41-25,,J. Dudley misses 3-pt shot from 25 ft
10:30.0,Defensive rebound by S. Hill,,41-25,,
10:18.0,A. Davis misses 2-pt shot from 8 ft,,41-25,,
10:16.0,,,41-25,,Defensive rebound by M. Chriss
10:08.0,,,41-25,,D. House misses 3-pt shot from 24 ft
10:06.0,,,41-25,,Offensive rebound by S. Harrison
10:06.0,,,41-25,,S. Harrison misses 2-pt shot from 1 ft (block by C. Diallo)
10:05.0,Defensive rebound by A. Davis,,41-25,,
9:58.0,R. Rondo makes 2-pt shot at rim,2,43-25,,
9:49.0,Personal foul by R. Rondo (drawn by M. Chriss),,43-25,,
9:49.0,E. Moore enters the game for A. Davis,,43-25,,
9:37.0,,,43-25,,Offensive foul by M. Chriss (drawn by S. Hill)
9:37.0,,,43-25,,Turnover by M. Chriss (offensive foul)
9:37.0,,,43-25,,D. Bender enters the game for M. Chriss
9:17.0,R. Rondo misses 3-pt shot from 23 ft,,43-25,,
9:12.0,Offensive rebound by C. Diallo,,43-25,,
9:08.0,Turnover by D. Miller (lost ball; steal by J. Dudley),,43-25,,
9:03.0,,,43-27,2,D. Bender makes 2-pt shot at rim (assist by D. House)
8:52.0,Turnover by E. Moore (traveling),,43-27,,
8:48.0,,,43-27,,Shooting foul by S. Hill (drawn by D. House)
8:48.0,New Orleans full timeout,,43-27,,
8:48.0,D. Liggins enters the game for S. Hill,,43-27,,
8:48.0,,,43-28,1,D. House makes free throw 1 of 2
8:48.0,,,43-28,,D. House misses free throw 2 of 2
8:46.0,Defensive rebound by R. Rondo,,43-28,,
8:26.0,E. Moore misses 2-pt shot from 12 ft,,43-28,,
8:23.0,,,43-28,,Defensive rebound by J. Dudley
8:05.0,,,43-30,2,D. Reed makes 2-pt shot from 19 ft (assist by S. Harrison)
7:40.0,E. Moore misses 2-pt shot from 7 ft,,43-30,,
7:35.0,Offensive rebound by E. Moore,,43-30,,
7:20.0,D. Miller makes 2-pt shot from 21 ft,2,45-30,,
7:10.0,,,45-32,2,S. Harrison makes 2-pt shot at rim
6:51.0,D. Liggins misses 2-pt shot from 7 ft (block by D. House),,45-32,,
6:47.0,,,45-32,,Defensive rebound by D. Reed
6:42.0,,,45-34,2,S. Harrison makes 2-pt shot at rim (assist by D. House)
6:28.0,E. Moore misses 3-pt shot from 24 ft,,45-34,,
6:25.0,Offensive rebound by Team,,45-34,,
6:25.0,N. Mirotic enters the game for C. Diallo,,45-34,,
6:25.0,A. Davis enters the game for D. Liggins,,45-34,,
6:11.0,A. Davis makes 2-pt shot from 3 ft (assist by N. Mirotic),2,47-34,,
5:57.0,,,47-34,,Turnover by D. Bender (lost ball; steal by D. Miller)
5:53.0,N. Mirotic makes 2-pt shot from 1 ft (assist by R. Rondo),2,49-34,,
5:53.0,,,49-34,,Phoenix full timeout
5:53.0,,,49-34,,M. Chriss enters the game for J. Dudley
5:53.0,,,49-34,,J. Jackson enters the game for D. House
5:42.0,,,49-34,,D. Bender misses 3-pt shot from 25 ft
5:39.0,Defensive rebound by N. Mirotic,,49-34,,
5:23.0,A. Davis makes 2-pt shot from 18 ft,2,51-34,,
5:02.0,,,51-34,,D. Reed misses 2-pt shot from 14 ft
4:58.0,Defensive rebound by N. Mirotic,,51-34,,
4:51.0,A. Davis misses 2-pt shot from 6 ft,,51-34,,
4:51.0,Offensive rebound by Team,,51-34,,
4:51.0,,,51-34,,T. Ulis enters the game for S. Harrison
4:51.0,J. Holiday enters the game for E. Moore,,51-34,,
4:47.0,A. Davis misses 2-pt shot from 21 ft,,51-34,,
4:45.0,,,51-34,,Defensive rebound by D. Bender
4:31.0,,,51-36,2,M. Chriss makes 2-pt shot from 17 ft (assist by D. Reed)
4:05.0,J. Holiday misses 2-pt shot from 1 ft,,51-36,,
4:01.0,,,51-36,,Defensive rebound by M. Chriss
3:45.0,,,51-36,,J. Jackson misses 2-pt shot from 18 ft
3:43.0,Defensive rebound by R. Rondo,,51-36,,
3:41.0,,,51-36,,Personal foul by M. Chriss (drawn by A. Davis)
3:41.0,,,51-36,,A. Len enters the game for M. Chriss
3:40.0,,,51-36,,Personal block foul by J. Jackson (drawn by A. Davis)
3:40.0,J. Crawford enters the game for R. Rondo,,51-36,,
3:36.0,J. Holiday misses 2-pt shot at rim,,51-36,,
3:35.0,,,51-36,,Defensive rebound by T. Ulis
3:31.0,,,51-36,,D. Reed misses 3-pt shot from 22 ft
3:25.0,Defensive rebound by N. Mirotic,,51-36,,
3:20.0,,,51-36,,Shooting block foul by J. Jackson (drawn by J. Holiday)
3:20.0,J. Holiday makes free throw 1 of 2,1,52-36,,
3:20.0,,,52-36,,D. House enters the game for J. Jackson
3:20.0,,,52-36,,S. Harrison enters the game for D. Reed
3:20.0,J. Holiday misses free throw 2 of 2,,52-36,,
3:18.0,,,52-36,,Defensive rebound by A. Len
3:13.0,,,52-36,,Technical foul by J. Dudley
3:13.0,J. Crawford makes technical free throw,1,53-36,,
3:09.0,,,53-39,3,T. Ulis makes 3-pt shot from 25 ft (assist by A. Len)
2:47.0,J. Crawford misses 3-pt shot from 25 ft,,53-39,,
2:46.0,,,53-39,,Defensive rebound by D. House
2:41.0,,,53-39,,A. Len misses 3-pt shot from 25 ft
2:37.0,Defensive rebound by A. Davis,,53-39,,
2:17.0,Turnover by J. Crawford (lost ball; steal by T. Ulis),,53-39,,
2:10.0,,,53-39,,D. Bender misses 3-pt shot from 25 ft
2:08.0,,,53-39,,Offensive rebound by Team
1:54.0,,,53-41,2,D. House makes 2-pt shot at rim
1:38.0,A. Davis makes 2-pt shot at rim (assist by D. Miller),2,55-41,,
1:38.0,Shooting foul by A. Len (drawn by A. Davis),,55-41,,
1:38.0,E. Moore enters the game for D. Miller,,55-41,,
1:38.0,A. Davis makes free throw 1 of 1,1,56-41,,
1:20.0,,,56-41,,A. Len misses 2-pt shot from 1 ft
1:18.0,Defensive rebound by N. Mirotic,,56-41,,
1:10.0,Turnover by J. Holiday (bad pass; steal by T. Ulis),,56-41,,
1:04.0,,,56-41,,Turnover by T. Ulis (bad pass)
0:53.0,A. Davis makes 2-pt shot from 20 ft (assist by J. Crawford),2,58-41,,
0:37.0,,,58-43,2,A. Len makes 2-pt shot at rim (assist by S. Harrison)
0:33.0,,,58-43,,Personal foul by D. Bender (drawn by A. Davis)
0:33.0,A. Davis makes free throw 1 of 2,1,59-43,,
0:33.0,,,59-43,,A. Peters enters the game for A. Len
0:33.0,A. Davis makes free throw 2 of 2,1,60-43,,
0:17.0,,,60-43,,Turnover by A. Peters (bad pass; steal by J. Holiday)
0:15.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,62-43,,
0:15.0,Shooting foul by D. House (drawn by A. Davis),,62-43,,
0:15.0,A. Davis makes free throw 1 of 1,1,63-43,,
0:01.0,,,63-46,3,T. Ulis makes 3-pt shot from 26 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,63-46,,D. House misses 3-pt shot from 26 ft
11:38.0,Defensive rebound by A. Davis,,63-46,,
11:19.0,A. Davis misses 2-pt shot from 18 ft,,63-46,,
11:16.0,,,63-46,,Defensive rebound by J. Jackson
11:11.0,,,63-48,2,J. Jackson makes 2-pt shot from 18 ft
10:57.0,N. Mirotic misses 2-pt shot from 12 ft,,63-48,,
10:55.0,,,63-48,,Defensive rebound by D. Bender
10:53.0,,,63-48,,Turnover by D. Bender (bad pass; steal by R. Rondo)
10:45.0,N. Mirotic misses 2-pt shot from 7 ft,,63-48,,
10:43.0,,,63-48,,Defensive rebound by D. Bender
10:31.0,,,63-48,,J. Jackson misses 3-pt shot from 23 ft
10:29.0,,,63-48,,Offensive rebound by D. Bender
10:26.0,,,63-48,,M. Chriss misses 3-pt shot from 24 ft
10:24.0,,,63-48,,Offensive rebound by Team
10:24.0,Loose ball foul by E. Moore (drawn by D. House),,63-48,,
10:24.0,New Orleans full timeout,,63-48,,
10:18.0,,,63-48,,J. Jackson misses 2-pt shot from 12 ft
10:16.0,,,63-48,,Offensive rebound by J. Jackson
10:14.0,,,63-48,,Turnover by J. Jackson (lost ball; steal by E. Moore)
10:06.0,E. Moore misses 2-pt shot from 18 ft,,63-48,,
10:02.0,,,63-48,,Defensive rebound by D. House
9:49.0,,,63-50,2,M. Chriss makes 2-pt shot at rim (assist by T. Ulis)
9:34.0,A. Davis misses 2-pt shot from 18 ft,,63-50,,
9:31.0,,,63-50,,Defensive rebound by T. Ulis
9:26.0,,,63-50,,Turnover by T. Ulis (bad pass; steal by A. Davis)
9:18.0,E. Moore makes 2-pt shot from 6 ft (assist by J. Holiday),2,65-50,,
8:59.0,,,65-52,2,T. Ulis makes 2-pt shot from 21 ft (assist by M. Chriss)
8:50.0,J. Holiday makes 2-pt shot from 2 ft,2,67-52,,
8:40.0,,,67-52,,T. Ulis misses 2-pt shot from 15 ft
8:37.0,Defensive rebound by A. Davis,,67-52,,
8:21.0,N. Mirotic misses 2-pt shot at rim,,67-52,,
8:19.0,,,67-52,,Defensive rebound by Team
8:05.0,,,67-52,,J. Jackson misses 2-pt shot from 20 ft
8:03.0,,,67-52,,Offensive rebound by Team
8:03.0,Loose ball foul by J. Holiday (drawn by D. Bender),,67-52,,
7:56.0,,,67-54,2,M. Chriss makes 2-pt shot from 20 ft (assist by D. Bender)
7:45.0,N. Mirotic misses 3-pt shot from 26 ft,,67-54,,
7:42.0,,,67-54,,Defensive rebound by J. Jackson
7:38.0,,,67-54,,Turnover by J. Jackson (out of bounds lost ball)
7:26.0,Offensive foul by N. Mirotic (drawn by D. House),,67-54,,
7:26.0,Turnover by N. Mirotic (offensive foul),,67-54,,
7:26.0,,,67-54,,S. Harrison enters the game for J. Jackson
7:11.0,,,67-54,,M. Chriss misses 2-pt shot from 1 ft
7:09.0,Defensive rebound by E. Moore,,67-54,,
6:56.0,N. Mirotic misses 2-pt shot from 12 ft,,67-54,,
6:54.0,,,67-54,,Defensive rebound by S. Harrison
6:47.0,,,67-54,,M. Chriss misses 3-pt shot from 25 ft
6:45.0,,,67-54,,Offensive rebound by M. Chriss
6:43.0,,,67-54,,Shooting foul by N. Mirotic (drawn by M. Chriss)
6:43.0,,,67-55,1,M. Chriss makes free throw 1 of 2
6:43.0,D. Miller enters the game for R. Rondo,,67-55,,
6:43.0,,,67-56,1,M. Chriss makes free throw 2 of 2
6:26.0,A. Davis misses 2-pt shot from 11 ft,,67-56,,
6:24.0,,,67-56,,Defensive rebound by D. House
6:20.0,,,67-56,,Offensive foul by M. Chriss (drawn by E. Moore)
6:20.0,,,67-56,,Turnover by M. Chriss (offensive foul)
6:04.0,Turnover by E. Moore (traveling),,67-56,,
6:04.0,,,67-56,,A. Len enters the game for M. Chriss
5:56.0,Personal foul by E. Moore (drawn by T. Ulis),,67-56,,
5:51.0,,,67-56,,S. Harrison misses 2-pt shot from 4 ft (block by A. Davis)
5:49.0,Defensive rebound by Team,,67-56,,
5:42.0,J. Holiday makes 2-pt shot from 1 ft,2,69-56,,
5:16.0,,,69-59,3,D. Bender makes 3-pt shot from 22 ft (assist by S. Harrison)
5:00.0,J. Holiday makes 2-pt shot at rim,2,71-59,,
4:51.0,,,71-62,3,D. Bender makes 3-pt shot from 25 ft (assist by T. Ulis)
4:37.0,Shooting foul by A. Len (drawn by J. Holiday),,71-62,,
4:37.0,J. Holiday makes free throw 1 of 2,1,72-62,,
4:37.0,S. Hill enters the game for E. Moore,,72-62,,
4:37.0,J. Holiday misses free throw 2 of 2,,72-62,,
4:35.0,Offensive rebound by N. Mirotic,,72-62,,
4:32.0,N. Mirotic makes 2-pt shot from 6 ft,2,74-62,,
4:15.0,,,74-64,2,T. Ulis makes 2-pt shot from 19 ft
4:05.0,S. Hill misses 2-pt shot from 4 ft,,74-64,,
4:02.0,,,74-64,,Defensive rebound by T. Ulis
3:55.0,,,74-64,,S. Harrison misses 2-pt shot at rim
3:53.0,Defensive rebound by D. Miller,,74-64,,
3:50.0,N. Mirotic makes 2-pt shot from 1 ft (assist by J. Holiday),2,76-64,,
3:50.0,,,76-64,,Phoenix full timeout
3:50.0,C. Diallo enters the game for N. Mirotic,,76-64,,
3:32.0,,,76-64,,D. House misses 2-pt shot from 1 ft (block by A. Davis)
3:29.0,,,76-64,,Offensive rebound by Team
3:28.0,,,76-64,,D. House misses 2-pt shot from 18 ft
3:23.0,Defensive rebound by Team,,76-64,,
3:12.0,D. Miller makes 3-pt shot from 25 ft (assist by J. Holiday),3,79-64,,
2:51.0,,,79-64,,A. Len misses 2-pt shot at rim (block by A. Davis)
2:48.0,Defensive rebound by J. Holiday,,79-64,,
2:36.0,J. Holiday makes 3-pt shot from 25 ft (assist by A. Davis),3,82-64,,
2:08.0,,,82-64,,T. Ulis misses 3-pt shot from 24 ft
2:07.0,Defensive rebound by C. Diallo,,82-64,,
2:03.0,Shooting foul by A. Len (drawn by A. Davis),,82-64,,
2:03.0,A. Davis makes free throw 1 of 2,1,83-64,,
2:03.0,A. Davis makes free throw 2 of 2,1,84-64,,
2:03.0,,,84-64,,J. Jackson enters the game for T. Ulis
2:03.0,,,84-64,,D. Reed enters the game for D. House
2:03.0,R. Rondo enters the game for J. Holiday,,84-64,,
1:47.0,,,84-66,2,J. Jackson makes 2-pt shot from 15 ft (assist by S. Harrison)
1:34.0,A. Davis misses 2-pt shot from 20 ft,,84-66,,
1:31.0,,,84-66,,Defensive rebound by D. Reed
1:21.0,,,84-66,,Shooting foul by A. Davis (drawn by A. Len)
1:21.0,,,84-67,1,A. Len makes free throw 1 of 2
1:21.0,,,84-67,,A. Len misses free throw 2 of 2
1:18.0,Defensive rebound by C. Diallo,,84-67,,
1:13.0,Turnover by R. Rondo (traveling),,84-67,,
0:57.0,,,84-67,,Shooting foul by D. Miller (drawn by J. Jackson)
0:57.0,,,84-68,1,J. Jackson makes free throw 1 of 2
0:57.0,,,84-68,,J. Jackson misses free throw 2 of 2
0:54.0,,,84-68,,Offensive rebound by A. Len
0:53.0,,,84-70,2,J. Jackson makes 2-pt shot at rim (assist by A. Len)
0:45.0,A. Davis makes 2-pt shot at rim (assist by R. Rondo),2,86-70,,
0:37.0,,,86-70,,J. Jackson misses 2-pt shot from 3 ft
0:35.0,Defensive rebound by C. Diallo,,86-70,,
0:25.0,Turnover by R. Rondo (bad pass; steal by S. Harrison),,86-70,,
0:25.0,,,86-70,,D. Bender misses 3-pt shot from 24 ft
0:20.0,,,86-70,,Offensive rebound by J. Jackson
0:18.0,,,86-70,,Turnover by A. Len (bad pass; steal by D. Miller)
0:01.0,A. Davis misses 3-pt shot from 26 ft,,86-70,,
0:01.0,Offensive rebound by Team,,86-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,D. Miller misses 2-pt shot from 22 ft,,86-70,,
11:38.0,,,86-70,,Defensive rebound by J. Jackson
11:36.0,,,86-70,,Shooting foul by S. Hill (drawn by J. Jackson)
11:36.0,,,86-71,1,J. Jackson makes free throw 1 of 2
11:36.0,,,86-72,1,J. Jackson makes free throw 2 of 2
11:12.0,N. Mirotic makes 3-pt shot from 23 ft (assist by R. Rondo),3,89-72,,
10:57.0,,,89-75,3,D. Bender makes 3-pt shot from 25 ft (assist by J. Jackson)
10:44.0,R. Rondo makes 2-pt shot from 1 ft,2,91-75,,
10:39.0,,,91-77,2,J. Jackson makes 2-pt shot at rim
10:24.0,R. Rondo misses 3-pt shot from 25 ft,,91-77,,
10:24.0,,,91-77,,Defensive rebound by S. Harrison
10:13.0,,,91-77,,D. Reed misses 3-pt shot from 25 ft
10:10.0,Defensive rebound by N. Mirotic,,91-77,,
9:59.0,R. Rondo makes 2-pt shot at rim,2,93-77,,
9:49.0,,,93-80,3,D. Bender makes 3-pt shot from 24 ft (assist by S. Harrison)
9:49.0,New Orleans full timeout,,93-80,,
9:49.0,E. Moore enters the game for S. Hill,,93-80,,
9:33.0,D. Miller misses 2-pt shot from 16 ft,,93-80,,
9:29.0,,,93-80,,Defensive rebound by D. Bender
9:19.0,,,93-80,,A. Peters misses 3-pt shot from 22 ft
9:17.0,,,93-80,,Offensive rebound by J. Jackson
9:17.0,,,93-80,,Shooting foul by D. Miller (drawn by J. Jackson)
9:17.0,,,93-80,,J. Jackson misses free throw 1 of 2
9:17.0,,,93-80,,Offensive rebound by Team
9:17.0,,,93-81,1,J. Jackson makes free throw 2 of 2
9:09.0,,,93-81,,Personal foul by A. Peters (drawn by N. Mirotic)
9:09.0,J. Holiday enters the game for R. Rondo,,93-81,,
9:00.0,J. Holiday misses 2-pt shot from 12 ft,,93-81,,
8:59.0,Offensive rebound by N. Mirotic,,93-81,,
8:59.0,N. Mirotic misses 2-pt shot from 2 ft,,93-81,,
8:58.0,,,93-81,,Defensive rebound by D. Bender
8:42.0,,,93-81,,D. Reed misses 3-pt shot from 24 ft
8:39.0,Defensive rebound by C. Diallo,,93-81,,
8:34.0,Shooting foul by A. Peters (drawn by N. Mirotic),,93-81,,
8:34.0,N. Mirotic makes free throw 1 of 2,1,94-81,,
8:34.0,,,94-81,,M. Chriss enters the game for A. Peters
8:34.0,A. Davis enters the game for C. Diallo,,94-81,,
8:34.0,N. Mirotic makes free throw 2 of 2,1,95-81,,
8:23.0,,,95-81,,D. Bender misses 2-pt shot from 7 ft
8:21.0,Defensive rebound by N. Mirotic,,95-81,,
8:15.0,N. Mirotic makes 3-pt shot from 29 ft (assist by J. Holiday),3,98-81,,
8:12.0,,,98-81,,Phoenix full timeout
8:12.0,,,98-81,,T. Ulis enters the game for S. Harrison
7:52.0,,,98-81,,J. Jackson misses 3-pt shot from 27 ft
7:48.0,Defensive rebound by N. Mirotic,,98-81,,
7:39.0,N. Mirotic misses 3-pt shot from 24 ft,,98-81,,
7:36.0,,,98-81,,Defensive rebound by M. Chriss
7:25.0,,,98-81,,Turnover by J. Jackson (bad pass; steal by A. Davis)
7:20.0,A. Davis misses 2-pt shot from 1 ft (block by J. Jackson),,98-81,,
7:18.0,,,98-81,,Defensive rebound by T. Ulis
7:15.0,,,98-81,,D. Reed misses 3-pt shot from 24 ft
7:13.0,,,98-81,,Offensive rebound by J. Jackson
7:13.0,,,98-81,,J. Jackson misses 2-pt shot at rim
7:12.0,Defensive rebound by D. Miller,,98-81,,
7:05.0,E. Moore makes 2-pt shot at rim,2,100-81,,
6:44.0,,,100-81,,Shooting foul by N. Mirotic (drawn by J. Jackson)
6:44.0,,,100-82,1,J. Jackson makes free throw 1 of 2
6:44.0,,,100-82,,A. Len enters the game for D. Reed
6:44.0,,,100-82,,D. House enters the game for D. Bender
6:44.0,,,100-83,1,J. Jackson makes free throw 2 of 2
6:33.0,Turnover by J. Holiday (lost ball; steal by J. Jackson),,100-83,,
6:30.0,Personal foul by J. Holiday (drawn by J. Jackson),,100-83,,
6:25.0,,,100-83,,J. Jackson misses 2-pt shot from 17 ft
